context: I'm going to separate Takeo-kun and Yamato-san. response:	You should tell him how you feel.
context: I see. Then I'm glad I'm huge.\But I knew I'd see you, anyway.\We can, as long as we think we can!\Yeah!\I wanted to find you,\because I wanted to watch the parade together.\Right.\It's okay for us to watch it together, just the two of us? response:	Yeah, I'm not going to worry about it anymore.
context: But I knew I'd see you, anyway.\We can, as long as we think we can!\Yeah!\I wanted to find you,\because I wanted to watch the parade together.\Right.\It's okay for us to watch it together, just the two of us?\Yeah, I'm not going to worry about it anymore. response:	I see.
context: We can, as long as we think we can!\Yeah!\I wanted to find you,\because I wanted to watch the parade together.\Right.\It's okay for us to watch it together, just the two of us?\Yeah, I'm not going to worry about it anymore.\I see. response:	So pretty...
context: Yeah!\I wanted to find you,\because I wanted to watch the parade together.\Right.\It's okay for us to watch it together, just the two of us?\Yeah, I'm not going to worry about it anymore.\I see.\So pretty... response:	I guess being able to date you,
context: I wanted to find you,\because I wanted to watch the parade together.\Right.\It's okay for us to watch it together, just the two of us?\Yeah, I'm not going to worry about it anymore.\I see.\So pretty...\I guess being able to date you, response:	with all these people around us,
context: because I wanted to watch the parade together.\Right.\It's okay for us to watch it together, just the two of us?\Yeah, I'm not going to worry about it anymore.\I see.\So pretty...\I guess being able to date you,\with all these people around us, response:	is kind of like a miracle...
context: Right.\It's okay for us to watch it together, just the two of us?\Yeah, I'm not going to worry about it anymore.\I see.\So pretty...\I guess being able to date you,\with all these people around us,\is kind of like a miracle... response:	I think I'll hold on to this feeling and try not to forget it.
context: It's okay for us to watch it together, just the two of us?\Yeah, I'm not going to worry about it anymore.\I see.\So pretty...\I guess being able to date you,\with all these people around us,\is kind of like a miracle...\I think I'll hold on to this feeling and try not to forget it. response:	Yeah.
context: Yeah, I'm not going to worry about it anymore.\I see.\So pretty...\I guess being able to date you,\with all these people around us,\is kind of like a miracle...\I think I'll hold on to this feeling and try not to forget it.\Yeah. response:	You're right.
context: I see.\So pretty...\I guess being able to date you,\with all these people around us,\is kind of like a miracle...\I think I'll hold on to this feeling and try not to forget it.\Yeah.\You're right. response:	Daddy, I can't see the sparkles!
context: So pretty...\I guess being able to date you,\with all these people around us,\is kind of like a miracle...\I think I'll hold on to this feeling and try not to forget it.\Yeah.\You're right.\Daddy, I can't see the sparkles! response:	All right!
context: I guess being able to date you,\with all these people around us,\is kind of like a miracle...\I think I'll hold on to this feeling and try not to forget it.\Yeah.\You're right.\Daddy, I can't see the sparkles!\All right! response:	I'll put you on my shoulders!
context: with all these people around us,\is kind of like a miracle...\I think I'll hold on to this feeling and try not to forget it.\Yeah.\You're right.\Daddy, I can't see the sparkles!\All right!\I'll put you on my shoulders! response:	Oops, I should hunch down.
context: is kind of like a miracle...\I think I'll hold on to this feeling and try not to forget it.\Yeah.\You're right.\Daddy, I can't see the sparkles!\All right!\I'll put you on my shoulders!\Oops, I should hunch down. response:	I'm tall.
context: I think I'll hold on to this feeling and try not to forget it.\Yeah.\You're right.\Daddy, I can't see the sparkles!\All right!\I'll put you on my shoulders!\Oops, I should hunch down.\I'm tall. response:	Sorry I keep ruining the moment.
context: Yeah.\You're right.\Daddy, I can't see the sparkles!\All right!\I'll put you on my shoulders!\Oops, I should hunch down.\I'm tall.\Sorry I keep ruining the moment. response:	I'll be watching the parade, so don't mind me.
context: You're right.\Daddy, I can't see the sparkles!\All right!\I'll put you on my shoulders!\Oops, I should hunch down.\I'm tall.\Sorry I keep ruining the moment.\I'll be watching the parade, so don't mind me. response:	Carry on.
context: Daddy, I can't see the sparkles!\All right!\I'll put you on my shoulders!\Oops, I should hunch down.\I'm tall.\Sorry I keep ruining the moment.\I'll be watching the parade, so don't mind me.\Carry on. response:	Crap!
context: All right!\I'll put you on my shoulders!\Oops, I should hunch down.\I'm tall.\Sorry I keep ruining the moment.\I'll be watching the parade, so don't mind me.\Carry on.\Crap! response:	The redeye bus is all sold out!
context: I'll put you on my shoulders!\Oops, I should hunch down.\I'm tall.\Sorry I keep ruining the moment.\I'll be watching the parade, so don't mind me.\Carry on.\Crap!\The redeye bus is all sold out! response:	Not again Is it okay?
context: Oops, I should hunch down.\I'm tall.\Sorry I keep ruining the moment.\I'll be watching the parade, so don't mind me.\Carry on.\Crap!\The redeye bus is all sold out!\Not again Is it okay? response:	I decided I won't wait anymore.
context: I'm tall.\Sorry I keep ruining the moment.\I'll be watching the parade, so don't mind me.\Carry on.\Crap!\The redeye bus is all sold out!\Not again Is it okay?\I decided I won't wait anymore. response:	I'll get the girl!
context: Sorry I keep ruining the moment.\I'll be watching the parade, so don't mind me.\Carry on.\Crap!\The redeye bus is all sold out!\Not again Is it okay?\I decided I won't wait anymore.\I'll get the girl! response:	Good luck
context: I'll be watching the parade, so don't mind me.\Carry on.\Crap!\The redeye bus is all sold out!\Not again Is it okay?\I decided I won't wait anymore.\I'll get the girl!\Good luck response:	Aw, let's stay up and talk.
context: Carry on.\Crap!\The redeye bus is all sold out!\Not again Is it okay?\I decided I won't wait anymore.\I'll get the girl!\Good luck\Aw, let's stay up and talk. response:	Tell me more about Sunakawa-san when she was younger.
context: Crap!\The redeye bus is all sold out!\Not again Is it okay?\I decided I won't wait anymore.\I'll get the girl!\Good luck\Aw, let's stay up and talk.\Tell me more about Sunakawa-san when she was younger. response:	When she was in middle school...
context: The redeye bus is all sold out!\Not again Is it okay?\I decided I won't wait anymore.\I'll get the girl!\Good luck\Aw, let's stay up and talk.\Tell me more about Sunakawa-san when she was younger.\When she was in middle school... response:	When I went to Suna's place to play...
context: Not again Is it okay?\I decided I won't wait anymore.\I'll get the girl!\Good luck\Aw, let's stay up and talk.\Tell me more about Sunakawa-san when she was younger.\When she was in middle school...\When I went to Suna's place to play... response:	I went to play,
context: I decided I won't wait anymore.\I'll get the girl!\Good luck\Aw, let's stay up and talk.\Tell me more about Sunakawa-san when she was younger.\When she was in middle school...\When I went to Suna's place to play...\I went to play, response:	and she came out in her jammies.
context: I'll get the girl!\Good luck\Aw, let's stay up and talk.\Tell me more about Sunakawa-san when she was younger.\When she was in middle school...\When I went to Suna's place to play...\I went to play,\and she came out in her jammies. response:	She didn't seem to mind at all,
context: Good luck\Aw, let's stay up and talk.\Tell me more about Sunakawa-san when she was younger.\When she was in middle school...\When I went to Suna's place to play...\I went to play,\and she came out in her jammies.\She didn't seem to mind at all, response:	but I got a bit nervous.
context: Aw, let's stay up and talk.\Tell me more about Sunakawa-san when she was younger.\When she was in middle school...\When I went to Suna's place to play...\I went to play,\and she came out in her jammies.\She didn't seem to mind at all,\but I got a bit nervous. response:	That's what Takeo-kun said.
context: Tell me more about Sunakawa-san when she was younger.\When she was in middle school...\When I went to Suna's place to play...\I went to play,\and she came out in her jammies.\She didn't seem to mind at all,\but I got a bit nervous.\That's what Takeo-kun said. response:	Huh? Takeo? Because of me?
context: When she was in middle school...\When I went to Suna's place to play...\I went to play,\and she came out in her jammies.\She didn't seem to mind at all,\but I got a bit nervous.\That's what Takeo-kun said.\Huh? Takeo? Because of me? response:	Yeah.
context: When I went to Suna's place to play...\I went to play,\and she came out in her jammies.\She didn't seem to mind at all,\but I got a bit nervous.\That's what Takeo-kun said.\Huh? Takeo? Because of me?\Yeah. response:	Nervous?
context: I went to play,\and she came out in her jammies.\She didn't seem to mind at all,\but I got a bit nervous.\That's what Takeo-kun said.\Huh? Takeo? Because of me?\Yeah.\Nervous? response:	Crap!
context: and she came out in her jammies.\She didn't seem to mind at all,\but I got a bit nervous.\That's what Takeo-kun said.\Huh? Takeo? Because of me?\Yeah.\Nervous?\Crap! response:	Damn that Gouda Takeo...
context: She didn't seem to mind at all,\but I got a bit nervous.\That's what Takeo-kun said.\Huh? Takeo? Because of me?\Yeah.\Nervous?\Crap!\Damn that Gouda Takeo... response:	Crap!
context: but I got a bit nervous.\That's what Takeo-kun said.\Huh? Takeo? Because of me?\Yeah.\Nervous?\Crap!\Damn that Gouda Takeo...\Crap! response:	Making Sunakawa-san look so cute!
context: That's what Takeo-kun said.\Huh? Takeo? Because of me?\Yeah.\Nervous?\Crap!\Damn that Gouda Takeo...\Crap!\Making Sunakawa-san look so cute! response:	My Girlfriend
context: Huh? Takeo? Because of me?\Yeah.\Nervous?\Crap!\Damn that Gouda Takeo...\Crap!\Making Sunakawa-san look so cute!\My Girlfriend response:	Next time: My Girlfriend.
