context: So, it's going pretty well with your girlfriend? response:	Yeah, it is. T-To tell the truth...
context: I'm going to go get it.\I guess I'll wait.\Make sure you don't fall.\That's a...\What's wrong?\A death flag just appeared above Akane's head.\What?\Why isn't it breaking? response:	I didn't see anything that would bring this on...
context: I guess I'll wait.\Make sure you don't fall.\That's a...\What's wrong?\A death flag just appeared above Akane's head.\What?\Why isn't it breaking?\I didn't see anything that would bring this on... response:	Which means...
context: Make sure you don't fall.\That's a...\What's wrong?\A death flag just appeared above Akane's head.\What?\Why isn't it breaking?\I didn't see anything that would bring this on...\Which means... response:	Nanami,
context: That's a...\What's wrong?\A death flag just appeared above Akane's head.\What?\Why isn't it breaking?\I didn't see anything that would bring this on...\Which means...\Nanami, response:	tell me anything you can.
context: What's wrong?\A death flag just appeared above Akane's head.\What?\Why isn't it breaking?\I didn't see anything that would bring this on...\Which means...\Nanami,\tell me anything you can. response:	Do you have any idea what could cause this?
context: A death flag just appeared above Akane's head.\What?\Why isn't it breaking?\I didn't see anything that would bring this on...\Which means...\Nanami,\tell me anything you can.\Do you have any idea what could cause this? response:	What did you talk to Akane about?!
context: What?\Why isn't it breaking?\I didn't see anything that would bring this on...\Which means...\Nanami,\tell me anything you can.\Do you have any idea what could cause this?\What did you talk to Akane about?! response:	What? You talked about her past?
context: Why isn't it breaking?\I didn't see anything that would bring this on...\Which means...\Nanami,\tell me anything you can.\Do you have any idea what could cause this?\What did you talk to Akane about?!\What? You talked about her past? response:	What? Is that bad?
context: I didn't see anything that would bring this on...\Which means...\Nanami,\tell me anything you can.\Do you have any idea what could cause this?\What did you talk to Akane about?!\What? You talked about her past?\What? Is that bad? response:	When you talk about the past,
context: Which means...\Nanami,\tell me anything you can.\Do you have any idea what could cause this?\What did you talk to Akane about?!\What? You talked about her past?\What? Is that bad?\When you talk about the past, response:	it creates death flags that are far worse than normal ones.
context: Nanami,\tell me anything you can.\Do you have any idea what could cause this?\What did you talk to Akane about?!\What? You talked about her past?\What? Is that bad?\When you talk about the past,\it creates death flags that are far worse than normal ones. response:	Damn it!
context: tell me anything you can.\Do you have any idea what could cause this?\What did you talk to Akane about?!\What? You talked about her past?\What? Is that bad?\When you talk about the past,\it creates death flags that are far worse than normal ones.\Damn it! response:	Souta!
context: Do you have any idea what could cause this?\What did you talk to Akane about?!\What? You talked about her past?\What? Is that bad?\When you talk about the past,\it creates death flags that are far worse than normal ones.\Damn it!\Souta! response:	What do I need to destroy this flag?
context: What did you talk to Akane about?!\What? You talked about her past?\What? Is that bad?\When you talk about the past,\it creates death flags that are far worse than normal ones.\Damn it!\Souta!\What do I need to destroy this flag? response:	Friendship? Love? Memories?
context: What? You talked about her past?\What? Is that bad?\When you talk about the past,\it creates death flags that are far worse than normal ones.\Damn it!\Souta!\What do I need to destroy this flag?\Friendship? Love? Memories? response:	Oh, Souta-kun, I found it.
context: What? Is that bad?\When you talk about the past,\it creates death flags that are far worse than normal ones.\Damn it!\Souta!\What do I need to destroy this flag?\Friendship? Love? Memories?\Oh, Souta-kun, I found it. response:	Akane!
context: When you talk about the past,\it creates death flags that are far worse than normal ones.\Damn it!\Souta!\What do I need to destroy this flag?\Friendship? Love? Memories?\Oh, Souta-kun, I found it.\Akane! response:	Akane!
context: it creates death flags that are far worse than normal ones.\Damn it!\Souta!\What do I need to destroy this flag?\Friendship? Love? Memories?\Oh, Souta-kun, I found it.\Akane!\Akane! response:	Akane!
context: Damn it!\Souta!\What do I need to destroy this flag?\Friendship? Love? Memories?\Oh, Souta-kun, I found it.\Akane!\Akane!\Akane! response:	Wake up, Akane!
context: Souta!\What do I need to destroy this flag?\Friendship? Love? Memories?\Oh, Souta-kun, I found it.\Akane!\Akane!\Akane!\Wake up, Akane! response:	Souta-kun...
context: What do I need to destroy this flag?\Friendship? Love? Memories?\Oh, Souta-kun, I found it.\Akane!\Akane!\Akane!\Wake up, Akane!\Souta-kun... response:	I'm sorry.
context: Friendship? Love? Memories?\Oh, Souta-kun, I found it.\Akane!\Akane!\Akane!\Wake up, Akane!\Souta-kun...\I'm sorry. response:	I destroyed your house...
context: Oh, Souta-kun, I found it.\Akane!\Akane!\Akane!\Wake up, Akane!\Souta-kun...\I'm sorry.\I destroyed your house... response:	I'll call an ambulance right now.
context: Akane!\Akane!\Akane!\Wake up, Akane!\Souta-kun...\I'm sorry.\I destroyed your house...\I'll call an ambulance right now. response:	The flag's getting stronger.
context: Akane!\Akane!\Wake up, Akane!\Souta-kun...\I'm sorry.\I destroyed your house...\I'll call an ambulance right now.\The flag's getting stronger. response:	Did that girl
context: Akane!\Wake up, Akane!\Souta-kun...\I'm sorry.\I destroyed your house...\I'll call an ambulance right now.\The flag's getting stronger.\Did that girl response:	hate me so much I fell down here?
context: Wake up, Akane!\Souta-kun...\I'm sorry.\I destroyed your house...\I'll call an ambulance right now.\The flag's getting stronger.\Did that girl\hate me so much I fell down here? response:	No, don't be silly.
context: Souta-kun...\I'm sorry.\I destroyed your house...\I'll call an ambulance right now.\The flag's getting stronger.\Did that girl\hate me so much I fell down here?\No, don't be silly. response:	I'm sure she wanted to be friends with you again.
context: I'm sorry.\I destroyed your house...\I'll call an ambulance right now.\The flag's getting stronger.\Did that girl\hate me so much I fell down here?\No, don't be silly.\I'm sure she wanted to be friends with you again. response:	It's not shattering...
context: I destroyed your house...\I'll call an ambulance right now.\The flag's getting stronger.\Did that girl\hate me so much I fell down here?\No, don't be silly.\I'm sure she wanted to be friends with you again.\It's not shattering... response:	I'm sure you're keeping that safe until you can see her again.
context: I'll call an ambulance right now.\The flag's getting stronger.\Did that girl\hate me so much I fell down here?\No, don't be silly.\I'm sure she wanted to be friends with you again.\It's not shattering...\I'm sure you're keeping that safe until you can see her again. response:	It's not shattering!
context: The flag's getting stronger.\Did that girl\hate me so much I fell down here?\No, don't be silly.\I'm sure she wanted to be friends with you again.\It's not shattering...\I'm sure you're keeping that safe until you can see her again.\It's not shattering! response:	You're going to see her again, and become friends with her again.
context: Did that girl\hate me so much I fell down here?\No, don't be silly.\I'm sure she wanted to be friends with you again.\It's not shattering...\I'm sure you're keeping that safe until you can see her again.\It's not shattering!\You're going to see her again, and become friends with her again. response:	It's not shattering. Why isn't it shattering?!
context: hate me so much I fell down here?\No, don't be silly.\I'm sure she wanted to be friends with you again.\It's not shattering...\I'm sure you're keeping that safe until you can see her again.\It's not shattering!\You're going to see her again, and become friends with her again.\It's not shattering. Why isn't it shattering?! response:	This happened to you because you weren't keeping it safe.
context: No, don't be silly.\I'm sure she wanted to be friends with you again.\It's not shattering...\I'm sure you're keeping that safe until you can see her again.\It's not shattering!\You're going to see her again, and become friends with her again.\It's not shattering. Why isn't it shattering?!\This happened to you because you weren't keeping it safe. response:	Souta-kun,
context: I'm sure she wanted to be friends with you again.\It's not shattering...\I'm sure you're keeping that safe until you can see her again.\It's not shattering!\You're going to see her again, and become friends with her again.\It's not shattering. Why isn't it shattering?!\This happened to you because you weren't keeping it safe.\Souta-kun, response:	you shouldn't be alone.
context: It's not shattering...\I'm sure you're keeping that safe until you can see her again.\It's not shattering!\You're going to see her again, and become friends with her again.\It's not shattering. Why isn't it shattering?!\This happened to you because you weren't keeping it safe.\Souta-kun,\you shouldn't be alone. response:	You should give people hope,
context: I'm sure you're keeping that safe until you can see her again.\It's not shattering!\You're going to see her again, and become friends with her again.\It's not shattering. Why isn't it shattering?!\This happened to you because you weren't keeping it safe.\Souta-kun,\you shouldn't be alone.\You should give people hope, response:	just like you did for me.
context: It's not shattering!\You're going to see her again, and become friends with her again.\It's not shattering. Why isn't it shattering?!\This happened to you because you weren't keeping it safe.\Souta-kun,\you shouldn't be alone.\You should give people hope,\just like you did for me. response:	I want you to surround yourself
context: You're going to see her again, and become friends with her again.\It's not shattering. Why isn't it shattering?!\This happened to you because you weren't keeping it safe.\Souta-kun,\you shouldn't be alone.\You should give people hope,\just like you did for me.\I want you to surround yourself response:	by a lot more people...
context: It's not shattering. Why isn't it shattering?!\This happened to you because you weren't keeping it safe.\Souta-kun,\you shouldn't be alone.\You should give people hope,\just like you did for me.\I want you to surround yourself\by a lot more people... response:	and do the same for all of them.
context: This happened to you because you weren't keeping it safe.\Souta-kun,\you shouldn't be alone.\You should give people hope,\just like you did for me.\I want you to surround yourself\by a lot more people...\and do the same for all of them. response:	No, this isn't working! It won't shatter!
context: Souta-kun,\you shouldn't be alone.\You should give people hope,\just like you did for me.\I want you to surround yourself\by a lot more people...\and do the same for all of them.\No, this isn't working! It won't shatter! response:	I understand...
context: you shouldn't be alone.\You should give people hope,\just like you did for me.\I want you to surround yourself\by a lot more people...\and do the same for all of them.\No, this isn't working! It won't shatter!\I understand... response:	I'll do that once you recover from this.
context: You should give people hope,\just like you did for me.\I want you to surround yourself\by a lot more people...\and do the same for all of them.\No, this isn't working! It won't shatter!\I understand...\I'll do that once you recover from this. response:	Wait...
context: just like you did for me.\I want you to surround yourself\by a lot more people...\and do the same for all of them.\No, this isn't working! It won't shatter!\I understand...\I'll do that once you recover from this.\Wait... response:	It this a romance flag?
context: I want you to surround yourself\by a lot more people...\and do the same for all of them.\No, this isn't working! It won't shatter!\I understand...\I'll do that once you recover from this.\Wait...\It this a romance flag? response:	I see.
context: by a lot more people...\and do the same for all of them.\No, this isn't working! It won't shatter!\I understand...\I'll do that once you recover from this.\Wait...\It this a romance flag?\I see. response:	If I can't shatter that one, I'll just make another stand in its place!
context: and do the same for all of them.\No, this isn't working! It won't shatter!\I understand...\I'll do that once you recover from this.\Wait...\It this a romance flag?\I see.\If I can't shatter that one, I'll just make another stand in its place! response:	A flag of life that will overpower the other one.
context: No, this isn't working! It won't shatter!\I understand...\I'll do that once you recover from this.\Wait...\It this a romance flag?\I see.\If I can't shatter that one, I'll just make another stand in its place!\A flag of life that will overpower the other one. response:	Don't hate me for this, Akane.
context: I understand...\I'll do that once you recover from this.\Wait...\It this a romance flag?\I see.\If I can't shatter that one, I'll just make another stand in its place!\A flag of life that will overpower the other one.\Don't hate me for this, Akane. response:	What are you doing?!
context: I'll do that once you recover from this.\Wait...\It this a romance flag?\I see.\If I can't shatter that one, I'll just make another stand in its place!\A flag of life that will overpower the other one.\Don't hate me for this, Akane.\What are you doing?! response:	Danger
context: Wait...\It this a romance flag?\I see.\If I can't shatter that one, I'll just make another stand in its place!\A flag of life that will overpower the other one.\Don't hate me for this, Akane.\What are you doing?!\Danger response:	Ouch...
context: It this a romance flag?\I see.\If I can't shatter that one, I'll just make another stand in its place!\A flag of life that will overpower the other one.\Don't hate me for this, Akane.\What are you doing?!\Danger\Ouch... response:	This still hurts.
context: I see.\If I can't shatter that one, I'll just make another stand in its place!\A flag of life that will overpower the other one.\Don't hate me for this, Akane.\What are you doing?!\Danger\Ouch...\This still hurts. response:	Complete
context: If I can't shatter that one, I'll just make another stand in its place!\A flag of life that will overpower the other one.\Don't hate me for this, Akane.\What are you doing?!\Danger\Ouch...\This still hurts.\Complete response:	A conquest complete flag, huh?
context: A flag of life that will overpower the other one.\Don't hate me for this, Akane.\What are you doing?!\Danger\Ouch...\This still hurts.\Complete\A conquest complete flag, huh? response:	Roar! Gawo!
context: Don't hate me for this, Akane.\What are you doing?!\Danger\Ouch...\This still hurts.\Complete\A conquest complete flag, huh?\Roar! Gawo! response:	That was nerve-wracking,
context: What are you doing?!\Danger\Ouch...\This still hurts.\Complete\A conquest complete flag, huh?\Roar! Gawo!\That was nerve-wracking, response:	but I'm sure the next episode will have me back to living my old, peaceful life.
context: Danger\Ouch...\This still hurts.\Complete\A conquest complete flag, huh?\Roar! Gawo!\That was nerve-wracking,\but I'm sure the next episode will have me back to living my old, peaceful life. response:	Yeah, but you just had that flag appear.
context: Ouch...\This still hurts.\Complete\A conquest complete flag, huh?\Roar! Gawo!\That was nerve-wracking,\but I'm sure the next episode will have me back to living my old, peaceful life.\Yeah, but you just had that flag appear. response:	Speaking of which, is there anyone else
context: This still hurts.\Complete\A conquest complete flag, huh?\Roar! Gawo!\That was nerve-wracking,\but I'm sure the next episode will have me back to living my old, peaceful life.\Yeah, but you just had that flag appear.\Speaking of which, is there anyone else response:	living in the Quest Dorm with you?
context: Complete\A conquest complete flag, huh?\Roar! Gawo!\That was nerve-wracking,\but I'm sure the next episode will have me back to living my old, peaceful life.\Yeah, but you just had that flag appear.\Speaking of which, is there anyone else\living in the Quest Dorm with you? response:	Who else besides me would choose to live there?
context: A conquest complete flag, huh?\Roar! Gawo!\That was nerve-wracking,\but I'm sure the next episode will have me back to living my old, peaceful life.\Yeah, but you just had that flag appear.\Speaking of which, is there anyone else\living in the Quest Dorm with you?\Who else besides me would choose to live there? response:	We'll be taking one more flag.
context: Roar! Gawo!\That was nerve-wracking,\but I'm sure the next episode will have me back to living my old, peaceful life.\Yeah, but you just had that flag appear.\Speaking of which, is there anyone else\living in the Quest Dorm with you?\Who else besides me would choose to live there?\We'll be taking one more flag. response:	It'll be just like this next time.
context: That was nerve-wracking,\but I'm sure the next episode will have me back to living my old, peaceful life.\Yeah, but you just had that flag appear.\Speaking of which, is there anyone else\living in the Quest Dorm with you?\Who else besides me would choose to live there?\We'll be taking one more flag.\It'll be just like this next time. response:	Roar! Gawo!
context: but I'm sure the next episode will have me back to living my old, peaceful life.\Yeah, but you just had that flag appear.\Speaking of which, is there anyone else\living in the Quest Dorm with you?\Who else besides me would choose to live there?\We'll be taking one more flag.\It'll be just like this next time.\Roar! Gawo! response:	Episode 2
context: Yeah, but you just had that flag appear.\Speaking of which, is there anyone else\living in the Quest Dorm with you?\Who else besides me would choose to live there?\We'll be taking one more flag.\It'll be just like this next time.\Roar! Gawo!\Episode 2 response:	Girls are in the Dorm. But I can't say it yet. Wait until tomorrow.
