context: Why do I feel this way? response:	It's the first time this has ever happened.
context: I realized that I wasn't able to control my emotions.\I can't let my grades suffer any more.\I'm not like you.\I have to work through a problem\multiple times before I can solve it.\I think you mentioned that once.\Can I ask you something?\Am I a distraction now? response:	No, this is a problem on my side.
context: I can't let my grades suffer any more.\I'm not like you.\I have to work through a problem\multiple times before I can solve it.\I think you mentioned that once.\Can I ask you something?\Am I a distraction now?\No, this is a problem on my side. response:	Okay...
context: I'm not like you.\I have to work through a problem\multiple times before I can solve it.\I think you mentioned that once.\Can I ask you something?\Am I a distraction now?\No, this is a problem on my side.\Okay... response:	Mitty!
context: I have to work through a problem\multiple times before I can solve it.\I think you mentioned that once.\Can I ask you something?\Am I a distraction now?\No, this is a problem on my side.\Okay...\Mitty! response:	Let's talk about love!
context: multiple times before I can solve it.\I think you mentioned that once.\Can I ask you something?\Am I a distraction now?\No, this is a problem on my side.\Okay...\Mitty!\Let's talk about love! response:	Huh?
context: I think you mentioned that once.\Can I ask you something?\Am I a distraction now?\No, this is a problem on my side.\Okay...\Mitty!\Let's talk about love!\Huh? response:	U-Um, don't run away.
context: Can I ask you something?\Am I a distraction now?\No, this is a problem on my side.\Okay...\Mitty!\Let's talk about love!\Huh?\U-Um, don't run away. response:	So, I was just hoping you might tell me about
context: Am I a distraction now?\No, this is a problem on my side.\Okay...\Mitty!\Let's talk about love!\Huh?\U-Um, don't run away.\So, I was just hoping you might tell me about response:	your date yesterday or something.
context: No, this is a problem on my side.\Okay...\Mitty!\Let's talk about love!\Huh?\U-Um, don't run away.\So, I was just hoping you might tell me about\your date yesterday or something. response:	Nothing happened.
context: Okay...\Mitty!\Let's talk about love!\Huh?\U-Um, don't run away.\So, I was just hoping you might tell me about\your date yesterday or something.\Nothing happened. response:	That's impossible!
context: Mitty!\Let's talk about love!\Huh?\U-Um, don't run away.\So, I was just hoping you might tell me about\your date yesterday or something.\Nothing happened.\That's impossible! response:	There must have been something happy or sad!
context: Let's talk about love!\Huh?\U-Um, don't run away.\So, I was just hoping you might tell me about\your date yesterday or something.\Nothing happened.\That's impossible!\There must have been something happy or sad! response:	No, nothing happened.
context: Huh?\U-Um, don't run away.\So, I was just hoping you might tell me about\your date yesterday or something.\Nothing happened.\That's impossible!\There must have been something happy or sad!\No, nothing happened. response:	Natsume-san, you should study for our exams.
context: U-Um, don't run away.\So, I was just hoping you might tell me about\your date yesterday or something.\Nothing happened.\That's impossible!\There must have been something happy or sad!\No, nothing happened.\Natsume-san, you should study for our exams. response:	Phooey!
context: So, I was just hoping you might tell me about\your date yesterday or something.\Nothing happened.\That's impossible!\There must have been something happy or sad!\No, nothing happened.\Natsume-san, you should study for our exams.\Phooey! response:	Stupid, stupid, stupid Mitty!
context: your date yesterday or something.\Nothing happened.\That's impossible!\There must have been something happy or sad!\No, nothing happened.\Natsume-san, you should study for our exams.\Phooey!\Stupid, stupid, stupid Mitty! response:	How did she get into this high school?
context: Nothing happened.\That's impossible!\There must have been something happy or sad!\No, nothing happened.\Natsume-san, you should study for our exams.\Phooey!\Stupid, stupid, stupid Mitty!\How did she get into this high school? response:	Nagoya, scoot over.
context: That's impossible!\There must have been something happy or sad!\No, nothing happened.\Natsume-san, you should study for our exams.\Phooey!\Stupid, stupid, stupid Mitty!\How did she get into this high school?\Nagoya, scoot over. response:	Looks like Haru's getting along with the other kids.
context: There must have been something happy or sad!\No, nothing happened.\Natsume-san, you should study for our exams.\Phooey!\Stupid, stupid, stupid Mitty!\How did she get into this high school?\Nagoya, scoot over.\Looks like Haru's getting along with the other kids. response:	Hey, look!
context: No, nothing happened.\Natsume-san, you should study for our exams.\Phooey!\Stupid, stupid, stupid Mitty!\How did she get into this high school?\Nagoya, scoot over.\Looks like Haru's getting along with the other kids.\Hey, look! response:	You've got a bald spot.
context: Natsume-san, you should study for our exams.\Phooey!\Stupid, stupid, stupid Mitty!\How did she get into this high school?\Nagoya, scoot over.\Looks like Haru's getting along with the other kids.\Hey, look!\You've got a bald spot. response:	Are you stressed out?
context: Phooey!\Stupid, stupid, stupid Mitty!\How did she get into this high school?\Nagoya, scoot over.\Looks like Haru's getting along with the other kids.\Hey, look!\You've got a bald spot.\Are you stressed out? response:	Next Episode
context: Stupid, stupid, stupid Mitty!\How did she get into this high school?\Nagoya, scoot over.\Looks like Haru's getting along with the other kids.\Hey, look!\You've got a bald spot.\Are you stressed out?\Next Episode response:	The Distance Between Us
