context: Tatooin Station response:	In the days off we had after the sports festival,
context: Huh?\What? Really?!\Yes. The hero's name is Gran Torino.\He was a teacher at U.A. for only one year.\The man who was my homeroom teacher.\He knows about One For All, too.\In fact, he probably asked for you because of that.\Someone that amazing is...?! response:	Wait, there was someone else who knew about the Quirk?
context: What? Really?!\Yes. The hero's name is Gran Torino.\He was a teacher at U.A. for only one year.\The man who was my homeroom teacher.\He knows about One For All, too.\In fact, he probably asked for you because of that.\Someone that amazing is...?!\Wait, there was someone else who knew about the Quirk? response:	Gran Torino was the sworn friend of my predecessor.
context: Yes. The hero's name is Gran Torino.\He was a teacher at U.A. for only one year.\The man who was my homeroom teacher.\He knows about One For All, too.\In fact, he probably asked for you because of that.\Someone that amazing is...?!\Wait, there was someone else who knew about the Quirk?\Gran Torino was the sworn friend of my predecessor. response:	He retired a long time ago, so I forgot to count him...
context: He was a teacher at U.A. for only one year.\The man who was my homeroom teacher.\He knows about One For All, too.\In fact, he probably asked for you because of that.\Someone that amazing is...?!\Wait, there was someone else who knew about the Quirk?\Gran Torino was the sworn friend of my predecessor.\He retired a long time ago, so I forgot to count him... response:	Was it because I wrote of you when I sent him the letter?
context: The man who was my homeroom teacher.\He knows about One For All, too.\In fact, he probably asked for you because of that.\Someone that amazing is...?!\Wait, there was someone else who knew about the Quirk?\Gran Torino was the sworn friend of my predecessor.\He retired a long time ago, so I forgot to count him...\Was it because I wrote of you when I sent him the letter? response:	Or because he couldn't just stand by and watch my inadequate teaching...?
context: He knows about One For All, too.\In fact, he probably asked for you because of that.\Someone that amazing is...?!\Wait, there was someone else who knew about the Quirk?\Gran Torino was the sworn friend of my predecessor.\He retired a long time ago, so I forgot to count him...\Was it because I wrote of you when I sent him the letter?\Or because he couldn't just stand by and watch my inadequate teaching...? response:	If he went so far as to use his old name to make an offer...
context: In fact, he probably asked for you because of that.\Someone that amazing is...?!\Wait, there was someone else who knew about the Quirk?\Gran Torino was the sworn friend of my predecessor.\He retired a long time ago, so I forgot to count him...\Was it because I wrote of you when I sent him the letter?\Or because he couldn't just stand by and watch my inadequate teaching...?\If he went so far as to use his old name to make an offer... response:	It's scary... Too scary...
context: Someone that amazing is...?!\Wait, there was someone else who knew about the Quirk?\Gran Torino was the sworn friend of my predecessor.\He retired a long time ago, so I forgot to count him...\Was it because I wrote of you when I sent him the letter?\Or because he couldn't just stand by and watch my inadequate teaching...?\If he went so far as to use his old name to make an offer...\It's scary... Too scary... response:	Stop trembling, legs!
context: Wait, there was someone else who knew about the Quirk?\Gran Torino was the sworn friend of my predecessor.\He retired a long time ago, so I forgot to count him...\Was it because I wrote of you when I sent him the letter?\Or because he couldn't just stand by and watch my inadequate teaching...?\If he went so far as to use his old name to make an offer...\It's scary... Too scary...\Stop trembling, legs! response:	All Might's seriously shaking!
context: Gran Torino was the sworn friend of my predecessor.\He retired a long time ago, so I forgot to count him...\Was it because I wrote of you when I sent him the letter?\Or because he couldn't just stand by and watch my inadequate teaching...?\If he went so far as to use his old name to make an offer...\It's scary... Too scary...\Stop trembling, legs!\All Might's seriously shaking! response:	A-Anyway, it is my duty to train you,
context: He retired a long time ago, so I forgot to count him...\Was it because I wrote of you when I sent him the letter?\Or because he couldn't just stand by and watch my inadequate teaching...?\If he went so far as to use his old name to make an offer...\It's scary... Too scary...\Stop trembling, legs!\All Might's seriously shaking!\A-Anyway, it is my duty to train you, response:	shake shake shake shake shake
context: Was it because I wrote of you when I sent him the letter?\Or because he couldn't just stand by and watch my inadequate teaching...?\If he went so far as to use his old name to make an offer...\It's scary... Too scary...\Stop trembling, legs!\All Might's seriously shaking!\A-Anyway, it is my duty to train you,\shake shake shake shake shake response:	but since you got an offer, you should go work to your heart's c-content-t-t-t...
context: Or because he couldn't just stand by and watch my inadequate teaching...?\If he went so far as to use his old name to make an offer...\It's scary... Too scary...\Stop trembling, legs!\All Might's seriously shaking!\A-Anyway, it is my duty to train you,\shake shake shake shake shake\but since you got an offer, you should go work to your heart's c-content-t-t-t... response:	Just how scary is this guy?!
context: If he went so far as to use his old name to make an offer...\It's scary... Too scary...\Stop trembling, legs!\All Might's seriously shaking!\A-Anyway, it is my duty to train you,\shake shake shake shake shake\but since you got an offer, you should go work to your heart's c-content-t-t-t...\Just how scary is this guy?! response:	Internships, huh?
context: It's scary... Too scary...\Stop trembling, legs!\All Might's seriously shaking!\A-Anyway, it is my duty to train you,\shake shake shake shake shake\but since you got an offer, you should go work to your heart's c-content-t-t-t...\Just how scary is this guy?!\Internships, huh? response:	Yeah. A few already decided.
context: Stop trembling, legs!\All Might's seriously shaking!\A-Anyway, it is my duty to train you,\shake shake shake shake shake\but since you got an offer, you should go work to your heart's c-content-t-t-t...\Just how scary is this guy?!\Internships, huh?\Yeah. A few already decided. response:	It's an important event. Make sure they think about it properly.
context: All Might's seriously shaking!\A-Anyway, it is my duty to train you,\shake shake shake shake shake\but since you got an offer, you should go work to your heart's c-content-t-t-t...\Just how scary is this guy?!\Internships, huh?\Yeah. A few already decided.\It's an important event. Make sure they think about it properly. response:	There are some third years that still have regrets about it.
context: A-Anyway, it is my duty to train you,\shake shake shake shake shake\but since you got an offer, you should go work to your heart's c-content-t-t-t...\Just how scary is this guy?!\Internships, huh?\Yeah. A few already decided.\It's an important event. Make sure they think about it properly.\There are some third years that still have regrets about it. response:	Yeah...
context: shake shake shake shake shake\but since you got an offer, you should go work to your heart's c-content-t-t-t...\Just how scary is this guy?!\Internships, huh?\Yeah. A few already decided.\It's an important event. Make sure they think about it properly.\There are some third years that still have regrets about it.\Yeah... response:	Class 1-A - Tenya Iida Desired Internship Agency First Choice: Hosu City, Tokyo - Normal Hero: Manual Agency
context: but since you got an offer, you should go work to your heart's c-content-t-t-t...\Just how scary is this guy?!\Internships, huh?\Yeah. A few already decided.\It's an important event. Make sure they think about it properly.\There are some third years that still have regrets about it.\Yeah...\Class 1-A - Tenya Iida Desired Internship Agency First Choice: Hosu City, Tokyo - Normal Hero: Manual Agency response:	The agency Iida wants to go to...
context: Just how scary is this guy?!\Internships, huh?\Yeah. A few already decided.\It's an important event. Make sure they think about it properly.\There are some third years that still have regrets about it.\Yeah...\Class 1-A - Tenya Iida Desired Internship Agency First Choice: Hosu City, Tokyo - Normal Hero: Manual Agency\The agency Iida wants to go to... response:	I'm sure he had offers from better places.
context: Internships, huh?\Yeah. A few already decided.\It's an important event. Make sure they think about it properly.\There are some third years that still have regrets about it.\Yeah...\Class 1-A - Tenya Iida Desired Internship Agency First Choice: Hosu City, Tokyo - Normal Hero: Manual Agency\The agency Iida wants to go to...\I'm sure he had offers from better places. response:	Hosu City, Tokyo
context: Yeah. A few already decided.\It's an important event. Make sure they think about it properly.\There are some third years that still have regrets about it.\Yeah...\Class 1-A - Tenya Iida Desired Internship Agency First Choice: Hosu City, Tokyo - Normal Hero: Manual Agency\The agency Iida wants to go to...\I'm sure he had offers from better places.\Hosu City, Tokyo response:	A hero agency in Hosu...
context: It's an important event. Make sure they think about it properly.\There are some third years that still have regrets about it.\Yeah...\Class 1-A - Tenya Iida Desired Internship Agency First Choice: Hosu City, Tokyo - Normal Hero: Manual Agency\The agency Iida wants to go to...\I'm sure he had offers from better places.\Hosu City, Tokyo\A hero agency in Hosu... response:	Don't tell me...
context: There are some third years that still have regrets about it.\Yeah...\Class 1-A - Tenya Iida Desired Internship Agency First Choice: Hosu City, Tokyo - Normal Hero: Manual Agency\The agency Iida wants to go to...\I'm sure he had offers from better places.\Hosu City, Tokyo\A hero agency in Hosu...\Don't tell me... response:	What? You got an offer?
context: Yeah...\Class 1-A - Tenya Iida Desired Internship Agency First Choice: Hosu City, Tokyo - Normal Hero: Manual Agency\The agency Iida wants to go to...\I'm sure he had offers from better places.\Hosu City, Tokyo\A hero agency in Hosu...\Don't tell me...\What? You got an offer? response:	That's great, Deku!
context: Class 1-A - Tenya Iida Desired Internship Agency First Choice: Hosu City, Tokyo - Normal Hero: Manual Agency\The agency Iida wants to go to...\I'm sure he had offers from better places.\Hosu City, Tokyo\A hero agency in Hosu...\Don't tell me...\What? You got an offer?\That's great, Deku! response:	Y-Yeah.
context: The agency Iida wants to go to...\I'm sure he had offers from better places.\Hosu City, Tokyo\A hero agency in Hosu...\Don't tell me...\What? You got an offer?\That's great, Deku!\Y-Yeah. response:	Iida
context: I'm sure he had offers from better places.\Hosu City, Tokyo\A hero agency in Hosu...\Don't tell me...\What? You got an offer?\That's great, Deku!\Y-Yeah.\Iida response:	Did Iida go home before us?
context: Hosu City, Tokyo\A hero agency in Hosu...\Don't tell me...\What? You got an offer?\That's great, Deku!\Y-Yeah.\Iida\Did Iida go home before us? response:	Yeah.
context: A hero agency in Hosu...\Don't tell me...\What? You got an offer?\That's great, Deku!\Y-Yeah.\Iida\Did Iida go home before us?\Yeah. response:	After the sports festival,
context: Don't tell me...\What? You got an offer?\That's great, Deku!\Y-Yeah.\Iida\Did Iida go home before us?\Yeah.\After the sports festival, response:	I heard about what happened to Iida's big brother on the news.
context: What? You got an offer?\That's great, Deku!\Y-Yeah.\Iida\Did Iida go home before us?\Yeah.\After the sports festival,\I heard about what happened to Iida's big brother on the news. response:	Is Ingenium beyond recovery?
context: That's great, Deku!\Y-Yeah.\Iida\Did Iida go home before us?\Yeah.\After the sports festival,\I heard about what happened to Iida's big brother on the news.\Is Ingenium beyond recovery? response:	The incident involving Ingenium in Hosu City, Tokyo.
context: Y-Yeah.\Iida\Did Iida go home before us?\Yeah.\After the sports festival,\I heard about what happened to Iida's big brother on the news.\Is Ingenium beyond recovery?\The incident involving Ingenium in Hosu City, Tokyo. response:	The escaping culprit had already killed 17 heroes in the past
context: Iida\Did Iida go home before us?\Yeah.\After the sports festival,\I heard about what happened to Iida's big brother on the news.\Is Ingenium beyond recovery?\The incident involving Ingenium in Hosu City, Tokyo.\The escaping culprit had already killed 17 heroes in the past response:	and hurt 23 heroes beyond recovery-
context: Did Iida go home before us?\Yeah.\After the sports festival,\I heard about what happened to Iida's big brother on the news.\Is Ingenium beyond recovery?\The incident involving Ingenium in Hosu City, Tokyo.\The escaping culprit had already killed 17 heroes in the past\and hurt 23 heroes beyond recovery- response:	The elusive hero killer. Villain name: Stain.
context: Yeah.\After the sports festival,\I heard about what happened to Iida's big brother on the news.\Is Ingenium beyond recovery?\The incident involving Ingenium in Hosu City, Tokyo.\The escaping culprit had already killed 17 heroes in the past\and hurt 23 heroes beyond recovery-\The elusive hero killer. Villain name: Stain. response:	If it's about my brother, there is no need to worry.
context: After the sports festival,\I heard about what happened to Iida's big brother on the news.\Is Ingenium beyond recovery?\The incident involving Ingenium in Hosu City, Tokyo.\The escaping culprit had already killed 17 heroes in the past\and hurt 23 heroes beyond recovery-\The elusive hero killer. Villain name: Stain.\If it's about my brother, there is no need to worry. response:	I apologize for worrying you needlessly.
context: I heard about what happened to Iida's big brother on the news.\Is Ingenium beyond recovery?\The incident involving Ingenium in Hosu City, Tokyo.\The escaping culprit had already killed 17 heroes in the past\and hurt 23 heroes beyond recovery-\The elusive hero killer. Villain name: Stain.\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly. response:	Iida didn't say anything to me.
context: Is Ingenium beyond recovery?\The incident involving Ingenium in Hosu City, Tokyo.\The escaping culprit had already killed 17 heroes in the past\and hurt 23 heroes beyond recovery-\The elusive hero killer. Villain name: Stain.\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Iida didn't say anything to me. response:	Later, I was surprised to find out that Iida's internship would be in Hosu City,
context: The incident involving Ingenium in Hosu City, Tokyo.\The escaping culprit had already killed 17 heroes in the past\and hurt 23 heroes beyond recovery-\The elusive hero killer. Villain name: Stain.\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Iida didn't say anything to me.\Later, I was surprised to find out that Iida's internship would be in Hosu City, response:	where Ingenium had been attacked.
context: The escaping culprit had already killed 17 heroes in the past\and hurt 23 heroes beyond recovery-\The elusive hero killer. Villain name: Stain.\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Iida didn't say anything to me.\Later, I was surprised to find out that Iida's internship would be in Hosu City,\where Ingenium had been attacked. response:	But I couldn't say anything to Iida, since he hadn't said anything to me.
context: and hurt 23 heroes beyond recovery-\The elusive hero killer. Villain name: Stain.\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Iida didn't say anything to me.\Later, I was surprised to find out that Iida's internship would be in Hosu City,\where Ingenium had been attacked.\But I couldn't say anything to Iida, since he hadn't said anything to me. response:	And so things remained as we approached the first day of our internships.
context: The elusive hero killer. Villain name: Stain.\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Iida didn't say anything to me.\Later, I was surprised to find out that Iida's internship would be in Hosu City,\where Ingenium had been attacked.\But I couldn't say anything to Iida, since he hadn't said anything to me.\And so things remained as we approached the first day of our internships. response:	You all have your costumes, right?
context: If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Iida didn't say anything to me.\Later, I was surprised to find out that Iida's internship would be in Hosu City,\where Ingenium had been attacked.\But I couldn't say anything to Iida, since he hadn't said anything to me.\And so things remained as we approached the first day of our internships.\You all have your costumes, right? response:	Remember, you aren't allowed to wear them in public.
context: I apologize for worrying you needlessly.\Iida didn't say anything to me.\Later, I was surprised to find out that Iida's internship would be in Hosu City,\where Ingenium had been attacked.\But I couldn't say anything to Iida, since he hadn't said anything to me.\And so things remained as we approached the first day of our internships.\You all have your costumes, right?\Remember, you aren't allowed to wear them in public. response:	Don't drop them or anything.
context: Iida didn't say anything to me.\Later, I was surprised to find out that Iida's internship would be in Hosu City,\where Ingenium had been attacked.\But I couldn't say anything to Iida, since he hadn't said anything to me.\And so things remained as we approached the first day of our internships.\You all have your costumes, right?\Remember, you aren't allowed to wear them in public.\Don't drop them or anything. response:	Yessir!
context: Later, I was surprised to find out that Iida's internship would be in Hosu City,\where Ingenium had been attacked.\But I couldn't say anything to Iida, since he hadn't said anything to me.\And so things remained as we approached the first day of our internships.\You all have your costumes, right?\Remember, you aren't allowed to wear them in public.\Don't drop them or anything.\Yessir! response:	Speak clearly! It's yes, sir, Ashido.
context: where Ingenium had been attacked.\But I couldn't say anything to Iida, since he hadn't said anything to me.\And so things remained as we approached the first day of our internships.\You all have your costumes, right?\Remember, you aren't allowed to wear them in public.\Don't drop them or anything.\Yessir!\Speak clearly! It's yes, sir, Ashido. response:	Yes, sir...
context: But I couldn't say anything to Iida, since he hadn't said anything to me.\And so things remained as we approached the first day of our internships.\You all have your costumes, right?\Remember, you aren't allowed to wear them in public.\Don't drop them or anything.\Yessir!\Speak clearly! It's yes, sir, Ashido.\Yes, sir... response:	Make sure you mind your manners with the heroes at your internships!
context: And so things remained as we approached the first day of our internships.\You all have your costumes, right?\Remember, you aren't allowed to wear them in public.\Don't drop them or anything.\Yessir!\Speak clearly! It's yes, sir, Ashido.\Yes, sir...\Make sure you mind your manners with the heroes at your internships! response:	Off with you, now.
context: You all have your costumes, right?\Remember, you aren't allowed to wear them in public.\Don't drop them or anything.\Yessir!\Speak clearly! It's yes, sir, Ashido.\Yes, sir...\Make sure you mind your manners with the heroes at your internships!\Off with you, now. response:	Yes, sir!
context: Remember, you aren't allowed to wear them in public.\Don't drop them or anything.\Yessir!\Speak clearly! It's yes, sir, Ashido.\Yes, sir...\Make sure you mind your manners with the heroes at your internships!\Off with you, now.\Yes, sir! response:	I can't wait!
context: Don't drop them or anything.\Yessir!\Speak clearly! It's yes, sir, Ashido.\Yes, sir...\Make sure you mind your manners with the heroes at your internships!\Off with you, now.\Yes, sir!\I can't wait! response:	Tokoyami, you're going to Kyushu? That's in the opposite direction.
context: Yessir!\Speak clearly! It's yes, sir, Ashido.\Yes, sir...\Make sure you mind your manners with the heroes at your internships!\Off with you, now.\Yes, sir!\I can't wait!\Tokoyami, you're going to Kyushu? That's in the opposite direction. response:	Iida!
context: Speak clearly! It's yes, sir, Ashido.\Yes, sir...\Make sure you mind your manners with the heroes at your internships!\Off with you, now.\Yes, sir!\I can't wait!\Tokoyami, you're going to Kyushu? That's in the opposite direction.\Iida! response:	If you ever feel hopeless, make sure you let us know.
context: Yes, sir...\Make sure you mind your manners with the heroes at your internships!\Off with you, now.\Yes, sir!\I can't wait!\Tokoyami, you're going to Kyushu? That's in the opposite direction.\Iida!\If you ever feel hopeless, make sure you let us know. response:	We're friends, right?
context: Make sure you mind your manners with the heroes at your internships!\Off with you, now.\Yes, sir!\I can't wait!\Tokoyami, you're going to Kyushu? That's in the opposite direction.\Iida!\If you ever feel hopeless, make sure you let us know.\We're friends, right? response:	Yeah.
context: Off with you, now.\Yes, sir!\I can't wait!\Tokoyami, you're going to Kyushu? That's in the opposite direction.\Iida!\If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah. response:	At that time, I should have been more emphatic.
context: Yes, sir!\I can't wait!\Tokoyami, you're going to Kyushu? That's in the opposite direction.\Iida!\If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah.\At that time, I should have been more emphatic. response:	Because I would eventually regret what happened on that day.
context: I can't wait!\Tokoyami, you're going to Kyushu? That's in the opposite direction.\Iida!\If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah.\At that time, I should have been more emphatic.\Because I would eventually regret what happened on that day. response:	Gran Torino
context: Tokoyami, you're going to Kyushu? That's in the opposite direction.\Iida!\If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah.\At that time, I should have been more emphatic.\Because I would eventually regret what happened on that day.\Gran Torino response:	A hero that even All Might is afraid of, huh?
context: Iida!\If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah.\At that time, I should have been more emphatic.\Because I would eventually regret what happened on that day.\Gran Torino\A hero that even All Might is afraid of, huh? response:	Gran Torino...
context: If you ever feel hopeless, make sure you let us know.\We're friends, right?\Yeah.\At that time, I should have been more emphatic.\Because I would eventually regret what happened on that day.\Gran Torino\A hero that even All Might is afraid of, huh?\Gran Torino... response:	I've never heard of him, but I'm sure he's an amazing person!
context: We're friends, right?\Yeah.\At that time, I should have been more emphatic.\Because I would eventually regret what happened on that day.\Gran Torino\A hero that even All Might is afraid of, huh?\Gran Torino...\I've never heard of him, but I'm sure he's an amazing person! response:	I'm sure he's an amazing person!
context: Yeah.\At that time, I should have been more emphatic.\Because I would eventually regret what happened on that day.\Gran Torino\A hero that even All Might is afraid of, huh?\Gran Torino...\I've never heard of him, but I'm sure he's an amazing person!\I'm sure he's an amazing person! response:	The address matches the one on the map...
context: At that time, I should have been more emphatic.\Because I would eventually regret what happened on that day.\Gran Torino\A hero that even All Might is afraid of, huh?\Gran Torino...\I've never heard of him, but I'm sure he's an amazing person!\I'm sure he's an amazing person!\The address matches the one on the map... response:	I'm here from U.A. High. My name is Izuku Midoriya...
context: Because I would eventually regret what happened on that day.\Gran Torino\A hero that even All Might is afraid of, huh?\Gran Torino...\I've never heard of him, but I'm sure he's an amazing person!\I'm sure he's an amazing person!\The address matches the one on the map...\I'm here from U.A. High. My name is Izuku Midoriya... response:	Nice to meet yo-
context: Gran Torino\A hero that even All Might is afraid of, huh?\Gran Torino...\I've never heard of him, but I'm sure he's an amazing person!\I'm sure he's an amazing person!\The address matches the one on the map...\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo- response:	He's dead!
context: A hero that even All Might is afraid of, huh?\Gran Torino...\I've never heard of him, but I'm sure he's an amazing person!\I'm sure he's an amazing person!\The address matches the one on the map...\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead! response:	I'm alive!
context: Gran Torino...\I've never heard of him, but I'm sure he's an amazing person!\I'm sure he's an amazing person!\The address matches the one on the map...\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead!\I'm alive! response:	He's alive!
context: I've never heard of him, but I'm sure he's an amazing person!\I'm sure he's an amazing person!\The address matches the one on the map...\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead!\I'm alive!\He's alive! response:	Preview
context: I'm sure he's an amazing person!\The address matches the one on the map...\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead!\I'm alive!\He's alive!\Preview response:	Here's the preview!
context: The address matches the one on the map...\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead!\I'm alive!\He's alive!\Preview\Here's the preview! response:	In order to do my internship, I've gone to the man who was once All Might's teacher,
context: I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead!\I'm alive!\He's alive!\Preview\Here's the preview!\In order to do my internship, I've gone to the man who was once All Might's teacher, response:	Gran Torino, but-
context: Nice to meet yo-\He's dead!\I'm alive!\He's alive!\Preview\Here's the preview!\In order to do my internship, I've gone to the man who was once All Might's teacher,\Gran Torino, but- response:	Who are you?
context: He's dead!\I'm alive!\He's alive!\Preview\Here's the preview!\In order to do my internship, I've gone to the man who was once All Might's teacher,\Gran Torino, but-\Who are you? response:	I'm Izuku Midoriya from U.A.!
context: I'm alive!\He's alive!\Preview\Here's the preview!\In order to do my internship, I've gone to the man who was once All Might's teacher,\Gran Torino, but-\Who are you?\I'm Izuku Midoriya from U.A.! response:	I look forward to working with you this week!
context: He's alive!\Preview\Here's the preview!\In order to do my internship, I've gone to the man who was once All Might's teacher,\Gran Torino, but-\Who are you?\I'm Izuku Midoriya from U.A.!\I look forward to working with you this week! response:	Who are you?
context: Preview\Here's the preview!\In order to do my internship, I've gone to the man who was once All Might's teacher,\Gran Torino, but-\Who are you?\I'm Izuku Midoriya from U.A.!\I look forward to working with you this week!\Who are you? response:	I-I said...
context: Here's the preview!\In order to do my internship, I've gone to the man who was once All Might's teacher,\Gran Torino, but-\Who are you?\I'm Izuku Midoriya from U.A.!\I look forward to working with you this week!\Who are you?\I-I said... response:	Toshinori!
context: In order to do my internship, I've gone to the man who was once All Might's teacher,\Gran Torino, but-\Who are you?\I'm Izuku Midoriya from U.A.!\I look forward to working with you this week!\Who are you?\I-I said...\Toshinori! response:	No, that's not it!
context: Gran Torino, but-\Who are you?\I'm Izuku Midoriya from U.A.!\I look forward to working with you this week!\Who are you?\I-I said...\Toshinori!\No, that's not it! response:	Who are you?
context: Who are you?\I'm Izuku Midoriya from U.A.!\I look forward to working with you this week!\Who are you?\I-I said...\Toshinori!\No, that's not it!\Who are you? response:	This conversation's going nowhere!
context: I'm Izuku Midoriya from U.A.!\I look forward to working with you this week!\Who are you?\I-I said...\Toshinori!\No, that's not it!\Who are you?\This conversation's going nowhere! response:	There's no time, so I'm going to keep going.
context: I look forward to working with you this week!\Who are you?\I-I said...\Toshinori!\No, that's not it!\Who are you?\This conversation's going nowhere!\There's no time, so I'm going to keep going. response:	Next time, Bizarre! Gran Torino Appears!
context: Who are you?\I-I said...\Toshinori!\No, that's not it!\Who are you?\This conversation's going nowhere!\There's no time, so I'm going to keep going.\Next time, Bizarre! Gran Torino Appears! response:	Next time: Bizarre! Gran Torino Appears
context: I-I said...\Toshinori!\No, that's not it!\Who are you?\This conversation's going nowhere!\There's no time, so I'm going to keep going.\Next time, Bizarre! Gran Torino Appears!\Next time: Bizarre! Gran Torino Appears response:	Go beyond!
context: Toshinori!\No, that's not it!\Who are you?\This conversation's going nowhere!\There's no time, so I'm going to keep going.\Next time, Bizarre! Gran Torino Appears!\Next time: Bizarre! Gran Torino Appears\Go beyond! response:	Plus Ultra!
