context: I don't want you to go! response:	I'm just going to do laundry.
context: so their sense of time is different from ours.\All right, if that's the case,\I'll bring whatever that treasure is back to you!\Saito, it's easy to say that, but...\What's the name of that treasure?\Andvari's Ring. A ring that has spent much time with us.\Andvari... I've heard of it.\I think it was a magic item that grants artificial souls. response:	What kind of person stole it?
context: All right, if that's the case,\I'll bring whatever that treasure is back to you!\Saito, it's easy to say that, but...\What's the name of that treasure?\Andvari's Ring. A ring that has spent much time with us.\Andvari... I've heard of it.\I think it was a magic item that grants artificial souls.\What kind of person stole it? response:	One of the individuals was called Cromwell.
context: I'll bring whatever that treasure is back to you!\Saito, it's easy to say that, but...\What's the name of that treasure?\Andvari's Ring. A ring that has spent much time with us.\Andvari... I've heard of it.\I think it was a magic item that grants artificial souls.\What kind of person stole it?\One of the individuals was called Cromwell. response:	We know nothing else.
context: Saito, it's easy to say that, but...\What's the name of that treasure?\Andvari's Ring. A ring that has spent much time with us.\Andvari... I've heard of it.\I think it was a magic item that grants artificial souls.\What kind of person stole it?\One of the individuals was called Cromwell.\We know nothing else. response:	Cromwell, is it?
context: What's the name of that treasure?\Andvari's Ring. A ring that has spent much time with us.\Andvari... I've heard of it.\I think it was a magic item that grants artificial souls.\What kind of person stole it?\One of the individuals was called Cromwell.\We know nothing else.\Cromwell, is it? response:	Okay, all right.
context: Andvari's Ring. A ring that has spent much time with us.\Andvari... I've heard of it.\I think it was a magic item that grants artificial souls.\What kind of person stole it?\One of the individuals was called Cromwell.\We know nothing else.\Cromwell, is it?\Okay, all right. response:	I'll make sure to find that guy and bring the ring back!
context: Andvari... I've heard of it.\I think it was a magic item that grants artificial souls.\What kind of person stole it?\One of the individuals was called Cromwell.\We know nothing else.\Cromwell, is it?\Okay, all right.\I'll make sure to find that guy and bring the ring back! response:	I promise!
context: I think it was a magic item that grants artificial souls.\What kind of person stole it?\One of the individuals was called Cromwell.\We know nothing else.\Cromwell, is it?\Okay, all right.\I'll make sure to find that guy and bring the ring back!\I promise! response:	You should give up.
context: What kind of person stole it?\One of the individuals was called Cromwell.\We know nothing else.\Cromwell, is it?\Okay, all right.\I'll make sure to find that guy and bring the ring back!\I promise!\You should give up. response:	Who would believe the promise of someone who randomly showed up,
context: One of the individuals was called Cromwell.\We know nothing else.\Cromwell, is it?\Okay, all right.\I'll make sure to find that guy and bring the ring back!\I promise!\You should give up.\Who would believe the promise of someone who randomly showed up, response:	let alone someone like you, who isn't even a mage?
context: We know nothing else.\Cromwell, is it?\Okay, all right.\I'll make sure to find that guy and bring the ring back!\I promise!\You should give up.\Who would believe the promise of someone who randomly showed up,\let alone someone like you, who isn't even a mage? response:	We believe.
context: Cromwell, is it?\Okay, all right.\I'll make sure to find that guy and bring the ring back!\I promise!\You should give up.\Who would believe the promise of someone who randomly showed up,\let alone someone like you, who isn't even a mage?\We believe. response:	The Spirit Tear!
context: Okay, all right.\I'll make sure to find that guy and bring the ring back!\I promise!\You should give up.\Who would believe the promise of someone who randomly showed up,\let alone someone like you, who isn't even a mage?\We believe.\The Spirit Tear! response:	Why?!
context: I'll make sure to find that guy and bring the ring back!\I promise!\You should give up.\Who would believe the promise of someone who randomly showed up,\let alone someone like you, who isn't even a mage?\We believe.\The Spirit Tear!\Why?! response:	Gundolf kept oath with us in the distant past.
context: I promise!\You should give up.\Who would believe the promise of someone who randomly showed up,\let alone someone like you, who isn't even a mage?\We believe.\The Spirit Tear!\Why?!\Gundolf kept oath with us in the distant past. response:	If it is Gundolf, it is worth believing.
context: You should give up.\Who would believe the promise of someone who randomly showed up,\let alone someone like you, who isn't even a mage?\We believe.\The Spirit Tear!\Why?!\Gundolf kept oath with us in the distant past.\If it is Gundolf, it is worth believing. response:	Gundolf?
context: Who would believe the promise of someone who randomly showed up,\let alone someone like you, who isn't even a mage?\We believe.\The Spirit Tear!\Why?!\Gundolf kept oath with us in the distant past.\If it is Gundolf, it is worth believing.\Gundolf? response:	What's that?
context: let alone someone like you, who isn't even a mage?\We believe.\The Spirit Tear!\Why?!\Gundolf kept oath with us in the distant past.\If it is Gundolf, it is worth believing.\Gundolf?\What's that? response:	That again?
context: We believe.\The Spirit Tear!\Why?!\Gundolf kept oath with us in the distant past.\If it is Gundolf, it is worth believing.\Gundolf?\What's that?\That again? response:	Well, in any case, I will make sure to keep the promise someday.
context: The Spirit Tear!\Why?!\Gundolf kept oath with us in the distant past.\If it is Gundolf, it is worth believing.\Gundolf?\What's that?\That again?\Well, in any case, I will make sure to keep the promise someday. response:	Someday?
context: Why?!\Gundolf kept oath with us in the distant past.\If it is Gundolf, it is worth believing.\Gundolf?\What's that?\That again?\Well, in any case, I will make sure to keep the promise someday.\Someday? response:	Spirits don't die, right?
context: Gundolf kept oath with us in the distant past.\If it is Gundolf, it is worth believing.\Gundolf?\What's that?\That again?\Well, in any case, I will make sure to keep the promise someday.\Someday?\Spirits don't die, right? response:	Then no matter how many years it takes, it doesn't matter.
context: If it is Gundolf, it is worth believing.\Gundolf?\What's that?\That again?\Well, in any case, I will make sure to keep the promise someday.\Someday?\Spirits don't die, right?\Then no matter how many years it takes, it doesn't matter. response:	So can you put all the overflowing water back to normal?
context: Gundolf?\What's that?\That again?\Well, in any case, I will make sure to keep the promise someday.\Someday?\Spirits don't die, right?\Then no matter how many years it takes, it doesn't matter.\So can you put all the overflowing water back to normal? response:	We shall so promise.
context: What's that?\That again?\Well, in any case, I will make sure to keep the promise someday.\Someday?\Spirits don't die, right?\Then no matter how many years it takes, it doesn't matter.\So can you put all the overflowing water back to normal?\We shall so promise. response:	Owe you...
context: That again?\Well, in any case, I will make sure to keep the promise someday.\Someday?\Spirits don't die, right?\Then no matter how many years it takes, it doesn't matter.\So can you put all the overflowing water back to normal?\We shall so promise.\Owe you... response:	Saito...
context: Well, in any case, I will make sure to keep the promise someday.\Someday?\Spirits don't die, right?\Then no matter how many years it takes, it doesn't matter.\So can you put all the overflowing water back to normal?\We shall so promise.\Owe you...\Saito... response:	How horrible!
context: Someday?\Spirits don't die, right?\Then no matter how many years it takes, it doesn't matter.\So can you put all the overflowing water back to normal?\We shall so promise.\Owe you...\Saito...\How horrible! response:	The biggest embarrassment of my life, no, the biggest mistake of my life!
context: Spirits don't die, right?\Then no matter how many years it takes, it doesn't matter.\So can you put all the overflowing water back to normal?\We shall so promise.\Owe you...\Saito...\How horrible!\The biggest embarrassment of my life, no, the biggest mistake of my life! response:	I thought you'd forget everything when you returned to normal!
context: Then no matter how many years it takes, it doesn't matter.\So can you put all the overflowing water back to normal?\We shall so promise.\Owe you...\Saito...\How horrible!\The biggest embarrassment of my life, no, the biggest mistake of my life!\I thought you'd forget everything when you returned to normal! response:	I remember all of it!
context: So can you put all the overflowing water back to normal?\We shall so promise.\Owe you...\Saito...\How horrible!\The biggest embarrassment of my life, no, the biggest mistake of my life!\I thought you'd forget everything when you returned to normal!\I remember all of it! response:	To think! Me! To this dog!
context: We shall so promise.\Owe you...\Saito...\How horrible!\The biggest embarrassment of my life, no, the biggest mistake of my life!\I thought you'd forget everything when you returned to normal!\I remember all of it!\To think! Me! To this dog! response:	Doing this and that!
context: Owe you...\Saito...\How horrible!\The biggest embarrassment of my life, no, the biggest mistake of my life!\I thought you'd forget everything when you returned to normal!\I remember all of it!\To think! Me! To this dog!\Doing this and that! response:	Don't take it out on me!
context: Saito...\How horrible!\The biggest embarrassment of my life, no, the biggest mistake of my life!\I thought you'd forget everything when you returned to normal!\I remember all of it!\To think! Me! To this dog!\Doing this and that!\Don't take it out on me! response:	It's Mon-Mon's fault for making the potion,
context: How horrible!\The biggest embarrassment of my life, no, the biggest mistake of my life!\I thought you'd forget everything when you returned to normal!\I remember all of it!\To think! Me! To this dog!\Doing this and that!\Don't take it out on me!\It's Mon-Mon's fault for making the potion, response:	and yours for drinking it!
context: The biggest embarrassment of my life, no, the biggest mistake of my life!\I thought you'd forget everything when you returned to normal!\I remember all of it!\To think! Me! To this dog!\Doing this and that!\Don't take it out on me!\It's Mon-Mon's fault for making the potion,\and yours for drinking it! response:	Be silent!
context: I thought you'd forget everything when you returned to normal!\I remember all of it!\To think! Me! To this dog!\Doing this and that!\Don't take it out on me!\It's Mon-Mon's fault for making the potion,\and yours for drinking it!\Be silent! response:	You dog!
context: I remember all of it!\To think! Me! To this dog!\Doing this and that!\Don't take it out on me!\It's Mon-Mon's fault for making the potion,\and yours for drinking it!\Be silent!\You dog! response:	Who is it?
context: To think! Me! To this dog!\Doing this and that!\Don't take it out on me!\It's Mon-Mon's fault for making the potion,\and yours for drinking it!\Be silent!\You dog!\Who is it? response:	You are as rowdy as ever.
context: Doing this and that!\Don't take it out on me!\It's Mon-Mon's fault for making the potion,\and yours for drinking it!\Be silent!\You dog!\Who is it?\You are as rowdy as ever. response:	Can it be...
context: Don't take it out on me!\It's Mon-Mon's fault for making the potion,\and yours for drinking it!\Be silent!\You dog!\Who is it?\You are as rowdy as ever.\Can it be... response:	Princess?
context: It's Mon-Mon's fault for making the potion,\and yours for drinking it!\Be silent!\You dog!\Who is it?\You are as rowdy as ever.\Can it be...\Princess? response:	The time has come.
context: and yours for drinking it!\Be silent!\You dog!\Who is it?\You are as rowdy as ever.\Can it be...\Princess?\The time has come. response:	It is finally time to go through with it.
context: Be silent!\You dog!\Who is it?\You are as rowdy as ever.\Can it be...\Princess?\The time has come.\It is finally time to go through with it. response:	As you wish, Your Excellency,
context: You dog!\Who is it?\You are as rowdy as ever.\Can it be...\Princess?\The time has come.\It is finally time to go through with it.\As you wish, Your Excellency, response:	Lord Cromwell.
context: Who is it?\You are as rowdy as ever.\Can it be...\Princess?\The time has come.\It is finally time to go through with it.\As you wish, Your Excellency,\Lord Cromwell. response:	As if I were under a real magic spell
context: You are as rowdy as ever.\Can it be...\Princess?\The time has come.\It is finally time to go through with it.\As you wish, Your Excellency,\Lord Cromwell.\As if I were under a real magic spell response:	A bright smile is burnt onto my heart
context: Can it be...\Princess?\The time has come.\It is finally time to go through with it.\As you wish, Your Excellency,\Lord Cromwell.\As if I were under a real magic spell\A bright smile is burnt onto my heart response:	But each time I see you, I give you a pointy, cold shoulder
context: Princess?\The time has come.\It is finally time to go through with it.\As you wish, Your Excellency,\Lord Cromwell.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder response:	Why do I act mean towards the one that I think about the most?
context: The time has come.\It is finally time to go through with it.\As you wish, Your Excellency,\Lord Cromwell.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most? response:	My true feelings, the shards of loneliness
context: It is finally time to go through with it.\As you wish, Your Excellency,\Lord Cromwell.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness response:	In the deepest part of my heart, I'm calling for you
context: As you wish, Your Excellency,\Lord Cromwell.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you response:	For the day to start from zero
context: Lord Cromwell.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero response:	Princess, I will take the feelings you harbor,
context: As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero\Princess, I will take the feelings you harbor, response:	and head to the kingdom of Albion.
context: A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero\Princess, I will take the feelings you harbor,\and head to the kingdom of Albion. response:	The magic knight that will guard us...
context: But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero\Princess, I will take the feelings you harbor,\and head to the kingdom of Albion.\The magic knight that will guard us... response:	Why is it you?
