context: I didn't have the energy to come up with excuses response:	like the bed was too small or that I forgot my wallet.
context: I should be heading back. The first train will be running shortly.\Huh?\Sorry for intruding when Naoki was here.\Are you dating him?\No.\Somehow I think he got the wrong idea,\but tell him I said hi.\Are you all right, Nana? response:	Huh? What about?
context: Huh?\Sorry for intruding when Naoki was here.\Are you dating him?\No.\Somehow I think he got the wrong idea,\but tell him I said hi.\Are you all right, Nana?\Huh? What about? response:	You idiot! I'm not that broken.
context: Sorry for intruding when Naoki was here.\Are you dating him?\No.\Somehow I think he got the wrong idea,\but tell him I said hi.\Are you all right, Nana?\Huh? What about?\You idiot! I'm not that broken. response:	Don't worry. I'll be fine.
context: Are you dating him?\No.\Somehow I think he got the wrong idea,\but tell him I said hi.\Are you all right, Nana?\Huh? What about?\You idiot! I'm not that broken.\Don't worry. I'll be fine. response:	I don't really know what a normal friendship is, but...
context: No.\Somehow I think he got the wrong idea,\but tell him I said hi.\Are you all right, Nana?\Huh? What about?\You idiot! I'm not that broken.\Don't worry. I'll be fine.\I don't really know what a normal friendship is, but... response:	No matter what Hachi decides to do,
context: Somehow I think he got the wrong idea,\but tell him I said hi.\Are you all right, Nana?\Huh? What about?\You idiot! I'm not that broken.\Don't worry. I'll be fine.\I don't really know what a normal friendship is, but...\No matter what Hachi decides to do, response:	I won't get in the way and I'll gently watch over her.
context: but tell him I said hi.\Are you all right, Nana?\Huh? What about?\You idiot! I'm not that broken.\Don't worry. I'll be fine.\I don't really know what a normal friendship is, but...\No matter what Hachi decides to do,\I won't get in the way and I'll gently watch over her. response:	Exactly like you're doing with me.
context: Are you all right, Nana?\Huh? What about?\You idiot! I'm not that broken.\Don't worry. I'll be fine.\I don't really know what a normal friendship is, but...\No matter what Hachi decides to do,\I won't get in the way and I'll gently watch over her.\Exactly like you're doing with me. response:	It's not as easy as it sounds.
context: Huh? What about?\You idiot! I'm not that broken.\Don't worry. I'll be fine.\I don't really know what a normal friendship is, but...\No matter what Hachi decides to do,\I won't get in the way and I'll gently watch over her.\Exactly like you're doing with me.\It's not as easy as it sounds. response:	I'm sorry, Yasu. Thank you.
context: You idiot! I'm not that broken.\Don't worry. I'll be fine.\I don't really know what a normal friendship is, but...\No matter what Hachi decides to do,\I won't get in the way and I'll gently watch over her.\Exactly like you're doing with me.\It's not as easy as it sounds.\I'm sorry, Yasu. Thank you. response:	Don't worry. Everything will be fine.
context: Don't worry. I'll be fine.\I don't really know what a normal friendship is, but...\No matter what Hachi decides to do,\I won't get in the way and I'll gently watch over her.\Exactly like you're doing with me.\It's not as easy as it sounds.\I'm sorry, Yasu. Thank you.\Don't worry. Everything will be fine. response:	Because Hachi and I are both women.
context: I don't really know what a normal friendship is, but...\No matter what Hachi decides to do,\I won't get in the way and I'll gently watch over her.\Exactly like you're doing with me.\It's not as easy as it sounds.\I'm sorry, Yasu. Thank you.\Don't worry. Everything will be fine.\Because Hachi and I are both women. response:	But maybe that's why it's so difficult.
context: No matter what Hachi decides to do,\I won't get in the way and I'll gently watch over her.\Exactly like you're doing with me.\It's not as easy as it sounds.\I'm sorry, Yasu. Thank you.\Don't worry. Everything will be fine.\Because Hachi and I are both women.\But maybe that's why it's so difficult. response:	I begin recording today.
context: I won't get in the way and I'll gently watch over her.\Exactly like you're doing with me.\It's not as easy as it sounds.\I'm sorry, Yasu. Thank you.\Don't worry. Everything will be fine.\Because Hachi and I are both women.\But maybe that's why it's so difficult.\I begin recording today. response:	I'm sorry.
context: Exactly like you're doing with me.\It's not as easy as it sounds.\I'm sorry, Yasu. Thank you.\Don't worry. Everything will be fine.\Because Hachi and I are both women.\But maybe that's why it's so difficult.\I begin recording today.\I'm sorry. response:	No, it's okay. We start in the afternoon.
context: It's not as easy as it sounds.\I'm sorry, Yasu. Thank you.\Don't worry. Everything will be fine.\Because Hachi and I are both women.\But maybe that's why it's so difficult.\I begin recording today.\I'm sorry.\No, it's okay. We start in the afternoon. response:	But we'll be confined to the studio for at least a week.
context: I'm sorry, Yasu. Thank you.\Don't worry. Everything will be fine.\Because Hachi and I are both women.\But maybe that's why it's so difficult.\I begin recording today.\I'm sorry.\No, it's okay. We start in the afternoon.\But we'll be confined to the studio for at least a week. response:	So before I go, could you let me know what you decided?
context: Don't worry. Everything will be fine.\Because Hachi and I are both women.\But maybe that's why it's so difficult.\I begin recording today.\I'm sorry.\No, it's okay. We start in the afternoon.\But we'll be confined to the studio for at least a week.\So before I go, could you let me know what you decided? response:	As things are, I'd feel so restless
context: Because Hachi and I are both women.\But maybe that's why it's so difficult.\I begin recording today.\I'm sorry.\No, it's okay. We start in the afternoon.\But we'll be confined to the studio for at least a week.\So before I go, could you let me know what you decided?\As things are, I'd feel so restless response:	I wouldn't be able to keep my mind on work.
context: But maybe that's why it's so difficult.\I begin recording today.\I'm sorry.\No, it's okay. We start in the afternoon.\But we'll be confined to the studio for at least a week.\So before I go, could you let me know what you decided?\As things are, I'd feel so restless\I wouldn't be able to keep my mind on work. response:	Sorry for being so pushy.
context: I begin recording today.\I'm sorry.\No, it's okay. We start in the afternoon.\But we'll be confined to the studio for at least a week.\So before I go, could you let me know what you decided?\As things are, I'd feel so restless\I wouldn't be able to keep my mind on work.\Sorry for being so pushy. response:	I wanna have this child and raise it as your child, Takumi.
context: I'm sorry.\No, it's okay. We start in the afternoon.\But we'll be confined to the studio for at least a week.\So before I go, could you let me know what you decided?\As things are, I'd feel so restless\I wouldn't be able to keep my mind on work.\Sorry for being so pushy.\I wanna have this child and raise it as your child, Takumi. response:	If it's okay with you.
context: No, it's okay. We start in the afternoon.\But we'll be confined to the studio for at least a week.\So before I go, could you let me know what you decided?\As things are, I'd feel so restless\I wouldn't be able to keep my mind on work.\Sorry for being so pushy.\I wanna have this child and raise it as your child, Takumi.\If it's okay with you. response:	Wanna get married?
context: But we'll be confined to the studio for at least a week.\So before I go, could you let me know what you decided?\As things are, I'd feel so restless\I wouldn't be able to keep my mind on work.\Sorry for being so pushy.\I wanna have this child and raise it as your child, Takumi.\If it's okay with you.\Wanna get married? response:	Huh?
context: So before I go, could you let me know what you decided?\As things are, I'd feel so restless\I wouldn't be able to keep my mind on work.\Sorry for being so pushy.\I wanna have this child and raise it as your child, Takumi.\If it's okay with you.\Wanna get married?\Huh? response:	You don't wanna raise it as an illegitimate child, do you?
context: As things are, I'd feel so restless\I wouldn't be able to keep my mind on work.\Sorry for being so pushy.\I wanna have this child and raise it as your child, Takumi.\If it's okay with you.\Wanna get married?\Huh?\You don't wanna raise it as an illegitimate child, do you? response:	If the public finds out, it'll look bad no matter how we spin it.
context: I wouldn't be able to keep my mind on work.\Sorry for being so pushy.\I wanna have this child and raise it as your child, Takumi.\If it's okay with you.\Wanna get married?\Huh?\You don't wanna raise it as an illegitimate child, do you?\If the public finds out, it'll look bad no matter how we spin it. response:	But if we get married, there shouldn't be a problem.
context: Sorry for being so pushy.\I wanna have this child and raise it as your child, Takumi.\If it's okay with you.\Wanna get married?\Huh?\You don't wanna raise it as an illegitimate child, do you?\If the public finds out, it'll look bad no matter how we spin it.\But if we get married, there shouldn't be a problem. response:	Besides, if I marry an ordinary girl
context: I wanna have this child and raise it as your child, Takumi.\If it's okay with you.\Wanna get married?\Huh?\You don't wanna raise it as an illegitimate child, do you?\If the public finds out, it'll look bad no matter how we spin it.\But if we get married, there shouldn't be a problem.\Besides, if I marry an ordinary girl response:	the media won't go too crazy over this.
context: If it's okay with you.\Wanna get married?\Huh?\You don't wanna raise it as an illegitimate child, do you?\If the public finds out, it'll look bad no matter how we spin it.\But if we get married, there shouldn't be a problem.\Besides, if I marry an ordinary girl\the media won't go too crazy over this. response:	No?
context: Wanna get married?\Huh?\You don't wanna raise it as an illegitimate child, do you?\If the public finds out, it'll look bad no matter how we spin it.\But if we get married, there shouldn't be a problem.\Besides, if I marry an ordinary girl\the media won't go too crazy over this.\No? response:	No matter what path in life you take with who,
context: Huh?\You don't wanna raise it as an illegitimate child, do you?\If the public finds out, it'll look bad no matter how we spin it.\But if we get married, there shouldn't be a problem.\Besides, if I marry an ordinary girl\the media won't go too crazy over this.\No?\No matter what path in life you take with who, response:	as long as you're happy, then that's fine with me.
context: You don't wanna raise it as an illegitimate child, do you?\If the public finds out, it'll look bad no matter how we spin it.\But if we get married, there shouldn't be a problem.\Besides, if I marry an ordinary girl\the media won't go too crazy over this.\No?\No matter what path in life you take with who,\as long as you're happy, then that's fine with me. response:	I may never become a person
context: If the public finds out, it'll look bad no matter how we spin it.\But if we get married, there shouldn't be a problem.\Besides, if I marry an ordinary girl\the media won't go too crazy over this.\No?\No matter what path in life you take with who,\as long as you're happy, then that's fine with me.\I may never become a person response:	who can wish for that from the bottom of my heart...
context: But if we get married, there shouldn't be a problem.\Besides, if I marry an ordinary girl\the media won't go too crazy over this.\No?\No matter what path in life you take with who,\as long as you're happy, then that's fine with me.\I may never become a person\who can wish for that from the bottom of my heart... response:	But I wanted to appear strong and graceful in your eyes.
context: Besides, if I marry an ordinary girl\the media won't go too crazy over this.\No?\No matter what path in life you take with who,\as long as you're happy, then that's fine with me.\I may never become a person\who can wish for that from the bottom of my heart...\But I wanted to appear strong and graceful in your eyes. response:	Like a manga heroine, who's too perfect to be real.
context: the media won't go too crazy over this.\No?\No matter what path in life you take with who,\as long as you're happy, then that's fine with me.\I may never become a person\who can wish for that from the bottom of my heart...\But I wanted to appear strong and graceful in your eyes.\Like a manga heroine, who's too perfect to be real. response:	I can't count how many nights
context: No?\No matter what path in life you take with who,\as long as you're happy, then that's fine with me.\I may never become a person\who can wish for that from the bottom of my heart...\But I wanted to appear strong and graceful in your eyes.\Like a manga heroine, who's too perfect to be real.\I can't count how many nights response:	I wished tomorrow would never come
context: No matter what path in life you take with who,\as long as you're happy, then that's fine with me.\I may never become a person\who can wish for that from the bottom of my heart...\But I wanted to appear strong and graceful in your eyes.\Like a manga heroine, who's too perfect to be real.\I can't count how many nights\I wished tomorrow would never come response:	To live as I am without being fake
context: as long as you're happy, then that's fine with me.\I may never become a person\who can wish for that from the bottom of my heart...\But I wanted to appear strong and graceful in your eyes.\Like a manga heroine, who's too perfect to be real.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake response:	What do I need
context: I may never become a person\who can wish for that from the bottom of my heart...\But I wanted to appear strong and graceful in your eyes.\Like a manga heroine, who's too perfect to be real.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need response:	If I don't believe in myself, what can I believe in
context: who can wish for that from the bottom of my heart...\But I wanted to appear strong and graceful in your eyes.\Like a manga heroine, who's too perfect to be real.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in response:	The answer is too close to see
context: But I wanted to appear strong and graceful in your eyes.\Like a manga heroine, who's too perfect to be real.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see response:	Black tears are falling down
context: Like a manga heroine, who's too perfect to be real.\I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down response:	I have nothing, only sadness
context: I can't count how many nights\I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down\I have nothing, only sadness response:	I can't put it into words
context: I wished tomorrow would never come\To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down\I have nothing, only sadness\I can't put it into words response:	My whole body starts to ache
context: To live as I am without being fake\What do I need\If I don't believe in myself, what can I believe in\The answer is too close to see\Black tears are falling down\I have nothing, only sadness\I can't put it into words\My whole body starts to ache response:	I can't stand it anymore on my own
