context: People do not live for the sake of clothing! response:	Satsuki Kiryuin is rising up to overthrow Life Fibers!
context: no, oppose the Life Fibers!\You bitch!\This shows that Satsuki was never worthy\to be a vessel of the Life Fibers.\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\However, I have that fool to thank for allowing me\to meet someone I never expected to see. response:	That's not
context: You bitch!\This shows that Satsuki was never worthy\to be a vessel of the Life Fibers.\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\However, I have that fool to thank for allowing me\to meet someone I never expected to see.\That's not response:	What in the world...?
context: This shows that Satsuki was never worthy\to be a vessel of the Life Fibers.\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\However, I have that fool to thank for allowing me\to meet someone I never expected to see.\That's not\What in the world...? response:	Ryuko Matoi, you are one whose body has
context: to be a vessel of the Life Fibers.\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\However, I have that fool to thank for allowing me\to meet someone I never expected to see.\That's not\What in the world...?\Ryuko Matoi, you are one whose body has response:	merged with Life Fibers, just as mine has.
context: Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\However, I have that fool to thank for allowing me\to meet someone I never expected to see.\That's not\What in the world...?\Ryuko Matoi, you are one whose body has\merged with Life Fibers, just as mine has. response:	All this time, you were the daughter I believed to be dead.
context: KAMUI JUNKETSU\However, I have that fool to thank for allowing me\to meet someone I never expected to see.\That's not\What in the world...?\Ryuko Matoi, you are one whose body has\merged with Life Fibers, just as mine has.\All this time, you were the daughter I believed to be dead. response:	NEXT EPISODE PREVIEW
context: However, I have that fool to thank for allowing me\to meet someone I never expected to see.\That's not\What in the world...?\Ryuko Matoi, you are one whose body has\merged with Life Fibers, just as mine has.\All this time, you were the daughter I believed to be dead.\NEXT EPISODE PREVIEW response:	Ryuko is unconscious, Satsuki has disappeared, and even Mako is missing!
context: to meet someone I never expected to see.\That's not\What in the world...?\Ryuko Matoi, you are one whose body has\merged with Life Fibers, just as mine has.\All this time, you were the daughter I believed to be dead.\NEXT EPISODE PREVIEW\Ryuko is unconscious, Satsuki has disappeared, and even Mako is missing! response:	EVEN MAKO
context: That's not\What in the world...?\Ryuko Matoi, you are one whose body has\merged with Life Fibers, just as mine has.\All this time, you were the daughter I believed to be dead.\NEXT EPISODE PREVIEW\Ryuko is unconscious, Satsuki has disappeared, and even Mako is missing!\EVEN MAKO response:	With all three heroines out of action, this is our greatest crisis!
context: What in the world...?\Ryuko Matoi, you are one whose body has\merged with Life Fibers, just as mine has.\All this time, you were the daughter I believed to be dead.\NEXT EPISODE PREVIEW\Ryuko is unconscious, Satsuki has disappeared, and even Mako is missing!\EVEN MAKO\With all three heroines out of action, this is our greatest crisis! response:	OUT OF ACTION
context: Ryuko Matoi, you are one whose body has\merged with Life Fibers, just as mine has.\All this time, you were the daughter I believed to be dead.\NEXT EPISODE PREVIEW\Ryuko is unconscious, Satsuki has disappeared, and even Mako is missing!\EVEN MAKO\With all three heroines out of action, this is our greatest crisis!\OUT OF ACTION response:	GREATEST CRISIS
context: merged with Life Fibers, just as mine has.\All this time, you were the daughter I believed to be dead.\NEXT EPISODE PREVIEW\Ryuko is unconscious, Satsuki has disappeared, and even Mako is missing!\EVEN MAKO\With all three heroines out of action, this is our greatest crisis!\OUT OF ACTION\GREATEST CRISIS response:	BUT
context: All this time, you were the daughter I believed to be dead.\NEXT EPISODE PREVIEW\Ryuko is unconscious, Satsuki has disappeared, and even Mako is missing!\EVEN MAKO\With all three heroines out of action, this is our greatest crisis!\OUT OF ACTION\GREATEST CRISIS\BUT response:	But the Elite Four remain! The naked warriors remain!
context: NEXT EPISODE PREVIEW\Ryuko is unconscious, Satsuki has disappeared, and even Mako is missing!\EVEN MAKO\With all three heroines out of action, this is our greatest crisis!\OUT OF ACTION\GREATEST CRISIS\BUT\But the Elite Four remain! The naked warriors remain! response:	REMAIN
context: Ryuko is unconscious, Satsuki has disappeared, and even Mako is missing!\EVEN MAKO\With all three heroines out of action, this is our greatest crisis!\OUT OF ACTION\GREATEST CRISIS\BUT\But the Elite Four remain! The naked warriors remain!\REMAIN response:	REMAIN
context: EVEN MAKO\With all three heroines out of action, this is our greatest crisis!\OUT OF ACTION\GREATEST CRISIS\BUT\But the Elite Four remain! The naked warriors remain!\REMAIN\REMAIN response:	Show Ragyo the power of human perseverance!
context: With all three heroines out of action, this is our greatest crisis!\OUT OF ACTION\GREATEST CRISIS\BUT\But the Elite Four remain! The naked warriors remain!\REMAIN\REMAIN\Show Ragyo the power of human perseverance! response:	Next time on Kill la Kill, Raindrops Keep Falling On My Head!
context: OUT OF ACTION\GREATEST CRISIS\BUT\But the Elite Four remain! The naked warriors remain!\REMAIN\REMAIN\Show Ragyo the power of human perseverance!\Next time on Kill la Kill, Raindrops Keep Falling On My Head! response:	EPISODE 19 RAINDROPS KEEP FALLING ON MY HEAD
