context: Sorry to call you here out of the blue. response:	It's okay...
context: At some point, I fell in love with it\I already know that it just isn't normal!\Never filling, our complete SNS search, endless\Your favorite anime's heroine's voice,\Adults, friends, all mine\If you take a step forward,\Look, infinite core friendships\My favorite character response:	Is the shy one next to me in class there
context: I already know that it just isn't normal!\Never filling, our complete SNS search, endless\Your favorite anime's heroine's voice,\Adults, friends, all mine\If you take a step forward,\Look, infinite core friendships\My favorite character\Is the shy one next to me in class there response:	Everyone in the world wants to be called Onii-chan
context: Never filling, our complete SNS search, endless\Your favorite anime's heroine's voice,\Adults, friends, all mine\If you take a step forward,\Look, infinite core friendships\My favorite character\Is the shy one next to me in class there\Everyone in the world wants to be called Onii-chan response:	Old, young, boys, girls, that's the age we're in
context: Your favorite anime's heroine's voice,\Adults, friends, all mine\If you take a step forward,\Look, infinite core friendships\My favorite character\Is the shy one next to me in class there\Everyone in the world wants to be called Onii-chan\Old, young, boys, girls, that's the age we're in response:	Everyone hides it, never saying a thing
context: Adults, friends, all mine\If you take a step forward,\Look, infinite core friendships\My favorite character\Is the shy one next to me in class there\Everyone in the world wants to be called Onii-chan\Old, young, boys, girls, that's the age we're in\Everyone hides it, never saying a thing response:	But if you understand, then I'll call you
context: If you take a step forward,\Look, infinite core friendships\My favorite character\Is the shy one next to me in class there\Everyone in the world wants to be called Onii-chan\Old, young, boys, girls, that's the age we're in\Everyone hides it, never saying a thing\But if you understand, then I'll call you response:	I mean, I just can't help it
context: Look, infinite core friendships\My favorite character\Is the shy one next to me in class there\Everyone in the world wants to be called Onii-chan\Old, young, boys, girls, that's the age we're in\Everyone hides it, never saying a thing\But if you understand, then I'll call you\I mean, I just can't help it response:	At some point, I fell in love with it
context: My favorite character\Is the shy one next to me in class there\Everyone in the world wants to be called Onii-chan\Old, young, boys, girls, that's the age we're in\Everyone hides it, never saying a thing\But if you understand, then I'll call you\I mean, I just can't help it\At some point, I fell in love with it response:	I already know that it just isn't normal!
context: Is the shy one next to me in class there\Everyone in the world wants to be called Onii-chan\Old, young, boys, girls, that's the age we're in\Everyone hides it, never saying a thing\But if you understand, then I'll call you\I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal! response:	Give me a grand|heart|
context: Everyone in the world wants to be called Onii-chan\Old, young, boys, girls, that's the age we're in\Everyone hides it, never saying a thing\But if you understand, then I'll call you\I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal!\Give me a grand|heart| response:	TS
context: Old, young, boys, girls, that's the age we're in\Everyone hides it, never saying a thing\But if you understand, then I'll call you\I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal!\Give me a grand|heart|\TS response:	H HO
context: Everyone hides it, never saying a thing\But if you understand, then I'll call you\I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal!\Give me a grand|heart|\TS\H HO response:	HO O
context: But if you understand, then I'll call you\I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal!\Give me a grand|heart|\TS\H HO\HO O response:	H O!
context: I mean, I just can't help it\At some point, I fell in love with it\I already know that it just isn't normal!\Give me a grand|heart|\TS\H HO\HO O\H O! response:	OS
context: At some point, I fell in love with it\I already know that it just isn't normal!\Give me a grand|heart|\TS\H HO\HO O\H O!\OS response:	sonna yasashiku shinai de donna kao sureba ii no?
context: I already know that it just isn't normal!\Give me a grand|heart|\TS\H HO\HO O\H O!\OS\sonna yasashiku shinai de donna kao sureba ii no? response:	tsumikasaneta kotoba de
context: Give me a grand|heart|\TS\H HO\HO O\H O!\OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de response:	mienai yo kimi no yokogao
context: TS\H HO\HO O\H O!\OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao response:	dokodakke? nakushita kagi ha mitsukaranai mama de
context: H HO\HO O\H O!\OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de response:	tameiki... surechigai ni iji hatte tsukarechau
context: HO O\H O!\OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau response:	hon no sukoshi chikaku kimi to no kyori ga
context: H O!\OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga response:	umaku tsukamenainda ato chotto na no ni
context: OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni response:	sonna yasashikushinaide hora mata kizutsukeatte
context: sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte response:	tsumikasaneta uso de mou ugokenakunatteru
context: tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru response:	sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi
context: mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi response:	saigo no ichi pe-ji kurai kimi ni ha egao misetai
context: dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai response:	Don't be so nice to me, I just don't know how to react
context: tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react response:	With all these words piling up,
context: hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up, response:	I can't even see your face
context: umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face response:	Where is it? I lost my key, now I can't find it
context: sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it response:	Sigh, I'll burn out if I keep acting like this whenever we fight
context: tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight response:	Maybe we're close? I just can't figure out
context: sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out response:	Just how far away I am, even though you're right there
context: saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there response:	Don't be so nice to me, see? We hurt each other again
context: Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again response:	With all these lies piling up, I can't even move
context: With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move response:	I want to see you now, but I don't know what to say
context: I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say response:	If this is the end for our story, I want you to see my smile
context: Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile response:	NO ED
context: Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\NO ED response:	TS
context: Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\NO ED\TS response:	Mazui Presents
context: Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\NO ED\TS\Mazui Presents response:	There's No Way My Little Sister 0000 can be This Cute
context: Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\NO ED\TS\Mazui Presents\There's No Way My Little Sister 0000 can be This Cute response:	There's No Way My Little Sister Can Cosplay Like This
context: With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\NO ED\TS\Mazui Presents\There's No Way My Little Sister 0000 can be This Cute\There's No Way My Little Sister Can Cosplay Like This response:	There's No Way My Little Sister Can Be a Maid
context: I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\NO ED\TS\Mazui Presents\There's No Way My Little Sister 0000 can be This Cute\There's No Way My Little Sister Can Cosplay Like This\There's No Way My Little Sister Can Be a Maid response:	I have acquired the item you requested.
context: If this is the end for our story, I want you to see my smile\NO ED\TS\Mazui Presents\There's No Way My Little Sister 0000 can be This Cute\There's No Way My Little Sister Can Cosplay Like This\There's No Way My Little Sister Can Be a Maid\I have acquired the item you requested. response:	I pray for your success in this mission.
context: NO ED\TS\Mazui Presents\There's No Way My Little Sister 0000 can be This Cute\There's No Way My Little Sister Can Cosplay Like This\There's No Way My Little Sister Can Be a Maid\I have acquired the item you requested.\I pray for your success in this mission. response:	Saori
context: TS\Mazui Presents\There's No Way My Little Sister 0000 can be This Cute\There's No Way My Little Sister Can Cosplay Like This\There's No Way My Little Sister Can Be a Maid\I have acquired the item you requested.\I pray for your success in this mission.\Saori response:	Struggle all you may against futility.
context: Mazui Presents\There's No Way My Little Sister 0000 can be This Cute\There's No Way My Little Sister Can Cosplay Like This\There's No Way My Little Sister Can Be a Maid\I have acquired the item you requested.\I pray for your success in this mission.\Saori\Struggle all you may against futility. response:	That alone may allow you escape
context: There's No Way My Little Sister 0000 can be This Cute\There's No Way My Little Sister Can Cosplay Like This\There's No Way My Little Sister Can Be a Maid\I have acquired the item you requested.\I pray for your success in this mission.\Saori\Struggle all you may against futility.\That alone may allow you escape response:	from the chains of failure.
context: There's No Way My Little Sister Can Cosplay Like This\There's No Way My Little Sister Can Be a Maid\I have acquired the item you requested.\I pray for your success in this mission.\Saori\Struggle all you may against futility.\That alone may allow you escape\from the chains of failure. response:	Kuroneko
