context: Long have I awaited this moment, human filth. response:	With the Subterranean and Deep Sea kings gone,
context: And expand the System M vitals monitor to cover all of City A.\We need an accurate count of the survivors.\What's the threat level?\Dragon, without doubt.\No...\This might be God.\Four Class S heroes can take care of the enemy on the ground...\The problem is that. response:	We can't reach it.
context: We need an accurate count of the survivors.\What's the threat level?\Dragon, without doubt.\No...\This might be God.\Four Class S heroes can take care of the enemy on the ground...\The problem is that.\We can't reach it. response:	Any aircraft would be shot down in seconds.
context: What's the threat level?\Dragon, without doubt.\No...\This might be God.\Four Class S heroes can take care of the enemy on the ground...\The problem is that.\We can't reach it.\Any aircraft would be shot down in seconds. response:	King, you're one of the top fighters in Class S.
context: Dragon, without doubt.\No...\This might be God.\Four Class S heroes can take care of the enemy on the ground...\The problem is that.\We can't reach it.\Any aircraft would be shot down in seconds.\King, you're one of the top fighters in Class S. response:	Give us your take.
context: No...\This might be God.\Four Class S heroes can take care of the enemy on the ground...\The problem is that.\We can't reach it.\Any aircraft would be shot down in seconds.\King, you're one of the top fighters in Class S.\Give us your take. response:	King, Class S rank 7.
context: This might be God.\Four Class S heroes can take care of the enemy on the ground...\The problem is that.\We can't reach it.\Any aircraft would be shot down in seconds.\King, you're one of the top fighters in Class S.\Give us your take.\King, Class S rank 7. response:	Said to be the strongest man on Earth,
context: Four Class S heroes can take care of the enemy on the ground...\The problem is that.\We can't reach it.\Any aircraft would be shot down in seconds.\King, you're one of the top fighters in Class S.\Give us your take.\King, Class S rank 7.\Said to be the strongest man on Earth, response:	and I see he is well respected by the other heroes
context: The problem is that.\We can't reach it.\Any aircraft would be shot down in seconds.\King, you're one of the top fighters in Class S.\Give us your take.\King, Class S rank 7.\Said to be the strongest man on Earth,\and I see he is well respected by the other heroes response:	There's nothing I can do.
context: We can't reach it.\Any aircraft would be shot down in seconds.\King, you're one of the top fighters in Class S.\Give us your take.\King, Class S rank 7.\Said to be the strongest man on Earth,\and I see he is well respected by the other heroes\There's nothing I can do. response:	It's too high in the sky. There's no way to attack it.
context: Any aircraft would be shot down in seconds.\King, you're one of the top fighters in Class S.\Give us your take.\King, Class S rank 7.\Said to be the strongest man on Earth,\and I see he is well respected by the other heroes\There's nothing I can do.\It's too high in the sky. There's no way to attack it. response:	But the mysterious craft is currently dormant.
context: King, you're one of the top fighters in Class S.\Give us your take.\King, Class S rank 7.\Said to be the strongest man on Earth,\and I see he is well respected by the other heroes\There's nothing I can do.\It's too high in the sky. There's no way to attack it.\But the mysterious craft is currently dormant. response:	We should use this opportunity to call in Metal Knight.
context: Give us your take.\King, Class S rank 7.\Said to be the strongest man on Earth,\and I see he is well respected by the other heroes\There's nothing I can do.\It's too high in the sky. There's no way to attack it.\But the mysterious craft is currently dormant.\We should use this opportunity to call in Metal Knight. response:	What the?! That's pathetic!
context: King, Class S rank 7.\Said to be the strongest man on Earth,\and I see he is well respected by the other heroes\There's nothing I can do.\It's too high in the sky. There's no way to attack it.\But the mysterious craft is currently dormant.\We should use this opportunity to call in Metal Knight.\What the?! That's pathetic! response:	Aren't you supposed to be the strongest man?
context: Said to be the strongest man on Earth,\and I see he is well respected by the other heroes\There's nothing I can do.\It's too high in the sky. There's no way to attack it.\But the mysterious craft is currently dormant.\We should use this opportunity to call in Metal Knight.\What the?! That's pathetic!\Aren't you supposed to be the strongest man? response:	Hey, Tornado.
context: and I see he is well respected by the other heroes\There's nothing I can do.\It's too high in the sky. There's no way to attack it.\But the mysterious craft is currently dormant.\We should use this opportunity to call in Metal Knight.\What the?! That's pathetic!\Aren't you supposed to be the strongest man?\Hey, Tornado. response:	This city's been blown away, If you piss King off, he'll kill you.
context: There's nothing I can do.\It's too high in the sky. There's no way to attack it.\But the mysterious craft is currently dormant.\We should use this opportunity to call in Metal Knight.\What the?! That's pathetic!\Aren't you supposed to be the strongest man?\Hey, Tornado.\This city's been blown away, If you piss King off, he'll kill you. response:	and you're just going to give them a free hand?
context: It's too high in the sky. There's no way to attack it.\But the mysterious craft is currently dormant.\We should use this opportunity to call in Metal Knight.\What the?! That's pathetic!\Aren't you supposed to be the strongest man?\Hey, Tornado.\This city's been blown away, If you piss King off, he'll kill you.\and you're just going to give them a free hand? response:	Unbelievable!
context: But the mysterious craft is currently dormant.\We should use this opportunity to call in Metal Knight.\What the?! That's pathetic!\Aren't you supposed to be the strongest man?\Hey, Tornado.\This city's been blown away, If you piss King off, he'll kill you.\and you're just going to give them a free hand?\Unbelievable! response:	Well forget it! I'll take care of this myself.
context: We should use this opportunity to call in Metal Knight.\What the?! That's pathetic!\Aren't you supposed to be the strongest man?\Hey, Tornado.\This city's been blown away, If you piss King off, he'll kill you.\and you're just going to give them a free hand?\Unbelievable!\Well forget it! I'll take care of this myself. response:	Wait, I will go too.
context: What the?! That's pathetic!\Aren't you supposed to be the strongest man?\Hey, Tornado.\This city's been blown away, If you piss King off, he'll kill you.\and you're just going to give them a free hand?\Unbelievable!\Well forget it! I'll take care of this myself.\Wait, I will go too. response:	I do not know how effective I can be,
context: Aren't you supposed to be the strongest man?\Hey, Tornado.\This city's been blown away, If you piss King off, he'll kill you.\and you're just going to give them a free hand?\Unbelievable!\Well forget it! I'll take care of this myself.\Wait, I will go too.\I do not know how effective I can be, response:	but I will attack from the ground.
context: Hey, Tornado.\This city's been blown away, If you piss King off, he'll kill you.\and you're just going to give them a free hand?\Unbelievable!\Well forget it! I'll take care of this myself.\Wait, I will go too.\I do not know how effective I can be,\but I will attack from the ground. response:	Maybe you didn't hear me.
context: This city's been blown away, If you piss King off, he'll kill you.\and you're just going to give them a free hand?\Unbelievable!\Well forget it! I'll take care of this myself.\Wait, I will go too.\I do not know how effective I can be,\but I will attack from the ground.\Maybe you didn't hear me. response:	I said forget about it!
context: and you're just going to give them a free hand?\Unbelievable!\Well forget it! I'll take care of this myself.\Wait, I will go too.\I do not know how effective I can be,\but I will attack from the ground.\Maybe you didn't hear me.\I said forget about it! response:	Take it easy, Genos.
context: Unbelievable!\Well forget it! I'll take care of this myself.\Wait, I will go too.\I do not know how effective I can be,\but I will attack from the ground.\Maybe you didn't hear me.\I said forget about it!\Take it easy, Genos. response:	I understand how you feel, but if you piss her off, she'll kill you.
context: Well forget it! I'll take care of this myself.\Wait, I will go too.\I do not know how effective I can be,\but I will attack from the ground.\Maybe you didn't hear me.\I said forget about it!\Take it easy, Genos.\I understand how you feel, but if you piss her off, she'll kill you. response:	Very well...
context: Wait, I will go too.\I do not know how effective I can be,\but I will attack from the ground.\Maybe you didn't hear me.\I said forget about it!\Take it easy, Genos.\I understand how you feel, but if you piss her off, she'll kill you.\Very well... response:	There is no need to team up anyway.
context: I do not know how effective I can be,\but I will attack from the ground.\Maybe you didn't hear me.\I said forget about it!\Take it easy, Genos.\I understand how you feel, but if you piss her off, she'll kill you.\Very well...\There is no need to team up anyway. response:	Master has already boarded the enemy ship.
context: but I will attack from the ground.\Maybe you didn't hear me.\I said forget about it!\Take it easy, Genos.\I understand how you feel, but if you piss her off, she'll kill you.\Very well...\There is no need to team up anyway.\Master has already boarded the enemy ship. response:	Whether this is the prophecy or not,
context: Maybe you didn't hear me.\I said forget about it!\Take it easy, Genos.\I understand how you feel, but if you piss her off, she'll kill you.\Very well...\There is no need to team up anyway.\Master has already boarded the enemy ship.\Whether this is the prophecy or not, response:	there's not a single evil Master cannot defeat.
context: I said forget about it!\Take it easy, Genos.\I understand how you feel, but if you piss her off, she'll kill you.\Very well...\There is no need to team up anyway.\Master has already boarded the enemy ship.\Whether this is the prophecy or not,\there's not a single evil Master cannot defeat. response:	If such an evil existed,
context: Take it easy, Genos.\I understand how you feel, but if you piss her off, she'll kill you.\Very well...\There is no need to team up anyway.\Master has already boarded the enemy ship.\Whether this is the prophecy or not,\there's not a single evil Master cannot defeat.\If such an evil existed, response:	then I assume the human race would have perished long ago.
context: I understand how you feel, but if you piss her off, she'll kill you.\Very well...\There is no need to team up anyway.\Master has already boarded the enemy ship.\Whether this is the prophecy or not,\there's not a single evil Master cannot defeat.\If such an evil existed,\then I assume the human race would have perished long ago. response:	Well done making it this far, intruder!
context: Very well...\There is no need to team up anyway.\Master has already boarded the enemy ship.\Whether this is the prophecy or not,\there's not a single evil Master cannot defeat.\If such an evil existed,\then I assume the human race would have perished long ago.\Well done making it this far, intruder! response:	But this is the end.
context: There is no need to team up anyway.\Master has already boarded the enemy ship.\Whether this is the prophecy or not,\there's not a single evil Master cannot defeat.\If such an evil existed,\then I assume the human race would have perished long ago.\Well done making it this far, intruder!\But this is the end. response:	You see, there is no way you can defeat me, Groribas!
context: Master has already boarded the enemy ship.\Whether this is the prophecy or not,\there's not a single evil Master cannot defeat.\If such an evil existed,\then I assume the human race would have perished long ago.\Well done making it this far, intruder!\But this is the end.\You see, there is no way you can defeat me, Groribas! response:	My Acid Breath will melt you away!
context: Whether this is the prophecy or not,\there's not a single evil Master cannot defeat.\If such an evil existed,\then I assume the human race would have perished long ago.\Well done making it this far, intruder!\But this is the end.\You see, there is no way you can defeat me, Groribas!\My Acid Breath will melt you away! response:	Isn't it about time the boss showed up?
context: there's not a single evil Master cannot defeat.\If such an evil existed,\then I assume the human race would have perished long ago.\Well done making it this far, intruder!\But this is the end.\You see, there is no way you can defeat me, Groribas!\My Acid Breath will melt you away!\Isn't it about time the boss showed up? response:	Well, if he's alive...
context: If such an evil existed,\then I assume the human race would have perished long ago.\Well done making it this far, intruder!\But this is the end.\You see, there is no way you can defeat me, Groribas!\My Acid Breath will melt you away!\Isn't it about time the boss showed up?\Well, if he's alive... response:	I, Groribas, control this preview! THE DOMINATOR OF THE UNIVERSE
context: then I assume the human race would have perished long ago.\Well done making it this far, intruder!\But this is the end.\You see, there is no way you can defeat me, Groribas!\My Acid Breath will melt you away!\Isn't it about time the boss showed up?\Well, if he's alive...\I, Groribas, control this preview! THE DOMINATOR OF THE UNIVERSE response:	I perfected some new moves. Now I have like 20! THE DOMINATOR OF THE UNIVERSE
context: Well done making it this far, intruder!\But this is the end.\You see, there is no way you can defeat me, Groribas!\My Acid Breath will melt you away!\Isn't it about time the boss showed up?\Well, if he's alive...\I, Groribas, control this preview! THE DOMINATOR OF THE UNIVERSE\I perfected some new moves. Now I have like 20! THE DOMINATOR OF THE UNIVERSE response:	But I couldn't show them off,
context: But this is the end.\You see, there is no way you can defeat me, Groribas!\My Acid Breath will melt you away!\Isn't it about time the boss showed up?\Well, if he's alive...\I, Groribas, control this preview! THE DOMINATOR OF THE UNIVERSE\I perfected some new moves. Now I have like 20! THE DOMINATOR OF THE UNIVERSE\But I couldn't show them off, response:	because, you know, they killed me off first!
context: You see, there is no way you can defeat me, Groribas!\My Acid Breath will melt you away!\Isn't it about time the boss showed up?\Well, if he's alive...\I, Groribas, control this preview! THE DOMINATOR OF THE UNIVERSE\I perfected some new moves. Now I have like 20! THE DOMINATOR OF THE UNIVERSE\But I couldn't show them off,\because, you know, they killed me off first! response:	Episode 11, The Dominator of the Universe.
context: My Acid Breath will melt you away!\Isn't it about time the boss showed up?\Well, if he's alive...\I, Groribas, control this preview! THE DOMINATOR OF THE UNIVERSE\I perfected some new moves. Now I have like 20! THE DOMINATOR OF THE UNIVERSE\But I couldn't show them off,\because, you know, they killed me off first!\Episode 11, The Dominator of the Universe. response:	It's your fight now, Lord Boros!
