context: I am Amon Kotaro, newly assigned to Control Division One as of today! response:	Pleased to make your acquaintance!
context: Everyone at least has a family, right?\Ayato!\What is it, sis?\Poor little guy. He's hurt, huh?\Dad...\How about we look after him at home?\Uh-huh!\Ah, I found a worm! response:	Don't cry! Be a man!
context: Ayato!\What is it, sis?\Poor little guy. He's hurt, huh?\Dad...\How about we look after him at home?\Uh-huh!\Ah, I found a worm!\Don't cry! Be a man! response:	Yeah, but...
context: What is it, sis?\Poor little guy. He's hurt, huh?\Dad...\How about we look after him at home?\Uh-huh!\Ah, I found a worm!\Don't cry! Be a man!\Yeah, but... response:	This is for Chunta!
context: Poor little guy. He's hurt, huh?\Dad...\How about we look after him at home?\Uh-huh!\Ah, I found a worm!\Don't cry! Be a man!\Yeah, but...\This is for Chunta! response:	Uh-huh.
context: Dad...\How about we look after him at home?\Uh-huh!\Ah, I found a worm!\Don't cry! Be a man!\Yeah, but...\This is for Chunta!\Uh-huh. response:	You caught this many?
context: How about we look after him at home?\Uh-huh!\Ah, I found a worm!\Don't cry! Be a man!\Yeah, but...\This is for Chunta!\Uh-huh.\You caught this many? response:	-Mm-hmm. -Mm-hmm.
context: Uh-huh!\Ah, I found a worm!\Don't cry! Be a man!\Yeah, but...\This is for Chunta!\Uh-huh.\You caught this many?\-Mm-hmm. -Mm-hmm. response:	Touka, you're as much a tomboy as your mother.
context: Ah, I found a worm!\Don't cry! Be a man!\Yeah, but...\This is for Chunta!\Uh-huh.\You caught this many?\-Mm-hmm. -Mm-hmm.\Touka, you're as much a tomboy as your mother. response:	What about me? What about me?
context: Don't cry! Be a man!\Yeah, but...\This is for Chunta!\Uh-huh.\You caught this many?\-Mm-hmm. -Mm-hmm.\Touka, you're as much a tomboy as your mother.\What about me? What about me? response:	I can't stand worms, either. Ayato, you're just like your dad.
context: Yeah, but...\This is for Chunta!\Uh-huh.\You caught this many?\-Mm-hmm. -Mm-hmm.\Touka, you're as much a tomboy as your mother.\What about me? What about me?\I can't stand worms, either. Ayato, you're just like your dad. response:	You two both need a bath.
context: This is for Chunta!\Uh-huh.\You caught this many?\-Mm-hmm. -Mm-hmm.\Touka, you're as much a tomboy as your mother.\What about me? What about me?\I can't stand worms, either. Ayato, you're just like your dad.\You two both need a bath. response:	Dad, give me a hug before we do!
context: Uh-huh.\You caught this many?\-Mm-hmm. -Mm-hmm.\Touka, you're as much a tomboy as your mother.\What about me? What about me?\I can't stand worms, either. Ayato, you're just like your dad.\You two both need a bath.\Dad, give me a hug before we do! response:	Me, too!
context: You caught this many?\-Mm-hmm. -Mm-hmm.\Touka, you're as much a tomboy as your mother.\What about me? What about me?\I can't stand worms, either. Ayato, you're just like your dad.\You two both need a bath.\Dad, give me a hug before we do!\Me, too! response:	All right.
context: -Mm-hmm. -Mm-hmm.\Touka, you're as much a tomboy as your mother.\What about me? What about me?\I can't stand worms, either. Ayato, you're just like your dad.\You two both need a bath.\Dad, give me a hug before we do!\Me, too!\All right. response:	You two sure are getting bigger.
context: Touka, you're as much a tomboy as your mother.\What about me? What about me?\I can't stand worms, either. Ayato, you're just like your dad.\You two both need a bath.\Dad, give me a hug before we do!\Me, too!\All right.\You two sure are getting bigger. response:	Touka, you're the older sister,
context: What about me? What about me?\I can't stand worms, either. Ayato, you're just like your dad.\You two both need a bath.\Dad, give me a hug before we do!\Me, too!\All right.\You two sure are getting bigger.\Touka, you're the older sister, response:	so you have to teach Ayato all sorts of things.
context: I can't stand worms, either. Ayato, you're just like your dad.\You two both need a bath.\Dad, give me a hug before we do!\Me, too!\All right.\You two sure are getting bigger.\Touka, you're the older sister,\so you have to teach Ayato all sorts of things. response:	Mm-hmm.
context: You two both need a bath.\Dad, give me a hug before we do!\Me, too!\All right.\You two sure are getting bigger.\Touka, you're the older sister,\so you have to teach Ayato all sorts of things.\Mm-hmm. response:	Ayato, you're the boy, so you have to protect your sister.
context: Dad, give me a hug before we do!\Me, too!\All right.\You two sure are getting bigger.\Touka, you're the older sister,\so you have to teach Ayato all sorts of things.\Mm-hmm.\Ayato, you're the boy, so you have to protect your sister. response:	Mm-hmm.
context: Me, too!\All right.\You two sure are getting bigger.\Touka, you're the older sister,\so you have to teach Ayato all sorts of things.\Mm-hmm.\Ayato, you're the boy, so you have to protect your sister.\Mm-hmm. response:	Promise me.
context: All right.\You two sure are getting bigger.\Touka, you're the older sister,\so you have to teach Ayato all sorts of things.\Mm-hmm.\Ayato, you're the boy, so you have to protect your sister.\Mm-hmm.\Promise me. response:	What kind of people did you have in your family?
context: You two sure are getting bigger.\Touka, you're the older sister,\so you have to teach Ayato all sorts of things.\Mm-hmm.\Ayato, you're the boy, so you have to protect your sister.\Mm-hmm.\Promise me.\What kind of people did you have in your family? response:	Huh?
context: Touka, you're the older sister,\so you have to teach Ayato all sorts of things.\Mm-hmm.\Ayato, you're the boy, so you have to protect your sister.\Mm-hmm.\Promise me.\What kind of people did you have in your family?\Huh? response:	Oh, well... My dad died before I can even remember.
context: so you have to teach Ayato all sorts of things.\Mm-hmm.\Ayato, you're the boy, so you have to protect your sister.\Mm-hmm.\Promise me.\What kind of people did you have in your family?\Huh?\Oh, well... My dad died before I can even remember. response:	My mom, too...
context: Mm-hmm.\Ayato, you're the boy, so you have to protect your sister.\Mm-hmm.\Promise me.\What kind of people did you have in your family?\Huh?\Oh, well... My dad died before I can even remember.\My mom, too... response:	when I was in grade school.
context: Ayato, you're the boy, so you have to protect your sister.\Mm-hmm.\Promise me.\What kind of people did you have in your family?\Huh?\Oh, well... My dad died before I can even remember.\My mom, too...\when I was in grade school. response:	Oh.
context: Mm-hmm.\Promise me.\What kind of people did you have in your family?\Huh?\Oh, well... My dad died before I can even remember.\My mom, too...\when I was in grade school.\Oh. response:	Hetare! Feeding time! Oh...
context: Promise me.\What kind of people did you have in your family?\Huh?\Oh, well... My dad died before I can even remember.\My mom, too...\when I was in grade school.\Oh.\Hetare! Feeding time! Oh... response:	Big Brother!
context: What kind of people did you have in your family?\Huh?\Oh, well... My dad died before I can even remember.\My mom, too...\when I was in grade school.\Oh.\Hetare! Feeding time! Oh...\Big Brother! response:	Hinami, you got your hair cut, huh?
context: Huh?\Oh, well... My dad died before I can even remember.\My mom, too...\when I was in grade school.\Oh.\Hetare! Feeding time! Oh...\Big Brother!\Hinami, you got your hair cut, huh? response:	That's right! Does it look good?
context: Oh, well... My dad died before I can even remember.\My mom, too...\when I was in grade school.\Oh.\Hetare! Feeding time! Oh...\Big Brother!\Hinami, you got your hair cut, huh?\That's right! Does it look good? response:	It looks very good on you. Did you go to a beauty shop?
context: My mom, too...\when I was in grade school.\Oh.\Hetare! Feeding time! Oh...\Big Brother!\Hinami, you got your hair cut, huh?\That's right! Does it look good?\It looks very good on you. Did you go to a beauty shop? response:	Mm-mm. Actually, I had Big Sister cut it!
context: when I was in grade school.\Oh.\Hetare! Feeding time! Oh...\Big Brother!\Hinami, you got your hair cut, huh?\That's right! Does it look good?\It looks very good on you. Did you go to a beauty shop?\Mm-mm. Actually, I had Big Sister cut it! response:	Huh?
context: Oh.\Hetare! Feeding time! Oh...\Big Brother!\Hinami, you got your hair cut, huh?\That's right! Does it look good?\It looks very good on you. Did you go to a beauty shop?\Mm-mm. Actually, I had Big Sister cut it!\Huh? response:	What?
context: Hetare! Feeding time! Oh...\Big Brother!\Hinami, you got your hair cut, huh?\That's right! Does it look good?\It looks very good on you. Did you go to a beauty shop?\Mm-mm. Actually, I had Big Sister cut it!\Huh?\What? response:	Oh, nothing.
context: Big Brother!\Hinami, you got your hair cut, huh?\That's right! Does it look good?\It looks very good on you. Did you go to a beauty shop?\Mm-mm. Actually, I had Big Sister cut it!\Huh?\What?\Oh, nothing. response:	You're thinking that's not like me, aren't you?
context: Hinami, you got your hair cut, huh?\That's right! Does it look good?\It looks very good on you. Did you go to a beauty shop?\Mm-mm. Actually, I had Big Sister cut it!\Huh?\What?\Oh, nothing.\You're thinking that's not like me, aren't you? response:	Mm-mm, I'm simply surprised at how good you are.
context: That's right! Does it look good?\It looks very good on you. Did you go to a beauty shop?\Mm-mm. Actually, I had Big Sister cut it!\Huh?\What?\Oh, nothing.\You're thinking that's not like me, aren't you?\Mm-mm, I'm simply surprised at how good you are. response:	I-Is that right?
context: It looks very good on you. Did you go to a beauty shop?\Mm-mm. Actually, I had Big Sister cut it!\Huh?\What?\Oh, nothing.\You're thinking that's not like me, aren't you?\Mm-mm, I'm simply surprised at how good you are.\I-Is that right? response:	Hetare! Stupid scum!
context: Mm-mm. Actually, I had Big Sister cut it!\Huh?\What?\Oh, nothing.\You're thinking that's not like me, aren't you?\Mm-mm, I'm simply surprised at how good you are.\I-Is that right?\Hetare! Stupid scum! response:	Son of a bitch! Son of a bitch!
context: Huh?\What?\Oh, nothing.\You're thinking that's not like me, aren't you?\Mm-mm, I'm simply surprised at how good you are.\I-Is that right?\Hetare! Stupid scum!\Son of a bitch! Son of a bitch! response:	Why, you! You've got a filthy mouth, you stupid cockatiel!
context: What?\Oh, nothing.\You're thinking that's not like me, aren't you?\Mm-mm, I'm simply surprised at how good you are.\I-Is that right?\Hetare! Stupid scum!\Son of a bitch! Son of a bitch!\Why, you! You've got a filthy mouth, you stupid cockatiel! response:	I'll deep-fry you in oil, you...!
context: Oh, nothing.\You're thinking that's not like me, aren't you?\Mm-mm, I'm simply surprised at how good you are.\I-Is that right?\Hetare! Stupid scum!\Son of a bitch! Son of a bitch!\Why, you! You've got a filthy mouth, you stupid cockatiel!\I'll deep-fry you in oil, you...! response:	Hetare!
context: You're thinking that's not like me, aren't you?\Mm-mm, I'm simply surprised at how good you are.\I-Is that right?\Hetare! Stupid scum!\Son of a bitch! Son of a bitch!\Why, you! You've got a filthy mouth, you stupid cockatiel!\I'll deep-fry you in oil, you...!\Hetare! response:	Bitter...
context: Mm-mm, I'm simply surprised at how good you are.\I-Is that right?\Hetare! Stupid scum!\Son of a bitch! Son of a bitch!\Why, you! You've got a filthy mouth, you stupid cockatiel!\I'll deep-fry you in oil, you...!\Hetare!\Bitter... response:	You've met her before, haven't you?
context: I-Is that right?\Hetare! Stupid scum!\Son of a bitch! Son of a bitch!\Why, you! You've got a filthy mouth, you stupid cockatiel!\I'll deep-fry you in oil, you...!\Hetare!\Bitter...\You've met her before, haven't you? response:	Rize? I don't have very fond memories of her.
context: Hetare! Stupid scum!\Son of a bitch! Son of a bitch!\Why, you! You've got a filthy mouth, you stupid cockatiel!\I'll deep-fry you in oil, you...!\Hetare!\Bitter...\You've met her before, haven't you?\Rize? I don't have very fond memories of her. response:	She won't get away this time.
context: Son of a bitch! Son of a bitch!\Why, you! You've got a filthy mouth, you stupid cockatiel!\I'll deep-fry you in oil, you...!\Hetare!\Bitter...\You've met her before, haven't you?\Rize? I don't have very fond memories of her.\She won't get away this time. response:	The 20th Ward.
context: Why, you! You've got a filthy mouth, you stupid cockatiel!\I'll deep-fry you in oil, you...!\Hetare!\Bitter...\You've met her before, haven't you?\Rize? I don't have very fond memories of her.\She won't get away this time.\The 20th Ward. response:	It's my first time here.
context: I'll deep-fry you in oil, you...!\Hetare!\Bitter...\You've met her before, haven't you?\Rize? I don't have very fond memories of her.\She won't get away this time.\The 20th Ward.\It's my first time here. response:	I get the feeling that time moves slower around here.
context: Hetare!\Bitter...\You've met her before, haven't you?\Rize? I don't have very fond memories of her.\She won't get away this time.\The 20th Ward.\It's my first time here.\I get the feeling that time moves slower around here. response:	You idiots. Don't let your guard down.
context: Bitter...\You've met her before, haven't you?\Rize? I don't have very fond memories of her.\She won't get away this time.\The 20th Ward.\It's my first time here.\I get the feeling that time moves slower around here.\You idiots. Don't let your guard down. response:	Let's hurry and get to work.
context: You've met her before, haven't you?\Rize? I don't have very fond memories of her.\She won't get away this time.\The 20th Ward.\It's my first time here.\I get the feeling that time moves slower around here.\You idiots. Don't let your guard down.\Let's hurry and get to work. response:	Are you sure this guy's really here, Mr. Banjo?
context: Rize? I don't have very fond memories of her.\She won't get away this time.\The 20th Ward.\It's my first time here.\I get the feeling that time moves slower around here.\You idiots. Don't let your guard down.\Let's hurry and get to work.\Are you sure this guy's really here, Mr. Banjo? response:	There's a coffee shop named Anteiku, run by an odd old ghoul.
context: She won't get away this time.\The 20th Ward.\It's my first time here.\I get the feeling that time moves slower around here.\You idiots. Don't let your guard down.\Let's hurry and get to work.\Are you sure this guy's really here, Mr. Banjo?\There's a coffee shop named Anteiku, run by an odd old ghoul. response:	Let's go. Miss Rize had to have gone there.
context: The 20th Ward.\It's my first time here.\I get the feeling that time moves slower around here.\You idiots. Don't let your guard down.\Let's hurry and get to work.\Are you sure this guy's really here, Mr. Banjo?\There's a coffee shop named Anteiku, run by an odd old ghoul.\Let's go. Miss Rize had to have gone there. response:	11th Ward
context: It's my first time here.\I get the feeling that time moves slower around here.\You idiots. Don't let your guard down.\Let's hurry and get to work.\Are you sure this guy's really here, Mr. Banjo?\There's a coffee shop named Anteiku, run by an odd old ghoul.\Let's go. Miss Rize had to have gone there.\11th Ward response:	No fight in them at all.
context: I get the feeling that time moves slower around here.\You idiots. Don't let your guard down.\Let's hurry and get to work.\Are you sure this guy's really here, Mr. Banjo?\There's a coffee shop named Anteiku, run by an odd old ghoul.\Let's go. Miss Rize had to have gone there.\11th Ward\No fight in them at all. response:	Any word from the airhead Banjo?
context: You idiots. Don't let your guard down.\Let's hurry and get to work.\Are you sure this guy's really here, Mr. Banjo?\There's a coffee shop named Anteiku, run by an odd old ghoul.\Let's go. Miss Rize had to have gone there.\11th Ward\No fight in them at all.\Any word from the airhead Banjo? response:	No, none.
context: Let's hurry and get to work.\Are you sure this guy's really here, Mr. Banjo?\There's a coffee shop named Anteiku, run by an odd old ghoul.\Let's go. Miss Rize had to have gone there.\11th Ward\No fight in them at all.\Any word from the airhead Banjo?\No, none. response:	Damn that clown. At this rate,
context: Are you sure this guy's really here, Mr. Banjo?\There's a coffee shop named Anteiku, run by an odd old ghoul.\Let's go. Miss Rize had to have gone there.\11th Ward\No fight in them at all.\Any word from the airhead Banjo?\No, none.\Damn that clown. At this rate, response:	Yamori and that fairy are going to get the jump on him.
context: There's a coffee shop named Anteiku, run by an odd old ghoul.\Let's go. Miss Rize had to have gone there.\11th Ward\No fight in them at all.\Any word from the airhead Banjo?\No, none.\Damn that clown. At this rate,\Yamori and that fairy are going to get the jump on him. response:	All right, we're heading to the 20th Ward, too.
context: Let's go. Miss Rize had to have gone there.\11th Ward\No fight in them at all.\Any word from the airhead Banjo?\No, none.\Damn that clown. At this rate,\Yamori and that fairy are going to get the jump on him.\All right, we're heading to the 20th Ward, too. response:	Our objective is to secure Rize.
context: 11th Ward\No fight in them at all.\Any word from the airhead Banjo?\No, none.\Damn that clown. At this rate,\Yamori and that fairy are going to get the jump on him.\All right, we're heading to the 20th Ward, too.\Our objective is to secure Rize. response:	Right!
context: No fight in them at all.\Any word from the airhead Banjo?\No, none.\Damn that clown. At this rate,\Yamori and that fairy are going to get the jump on him.\All right, we're heading to the 20th Ward, too.\Our objective is to secure Rize.\Right! response:	Come to think of it, Mr. Ayato, you're from the 20th Ward, huh?
context: Any word from the airhead Banjo?\No, none.\Damn that clown. At this rate,\Yamori and that fairy are going to get the jump on him.\All right, we're heading to the 20th Ward, too.\Our objective is to secure Rize.\Right!\Come to think of it, Mr. Ayato, you're from the 20th Ward, huh? response:	I don't remember much about it.
context: No, none.\Damn that clown. At this rate,\Yamori and that fairy are going to get the jump on him.\All right, we're heading to the 20th Ward, too.\Our objective is to secure Rize.\Right!\Come to think of it, Mr. Ayato, you're from the 20th Ward, huh?\I don't remember much about it. response:	They're basically a collection of peace-addicted wimps.
context: Damn that clown. At this rate,\Yamori and that fairy are going to get the jump on him.\All right, we're heading to the 20th Ward, too.\Our objective is to secure Rize.\Right!\Come to think of it, Mr. Ayato, you're from the 20th Ward, huh?\I don't remember much about it.\They're basically a collection of peace-addicted wimps. response:	Came to think of it, I do still have one relative there.
context: Yamori and that fairy are going to get the jump on him.\All right, we're heading to the 20th Ward, too.\Our objective is to secure Rize.\Right!\Come to think of it, Mr. Ayato, you're from the 20th Ward, huh?\I don't remember much about it.\They're basically a collection of peace-addicted wimps.\Came to think of it, I do still have one relative there. response:	One of the peace-addicted wimps.
context: All right, we're heading to the 20th Ward, too.\Our objective is to secure Rize.\Right!\Come to think of it, Mr. Ayato, you're from the 20th Ward, huh?\I don't remember much about it.\They're basically a collection of peace-addicted wimps.\Came to think of it, I do still have one relative there.\One of the peace-addicted wimps. response:	Though the city sleeps, its buildings are always
context: Our objective is to secure Rize.\Right!\Come to think of it, Mr. Ayato, you're from the 20th Ward, huh?\I don't remember much about it.\They're basically a collection of peace-addicted wimps.\Came to think of it, I do still have one relative there.\One of the peace-addicted wimps.\Though the city sleeps, its buildings are always response:	under construction
context: Right!\Come to think of it, Mr. Ayato, you're from the 20th Ward, huh?\I don't remember much about it.\They're basically a collection of peace-addicted wimps.\Came to think of it, I do still have one relative there.\One of the peace-addicted wimps.\Though the city sleeps, its buildings are always\under construction response:	Urban planning carries on
context: Come to think of it, Mr. Ayato, you're from the 20th Ward, huh?\I don't remember much about it.\They're basically a collection of peace-addicted wimps.\Came to think of it, I do still have one relative there.\One of the peace-addicted wimps.\Though the city sleeps, its buildings are always\under construction\Urban planning carries on response:	Its belt lines morphing, snakes interlocking,
context: I don't remember much about it.\They're basically a collection of peace-addicted wimps.\Came to think of it, I do still have one relative there.\One of the peace-addicted wimps.\Though the city sleeps, its buildings are always\under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking, response:	stirring up endorphins, and off you go, go, go
context: They're basically a collection of peace-addicted wimps.\Came to think of it, I do still have one relative there.\One of the peace-addicted wimps.\Though the city sleeps, its buildings are always\under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go response:	Souls ascend up into the night sky
context: Came to think of it, I do still have one relative there.\One of the peace-addicted wimps.\Though the city sleeps, its buildings are always\under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky response:	Their procession and their faith both resembling
context: One of the peace-addicted wimps.\Though the city sleeps, its buildings are always\under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling response:	an aberrant riddle
context: Though the city sleeps, its buildings are always\under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle response:	Our as-yet-empty tomorrows
context: under construction\Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows response:	are an all but black shade of gray
context: Urban planning carries on\Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray response:	Without any possibilities
context: Its belt lines morphing, snakes interlocking,\stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities response:	an all but black shade of gray
context: stirring up endorphins, and off you go, go, go\Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities\an all but black shade of gray response:	Ah, tonight, you're the one I want
context: Souls ascend up into the night sky\Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want response:	Saints
context: Their procession and their faith both resembling\an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want\Saints response:	Ah, I want you to signal the end
context: an aberrant riddle\Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end response:	Saints
context: Our as-yet-empty tomorrows\are an all but black shade of gray\Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end\Saints response:	Saints
context: are an all but black shade of gray\Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end\Saints\Saints response:	Saints
context: Without any possibilities\an all but black shade of gray\Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end\Saints\Saints\Saints response:	Oh, what is this, a showdown?
context: an all but black shade of gray\Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end\Saints\Saints\Saints\Oh, what is this, a showdown? response:	The newly-arrived ghoul and Mr. Uta are gonna go at it, Itari.
context: Ah, tonight, you're the one I want\Saints\Ah, I want you to signal the end\Saints\Saints\Saints\Oh, what is this, a showdown?\The newly-arrived ghoul and Mr. Uta are gonna go at it, Itari. response:	Are you the one who's been making waves around here lately?
context: Saints\Ah, I want you to signal the end\Saints\Saints\Saints\Oh, what is this, a showdown?\The newly-arrived ghoul and Mr. Uta are gonna go at it, Itari.\Are you the one who's been making waves around here lately? response:	What's the deal with the goofy glasses?
context: Ah, I want you to signal the end\Saints\Saints\Saints\Oh, what is this, a showdown?\The newly-arrived ghoul and Mr. Uta are gonna go at it, Itari.\Are you the one who's been making waves around here lately?\What's the deal with the goofy glasses? response:	Hey guys, you want to watch me make him cry?
context: Saints\Saints\Saints\Oh, what is this, a showdown?\The newly-arrived ghoul and Mr. Uta are gonna go at it, Itari.\Are you the one who's been making waves around here lately?\What's the deal with the goofy glasses?\Hey guys, you want to watch me make him cry? response:	Mr. Uta means business!
context: Saints\Saints\Oh, what is this, a showdown?\The newly-arrived ghoul and Mr. Uta are gonna go at it, Itari.\Are you the one who's been making waves around here lately?\What's the deal with the goofy glasses?\Hey guys, you want to watch me make him cry?\Mr. Uta means business! response:	They're gonna smash up the 4th Ward like this!
context: Saints\Oh, what is this, a showdown?\The newly-arrived ghoul and Mr. Uta are gonna go at it, Itari.\Are you the one who's been making waves around here lately?\What's the deal with the goofy glasses?\Hey guys, you want to watch me make him cry?\Mr. Uta means business!\They're gonna smash up the 4th Ward like this! response:	Next time:'Aogiri'
context: Oh, what is this, a showdown?\The newly-arrived ghoul and Mr. Uta are gonna go at it, Itari.\Are you the one who's been making waves around here lately?\What's the deal with the goofy glasses?\Hey guys, you want to watch me make him cry?\Mr. Uta means business!\They're gonna smash up the 4th Ward like this!\Next time:'Aogiri' response:	He's pretty strong, huh?
context: The newly-arrived ghoul and Mr. Uta are gonna go at it, Itari.\Are you the one who's been making waves around here lately?\What's the deal with the goofy glasses?\Hey guys, you want to watch me make him cry?\Mr. Uta means business!\They're gonna smash up the 4th Ward like this!\Next time:'Aogiri'\He's pretty strong, huh? response:	Layout: Katsuya Yamada
