context: Beer! Get your beer! response:	Alright, it's that time of year!
context: Nalpudding, you go.\Sure thing.\From Raven Tail, Nalpudding!\I'll do this one.\Eve-kun is our first person.\Eve-kun is our first person!\Eve has been called out! From Blue Pegasus, Eve Tilm!\I'll do it. The singing of the birds is pleasant today. response:	All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!
context: Sure thing.\From Raven Tail, Nalpudding!\I'll do this one.\Eve-kun is our first person.\Eve-kun is our first person!\Eve has been called out! From Blue Pegasus, Eve Tilm!\I'll do it. The singing of the birds is pleasant today.\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon! response:	Rufus is here!
context: From Raven Tail, Nalpudding!\I'll do this one.\Eve-kun is our first person.\Eve-kun is our first person!\Eve has been called out! From Blue Pegasus, Eve Tilm!\I'll do it. The singing of the birds is pleasant today.\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here! response:	Why are they makin' such a fuss?! Idiots!
context: I'll do this one.\Eve-kun is our first person.\Eve-kun is our first person!\Eve has been called out! From Blue Pegasus, Eve Tilm!\I'll do it. The singing of the birds is pleasant today.\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\Why are they makin' such a fuss?! Idiots! response:	I don't know what the rules of the game are,
context: Eve-kun is our first person.\Eve-kun is our first person!\Eve has been called out! From Blue Pegasus, Eve Tilm!\I'll do it. The singing of the birds is pleasant today.\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\Why are they makin' such a fuss?! Idiots!\I don't know what the rules of the game are, response:	but the name is Hidden, so maybe hiding is necessary.
context: Eve-kun is our first person!\Eve has been called out! From Blue Pegasus, Eve Tilm!\I'll do it. The singing of the birds is pleasant today.\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\Why are they makin' such a fuss?! Idiots!\I don't know what the rules of the game are,\but the name is Hidden, so maybe hiding is necessary. response:	If only Wendy were here... She's little...
context: Eve has been called out! From Blue Pegasus, Eve Tilm!\I'll do it. The singing of the birds is pleasant today.\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\Why are they makin' such a fuss?! Idiots!\I don't know what the rules of the game are,\but the name is Hidden, so maybe hiding is necessary.\If only Wendy were here... She's little... response:	I'll go first! I'll do it as a Man!
context: I'll do it. The singing of the birds is pleasant today.\All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\Why are they makin' such a fuss?! Idiots!\I don't know what the rules of the game are,\but the name is Hidden, so maybe hiding is necessary.\If only Wendy were here... She's little...\I'll go first! I'll do it as a Man! response:	Exactly what part of you is hidden, meatball?!
context: All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!\Rufus is here!\Why are they makin' such a fuss?! Idiots!\I don't know what the rules of the game are,\but the name is Hidden, so maybe hiding is necessary.\If only Wendy were here... She's little...\I'll go first! I'll do it as a Man!\Exactly what part of you is hidden, meatball?! response:	Being small may be the advantage here, so it should be either me or Yuuka.
context: Rufus is here!\Why are they makin' such a fuss?! Idiots!\I don't know what the rules of the game are,\but the name is Hidden, so maybe hiding is necessary.\If only Wendy were here... She's little...\I'll go first! I'll do it as a Man!\Exactly what part of you is hidden, meatball?!\Being small may be the advantage here, so it should be either me or Yuuka. response:	Don't call me small!
context: Why are they makin' such a fuss?! Idiots!\I don't know what the rules of the game are,\but the name is Hidden, so maybe hiding is necessary.\If only Wendy were here... She's little...\I'll go first! I'll do it as a Man!\Exactly what part of you is hidden, meatball?!\Being small may be the advantage here, so it should be either me or Yuuka.\Don't call me small! response:	No.
context: I don't know what the rules of the game are,\but the name is Hidden, so maybe hiding is necessary.\If only Wendy were here... She's little...\I'll go first! I'll do it as a Man!\Exactly what part of you is hidden, meatball?!\Being small may be the advantage here, so it should be either me or Yuuka.\Don't call me small!\No. response:	I'm going to take off like a rocket from the start.
context: but the name is Hidden, so maybe hiding is necessary.\If only Wendy were here... She's little...\I'll go first! I'll do it as a Man!\Exactly what part of you is hidden, meatball?!\Being small may be the advantage here, so it should be either me or Yuuka.\Don't call me small!\No.\I'm going to take off like a rocket from the start. response:	I'll do it.
context: If only Wendy were here... She's little...\I'll go first! I'll do it as a Man!\Exactly what part of you is hidden, meatball?!\Being small may be the advantage here, so it should be either me or Yuuka.\Don't call me small!\No.\I'm going to take off like a rocket from the start.\I'll do it. response:	From Lamia Scale, Lyon Vastia!
context: I'll go first! I'll do it as a Man!\Exactly what part of you is hidden, meatball?!\Being small may be the advantage here, so it should be either me or Yuuka.\Don't call me small!\No.\I'm going to take off like a rocket from the start.\I'll do it.\From Lamia Scale, Lyon Vastia! response:	Huh. In that case, I'll be in it, too.
context: Exactly what part of you is hidden, meatball?!\Being small may be the advantage here, so it should be either me or Yuuka.\Don't call me small!\No.\I'm going to take off like a rocket from the start.\I'll do it.\From Lamia Scale, Lyon Vastia!\Huh. In that case, I'll be in it, too. response:	You can show me what this tournament is like.
context: Being small may be the advantage here, so it should be either me or Yuuka.\Don't call me small!\No.\I'm going to take off like a rocket from the start.\I'll do it.\From Lamia Scale, Lyon Vastia!\Huh. In that case, I'll be in it, too.\You can show me what this tournament is like. response:	From Fairy Tail A Team, Gray Fullbuster!
context: Don't call me small!\No.\I'm going to take off like a rocket from the start.\I'll do it.\From Lamia Scale, Lyon Vastia!\Huh. In that case, I'll be in it, too.\You can show me what this tournament is like.\From Fairy Tail A Team, Gray Fullbuster! response:	If Gray-sama is going to be in it, then so is Juvia!
context: No.\I'm going to take off like a rocket from the start.\I'll do it.\From Lamia Scale, Lyon Vastia!\Huh. In that case, I'll be in it, too.\You can show me what this tournament is like.\From Fairy Tail A Team, Gray Fullbuster!\If Gray-sama is going to be in it, then so is Juvia! response:	Hey! If you lose on purpose, there'll be hell to pay!
context: I'm going to take off like a rocket from the start.\I'll do it.\From Lamia Scale, Lyon Vastia!\Huh. In that case, I'll be in it, too.\You can show me what this tournament is like.\From Fairy Tail A Team, Gray Fullbuster!\If Gray-sama is going to be in it, then so is Juvia!\Hey! If you lose on purpose, there'll be hell to pay! response:	From Fairy Tail B Team, Juvia Lockser!
context: I'll do it.\From Lamia Scale, Lyon Vastia!\Huh. In that case, I'll be in it, too.\You can show me what this tournament is like.\From Fairy Tail A Team, Gray Fullbuster!\If Gray-sama is going to be in it, then so is Juvia!\Hey! If you lose on purpose, there'll be hell to pay!\From Fairy Tail B Team, Juvia Lockser! response:	All of the participating players from the eight teams are set!
context: From Lamia Scale, Lyon Vastia!\Huh. In that case, I'll be in it, too.\You can show me what this tournament is like.\From Fairy Tail A Team, Gray Fullbuster!\If Gray-sama is going to be in it, then so is Juvia!\Hey! If you lose on purpose, there'll be hell to pay!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set! response:	And now for the rules of the opening game, Hidden!
context: Huh. In that case, I'll be in it, too.\You can show me what this tournament is like.\From Fairy Tail A Team, Gray Fullbuster!\If Gray-sama is going to be in it, then so is Juvia!\Hey! If you lose on purpose, there'll be hell to pay!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden! response:	Look at all the Grays!
context: You can show me what this tournament is like.\From Fairy Tail A Team, Gray Fullbuster!\If Gray-sama is going to be in it, then so is Juvia!\Hey! If you lose on purpose, there'll be hell to pay!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\Look at all the Grays! response:	Juvia is thrilled, huh?
context: From Fairy Tail A Team, Gray Fullbuster!\If Gray-sama is going to be in it, then so is Juvia!\Hey! If you lose on purpose, there'll be hell to pay!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\Look at all the Grays!\Juvia is thrilled, huh? response:	She's happy with a copy? Weirdo!
context: If Gray-sama is going to be in it, then so is Juvia!\Hey! If you lose on purpose, there'll be hell to pay!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\Look at all the Grays!\Juvia is thrilled, huh?\She's happy with a copy? Weirdo! response:	I wish I could use Copy Magic, too...
context: Hey! If you lose on purpose, there'll be hell to pay!\From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\Look at all the Grays!\Juvia is thrilled, huh?\She's happy with a copy? Weirdo!\I wish I could use Copy Magic, too... response:	What would you do with it?
context: From Fairy Tail B Team, Juvia Lockser!\All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\Look at all the Grays!\Juvia is thrilled, huh?\She's happy with a copy? Weirdo!\I wish I could use Copy Magic, too...\What would you do with it? response:	Make tons of copies of my favorite fish!
context: All of the participating players from the eight teams are set!\And now for the rules of the opening game, Hidden!\Look at all the Grays!\Juvia is thrilled, huh?\She's happy with a copy? Weirdo!\I wish I could use Copy Magic, too...\What would you do with it?\Make tons of copies of my favorite fish! response:	Can you eat copies of fish?
context: And now for the rules of the opening game, Hidden!\Look at all the Grays!\Juvia is thrilled, huh?\She's happy with a copy? Weirdo!\I wish I could use Copy Magic, too...\What would you do with it?\Make tons of copies of my favorite fish!\Can you eat copies of fish? response:	Come on! Don't throw cold water on my dreams!
context: Look at all the Grays!\Juvia is thrilled, huh?\She's happy with a copy? Weirdo!\I wish I could use Copy Magic, too...\What would you do with it?\Make tons of copies of my favorite fish!\Can you eat copies of fish?\Come on! Don't throw cold water on my dreams! response:	Next time: On a Night of Falling Stars!
context: Juvia is thrilled, huh?\She's happy with a copy? Weirdo!\I wish I could use Copy Magic, too...\What would you do with it?\Make tons of copies of my favorite fish!\Can you eat copies of fish?\Come on! Don't throw cold water on my dreams!\Next time: On a Night of Falling Stars! response:	I'll make a lot of angry Erzas to come after you, Natsu!
context: She's happy with a copy? Weirdo!\I wish I could use Copy Magic, too...\What would you do with it?\Make tons of copies of my favorite fish!\Can you eat copies of fish?\Come on! Don't throw cold water on my dreams!\Next time: On a Night of Falling Stars!\I'll make a lot of angry Erzas to come after you, Natsu! response:	No! Anything but that!
