context: I understand it in my head, but why can't I move? response:	I say I have no reason to win, but why is it so painful when I lose?
context: Sparkle\Sparkle Sparkle\So, who are you going to teach?\Sparkle\Sparkle Sparkle\Sparkle\Sparkle Sparkle\Well then! response:	Looks like he lost from the pressure, passion, and many other things
context: Sparkle Sparkle\So, who are you going to teach?\Sparkle\Sparkle Sparkle\Sparkle\Sparkle Sparkle\Well then!\Looks like he lost from the pressure, passion, and many other things response:	Please take care of us!
context: So, who are you going to teach?\Sparkle\Sparkle Sparkle\Sparkle\Sparkle Sparkle\Well then!\Looks like he lost from the pressure, passion, and many other things\Please take care of us! response:	Please! Yeay, Bododo!
context: Sparkle\Sparkle Sparkle\Sparkle\Sparkle Sparkle\Well then!\Looks like he lost from the pressure, passion, and many other things\Please take care of us!\Please! Yeay, Bododo! response:	No problem. The pleasure is mine.
context: Sparkle Sparkle\Sparkle\Sparkle Sparkle\Well then!\Looks like he lost from the pressure, passion, and many other things\Please take care of us!\Please! Yeay, Bododo!\No problem. The pleasure is mine. response:	Baaam
context: Sparkle\Sparkle Sparkle\Well then!\Looks like he lost from the pressure, passion, and many other things\Please take care of us!\Please! Yeay, Bododo!\No problem. The pleasure is mine.\Baaam response:	I hope it'll be okay. I hope I can remember everything.
context: Sparkle Sparkle\Well then!\Looks like he lost from the pressure, passion, and many other things\Please take care of us!\Please! Yeay, Bododo!\No problem. The pleasure is mine.\Baaam\I hope it'll be okay. I hope I can remember everything. response:	Don't worry! It looks difficult, but it's surprisingly simple to begin.
context: Well then!\Looks like he lost from the pressure, passion, and many other things\Please take care of us!\Please! Yeay, Bododo!\No problem. The pleasure is mine.\Baaam\I hope it'll be okay. I hope I can remember everything.\Don't worry! It looks difficult, but it's surprisingly simple to begin. response:	Bododo
context: Looks like he lost from the pressure, passion, and many other things\Please take care of us!\Please! Yeay, Bododo!\No problem. The pleasure is mine.\Baaam\I hope it'll be okay. I hope I can remember everything.\Don't worry! It looks difficult, but it's surprisingly simple to begin.\Bododo response:	Smile
context: Please take care of us!\Please! Yeay, Bododo!\No problem. The pleasure is mine.\Baaam\I hope it'll be okay. I hope I can remember everything.\Don't worry! It looks difficult, but it's surprisingly simple to begin.\Bododo\Smile response:	If you do feel that it's difficult, Hina, it won't be your fault.
context: Please! Yeay, Bododo!\No problem. The pleasure is mine.\Baaam\I hope it'll be okay. I hope I can remember everything.\Don't worry! It looks difficult, but it's surprisingly simple to begin.\Bododo\Smile\If you do feel that it's difficult, Hina, it won't be your fault. response:	Bododo
context: No problem. The pleasure is mine.\Baaam\I hope it'll be okay. I hope I can remember everything.\Don't worry! It looks difficult, but it's surprisingly simple to begin.\Bododo\Smile\If you do feel that it's difficult, Hina, it won't be your fault.\Bododo response:	The person who's teaching you is fully responsible.
context: Baaam\I hope it'll be okay. I hope I can remember everything.\Don't worry! It looks difficult, but it's surprisingly simple to begin.\Bododo\Smile\If you do feel that it's difficult, Hina, it won't be your fault.\Bododo\The person who's teaching you is fully responsible. response:	And so,
context: I hope it'll be okay. I hope I can remember everything.\Don't worry! It looks difficult, but it's surprisingly simple to begin.\Bododo\Smile\If you do feel that it's difficult, Hina, it won't be your fault.\Bododo\The person who's teaching you is fully responsible.\And so, response:	good luck, Mr. Kiriyama!
context: Don't worry! It looks difficult, but it's surprisingly simple to begin.\Bododo\Smile\If you do feel that it's difficult, Hina, it won't be your fault.\Bododo\The person who's teaching you is fully responsible.\And so,\good luck, Mr. Kiriyama! response:	Slap
context: Bododo\Smile\If you do feel that it's difficult, Hina, it won't be your fault.\Bododo\The person who's teaching you is fully responsible.\And so,\good luck, Mr. Kiriyama!\Slap response:	What? It's my turn after a lead-in like that?
context: Smile\If you do feel that it's difficult, Hina, it won't be your fault.\Bododo\The person who's teaching you is fully responsible.\And so,\good luck, Mr. Kiriyama!\Slap\What? It's my turn after a lead-in like that? response:	Gong
context: If you do feel that it's difficult, Hina, it won't be your fault.\Bododo\The person who's teaching you is fully responsible.\And so,\good luck, Mr. Kiriyama!\Slap\What? It's my turn after a lead-in like that?\Gong response:	Okay. I'll give you a simple explanation.
context: Bododo\The person who's teaching you is fully responsible.\And so,\good luck, Mr. Kiriyama!\Slap\What? It's my turn after a lead-in like that?\Gong\Okay. I'll give you a simple explanation. response:	On top of this board with nine rows and nine columns, you and your opponent
context: The person who's teaching you is fully responsible.\And so,\good luck, Mr. Kiriyama!\Slap\What? It's my turn after a lead-in like that?\Gong\Okay. I'll give you a simple explanation.\On top of this board with nine rows and nine columns, you and your opponent response:	both use 20 pieces with eight different types.
context: And so,\good luck, Mr. Kiriyama!\Slap\What? It's my turn after a lead-in like that?\Gong\Okay. I'll give you a simple explanation.\On top of this board with nine rows and nine columns, you and your opponent\both use 20 pieces with eight different types. response:	During the game, you take pieces and your pieces are taken,
context: good luck, Mr. Kiriyama!\Slap\What? It's my turn after a lead-in like that?\Gong\Okay. I'll give you a simple explanation.\On top of this board with nine rows and nine columns, you and your opponent\both use 20 pieces with eight different types.\During the game, you take pieces and your pieces are taken, response:	but the main point is to capture your opponent's king.
context: Slap\What? It's my turn after a lead-in like that?\Gong\Okay. I'll give you a simple explanation.\On top of this board with nine rows and nine columns, you and your opponent\both use 20 pieces with eight different types.\During the game, you take pieces and your pieces are taken,\but the main point is to capture your opponent's king. response:	The person who goes first is black, the second person is white,
context: What? It's my turn after a lead-in like that?\Gong\Okay. I'll give you a simple explanation.\On top of this board with nine rows and nine columns, you and your opponent\both use 20 pieces with eight different types.\During the game, you take pieces and your pieces are taken,\but the main point is to capture your opponent's king.\The person who goes first is black, the second person is white, response:	and then you go back and forth.
context: Gong\Okay. I'll give you a simple explanation.\On top of this board with nine rows and nine columns, you and your opponent\both use 20 pieces with eight different types.\During the game, you take pieces and your pieces are taken,\but the main point is to capture your opponent's king.\The person who goes first is black, the second person is white,\and then you go back and forth. response:	Each of the eight different types of pieces has its own attributes and range of movement.
context: Okay. I'll give you a simple explanation.\On top of this board with nine rows and nine columns, you and your opponent\both use 20 pieces with eight different types.\During the game, you take pieces and your pieces are taken,\but the main point is to capture your opponent's king.\The person who goes first is black, the second person is white,\and then you go back and forth.\Each of the eight different types of pieces has its own attributes and range of movement. response:	Incidentally, the columns are called files and the rows are called ranks.
context: On top of this board with nine rows and nine columns, you and your opponent\both use 20 pieces with eight different types.\During the game, you take pieces and your pieces are taken,\but the main point is to capture your opponent's king.\The person who goes first is black, the second person is white,\and then you go back and forth.\Each of the eight different types of pieces has its own attributes and range of movement.\Incidentally, the columns are called files and the rows are called ranks. response:	First Player
context: both use 20 pieces with eight different types.\During the game, you take pieces and your pieces are taken,\but the main point is to capture your opponent's king.\The person who goes first is black, the second person is white,\and then you go back and forth.\Each of the eight different types of pieces has its own attributes and range of movement.\Incidentally, the columns are called files and the rows are called ranks.\First Player response:	Second Player
context: During the game, you take pieces and your pieces are taken,\but the main point is to capture your opponent's king.\The person who goes first is black, the second person is white,\and then you go back and forth.\Each of the eight different types of pieces has its own attributes and range of movement.\Incidentally, the columns are called files and the rows are called ranks.\First Player\Second Player response:	The rows are marked with numerals.
context: but the main point is to capture your opponent's king.\The person who goes first is black, the second person is white,\and then you go back and forth.\Each of the eight different types of pieces has its own attributes and range of movement.\Incidentally, the columns are called files and the rows are called ranks.\First Player\Second Player\The rows are marked with numerals. response:	And all of the boxes have an address.
context: The person who goes first is black, the second person is white,\and then you go back and forth.\Each of the eight different types of pieces has its own attributes and range of movement.\Incidentally, the columns are called files and the rows are called ranks.\First Player\Second Player\The rows are marked with numerals.\And all of the boxes have an address. response:	Next, about the movement of each kind of piece...
context: and then you go back and forth.\Each of the eight different types of pieces has its own attributes and range of movement.\Incidentally, the columns are called files and the rows are called ranks.\First Player\Second Player\The rows are marked with numerals.\And all of the boxes have an address.\Next, about the movement of each kind of piece... response:	Wait a second, Kiriyama!
context: Each of the eight different types of pieces has its own attributes and range of movement.\Incidentally, the columns are called files and the rows are called ranks.\First Player\Second Player\The rows are marked with numerals.\And all of the boxes have an address.\Next, about the movement of each kind of piece...\Wait a second, Kiriyama! response:	Pull
context: Incidentally, the columns are called files and the rows are called ranks.\First Player\Second Player\The rows are marked with numerals.\And all of the boxes have an address.\Next, about the movement of each kind of piece...\Wait a second, Kiriyama!\Pull response:	That's stiff! You're too stiff, Kiriyama!
context: First Player\Second Player\The rows are marked with numerals.\And all of the boxes have an address.\Next, about the movement of each kind of piece...\Wait a second, Kiriyama!\Pull\That's stiff! You're too stiff, Kiriyama! response:	Um... Um...
context: Second Player\The rows are marked with numerals.\And all of the boxes have an address.\Next, about the movement of each kind of piece...\Wait a second, Kiriyama!\Pull\That's stiff! You're too stiff, Kiriyama!\Um... Um... response:	Write Write
context: The rows are marked with numerals.\And all of the boxes have an address.\Next, about the movement of each kind of piece...\Wait a second, Kiriyama!\Pull\That's stiff! You're too stiff, Kiriyama!\Um... Um...\Write Write response:	Um Um
context: And all of the boxes have an address.\Next, about the movement of each kind of piece...\Wait a second, Kiriyama!\Pull\That's stiff! You're too stiff, Kiriyama!\Um... Um...\Write Write\Um Um response:	Her expression says, Mmm, maybe this is difficult after all.
context: Next, about the movement of each kind of piece...\Wait a second, Kiriyama!\Pull\That's stiff! You're too stiff, Kiriyama!\Um... Um...\Write Write\Um Um\Her expression says, Mmm, maybe this is difficult after all. response:	Black goes first...
context: Wait a second, Kiriyama!\Pull\That's stiff! You're too stiff, Kiriyama!\Um... Um...\Write Write\Um Um\Her expression says, Mmm, maybe this is difficult after all.\Black goes first... response:	Hey, Hina, Momo would like some yogurt.
context: Pull\That's stiff! You're too stiff, Kiriyama!\Um... Um...\Write Write\Um Um\Her expression says, Mmm, maybe this is difficult after all.\Black goes first...\Hey, Hina, Momo would like some yogurt. response:	She'll be so nervous, it'll all go in one ear and out the other!
context: That's stiff! You're too stiff, Kiriyama!\Um... Um...\Write Write\Um Um\Her expression says, Mmm, maybe this is difficult after all.\Black goes first...\Hey, Hina, Momo would like some yogurt.\She'll be so nervous, it'll all go in one ear and out the other! response:	White goes second...
context: Um... Um...\Write Write\Um Um\Her expression says, Mmm, maybe this is difficult after all.\Black goes first...\Hey, Hina, Momo would like some yogurt.\She'll be so nervous, it'll all go in one ear and out the other!\White goes second... response:	It'll just be a waste.
context: Write Write\Um Um\Her expression says, Mmm, maybe this is difficult after all.\Black goes first...\Hey, Hina, Momo would like some yogurt.\She'll be so nervous, it'll all go in one ear and out the other!\White goes second...\It'll just be a waste. response:	You have to make the first impression easily understandable.
context: Um Um\Her expression says, Mmm, maybe this is difficult after all.\Black goes first...\Hey, Hina, Momo would like some yogurt.\She'll be so nervous, it'll all go in one ear and out the other!\White goes second...\It'll just be a waste.\You have to make the first impression easily understandable. response:	Th-Then what should I do?
context: Her expression says, Mmm, maybe this is difficult after all.\Black goes first...\Hey, Hina, Momo would like some yogurt.\She'll be so nervous, it'll all go in one ear and out the other!\White goes second...\It'll just be a waste.\You have to make the first impression easily understandable.\Th-Then what should I do? response:	All right, Hina and Momo!
context: Black goes first...\Hey, Hina, Momo would like some yogurt.\She'll be so nervous, it'll all go in one ear and out the other!\White goes second...\It'll just be a waste.\You have to make the first impression easily understandable.\Th-Then what should I do?\All right, Hina and Momo! response:	This time, I'll explain!
context: Hey, Hina, Momo would like some yogurt.\She'll be so nervous, it'll all go in one ear and out the other!\White goes second...\It'll just be a waste.\You have to make the first impression easily understandable.\Th-Then what should I do?\All right, Hina and Momo!\This time, I'll explain! response:	Drawn and Written by Harunobu Nikaidou
context: She'll be so nervous, it'll all go in one ear and out the other!\White goes second...\It'll just be a waste.\You have to make the first impression easily understandable.\Th-Then what should I do?\All right, Hina and Momo!\This time, I'll explain!\Drawn and Written by Harunobu Nikaidou response:	Shogi for Beginners Picture Book
context: White goes second...\It'll just be a waste.\You have to make the first impression easily understandable.\Th-Then what should I do?\All right, Hina and Momo!\This time, I'll explain!\Drawn and Written by Harunobu Nikaidou\Shogi for Beginners Picture Book response:	Okay, let's look at this picture book together.
context: It'll just be a waste.\You have to make the first impression easily understandable.\Th-Then what should I do?\All right, Hina and Momo!\This time, I'll explain!\Drawn and Written by Harunobu Nikaidou\Shogi for Beginners Picture Book\Okay, let's look at this picture book together. response:	Shiny
context: You have to make the first impression easily understandable.\Th-Then what should I do?\All right, Hina and Momo!\This time, I'll explain!\Drawn and Written by Harunobu Nikaidou\Shogi for Beginners Picture Book\Okay, let's look at this picture book together.\Shiny response:	All right!
context: Th-Then what should I do?\All right, Hina and Momo!\This time, I'll explain!\Drawn and Written by Harunobu Nikaidou\Shogi for Beginners Picture Book\Okay, let's look at this picture book together.\Shiny\All right! response:	Ha-Meow
context: All right, Hina and Momo!\This time, I'll explain!\Drawn and Written by Harunobu Nikaidou\Shogi for Beginners Picture Book\Okay, let's look at this picture book together.\Shiny\All right!\Ha-Meow response:	Oh, kitties!
context: This time, I'll explain!\Drawn and Written by Harunobu Nikaidou\Shogi for Beginners Picture Book\Okay, let's look at this picture book together.\Shiny\All right!\Ha-Meow\Oh, kitties! response:	Hungry
context: Drawn and Written by Harunobu Nikaidou\Shogi for Beginners Picture Book\Okay, let's look at this picture book together.\Shiny\All right!\Ha-Meow\Oh, kitties!\Hungry response:	There's a king, too. All different kinds of kitties!
context: Shogi for Beginners Picture Book\Okay, let's look at this picture book together.\Shiny\All right!\Ha-Meow\Oh, kitties!\Hungry\There's a king, too. All different kinds of kitties! response:	Shogi is a game in which you use eight different types of personality and pieces
context: Okay, let's look at this picture book together.\Shiny\All right!\Ha-Meow\Oh, kitties!\Hungry\There's a king, too. All different kinds of kitties!\Shogi is a game in which you use eight different types of personality and pieces response:	like this to capture your opponent's king.
context: Shiny\All right!\Ha-Meow\Oh, kitties!\Hungry\There's a king, too. All different kinds of kitties!\Shogi is a game in which you use eight different types of personality and pieces\like this to capture your opponent's king. response:	You play on this board of 81 squares, 9 rows and 9 columns.
context: All right!\Ha-Meow\Oh, kitties!\Hungry\There's a king, too. All different kinds of kitties!\Shogi is a game in which you use eight different types of personality and pieces\like this to capture your opponent's king.\You play on this board of 81 squares, 9 rows and 9 columns. response:	The three rows of pieces in front of you is your land.
context: Ha-Meow\Oh, kitties!\Hungry\There's a king, too. All different kinds of kitties!\Shogi is a game in which you use eight different types of personality and pieces\like this to capture your opponent's king.\You play on this board of 81 squares, 9 rows and 9 columns.\The three rows of pieces in front of you is your land. response:	Your Army
context: Oh, kitties!\Hungry\There's a king, too. All different kinds of kitties!\Shogi is a game in which you use eight different types of personality and pieces\like this to capture your opponent's king.\You play on this board of 81 squares, 9 rows and 9 columns.\The three rows of pieces in front of you is your land.\Your Army response:	The three rows on the other side are from your opponent's land.
context: Hungry\There's a king, too. All different kinds of kitties!\Shogi is a game in which you use eight different types of personality and pieces\like this to capture your opponent's king.\You play on this board of 81 squares, 9 rows and 9 columns.\The three rows of pieces in front of you is your land.\Your Army\The three rows on the other side are from your opponent's land. response:	Enemy Army
context: There's a king, too. All different kinds of kitties!\Shogi is a game in which you use eight different types of personality and pieces\like this to capture your opponent's king.\You play on this board of 81 squares, 9 rows and 9 columns.\The three rows of pieces in front of you is your land.\Your Army\The three rows on the other side are from your opponent's land.\Enemy Army response:	Next I'll introduce the personalities of each type of cat.
context: Shogi is a game in which you use eight different types of personality and pieces\like this to capture your opponent's king.\You play on this board of 81 squares, 9 rows and 9 columns.\The three rows of pieces in front of you is your land.\Your Army\The three rows on the other side are from your opponent's land.\Enemy Army\Next I'll introduce the personalities of each type of cat. response:	Meow
context: like this to capture your opponent's king.\You play on this board of 81 squares, 9 rows and 9 columns.\The three rows of pieces in front of you is your land.\Your Army\The three rows on the other side are from your opponent's land.\Enemy Army\Next I'll introduce the personalities of each type of cat.\Meow response:	Meow
context: You play on this board of 81 squares, 9 rows and 9 columns.\The three rows of pieces in front of you is your land.\Your Army\The three rows on the other side are from your opponent's land.\Enemy Army\Next I'll introduce the personalities of each type of cat.\Meow\Meow response:	Meow
context: The three rows of pieces in front of you is your land.\Your Army\The three rows on the other side are from your opponent's land.\Enemy Army\Next I'll introduce the personalities of each type of cat.\Meow\Meow\Meow response:	Okay!
context: Your Army\The three rows on the other side are from your opponent's land.\Enemy Army\Next I'll introduce the personalities of each type of cat.\Meow\Meow\Meow\Okay! response:	Yes, please.
context: The three rows on the other side are from your opponent's land.\Enemy Army\Next I'll introduce the personalities of each type of cat.\Meow\Meow\Meow\Okay!\Yes, please. response:	Yes! Good responses.
context: Enemy Army\Next I'll introduce the personalities of each type of cat.\Meow\Meow\Meow\Okay!\Yes, please.\Yes! Good responses. response:	Nikaidou... You're amazing.
context: Next I'll introduce the personalities of each type of cat.\Meow\Meow\Meow\Okay!\Yes, please.\Yes! Good responses.\Nikaidou... You're amazing. response:	What is this feeling I have?
context: Meow\Meow\Meow\Okay!\Yes, please.\Yes! Good responses.\Nikaidou... You're amazing.\What is this feeling I have? response:	Answer: Exclusion
context: Meow\Meow\Okay!\Yes, please.\Yes! Good responses.\Nikaidou... You're amazing.\What is this feeling I have?\Answer: Exclusion response:	Teach Me How to Play Shogi
context: Meow\Okay!\Yes, please.\Yes! Good responses.\Nikaidou... You're amazing.\What is this feeling I have?\Answer: Exclusion\Teach Me How to Play Shogi response:	Next Episode Preview
context: Okay!\Yes, please.\Yes! Good responses.\Nikaidou... You're amazing.\What is this feeling I have?\Answer: Exclusion\Teach Me How to Play Shogi\Next Episode Preview response:	Episode 8
context: Yes, please.\Yes! Good responses.\Nikaidou... You're amazing.\What is this feeling I have?\Answer: Exclusion\Teach Me How to Play Shogi\Next Episode Preview\Episode 8 response:	Wow! Really?! That's wonderful!
context: Yes! Good responses.\Nikaidou... You're amazing.\What is this feeling I have?\Answer: Exclusion\Teach Me How to Play Shogi\Next Episode Preview\Episode 8\Wow! Really?! That's wonderful! response:	What?!
context: Nikaidou... You're amazing.\What is this feeling I have?\Answer: Exclusion\Teach Me How to Play Shogi\Next Episode Preview\Episode 8\Wow! Really?! That's wonderful!\What?! response:	It came out wonderfully, Young Master!
context: What is this feeling I have?\Answer: Exclusion\Teach Me How to Play Shogi\Next Episode Preview\Episode 8\Wow! Really?! That's wonderful!\What?!\It came out wonderfully, Young Master! response:	Nikaidou! Damn you!
context: Answer: Exclusion\Teach Me How to Play Shogi\Next Episode Preview\Episode 8\Wow! Really?! That's wonderful!\What?!\It came out wonderfully, Young Master!\Nikaidou! Damn you! response:	Oh no... I'm going to cry!
context: Teach Me How to Play Shogi\Next Episode Preview\Episode 8\Wow! Really?! That's wonderful!\What?!\It came out wonderfully, Young Master!\Nikaidou! Damn you!\Oh no... I'm going to cry! response:	You noticed?
context: Next Episode Preview\Episode 8\Wow! Really?! That's wonderful!\What?!\It came out wonderfully, Young Master!\Nikaidou! Damn you!\Oh no... I'm going to cry!\You noticed? response:	I'll deliver you my meaty paw-punch meow!
context: Episode 8\Wow! Really?! That's wonderful!\What?!\It came out wonderfully, Young Master!\Nikaidou! Damn you!\Oh no... I'm going to cry!\You noticed?\I'll deliver you my meaty paw-punch meow! response:	Please watch the next episode of March Comes in Like a Lion, too!
context: Wow! Really?! That's wonderful!\What?!\It came out wonderfully, Young Master!\Nikaidou! Damn you!\Oh no... I'm going to cry!\You noticed?\I'll deliver you my meaty paw-punch meow!\Please watch the next episode of March Comes in Like a Lion, too! response:	Shogi is fun! Let's all try it together!
