context: I met that boring man response:	when I was going to community college.
context: Because Stand users attract other Stand users, apparently.\Yoshikage, where are you right now?\You never could help but kill women, even when you were a boy.\But if that's what brings you happiness, I'll protect you.\Because...\You're my one and only son.\Kosaku Kawajiri Shinobu Hayato\What's gotten into you? You're actually cooking? response:	I-I mean, I didn't know you even knew how.
context: Yoshikage, where are you right now?\You never could help but kill women, even when you were a boy.\But if that's what brings you happiness, I'll protect you.\Because...\You're my one and only son.\Kosaku Kawajiri Shinobu Hayato\What's gotten into you? You're actually cooking?\I-I mean, I didn't know you even knew how. response:	Two plates? This one's for me?
context: You never could help but kill women, even when you were a boy.\But if that's what brings you happiness, I'll protect you.\Because...\You're my one and only son.\Kosaku Kawajiri Shinobu Hayato\What's gotten into you? You're actually cooking?\I-I mean, I didn't know you even knew how.\Two plates? This one's for me? response:	You're telling me to eat your cooking?
context: But if that's what brings you happiness, I'll protect you.\Because...\You're my one and only son.\Kosaku Kawajiri Shinobu Hayato\What's gotten into you? You're actually cooking?\I-I mean, I didn't know you even knew how.\Two plates? This one's for me?\You're telling me to eat your cooking? response:	How stupid are you?
context: Because...\You're my one and only son.\Kosaku Kawajiri Shinobu Hayato\What's gotten into you? You're actually cooking?\I-I mean, I didn't know you even knew how.\Two plates? This one's for me?\You're telling me to eat your cooking?\How stupid are you? response:	Hey! Cut your nails later!
context: You're my one and only son.\Kosaku Kawajiri Shinobu Hayato\What's gotten into you? You're actually cooking?\I-I mean, I didn't know you even knew how.\Two plates? This one's for me?\You're telling me to eat your cooking?\How stupid are you?\Hey! Cut your nails later! response:	And didn't you cut them last night?
context: Kosaku Kawajiri Shinobu Hayato\What's gotten into you? You're actually cooking?\I-I mean, I didn't know you even knew how.\Two plates? This one's for me?\You're telling me to eat your cooking?\How stupid are you?\Hey! Cut your nails later!\And didn't you cut them last night? response:	They must grow fast...
context: What's gotten into you? You're actually cooking?\I-I mean, I didn't know you even knew how.\Two plates? This one's for me?\You're telling me to eat your cooking?\How stupid are you?\Hey! Cut your nails later!\And didn't you cut them last night?\They must grow fast... response:	Oh... Th-This is actually really good...
context: I-I mean, I didn't know you even knew how.\Two plates? This one's for me?\You're telling me to eat your cooking?\How stupid are you?\Hey! Cut your nails later!\And didn't you cut them last night?\They must grow fast...\Oh... Th-This is actually really good... response:	He
context: Two plates? This one's for me?\You're telling me to eat your cooking?\How stupid are you?\Hey! Cut your nails later!\And didn't you cut them last night?\They must grow fast...\Oh... Th-This is actually really good...\He response:	Hea
context: You're telling me to eat your cooking?\How stupid are you?\Hey! Cut your nails later!\And didn't you cut them last night?\They must grow fast...\Oh... Th-This is actually really good...\He\Hea response:	Hear
context: How stupid are you?\Hey! Cut your nails later!\And didn't you cut them last night?\They must grow fast...\Oh... Th-This is actually really good...\He\Hea\Hear response:	Heart
context: Hey! Cut your nails later!\And didn't you cut them last night?\They must grow fast...\Oh... Th-This is actually really good...\He\Hea\Hear\Heart response:	Heart F
context: And didn't you cut them last night?\They must grow fast...\Oh... Th-This is actually really good...\He\Hea\Hear\Heart\Heart F response:	Heart Fa
context: They must grow fast...\Oh... Th-This is actually really good...\He\Hea\Hear\Heart\Heart F\Heart Fa response:	Heart Fat
context: Oh... Th-This is actually really good...\He\Hea\Hear\Heart\Heart F\Heart Fa\Heart Fat response:	Heart Fath
context: He\Hea\Hear\Heart\Heart F\Heart Fa\Heart Fat\Heart Fath response:	Heart Fathe
context: Hea\Hear\Heart\Heart F\Heart Fa\Heart Fat\Heart Fath\Heart Fathe response:	Heart Father
context: Hear\Heart\Heart F\Heart Fa\Heart Fat\Heart Fath\Heart Fathe\Heart Father response:	Yoshi
context: Heart\Heart F\Heart Fa\Heart Fat\Heart Fath\Heart Fathe\Heart Father\Yoshi response:	Yoshihiro
context: Heart F\Heart Fa\Heart Fat\Heart Fath\Heart Fathe\Heart Father\Yoshi\Yoshihiro response:	Yoshihiro Ki
context: Heart Fa\Heart Fat\Heart Fath\Heart Fathe\Heart Father\Yoshi\Yoshihiro\Yoshihiro Ki response:	Yoshihiro Kira
context: Heart Fat\Heart Fath\Heart Fathe\Heart Father\Yoshi\Yoshihiro\Yoshihiro Ki\Yoshihiro Kira response:	Kitty!
context: Heart Fath\Heart Fathe\Heart Father\Yoshi\Yoshihiro\Yoshihiro Ki\Yoshihiro Kira\Kitty! response:	Why?
context: Heart Fathe\Heart Father\Yoshi\Yoshihiro\Yoshihiro Ki\Yoshihiro Kira\Kitty!\Why? response:	Were you crying all night at the top of that tree because you couldn't get in?
context: Heart Father\Yoshi\Yoshihiro\Yoshihiro Ki\Yoshihiro Kira\Kitty!\Why?\Were you crying all night at the top of that tree because you couldn't get in? response:	Hey! What gives you the right to shut the window near the tree?!
context: Yoshi\Yoshihiro\Yoshihiro Ki\Yoshihiro Kira\Kitty!\Why?\Were you crying all night at the top of that tree because you couldn't get in?\Hey! What gives you the right to shut the window near the tree?! response:	I've told you day after day not to shut it!
context: Yoshihiro\Yoshihiro Ki\Yoshihiro Kira\Kitty!\Why?\Were you crying all night at the top of that tree because you couldn't get in?\Hey! What gives you the right to shut the window near the tree?!\I've told you day after day not to shut it! response:	What's wrong, kitty? Why are you so worked up?
context: Yoshihiro Ki\Yoshihiro Kira\Kitty!\Why?\Were you crying all night at the top of that tree because you couldn't get in?\Hey! What gives you the right to shut the window near the tree?!\I've told you day after day not to shut it!\What's wrong, kitty? Why are you so worked up? response:	Cats hate water.
context: Yoshihiro Kira\Kitty!\Why?\Were you crying all night at the top of that tree because you couldn't get in?\Hey! What gives you the right to shut the window near the tree?!\I've told you day after day not to shut it!\What's wrong, kitty? Why are you so worked up?\Cats hate water. response:	I'm sorry about that. I shut the window without thinking.
context: Kitty!\Why?\Were you crying all night at the top of that tree because you couldn't get in?\Hey! What gives you the right to shut the window near the tree?!\I've told you day after day not to shut it!\What's wrong, kitty? Why are you so worked up?\Cats hate water.\I'm sorry about that. I shut the window without thinking. response:	I won't do it again.
context: Why?\Were you crying all night at the top of that tree because you couldn't get in?\Hey! What gives you the right to shut the window near the tree?!\I've told you day after day not to shut it!\What's wrong, kitty? Why are you so worked up?\Cats hate water.\I'm sorry about that. I shut the window without thinking.\I won't do it again. response:	Something's wrong. He's changed somehow.
context: Were you crying all night at the top of that tree because you couldn't get in?\Hey! What gives you the right to shut the window near the tree?!\I've told you day after day not to shut it!\What's wrong, kitty? Why are you so worked up?\Cats hate water.\I'm sorry about that. I shut the window without thinking.\I won't do it again.\Something's wrong. He's changed somehow. response:	He started cooking out of the blue last night,
context: Hey! What gives you the right to shut the window near the tree?!\I've told you day after day not to shut it!\What's wrong, kitty? Why are you so worked up?\Cats hate water.\I'm sorry about that. I shut the window without thinking.\I won't do it again.\Something's wrong. He's changed somehow.\He started cooking out of the blue last night, response:	and he's using an actual blade rather than an electric razor to shave.
context: I've told you day after day not to shut it!\What's wrong, kitty? Why are you so worked up?\Cats hate water.\I'm sorry about that. I shut the window without thinking.\I won't do it again.\Something's wrong. He's changed somehow.\He started cooking out of the blue last night,\and he's using an actual blade rather than an electric razor to shave. response:	Blades always give him razor burn...
context: What's wrong, kitty? Why are you so worked up?\Cats hate water.\I'm sorry about that. I shut the window without thinking.\I won't do it again.\Something's wrong. He's changed somehow.\He started cooking out of the blue last night,\and he's using an actual blade rather than an electric razor to shave.\Blades always give him razor burn... response:	Hey, you haven't paid your rent from last month.
context: Cats hate water.\I'm sorry about that. I shut the window without thinking.\I won't do it again.\Something's wrong. He's changed somehow.\He started cooking out of the blue last night,\and he's using an actual blade rather than an electric razor to shave.\Blades always give him razor burn...\Hey, you haven't paid your rent from last month. response:	It's now 260,000 yen including this month's.
context: I'm sorry about that. I shut the window without thinking.\I won't do it again.\Something's wrong. He's changed somehow.\He started cooking out of the blue last night,\and he's using an actual blade rather than an electric razor to shave.\Blades always give him razor burn...\Hey, you haven't paid your rent from last month.\It's now 260,000 yen including this month's. response:	Pay up right now!
context: I won't do it again.\Something's wrong. He's changed somehow.\He started cooking out of the blue last night,\and he's using an actual blade rather than an electric razor to shave.\Blades always give him razor burn...\Hey, you haven't paid your rent from last month.\It's now 260,000 yen including this month's.\Pay up right now! response:	Rent?
context: Something's wrong. He's changed somehow.\He started cooking out of the blue last night,\and he's using an actual blade rather than an electric razor to shave.\Blades always give him razor burn...\Hey, you haven't paid your rent from last month.\It's now 260,000 yen including this month's.\Pay up right now!\Rent? response:	You heard him. Hurry up and bring it from the safe.
context: He started cooking out of the blue last night,\and he's using an actual blade rather than an electric razor to shave.\Blades always give him razor burn...\Hey, you haven't paid your rent from last month.\It's now 260,000 yen including this month's.\Pay up right now!\Rent?\You heard him. Hurry up and bring it from the safe. response:	Safe?
context: and he's using an actual blade rather than an electric razor to shave.\Blades always give him razor burn...\Hey, you haven't paid your rent from last month.\It's now 260,000 yen including this month's.\Pay up right now!\Rent?\You heard him. Hurry up and bring it from the safe.\Safe? response:	Hurry! You're the only one who knows the combination to the safe!
context: Blades always give him razor burn...\Hey, you haven't paid your rent from last month.\It's now 260,000 yen including this month's.\Pay up right now!\Rent?\You heard him. Hurry up and bring it from the safe.\Safe?\Hurry! You're the only one who knows the combination to the safe! response:	Hey, what are you...
context: Hey, you haven't paid your rent from last month.\It's now 260,000 yen including this month's.\Pay up right now!\Rent?\You heard him. Hurry up and bring it from the safe.\Safe?\Hurry! You're the only one who knows the combination to the safe!\Hey, what are you... response:	Thank you for coming so early in the morning, sir.
context: It's now 260,000 yen including this month's.\Pay up right now!\Rent?\You heard him. Hurry up and bring it from the safe.\Safe?\Hurry! You're the only one who knows the combination to the safe!\Hey, what are you...\Thank you for coming so early in the morning, sir. response:	But I seem to be a bit short on cash right now.
context: Pay up right now!\Rent?\You heard him. Hurry up and bring it from the safe.\Safe?\Hurry! You're the only one who knows the combination to the safe!\Hey, what are you...\Thank you for coming so early in the morning, sir.\But I seem to be a bit short on cash right now. response:	Huh?
context: Rent?\You heard him. Hurry up and bring it from the safe.\Safe?\Hurry! You're the only one who knows the combination to the safe!\Hey, what are you...\Thank you for coming so early in the morning, sir.\But I seem to be a bit short on cash right now.\Huh? response:	Quit screwing around!
context: You heard him. Hurry up and bring it from the safe.\Safe?\Hurry! You're the only one who knows the combination to the safe!\Hey, what are you...\Thank you for coming so early in the morning, sir.\But I seem to be a bit short on cash right now.\Huh?\Quit screwing around! response:	You got in over your head when
context: Safe?\Hurry! You're the only one who knows the combination to the safe!\Hey, what are you...\Thank you for coming so early in the morning, sir.\But I seem to be a bit short on cash right now.\Huh?\Quit screwing around!\You got in over your head when response:	you tried to rent my wonderful house with your lousy income, you peon!
context: Hurry! You're the only one who knows the combination to the safe!\Hey, what are you...\Thank you for coming so early in the morning, sir.\But I seem to be a bit short on cash right now.\Huh?\Quit screwing around!\You got in over your head when\you tried to rent my wonderful house with your lousy income, you peon! response:	You need to learn to live within your means!
context: Hey, what are you...\Thank you for coming so early in the morning, sir.\But I seem to be a bit short on cash right now.\Huh?\Quit screwing around!\You got in over your head when\you tried to rent my wonderful house with your lousy income, you peon!\You need to learn to live within your means! response:	Um, we'll get it right away
context: Thank you for coming so early in the morning, sir.\But I seem to be a bit short on cash right now.\Huh?\Quit screwing around!\You got in over your head when\you tried to rent my wonderful house with your lousy income, you peon!\You need to learn to live within your means!\Um, we'll get it right away response:	No. Please don't get the wrong idea.
context: But I seem to be a bit short on cash right now.\Huh?\Quit screwing around!\You got in over your head when\you tried to rent my wonderful house with your lousy income, you peon!\You need to learn to live within your means!\Um, we'll get it right away\No. Please don't get the wrong idea. response:	When I said I was a bit short, look.
context: Huh?\Quit screwing around!\You got in over your head when\you tried to rent my wonderful house with your lousy income, you peon!\You need to learn to live within your means!\Um, we'll get it right away\No. Please don't get the wrong idea.\When I said I was a bit short, look. response:	I meant that I only had a little over 500,000 yen.
context: Quit screwing around!\You got in over your head when\you tried to rent my wonderful house with your lousy income, you peon!\You need to learn to live within your means!\Um, we'll get it right away\No. Please don't get the wrong idea.\When I said I was a bit short, look.\I meant that I only had a little over 500,000 yen. response:	I'll only be able to pay for this month,
context: You got in over your head when\you tried to rent my wonderful house with your lousy income, you peon!\You need to learn to live within your means!\Um, we'll get it right away\No. Please don't get the wrong idea.\When I said I was a bit short, look.\I meant that I only had a little over 500,000 yen.\I'll only be able to pay for this month, response:	last month, and the next two months in advance.
context: you tried to rent my wonderful house with your lousy income, you peon!\You need to learn to live within your means!\Um, we'll get it right away\No. Please don't get the wrong idea.\When I said I was a bit short, look.\I meant that I only had a little over 500,000 yen.\I'll only be able to pay for this month,\last month, and the next two months in advance. response:	Will that suffice?
context: You need to learn to live within your means!\Um, we'll get it right away\No. Please don't get the wrong idea.\When I said I was a bit short, look.\I meant that I only had a little over 500,000 yen.\I'll only be able to pay for this month,\last month, and the next two months in advance.\Will that suffice? response:	Y-Yes, that's plenty.
context: Um, we'll get it right away\No. Please don't get the wrong idea.\When I said I was a bit short, look.\I meant that I only had a little over 500,000 yen.\I'll only be able to pay for this month,\last month, and the next two months in advance.\Will that suffice?\Y-Yes, that's plenty. response:	Thank you very much.
context: No. Please don't get the wrong idea.\When I said I was a bit short, look.\I meant that I only had a little over 500,000 yen.\I'll only be able to pay for this month,\last month, and the next two months in advance.\Will that suffice?\Y-Yes, that's plenty.\Thank you very much. response:	Pleasure doing business with you!
context: When I said I was a bit short, look.\I meant that I only had a little over 500,000 yen.\I'll only be able to pay for this month,\last month, and the next two months in advance.\Will that suffice?\Y-Yes, that's plenty.\Thank you very much.\Pleasure doing business with you! response:	Y-You...
context: I meant that I only had a little over 500,000 yen.\I'll only be able to pay for this month,\last month, and the next two months in advance.\Will that suffice?\Y-Yes, that's plenty.\Thank you very much.\Pleasure doing business with you!\Y-You... response:	You must have stolen that money from the landlord.
context: I'll only be able to pay for this month,\last month, and the next two months in advance.\Will that suffice?\Y-Yes, that's plenty.\Thank you very much.\Pleasure doing business with you!\Y-You...\You must have stolen that money from the landlord. response:	I don't know how you did it,
context: last month, and the next two months in advance.\Will that suffice?\Y-Yes, that's plenty.\Thank you very much.\Pleasure doing business with you!\Y-You...\You must have stolen that money from the landlord.\I don't know how you did it, response:	but you stole it from his bag, didn't you?
context: Will that suffice?\Y-Yes, that's plenty.\Thank you very much.\Pleasure doing business with you!\Y-You...\You must have stolen that money from the landlord.\I don't know how you did it,\but you stole it from his bag, didn't you? response:	I'm sure in most cases,
context: Y-Yes, that's plenty.\Thank you very much.\Pleasure doing business with you!\Y-You...\You must have stolen that money from the landlord.\I don't know how you did it,\but you stole it from his bag, didn't you?\I'm sure in most cases, response:	people would fear him and think that he's just a low-life...
context: Thank you very much.\Pleasure doing business with you!\Y-You...\You must have stolen that money from the landlord.\I don't know how you did it,\but you stole it from his bag, didn't you?\I'm sure in most cases,\people would fear him and think that he's just a low-life... response:	But my husband's actions... him stealing that...
context: Pleasure doing business with you!\Y-You...\You must have stolen that money from the landlord.\I don't know how you did it,\but you stole it from his bag, didn't you?\I'm sure in most cases,\people would fear him and think that he's just a low-life...\But my husband's actions... him stealing that... response:	For the first time, after years of living with him,
context: Y-You...\You must have stolen that money from the landlord.\I don't know how you did it,\but you stole it from his bag, didn't you?\I'm sure in most cases,\people would fear him and think that he's just a low-life...\But my husband's actions... him stealing that...\For the first time, after years of living with him, response:	I think he's so romantic...
context: You must have stolen that money from the landlord.\I don't know how you did it,\but you stole it from his bag, didn't you?\I'm sure in most cases,\people would fear him and think that he's just a low-life...\But my husband's actions... him stealing that...\For the first time, after years of living with him,\I think he's so romantic... response:	Episode 26 Janken Boy Is Coming!
context: I don't know how you did it,\but you stole it from his bag, didn't you?\I'm sure in most cases,\people would fear him and think that he's just a low-life...\But my husband's actions... him stealing that...\For the first time, after years of living with him,\I think he's so romantic...\Episode 26 Janken Boy Is Coming! response:	Episode 26 Janken B oy Is Com ing!
