context: Interviews with Monster Girls response:	Thank you for taking the time to visit.
context: right before she left, she had a funny smirk on her face.\She must have kept it to herself, as a joke.\Sorry about that, Kyouko-chan.\Oh, it's all right. Sorry to trouble you.\It's no trouble whatsoever.\After all, I owe your parents a lot.\As they say, it's give and take.\By the way, response:	I guess Takahashi-sensei is worn out.
context: She must have kept it to herself, as a joke.\Sorry about that, Kyouko-chan.\Oh, it's all right. Sorry to trouble you.\It's no trouble whatsoever.\After all, I owe your parents a lot.\As they say, it's give and take.\By the way,\I guess Takahashi-sensei is worn out. response:	It seems so.
context: Sorry about that, Kyouko-chan.\Oh, it's all right. Sorry to trouble you.\It's no trouble whatsoever.\After all, I owe your parents a lot.\As they say, it's give and take.\By the way,\I guess Takahashi-sensei is worn out.\It seems so. response:	Then, want to leave him a note before we go?
context: Oh, it's all right. Sorry to trouble you.\It's no trouble whatsoever.\After all, I owe your parents a lot.\As they say, it's give and take.\By the way,\I guess Takahashi-sensei is worn out.\It seems so.\Then, want to leave him a note before we go? response:	Sure.
context: It's no trouble whatsoever.\After all, I owe your parents a lot.\As they say, it's give and take.\By the way,\I guess Takahashi-sensei is worn out.\It seems so.\Then, want to leave him a note before we go?\Sure. response:	Um, I left my backpack in the classroom...
context: After all, I owe your parents a lot.\As they say, it's give and take.\By the way,\I guess Takahashi-sensei is worn out.\It seems so.\Then, want to leave him a note before we go?\Sure.\Um, I left my backpack in the classroom... response:	Oh, okay.
context: As they say, it's give and take.\By the way,\I guess Takahashi-sensei is worn out.\It seems so.\Then, want to leave him a note before we go?\Sure.\Um, I left my backpack in the classroom...\Oh, okay. response:	All right! I'll carry your head to the classroom!
context: By the way,\I guess Takahashi-sensei is worn out.\It seems so.\Then, want to leave him a note before we go?\Sure.\Um, I left my backpack in the classroom...\Oh, okay.\All right! I'll carry your head to the classroom! response:	Huh? B-But I couldn't ask that of you.
context: I guess Takahashi-sensei is worn out.\It seems so.\Then, want to leave him a note before we go?\Sure.\Um, I left my backpack in the classroom...\Oh, okay.\All right! I'll carry your head to the classroom!\Huh? B-But I couldn't ask that of you. response:	Nah, I wanted to get used to carrying you, without shaking you too much.
context: It seems so.\Then, want to leave him a note before we go?\Sure.\Um, I left my backpack in the classroom...\Oh, okay.\All right! I'll carry your head to the classroom!\Huh? B-But I couldn't ask that of you.\Nah, I wanted to get used to carrying you, without shaking you too much. response:	R-Really?
context: Then, want to leave him a note before we go?\Sure.\Um, I left my backpack in the classroom...\Oh, okay.\All right! I'll carry your head to the classroom!\Huh? B-But I couldn't ask that of you.\Nah, I wanted to get used to carrying you, without shaking you too much.\R-Really? response:	It's just like cooking.
context: Sure.\Um, I left my backpack in the classroom...\Oh, okay.\All right! I'll carry your head to the classroom!\Huh? B-But I couldn't ask that of you.\Nah, I wanted to get used to carrying you, without shaking you too much.\R-Really?\It's just like cooking. response:	If you don't keep trying, over and over,
context: Um, I left my backpack in the classroom...\Oh, okay.\All right! I'll carry your head to the classroom!\Huh? B-But I couldn't ask that of you.\Nah, I wanted to get used to carrying you, without shaking you too much.\R-Really?\It's just like cooking.\If you don't keep trying, over and over, response:	you'll never master it.
context: Oh, okay.\All right! I'll carry your head to the classroom!\Huh? B-But I couldn't ask that of you.\Nah, I wanted to get used to carrying you, without shaking you too much.\R-Really?\It's just like cooking.\If you don't keep trying, over and over,\you'll never master it. response:	Wow, so smooth.
context: All right! I'll carry your head to the classroom!\Huh? B-But I couldn't ask that of you.\Nah, I wanted to get used to carrying you, without shaking you too much.\R-Really?\It's just like cooking.\If you don't keep trying, over and over,\you'll never master it.\Wow, so smooth. response:	I'll walk a little slowly. Sorry about that.
context: Huh? B-But I couldn't ask that of you.\Nah, I wanted to get used to carrying you, without shaking you too much.\R-Really?\It's just like cooking.\If you don't keep trying, over and over,\you'll never master it.\Wow, so smooth.\I'll walk a little slowly. Sorry about that. response:	S-Sure.
context: Nah, I wanted to get used to carrying you, without shaking you too much.\R-Really?\It's just like cooking.\If you don't keep trying, over and over,\you'll never master it.\Wow, so smooth.\I'll walk a little slowly. Sorry about that.\S-Sure. response:	He's probably better at that than I am.
context: R-Really?\It's just like cooking.\If you don't keep trying, over and over,\you'll never master it.\Wow, so smooth.\I'll walk a little slowly. Sorry about that.\S-Sure.\He's probably better at that than I am. response:	Anyway, that's over wi
context: It's just like cooking.\If you don't keep trying, over and over,\you'll never master it.\Wow, so smooth.\I'll walk a little slowly. Sorry about that.\S-Sure.\He's probably better at that than I am.\Anyway, that's over wi response:	Whoa!
context: If you don't keep trying, over and over,\you'll never master it.\Wow, so smooth.\I'll walk a little slowly. Sorry about that.\S-Sure.\He's probably better at that than I am.\Anyway, that's over wi\Whoa! response:	I forgot her body was still here...
context: you'll never master it.\Wow, so smooth.\I'll walk a little slowly. Sorry about that.\S-Sure.\He's probably better at that than I am.\Anyway, that's over wi\Whoa!\I forgot her body was still here... response:	She's writing a note?
context: Wow, so smooth.\I'll walk a little slowly. Sorry about that.\S-Sure.\He's probably better at that than I am.\Anyway, that's over wi\Whoa!\I forgot her body was still here...\She's writing a note? response:	Takahashi-sensei, My ride is here, so I'll be leaving. Hikari-chan's dad came to pick me up today. Also, thank you for the blanket. It was very warm.
context: I'll walk a little slowly. Sorry about that.\S-Sure.\He's probably better at that than I am.\Anyway, that's over wi\Whoa!\I forgot her body was still here...\She's writing a note?\Takahashi-sensei, My ride is here, so I'll be leaving. Hikari-chan's dad came to pick me up today. Also, thank you for the blanket. It was very warm. response:	It was very warm.
context: S-Sure.\He's probably better at that than I am.\Anyway, that's over wi\Whoa!\I forgot her body was still here...\She's writing a note?\Takahashi-sensei, My ride is here, so I'll be leaving. Hikari-chan's dad came to pick me up today. Also, thank you for the blanket. It was very warm.\It was very warm. response:	She's so serious.
context: He's probably better at that than I am.\Anyway, that's over wi\Whoa!\I forgot her body was still here...\She's writing a note?\Takahashi-sensei, My ride is here, so I'll be leaving. Hikari-chan's dad came to pick me up today. Also, thank you for the blanket. It was very warm.\It was very warm.\She's so serious. response:	Still, it takes some skill to be able to write without seeing.
context: Anyway, that's over wi\Whoa!\I forgot her body was still here...\She's writing a note?\Takahashi-sensei, My ride is here, so I'll be leaving. Hikari-chan's dad came to pick me up today. Also, thank you for the blanket. It was very warm.\It was very warm.\She's so serious.\Still, it takes some skill to be able to write without seeing. response:	She must have practiced a lot.
context: Whoa!\I forgot her body was still here...\She's writing a note?\Takahashi-sensei, My ride is here, so I'll be leaving. Hikari-chan's dad came to pick me up today. Also, thank you for the blanket. It was very warm.\It was very warm.\She's so serious.\Still, it takes some skill to be able to write without seeing.\She must have practiced a lot. response:	Machi and all the demi-chans are doing their best.
context: I forgot her body was still here...\She's writing a note?\Takahashi-sensei, My ride is here, so I'll be leaving. Hikari-chan's dad came to pick me up today. Also, thank you for the blanket. It was very warm.\It was very warm.\She's so serious.\Still, it takes some skill to be able to write without seeing.\She must have practiced a lot.\Machi and all the demi-chans are doing their best. response:	Their parents are doing their best for their demi-chan daughters, too.
context: She's writing a note?\Takahashi-sensei, My ride is here, so I'll be leaving. Hikari-chan's dad came to pick me up today. Also, thank you for the blanket. It was very warm.\It was very warm.\She's so serious.\Still, it takes some skill to be able to write without seeing.\She must have practiced a lot.\Machi and all the demi-chans are doing their best.\Their parents are doing their best for their demi-chan daughters, too. response:	I need to do more, as well.
context: Takahashi-sensei, My ride is here, so I'll be leaving. Hikari-chan's dad came to pick me up today. Also, thank you for the blanket. It was very warm.\It was very warm.\She's so serious.\Still, it takes some skill to be able to write without seeing.\She must have practiced a lot.\Machi and all the demi-chans are doing their best.\Their parents are doing their best for their demi-chan daughters, too.\I need to do more, as well. response:	I guess, sometimes, it's also nice to say nothing at all.
context: It was very warm.\She's so serious.\Still, it takes some skill to be able to write without seeing.\She must have practiced a lot.\Machi and all the demi-chans are doing their best.\Their parents are doing their best for their demi-chan daughters, too.\I need to do more, as well.\I guess, sometimes, it's also nice to say nothing at all. response:	Next Time Succubus-san Is Inquisitive
context: She's so serious.\Still, it takes some skill to be able to write without seeing.\She must have practiced a lot.\Machi and all the demi-chans are doing their best.\Their parents are doing their best for their demi-chan daughters, too.\I need to do more, as well.\I guess, sometimes, it's also nice to say nothing at all.\Next Time Succubus-san Is Inquisitive response:	Succubus-san Is Inquisitive.
