context: So this is the city of Tokyo... response:	What a beautiful place.
context: Just like me,\they're all doing the things they want to do.\O-Oh, no...\But if you want to perform theater that much,\why don't you start a theater troupe?\Huh?\Small theater troupes don't need many members.\So you'd be the leader, Hina-chan? response:	More accurately, she'd be the principal.
context: they're all doing the things they want to do.\O-Oh, no...\But if you want to perform theater that much,\why don't you start a theater troupe?\Huh?\Small theater troupes don't need many members.\So you'd be the leader, Hina-chan?\More accurately, she'd be the principal. response:	A theater troupe...
context: O-Oh, no...\But if you want to perform theater that much,\why don't you start a theater troupe?\Huh?\Small theater troupes don't need many members.\So you'd be the leader, Hina-chan?\More accurately, she'd be the principal.\A theater troupe... response:	What, what?
context: But if you want to perform theater that much,\why don't you start a theater troupe?\Huh?\Small theater troupes don't need many members.\So you'd be the leader, Hina-chan?\More accurately, she'd be the principal.\A theater troupe...\What, what? response:	What are you guys talking about?
context: why don't you start a theater troupe?\Huh?\Small theater troupes don't need many members.\So you'd be the leader, Hina-chan?\More accurately, she'd be the principal.\A theater troupe...\What, what?\What are you guys talking about? response:	Could I really make one?
context: Huh?\Small theater troupes don't need many members.\So you'd be the leader, Hina-chan?\More accurately, she'd be the principal.\A theater troupe...\What, what?\What are you guys talking about?\Could I really make one? response:	You have members. You'd be fine.
context: Small theater troupes don't need many members.\So you'd be the leader, Hina-chan?\More accurately, she'd be the principal.\A theater troupe...\What, what?\What are you guys talking about?\Could I really make one?\You have members. You'd be fine. response:	You have four.
context: So you'd be the leader, Hina-chan?\More accurately, she'd be the principal.\A theater troupe...\What, what?\What are you guys talking about?\Could I really make one?\You have members. You'd be fine.\You have four. response:	Huh?
context: More accurately, she'd be the principal.\A theater troupe...\What, what?\What are you guys talking about?\Could I really make one?\You have members. You'd be fine.\You have four.\Huh? response:	Four?
context: A theater troupe...\What, what?\What are you guys talking about?\Could I really make one?\You have members. You'd be fine.\You have four.\Huh?\Four? response:	Wait, are we being dragged into something?
context: What, what?\What are you guys talking about?\Could I really make one?\You have members. You'd be fine.\You have four.\Huh?\Four?\Wait, are we being dragged into something? response:	Hitotose
context: What are you guys talking about?\Could I really make one?\You have members. You'd be fine.\You have four.\Huh?\Four?\Wait, are we being dragged into something?\Hitotose response:	I feel alive again...
context: Could I really make one?\You have members. You'd be fine.\You have four.\Huh?\Four?\Wait, are we being dragged into something?\Hitotose\I feel alive again... response:	So many things happened today.
context: You have members. You'd be fine.\You have four.\Huh?\Four?\Wait, are we being dragged into something?\Hitotose\I feel alive again...\So many things happened today. response:	I met lots of people,
context: You have four.\Huh?\Four?\Wait, are we being dragged into something?\Hitotose\I feel alive again...\So many things happened today.\I met lots of people, response:	went to lots of places,
context: Huh?\Four?\Wait, are we being dragged into something?\Hitotose\I feel alive again...\So many things happened today.\I met lots of people,\went to lots of places, response:	and experienced lots of firsts.
context: Four?\Wait, are we being dragged into something?\Hitotose\I feel alive again...\So many things happened today.\I met lots of people,\went to lots of places,\and experienced lots of firsts. response:	I was sad when I heard the theater club had been shut down...
context: Wait, are we being dragged into something?\Hitotose\I feel alive again...\So many things happened today.\I met lots of people,\went to lots of places,\and experienced lots of firsts.\I was sad when I heard the theater club had been shut down... response:	But...
context: Hitotose\I feel alive again...\So many things happened today.\I met lots of people,\went to lots of places,\and experienced lots of firsts.\I was sad when I heard the theater club had been shut down...\But... response:	Starting a theater troupe, huh?
context: I feel alive again...\So many things happened today.\I met lots of people,\went to lots of places,\and experienced lots of firsts.\I was sad when I heard the theater club had been shut down...\But...\Starting a theater troupe, huh? response:	Could I really do something like that?
context: So many things happened today.\I met lots of people,\went to lots of places,\and experienced lots of firsts.\I was sad when I heard the theater club had been shut down...\But...\Starting a theater troupe, huh?\Could I really do something like that? response:	Still, all the people at Hitotose Manor are so nice.
context: I met lots of people,\went to lots of places,\and experienced lots of firsts.\I was sad when I heard the theater club had been shut down...\But...\Starting a theater troupe, huh?\Could I really do something like that?\Still, all the people at Hitotose Manor are so nice. response:	I hope everything will work out.
context: went to lots of places,\and experienced lots of firsts.\I was sad when I heard the theater club had been shut down...\But...\Starting a theater troupe, huh?\Could I really do something like that?\Still, all the people at Hitotose Manor are so nice.\I hope everything will work out. response:	Hina-chan?
context: and experienced lots of firsts.\I was sad when I heard the theater club had been shut down...\But...\Starting a theater troupe, huh?\Could I really do something like that?\Still, all the people at Hitotose Manor are so nice.\I hope everything will work out.\Hina-chan? response:	You're been in here for a long time. Are you o
context: I was sad when I heard the theater club had been shut down...\But...\Starting a theater troupe, huh?\Could I really do something like that?\Still, all the people at Hitotose Manor are so nice.\I hope everything will work out.\Hina-chan?\You're been in here for a long time. Are you o response:	Hina-chan, hang in there! Oh, what do I do?!
context: But...\Starting a theater troupe, huh?\Could I really do something like that?\Still, all the people at Hitotose Manor are so nice.\I hope everything will work out.\Hina-chan?\You're been in here for a long time. Are you o\Hina-chan, hang in there! Oh, what do I do?! response:	Something wrong?
context: Starting a theater troupe, huh?\Could I really do something like that?\Still, all the people at Hitotose Manor are so nice.\I hope everything will work out.\Hina-chan?\You're been in here for a long time. Are you o\Hina-chan, hang in there! Oh, what do I do?!\Something wrong? response:	Get Aki-chan!
context: Could I really do something like that?\Still, all the people at Hitotose Manor are so nice.\I hope everything will work out.\Hina-chan?\You're been in here for a long time. Are you o\Hina-chan, hang in there! Oh, what do I do?!\Something wrong?\Get Aki-chan! response:	Ah! Hina-chan!
context: Still, all the people at Hitotose Manor are so nice.\I hope everything will work out.\Hina-chan?\You're been in here for a long time. Are you o\Hina-chan, hang in there! Oh, what do I do?!\Something wrong?\Get Aki-chan!\Ah! Hina-chan! response:	I'm here.
context: I hope everything will work out.\Hina-chan?\You're been in here for a long time. Are you o\Hina-chan, hang in there! Oh, what do I do?!\Something wrong?\Get Aki-chan!\Ah! Hina-chan!\I'm here. response:	Whoa! She looks like a boiled octopus!
context: Hina-chan?\You're been in here for a long time. Are you o\Hina-chan, hang in there! Oh, what do I do?!\Something wrong?\Get Aki-chan!\Ah! Hina-chan!\I'm here.\Whoa! She looks like a boiled octopus! response:	What do you mean, I'm here?!
context: You're been in here for a long time. Are you o\Hina-chan, hang in there! Oh, what do I do?!\Something wrong?\Get Aki-chan!\Ah! Hina-chan!\I'm here.\Whoa! She looks like a boiled octopus!\What do you mean, I'm here?! response:	I'm not sure how to answer that.
context: Hina-chan, hang in there! Oh, what do I do?!\Something wrong?\Get Aki-chan!\Ah! Hina-chan!\I'm here.\Whoa! She looks like a boiled octopus!\What do you mean, I'm here?!\I'm not sure how to answer that. response:	Hina-chan!
context: Something wrong?\Get Aki-chan!\Ah! Hina-chan!\I'm here.\Whoa! She looks like a boiled octopus!\What do you mean, I'm here?!\I'm not sure how to answer that.\Hina-chan! response:	What's wrong?
context: Get Aki-chan!\Ah! Hina-chan!\I'm here.\Whoa! She looks like a boiled octopus!\What do you mean, I'm here?!\I'm not sure how to answer that.\Hina-chan!\What's wrong? response:	What do we do?!
context: Ah! Hina-chan!\I'm here.\Whoa! She looks like a boiled octopus!\What do you mean, I'm here?!\I'm not sure how to answer that.\Hina-chan!\What's wrong?\What do we do?! response:	It Begins Here
context: I'm here.\Whoa! She looks like a boiled octopus!\What do you mean, I'm here?!\I'm not sure how to answer that.\Hina-chan!\What's wrong?\What do we do?!\It Begins Here response:	Can I really start a theater troupe?
context: Whoa! She looks like a boiled octopus!\What do you mean, I'm here?!\I'm not sure how to answer that.\Hina-chan!\What's wrong?\What do we do?!\It Begins Here\Can I really start a theater troupe? response:	I can't be a scarecrow forever.
context: What do you mean, I'm here?!\I'm not sure how to answer that.\Hina-chan!\What's wrong?\What do we do?!\It Begins Here\Can I really start a theater troupe?\I can't be a scarecrow forever. response:	I have to remember how I felt on the day I decided that's how I wanted to be!
context: I'm not sure how to answer that.\Hina-chan!\What's wrong?\What do we do?!\It Begins Here\Can I really start a theater troupe?\I can't be a scarecrow forever.\I have to remember how I felt on the day I decided that's how I wanted to be! response:	Next time: It Begins Here.
