context: N-Now, now, let's calm down, Ryuko. response:	Bite me! What the hell is going on?
context: SHINGANTSU\No one can evade his attacks!\Men! Dou! Kote!\Men! Dou! Kote!\Men! Dou! Kote!\Without your weapon, you have no means of turning the tables this time.\So you'd think, right?\What the? response:	I thought I told you that I could see the entire world.
context: No one can evade his attacks!\Men! Dou! Kote!\Men! Dou! Kote!\Men! Dou! Kote!\Without your weapon, you have no means of turning the tables this time.\So you'd think, right?\What the?\I thought I told you that I could see the entire world. response:	Did you think your pathetic little trick would work?
context: Men! Dou! Kote!\Men! Dou! Kote!\Men! Dou! Kote!\Without your weapon, you have no means of turning the tables this time.\So you'd think, right?\What the?\I thought I told you that I could see the entire world.\Did you think your pathetic little trick would work? response:	Men!
context: Men! Dou! Kote!\Men! Dou! Kote!\Without your weapon, you have no means of turning the tables this time.\So you'd think, right?\What the?\I thought I told you that I could see the entire world.\Did you think your pathetic little trick would work?\Men! response:	Dou! Kote!
context: Men! Dou! Kote!\Without your weapon, you have no means of turning the tables this time.\So you'd think, right?\What the?\I thought I told you that I could see the entire world.\Did you think your pathetic little trick would work?\Men!\Dou! Kote! response:	Men! Dou! Kote! Men! Dou! Kote!
context: Without your weapon, you have no means of turning the tables this time.\So you'd think, right?\What the?\I thought I told you that I could see the entire world.\Did you think your pathetic little trick would work?\Men!\Dou! Kote!\Men! Dou! Kote! Men! Dou! Kote! response:	Men! Dou! Kote! MEN!
context: So you'd think, right?\What the?\I thought I told you that I could see the entire world.\Did you think your pathetic little trick would work?\Men!\Dou! Kote!\Men! Dou! Kote! Men! Dou! Kote!\Men! Dou! Kote! MEN! response:	It's all over.
context: What the?\I thought I told you that I could see the entire world.\Did you think your pathetic little trick would work?\Men!\Dou! Kote!\Men! Dou! Kote! Men! Dou! Kote!\Men! Dou! Kote! MEN!\It's all over. response:	It's
context: I thought I told you that I could see the entire world.\Did you think your pathetic little trick would work?\Men!\Dou! Kote!\Men! Dou! Kote! Men! Dou! Kote!\Men! Dou! Kote! MEN!\It's all over.\It's response:	What?!
context: Did you think your pathetic little trick would work?\Men!\Dou! Kote!\Men! Dou! Kote! Men! Dou! Kote!\Men! Dou! Kote! MEN!\It's all over.\It's\What?! response:	What? What happened?
context: Men!\Dou! Kote!\Men! Dou! Kote! Men! Dou! Kote!\Men! Dou! Kote! MEN!\It's all over.\It's\What?!\What? What happened? response:	The Goku Uniform overheated!
context: Dou! Kote!\Men! Dou! Kote! Men! Dou! Kote!\Men! Dou! Kote! MEN!\It's all over.\It's\What?!\What? What happened?\The Goku Uniform overheated! response:	This was no disgrace, Sanageyama.
context: Men! Dou! Kote! Men! Dou! Kote!\Men! Dou! Kote! MEN!\It's all over.\It's\What?!\What? What happened?\The Goku Uniform overheated!\This was no disgrace, Sanageyama. response:	It was the result of your power outstripping that of the Goku Uniform's.
context: Men! Dou! Kote! MEN!\It's all over.\It's\What?!\What? What happened?\The Goku Uniform overheated!\This was no disgrace, Sanageyama.\It was the result of your power outstripping that of the Goku Uniform's. response:	Yes, ma'am.
context: It's all over.\It's\What?!\What? What happened?\The Goku Uniform overheated!\This was no disgrace, Sanageyama.\It was the result of your power outstripping that of the Goku Uniform's.\Yes, ma'am. response:	Matoi, you got lucky this time.
context: It's\What?!\What? What happened?\The Goku Uniform overheated!\This was no disgrace, Sanageyama.\It was the result of your power outstripping that of the Goku Uniform's.\Yes, ma'am.\Matoi, you got lucky this time. response:	That was a close call.
context: What?!\What? What happened?\The Goku Uniform overheated!\This was no disgrace, Sanageyama.\It was the result of your power outstripping that of the Goku Uniform's.\Yes, ma'am.\Matoi, you got lucky this time.\That was a close call. response:	Yeah, I guess the Honnouji Elite Four aren't all show.
context: What? What happened?\The Goku Uniform overheated!\This was no disgrace, Sanageyama.\It was the result of your power outstripping that of the Goku Uniform's.\Yes, ma'am.\Matoi, you got lucky this time.\That was a close call.\Yeah, I guess the Honnouji Elite Four aren't all show. response:	That dude was seriously tough.
context: The Goku Uniform overheated!\This was no disgrace, Sanageyama.\It was the result of your power outstripping that of the Goku Uniform's.\Yes, ma'am.\Matoi, you got lucky this time.\That was a close call.\Yeah, I guess the Honnouji Elite Four aren't all show.\That dude was seriously tough. response:	But I can't run away from this.
context: This was no disgrace, Sanageyama.\It was the result of your power outstripping that of the Goku Uniform's.\Yes, ma'am.\Matoi, you got lucky this time.\That was a close call.\Yeah, I guess the Honnouji Elite Four aren't all show.\That dude was seriously tough.\But I can't run away from this. response:	I have to learn the secret behind Dad's death!
context: It was the result of your power outstripping that of the Goku Uniform's.\Yes, ma'am.\Matoi, you got lucky this time.\That was a close call.\Yeah, I guess the Honnouji Elite Four aren't all show.\That dude was seriously tough.\But I can't run away from this.\I have to learn the secret behind Dad's death! response:	I swapped out the Life Fibers in your Goku Uniform and restitched it.
context: Yes, ma'am.\Matoi, you got lucky this time.\That was a close call.\Yeah, I guess the Honnouji Elite Four aren't all show.\That dude was seriously tough.\But I can't run away from this.\I have to learn the secret behind Dad's death!\I swapped out the Life Fibers in your Goku Uniform and restitched it. response:	It should be able to keep up with even your movements now.
context: Matoi, you got lucky this time.\That was a close call.\Yeah, I guess the Honnouji Elite Four aren't all show.\That dude was seriously tough.\But I can't run away from this.\I have to learn the secret behind Dad's death!\I swapped out the Life Fibers in your Goku Uniform and restitched it.\It should be able to keep up with even your movements now. response:	You think that you've snuck up behind me, Sanageyama?
context: That was a close call.\Yeah, I guess the Honnouji Elite Four aren't all show.\That dude was seriously tough.\But I can't run away from this.\I have to learn the secret behind Dad's death!\I swapped out the Life Fibers in your Goku Uniform and restitched it.\It should be able to keep up with even your movements now.\You think that you've snuck up behind me, Sanageyama? response:	Front and behind mean nothing to me now.
context: Yeah, I guess the Honnouji Elite Four aren't all show.\That dude was seriously tough.\But I can't run away from this.\I have to learn the secret behind Dad's death!\I swapped out the Life Fibers in your Goku Uniform and restitched it.\It should be able to keep up with even your movements now.\You think that you've snuck up behind me, Sanageyama?\Front and behind mean nothing to me now. response:	Thanks to my eyes being sewn shut,
context: That dude was seriously tough.\But I can't run away from this.\I have to learn the secret behind Dad's death!\I swapped out the Life Fibers in your Goku Uniform and restitched it.\It should be able to keep up with even your movements now.\You think that you've snuck up behind me, Sanageyama?\Front and behind mean nothing to me now.\Thanks to my eyes being sewn shut, response:	I can now sense the world in its entirety.
context: But I can't run away from this.\I have to learn the secret behind Dad's death!\I swapped out the Life Fibers in your Goku Uniform and restitched it.\It should be able to keep up with even your movements now.\You think that you've snuck up behind me, Sanageyama?\Front and behind mean nothing to me now.\Thanks to my eyes being sewn shut,\I can now sense the world in its entirety. response:	I only came to thank you for giving me a fresh start.
context: I have to learn the secret behind Dad's death!\I swapped out the Life Fibers in your Goku Uniform and restitched it.\It should be able to keep up with even your movements now.\You think that you've snuck up behind me, Sanageyama?\Front and behind mean nothing to me now.\Thanks to my eyes being sewn shut,\I can now sense the world in its entirety.\I only came to thank you for giving me a fresh start. response:	Wait.
context: I swapped out the Life Fibers in your Goku Uniform and restitched it.\It should be able to keep up with even your movements now.\You think that you've snuck up behind me, Sanageyama?\Front and behind mean nothing to me now.\Thanks to my eyes being sewn shut,\I can now sense the world in its entirety.\I only came to thank you for giving me a fresh start.\Wait. response:	We had an agreement. Let's have tea.
context: It should be able to keep up with even your movements now.\You think that you've snuck up behind me, Sanageyama?\Front and behind mean nothing to me now.\Thanks to my eyes being sewn shut,\I can now sense the world in its entirety.\I only came to thank you for giving me a fresh start.\Wait.\We had an agreement. Let's have tea. response:	Thank you, but I'll pass.
context: You think that you've snuck up behind me, Sanageyama?\Front and behind mean nothing to me now.\Thanks to my eyes being sewn shut,\I can now sense the world in its entirety.\I only came to thank you for giving me a fresh start.\Wait.\We had an agreement. Let's have tea.\Thank you, but I'll pass. response:	My other senses have become so heightened
context: Front and behind mean nothing to me now.\Thanks to my eyes being sewn shut,\I can now sense the world in its entirety.\I only came to thank you for giving me a fresh start.\Wait.\We had an agreement. Let's have tea.\Thank you, but I'll pass.\My other senses have become so heightened response:	that my tongue is sensitive to heat now.
context: Thanks to my eyes being sewn shut,\I can now sense the world in its entirety.\I only came to thank you for giving me a fresh start.\Wait.\We had an agreement. Let's have tea.\Thank you, but I'll pass.\My other senses have become so heightened\that my tongue is sensitive to heat now. response:	The Mankanshoku family had a dream.
context: I can now sense the world in its entirety.\I only came to thank you for giving me a fresh start.\Wait.\We had an agreement. Let's have tea.\Thank you, but I'll pass.\My other senses have become so heightened\that my tongue is sensitive to heat now.\The Mankanshoku family had a dream. response:	Four people in a one-room house, along with a dog and a freeloader.
context: I only came to thank you for giving me a fresh start.\Wait.\We had an agreement. Let's have tea.\Thank you, but I'll pass.\My other senses have become so heightened\that my tongue is sensitive to heat now.\The Mankanshoku family had a dream.\Four people in a one-room house, along with a dog and a freeloader. response:	FAMILY
context: Wait.\We had an agreement. Let's have tea.\Thank you, but I'll pass.\My other senses have become so heightened\that my tongue is sensitive to heat now.\The Mankanshoku family had a dream.\Four people in a one-room house, along with a dog and a freeloader.\FAMILY response:	DOG
context: We had an agreement. Let's have tea.\Thank you, but I'll pass.\My other senses have become so heightened\that my tongue is sensitive to heat now.\The Mankanshoku family had a dream.\Four people in a one-room house, along with a dog and a freeloader.\FAMILY\DOG response:	A FREELOADER
context: Thank you, but I'll pass.\My other senses have become so heightened\that my tongue is sensitive to heat now.\The Mankanshoku family had a dream.\Four people in a one-room house, along with a dog and a freeloader.\FAMILY\DOG\A FREELOADER response:	POOR LIFESTYLE
context: My other senses have become so heightened\that my tongue is sensitive to heat now.\The Mankanshoku family had a dream.\Four people in a one-room house, along with a dog and a freeloader.\FAMILY\DOG\A FREELOADER\POOR LIFESTYLE response:	This poor family suddenly find themselves living in the lap of luxury!
context: that my tongue is sensitive to heat now.\The Mankanshoku family had a dream.\Four people in a one-room house, along with a dog and a freeloader.\FAMILY\DOG\A FREELOADER\POOR LIFESTYLE\This poor family suddenly find themselves living in the lap of luxury! response:	LUXURIOUS LIFESTYLE
context: The Mankanshoku family had a dream.\Four people in a one-room house, along with a dog and a freeloader.\FAMILY\DOG\A FREELOADER\POOR LIFESTYLE\This poor family suddenly find themselves living in the lap of luxury!\LUXURIOUS LIFESTYLE response:	TOP
context: Four people in a one-room house, along with a dog and a freeloader.\FAMILY\DOG\A FREELOADER\POOR LIFESTYLE\This poor family suddenly find themselves living in the lap of luxury!\LUXURIOUS LIFESTYLE\TOP response:	Walk on air as you aim for the top!
context: FAMILY\DOG\A FREELOADER\POOR LIFESTYLE\This poor family suddenly find themselves living in the lap of luxury!\LUXURIOUS LIFESTYLE\TOP\Walk on air as you aim for the top! response:	WALK ON AIR
context: DOG\A FREELOADER\POOR LIFESTYLE\This poor family suddenly find themselves living in the lap of luxury!\LUXURIOUS LIFESTYLE\TOP\Walk on air as you aim for the top!\WALK ON AIR response:	Next time on Kill La Kill, A Loser I Can't Hate.
context: A FREELOADER\POOR LIFESTYLE\This poor family suddenly find themselves living in the lap of luxury!\LUXURIOUS LIFESTYLE\TOP\Walk on air as you aim for the top!\WALK ON AIR\Next time on Kill La Kill, A Loser I Can't Hate. response:	EPISODE 7 A LOSER I CAN'T HATE
