context: But you don't have to be scared. response:	Only Xin Nu and I know about this.
context: I'll go and report this to Father right now.\Third Uncle, wait.\This is a huge matter between two tribes.\We can't come to a conclusion solely from my speculation.\Wait until I go to Grand Ziming Palace to investigate.\Okay. Then let's go together after the Feast of Peaches.\This entrance to the palace was heavily guarded 70,000 years ago.\But today, no one is here to guard it? response:	Xuan Nu, are you inviting me in?
context: Third Uncle, wait.\This is a huge matter between two tribes.\We can't come to a conclusion solely from my speculation.\Wait until I go to Grand Ziming Palace to investigate.\Okay. Then let's go together after the Feast of Peaches.\This entrance to the palace was heavily guarded 70,000 years ago.\But today, no one is here to guard it?\Xuan Nu, are you inviting me in? response:	Your Highness, Qing Qiu's Mi Gu would like to see you.
context: This is a huge matter between two tribes.\We can't come to a conclusion solely from my speculation.\Wait until I go to Grand Ziming Palace to investigate.\Okay. Then let's go together after the Feast of Peaches.\This entrance to the palace was heavily guarded 70,000 years ago.\But today, no one is here to guard it?\Xuan Nu, are you inviting me in?\Your Highness, Qing Qiu's Mi Gu would like to see you. response:	Bring him in.
context: We can't come to a conclusion solely from my speculation.\Wait until I go to Grand Ziming Palace to investigate.\Okay. Then let's go together after the Feast of Peaches.\This entrance to the palace was heavily guarded 70,000 years ago.\But today, no one is here to guard it?\Xuan Nu, are you inviting me in?\Your Highness, Qing Qiu's Mi Gu would like to see you.\Bring him in. response:	Yes.
context: Wait until I go to Grand Ziming Palace to investigate.\Okay. Then let's go together after the Feast of Peaches.\This entrance to the palace was heavily guarded 70,000 years ago.\But today, no one is here to guard it?\Xuan Nu, are you inviting me in?\Your Highness, Qing Qiu's Mi Gu would like to see you.\Bring him in.\Yes. response:	Your Highness.
context: Okay. Then let's go together after the Feast of Peaches.\This entrance to the palace was heavily guarded 70,000 years ago.\But today, no one is here to guard it?\Xuan Nu, are you inviting me in?\Your Highness, Qing Qiu's Mi Gu would like to see you.\Bring him in.\Yes.\Your Highness. response:	Your Highness, please help Aunt.
context: This entrance to the palace was heavily guarded 70,000 years ago.\But today, no one is here to guard it?\Xuan Nu, are you inviting me in?\Your Highness, Qing Qiu's Mi Gu would like to see you.\Bring him in.\Yes.\Your Highness.\Your Highness, please help Aunt. response:	She went to Grand Ziming Palace all alone.
context: But today, no one is here to guard it?\Xuan Nu, are you inviting me in?\Your Highness, Qing Qiu's Mi Gu would like to see you.\Bring him in.\Yes.\Your Highness.\Your Highness, please help Aunt.\She went to Grand Ziming Palace all alone. response:	What did you say?
context: Xuan Nu, are you inviting me in?\Your Highness, Qing Qiu's Mi Gu would like to see you.\Bring him in.\Yes.\Your Highness.\Your Highness, please help Aunt.\She went to Grand Ziming Palace all alone.\What did you say? response:	The Ghost Queen stole High God Mo Yuan's body and Imperial Great-Grandson.
context: Your Highness, Qing Qiu's Mi Gu would like to see you.\Bring him in.\Yes.\Your Highness.\Your Highness, please help Aunt.\She went to Grand Ziming Palace all alone.\What did you say?\The Ghost Queen stole High God Mo Yuan's body and Imperial Great-Grandson. response:	Aunt's eyes were red with fury and went over there.
context: Bring him in.\Yes.\Your Highness.\Your Highness, please help Aunt.\She went to Grand Ziming Palace all alone.\What did you say?\The Ghost Queen stole High God Mo Yuan's body and Imperial Great-Grandson.\Aunt's eyes were red with fury and went over there. response:	Your Highness...
context: Yes.\Your Highness.\Your Highness, please help Aunt.\She went to Grand Ziming Palace all alone.\What did you say?\The Ghost Queen stole High God Mo Yuan's body and Imperial Great-Grandson.\Aunt's eyes were red with fury and went over there.\Your Highness... response:	Who is that tree spirit?
context: Your Highness.\Your Highness, please help Aunt.\She went to Grand Ziming Palace all alone.\What did you say?\The Ghost Queen stole High God Mo Yuan's body and Imperial Great-Grandson.\Aunt's eyes were red with fury and went over there.\Your Highness...\Who is that tree spirit? response:	How dare he intrude during the Feast of Peaches?
context: Your Highness, please help Aunt.\She went to Grand Ziming Palace all alone.\What did you say?\The Ghost Queen stole High God Mo Yuan's body and Imperial Great-Grandson.\Aunt's eyes were red with fury and went over there.\Your Highness...\Who is that tree spirit?\How dare he intrude during the Feast of Peaches? response:	What unacceptable behavior.
context: She went to Grand Ziming Palace all alone.\What did you say?\The Ghost Queen stole High God Mo Yuan's body and Imperial Great-Grandson.\Aunt's eyes were red with fury and went over there.\Your Highness...\Who is that tree spirit?\How dare he intrude during the Feast of Peaches?\What unacceptable behavior. response:	See? Because of that woman
context: What did you say?\The Ghost Queen stole High God Mo Yuan's body and Imperial Great-Grandson.\Aunt's eyes were red with fury and went over there.\Your Highness...\Who is that tree spirit?\How dare he intrude during the Feast of Peaches?\What unacceptable behavior.\See? Because of that woman response:	His Highness doesn't respect Celestial customs.
context: The Ghost Queen stole High God Mo Yuan's body and Imperial Great-Grandson.\Aunt's eyes were red with fury and went over there.\Your Highness...\Who is that tree spirit?\How dare he intrude during the Feast of Peaches?\What unacceptable behavior.\See? Because of that woman\His Highness doesn't respect Celestial customs. response:	If you really marry into Xiwu Palace in the future
context: Aunt's eyes were red with fury and went over there.\Your Highness...\Who is that tree spirit?\How dare he intrude during the Feast of Peaches?\What unacceptable behavior.\See? Because of that woman\His Highness doesn't respect Celestial customs.\If you really marry into Xiwu Palace in the future response:	you must not be that way.
context: Your Highness...\Who is that tree spirit?\How dare he intrude during the Feast of Peaches?\What unacceptable behavior.\See? Because of that woman\His Highness doesn't respect Celestial customs.\If you really marry into Xiwu Palace in the future\you must not be that way. response:	Yes.
context: Who is that tree spirit?\How dare he intrude during the Feast of Peaches?\What unacceptable behavior.\See? Because of that woman\His Highness doesn't respect Celestial customs.\If you really marry into Xiwu Palace in the future\you must not be that way.\Yes. response:	Jade Purity Fan of Kunlun!
context: How dare he intrude during the Feast of Peaches?\What unacceptable behavior.\See? Because of that woman\His Highness doesn't respect Celestial customs.\If you really marry into Xiwu Palace in the future\you must not be that way.\Yes.\Jade Purity Fan of Kunlun! response:	Go back to the palace!
context: What unacceptable behavior.\See? Because of that woman\His Highness doesn't respect Celestial customs.\If you really marry into Xiwu Palace in the future\you must not be that way.\Yes.\Jade Purity Fan of Kunlun!\Go back to the palace! response:	Qian Qian, I trust you've been well since we last met 70,000 years ago.
context: See? Because of that woman\His Highness doesn't respect Celestial customs.\If you really marry into Xiwu Palace in the future\you must not be that way.\Yes.\Jade Purity Fan of Kunlun!\Go back to the palace!\Qian Qian, I trust you've been well since we last met 70,000 years ago. response:	I heard His Majesty say that Si Yin is a woman from the fox tribe
context: His Highness doesn't respect Celestial customs.\If you really marry into Xiwu Palace in the future\you must not be that way.\Yes.\Jade Purity Fan of Kunlun!\Go back to the palace!\Qian Qian, I trust you've been well since we last met 70,000 years ago.\I heard His Majesty say that Si Yin is a woman from the fox tribe response:	so I guessed it was you.
context: If you really marry into Xiwu Palace in the future\you must not be that way.\Yes.\Jade Purity Fan of Kunlun!\Go back to the palace!\Qian Qian, I trust you've been well since we last met 70,000 years ago.\I heard His Majesty say that Si Yin is a woman from the fox tribe\so I guessed it was you. response:	When I first saw Si Yin at Kunlun Mountain, I was stunned
context: you must not be that way.\Yes.\Jade Purity Fan of Kunlun!\Go back to the palace!\Qian Qian, I trust you've been well since we last met 70,000 years ago.\I heard His Majesty say that Si Yin is a woman from the fox tribe\so I guessed it was you.\When I first saw Si Yin at Kunlun Mountain, I was stunned response:	that someone else in this world resembles Qian Qian more than I do.
context: Yes.\Jade Purity Fan of Kunlun!\Go back to the palace!\Qian Qian, I trust you've been well since we last met 70,000 years ago.\I heard His Majesty say that Si Yin is a woman from the fox tribe\so I guessed it was you.\When I first saw Si Yin at Kunlun Mountain, I was stunned\that someone else in this world resembles Qian Qian more than I do. response:	You say you resemble me?
context: Jade Purity Fan of Kunlun!\Go back to the palace!\Qian Qian, I trust you've been well since we last met 70,000 years ago.\I heard His Majesty say that Si Yin is a woman from the fox tribe\so I guessed it was you.\When I first saw Si Yin at Kunlun Mountain, I was stunned\that someone else in this world resembles Qian Qian more than I do.\You say you resemble me? response:	Did you forget what you used to look like?
context: Go back to the palace!\Qian Qian, I trust you've been well since we last met 70,000 years ago.\I heard His Majesty say that Si Yin is a woman from the fox tribe\so I guessed it was you.\When I first saw Si Yin at Kunlun Mountain, I was stunned\that someone else in this world resembles Qian Qian more than I do.\You say you resemble me?\Did you forget what you used to look like? response:	It just so happens that Zhe Yan of the Ten Miles of Peach Woods
context: Qian Qian, I trust you've been well since we last met 70,000 years ago.\I heard His Majesty say that Si Yin is a woman from the fox tribe\so I guessed it was you.\When I first saw Si Yin at Kunlun Mountain, I was stunned\that someone else in this world resembles Qian Qian more than I do.\You say you resemble me?\Did you forget what you used to look like?\It just so happens that Zhe Yan of the Ten Miles of Peach Woods response:	has had a lot of free time lately.
context: I heard His Majesty say that Si Yin is a woman from the fox tribe\so I guessed it was you.\When I first saw Si Yin at Kunlun Mountain, I was stunned\that someone else in this world resembles Qian Qian more than I do.\You say you resemble me?\Did you forget what you used to look like?\It just so happens that Zhe Yan of the Ten Miles of Peach Woods\has had a lot of free time lately. response:	Why don't we invite him over to help you remember?
context: so I guessed it was you.\When I first saw Si Yin at Kunlun Mountain, I was stunned\that someone else in this world resembles Qian Qian more than I do.\You say you resemble me?\Did you forget what you used to look like?\It just so happens that Zhe Yan of the Ten Miles of Peach Woods\has had a lot of free time lately.\Why don't we invite him over to help you remember? response:	No matter what you say, I will take your life today.
context: When I first saw Si Yin at Kunlun Mountain, I was stunned\that someone else in this world resembles Qian Qian more than I do.\You say you resemble me?\Did you forget what you used to look like?\It just so happens that Zhe Yan of the Ten Miles of Peach Woods\has had a lot of free time lately.\Why don't we invite him over to help you remember?\No matter what you say, I will take your life today. response:	Then no one would look the same as me.
context: that someone else in this world resembles Qian Qian more than I do.\You say you resemble me?\Did you forget what you used to look like?\It just so happens that Zhe Yan of the Ten Miles of Peach Woods\has had a lot of free time lately.\Why don't we invite him over to help you remember?\No matter what you say, I will take your life today.\Then no one would look the same as me. response:	Yesterday, I took Mo Yuan's body and your son.
context: You say you resemble me?\Did you forget what you used to look like?\It just so happens that Zhe Yan of the Ten Miles of Peach Woods\has had a lot of free time lately.\Why don't we invite him over to help you remember?\No matter what you say, I will take your life today.\Then no one would look the same as me.\Yesterday, I took Mo Yuan's body and your son. response:	I knew you'd come find me.
context: Did you forget what you used to look like?\It just so happens that Zhe Yan of the Ten Miles of Peach Woods\has had a lot of free time lately.\Why don't we invite him over to help you remember?\No matter what you say, I will take your life today.\Then no one would look the same as me.\Yesterday, I took Mo Yuan's body and your son.\I knew you'd come find me. response:	I've been waiting here for you the whole time.
context: It just so happens that Zhe Yan of the Ten Miles of Peach Woods\has had a lot of free time lately.\Why don't we invite him over to help you remember?\No matter what you say, I will take your life today.\Then no one would look the same as me.\Yesterday, I took Mo Yuan's body and your son.\I knew you'd come find me.\I've been waiting here for you the whole time. response:	You've been preserving Mo Yuan's body quite well.
context: has had a lot of free time lately.\Why don't we invite him over to help you remember?\No matter what you say, I will take your life today.\Then no one would look the same as me.\Yesterday, I took Mo Yuan's body and your son.\I knew you'd come find me.\I've been waiting here for you the whole time.\You've been preserving Mo Yuan's body quite well. response:	I'm really happy about it.
context: Why don't we invite him over to help you remember?\No matter what you say, I will take your life today.\Then no one would look the same as me.\Yesterday, I took Mo Yuan's body and your son.\I knew you'd come find me.\I've been waiting here for you the whole time.\You've been preserving Mo Yuan's body quite well.\I'm really happy about it. response:	My son will get High God Mo Yuan's vitality.
context: No matter what you say, I will take your life today.\Then no one would look the same as me.\Yesterday, I took Mo Yuan's body and your son.\I knew you'd come find me.\I've been waiting here for you the whole time.\You've been preserving Mo Yuan's body quite well.\I'm really happy about it.\My son will get High God Mo Yuan's vitality. response:	Because of your contributions, I'll have them kill you quickly.
context: Then no one would look the same as me.\Yesterday, I took Mo Yuan's body and your son.\I knew you'd come find me.\I've been waiting here for you the whole time.\You've been preserving Mo Yuan's body quite well.\I'm really happy about it.\My son will get High God Mo Yuan's vitality.\Because of your contributions, I'll have them kill you quickly. response:	That depends on whether you have the ability to do so.
context: Yesterday, I took Mo Yuan's body and your son.\I knew you'd come find me.\I've been waiting here for you the whole time.\You've been preserving Mo Yuan's body quite well.\I'm really happy about it.\My son will get High God Mo Yuan's vitality.\Because of your contributions, I'll have them kill you quickly.\That depends on whether you have the ability to do so. response:	Her eyes aren't good. Is she afraid of the light?
context: I knew you'd come find me.\I've been waiting here for you the whole time.\You've been preserving Mo Yuan's body quite well.\I'm really happy about it.\My son will get High God Mo Yuan's vitality.\Because of your contributions, I'll have them kill you quickly.\That depends on whether you have the ability to do so.\Her eyes aren't good. Is she afraid of the light? response:	What a blessing.
context: I've been waiting here for you the whole time.\You've been preserving Mo Yuan's body quite well.\I'm really happy about it.\My son will get High God Mo Yuan's vitality.\Because of your contributions, I'll have them kill you quickly.\That depends on whether you have the ability to do so.\Her eyes aren't good. Is she afraid of the light?\What a blessing. response:	Seeing you covered in wounds really makes my heart ache for you.
context: You've been preserving Mo Yuan's body quite well.\I'm really happy about it.\My son will get High God Mo Yuan's vitality.\Because of your contributions, I'll have them kill you quickly.\That depends on whether you have the ability to do so.\Her eyes aren't good. Is she afraid of the light?\What a blessing.\Seeing you covered in wounds really makes my heart ache for you. response:	Who will you call upon to save you now?
context: I'm really happy about it.\My son will get High God Mo Yuan's vitality.\Because of your contributions, I'll have them kill you quickly.\That depends on whether you have the ability to do so.\Her eyes aren't good. Is she afraid of the light?\What a blessing.\Seeing you covered in wounds really makes my heart ache for you.\Who will you call upon to save you now? response:	Since things have come to this, I'll tell you this.
context: My son will get High God Mo Yuan's vitality.\Because of your contributions, I'll have them kill you quickly.\That depends on whether you have the ability to do so.\Her eyes aren't good. Is she afraid of the light?\What a blessing.\Seeing you covered in wounds really makes my heart ache for you.\Who will you call upon to save you now?\Since things have come to this, I'll tell you this. response:	Back then, I used your face to get His Majesty to sleep with me.
context: Because of your contributions, I'll have them kill you quickly.\That depends on whether you have the ability to do so.\Her eyes aren't good. Is she afraid of the light?\What a blessing.\Seeing you covered in wounds really makes my heart ache for you.\Who will you call upon to save you now?\Since things have come to this, I'll tell you this.\Back then, I used your face to get His Majesty to sleep with me. response:	So what if you can take on my appearance?
context: That depends on whether you have the ability to do so.\Her eyes aren't good. Is she afraid of the light?\What a blessing.\Seeing you covered in wounds really makes my heart ache for you.\Who will you call upon to save you now?\Since things have come to this, I'll tell you this.\Back then, I used your face to get His Majesty to sleep with me.\So what if you can take on my appearance? response:	You're just deceiving yourself.
context: Her eyes aren't good. Is she afraid of the light?\What a blessing.\Seeing you covered in wounds really makes my heart ache for you.\Who will you call upon to save you now?\Since things have come to this, I'll tell you this.\Back then, I used your face to get His Majesty to sleep with me.\So what if you can take on my appearance?\You're just deceiving yourself. response:	I've loved His Majesty for thousands of years, yet he can't forget about you.
context: What a blessing.\Seeing you covered in wounds really makes my heart ache for you.\Who will you call upon to save you now?\Since things have come to this, I'll tell you this.\Back then, I used your face to get His Majesty to sleep with me.\So what if you can take on my appearance?\You're just deceiving yourself.\I've loved His Majesty for thousands of years, yet he can't forget about you. response:	Today, I'll take your life.
context: Seeing you covered in wounds really makes my heart ache for you.\Who will you call upon to save you now?\Since things have come to this, I'll tell you this.\Back then, I used your face to get His Majesty to sleep with me.\So what if you can take on my appearance?\You're just deceiving yourself.\I've loved His Majesty for thousands of years, yet he can't forget about you.\Today, I'll take your life. response:	Then, I'll be the only one in the world with this face.
context: Who will you call upon to save you now?\Since things have come to this, I'll tell you this.\Back then, I used your face to get His Majesty to sleep with me.\So what if you can take on my appearance?\You're just deceiving yourself.\I've loved His Majesty for thousands of years, yet he can't forget about you.\Today, I'll take your life.\Then, I'll be the only one in the world with this face. response:	Naturally, His Majesty will protect me forever.
context: Since things have come to this, I'll tell you this.\Back then, I used your face to get His Majesty to sleep with me.\So what if you can take on my appearance?\You're just deceiving yourself.\I've loved His Majesty for thousands of years, yet he can't forget about you.\Today, I'll take your life.\Then, I'll be the only one in the world with this face.\Naturally, His Majesty will protect me forever. response:	Let me tell you something, Xuan Nu.
context: Back then, I used your face to get His Majesty to sleep with me.\So what if you can take on my appearance?\You're just deceiving yourself.\I've loved His Majesty for thousands of years, yet he can't forget about you.\Today, I'll take your life.\Then, I'll be the only one in the world with this face.\Naturally, His Majesty will protect me forever.\Let me tell you something, Xuan Nu. response:	As a high goddess, even if I close my eyes
context: So what if you can take on my appearance?\You're just deceiving yourself.\I've loved His Majesty for thousands of years, yet he can't forget about you.\Today, I'll take your life.\Then, I'll be the only one in the world with this face.\Naturally, His Majesty will protect me forever.\Let me tell you something, Xuan Nu.\As a high goddess, even if I close my eyes response:	I'll still be able to wipe out these useless people by your side.
context: You're just deceiving yourself.\I've loved His Majesty for thousands of years, yet he can't forget about you.\Today, I'll take your life.\Then, I'll be the only one in the world with this face.\Naturally, His Majesty will protect me forever.\Let me tell you something, Xuan Nu.\As a high goddess, even if I close my eyes\I'll still be able to wipe out these useless people by your side. response:	Kill her for me.
context: I've loved His Majesty for thousands of years, yet he can't forget about you.\Today, I'll take your life.\Then, I'll be the only one in the world with this face.\Naturally, His Majesty will protect me forever.\Let me tell you something, Xuan Nu.\As a high goddess, even if I close my eyes\I'll still be able to wipe out these useless people by your side.\Kill her for me. response:	Qian Qian.
context: Today, I'll take your life.\Then, I'll be the only one in the world with this face.\Naturally, His Majesty will protect me forever.\Let me tell you something, Xuan Nu.\As a high goddess, even if I close my eyes\I'll still be able to wipe out these useless people by your side.\Kill her for me.\Qian Qian. response:	If you came an hour earlier, I wouldn't have been injured like this.
context: Then, I'll be the only one in the world with this face.\Naturally, His Majesty will protect me forever.\Let me tell you something, Xuan Nu.\As a high goddess, even if I close my eyes\I'll still be able to wipe out these useless people by your side.\Kill her for me.\Qian Qian.\If you came an hour earlier, I wouldn't have been injured like this. response:	I'm sorry for coming late.
context: Naturally, His Majesty will protect me forever.\Let me tell you something, Xuan Nu.\As a high goddess, even if I close my eyes\I'll still be able to wipe out these useless people by your side.\Kill her for me.\Qian Qian.\If you came an hour earlier, I wouldn't have been injured like this.\I'm sorry for coming late. response:	Tell me who injured you.
context: Let me tell you something, Xuan Nu.\As a high goddess, even if I close my eyes\I'll still be able to wipe out these useless people by your side.\Kill her for me.\Qian Qian.\If you came an hour earlier, I wouldn't have been injured like this.\I'm sorry for coming late.\Tell me who injured you. response:	I've already killed everyone who injured me.
context: As a high goddess, even if I close my eyes\I'll still be able to wipe out these useless people by your side.\Kill her for me.\Qian Qian.\If you came an hour earlier, I wouldn't have been injured like this.\I'm sorry for coming late.\Tell me who injured you.\I've already killed everyone who injured me. response:	That woman is the only one left.
context: I'll still be able to wipe out these useless people by your side.\Kill her for me.\Qian Qian.\If you came an hour earlier, I wouldn't have been injured like this.\I'm sorry for coming late.\Tell me who injured you.\I've already killed everyone who injured me.\That woman is the only one left. response:	Do you want to take care of it yourself or do you want me to help you?
context: Kill her for me.\Qian Qian.\If you came an hour earlier, I wouldn't have been injured like this.\I'm sorry for coming late.\Tell me who injured you.\I've already killed everyone who injured me.\That woman is the only one left.\Do you want to take care of it yourself or do you want me to help you? response:	She humiliated my master and hurt my loved ones.
context: Qian Qian.\If you came an hour earlier, I wouldn't have been injured like this.\I'm sorry for coming late.\Tell me who injured you.\I've already killed everyone who injured me.\That woman is the only one left.\Do you want to take care of it yourself or do you want me to help you?\She humiliated my master and hurt my loved ones. response:	I will finish her myself.
context: If you came an hour earlier, I wouldn't have been injured like this.\I'm sorry for coming late.\Tell me who injured you.\I've already killed everyone who injured me.\That woman is the only one left.\Do you want to take care of it yourself or do you want me to help you?\She humiliated my master and hurt my loved ones.\I will finish her myself. response:	- A-Yin? - Your Majesty.
context: I'm sorry for coming late.\Tell me who injured you.\I've already killed everyone who injured me.\That woman is the only one left.\Do you want to take care of it yourself or do you want me to help you?\She humiliated my master and hurt my loved ones.\I will finish her myself.\- A-Yin? - Your Majesty. response:	Your Majesty, I'm Xuan Nu.
context: Tell me who injured you.\I've already killed everyone who injured me.\That woman is the only one left.\Do you want to take care of it yourself or do you want me to help you?\She humiliated my master and hurt my loved ones.\I will finish her myself.\- A-Yin? - Your Majesty.\Your Majesty, I'm Xuan Nu. response:	Why do you look just like A-Yin?
context: I've already killed everyone who injured me.\That woman is the only one left.\Do you want to take care of it yourself or do you want me to help you?\She humiliated my master and hurt my loved ones.\I will finish her myself.\- A-Yin? - Your Majesty.\Your Majesty, I'm Xuan Nu.\Why do you look just like A-Yin? response:	Exactly the same, right?
context: That woman is the only one left.\Do you want to take care of it yourself or do you want me to help you?\She humiliated my master and hurt my loved ones.\I will finish her myself.\- A-Yin? - Your Majesty.\Your Majesty, I'm Xuan Nu.\Why do you look just like A-Yin?\Exactly the same, right? response:	Your Majesty, if we just kill that wench Bai Qian
context: Do you want to take care of it yourself or do you want me to help you?\She humiliated my master and hurt my loved ones.\I will finish her myself.\- A-Yin? - Your Majesty.\Your Majesty, I'm Xuan Nu.\Why do you look just like A-Yin?\Exactly the same, right?\Your Majesty, if we just kill that wench Bai Qian response:	then I'll be the only one in this world with this face.
context: She humiliated my master and hurt my loved ones.\I will finish her myself.\- A-Yin? - Your Majesty.\Your Majesty, I'm Xuan Nu.\Why do you look just like A-Yin?\Exactly the same, right?\Your Majesty, if we just kill that wench Bai Qian\then I'll be the only one in this world with this face. response:	If you like it, you can stare at me all day.
context: I will finish her myself.\- A-Yin? - Your Majesty.\Your Majesty, I'm Xuan Nu.\Why do you look just like A-Yin?\Exactly the same, right?\Your Majesty, if we just kill that wench Bai Qian\then I'll be the only one in this world with this face.\If you like it, you can stare at me all day. response:	I'll also keep protecting you.
context: - A-Yin? - Your Majesty.\Your Majesty, I'm Xuan Nu.\Why do you look just like A-Yin?\Exactly the same, right?\Your Majesty, if we just kill that wench Bai Qian\then I'll be the only one in this world with this face.\If you like it, you can stare at me all day.\I'll also keep protecting you. response:	You... What's going on?
context: Your Majesty, I'm Xuan Nu.\Why do you look just like A-Yin?\Exactly the same, right?\Your Majesty, if we just kill that wench Bai Qian\then I'll be the only one in this world with this face.\If you like it, you can stare at me all day.\I'll also keep protecting you.\You... What's going on? response:	That woman took my master and your son.
context: Why do you look just like A-Yin?\Exactly the same, right?\Your Majesty, if we just kill that wench Bai Qian\then I'll be the only one in this world with this face.\If you like it, you can stare at me all day.\I'll also keep protecting you.\You... What's going on?\That woman took my master and your son. response:	He's also your son.
context: Exactly the same, right?\Your Majesty, if we just kill that wench Bai Qian\then I'll be the only one in this world with this face.\If you like it, you can stare at me all day.\I'll also keep protecting you.\You... What's going on?\That woman took my master and your son.\He's also your son. response:	Son?
context: Your Majesty, if we just kill that wench Bai Qian\then I'll be the only one in this world with this face.\If you like it, you can stare at me all day.\I'll also keep protecting you.\You... What's going on?\That woman took my master and your son.\He's also your son.\Son? response:	Your Majesty, our son will get better soon.
context: then I'll be the only one in this world with this face.\If you like it, you can stare at me all day.\I'll also keep protecting you.\You... What's going on?\That woman took my master and your son.\He's also your son.\Son?\Your Majesty, our son will get better soon. response:	Really.
context: If you like it, you can stare at me all day.\I'll also keep protecting you.\You... What's going on?\That woman took my master and your son.\He's also your son.\Son?\Your Majesty, our son will get better soon.\Really. response:	Look. Look at Mo Yuan.
context: I'll also keep protecting you.\You... What's going on?\That woman took my master and your son.\He's also your son.\Son?\Your Majesty, our son will get better soon.\Really.\Look. Look at Mo Yuan. response:	We'll turn him into an elixir.
context: You... What's going on?\That woman took my master and your son.\He's also your son.\Son?\Your Majesty, our son will get better soon.\Really.\Look. Look at Mo Yuan.\We'll turn him into an elixir. response:	You Majesty, you were jealous of Mo Yuan in the past, right?
context: That woman took my master and your son.\He's also your son.\Son?\Your Majesty, our son will get better soon.\Really.\Look. Look at Mo Yuan.\We'll turn him into an elixir.\You Majesty, you were jealous of Mo Yuan in the past, right? response:	You don't have to be jealous any more.
context: He's also your son.\Son?\Your Majesty, our son will get better soon.\Really.\Look. Look at Mo Yuan.\We'll turn him into an elixir.\You Majesty, you were jealous of Mo Yuan in the past, right?\You don't have to be jealous any more. response:	Our son will have Mo Yuan's vitality soon.
context: Son?\Your Majesty, our son will get better soon.\Really.\Look. Look at Mo Yuan.\We'll turn him into an elixir.\You Majesty, you were jealous of Mo Yuan in the past, right?\You don't have to be jealous any more.\Our son will have Mo Yuan's vitality soon. response:	Shut your mouth.
context: Your Majesty, our son will get better soon.\Really.\Look. Look at Mo Yuan.\We'll turn him into an elixir.\You Majesty, you were jealous of Mo Yuan in the past, right?\You don't have to be jealous any more.\Our son will have Mo Yuan's vitality soon.\Shut your mouth. response:	Am I wrong?
context: Really.\Look. Look at Mo Yuan.\We'll turn him into an elixir.\You Majesty, you were jealous of Mo Yuan in the past, right?\You don't have to be jealous any more.\Our son will have Mo Yuan's vitality soon.\Shut your mouth.\Am I wrong? response:	You didn't give the soul jade to Bai Qian back then
context: Look. Look at Mo Yuan.\We'll turn him into an elixir.\You Majesty, you were jealous of Mo Yuan in the past, right?\You don't have to be jealous any more.\Our son will have Mo Yuan's vitality soon.\Shut your mouth.\Am I wrong?\You didn't give the soul jade to Bai Qian back then response:	because you were jealous of Mo Yuan, right?
context: We'll turn him into an elixir.\You Majesty, you were jealous of Mo Yuan in the past, right?\You don't have to be jealous any more.\Our son will have Mo Yuan's vitality soon.\Shut your mouth.\Am I wrong?\You didn't give the soul jade to Bai Qian back then\because you were jealous of Mo Yuan, right? response:	Your Majesty, you don't know yet, do you?
context: You Majesty, you were jealous of Mo Yuan in the past, right?\You don't have to be jealous any more.\Our son will have Mo Yuan's vitality soon.\Shut your mouth.\Am I wrong?\You didn't give the soul jade to Bai Qian back then\because you were jealous of Mo Yuan, right?\Your Majesty, you don't know yet, do you? response:	She is Si Yin.
context: You don't have to be jealous any more.\Our son will have Mo Yuan's vitality soon.\Shut your mouth.\Am I wrong?\You didn't give the soul jade to Bai Qian back then\because you were jealous of Mo Yuan, right?\Your Majesty, you don't know yet, do you?\She is Si Yin. response:	Xuan Nu, let me tell you something.
context: Our son will have Mo Yuan's vitality soon.\Shut your mouth.\Am I wrong?\You didn't give the soul jade to Bai Qian back then\because you were jealous of Mo Yuan, right?\Your Majesty, you don't know yet, do you?\She is Si Yin.\Xuan Nu, let me tell you something. response:	My master's body is extremely precious.
context: Shut your mouth.\Am I wrong?\You didn't give the soul jade to Bai Qian back then\because you were jealous of Mo Yuan, right?\Your Majesty, you don't know yet, do you?\She is Si Yin.\Xuan Nu, let me tell you something.\My master's body is extremely precious. response:	It's received blood from my heart for 70,000 years.
context: Am I wrong?\You didn't give the soul jade to Bai Qian back then\because you were jealous of Mo Yuan, right?\Your Majesty, you don't know yet, do you?\She is Si Yin.\Xuan Nu, let me tell you something.\My master's body is extremely precious.\It's received blood from my heart for 70,000 years. response:	I'm afraid your son won't be able to handle that.
context: You didn't give the soul jade to Bai Qian back then\because you were jealous of Mo Yuan, right?\Your Majesty, you don't know yet, do you?\She is Si Yin.\Xuan Nu, let me tell you something.\My master's body is extremely precious.\It's received blood from my heart for 70,000 years.\I'm afraid your son won't be able to handle that. response:	Blood from your heart?
context: because you were jealous of Mo Yuan, right?\Your Majesty, you don't know yet, do you?\She is Si Yin.\Xuan Nu, let me tell you something.\My master's body is extremely precious.\It's received blood from my heart for 70,000 years.\I'm afraid your son won't be able to handle that.\Blood from your heart? response:	You mean...
context: Your Majesty, you don't know yet, do you?\She is Si Yin.\Xuan Nu, let me tell you something.\My master's body is extremely precious.\It's received blood from my heart for 70,000 years.\I'm afraid your son won't be able to handle that.\Blood from your heart?\You mean... response:	Li Jing, let's not talk about your past for the time being.
