context: It's the last painting Mashiro did before she came to Japan. response:	Has this helped you understand...
context: Sorata, good job.\Look forward to it, Nanamin!\Th-Thanks. Why the mushroom?\I've prepared an ultra-cute cat suit!\A cat suit?\It's a gift.\You just didn't want it, did you?\I don't think I really need to be here... response:	Ryunosuke.
context: Look forward to it, Nanamin!\Th-Thanks. Why the mushroom?\I've prepared an ultra-cute cat suit!\A cat suit?\It's a gift.\You just didn't want it, did you?\I don't think I really need to be here...\Ryunosuke. response:	I'm sorry about the other day.
context: Th-Thanks. Why the mushroom?\I've prepared an ultra-cute cat suit!\A cat suit?\It's a gift.\You just didn't want it, did you?\I don't think I really need to be here...\Ryunosuke.\I'm sorry about the other day. response:	I spoke too rashly.
context: I've prepared an ultra-cute cat suit!\A cat suit?\It's a gift.\You just didn't want it, did you?\I don't think I really need to be here...\Ryunosuke.\I'm sorry about the other day.\I spoke too rashly. response:	Acknowledging your mistakes is a virtue.
context: A cat suit?\It's a gift.\You just didn't want it, did you?\I don't think I really need to be here...\Ryunosuke.\I'm sorry about the other day.\I spoke too rashly.\Acknowledging your mistakes is a virtue. response:	I finally understand what you were trying to say.
context: It's a gift.\You just didn't want it, did you?\I don't think I really need to be here...\Ryunosuke.\I'm sorry about the other day.\I spoke too rashly.\Acknowledging your mistakes is a virtue.\I finally understand what you were trying to say. response:	Sorata really does have what I had forgotten.
context: You just didn't want it, did you?\I don't think I really need to be here...\Ryunosuke.\I'm sorry about the other day.\I spoke too rashly.\Acknowledging your mistakes is a virtue.\I finally understand what you were trying to say.\Sorata really does have what I had forgotten. response:	Don't stand so close to me!
context: I don't think I really need to be here...\Ryunosuke.\I'm sorry about the other day.\I spoke too rashly.\Acknowledging your mistakes is a virtue.\I finally understand what you were trying to say.\Sorata really does have what I had forgotten.\Don't stand so close to me! response:	It's giving me the willies.
context: Ryunosuke.\I'm sorry about the other day.\I spoke too rashly.\Acknowledging your mistakes is a virtue.\I finally understand what you were trying to say.\Sorata really does have what I had forgotten.\Don't stand so close to me!\It's giving me the willies. response:	You really do hate girls, don't you?
context: I'm sorry about the other day.\I spoke too rashly.\Acknowledging your mistakes is a virtue.\I finally understand what you were trying to say.\Sorata really does have what I had forgotten.\Don't stand so close to me!\It's giving me the willies.\You really do hate girls, don't you? response:	I want to know what kind of person you are.
context: I spoke too rashly.\Acknowledging your mistakes is a virtue.\I finally understand what you were trying to say.\Sorata really does have what I had forgotten.\Don't stand so close to me!\It's giving me the willies.\You really do hate girls, don't you?\I want to know what kind of person you are. response:	K-Kanda! Change seats with me!
context: Acknowledging your mistakes is a virtue.\I finally understand what you were trying to say.\Sorata really does have what I had forgotten.\Don't stand so close to me!\It's giving me the willies.\You really do hate girls, don't you?\I want to know what kind of person you are.\K-Kanda! Change seats with me! response:	What's your problem?
context: I finally understand what you were trying to say.\Sorata really does have what I had forgotten.\Don't stand so close to me!\It's giving me the willies.\You really do hate girls, don't you?\I want to know what kind of person you are.\K-Kanda! Change seats with me!\What's your problem? response:	Thanks for Coming!!
context: Sorata really does have what I had forgotten.\Don't stand so close to me!\It's giving me the willies.\You really do hate girls, don't you?\I want to know what kind of person you are.\K-Kanda! Change seats with me!\What's your problem?\Thanks for Coming!! response:	Sorata.
context: Don't stand so close to me!\It's giving me the willies.\You really do hate girls, don't you?\I want to know what kind of person you are.\K-Kanda! Change seats with me!\What's your problem?\Thanks for Coming!!\Sorata. response:	Huh?
context: It's giving me the willies.\You really do hate girls, don't you?\I want to know what kind of person you are.\K-Kanda! Change seats with me!\What's your problem?\Thanks for Coming!!\Sorata.\Huh? response:	I still haven't changed my mind.
context: You really do hate girls, don't you?\I want to know what kind of person you are.\K-Kanda! Change seats with me!\What's your problem?\Thanks for Coming!!\Sorata.\Huh?\I still haven't changed my mind. response:	I think Mashiro should paint instead of drawing manga.
context: I want to know what kind of person you are.\K-Kanda! Change seats with me!\What's your problem?\Thanks for Coming!!\Sorata.\Huh?\I still haven't changed my mind.\I think Mashiro should paint instead of drawing manga. response:	But I'll behave myself until the culture festival.
context: K-Kanda! Change seats with me!\What's your problem?\Thanks for Coming!!\Sorata.\Huh?\I still haven't changed my mind.\I think Mashiro should paint instead of drawing manga.\But I'll behave myself until the culture festival. response:	I want to see Nyapollon completed, as well.
context: What's your problem?\Thanks for Coming!!\Sorata.\Huh?\I still haven't changed my mind.\I think Mashiro should paint instead of drawing manga.\But I'll behave myself until the culture festival.\I want to see Nyapollon completed, as well. response:	Rita...
context: Thanks for Coming!!\Sorata.\Huh?\I still haven't changed my mind.\I think Mashiro should paint instead of drawing manga.\But I'll behave myself until the culture festival.\I want to see Nyapollon completed, as well.\Rita... response:	I love making art.
context: Sorata.\Huh?\I still haven't changed my mind.\I think Mashiro should paint instead of drawing manga.\But I'll behave myself until the culture festival.\I want to see Nyapollon completed, as well.\Rita...\I love making art. response:	Thank you, Sorata.
context: Huh?\I still haven't changed my mind.\I think Mashiro should paint instead of drawing manga.\But I'll behave myself until the culture festival.\I want to see Nyapollon completed, as well.\Rita...\I love making art.\Thank you, Sorata. response:	Thank you, Mashiro.
context: I still haven't changed my mind.\I think Mashiro should paint instead of drawing manga.\But I'll behave myself until the culture festival.\I want to see Nyapollon completed, as well.\Rita...\I love making art.\Thank you, Sorata.\Thank you, Mashiro. response:	The culture festival... What a lively event.
context: I think Mashiro should paint instead of drawing manga.\But I'll behave myself until the culture festival.\I want to see Nyapollon completed, as well.\Rita...\I love making art.\Thank you, Sorata.\Thank you, Mashiro.\The culture festival... What a lively event. response:	Girls from other schools come and play with Suimei girls.
context: But I'll behave myself until the culture festival.\I want to see Nyapollon completed, as well.\Rita...\I love making art.\Thank you, Sorata.\Thank you, Mashiro.\The culture festival... What a lively event.\Girls from other schools come and play with Suimei girls. response:	But this year's culture festival will be difficult and energetic.
