context: Raise your arms and face this way. response:	Raise your arms and face this way
context: Anyone could have figured it out from what he said.\Every eyewitness so far has said they saw the former boss,\but this guy said he saw Arahabaki itself.\There is no such thing as gods, so you decided I did it.\Is that right?\No.\The opposite.\It's because gods do exist. response:	I know it.
context: Every eyewitness so far has said they saw the former boss,\but this guy said he saw Arahabaki itself.\There is no such thing as gods, so you decided I did it.\Is that right?\No.\The opposite.\It's because gods do exist.\I know it. response:	You know that Arahabaki exists?
context: but this guy said he saw Arahabaki itself.\There is no such thing as gods, so you decided I did it.\Is that right?\No.\The opposite.\It's because gods do exist.\I know it.\You know that Arahabaki exists? response:	Yeah.
context: There is no such thing as gods, so you decided I did it.\Is that right?\No.\The opposite.\It's because gods do exist.\I know it.\You know that Arahabaki exists?\Yeah. response:	You saw it, too, didn't you?
context: Is that right?\No.\The opposite.\It's because gods do exist.\I know it.\You know that Arahabaki exists?\Yeah.\You saw it, too, didn't you? response:	Eight years ago.
context: No.\The opposite.\It's because gods do exist.\I know it.\You know that Arahabaki exists?\Yeah.\You saw it, too, didn't you?\Eight years ago. response:	There's no way you could have given such a precise account otherwise.
context: The opposite.\It's because gods do exist.\I know it.\You know that Arahabaki exists?\Yeah.\You saw it, too, didn't you?\Eight years ago.\There's no way you could have given such a precise account otherwise. response:	Chuuya-kun. Do you know where Arahabaki is right now?
context: It's because gods do exist.\I know it.\You know that Arahabaki exists?\Yeah.\You saw it, too, didn't you?\Eight years ago.\There's no way you could have given such a precise account otherwise.\Chuuya-kun. Do you know where Arahabaki is right now? response:	Tell me.
context: I know it.\You know that Arahabaki exists?\Yeah.\You saw it, too, didn't you?\Eight years ago.\There's no way you could have given such a precise account otherwise.\Chuuya-kun. Do you know where Arahabaki is right now?\Tell me. response:	You should tell him if you know.
context: You know that Arahabaki exists?\Yeah.\You saw it, too, didn't you?\Eight years ago.\There's no way you could have given such a precise account otherwise.\Chuuya-kun. Do you know where Arahabaki is right now?\Tell me.\You should tell him if you know. response:	Randou-san's going to be executed for putting the Port Mafia in danger, anyway.
context: Yeah.\You saw it, too, didn't you?\Eight years ago.\There's no way you could have given such a precise account otherwise.\Chuuya-kun. Do you know where Arahabaki is right now?\Tell me.\You should tell him if you know.\Randou-san's going to be executed for putting the Port Mafia in danger, anyway. response:	Dammit, why the hell does everyone want to meet that thing?
context: You saw it, too, didn't you?\Eight years ago.\There's no way you could have given such a precise account otherwise.\Chuuya-kun. Do you know where Arahabaki is right now?\Tell me.\You should tell him if you know.\Randou-san's going to be executed for putting the Port Mafia in danger, anyway.\Dammit, why the hell does everyone want to meet that thing? response:	It doesn't have the power to revive the dead.
context: Eight years ago.\There's no way you could have given such a precise account otherwise.\Chuuya-kun. Do you know where Arahabaki is right now?\Tell me.\You should tell him if you know.\Randou-san's going to be executed for putting the Port Mafia in danger, anyway.\Dammit, why the hell does everyone want to meet that thing?\It doesn't have the power to revive the dead. response:	It doesn't even have a personality or a mind.
context: There's no way you could have given such a precise account otherwise.\Chuuya-kun. Do you know where Arahabaki is right now?\Tell me.\You should tell him if you know.\Randou-san's going to be executed for putting the Port Mafia in danger, anyway.\Dammit, why the hell does everyone want to meet that thing?\It doesn't have the power to revive the dead.\It doesn't even have a personality or a mind. response:	It's the same as a typhoon or earthquake.
context: Chuuya-kun. Do you know where Arahabaki is right now?\Tell me.\You should tell him if you know.\Randou-san's going to be executed for putting the Port Mafia in danger, anyway.\Dammit, why the hell does everyone want to meet that thing?\It doesn't have the power to revive the dead.\It doesn't even have a personality or a mind.\It's the same as a typhoon or earthquake. response:	It doesn't need a personality.
context: Tell me.\You should tell him if you know.\Randou-san's going to be executed for putting the Port Mafia in danger, anyway.\Dammit, why the hell does everyone want to meet that thing?\It doesn't have the power to revive the dead.\It doesn't even have a personality or a mind.\It's the same as a typhoon or earthquake.\It doesn't need a personality. response:	Great destruction.
context: You should tell him if you know.\Randou-san's going to be executed for putting the Port Mafia in danger, anyway.\Dammit, why the hell does everyone want to meet that thing?\It doesn't have the power to revive the dead.\It doesn't even have a personality or a mind.\It's the same as a typhoon or earthquake.\It doesn't need a personality.\Great destruction. response:	Scorching the earth, staining the skies, rumbling the air...
context: Randou-san's going to be executed for putting the Port Mafia in danger, anyway.\Dammit, why the hell does everyone want to meet that thing?\It doesn't have the power to revive the dead.\It doesn't even have a personality or a mind.\It's the same as a typhoon or earthquake.\It doesn't need a personality.\Great destruction.\Scorching the earth, staining the skies, rumbling the air... response:	An unfathomable thing from the other side.
context: Dammit, why the hell does everyone want to meet that thing?\It doesn't have the power to revive the dead.\It doesn't even have a personality or a mind.\It's the same as a typhoon or earthquake.\It doesn't need a personality.\Great destruction.\Scorching the earth, staining the skies, rumbling the air...\An unfathomable thing from the other side. response:	That power is enough for me.
context: It doesn't have the power to revive the dead.\It doesn't even have a personality or a mind.\It's the same as a typhoon or earthquake.\It doesn't need a personality.\Great destruction.\Scorching the earth, staining the skies, rumbling the air...\An unfathomable thing from the other side.\That power is enough for me. response:	Tell me, Chuuya-kun, where is this thing beyond human comprehension,
context: It doesn't even have a personality or a mind.\It's the same as a typhoon or earthquake.\It doesn't need a personality.\Great destruction.\Scorching the earth, staining the skies, rumbling the air...\An unfathomable thing from the other side.\That power is enough for me.\Tell me, Chuuya-kun, where is this thing beyond human comprehension, response:	this thing that burned me alive?
context: It's the same as a typhoon or earthquake.\It doesn't need a personality.\Great destruction.\Scorching the earth, staining the skies, rumbling the air...\An unfathomable thing from the other side.\That power is enough for me.\Tell me, Chuuya-kun, where is this thing beyond human comprehension,\this thing that burned me alive? response:	I'll tell you if you really want to know.
context: It doesn't need a personality.\Great destruction.\Scorching the earth, staining the skies, rumbling the air...\An unfathomable thing from the other side.\That power is enough for me.\Tell me, Chuuya-kun, where is this thing beyond human comprehension,\this thing that burned me alive?\I'll tell you if you really want to know. response:	Arahabaki is...
context: Great destruction.\Scorching the earth, staining the skies, rumbling the air...\An unfathomable thing from the other side.\That power is enough for me.\Tell me, Chuuya-kun, where is this thing beyond human comprehension,\this thing that burned me alive?\I'll tell you if you really want to know.\Arahabaki is... response:	Me.
context: Scorching the earth, staining the skies, rumbling the air...\An unfathomable thing from the other side.\That power is enough for me.\Tell me, Chuuya-kun, where is this thing beyond human comprehension,\this thing that burned me alive?\I'll tell you if you really want to know.\Arahabaki is...\Me. response:	What?
context: An unfathomable thing from the other side.\That power is enough for me.\Tell me, Chuuya-kun, where is this thing beyond human comprehension,\this thing that burned me alive?\I'll tell you if you really want to know.\Arahabaki is...\Me.\What? response:	I had a hunch that you were.
context: That power is enough for me.\Tell me, Chuuya-kun, where is this thing beyond human comprehension,\this thing that burned me alive?\I'll tell you if you really want to know.\Arahabaki is...\Me.\What?\I had a hunch that you were. response:	Episode 28
context: Tell me, Chuuya-kun, where is this thing beyond human comprehension,\this thing that burned me alive?\I'll tell you if you really want to know.\Arahabaki is...\Me.\What?\I had a hunch that you were.\Episode 28 response:	A Diamond is Only a Diamond
