context: Carve your answer to me into the roof over there. response:	I'm going to kill Huey Laforet.
context: Are you saying you want to see me smile, too?\Of course I do! I'm sure your smile will give me strength.\You astound me. Very well. I will help him.\I'd like to see you smiling, and then be gone from this place,\but I still have a whole lot of people that I have to make smile.\I've lived for 200 years now, but there's probably no meaning to life.\So isn't it that much better for everyone to smile and enjoy themselves,\and be freed from their sorrow and hatred? response:	See you later, devil. You keep looking after Maiza.
context: Of course I do! I'm sure your smile will give me strength.\You astound me. Very well. I will help him.\I'd like to see you smiling, and then be gone from this place,\but I still have a whole lot of people that I have to make smile.\I've lived for 200 years now, but there's probably no meaning to life.\So isn't it that much better for everyone to smile and enjoy themselves,\and be freed from their sorrow and hatred?\See you later, devil. You keep looking after Maiza. response:	It's not that I was keeping a promise to you,
context: You astound me. Very well. I will help him.\I'd like to see you smiling, and then be gone from this place,\but I still have a whole lot of people that I have to make smile.\I've lived for 200 years now, but there's probably no meaning to life.\So isn't it that much better for everyone to smile and enjoy themselves,\and be freed from their sorrow and hatred?\See you later, devil. You keep looking after Maiza.\It's not that I was keeping a promise to you, response:	so much as I was just deeply curious.
context: I'd like to see you smiling, and then be gone from this place,\but I still have a whole lot of people that I have to make smile.\I've lived for 200 years now, but there's probably no meaning to life.\So isn't it that much better for everyone to smile and enjoy themselves,\and be freed from their sorrow and hatred?\See you later, devil. You keep looking after Maiza.\It's not that I was keeping a promise to you,\so much as I was just deeply curious. response:	Oh well...
context: but I still have a whole lot of people that I have to make smile.\I've lived for 200 years now, but there's probably no meaning to life.\So isn't it that much better for everyone to smile and enjoy themselves,\and be freed from their sorrow and hatred?\See you later, devil. You keep looking after Maiza.\It's not that I was keeping a promise to you,\so much as I was just deeply curious.\Oh well... response:	Such an arbitrary fellow.
context: I've lived for 200 years now, but there's probably no meaning to life.\So isn't it that much better for everyone to smile and enjoy themselves,\and be freed from their sorrow and hatred?\See you later, devil. You keep looking after Maiza.\It's not that I was keeping a promise to you,\so much as I was just deeply curious.\Oh well...\Such an arbitrary fellow. response:	Mr. Vice President...
context: So isn't it that much better for everyone to smile and enjoy themselves,\and be freed from their sorrow and hatred?\See you later, devil. You keep looking after Maiza.\It's not that I was keeping a promise to you,\so much as I was just deeply curious.\Oh well...\Such an arbitrary fellow.\Mr. Vice President... response:	What, Carol?
context: and be freed from their sorrow and hatred?\See you later, devil. You keep looking after Maiza.\It's not that I was keeping a promise to you,\so much as I was just deeply curious.\Oh well...\Such an arbitrary fellow.\Mr. Vice President...\What, Carol? response:	Ultimately, where does this story begin, and when does it end?
context: See you later, devil. You keep looking after Maiza.\It's not that I was keeping a promise to you,\so much as I was just deeply curious.\Oh well...\Such an arbitrary fellow.\Mr. Vice President...\What, Carol?\Ultimately, where does this story begin, and when does it end? response:	That's a foolish question, Carol. By any chance,
context: It's not that I was keeping a promise to you,\so much as I was just deeply curious.\Oh well...\Such an arbitrary fellow.\Mr. Vice President...\What, Carol?\Ultimately, where does this story begin, and when does it end?\That's a foolish question, Carol. By any chance, response:	are you still searching for the main character to this story?
context: so much as I was just deeply curious.\Oh well...\Such an arbitrary fellow.\Mr. Vice President...\What, Carol?\Ultimately, where does this story begin, and when does it end?\That's a foolish question, Carol. By any chance,\are you still searching for the main character to this story? response:	Yes.
context: Oh well...\Such an arbitrary fellow.\Mr. Vice President...\What, Carol?\Ultimately, where does this story begin, and when does it end?\That's a foolish question, Carol. By any chance,\are you still searching for the main character to this story?\Yes. response:	Carol, free yourself from such fantasies.
context: Such an arbitrary fellow.\Mr. Vice President...\What, Carol?\Ultimately, where does this story begin, and when does it end?\That's a foolish question, Carol. By any chance,\are you still searching for the main character to this story?\Yes.\Carol, free yourself from such fantasies. response:	Rid yourself of the illusion that stories have beginnings and endings.
context: Mr. Vice President...\What, Carol?\Ultimately, where does this story begin, and when does it end?\That's a foolish question, Carol. By any chance,\are you still searching for the main character to this story?\Yes.\Carol, free yourself from such fantasies.\Rid yourself of the illusion that stories have beginnings and endings. response:	Stories have no beginnings. Nor have they endings.
context: What, Carol?\Ultimately, where does this story begin, and when does it end?\That's a foolish question, Carol. By any chance,\are you still searching for the main character to this story?\Yes.\Carol, free yourself from such fantasies.\Rid yourself of the illusion that stories have beginnings and endings.\Stories have no beginnings. Nor have they endings. response:	All they have are the facts of life of people making connections,
context: Ultimately, where does this story begin, and when does it end?\That's a foolish question, Carol. By any chance,\are you still searching for the main character to this story?\Yes.\Carol, free yourself from such fantasies.\Rid yourself of the illusion that stories have beginnings and endings.\Stories have no beginnings. Nor have they endings.\All they have are the facts of life of people making connections, response:	interacting, influencing each other, and spreading out.
context: That's a foolish question, Carol. By any chance,\are you still searching for the main character to this story?\Yes.\Carol, free yourself from such fantasies.\Rid yourself of the illusion that stories have beginnings and endings.\Stories have no beginnings. Nor have they endings.\All they have are the facts of life of people making connections,\interacting, influencing each other, and spreading out. response:	Stories must not have endings, Carol.
context: are you still searching for the main character to this story?\Yes.\Carol, free yourself from such fantasies.\Rid yourself of the illusion that stories have beginnings and endings.\Stories have no beginnings. Nor have they endings.\All they have are the facts of life of people making connections,\interacting, influencing each other, and spreading out.\Stories must not have endings, Carol. response:	Mr. Vice President, this is too hard for me.
context: Yes.\Carol, free yourself from such fantasies.\Rid yourself of the illusion that stories have beginnings and endings.\Stories have no beginnings. Nor have they endings.\All they have are the facts of life of people making connections,\interacting, influencing each other, and spreading out.\Stories must not have endings, Carol.\Mr. Vice President, this is too hard for me. response:	Oh, my apologies.
context: Carol, free yourself from such fantasies.\Rid yourself of the illusion that stories have beginnings and endings.\Stories have no beginnings. Nor have they endings.\All they have are the facts of life of people making connections,\interacting, influencing each other, and spreading out.\Stories must not have endings, Carol.\Mr. Vice President, this is too hard for me.\Oh, my apologies. response:	But there are some things that can only be told in a certain way.
context: Rid yourself of the illusion that stories have beginnings and endings.\Stories have no beginnings. Nor have they endings.\All they have are the facts of life of people making connections,\interacting, influencing each other, and spreading out.\Stories must not have endings, Carol.\Mr. Vice President, this is too hard for me.\Oh, my apologies.\But there are some things that can only be told in a certain way. response:	Then, Mr. Vice President, why can't stories have an ending?
context: Stories have no beginnings. Nor have they endings.\All they have are the facts of life of people making connections,\interacting, influencing each other, and spreading out.\Stories must not have endings, Carol.\Mr. Vice President, this is too hard for me.\Oh, my apologies.\But there are some things that can only be told in a certain way.\Then, Mr. Vice President, why can't stories have an ending? response:	Why do you think, Carol?
context: All they have are the facts of life of people making connections,\interacting, influencing each other, and spreading out.\Stories must not have endings, Carol.\Mr. Vice President, this is too hard for me.\Oh, my apologies.\But there are some things that can only be told in a certain way.\Then, Mr. Vice President, why can't stories have an ending?\Why do you think, Carol? response:	Because allowing the possibility for the story to go on is appealing?
context: interacting, influencing each other, and spreading out.\Stories must not have endings, Carol.\Mr. Vice President, this is too hard for me.\Oh, my apologies.\But there are some things that can only be told in a certain way.\Then, Mr. Vice President, why can't stories have an ending?\Why do you think, Carol?\Because allowing the possibility for the story to go on is appealing? response:	Three points.
context: Stories must not have endings, Carol.\Mr. Vice President, this is too hard for me.\Oh, my apologies.\But there are some things that can only be told in a certain way.\Then, Mr. Vice President, why can't stories have an ending?\Why do you think, Carol?\Because allowing the possibility for the story to go on is appealing?\Three points. response:	That isn't enough points, is it?
context: Mr. Vice President, this is too hard for me.\Oh, my apologies.\But there are some things that can only be told in a certain way.\Then, Mr. Vice President, why can't stories have an ending?\Why do you think, Carol?\Because allowing the possibility for the story to go on is appealing?\Three points.\That isn't enough points, is it? response:	You could probably provide countless answers to that question.
context: Oh, my apologies.\But there are some things that can only be told in a certain way.\Then, Mr. Vice President, why can't stories have an ending?\Why do you think, Carol?\Because allowing the possibility for the story to go on is appealing?\Three points.\That isn't enough points, is it?\You could probably provide countless answers to that question. response:	But suppose I were to give you an answer
context: But there are some things that can only be told in a certain way.\Then, Mr. Vice President, why can't stories have an ending?\Why do you think, Carol?\Because allowing the possibility for the story to go on is appealing?\Three points.\That isn't enough points, is it?\You could probably provide countless answers to that question.\But suppose I were to give you an answer response:	that was easy to understand, for your sake.
context: Then, Mr. Vice President, why can't stories have an ending?\Why do you think, Carol?\Because allowing the possibility for the story to go on is appealing?\Three points.\That isn't enough points, is it?\You could probably provide countless answers to that question.\But suppose I were to give you an answer\that was easy to understand, for your sake. response:	Yes?
context: Why do you think, Carol?\Because allowing the possibility for the story to go on is appealing?\Three points.\That isn't enough points, is it?\You could probably provide countless answers to that question.\But suppose I were to give you an answer\that was easy to understand, for your sake.\Yes? response:	Because they are enjoyable.
context: Because allowing the possibility for the story to go on is appealing?\Three points.\That isn't enough points, is it?\You could probably provide countless answers to that question.\But suppose I were to give you an answer\that was easy to understand, for your sake.\Yes?\Because they are enjoyable. response:	Because they are enjoyable?
context: Three points.\That isn't enough points, is it?\You could probably provide countless answers to that question.\But suppose I were to give you an answer\that was easy to understand, for your sake.\Yes?\Because they are enjoyable.\Because they are enjoyable? response:	That's right, because they are enjoyable.
context: That isn't enough points, is it?\You could probably provide countless answers to that question.\But suppose I were to give you an answer\that was easy to understand, for your sake.\Yes?\Because they are enjoyable.\Because they are enjoyable?\That's right, because they are enjoyable. response:	Won't some people be unhappy with stories not having endings?
context: You could probably provide countless answers to that question.\But suppose I were to give you an answer\that was easy to understand, for your sake.\Yes?\Because they are enjoyable.\Because they are enjoyable?\That's right, because they are enjoyable.\Won't some people be unhappy with stories not having endings? response:	That's something else that makes it enjoyable, Carol.
context: But suppose I were to give you an answer\that was easy to understand, for your sake.\Yes?\Because they are enjoyable.\Because they are enjoyable?\That's right, because they are enjoyable.\Won't some people be unhappy with stories not having endings?\That's something else that makes it enjoyable, Carol. response:	Carol, don't look away.
context: that was easy to understand, for your sake.\Yes?\Because they are enjoyable.\Because they are enjoyable?\That's right, because they are enjoyable.\Won't some people be unhappy with stories not having endings?\That's something else that makes it enjoyable, Carol.\Carol, don't look away. response:	But Mr. Vice President...
context: Yes?\Because they are enjoyable.\Because they are enjoyable?\That's right, because they are enjoyable.\Won't some people be unhappy with stories not having endings?\That's something else that makes it enjoyable, Carol.\Carol, don't look away.\But Mr. Vice President... response:	Don't you recognize that mouse?
context: Because they are enjoyable.\Because they are enjoyable?\That's right, because they are enjoyable.\Won't some people be unhappy with stories not having endings?\That's something else that makes it enjoyable, Carol.\Carol, don't look away.\But Mr. Vice President...\Don't you recognize that mouse? response:	How do you think that mouse has spent its time up to now?
context: Because they are enjoyable?\That's right, because they are enjoyable.\Won't some people be unhappy with stories not having endings?\That's something else that makes it enjoyable, Carol.\Carol, don't look away.\But Mr. Vice President...\Don't you recognize that mouse?\How do you think that mouse has spent its time up to now? response:	And what sort of experiences do you think it will have from here on?
context: That's right, because they are enjoyable.\Won't some people be unhappy with stories not having endings?\That's something else that makes it enjoyable, Carol.\Carol, don't look away.\But Mr. Vice President...\Don't you recognize that mouse?\How do you think that mouse has spent its time up to now?\And what sort of experiences do you think it will have from here on? response:	Visualize, Carol. Imagine.
context: Won't some people be unhappy with stories not having endings?\That's something else that makes it enjoyable, Carol.\Carol, don't look away.\But Mr. Vice President...\Don't you recognize that mouse?\How do you think that mouse has spent its time up to now?\And what sort of experiences do you think it will have from here on?\Visualize, Carol. Imagine. response:	Mr. Vice President, I'm starting to enjoy this!
context: That's something else that makes it enjoyable, Carol.\Carol, don't look away.\But Mr. Vice President...\Don't you recognize that mouse?\How do you think that mouse has spent its time up to now?\And what sort of experiences do you think it will have from here on?\Visualize, Carol. Imagine.\Mr. Vice President, I'm starting to enjoy this! response:	And there you have it, Carol.
context: Carol, don't look away.\But Mr. Vice President...\Don't you recognize that mouse?\How do you think that mouse has spent its time up to now?\And what sort of experiences do you think it will have from here on?\Visualize, Carol. Imagine.\Mr. Vice President, I'm starting to enjoy this!\And there you have it, Carol. response:	Say, if it's all right with you,
context: But Mr. Vice President...\Don't you recognize that mouse?\How do you think that mouse has spent its time up to now?\And what sort of experiences do you think it will have from here on?\Visualize, Carol. Imagine.\Mr. Vice President, I'm starting to enjoy this!\And there you have it, Carol.\Say, if it's all right with you, response:	we can start off as friends.
context: Don't you recognize that mouse?\How do you think that mouse has spent its time up to now?\And what sort of experiences do you think it will have from here on?\Visualize, Carol. Imagine.\Mr. Vice President, I'm starting to enjoy this!\And there you have it, Carol.\Say, if it's all right with you,\we can start off as friends. response:	Would you fall in love with me?
context: How do you think that mouse has spent its time up to now?\And what sort of experiences do you think it will have from here on?\Visualize, Carol. Imagine.\Mr. Vice President, I'm starting to enjoy this!\And there you have it, Carol.\Say, if it's all right with you,\we can start off as friends.\Would you fall in love with me? response:	Freeze!
context: And what sort of experiences do you think it will have from here on?\Visualize, Carol. Imagine.\Mr. Vice President, I'm starting to enjoy this!\And there you have it, Carol.\Say, if it's all right with you,\we can start off as friends.\Would you fall in love with me?\Freeze! response:	Hold it!
context: Visualize, Carol. Imagine.\Mr. Vice President, I'm starting to enjoy this!\And there you have it, Carol.\Say, if it's all right with you,\we can start off as friends.\Would you fall in love with me?\Freeze!\Hold it! response:	Merry Christmas!
context: Mr. Vice President, I'm starting to enjoy this!\And there you have it, Carol.\Say, if it's all right with you,\we can start off as friends.\Would you fall in love with me?\Freeze!\Hold it!\Merry Christmas! response:	It's too early!
context: And there you have it, Carol.\Say, if it's all right with you,\we can start off as friends.\Would you fall in love with me?\Freeze!\Hold it!\Merry Christmas!\It's too early! response:	-Merry Christmas! -It's a whole month too early!
context: Say, if it's all right with you,\we can start off as friends.\Would you fall in love with me?\Freeze!\Hold it!\Merry Christmas!\It's too early!\-Merry Christmas! -It's a whole month too early! response:	Going through this much has to wipe out
context: we can start off as friends.\Would you fall in love with me?\Freeze!\Hold it!\Merry Christmas!\It's too early!\-Merry Christmas! -It's a whole month too early!\Going through this much has to wipe out response:	at least 50 robberies' worth, huh?!
context: Would you fall in love with me?\Freeze!\Hold it!\Merry Christmas!\It's too early!\-Merry Christmas! -It's a whole month too early!\Going through this much has to wipe out\at least 50 robberies' worth, huh?! response:	Mm-hmm! We've given it out to everyone,
context: Freeze!\Hold it!\Merry Christmas!\It's too early!\-Merry Christmas! -It's a whole month too early!\Going through this much has to wipe out\at least 50 robberies' worth, huh?!\Mm-hmm! We've given it out to everyone, response:	and I'm sure that Genoard- san up in heaven is thrilled, too!
context: Hold it!\Merry Christmas!\It's too early!\-Merry Christmas! -It's a whole month too early!\Going through this much has to wipe out\at least 50 robberies' worth, huh?!\Mm-hmm! We've given it out to everyone,\and I'm sure that Genoard- san up in heaven is thrilled, too! response:	Yeah! There won't be any fighting over the inheritance,
context: Merry Christmas!\It's too early!\-Merry Christmas! -It's a whole month too early!\Going through this much has to wipe out\at least 50 robberies' worth, huh?!\Mm-hmm! We've given it out to everyone,\and I'm sure that Genoard- san up in heaven is thrilled, too!\Yeah! There won't be any fighting over the inheritance, response:	and I'll bet Eve and her brother are happy, too!
context: It's too early!\-Merry Christmas! -It's a whole month too early!\Going through this much has to wipe out\at least 50 robberies' worth, huh?!\Mm-hmm! We've given it out to everyone,\and I'm sure that Genoard- san up in heaven is thrilled, too!\Yeah! There won't be any fighting over the inheritance,\and I'll bet Eve and her brother are happy, too! response:	Everyone is happy!
context: -Merry Christmas! -It's a whole month too early!\Going through this much has to wipe out\at least 50 robberies' worth, huh?!\Mm-hmm! We've given it out to everyone,\and I'm sure that Genoard- san up in heaven is thrilled, too!\Yeah! There won't be any fighting over the inheritance,\and I'll bet Eve and her brother are happy, too!\Everyone is happy! response:	Now then, where should we run away to, Miria?
context: Going through this much has to wipe out\at least 50 robberies' worth, huh?!\Mm-hmm! We've given it out to everyone,\and I'm sure that Genoard- san up in heaven is thrilled, too!\Yeah! There won't be any fighting over the inheritance,\and I'll bet Eve and her brother are happy, too!\Everyone is happy!\Now then, where should we run away to, Miria? response:	Just keep going!
context: at least 50 robberies' worth, huh?!\Mm-hmm! We've given it out to everyone,\and I'm sure that Genoard- san up in heaven is thrilled, too!\Yeah! There won't be any fighting over the inheritance,\and I'll bet Eve and her brother are happy, too!\Everyone is happy!\Now then, where should we run away to, Miria?\Just keep going! response:	Oh, how about we go dig for gold in California?
context: Mm-hmm! We've given it out to everyone,\and I'm sure that Genoard- san up in heaven is thrilled, too!\Yeah! There won't be any fighting over the inheritance,\and I'll bet Eve and her brother are happy, too!\Everyone is happy!\Now then, where should we run away to, Miria?\Just keep going!\Oh, how about we go dig for gold in California? response:	Like the gold rush!
context: and I'm sure that Genoard- san up in heaven is thrilled, too!\Yeah! There won't be any fighting over the inheritance,\and I'll bet Eve and her brother are happy, too!\Everyone is happy!\Now then, where should we run away to, Miria?\Just keep going!\Oh, how about we go dig for gold in California?\Like the gold rush! response:	Let's swipe a great big chunk of it from the earth!
context: Yeah! There won't be any fighting over the inheritance,\and I'll bet Eve and her brother are happy, too!\Everyone is happy!\Now then, where should we run away to, Miria?\Just keep going!\Oh, how about we go dig for gold in California?\Like the gold rush!\Let's swipe a great big chunk of it from the earth! response:	Incredible!!
context: and I'll bet Eve and her brother are happy, too!\Everyone is happy!\Now then, where should we run away to, Miria?\Just keep going!\Oh, how about we go dig for gold in California?\Like the gold rush!\Let's swipe a great big chunk of it from the earth!\Incredible!! response:	Looking up at the starry sky that goes on forever, we sing
context: Everyone is happy!\Now then, where should we run away to, Miria?\Just keep going!\Oh, how about we go dig for gold in California?\Like the gold rush!\Let's swipe a great big chunk of it from the earth!\Incredible!!\Looking up at the starry sky that goes on forever, we sing response:	a melody of a dream we have of our limited eternity
context: Now then, where should we run away to, Miria?\Just keep going!\Oh, how about we go dig for gold in California?\Like the gold rush!\Let's swipe a great big chunk of it from the earth!\Incredible!!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity response:	The water of adoration, overflowing in our hearts
context: Just keep going!\Oh, how about we go dig for gold in California?\Like the gold rush!\Let's swipe a great big chunk of it from the earth!\Incredible!!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts response:	will reach someone in the distant future
context: Oh, how about we go dig for gold in California?\Like the gold rush!\Let's swipe a great big chunk of it from the earth!\Incredible!!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future response:	I believe so
context: Like the gold rush!\Let's swipe a great big chunk of it from the earth!\Incredible!!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so response:	Running through time prolonged,
context: Let's swipe a great big chunk of it from the earth!\Incredible!!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged, response:	our voices calling out will someday become a great song
context: Incredible!!\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song response:	We can go on spinning our love
context: Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love response:	though it may still be such a tiny light now
