context: She's been gazing at them a lot lately, response:	but do you think she might want to go?
context: That phrasing may be accurate, but it's cruel.\I still haven't had enough.\Oh? What a coincidence. Me neither.\Me neither.\That reminds me...\I've yet to win against you two, haven't I?\Are you going to surpass us today?\Bring it on. response:	Huh? Isn't this turning bad?
context: I still haven't had enough.\Oh? What a coincidence. Me neither.\Me neither.\That reminds me...\I've yet to win against you two, haven't I?\Are you going to surpass us today?\Bring it on.\Huh? Isn't this turning bad? response:	Me, too.
context: Oh? What a coincidence. Me neither.\Me neither.\That reminds me...\I've yet to win against you two, haven't I?\Are you going to surpass us today?\Bring it on.\Huh? Isn't this turning bad?\Me, too. response:	From that point on,
context: Me neither.\That reminds me...\I've yet to win against you two, haven't I?\Are you going to surpass us today?\Bring it on.\Huh? Isn't this turning bad?\Me, too.\From that point on, response:	the playground became a battlefield.
context: That reminds me...\I've yet to win against you two, haven't I?\Are you going to surpass us today?\Bring it on.\Huh? Isn't this turning bad?\Me, too.\From that point on,\the playground became a battlefield. response:	There're even more dragons.
context: I've yet to win against you two, haven't I?\Are you going to surpass us today?\Bring it on.\Huh? Isn't this turning bad?\Me, too.\From that point on,\the playground became a battlefield.\There're even more dragons. response:	Where did my peaceful, daily life run off to?
context: Are you going to surpass us today?\Bring it on.\Huh? Isn't this turning bad?\Me, too.\From that point on,\the playground became a battlefield.\There're even more dragons.\Where did my peaceful, daily life run off to? response:	Well, whatever.
context: Bring it on.\Huh? Isn't this turning bad?\Me, too.\From that point on,\the playground became a battlefield.\There're even more dragons.\Where did my peaceful, daily life run off to?\Well, whatever. response:	And that brings us to now.
context: Huh? Isn't this turning bad?\Me, too.\From that point on,\the playground became a battlefield.\There're even more dragons.\Where did my peaceful, daily life run off to?\Well, whatever.\And that brings us to now. response:	Oh, I'll restore the playground to normal.
context: Me, too.\From that point on,\the playground became a battlefield.\There're even more dragons.\Where did my peaceful, daily life run off to?\Well, whatever.\And that brings us to now.\Oh, I'll restore the playground to normal. response:	I'll tweak the memories of those who saw us, too.
context: From that point on,\the playground became a battlefield.\There're even more dragons.\Where did my peaceful, daily life run off to?\Well, whatever.\And that brings us to now.\Oh, I'll restore the playground to normal.\I'll tweak the memories of those who saw us, too. response:	You're useful to have around.
context: the playground became a battlefield.\There're even more dragons.\Where did my peaceful, daily life run off to?\Well, whatever.\And that brings us to now.\Oh, I'll restore the playground to normal.\I'll tweak the memories of those who saw us, too.\You're useful to have around. response:	- Several Days Later -
context: There're even more dragons.\Where did my peaceful, daily life run off to?\Well, whatever.\And that brings us to now.\Oh, I'll restore the playground to normal.\I'll tweak the memories of those who saw us, too.\You're useful to have around.\- Several Days Later - response:	After that, they took to playing dodgeball regularly.
context: Where did my peaceful, daily life run off to?\Well, whatever.\And that brings us to now.\Oh, I'll restore the playground to normal.\I'll tweak the memories of those who saw us, too.\You're useful to have around.\- Several Days Later -\After that, they took to playing dodgeball regularly. response:	Pay more attention to your lower back!
context: Well, whatever.\And that brings us to now.\Oh, I'll restore the playground to normal.\I'll tweak the memories of those who saw us, too.\You're useful to have around.\- Several Days Later -\After that, they took to playing dodgeball regularly.\Pay more attention to your lower back! response:	Oh, like this?
context: And that brings us to now.\Oh, I'll restore the playground to normal.\I'll tweak the memories of those who saw us, too.\You're useful to have around.\- Several Days Later -\After that, they took to playing dodgeball regularly.\Pay more attention to your lower back!\Oh, like this? response:	More like you're an old lady about to be abandoned!
context: Oh, I'll restore the playground to normal.\I'll tweak the memories of those who saw us, too.\You're useful to have around.\- Several Days Later -\After that, they took to playing dodgeball regularly.\Pay more attention to your lower back!\Oh, like this?\More like you're an old lady about to be abandoned! response:	That's at my standards.
context: I'll tweak the memories of those who saw us, too.\You're useful to have around.\- Several Days Later -\After that, they took to playing dodgeball regularly.\Pay more attention to your lower back!\Oh, like this?\More like you're an old lady about to be abandoned!\That's at my standards. response:	Kanna-chan, look, look.
context: You're useful to have around.\- Several Days Later -\After that, they took to playing dodgeball regularly.\Pay more attention to your lower back!\Oh, like this?\More like you're an old lady about to be abandoned!\That's at my standards.\Kanna-chan, look, look. response:	Isn't this cute?
context: - Several Days Later -\After that, they took to playing dodgeball regularly.\Pay more attention to your lower back!\Oh, like this?\More like you're an old lady about to be abandoned!\That's at my standards.\Kanna-chan, look, look.\Isn't this cute? response:	Oh, that's wicked.
context: After that, they took to playing dodgeball regularly.\Pay more attention to your lower back!\Oh, like this?\More like you're an old lady about to be abandoned!\That's at my standards.\Kanna-chan, look, look.\Isn't this cute?\Oh, that's wicked. response:	Hey, Kobayashi, this is super interesting.
context: Pay more attention to your lower back!\Oh, like this?\More like you're an old lady about to be abandoned!\That's at my standards.\Kanna-chan, look, look.\Isn't this cute?\Oh, that's wicked.\Hey, Kobayashi, this is super interesting. response:	Oh, that's wicked.
context: Oh, like this?\More like you're an old lady about to be abandoned!\That's at my standards.\Kanna-chan, look, look.\Isn't this cute?\Oh, that's wicked.\Hey, Kobayashi, this is super interesting.\Oh, that's wicked. response:	Hey, Kanna-san.
context: More like you're an old lady about to be abandoned!\That's at my standards.\Kanna-chan, look, look.\Isn't this cute?\Oh, that's wicked.\Hey, Kobayashi, this is super interesting.\Oh, that's wicked.\Hey, Kanna-san. response:	Saikawa, you're wicked.
context: That's at my standards.\Kanna-chan, look, look.\Isn't this cute?\Oh, that's wicked.\Hey, Kobayashi, this is super interesting.\Oh, that's wicked.\Hey, Kanna-san.\Saikawa, you're wicked. response:	Okay, time to start class.
context: Kanna-chan, look, look.\Isn't this cute?\Oh, that's wicked.\Hey, Kobayashi, this is super interesting.\Oh, that's wicked.\Hey, Kanna-san.\Saikawa, you're wicked.\Okay, time to start class. response:	That's wicked!
context: Isn't this cute?\Oh, that's wicked.\Hey, Kobayashi, this is super interesting.\Oh, that's wicked.\Hey, Kanna-san.\Saikawa, you're wicked.\Okay, time to start class.\That's wicked! response:	What is this? It's wicked!
context: Oh, that's wicked.\Hey, Kobayashi, this is super interesting.\Oh, that's wicked.\Hey, Kanna-san.\Saikawa, you're wicked.\Okay, time to start class.\That's wicked!\What is this? It's wicked! response:	Next Episode
context: Hey, Kobayashi, this is super interesting.\Oh, that's wicked.\Hey, Kanna-san.\Saikawa, you're wicked.\Okay, time to start class.\That's wicked!\What is this? It's wicked!\Next Episode response:	Kanna-san, aren't you glad we won the dodgeball game?
context: Oh, that's wicked.\Hey, Kanna-san.\Saikawa, you're wicked.\Okay, time to start class.\That's wicked!\What is this? It's wicked!\Next Episode\Kanna-san, aren't you glad we won the dodgeball game? response:	Yeah.
context: Hey, Kanna-san.\Saikawa, you're wicked.\Okay, time to start class.\That's wicked!\What is this? It's wicked!\Next Episode\Kanna-san, aren't you glad we won the dodgeball game?\Yeah. response:	We nearly lost our ability to play at the playground.
context: Saikawa, you're wicked.\Okay, time to start class.\That's wicked!\What is this? It's wicked!\Next Episode\Kanna-san, aren't you glad we won the dodgeball game?\Yeah.\We nearly lost our ability to play at the playground. response:	That's okay.
context: Okay, time to start class.\That's wicked!\What is this? It's wicked!\Next Episode\Kanna-san, aren't you glad we won the dodgeball game?\Yeah.\We nearly lost our ability to play at the playground.\That's okay. response:	I'll be happy anywhere if I'm with you, Saikawa.
context: That's wicked!\What is this? It's wicked!\Next Episode\Kanna-san, aren't you glad we won the dodgeball game?\Yeah.\We nearly lost our ability to play at the playground.\That's okay.\I'll be happy anywhere if I'm with you, Saikawa. response:	Episode 5
context: What is this? It's wicked!\Next Episode\Kanna-san, aren't you glad we won the dodgeball game?\Yeah.\We nearly lost our ability to play at the playground.\That's okay.\I'll be happy anywhere if I'm with you, Saikawa.\Episode 5 response:	Tohru's Real World Lessons! (She Thinks She Understands It Already)
