context: Crap, that's the second bell. response:	We're not going to make it!
context: Okay?\Now then.\Strelka, Belka, we're going on our evening patrol.\Go on, go on.\Hey, what's this?\Why the head of the Disciplinary Committee of all people?\Kud, if you don't want her, you can turn her down.\No... response:	Thanks to all of you, I've finally found a roommate!
context: Now then.\Strelka, Belka, we're going on our evening patrol.\Go on, go on.\Hey, what's this?\Why the head of the Disciplinary Committee of all people?\Kud, if you don't want her, you can turn her down.\No...\Thanks to all of you, I've finally found a roommate! response:	Thank you very much!
context: Strelka, Belka, we're going on our evening patrol.\Go on, go on.\Hey, what's this?\Why the head of the Disciplinary Committee of all people?\Kud, if you don't want her, you can turn her down.\No...\Thanks to all of you, I've finally found a roommate!\Thank you very much! response:	This is bad!
context: Go on, go on.\Hey, what's this?\Why the head of the Disciplinary Committee of all people?\Kud, if you don't want her, you can turn her down.\No...\Thanks to all of you, I've finally found a roommate!\Thank you very much!\This is bad! response:	None of the lunch ladies are here today!
context: Hey, what's this?\Why the head of the Disciplinary Committee of all people?\Kud, if you don't want her, you can turn her down.\No...\Thanks to all of you, I've finally found a roommate!\Thank you very much!\This is bad!\None of the lunch ladies are here today! response:	Let's cover the kitchen for them!
context: Why the head of the Disciplinary Committee of all people?\Kud, if you don't want her, you can turn her down.\No...\Thanks to all of you, I've finally found a roommate!\Thank you very much!\This is bad!\None of the lunch ladies are here today!\Let's cover the kitchen for them! response:	Cut! Cut! Pork cutlet!
context: Kud, if you don't want her, you can turn her down.\No...\Thanks to all of you, I've finally found a roommate!\Thank you very much!\This is bad!\None of the lunch ladies are here today!\Let's cover the kitchen for them!\Cut! Cut! Pork cutlet! response:	And jelly!
context: No...\Thanks to all of you, I've finally found a roommate!\Thank you very much!\This is bad!\None of the lunch ladies are here today!\Let's cover the kitchen for them!\Cut! Cut! Pork cutlet!\And jelly! response:	It's time for Muscles-chan here!
context: Thanks to all of you, I've finally found a roommate!\Thank you very much!\This is bad!\None of the lunch ladies are here today!\Let's cover the kitchen for them!\Cut! Cut! Pork cutlet!\And jelly!\It's time for Muscles-chan here! response:	Mission, start!
context: Thank you very much!\This is bad!\None of the lunch ladies are here today!\Let's cover the kitchen for them!\Cut! Cut! Pork cutlet!\And jelly!\It's time for Muscles-chan here!\Mission, start! response:	Congratulations!
context: This is bad!\None of the lunch ladies are here today!\Let's cover the kitchen for them!\Cut! Cut! Pork cutlet!\And jelly!\It's time for Muscles-chan here!\Mission, start!\Congratulations! response:	Congratulations!
context: None of the lunch ladies are here today!\Let's cover the kitchen for them!\Cut! Cut! Pork cutlet!\And jelly!\It's time for Muscles-chan here!\Mission, start!\Congratulations!\Congratulations! response:	Congratulations!
context: Let's cover the kitchen for them!\Cut! Cut! Pork cutlet!\And jelly!\It's time for Muscles-chan here!\Mission, start!\Congratulations!\Congratulations!\Congratulations! response:	Girls' Dorm
context: Cut! Cut! Pork cutlet!\And jelly!\It's time for Muscles-chan here!\Mission, start!\Congratulations!\Congratulations!\Congratulations!\Girls' Dorm response:	Girls' Dorm
context: And jelly!\It's time for Muscles-chan here!\Mission, start!\Congratulations!\Congratulations!\Congratulations!\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: It's time for Muscles-chan here!\Mission, start!\Congratulations!\Congratulations!\Congratulations!\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Mission, start!\Congratulations!\Congratulations!\Congratulations!\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Congratulations!\Congratulations!\Congratulations!\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Congratulations!\Congratulations!\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Congratulations!\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Girls' Dorm
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm response:	Rules
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Rules response:	Rules
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Rules\Rules response:	Rules
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Rules\Rules\Rules response:	Rules
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Girls' Dorm\Rules\Rules\Rules\Rules response:	Rules
context: Girls' Dorm\Girls' Dorm\Girls' Dorm\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Girls' Dorm\Girls' Dorm\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Girls' Dorm\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Rules
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Rules response:	Une Vie
context: Rules\Rules\Rules\Rules\Rules\Rules\Rules\Une Vie response:	Maunpassant
context: Rules\Rules\Rules\Rules\Rules\Rules\Une Vie\Maunpassant response:	Une Vie
context: Rules\Rules\Rules\Rules\Rules\Une Vie\Maunpassant\Une Vie response:	Maunpassant
context: Rules\Rules\Rules\Rules\Une Vie\Maunpassant\Une Vie\Maunpassant response:	Une Vie
context: Rules\Rules\Rules\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie response:	Maunpassant
context: Rules\Rules\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant response:	Une Vie
context: Rules\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie response:	Maunpassant
context: Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant response:	Une Vie
context: Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie response:	Maunpassant
context: Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant response:	Une Vie
context: Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie response:	Maunpassant
context: Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant response:	Une Vie
context: Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie response:	Maunpassant
context: Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant response:	Une Vie
context: Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie response:	Maunpassant
context: Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant response:	Une Vie
context: Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie response:	Maunpassant
context: Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant response:	22:00 - Let's Looking for Roommates!
context: Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\22:00 - Let's Looking for Roommates! response:	Episode 8
context: Une Vie\Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\22:00 - Let's Looking for Roommates!\Episode 8 response:	Episode 8
context: Maunpassant\Une Vie\Maunpassant\Une Vie\Maunpassant\22:00 - Let's Looking for Roommates!\Episode 8\Episode 8 response:	Episode 8
context: Une Vie\Maunpassant\Une Vie\Maunpassant\22:00 - Let's Looking for Roommates!\Episode 8\Episode 8\Episode 8 response:	Let's Looking for Roommates!
context: Maunpassant\Une Vie\Maunpassant\22:00 - Let's Looking for Roommates!\Episode 8\Episode 8\Episode 8\Let's Looking for Roommates! response:	Let's Looking for Roommates!
context: Une Vie\Maunpassant\22:00 - Let's Looking for Roommates!\Episode 8\Episode 8\Episode 8\Let's Looking for Roommates!\Let's Looking for Roommates! response:	Let's Looking for Roommates!
context: Maunpassant\22:00 - Let's Looking for Roommates!\Episode 8\Episode 8\Episode 8\Let's Looking for Roommates!\Let's Looking for Roommates!\Let's Looking for Roommates! response:	Rin
context: 22:00 - Let's Looking for Roommates!\Episode 8\Episode 8\Episode 8\Let's Looking for Roommates!\Let's Looking for Roommates!\Let's Looking for Roommates!\Rin response:	No Subject
context: Episode 8\Episode 8\Episode 8\Let's Looking for Roommates!\Let's Looking for Roommates!\Let's Looking for Roommates!\Rin\No Subject response:	What should I do?
context: Episode 8\Episode 8\Let's Looking for Roommates!\Let's Looking for Roommates!\Let's Looking for Roommates!\Rin\No Subject\What should I do? response:	hitori ga tsurai kara futatsu no te wo tsunaida
context: Episode 8\Let's Looking for Roommates!\Let's Looking for Roommates!\Let's Looking for Roommates!\Rin\No Subject\What should I do?\hitori ga tsurai kara futatsu no te wo tsunaida response:	It was too hard for one to do, so two of us held hands
context: Let's Looking for Roommates!\Let's Looking for Roommates!\Let's Looking for Roommates!\Rin\No Subject\What should I do?\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands response:	hitori ga tsurai kara futatsu no te wo tsunaida
