context: Inari... response:	You shut Uka up in the Ama-no-Iwato?
context: Please hurry! It's Lady Uka!\Wait, what? You're sneaking out, and we have to cover for you?\I think we can manage.\Right?\Yep.\Thank you!\Lady Uka is fading away?\What do you mean? response:	Well, uh...
context: Wait, what? You're sneaking out, and we have to cover for you?\I think we can manage.\Right?\Yep.\Thank you!\Lady Uka is fading away?\What do you mean?\Well, uh... response:	It's your fault.
context: I think we can manage.\Right?\Yep.\Thank you!\Lady Uka is fading away?\What do you mean?\Well, uh...\It's your fault. response:	Her divine power grows fainter every time you use that power.
context: Right?\Yep.\Thank you!\Lady Uka is fading away?\What do you mean?\Well, uh...\It's your fault.\Her divine power grows fainter every time you use that power. response:	No... That can't be true.
context: Yep.\Thank you!\Lady Uka is fading away?\What do you mean?\Well, uh...\It's your fault.\Her divine power grows fainter every time you use that power.\No... That can't be true. response:	Well, it is.
context: Thank you!\Lady Uka is fading away?\What do you mean?\Well, uh...\It's your fault.\Her divine power grows fainter every time you use that power.\No... That can't be true.\Well, it is. response:	If Inari keeps on using that divine power, then...
context: Lady Uka is fading away?\What do you mean?\Well, uh...\It's your fault.\Her divine power grows fainter every time you use that power.\No... That can't be true.\Well, it is.\If Inari keeps on using that divine power, then... response:	my divinitymy very godliness itselfwill move into her.
context: What do you mean?\Well, uh...\It's your fault.\Her divine power grows fainter every time you use that power.\No... That can't be true.\Well, it is.\If Inari keeps on using that divine power, then...\my divinitymy very godliness itselfwill move into her. response:	And if that happens...
context: Well, uh...\It's your fault.\Her divine power grows fainter every time you use that power.\No... That can't be true.\Well, it is.\If Inari keeps on using that divine power, then...\my divinitymy very godliness itselfwill move into her.\And if that happens... response:	You changed into her at Izumo, didn't you?
context: It's your fault.\Her divine power grows fainter every time you use that power.\No... That can't be true.\Well, it is.\If Inari keeps on using that divine power, then...\my divinitymy very godliness itselfwill move into her.\And if that happens...\You changed into her at Izumo, didn't you? response:	She was in a real bad way.
context: Her divine power grows fainter every time you use that power.\No... That can't be true.\Well, it is.\If Inari keeps on using that divine power, then...\my divinitymy very godliness itselfwill move into her.\And if that happens...\You changed into her at Izumo, didn't you?\She was in a real bad way. response:	When I confronted her, that's what she told me.
context: No... That can't be true.\Well, it is.\If Inari keeps on using that divine power, then...\my divinitymy very godliness itselfwill move into her.\And if that happens...\You changed into her at Izumo, didn't you?\She was in a real bad way.\When I confronted her, that's what she told me. response:	No...
context: Well, it is.\If Inari keeps on using that divine power, then...\my divinitymy very godliness itselfwill move into her.\And if that happens...\You changed into her at Izumo, didn't you?\She was in a real bad way.\When I confronted her, that's what she told me.\No... response:	Then what was that?
context: If Inari keeps on using that divine power, then...\my divinitymy very godliness itselfwill move into her.\And if that happens...\You changed into her at Izumo, didn't you?\She was in a real bad way.\When I confronted her, that's what she told me.\No...\Then what was that? response:	It's all right. I'll protect you.
context: my divinitymy very godliness itselfwill move into her.\And if that happens...\You changed into her at Izumo, didn't you?\She was in a real bad way.\When I confronted her, that's what she told me.\No...\Then what was that?\It's all right. I'll protect you. response:	Miya?
context: And if that happens...\You changed into her at Izumo, didn't you?\She was in a real bad way.\When I confronted her, that's what she told me.\No...\Then what was that?\It's all right. I'll protect you.\Miya? response:	It's true.
context: You changed into her at Izumo, didn't you?\She was in a real bad way.\When I confronted her, that's what she told me.\No...\Then what was that?\It's all right. I'll protect you.\Miya?\It's true. response:	Great Amaterasu has said the same about using such power in that way.
context: She was in a real bad way.\When I confronted her, that's what she told me.\No...\Then what was that?\It's all right. I'll protect you.\Miya?\It's true.\Great Amaterasu has said the same about using such power in that way. response:	Touka, why would she tell you something so important but not tell me?!
context: When I confronted her, that's what she told me.\No...\Then what was that?\It's all right. I'll protect you.\Miya?\It's true.\Great Amaterasu has said the same about using such power in that way.\Touka, why would she tell you something so important but not tell me?! response:	Because she didn't want to not be able to see you anymore.
context: No...\Then what was that?\It's all right. I'll protect you.\Miya?\It's true.\Great Amaterasu has said the same about using such power in that way.\Touka, why would she tell you something so important but not tell me?!\Because she didn't want to not be able to see you anymore. response:	Because she didn't want you to worry.
context: Then what was that?\It's all right. I'll protect you.\Miya?\It's true.\Great Amaterasu has said the same about using such power in that way.\Touka, why would she tell you something so important but not tell me?!\Because she didn't want to not be able to see you anymore.\Because she didn't want you to worry. response:	It's not that she didn't tell you.
context: It's all right. I'll protect you.\Miya?\It's true.\Great Amaterasu has said the same about using such power in that way.\Touka, why would she tell you something so important but not tell me?!\Because she didn't want to not be able to see you anymore.\Because she didn't want you to worry.\It's not that she didn't tell you. response:	It's that she couldn't.
context: Miya?\It's true.\Great Amaterasu has said the same about using such power in that way.\Touka, why would she tell you something so important but not tell me?!\Because she didn't want to not be able to see you anymore.\Because she didn't want you to worry.\It's not that she didn't tell you.\It's that she couldn't. response:	No...
context: It's true.\Great Amaterasu has said the same about using such power in that way.\Touka, why would she tell you something so important but not tell me?!\Because she didn't want to not be able to see you anymore.\Because she didn't want you to worry.\It's not that she didn't tell you.\It's that she couldn't.\No... response:	If that's true...
context: Great Amaterasu has said the same about using such power in that way.\Touka, why would she tell you something so important but not tell me?!\Because she didn't want to not be able to see you anymore.\Because she didn't want you to worry.\It's not that she didn't tell you.\It's that she couldn't.\No...\If that's true... response:	If I had known, I...
context: Touka, why would she tell you something so important but not tell me?!\Because she didn't want to not be able to see you anymore.\Because she didn't want you to worry.\It's not that she didn't tell you.\It's that she couldn't.\No...\If that's true...\If I had known, I... response:	Touka! I need money!
context: Because she didn't want to not be able to see you anymore.\Because she didn't want you to worry.\It's not that she didn't tell you.\It's that she couldn't.\No...\If that's true...\If I had known, I...\Touka! I need money! response:	What?
context: Because she didn't want you to worry.\It's not that she didn't tell you.\It's that she couldn't.\No...\If that's true...\If I had known, I...\Touka! I need money!\What? response:	I'm going to Izumo! I have to see her!
context: It's not that she didn't tell you.\It's that she couldn't.\No...\If that's true...\If I had known, I...\Touka! I need money!\What?\I'm going to Izumo! I have to see her! response:	Uh, Miss Inari?
context: It's that she couldn't.\No...\If that's true...\If I had known, I...\Touka! I need money!\What?\I'm going to Izumo! I have to see her!\Uh, Miss Inari? response:	Lady Uka isn't actually in Izumo.
context: No...\If that's true...\If I had known, I...\Touka! I need money!\What?\I'm going to Izumo! I have to see her!\Uh, Miss Inari?\Lady Uka isn't actually in Izumo. response:	She's at the Celestial Plains.
context: If that's true...\If I had known, I...\Touka! I need money!\What?\I'm going to Izumo! I have to see her!\Uh, Miss Inari?\Lady Uka isn't actually in Izumo.\She's at the Celestial Plains. response:	The Celestial Plains?
context: If I had known, I...\Touka! I need money!\What?\I'm going to Izumo! I have to see her!\Uh, Miss Inari?\Lady Uka isn't actually in Izumo.\She's at the Celestial Plains.\The Celestial Plains? response:	How can I...
context: Touka! I need money!\What?\I'm going to Izumo! I have to see her!\Uh, Miss Inari?\Lady Uka isn't actually in Izumo.\She's at the Celestial Plains.\The Celestial Plains?\How can I... response:	No way, no how! I'm exhausted!
context: What?\I'm going to Izumo! I have to see her!\Uh, Miss Inari?\Lady Uka isn't actually in Izumo.\She's at the Celestial Plains.\The Celestial Plains?\How can I...\No way, no how! I'm exhausted! response:	What good are you?
context: I'm going to Izumo! I have to see her!\Uh, Miss Inari?\Lady Uka isn't actually in Izumo.\She's at the Celestial Plains.\The Celestial Plains?\How can I...\No way, no how! I'm exhausted!\What good are you? response:	Lady Uka... Lady Uka...
context: Uh, Miss Inari?\Lady Uka isn't actually in Izumo.\She's at the Celestial Plains.\The Celestial Plains?\How can I...\No way, no how! I'm exhausted!\What good are you?\Lady Uka... Lady Uka... response:	Lady Uka!
context: Lady Uka isn't actually in Izumo.\She's at the Celestial Plains.\The Celestial Plains?\How can I...\No way, no how! I'm exhausted!\What good are you?\Lady Uka... Lady Uka...\Lady Uka! response:	Kon?!
context: She's at the Celestial Plains.\The Celestial Plains?\How can I...\No way, no how! I'm exhausted!\What good are you?\Lady Uka... Lady Uka...\Lady Uka!\Kon?! response:	Kon, what's wrong?
context: The Celestial Plains?\How can I...\No way, no how! I'm exhausted!\What good are you?\Lady Uka... Lady Uka...\Lady Uka!\Kon?!\Kon, what's wrong? response:	What... What's going on?
context: How can I...\No way, no how! I'm exhausted!\What good are you?\Lady Uka... Lady Uka...\Lady Uka!\Kon?!\Kon, what's wrong?\What... What's going on? response:	When I look back, I realize
context: No way, no how! I'm exhausted!\What good are you?\Lady Uka... Lady Uka...\Lady Uka!\Kon?!\Kon, what's wrong?\What... What's going on?\When I look back, I realize response:	that I spent my days of joy in fear of losing them
context: What good are you?\Lady Uka... Lady Uka...\Lady Uka!\Kon?!\Kon, what's wrong?\What... What's going on?\When I look back, I realize\that I spent my days of joy in fear of losing them response:	Miss Inari! This way!
context: Lady Uka... Lady Uka...\Lady Uka!\Kon?!\Kon, what's wrong?\What... What's going on?\When I look back, I realize\that I spent my days of joy in fear of losing them\Miss Inari! This way! response:	Let's go, Miss Inari!
context: Lady Uka!\Kon?!\Kon, what's wrong?\What... What's going on?\When I look back, I realize\that I spent my days of joy in fear of losing them\Miss Inari! This way!\Let's go, Miss Inari! response:	Long ago, I resolved
context: Kon?!\Kon, what's wrong?\What... What's going on?\When I look back, I realize\that I spent my days of joy in fear of losing them\Miss Inari! This way!\Let's go, Miss Inari!\Long ago, I resolved response:	to one day be free,
context: Kon, what's wrong?\What... What's going on?\When I look back, I realize\that I spent my days of joy in fear of losing them\Miss Inari! This way!\Let's go, Miss Inari!\Long ago, I resolved\to one day be free, response:	Honestly...
context: What... What's going on?\When I look back, I realize\that I spent my days of joy in fear of losing them\Miss Inari! This way!\Let's go, Miss Inari!\Long ago, I resolved\to one day be free,\Honestly... response:	Humans can't handle godly powers.
context: When I look back, I realize\that I spent my days of joy in fear of losing them\Miss Inari! This way!\Let's go, Miss Inari!\Long ago, I resolved\to one day be free,\Honestly...\Humans can't handle godly powers. response:	and to that end
context: that I spent my days of joy in fear of losing them\Miss Inari! This way!\Let's go, Miss Inari!\Long ago, I resolved\to one day be free,\Honestly...\Humans can't handle godly powers.\and to that end response:	I mustered all my determination
context: Miss Inari! This way!\Let's go, Miss Inari!\Long ago, I resolved\to one day be free,\Honestly...\Humans can't handle godly powers.\and to that end\I mustered all my determination response:	I know you knew that much, Uka!
context: Let's go, Miss Inari!\Long ago, I resolved\to one day be free,\Honestly...\Humans can't handle godly powers.\and to that end\I mustered all my determination\I know you knew that much, Uka! response:	Why do you hold mortal ties in such high regard?
context: Long ago, I resolved\to one day be free,\Honestly...\Humans can't handle godly powers.\and to that end\I mustered all my determination\I know you knew that much, Uka!\Why do you hold mortal ties in such high regard? response:	Back then I kept hidden
context: to one day be free,\Honestly...\Humans can't handle godly powers.\and to that end\I mustered all my determination\I know you knew that much, Uka!\Why do you hold mortal ties in such high regard?\Back then I kept hidden response:	Do you really think Inari can respond to those feelings of yours?
context: Honestly...\Humans can't handle godly powers.\and to that end\I mustered all my determination\I know you knew that much, Uka!\Why do you hold mortal ties in such high regard?\Back then I kept hidden\Do you really think Inari can respond to those feelings of yours? response:	much of my weakness
context: Humans can't handle godly powers.\and to that end\I mustered all my determination\I know you knew that much, Uka!\Why do you hold mortal ties in such high regard?\Back then I kept hidden\Do you really think Inari can respond to those feelings of yours?\much of my weakness response:	Great Amaterasu!
context: and to that end\I mustered all my determination\I know you knew that much, Uka!\Why do you hold mortal ties in such high regard?\Back then I kept hidden\Do you really think Inari can respond to those feelings of yours?\much of my weakness\Great Amaterasu! response:	Where's Uka? Has something happened to her?
context: I mustered all my determination\I know you knew that much, Uka!\Why do you hold mortal ties in such high regard?\Back then I kept hidden\Do you really think Inari can respond to those feelings of yours?\much of my weakness\Great Amaterasu!\Where's Uka? Has something happened to her? response:	from those around me
context: I know you knew that much, Uka!\Why do you hold mortal ties in such high regard?\Back then I kept hidden\Do you really think Inari can respond to those feelings of yours?\much of my weakness\Great Amaterasu!\Where's Uka? Has something happened to her?\from those around me response:	Miss Inari!
context: Why do you hold mortal ties in such high regard?\Back then I kept hidden\Do you really think Inari can respond to those feelings of yours?\much of my weakness\Great Amaterasu!\Where's Uka? Has something happened to her?\from those around me\Miss Inari! response:	I'm... okay...
context: Back then I kept hidden\Do you really think Inari can respond to those feelings of yours?\much of my weakness\Great Amaterasu!\Where's Uka? Has something happened to her?\from those around me\Miss Inari!\I'm... okay... response:	But I hesitated, got hurt,
context: Do you really think Inari can respond to those feelings of yours?\much of my weakness\Great Amaterasu!\Where's Uka? Has something happened to her?\from those around me\Miss Inari!\I'm... okay...\But I hesitated, got hurt, response:	Let's go!
context: much of my weakness\Great Amaterasu!\Where's Uka? Has something happened to her?\from those around me\Miss Inari!\I'm... okay...\But I hesitated, got hurt,\Let's go! response:	and lost so much of what I treasured
context: Great Amaterasu!\Where's Uka? Has something happened to her?\from those around me\Miss Inari!\I'm... okay...\But I hesitated, got hurt,\Let's go!\and lost so much of what I treasured response:	Lady Uka...
context: Where's Uka? Has something happened to her?\from those around me\Miss Inari!\I'm... okay...\But I hesitated, got hurt,\Let's go!\and lost so much of what I treasured\Lady Uka... response:	Lady Uka!
context: from those around me\Miss Inari!\I'm... okay...\But I hesitated, got hurt,\Let's go!\and lost so much of what I treasured\Lady Uka...\Lady Uka! response:	Inari...
context: Miss Inari!\I'm... okay...\But I hesitated, got hurt,\Let's go!\and lost so much of what I treasured\Lady Uka...\Lady Uka!\Inari... response:	I didn't know.
context: I'm... okay...\But I hesitated, got hurt,\Let's go!\and lost so much of what I treasured\Lady Uka...\Lady Uka!\Inari...\I didn't know. response:	I was all alone
context: But I hesitated, got hurt,\Let's go!\and lost so much of what I treasured\Lady Uka...\Lady Uka!\Inari...\I didn't know.\I was all alone response:	This is all because I gave you my divine power.
context: Let's go!\and lost so much of what I treasured\Lady Uka...\Lady Uka!\Inari...\I didn't know.\I was all alone\This is all because I gave you my divine power. response:	You've been the one protectin' me all this time.
context: and lost so much of what I treasured\Lady Uka...\Lady Uka!\Inari...\I didn't know.\I was all alone\This is all because I gave you my divine power.\You've been the one protectin' me all this time. response:	But I met you,
context: Lady Uka...\Lady Uka!\Inari...\I didn't know.\I was all alone\This is all because I gave you my divine power.\You've been the one protectin' me all this time.\But I met you, response:	I just wanted you to be a normal girl.
context: Lady Uka!\Inari...\I didn't know.\I was all alone\This is all because I gave you my divine power.\You've been the one protectin' me all this time.\But I met you,\I just wanted you to be a normal girl. response:	Lady Uka, I... I...
context: Inari...\I didn't know.\I was all alone\This is all because I gave you my divine power.\You've been the one protectin' me all this time.\But I met you,\I just wanted you to be a normal girl.\Lady Uka, I... I... response:	But I also wanted to stay friends with you, so I...
context: I didn't know.\I was all alone\This is all because I gave you my divine power.\You've been the one protectin' me all this time.\But I met you,\I just wanted you to be a normal girl.\Lady Uka, I... I...\But I also wanted to stay friends with you, so I... response:	and you taught me the joy of living
context: I was all alone\This is all because I gave you my divine power.\You've been the one protectin' me all this time.\But I met you,\I just wanted you to be a normal girl.\Lady Uka, I... I...\But I also wanted to stay friends with you, so I...\and you taught me the joy of living response:	Now I'll protect you!
context: This is all because I gave you my divine power.\You've been the one protectin' me all this time.\But I met you,\I just wanted you to be a normal girl.\Lady Uka, I... I...\But I also wanted to stay friends with you, so I...\and you taught me the joy of living\Now I'll protect you! response:	I'm sorry, Inari.
context: You've been the one protectin' me all this time.\But I met you,\I just wanted you to be a normal girl.\Lady Uka, I... I...\But I also wanted to stay friends with you, so I...\and you taught me the joy of living\Now I'll protect you!\I'm sorry, Inari. response:	Lady Uka, you can have your divine power back.
context: But I met you,\I just wanted you to be a normal girl.\Lady Uka, I... I...\But I also wanted to stay friends with you, so I...\and you taught me the joy of living\Now I'll protect you!\I'm sorry, Inari.\Lady Uka, you can have your divine power back. response:	Inari, Konkon, Koi Iroha
context: I just wanted you to be a normal girl.\Lady Uka, I... I...\But I also wanted to stay friends with you, so I...\and you taught me the joy of living\Now I'll protect you!\I'm sorry, Inari.\Lady Uka, you can have your divine power back.\Inari, Konkon, Koi Iroha response:	Inari, Konkon, Koi Iroha
context: Lady Uka, I... I...\But I also wanted to stay friends with you, so I...\and you taught me the joy of living\Now I'll protect you!\I'm sorry, Inari.\Lady Uka, you can have your divine power back.\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha response:	See you next time!
context: But I also wanted to stay friends with you, so I...\and you taught me the joy of living\Now I'll protect you!\I'm sorry, Inari.\Lady Uka, you can have your divine power back.\Inari, Konkon, Koi Iroha\Inari, Konkon, Koi Iroha\See you next time! response:	See you next time!
