context: You've lost contact with Metal Bat? response:	Yes. I've already contacted every hero higher than Class A for backup.
context: We got word that Heavy Kong was defeated in City W.\And we still haven't been able to get a hold of Metal Bat or Metal Knight.\The giant organism that appeared in City I\has grown even bigger and harder after consuming a large building.\We can't let it run loose any longer!\Poison! The monster that appeared in City Y is using some kind of paralysis poison\to render the heroes there immobile!\It's no use. There are just too many of them. response:	At this rate, we're going to be wiped out!
context: And we still haven't been able to get a hold of Metal Bat or Metal Knight.\The giant organism that appeared in City I\has grown even bigger and harder after consuming a large building.\We can't let it run loose any longer!\Poison! The monster that appeared in City Y is using some kind of paralysis poison\to render the heroes there immobile!\It's no use. There are just too many of them.\At this rate, we're going to be wiped out! response:	It seems that we, as well as the humans,
context: The giant organism that appeared in City I\has grown even bigger and harder after consuming a large building.\We can't let it run loose any longer!\Poison! The monster that appeared in City Y is using some kind of paralysis poison\to render the heroes there immobile!\It's no use. There are just too many of them.\At this rate, we're going to be wiped out!\It seems that we, as well as the humans, response:	miscalculated how powerful the other was.
context: has grown even bigger and harder after consuming a large building.\We can't let it run loose any longer!\Poison! The monster that appeared in City Y is using some kind of paralysis poison\to render the heroes there immobile!\It's no use. There are just too many of them.\At this rate, we're going to be wiped out!\It seems that we, as well as the humans,\miscalculated how powerful the other was. response:	We are stronger than we expected,
context: We can't let it run loose any longer!\Poison! The monster that appeared in City Y is using some kind of paralysis poison\to render the heroes there immobile!\It's no use. There are just too many of them.\At this rate, we're going to be wiped out!\It seems that we, as well as the humans,\miscalculated how powerful the other was.\We are stronger than we expected, response:	and the humans are unexpectedly weak.
context: Poison! The monster that appeared in City Y is using some kind of paralysis poison\to render the heroes there immobile!\It's no use. There are just too many of them.\At this rate, we're going to be wiped out!\It seems that we, as well as the humans,\miscalculated how powerful the other was.\We are stronger than we expected,\and the humans are unexpectedly weak. response:	Stop! Snap out of it!
context: to render the heroes there immobile!\It's no use. There are just too many of them.\At this rate, we're going to be wiped out!\It seems that we, as well as the humans,\miscalculated how powerful the other was.\We are stronger than we expected,\and the humans are unexpectedly weak.\Stop! Snap out of it! response:	Wh-What's wrong, Darkness Blade?!
context: It's no use. There are just too many of them.\At this rate, we're going to be wiped out!\It seems that we, as well as the humans,\miscalculated how powerful the other was.\We are stronger than we expected,\and the humans are unexpectedly weak.\Stop! Snap out of it!\Wh-What's wrong, Darkness Blade?! response:	Those who are lashed by my whip
context: At this rate, we're going to be wiped out!\It seems that we, as well as the humans,\miscalculated how powerful the other was.\We are stronger than we expected,\and the humans are unexpectedly weak.\Stop! Snap out of it!\Wh-What's wrong, Darkness Blade?!\Those who are lashed by my whip response:	become my love slaves as a result of the stimulation.
context: It seems that we, as well as the humans,\miscalculated how powerful the other was.\We are stronger than we expected,\and the humans are unexpectedly weak.\Stop! Snap out of it!\Wh-What's wrong, Darkness Blade?!\Those who are lashed by my whip\become my love slaves as a result of the stimulation. response:	H-Hey, stop this!
context: miscalculated how powerful the other was.\We are stronger than we expected,\and the humans are unexpectedly weak.\Stop! Snap out of it!\Wh-What's wrong, Darkness Blade?!\Those who are lashed by my whip\become my love slaves as a result of the stimulation.\H-Hey, stop this! response:	Now, if you want my love, fight until you die!
context: We are stronger than we expected,\and the humans are unexpectedly weak.\Stop! Snap out of it!\Wh-What's wrong, Darkness Blade?!\Those who are lashed by my whip\become my love slaves as a result of the stimulation.\H-Hey, stop this!\Now, if you want my love, fight until you die! response:	Y-You're...
context: and the humans are unexpectedly weak.\Stop! Snap out of it!\Wh-What's wrong, Darkness Blade?!\Those who are lashed by my whip\become my love slaves as a result of the stimulation.\H-Hey, stop this!\Now, if you want my love, fight until you die!\Y-You're... response:	Oh? Even more suitors to become my slaves?
context: Stop! Snap out of it!\Wh-What's wrong, Darkness Blade?!\Those who are lashed by my whip\become my love slaves as a result of the stimulation.\H-Hey, stop this!\Now, if you want my love, fight until you die!\Y-You're...\Oh? Even more suitors to become my slaves? response:	How titillating!
context: Wh-What's wrong, Darkness Blade?!\Those who are lashed by my whip\become my love slaves as a result of the stimulation.\H-Hey, stop this!\Now, if you want my love, fight until you die!\Y-You're...\Oh? Even more suitors to become my slaves?\How titillating! response:	Wow... If that's all it takes to become a threat level Demon, today's my lucky day.
context: Those who are lashed by my whip\become my love slaves as a result of the stimulation.\H-Hey, stop this!\Now, if you want my love, fight until you die!\Y-You're...\Oh? Even more suitors to become my slaves?\How titillating!\Wow... If that's all it takes to become a threat level Demon, today's my lucky day. response:	So if I defeat you, will that break your control over those men?
context: become my love slaves as a result of the stimulation.\H-Hey, stop this!\Now, if you want my love, fight until you die!\Y-You're...\Oh? Even more suitors to become my slaves?\How titillating!\Wow... If that's all it takes to become a threat level Demon, today's my lucky day.\So if I defeat you, will that break your control over those men? response:	I can do something heroic and have them in my debt. Two birds with one stone.
context: H-Hey, stop this!\Now, if you want my love, fight until you die!\Y-You're...\Oh? Even more suitors to become my slaves?\How titillating!\Wow... If that's all it takes to become a threat level Demon, today's my lucky day.\So if I defeat you, will that break your control over those men?\I can do something heroic and have them in my debt. Two birds with one stone. response:	It's the Blizzard Bunch!
context: Now, if you want my love, fight until you die!\Y-You're...\Oh? Even more suitors to become my slaves?\How titillating!\Wow... If that's all it takes to become a threat level Demon, today's my lucky day.\So if I defeat you, will that break your control over those men?\I can do something heroic and have them in my debt. Two birds with one stone.\It's the Blizzard Bunch! response:	You're not getting away.
context: Y-You're...\Oh? Even more suitors to become my slaves?\How titillating!\Wow... If that's all it takes to become a threat level Demon, today's my lucky day.\So if I defeat you, will that break your control over those men?\I can do something heroic and have them in my debt. Two birds with one stone.\It's the Blizzard Bunch!\You're not getting away. response:	Don't tickle my sadism too much.
context: Oh? Even more suitors to become my slaves?\How titillating!\Wow... If that's all it takes to become a threat level Demon, today's my lucky day.\So if I defeat you, will that break your control over those men?\I can do something heroic and have them in my debt. Two birds with one stone.\It's the Blizzard Bunch!\You're not getting away.\Don't tickle my sadism too much. response:	I'm liable to get overstimulated and kill you.
context: How titillating!\Wow... If that's all it takes to become a threat level Demon, today's my lucky day.\So if I defeat you, will that break your control over those men?\I can do something heroic and have them in my debt. Two birds with one stone.\It's the Blizzard Bunch!\You're not getting away.\Don't tickle my sadism too much.\I'm liable to get overstimulated and kill you. response:	Max KO'd Ring-Ring in no time!
context: Wow... If that's all it takes to become a threat level Demon, today's my lucky day.\So if I defeat you, will that break your control over those men?\I can do something heroic and have them in my debt. Two birds with one stone.\It's the Blizzard Bunch!\You're not getting away.\Don't tickle my sadism too much.\I'm liable to get overstimulated and kill you.\Max KO'd Ring-Ring in no time! response:	Many were skeptical about just how strong he is as a martial artist,
context: So if I defeat you, will that break your control over those men?\I can do something heroic and have them in my debt. Two birds with one stone.\It's the Blizzard Bunch!\You're not getting away.\Don't tickle my sadism too much.\I'm liable to get overstimulated and kill you.\Max KO'd Ring-Ring in no time!\Many were skeptical about just how strong he is as a martial artist, response:	so he had been placed in the reverse seed,
context: I can do something heroic and have them in my debt. Two birds with one stone.\It's the Blizzard Bunch!\You're not getting away.\Don't tickle my sadism too much.\I'm liable to get overstimulated and kill you.\Max KO'd Ring-Ring in no time!\Many were skeptical about just how strong he is as a martial artist,\so he had been placed in the reverse seed, response:	but he managed to win against a girl without a single scratch!
context: It's the Blizzard Bunch!\You're not getting away.\Don't tickle my sadism too much.\I'm liable to get overstimulated and kill you.\Max KO'd Ring-Ring in no time!\Many were skeptical about just how strong he is as a martial artist,\so he had been placed in the reverse seed,\but he managed to win against a girl without a single scratch! response:	I wouldn't say without a single scratch...
context: You're not getting away.\Don't tickle my sadism too much.\I'm liable to get overstimulated and kill you.\Max KO'd Ring-Ring in no time!\Many were skeptical about just how strong he is as a martial artist,\so he had been placed in the reverse seed,\but he managed to win against a girl without a single scratch!\I wouldn't say without a single scratch... response:	I guess he was still able to fight, even without explosives in his shoes.
context: Don't tickle my sadism too much.\I'm liable to get overstimulated and kill you.\Max KO'd Ring-Ring in no time!\Many were skeptical about just how strong he is as a martial artist,\so he had been placed in the reverse seed,\but he managed to win against a girl without a single scratch!\I wouldn't say without a single scratch...\I guess he was still able to fight, even without explosives in his shoes. response:	Hey, what the heck is a reverse seed?
context: I'm liable to get overstimulated and kill you.\Max KO'd Ring-Ring in no time!\Many were skeptical about just how strong he is as a martial artist,\so he had been placed in the reverse seed,\but he managed to win against a girl without a single scratch!\I wouldn't say without a single scratch...\I guess he was still able to fight, even without explosives in his shoes.\Hey, what the heck is a reverse seed? response:	The weaker someone looks or is rumored to be,
context: Max KO'd Ring-Ring in no time!\Many were skeptical about just how strong he is as a martial artist,\so he had been placed in the reverse seed,\but he managed to win against a girl without a single scratch!\I wouldn't say without a single scratch...\I guess he was still able to fight, even without explosives in his shoes.\Hey, what the heck is a reverse seed?\The weaker someone looks or is rumored to be, response:	the harder they make it for them to win the tournament.
context: Many were skeptical about just how strong he is as a martial artist,\so he had been placed in the reverse seed,\but he managed to win against a girl without a single scratch!\I wouldn't say without a single scratch...\I guess he was still able to fight, even without explosives in his shoes.\Hey, what the heck is a reverse seed?\The weaker someone looks or is rumored to be,\the harder they make it for them to win the tournament. response:	I see. So they thought he was weaker than most of the people here.
context: so he had been placed in the reverse seed,\but he managed to win against a girl without a single scratch!\I wouldn't say without a single scratch...\I guess he was still able to fight, even without explosives in his shoes.\Hey, what the heck is a reverse seed?\The weaker someone looks or is rumored to be,\the harder they make it for them to win the tournament.\I see. So they thought he was weaker than most of the people here. response:	Those who switch from being a martial artist to a hero
context: but he managed to win against a girl without a single scratch!\I wouldn't say without a single scratch...\I guess he was still able to fight, even without explosives in his shoes.\Hey, what the heck is a reverse seed?\The weaker someone looks or is rumored to be,\the harder they make it for them to win the tournament.\I see. So they thought he was weaker than most of the people here.\Those who switch from being a martial artist to a hero response:	are seen as having joined an easier occupation.
context: I wouldn't say without a single scratch...\I guess he was still able to fight, even without explosives in his shoes.\Hey, what the heck is a reverse seed?\The weaker someone looks or is rumored to be,\the harder they make it for them to win the tournament.\I see. So they thought he was weaker than most of the people here.\Those who switch from being a martial artist to a hero\are seen as having joined an easier occupation. response:	Winner Max
context: I guess he was still able to fight, even without explosives in his shoes.\Hey, what the heck is a reverse seed?\The weaker someone looks or is rumored to be,\the harder they make it for them to win the tournament.\I see. So they thought he was weaker than most of the people here.\Those who switch from being a martial artist to a hero\are seen as having joined an easier occupation.\Winner Max response:	What about Bang, then?
context: Hey, what the heck is a reverse seed?\The weaker someone looks or is rumored to be,\the harder they make it for them to win the tournament.\I see. So they thought he was weaker than most of the people here.\Those who switch from being a martial artist to a hero\are seen as having joined an easier occupation.\Winner Max\What about Bang, then? response:	Master Bang is a different story.
context: The weaker someone looks or is rumored to be,\the harder they make it for them to win the tournament.\I see. So they thought he was weaker than most of the people here.\Those who switch from being a martial artist to a hero\are seen as having joined an easier occupation.\Winner Max\What about Bang, then?\Master Bang is a different story. response:	By the way, you also got the reverse seed.
context: the harder they make it for them to win the tournament.\I see. So they thought he was weaker than most of the people here.\Those who switch from being a martial artist to a hero\are seen as having joined an easier occupation.\Winner Max\What about Bang, then?\Master Bang is a different story.\By the way, you also got the reverse seed. response:	Huh? Oh, you're right.
context: I see. So they thought he was weaker than most of the people here.\Those who switch from being a martial artist to a hero\are seen as having joined an easier occupation.\Winner Max\What about Bang, then?\Master Bang is a different story.\By the way, you also got the reverse seed.\Huh? Oh, you're right. response:	Zakkos Charanko Bakuzan
context: Those who switch from being a martial artist to a hero\are seen as having joined an easier occupation.\Winner Max\What about Bang, then?\Master Bang is a different story.\By the way, you also got the reverse seed.\Huh? Oh, you're right.\Zakkos Charanko Bakuzan response:	So it's not that the guys on each end are strong,
context: are seen as having joined an easier occupation.\Winner Max\What about Bang, then?\Master Bang is a different story.\By the way, you also got the reverse seed.\Huh? Oh, you're right.\Zakkos Charanko Bakuzan\So it's not that the guys on each end are strong, response:	but they're just treating me like I'm weak?
context: Winner Max\What about Bang, then?\Master Bang is a different story.\By the way, you also got the reverse seed.\Huh? Oh, you're right.\Zakkos Charanko Bakuzan\So it's not that the guys on each end are strong,\but they're just treating me like I'm weak? response:	No, those two were definitely strong.
context: What about Bang, then?\Master Bang is a different story.\By the way, you also got the reverse seed.\Huh? Oh, you're right.\Zakkos Charanko Bakuzan\So it's not that the guys on each end are strong,\but they're just treating me like I'm weak?\No, those two were definitely strong. response:	Bakuzan, the one I fight after you, is favored to win this tournament.
context: Master Bang is a different story.\By the way, you also got the reverse seed.\Huh? Oh, you're right.\Zakkos Charanko Bakuzan\So it's not that the guys on each end are strong,\but they're just treating me like I'm weak?\No, those two were definitely strong.\Bakuzan, the one I fight after you, is favored to win this tournament. response:	So based on where you've been placed...
context: By the way, you also got the reverse seed.\Huh? Oh, you're right.\Zakkos Charanko Bakuzan\So it's not that the guys on each end are strong,\but they're just treating me like I'm weak?\No, those two were definitely strong.\Bakuzan, the one I fight after you, is favored to win this tournament.\So based on where you've been placed... response:	you must be weak, too.
context: Huh? Oh, you're right.\Zakkos Charanko Bakuzan\So it's not that the guys on each end are strong,\but they're just treating me like I'm weak?\No, those two were definitely strong.\Bakuzan, the one I fight after you, is favored to win this tournament.\So based on where you've been placed...\you must be weak, too. response:	Round two, Zakkos versus Charanko, is about to begin!
context: Zakkos Charanko Bakuzan\So it's not that the guys on each end are strong,\but they're just treating me like I'm weak?\No, those two were definitely strong.\Bakuzan, the one I fight after you, is favored to win this tournament.\So based on where you've been placed...\you must be weak, too.\Round two, Zakkos versus Charanko, is about to begin! response:	I'm gonna kill you...
context: So it's not that the guys on each end are strong,\but they're just treating me like I'm weak?\No, those two were definitely strong.\Bakuzan, the one I fight after you, is favored to win this tournament.\So based on where you've been placed...\you must be weak, too.\Round two, Zakkos versus Charanko, is about to begin!\I'm gonna kill you... response:	Ch-Charanko's strong!
context: but they're just treating me like I'm weak?\No, those two were definitely strong.\Bakuzan, the one I fight after you, is favored to win this tournament.\So based on where you've been placed...\you must be weak, too.\Round two, Zakkos versus Charanko, is about to begin!\I'm gonna kill you...\Ch-Charanko's strong! response:	Did Zakkos's brain end up scrambled after that single slap?
context: No, those two were definitely strong.\Bakuzan, the one I fight after you, is favored to win this tournament.\So based on where you've been placed...\you must be weak, too.\Round two, Zakkos versus Charanko, is about to begin!\I'm gonna kill you...\Ch-Charanko's strong!\Did Zakkos's brain end up scrambled after that single slap? response:	Actually, I'm not sure if Charanko's strong...
context: Bakuzan, the one I fight after you, is favored to win this tournament.\So based on where you've been placed...\you must be weak, too.\Round two, Zakkos versus Charanko, is about to begin!\I'm gonna kill you...\Ch-Charanko's strong!\Did Zakkos's brain end up scrambled after that single slap?\Actually, I'm not sure if Charanko's strong... response:	He's weak! Zakkos is just so pathetically weak!
context: So based on where you've been placed...\you must be weak, too.\Round two, Zakkos versus Charanko, is about to begin!\I'm gonna kill you...\Ch-Charanko's strong!\Did Zakkos's brain end up scrambled after that single slap?\Actually, I'm not sure if Charanko's strong...\He's weak! Zakkos is just so pathetically weak! response:	He apparently invited the person he'd planned to propose to here,
context: you must be weak, too.\Round two, Zakkos versus Charanko, is about to begin!\I'm gonna kill you...\Ch-Charanko's strong!\Did Zakkos's brain end up scrambled after that single slap?\Actually, I'm not sure if Charanko's strong...\He's weak! Zakkos is just so pathetically weak!\He apparently invited the person he'd planned to propose to here, response:	but now there's been a huge change in his life plans!
context: Round two, Zakkos versus Charanko, is about to begin!\I'm gonna kill you...\Ch-Charanko's strong!\Did Zakkos's brain end up scrambled after that single slap?\Actually, I'm not sure if Charanko's strong...\He's weak! Zakkos is just so pathetically weak!\He apparently invited the person he'd planned to propose to here,\but now there's been a huge change in his life plans! response:	Whoops. I sorta feel bad.
context: I'm gonna kill you...\Ch-Charanko's strong!\Did Zakkos's brain end up scrambled after that single slap?\Actually, I'm not sure if Charanko's strong...\He's weak! Zakkos is just so pathetically weak!\He apparently invited the person he'd planned to propose to here,\but now there's been a huge change in his life plans!\Whoops. I sorta feel bad. response:	Oh, we just got some new information.
context: Ch-Charanko's strong!\Did Zakkos's brain end up scrambled after that single slap?\Actually, I'm not sure if Charanko's strong...\He's weak! Zakkos is just so pathetically weak!\He apparently invited the person he'd planned to propose to here,\but now there's been a huge change in his life plans!\Whoops. I sorta feel bad.\Oh, we just got some new information. response:	Breaking News
context: Did Zakkos's brain end up scrambled after that single slap?\Actually, I'm not sure if Charanko's strong...\He's weak! Zakkos is just so pathetically weak!\He apparently invited the person he'd planned to propose to here,\but now there's been a huge change in his life plans!\Whoops. I sorta feel bad.\Oh, we just got some new information.\Breaking News response:	Apparently, that person never came to the venue!
context: Actually, I'm not sure if Charanko's strong...\He's weak! Zakkos is just so pathetically weak!\He apparently invited the person he'd planned to propose to here,\but now there's been a huge change in his life plans!\Whoops. I sorta feel bad.\Oh, we just got some new information.\Breaking News\Apparently, that person never came to the venue! response:	All clear! They didn't see him!
context: He's weak! Zakkos is just so pathetically weak!\He apparently invited the person he'd planned to propose to here,\but now there's been a huge change in his life plans!\Whoops. I sorta feel bad.\Oh, we just got some new information.\Breaking News\Apparently, that person never came to the venue!\All clear! They didn't see him! response:	Oh, thank goodness.
context: He apparently invited the person he'd planned to propose to here,\but now there's been a huge change in his life plans!\Whoops. I sorta feel bad.\Oh, we just got some new information.\Breaking News\Apparently, that person never came to the venue!\All clear! They didn't see him!\Oh, thank goodness. response:	There's nothing good about this...
context: but now there's been a huge change in his life plans!\Whoops. I sorta feel bad.\Oh, we just got some new information.\Breaking News\Apparently, that person never came to the venue!\All clear! They didn't see him!\Oh, thank goodness.\There's nothing good about this... response:	Things played out as they usually do.
context: Whoops. I sorta feel bad.\Oh, we just got some new information.\Breaking News\Apparently, that person never came to the venue!\All clear! They didn't see him!\Oh, thank goodness.\There's nothing good about this...\Things played out as they usually do. response:	This tournament is likely to end
context: Oh, we just got some new information.\Breaking News\Apparently, that person never came to the venue!\All clear! They didn't see him!\Oh, thank goodness.\There's nothing good about this...\Things played out as they usually do.\This tournament is likely to end response:	before Master has a chance to truly experience martial arts.
context: Breaking News\Apparently, that person never came to the venue!\All clear! They didn't see him!\Oh, thank goodness.\There's nothing good about this...\Things played out as they usually do.\This tournament is likely to end\before Master has a chance to truly experience martial arts. response:	Zakkos had pretty good moves.
context: Apparently, that person never came to the venue!\All clear! They didn't see him!\Oh, thank goodness.\There's nothing good about this...\Things played out as they usually do.\This tournament is likely to end\before Master has a chance to truly experience martial arts.\Zakkos had pretty good moves. response:	Guess I know who I'm facing off with in the finals.
context: All clear! They didn't see him!\Oh, thank goodness.\There's nothing good about this...\Things played out as they usually do.\This tournament is likely to end\before Master has a chance to truly experience martial arts.\Zakkos had pretty good moves.\Guess I know who I'm facing off with in the finals. response:	The Uprising of the Monsters
