context: I don't see you up this early very often, Ichika. response:	Although I'm still the last one of the five of us.
context: Incoming call\It's our father.\Hello? Uesugi here.\You were with Itsuki-kun, huh?\I thought I'd ask them each individually, but let's hear it from you.\All right.\I'll know if you lie.\I won't lie. response:	But I'd like to ask you to find them a better tutor.
context: It's our father.\Hello? Uesugi here.\You were with Itsuki-kun, huh?\I thought I'd ask them each individually, but let's hear it from you.\All right.\I'll know if you lie.\I won't lie.\But I'd like to ask you to find them a better tutor. response:	In other words, the exam results...
context: Hello? Uesugi here.\You were with Itsuki-kun, huh?\I thought I'd ask them each individually, but let's hear it from you.\All right.\I'll know if you lie.\I won't lie.\But I'd like to ask you to find them a better tutor.\In other words, the exam results... response:	Dad?
context: You were with Itsuki-kun, huh?\I thought I'd ask them each individually, but let's hear it from you.\All right.\I'll know if you lie.\I won't lie.\But I'd like to ask you to find them a better tutor.\In other words, the exam results...\Dad? response:	It's me, Nino. Can I ask you something?
context: I thought I'd ask them each individually, but let's hear it from you.\All right.\I'll know if you lie.\I won't lie.\But I'd like to ask you to find them a better tutor.\In other words, the exam results...\Dad?\It's me, Nino. Can I ask you something? response:	Why did you give him such a condition?
context: All right.\I'll know if you lie.\I won't lie.\But I'd like to ask you to find them a better tutor.\In other words, the exam results...\Dad?\It's me, Nino. Can I ask you something?\Why did you give him such a condition? response:	I have my responsibilities as a father, in leaving you to him.
context: I'll know if you lie.\I won't lie.\But I'd like to ask you to find them a better tutor.\In other words, the exam results...\Dad?\It's me, Nino. Can I ask you something?\Why did you give him such a condition?\I have my responsibilities as a father, in leaving you to him. response:	I was just testing him to see if he's right for you.
context: I won't lie.\But I'd like to ask you to find them a better tutor.\In other words, the exam results...\Dad?\It's me, Nino. Can I ask you something?\Why did you give him such a condition?\I have my responsibilities as a father, in leaving you to him.\I was just testing him to see if he's right for you. response:	So it was for our sake?
context: But I'd like to ask you to find them a better tutor.\In other words, the exam results...\Dad?\It's me, Nino. Can I ask you something?\Why did you give him such a condition?\I have my responsibilities as a father, in leaving you to him.\I was just testing him to see if he's right for you.\So it was for our sake? response:	Thanks, Dad.
context: In other words, the exam results...\Dad?\It's me, Nino. Can I ask you something?\Why did you give him such a condition?\I have my responsibilities as a father, in leaving you to him.\I was just testing him to see if he's right for you.\So it was for our sake?\Thanks, Dad. response:	But we won't know whether he's right for us or not from just our grades.
context: Dad?\It's me, Nino. Can I ask you something?\Why did you give him such a condition?\I have my responsibilities as a father, in leaving you to him.\I was just testing him to see if he's right for you.\So it was for our sake?\Thanks, Dad.\But we won't know whether he's right for us or not from just our grades. response:	That's the primary metric.
context: It's me, Nino. Can I ask you something?\Why did you give him such a condition?\I have my responsibilities as a father, in leaving you to him.\I was just testing him to see if he's right for you.\So it was for our sake?\Thanks, Dad.\But we won't know whether he's right for us or not from just our grades.\That's the primary metric. response:	Fine.
context: Why did you give him such a condition?\I have my responsibilities as a father, in leaving you to him.\I was just testing him to see if he's right for you.\So it was for our sake?\Thanks, Dad.\But we won't know whether he's right for us or not from just our grades.\That's the primary metric.\Fine. response:	Let me tell you, then.
context: I have my responsibilities as a father, in leaving you to him.\I was just testing him to see if he's right for you.\So it was for our sake?\Thanks, Dad.\But we won't know whether he's right for us or not from just our grades.\That's the primary metric.\Fine.\Let me tell you, then. response:	The five of us together avoided failing all five subjects.
context: I was just testing him to see if he's right for you.\So it was for our sake?\Thanks, Dad.\But we won't know whether he's right for us or not from just our grades.\That's the primary metric.\Fine.\Let me tell you, then.\The five of us together avoided failing all five subjects. response:	Is that true?
context: So it was for our sake?\Thanks, Dad.\But we won't know whether he's right for us or not from just our grades.\That's the primary metric.\Fine.\Let me tell you, then.\The five of us together avoided failing all five subjects.\Is that true? response:	I'm not lying.
context: Thanks, Dad.\But we won't know whether he's right for us or not from just our grades.\That's the primary metric.\Fine.\Let me tell you, then.\The five of us together avoided failing all five subjects.\Is that true?\I'm not lying. response:	It must be true if you say so, Nino-kun.
context: But we won't know whether he's right for us or not from just our grades.\That's the primary metric.\Fine.\Let me tell you, then.\The five of us together avoided failing all five subjects.\Is that true?\I'm not lying.\It must be true if you say so, Nino-kun. response:	I expect you to keep up the work with Uesugi-kun.
context: That's the primary metric.\Fine.\Let me tell you, then.\The five of us together avoided failing all five subjects.\Is that true?\I'm not lying.\It must be true if you say so, Nino-kun.\I expect you to keep up the work with Uesugi-kun. response:	Nino, you just...
context: Fine.\Let me tell you, then.\The five of us together avoided failing all five subjects.\Is that true?\I'm not lying.\It must be true if you say so, Nino-kun.\I expect you to keep up the work with Uesugi-kun.\Nino, you just... response:	The five of us each passed one of the subjects.
context: Let me tell you, then.\The five of us together avoided failing all five subjects.\Is that true?\I'm not lying.\It must be true if you say so, Nino-kun.\I expect you to keep up the work with Uesugi-kun.\Nino, you just...\The five of us each passed one of the subjects. response:	So I wasn't lying.
context: The five of us together avoided failing all five subjects.\Is that true?\I'm not lying.\It must be true if you say so, Nino-kun.\I expect you to keep up the work with Uesugi-kun.\Nino, you just...\The five of us each passed one of the subjects.\So I wasn't lying. response:	Are you serious?
context: Is that true?\I'm not lying.\It must be true if you say so, Nino-kun.\I expect you to keep up the work with Uesugi-kun.\Nino, you just...\The five of us each passed one of the subjects.\So I wasn't lying.\Are you serious? response:	We ended up deceiving Dad.
context: I'm not lying.\It must be true if you say so, Nino-kun.\I expect you to keep up the work with Uesugi-kun.\Nino, you just...\The five of us each passed one of the subjects.\So I wasn't lying.\Are you serious?\We ended up deceiving Dad. response:	It probably won't work again.
context: It must be true if you say so, Nino-kun.\I expect you to keep up the work with Uesugi-kun.\Nino, you just...\The five of us each passed one of the subjects.\So I wasn't lying.\Are you serious?\We ended up deceiving Dad.\It probably won't work again. response:	You better make it happen for real next time.
context: I expect you to keep up the work with Uesugi-kun.\Nino, you just...\The five of us each passed one of the subjects.\So I wasn't lying.\Are you serious?\We ended up deceiving Dad.\It probably won't work again.\You better make it happen for real next time. response:	Watch me.
context: Nino, you just...\The five of us each passed one of the subjects.\So I wasn't lying.\Are you serious?\We ended up deceiving Dad.\It probably won't work again.\You better make it happen for real next time.\Watch me. response:	Hey, what was that about?
context: The five of us each passed one of the subjects.\So I wasn't lying.\Are you serious?\We ended up deceiving Dad.\It probably won't work again.\You better make it happen for real next time.\Watch me.\Hey, what was that about? response:	I actually passed all five subjects?!
context: So I wasn't lying.\Are you serious?\We ended up deceiving Dad.\It probably won't work again.\You better make it happen for real next time.\Watch me.\Hey, what was that about?\I actually passed all five subjects?! response:	How?!
context: Are you serious?\We ended up deceiving Dad.\It probably won't work again.\You better make it happen for real next time.\Watch me.\Hey, what was that about?\I actually passed all five subjects?!\How?! response:	Come on...
context: We ended up deceiving Dad.\It probably won't work again.\You better make it happen for real next time.\Watch me.\Hey, what was that about?\I actually passed all five subjects?!\How?!\Come on... response:	Don't worry, Miku.
context: It probably won't work again.\You better make it happen for real next time.\Watch me.\Hey, what was that about?\I actually passed all five subjects?!\How?!\Come on...\Don't worry, Miku. response:	It looks like he'll be with us for a while longer.
context: You better make it happen for real next time.\Watch me.\Hey, what was that about?\I actually passed all five subjects?!\How?!\Come on...\Don't worry, Miku.\It looks like he'll be with us for a while longer. response:	Okay!
context: Watch me.\Hey, what was that about?\I actually passed all five subjects?!\How?!\Come on...\Don't worry, Miku.\It looks like he'll be with us for a while longer.\Okay! response:	Let's get to reviewing, then.
context: Hey, what was that about?\I actually passed all five subjects?!\How?!\Come on...\Don't worry, Miku.\It looks like he'll be with us for a while longer.\Okay!\Let's get to reviewing, then. response:	I'd rather not, obviously.
context: I actually passed all five subjects?!\How?!\Come on...\Don't worry, Miku.\It looks like he'll be with us for a while longer.\Okay!\Let's get to reviewing, then.\I'd rather not, obviously. response:	No running away.
context: How?!\Come on...\Don't worry, Miku.\It looks like he'll be with us for a while longer.\Okay!\Let's get to reviewing, then.\I'd rather not, obviously.\No running away. response:	You're right.
context: Come on...\Don't worry, Miku.\It looks like he'll be with us for a while longer.\Okay!\Let's get to reviewing, then.\I'd rather not, obviously.\No running away.\You're right. response:	It's most important to study after you get your exam results back.
context: Don't worry, Miku.\It looks like he'll be with us for a while longer.\Okay!\Let's get to reviewing, then.\I'd rather not, obviously.\No running away.\You're right.\It's most important to study after you get your exam results back. response:	But it doesn't have to be right after.
context: It looks like he'll be with us for a while longer.\Okay!\Let's get to reviewing, then.\I'd rather not, obviously.\No running away.\You're right.\It's most important to study after you get your exam results back.\But it doesn't have to be right after. response:	A reward, was it?
context: Okay!\Let's get to reviewing, then.\I'd rather not, obviously.\No running away.\You're right.\It's most important to study after you get your exam results back.\But it doesn't have to be right after.\A reward, was it? response:	Something about parfaits?
context: Let's get to reviewing, then.\I'd rather not, obviously.\No running away.\You're right.\It's most important to study after you get your exam results back.\But it doesn't have to be right after.\A reward, was it?\Something about parfaits? response:	Futaro-kun just said parfaits!
context: I'd rather not, obviously.\No running away.\You're right.\It's most important to study after you get your exam results back.\But it doesn't have to be right after.\A reward, was it?\Something about parfaits?\Futaro-kun just said parfaits! response:	That's so not his style!
context: No running away.\You're right.\It's most important to study after you get your exam results back.\But it doesn't have to be right after.\A reward, was it?\Something about parfaits?\Futaro-kun just said parfaits!\That's so not his style! response:	In that case, I'll have an extra large.
context: You're right.\It's most important to study after you get your exam results back.\But it doesn't have to be right after.\A reward, was it?\Something about parfaits?\Futaro-kun just said parfaits!\That's so not his style!\In that case, I'll have an extra large. response:	That exists?
context: It's most important to study after you get your exam results back.\But it doesn't have to be right after.\A reward, was it?\Something about parfaits?\Futaro-kun just said parfaits!\That's so not his style!\In that case, I'll have an extra large.\That exists? response:	All right, the five of you passed five together, so just one serving.
context: But it doesn't have to be right after.\A reward, was it?\Something about parfaits?\Futaro-kun just said parfaits!\That's so not his style!\In that case, I'll have an extra large.\That exists?\All right, the five of you passed five together, so just one serving. response:	What? You're so cheap.
context: A reward, was it?\Something about parfaits?\Futaro-kun just said parfaits!\That's so not his style!\In that case, I'll have an extra large.\That exists?\All right, the five of you passed five together, so just one serving.\What? You're so cheap. response:	I'll make it happen next time.
context: Something about parfaits?\Futaro-kun just said parfaits!\That's so not his style!\In that case, I'll have an extra large.\That exists?\All right, the five of you passed five together, so just one serving.\What? You're so cheap.\I'll make it happen next time. response:	By the way, how did you do, Uesugi-san?
context: Futaro-kun just said parfaits!\That's so not his style!\In that case, I'll have an extra large.\That exists?\All right, the five of you passed five together, so just one serving.\What? You're so cheap.\I'll make it happen next time.\By the way, how did you do, Uesugi-san? response:	No!
context: That's so not his style!\In that case, I'll have an extra large.\That exists?\All right, the five of you passed five together, so just one serving.\What? You're so cheap.\I'll make it happen next time.\By the way, how did you do, Uesugi-san?\No! response:	Don't look!
context: In that case, I'll have an extra large.\That exists?\All right, the five of you passed five together, so just one serving.\What? You're so cheap.\I'll make it happen next time.\By the way, how did you do, Uesugi-san?\No!\Don't look! response:	Wh-What?! Hundreds on all of them?!
context: That exists?\All right, the five of you passed five together, so just one serving.\What? You're so cheap.\I'll make it happen next time.\By the way, how did you do, Uesugi-san?\No!\Don't look!\Wh-What?! Hundreds on all of them?! response:	Oh, man, that's embarrassing!
context: All right, the five of you passed five together, so just one serving.\What? You're so cheap.\I'll make it happen next time.\By the way, how did you do, Uesugi-san?\No!\Don't look!\Wh-What?! Hundreds on all of them?!\Oh, man, that's embarrassing! response:	Are you trying to make that your thing?
context: What? You're so cheap.\I'll make it happen next time.\By the way, how did you do, Uesugi-san?\No!\Don't look!\Wh-What?! Hundreds on all of them?!\Oh, man, that's embarrassing!\Are you trying to make that your thing? response:	Next Time on The Quintessential Quintuplets
context: I'll make it happen next time.\By the way, how did you do, Uesugi-san?\No!\Don't look!\Wh-What?! Hundreds on all of them?!\Oh, man, that's embarrassing!\Are you trying to make that your thing?\Next Time on The Quintessential Quintuplets response:	Quintuplet Trivia!
context: By the way, how did you do, Uesugi-san?\No!\Don't look!\Wh-What?! Hundreds on all of them?!\Oh, man, that's embarrassing!\Are you trying to make that your thing?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia! response:	What are our best subjects?
context: No!\Don't look!\Wh-What?! Hundreds on all of them?!\Oh, man, that's embarrassing!\Are you trying to make that your thing?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\What are our best subjects? response:	Math.
context: Don't look!\Wh-What?! Hundreds on all of them?!\Oh, man, that's embarrassing!\Are you trying to make that your thing?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\What are our best subjects?\Math. response:	English.
context: Wh-What?! Hundreds on all of them?!\Oh, man, that's embarrassing!\Are you trying to make that your thing?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\What are our best subjects?\Math.\English. response:	Social Studies.
context: Oh, man, that's embarrassing!\Are you trying to make that your thing?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\What are our best subjects?\Math.\English.\Social Studies. response:	Japanese.
context: Are you trying to make that your thing?\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\What are our best subjects?\Math.\English.\Social Studies.\Japanese. response:	Science.
context: Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\What are our best subjects?\Math.\English.\Social Studies.\Japanese.\Science. response:	Together, the five of us...
context: Quintuplet Trivia!\What are our best subjects?\Math.\English.\Social Studies.\Japanese.\Science.\Together, the five of us... response:	are the No-Fail Sisters!
context: What are our best subjects?\Math.\English.\Social Studies.\Japanese.\Science.\Together, the five of us...\are the No-Fail Sisters! response:	Stop running away from reality.
context: Math.\English.\Social Studies.\Japanese.\Science.\Together, the five of us...\are the No-Fail Sisters!\Stop running away from reality. response:	No-Fail Sisters!
