context: Ourarch-enemy Naraku had totally concealed himself from us. response:	Fifty years ago, Onigumo the brigand gave rise to Naraku.
context: Moon ya, Shippo!\Moon ya, Inuyasha!\We'll meet again!\What's with them?!\They were some adversaries, huh?\Just pesky monkeys!\Hey, Shippo!\Hey, wait up, Inuyasha! response:	Shaddup! Let's go!
context: Moon ya, Inuyasha!\We'll meet again!\What's with them?!\They were some adversaries, huh?\Just pesky monkeys!\Hey, Shippo!\Hey, wait up, Inuyasha!\Shaddup! Let's go! response:	We head northeast!
context: We'll meet again!\What's with them?!\They were some adversaries, huh?\Just pesky monkeys!\Hey, Shippo!\Hey, wait up, Inuyasha!\Shaddup! Let's go!\We head northeast! response:	Kagome is sick?
context: What's with them?!\They were some adversaries, huh?\Just pesky monkeys!\Hey, Shippo!\Hey, wait up, Inuyasha!\Shaddup! Let's go!\We head northeast!\Kagome is sick? response:	She must've been exhausted with all this searching for Naraku.
context: They were some adversaries, huh?\Just pesky monkeys!\Hey, Shippo!\Hey, wait up, Inuyasha!\Shaddup! Let's go!\We head northeast!\Kagome is sick?\She must've been exhausted with all this searching for Naraku. response:	Her cold got worse and she's running a fever.
context: Just pesky monkeys!\Hey, Shippo!\Hey, wait up, Inuyasha!\Shaddup! Let's go!\We head northeast!\Kagome is sick?\She must've been exhausted with all this searching for Naraku.\Her cold got worse and she's running a fever. response:	I had her return home to her time. Was that okay?
context: Hey, Shippo!\Hey, wait up, Inuyasha!\Shaddup! Let's go!\We head northeast!\Kagome is sick?\She must've been exhausted with all this searching for Naraku.\Her cold got worse and she's running a fever.\I had her return home to her time. Was that okay? response:	They've got medicine and doctors there... I hope she recovers quickly.
context: Hey, wait up, Inuyasha!\Shaddup! Let's go!\We head northeast!\Kagome is sick?\She must've been exhausted with all this searching for Naraku.\Her cold got worse and she's running a fever.\I had her return home to her time. Was that okay?\They've got medicine and doctors there... I hope she recovers quickly. response:	Inuyasha went back to see her.
context: Shaddup! Let's go!\We head northeast!\Kagome is sick?\She must've been exhausted with all this searching for Naraku.\Her cold got worse and she's running a fever.\I had her return home to her time. Was that okay?\They've got medicine and doctors there... I hope she recovers quickly.\Inuyasha went back to see her. response:	To wish herwell?
context: We head northeast!\Kagome is sick?\She must've been exhausted with all this searching for Naraku.\Her cold got worse and she's running a fever.\I had her return home to her time. Was that okay?\They've got medicine and doctors there... I hope she recovers quickly.\Inuyasha went back to see her.\To wish herwell? response:	Like he's the kind of guy to do that?
context: Kagome is sick?\She must've been exhausted with all this searching for Naraku.\Her cold got worse and she's running a fever.\I had her return home to her time. Was that okay?\They've got medicine and doctors there... I hope she recovers quickly.\Inuyasha went back to see her.\To wish herwell?\Like he's the kind of guy to do that? response:	Next on Inuyasha: Nursing Battle of the Rival Lovers
context: She must've been exhausted with all this searching for Naraku.\Her cold got worse and she's running a fever.\I had her return home to her time. Was that okay?\They've got medicine and doctors there... I hope she recovers quickly.\Inuyasha went back to see her.\To wish herwell?\Like he's the kind of guy to do that?\Next on Inuyasha: Nursing Battle of the Rival Lovers response:	Rivals? Whose?
