context: I'm hungry, Nako. response:	Me too.
context: But the real me is a lot more cheerful, louder, and\When you're at Kissuiso,\you're quiet and nervous,\but you notice things that no one else would notice,\and you give a welcoming service.\That's the kind of waitress you are.\Minchi.\The customers in the response:	Crane Room can't eat wild blue-skinned fish.
context: When you're at Kissuiso,\you're quiet and nervous,\but you notice things that no one else would notice,\and you give a welcoming service.\That's the kind of waitress you are.\Minchi.\The customers in the\Crane Room can't eat wild blue-skinned fish. response:	Got it.
context: you're quiet and nervous,\but you notice things that no one else would notice,\and you give a welcoming service.\That's the kind of waitress you are.\Minchi.\The customers in the\Crane Room can't eat wild blue-skinned fish.\Got it. response:	Oh, Nakochi.
context: but you notice things that no one else would notice,\and you give a welcoming service.\That's the kind of waitress you are.\Minchi.\The customers in the\Crane Room can't eat wild blue-skinned fish.\Got it.\Oh, Nakochi. response:	Swimming freestyle in the air?
context: and you give a welcoming service.\That's the kind of waitress you are.\Minchi.\The customers in the\Crane Room can't eat wild blue-skinned fish.\Got it.\Oh, Nakochi.\Swimming freestyle in the air? response:	That was weird.
context: That's the kind of waitress you are.\Minchi.\The customers in the\Crane Room can't eat wild blue-skinned fish.\Got it.\Oh, Nakochi.\Swimming freestyle in the air?\That was weird. response:	Almost as weird as kinako mochi-flavored snacks, huh?
context: Minchi.\The customers in the\Crane Room can't eat wild blue-skinned fish.\Got it.\Oh, Nakochi.\Swimming freestyle in the air?\That was weird.\Almost as weird as kinako mochi-flavored snacks, huh? response:	This isn't the ocean,
context: The customers in the\Crane Room can't eat wild blue-skinned fish.\Got it.\Oh, Nakochi.\Swimming freestyle in the air?\That was weird.\Almost as weird as kinako mochi-flavored snacks, huh?\This isn't the ocean, response:	but
context: Crane Room can't eat wild blue-skinned fish.\Got it.\Oh, Nakochi.\Swimming freestyle in the air?\That was weird.\Almost as weird as kinako mochi-flavored snacks, huh?\This isn't the ocean,\but response:	Even though I was pretty mean to the prince,
context: Got it.\Oh, Nakochi.\Swimming freestyle in the air?\That was weird.\Almost as weird as kinako mochi-flavored snacks, huh?\This isn't the ocean,\but\Even though I was pretty mean to the prince, response:	I'm still going to aim for the land!
context: Oh, Nakochi.\Swimming freestyle in the air?\That was weird.\Almost as weird as kinako mochi-flavored snacks, huh?\This isn't the ocean,\but\Even though I was pretty mean to the prince,\I'm still going to aim for the land! response:	I feel like I can swim anywhere now!
context: Swimming freestyle in the air?\That was weird.\Almost as weird as kinako mochi-flavored snacks, huh?\This isn't the ocean,\but\Even though I was pretty mean to the prince,\I'm still going to aim for the land!\I feel like I can swim anywhere now! response:	Cultural festival, huh?
context: That was weird.\Almost as weird as kinako mochi-flavored snacks, huh?\This isn't the ocean,\but\Even though I was pretty mean to the prince,\I'm still going to aim for the land!\I feel like I can swim anywhere now!\Cultural festival, huh? response:	Let's fest it up together!
context: Almost as weird as kinako mochi-flavored snacks, huh?\This isn't the ocean,\but\Even though I was pretty mean to the prince,\I'm still going to aim for the land!\I feel like I can swim anywhere now!\Cultural festival, huh?\Let's fest it up together! response:	Yeah, let's make it a great cultural festival.
context: This isn't the ocean,\but\Even though I was pretty mean to the prince,\I'm still going to aim for the land!\I feel like I can swim anywhere now!\Cultural festival, huh?\Let's fest it up together!\Yeah, let's make it a great cultural festival. response:	I don't mind working my shift
context: but\Even though I was pretty mean to the prince,\I'm still going to aim for the land!\I feel like I can swim anywhere now!\Cultural festival, huh?\Let's fest it up together!\Yeah, let's make it a great cultural festival.\I don't mind working my shift response:	Episode 19 Sloppy Omelet Rice
context: Even though I was pretty mean to the prince,\I'm still going to aim for the land!\I feel like I can swim anywhere now!\Cultural festival, huh?\Let's fest it up together!\Yeah, let's make it a great cultural festival.\I don't mind working my shift\Episode 19 Sloppy Omelet Rice response:	We're young and restless!
