context: Inside the human body... response:	are working hard every day.
context: my receptor stopped responding, you see!\I never would've thought you'd be hiding inside the package!\No way am I gonna let myself be killed after I've come this far!\White Blood Cell,\he says he's going to attack any Red Blood Cell carrying nutrients!\Gotcha!\Hey, you'll do! I'm gonna obliterate you!\It's a germ! response:	White Blood Cell!
context: I never would've thought you'd be hiding inside the package!\No way am I gonna let myself be killed after I've come this far!\White Blood Cell,\he says he's going to attack any Red Blood Cell carrying nutrients!\Gotcha!\Hey, you'll do! I'm gonna obliterate you!\It's a germ!\White Blood Cell! response:	Stay back!
context: No way am I gonna let myself be killed after I've come this far!\White Blood Cell,\he says he's going to attack any Red Blood Cell carrying nutrients!\Gotcha!\Hey, you'll do! I'm gonna obliterate you!\It's a germ!\White Blood Cell!\Stay back! response:	A capsule, huh?
context: White Blood Cell,\he says he's going to attack any Red Blood Cell carrying nutrients!\Gotcha!\Hey, you'll do! I'm gonna obliterate you!\It's a germ!\White Blood Cell!\Stay back!\A capsule, huh? response:	A capsule? Like before?
context: he says he's going to attack any Red Blood Cell carrying nutrients!\Gotcha!\Hey, you'll do! I'm gonna obliterate you!\It's a germ!\White Blood Cell!\Stay back!\A capsule, huh?\A capsule? Like before? response:	It's not like the one he used as a smokescreen!
context: Gotcha!\Hey, you'll do! I'm gonna obliterate you!\It's a germ!\White Blood Cell!\Stay back!\A capsule, huh?\A capsule? Like before?\It's not like the one he used as a smokescreen! response:	It's a more powerful screen he can use to directly shield himself!
context: Hey, you'll do! I'm gonna obliterate you!\It's a germ!\White Blood Cell!\Stay back!\A capsule, huh?\A capsule? Like before?\It's not like the one he used as a smokescreen!\It's a more powerful screen he can use to directly shield himself! response:	I have no chance against something that powerful in close combat!
context: It's a germ!\White Blood Cell!\Stay back!\A capsule, huh?\A capsule? Like before?\It's not like the one he used as a smokescreen!\It's a more powerful screen he can use to directly shield himself!\I have no chance against something that powerful in close combat! response:	White Blood Cell! You shouldn't let him know that!
context: White Blood Cell!\Stay back!\A capsule, huh?\A capsule? Like before?\It's not like the one he used as a smokescreen!\It's a more powerful screen he can use to directly shield himself!\I have no chance against something that powerful in close combat!\White Blood Cell! You shouldn't let him know that! response:	ENCAPSULATED CELLS
context: Stay back!\A capsule, huh?\A capsule? Like before?\It's not like the one he used as a smokescreen!\It's a more powerful screen he can use to directly shield himself!\I have no chance against something that powerful in close combat!\White Blood Cell! You shouldn't let him know that!\ENCAPSULATED CELLS response:	I see. Thanks for clueing me in.
context: A capsule, huh?\A capsule? Like before?\It's not like the one he used as a smokescreen!\It's a more powerful screen he can use to directly shield himself!\I have no chance against something that powerful in close combat!\White Blood Cell! You shouldn't let him know that!\ENCAPSULATED CELLS\I see. Thanks for clueing me in. response:	Change of plans!
context: A capsule? Like before?\It's not like the one he used as a smokescreen!\It's a more powerful screen he can use to directly shield himself!\I have no chance against something that powerful in close combat!\White Blood Cell! You shouldn't let him know that!\ENCAPSULATED CELLS\I see. Thanks for clueing me in.\Change of plans! response:	Before I launch my all-out invasion, I'm gonna torture you guys to death!
context: It's not like the one he used as a smokescreen!\It's a more powerful screen he can use to directly shield himself!\I have no chance against something that powerful in close combat!\White Blood Cell! You shouldn't let him know that!\ENCAPSULATED CELLS\I see. Thanks for clueing me in.\Change of plans!\Before I launch my all-out invasion, I'm gonna torture you guys to death! response:	Why did you tell him that, of all things?
context: It's a more powerful screen he can use to directly shield himself!\I have no chance against something that powerful in close combat!\White Blood Cell! You shouldn't let him know that!\ENCAPSULATED CELLS\I see. Thanks for clueing me in.\Change of plans!\Before I launch my all-out invasion, I'm gonna torture you guys to death!\Why did you tell him that, of all things? response:	My bad!
context: I have no chance against something that powerful in close combat!\White Blood Cell! You shouldn't let him know that!\ENCAPSULATED CELLS\I see. Thanks for clueing me in.\Change of plans!\Before I launch my all-out invasion, I'm gonna torture you guys to death!\Why did you tell him that, of all things?\My bad! response:	It's all over!
context: White Blood Cell! You shouldn't let him know that!\ENCAPSULATED CELLS\I see. Thanks for clueing me in.\Change of plans!\Before I launch my all-out invasion, I'm gonna torture you guys to death!\Why did you tell him that, of all things?\My bad!\It's all over! response:	White Blood Cell, forget about idiots like me and run!
context: ENCAPSULATED CELLS\I see. Thanks for clueing me in.\Change of plans!\Before I launch my all-out invasion, I'm gonna torture you guys to death!\Why did you tell him that, of all things?\My bad!\It's all over!\White Blood Cell, forget about idiots like me and run! response:	Maybe I'll go for that.
context: I see. Thanks for clueing me in.\Change of plans!\Before I launch my all-out invasion, I'm gonna torture you guys to death!\Why did you tell him that, of all things?\My bad!\It's all over!\White Blood Cell, forget about idiots like me and run!\Maybe I'll go for that. response:	BRONCHIAL TUBES
context: Change of plans!\Before I launch my all-out invasion, I'm gonna torture you guys to death!\Why did you tell him that, of all things?\My bad!\It's all over!\White Blood Cell, forget about idiots like me and run!\Maybe I'll go for that.\BRONCHIAL TUBES response:	Run that way!
context: Before I launch my all-out invasion, I'm gonna torture you guys to death!\Why did you tell him that, of all things?\My bad!\It's all over!\White Blood Cell, forget about idiots like me and run!\Maybe I'll go for that.\BRONCHIAL TUBES\Run that way! response:	This way?
context: Why did you tell him that, of all things?\My bad!\It's all over!\White Blood Cell, forget about idiots like me and run!\Maybe I'll go for that.\BRONCHIAL TUBES\Run that way!\This way? response:	Go!
context: My bad!\It's all over!\White Blood Cell, forget about idiots like me and run!\Maybe I'll go for that.\BRONCHIAL TUBES\Run that way!\This way?\Go! response:	R-Right!
context: It's all over!\White Blood Cell, forget about idiots like me and run!\Maybe I'll go for that.\BRONCHIAL TUBES\Run that way!\This way?\Go!\R-Right! response:	RESPIRATORY TRACT MUCOSA
context: White Blood Cell, forget about idiots like me and run!\Maybe I'll go for that.\BRONCHIAL TUBES\Run that way!\This way?\Go!\R-Right!\RESPIRATORY TRACT MUCOSA response:	Scurrying around like that...
context: Maybe I'll go for that.\BRONCHIAL TUBES\Run that way!\This way?\Go!\R-Right!\RESPIRATORY TRACT MUCOSA\Scurrying around like that... response:	What's wrong, White Blood Cell?
context: BRONCHIAL TUBES\Run that way!\This way?\Go!\R-Right!\RESPIRATORY TRACT MUCOSA\Scurrying around like that...\What's wrong, White Blood Cell? response:	Red Blood Cell, step back a little further.
context: Run that way!\This way?\Go!\R-Right!\RESPIRATORY TRACT MUCOSA\Scurrying around like that...\What's wrong, White Blood Cell?\Red Blood Cell, step back a little further. response:	O-Okay!
context: This way?\Go!\R-Right!\RESPIRATORY TRACT MUCOSA\Scurrying around like that...\What's wrong, White Blood Cell?\Red Blood Cell, step back a little further.\O-Okay! response:	Do you surrender?
context: Go!\R-Right!\RESPIRATORY TRACT MUCOSA\Scurrying around like that...\What's wrong, White Blood Cell?\Red Blood Cell, step back a little further.\O-Okay!\Do you surrender? response:	Are you outta moves?
context: R-Right!\RESPIRATORY TRACT MUCOSA\Scurrying around like that...\What's wrong, White Blood Cell?\Red Blood Cell, step back a little further.\O-Okay!\Do you surrender?\Are you outta moves? response:	What a letdown.
context: RESPIRATORY TRACT MUCOSA\Scurrying around like that...\What's wrong, White Blood Cell?\Red Blood Cell, step back a little further.\O-Okay!\Do you surrender?\Are you outta moves?\What a letdown. response:	After you massacred all my buddies!
context: Scurrying around like that...\What's wrong, White Blood Cell?\Red Blood Cell, step back a little further.\O-Okay!\Do you surrender?\Are you outta moves?\What a letdown.\After you massacred all my buddies! response:	I'm gonna see to it
context: What's wrong, White Blood Cell?\Red Blood Cell, step back a little further.\O-Okay!\Do you surrender?\Are you outta moves?\What a letdown.\After you massacred all my buddies!\I'm gonna see to it response:	that you share the same fate!
context: Red Blood Cell, step back a little further.\O-Okay!\Do you surrender?\Are you outta moves?\What a letdown.\After you massacred all my buddies!\I'm gonna see to it\that you share the same fate! response:	Die!
context: O-Okay!\Do you surrender?\Are you outta moves?\What a letdown.\After you massacred all my buddies!\I'm gonna see to it\that you share the same fate!\Die! response:	We have succeeded in capturing the bacterium.
context: Do you surrender?\Are you outta moves?\What a letdown.\After you massacred all my buddies!\I'm gonna see to it\that you share the same fate!\Die!\We have succeeded in capturing the bacterium. response:	We will now remove the bacterium.
context: Are you outta moves?\What a letdown.\After you massacred all my buddies!\I'm gonna see to it\that you share the same fate!\Die!\We have succeeded in capturing the bacterium.\We will now remove the bacterium. response:	Hey! Hold up! What's going on here?
context: What a letdown.\After you massacred all my buddies!\I'm gonna see to it\that you share the same fate!\Die!\We have succeeded in capturing the bacterium.\We will now remove the bacterium.\Hey! Hold up! What's going on here? response:	DRINK CORNER ALL YOU CAN DRINK
context: After you massacred all my buddies!\I'm gonna see to it\that you share the same fate!\Die!\We have succeeded in capturing the bacterium.\We will now remove the bacterium.\Hey! Hold up! What's going on here?\DRINK CORNER ALL YOU CAN DRINK response:	Don't ask me.
context: I'm gonna see to it\that you share the same fate!\Die!\We have succeeded in capturing the bacterium.\We will now remove the bacterium.\Hey! Hold up! What's going on here?\DRINK CORNER ALL YOU CAN DRINK\Don't ask me. response:	Listen to me!
context: that you share the same fate!\Die!\We have succeeded in capturing the bacterium.\We will now remove the bacterium.\Hey! Hold up! What's going on here?\DRINK CORNER ALL YOU CAN DRINK\Don't ask me.\Listen to me! response:	It's no use.
context: Die!\We have succeeded in capturing the bacterium.\We will now remove the bacterium.\Hey! Hold up! What's going on here?\DRINK CORNER ALL YOU CAN DRINK\Don't ask me.\Listen to me!\It's no use. response:	You can't destroy that capsule from the inside, no matter what.
context: We have succeeded in capturing the bacterium.\We will now remove the bacterium.\Hey! Hold up! What's going on here?\DRINK CORNER ALL YOU CAN DRINK\Don't ask me.\Listen to me!\It's no use.\You can't destroy that capsule from the inside, no matter what. response:	And this is inside the bronchial tubes.
context: We will now remove the bacterium.\Hey! Hold up! What's going on here?\DRINK CORNER ALL YOU CAN DRINK\Don't ask me.\Listen to me!\It's no use.\You can't destroy that capsule from the inside, no matter what.\And this is inside the bronchial tubes. response:	Do you know what that means?
context: Hey! Hold up! What's going on here?\DRINK CORNER ALL YOU CAN DRINK\Don't ask me.\Listen to me!\It's no use.\You can't destroy that capsule from the inside, no matter what.\And this is inside the bronchial tubes.\Do you know what that means? response:	Wh-What the hell's up with that?
context: DRINK CORNER ALL YOU CAN DRINK\Don't ask me.\Listen to me!\It's no use.\You can't destroy that capsule from the inside, no matter what.\And this is inside the bronchial tubes.\Do you know what that means?\Wh-What the hell's up with that? response:	Aren't you ashamed, using tactics like this?
context: Don't ask me.\Listen to me!\It's no use.\You can't destroy that capsule from the inside, no matter what.\And this is inside the bronchial tubes.\Do you know what that means?\Wh-What the hell's up with that?\Aren't you ashamed, using tactics like this? response:	Not really.
context: Listen to me!\It's no use.\You can't destroy that capsule from the inside, no matter what.\And this is inside the bronchial tubes.\Do you know what that means?\Wh-What the hell's up with that?\Aren't you ashamed, using tactics like this?\Not really. response:	Liar! Don't look away from me!
context: It's no use.\You can't destroy that capsule from the inside, no matter what.\And this is inside the bronchial tubes.\Do you know what that means?\Wh-What the hell's up with that?\Aren't you ashamed, using tactics like this?\Not really.\Liar! Don't look away from me! response:	TEA
context: You can't destroy that capsule from the inside, no matter what.\And this is inside the bronchial tubes.\Do you know what that means?\Wh-What the hell's up with that?\Aren't you ashamed, using tactics like this?\Not really.\Liar! Don't look away from me!\TEA response:	- Listen to me! - Red Blood Cell?
context: And this is inside the bronchial tubes.\Do you know what that means?\Wh-What the hell's up with that?\Aren't you ashamed, using tactics like this?\Not really.\Liar! Don't look away from me!\TEA\- Listen to me! - Red Blood Cell? response:	I know you can hear me!
context: Do you know what that means?\Wh-What the hell's up with that?\Aren't you ashamed, using tactics like this?\Not really.\Liar! Don't look away from me!\TEA\- Listen to me! - Red Blood Cell?\I know you can hear me! response:	Damn you! Stop messing with me!
context: Wh-What the hell's up with that?\Aren't you ashamed, using tactics like this?\Not really.\Liar! Don't look away from me!\TEA\- Listen to me! - Red Blood Cell?\I know you can hear me!\Damn you! Stop messing with me! response:	Can I get you something to drink, too?
context: Aren't you ashamed, using tactics like this?\Not really.\Liar! Don't look away from me!\TEA\- Listen to me! - Red Blood Cell?\I know you can hear me!\Damn you! Stop messing with me!\Can I get you something to drink, too? response:	Hey! Don't ignore me!
context: Not really.\Liar! Don't look away from me!\TEA\- Listen to me! - Red Blood Cell?\I know you can hear me!\Damn you! Stop messing with me!\Can I get you something to drink, too?\Hey! Don't ignore me! response:	Okay, I'll have what you're having.
context: Liar! Don't look away from me!\TEA\- Listen to me! - Red Blood Cell?\I know you can hear me!\Damn you! Stop messing with me!\Can I get you something to drink, too?\Hey! Don't ignore me!\Okay, I'll have what you're having. response:	Here. Tea.
context: TEA\- Listen to me! - Red Blood Cell?\I know you can hear me!\Damn you! Stop messing with me!\Can I get you something to drink, too?\Hey! Don't ignore me!\Okay, I'll have what you're having.\Here. Tea. response:	- Well, thank you very much. - Hey, you! Say something!
context: - Listen to me! - Red Blood Cell?\I know you can hear me!\Damn you! Stop messing with me!\Can I get you something to drink, too?\Hey! Don't ignore me!\Okay, I'll have what you're having.\Here. Tea.\- Well, thank you very much. - Hey, you! Say something! response:	What's going on?
context: I know you can hear me!\Damn you! Stop messing with me!\Can I get you something to drink, too?\Hey! Don't ignore me!\Okay, I'll have what you're having.\Here. Tea.\- Well, thank you very much. - Hey, you! Say something!\What's going on? response:	Come watch with me over here.
context: Damn you! Stop messing with me!\Can I get you something to drink, too?\Hey! Don't ignore me!\Okay, I'll have what you're having.\Here. Tea.\- Well, thank you very much. - Hey, you! Say something!\What's going on?\Come watch with me over here. response:	THANKS FOR YOUR HARD WORK...
context: Can I get you something to drink, too?\Hey! Don't ignore me!\Okay, I'll have what you're having.\Here. Tea.\- Well, thank you very much. - Hey, you! Say something!\What's going on?\Come watch with me over here.\THANKS FOR YOUR HARD WORK... response:	PUT YOUR AD HERE
context: Hey! Don't ignore me!\Okay, I'll have what you're having.\Here. Tea.\- Well, thank you very much. - Hey, you! Say something!\What's going on?\Come watch with me over here.\THANKS FOR YOUR HARD WORK...\PUT YOUR AD HERE response:	LEAVE IT TO YOUR HELPER T CELLS! CALL THE WBC IN TIMES OF TROUBLE ELIMINATING PARASITES EOSINOPHILS
context: Okay, I'll have what you're having.\Here. Tea.\- Well, thank you very much. - Hey, you! Say something!\What's going on?\Come watch with me over here.\THANKS FOR YOUR HARD WORK...\PUT YOUR AD HERE\LEAVE IT TO YOUR HELPER T CELLS! CALL THE WBC IN TIMES OF TROUBLE ELIMINATING PARASITES EOSINOPHILS response:	No more games!
context: Here. Tea.\- Well, thank you very much. - Hey, you! Say something!\What's going on?\Come watch with me over here.\THANKS FOR YOUR HARD WORK...\PUT YOUR AD HERE\LEAVE IT TO YOUR HELPER T CELLS! CALL THE WBC IN TIMES OF TROUBLE ELIMINATING PARASITES EOSINOPHILS\No more games! response:	Wh-Where are you taking me?
context: - Well, thank you very much. - Hey, you! Say something!\What's going on?\Come watch with me over here.\THANKS FOR YOUR HARD WORK...\PUT YOUR AD HERE\LEAVE IT TO YOUR HELPER T CELLS! CALL THE WBC IN TIMES OF TROUBLE ELIMINATING PARASITES EOSINOPHILS\No more games!\Wh-Where are you taking me? response:	Who knows?
context: What's going on?\Come watch with me over here.\THANKS FOR YOUR HARD WORK...\PUT YOUR AD HERE\LEAVE IT TO YOUR HELPER T CELLS! CALL THE WBC IN TIMES OF TROUBLE ELIMINATING PARASITES EOSINOPHILS\No more games!\Wh-Where are you taking me?\Who knows? response:	Where do you think?
context: Come watch with me over here.\THANKS FOR YOUR HARD WORK...\PUT YOUR AD HERE\LEAVE IT TO YOUR HELPER T CELLS! CALL THE WBC IN TIMES OF TROUBLE ELIMINATING PARASITES EOSINOPHILS\No more games!\Wh-Where are you taking me?\Who knows?\Where do you think? response:	No way!
context: THANKS FOR YOUR HARD WORK...\PUT YOUR AD HERE\LEAVE IT TO YOUR HELPER T CELLS! CALL THE WBC IN TIMES OF TROUBLE ELIMINATING PARASITES EOSINOPHILS\No more games!\Wh-Where are you taking me?\Who knows?\Where do you think?\No way! response:	This is the bronchial tubes.
context: PUT YOUR AD HERE\LEAVE IT TO YOUR HELPER T CELLS! CALL THE WBC IN TIMES OF TROUBLE ELIMINATING PARASITES EOSINOPHILS\No more games!\Wh-Where are you taking me?\Who knows?\Where do you think?\No way!\This is the bronchial tubes. response:	No way!
context: LEAVE IT TO YOUR HELPER T CELLS! CALL THE WBC IN TIMES OF TROUBLE ELIMINATING PARASITES EOSINOPHILS\No more games!\Wh-Where are you taking me?\Who knows?\Where do you think?\No way!\This is the bronchial tubes.\No way! response:	SNEEZE ONE
context: No more games!\Wh-Where are you taking me?\Who knows?\Where do you think?\No way!\This is the bronchial tubes.\No way!\SNEEZE ONE response:	SNEEZE
context: Wh-Where are you taking me?\Who knows?\Where do you think?\No way!\This is the bronchial tubes.\No way!\SNEEZE ONE\SNEEZE response:	S-Stop it!
context: Who knows?\Where do you think?\No way!\This is the bronchial tubes.\No way!\SNEEZE ONE\SNEEZE\S-Stop it! response:	Starting the countdown.
context: Where do you think?\No way!\This is the bronchial tubes.\No way!\SNEEZE ONE\SNEEZE\S-Stop it!\Starting the countdown. response:	Three, two...
context: No way!\This is the bronchial tubes.\No way!\SNEEZE ONE\SNEEZE\S-Stop it!\Starting the countdown.\Three, two... response:	One!
context: This is the bronchial tubes.\No way!\SNEEZE ONE\SNEEZE\S-Stop it!\Starting the countdown.\Three, two...\One! response:	Stooop!
context: No way!\SNEEZE ONE\SNEEZE\S-Stop it!\Starting the countdown.\Three, two...\One!\Stooop! response:	Bye-bye, germ.
context: SNEEZE ONE\SNEEZE\S-Stop it!\Starting the countdown.\Three, two...\One!\Stooop!\Bye-bye, germ. response:	Achoo!
context: SNEEZE\S-Stop it!\Starting the countdown.\Three, two...\One!\Stooop!\Bye-bye, germ.\Achoo! response:	SNEEZE ONE LAUNCH SUCCESSFUL!!
context: S-Stop it!\Starting the countdown.\Three, two...\One!\Stooop!\Bye-bye, germ.\Achoo!\SNEEZE ONE LAUNCH SUCCESSFUL!! response:	Now, then...
context: Starting the countdown.\Three, two...\One!\Stooop!\Bye-bye, germ.\Achoo!\SNEEZE ONE LAUNCH SUCCESSFUL!!\Now, then... response:	You're leaving already?
context: Three, two...\One!\Stooop!\Bye-bye, germ.\Achoo!\SNEEZE ONE LAUNCH SUCCESSFUL!!\Now, then...\You're leaving already? response:	Yeah. Since I have to get back to work.
context: One!\Stooop!\Bye-bye, germ.\Achoo!\SNEEZE ONE LAUNCH SUCCESSFUL!!\Now, then...\You're leaving already?\Yeah. Since I have to get back to work. response:	Um, W-White Blood Cell!
context: Stooop!\Bye-bye, germ.\Achoo!\SNEEZE ONE LAUNCH SUCCESSFUL!!\Now, then...\You're leaving already?\Yeah. Since I have to get back to work.\Um, W-White Blood Cell! response:	W-Will I...
context: Bye-bye, germ.\Achoo!\SNEEZE ONE LAUNCH SUCCESSFUL!!\Now, then...\You're leaving already?\Yeah. Since I have to get back to work.\Um, W-White Blood Cell!\W-Will I... response:	see you again?
context: Achoo!\SNEEZE ONE LAUNCH SUCCESSFUL!!\Now, then...\You're leaving already?\Yeah. Since I have to get back to work.\Um, W-White Blood Cell!\W-Will I...\see you again? response:	No.
context: SNEEZE ONE LAUNCH SUCCESSFUL!!\Now, then...\You're leaving already?\Yeah. Since I have to get back to work.\Um, W-White Blood Cell!\W-Will I...\see you again?\No. response:	NEW MEMBERS TRAINING
context: Now, then...\You're leaving already?\Yeah. Since I have to get back to work.\Um, W-White Blood Cell!\W-Will I...\see you again?\No.\NEW MEMBERS TRAINING response:	I mean, there are so many of us White Blood Cells.
context: You're leaving already?\Yeah. Since I have to get back to work.\Um, W-White Blood Cell!\W-Will I...\see you again?\No.\NEW MEMBERS TRAINING\I mean, there are so many of us White Blood Cells. response:	NUMBER OF WHITE BLOOD CELLS
context: Yeah. Since I have to get back to work.\Um, W-White Blood Cell!\W-Will I...\see you again?\No.\NEW MEMBERS TRAINING\I mean, there are so many of us White Blood Cells.\NUMBER OF WHITE BLOOD CELLS response:	N-Now that you mention it,
context: Um, W-White Blood Cell!\W-Will I...\see you again?\No.\NEW MEMBERS TRAINING\I mean, there are so many of us White Blood Cells.\NUMBER OF WHITE BLOOD CELLS\N-Now that you mention it, response:	there are even more of us Red Blood Cells!
context: W-Will I...\see you again?\No.\NEW MEMBERS TRAINING\I mean, there are so many of us White Blood Cells.\NUMBER OF WHITE BLOOD CELLS\N-Now that you mention it,\there are even more of us Red Blood Cells! response:	NUMBER OF RED BLOOD CELLS
context: see you again?\No.\NEW MEMBERS TRAINING\I mean, there are so many of us White Blood Cells.\NUMBER OF WHITE BLOOD CELLS\N-Now that you mention it,\there are even more of us Red Blood Cells!\NUMBER OF RED BLOOD CELLS response:	Yeah.
context: No.\NEW MEMBERS TRAINING\I mean, there are so many of us White Blood Cells.\NUMBER OF WHITE BLOOD CELLS\N-Now that you mention it,\there are even more of us Red Blood Cells!\NUMBER OF RED BLOOD CELLS\Yeah. response:	Well, since we both work in the same world,
context: NEW MEMBERS TRAINING\I mean, there are so many of us White Blood Cells.\NUMBER OF WHITE BLOOD CELLS\N-Now that you mention it,\there are even more of us Red Blood Cells!\NUMBER OF RED BLOOD CELLS\Yeah.\Well, since we both work in the same world, response:	we'll run into each other someday.
context: I mean, there are so many of us White Blood Cells.\NUMBER OF WHITE BLOOD CELLS\N-Now that you mention it,\there are even more of us Red Blood Cells!\NUMBER OF RED BLOOD CELLS\Yeah.\Well, since we both work in the same world,\we'll run into each other someday. response:	See you.
context: NUMBER OF WHITE BLOOD CELLS\N-Now that you mention it,\there are even more of us Red Blood Cells!\NUMBER OF RED BLOOD CELLS\Yeah.\Well, since we both work in the same world,\we'll run into each other someday.\See you. response:	Right!
context: N-Now that you mention it,\there are even more of us Red Blood Cells!\NUMBER OF RED BLOOD CELLS\Yeah.\Well, since we both work in the same world,\we'll run into each other someday.\See you.\Right! response:	Incident! It's Bacteria! They're close!
context: there are even more of us Red Blood Cells!\NUMBER OF RED BLOOD CELLS\Yeah.\Well, since we both work in the same world,\we'll run into each other someday.\See you.\Right!\Incident! It's Bacteria! They're close! response:	Kill them! Annihilate them!
context: NUMBER OF RED BLOOD CELLS\Yeah.\Well, since we both work in the same world,\we'll run into each other someday.\See you.\Right!\Incident! It's Bacteria! They're close!\Kill them! Annihilate them! response:	All right, then, please take it easy!
context: Yeah.\Well, since we both work in the same world,\we'll run into each other someday.\See you.\Right!\Incident! It's Bacteria! They're close!\Kill them! Annihilate them!\All right, then, please take it easy! response:	Die! You germ!
context: Well, since we both work in the same world,\we'll run into each other someday.\See you.\Right!\Incident! It's Bacteria! They're close!\Kill them! Annihilate them!\All right, then, please take it easy!\Die! You germ! response:	NEXT EPISODE PREVIEW
context: we'll run into each other someday.\See you.\Right!\Incident! It's Bacteria! They're close!\Kill them! Annihilate them!\All right, then, please take it easy!\Die! You germ!\NEXT EPISODE PREVIEW response:	Heave-ho! Heave-ho! Heave-ho! Heave-ho!
context: See you.\Right!\Incident! It's Bacteria! They're close!\Kill them! Annihilate them!\All right, then, please take it easy!\Die! You germ!\NEXT EPISODE PREVIEW\Heave-ho! Heave-ho! Heave-ho! Heave-ho! response:	So cute!
context: Right!\Incident! It's Bacteria! They're close!\Kill them! Annihilate them!\All right, then, please take it easy!\Die! You germ!\NEXT EPISODE PREVIEW\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\So cute! response:	Isn't it peaceful, White Blood Cell?
context: Incident! It's Bacteria! They're close!\Kill them! Annihilate them!\All right, then, please take it easy!\Die! You germ!\NEXT EPISODE PREVIEW\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\So cute!\Isn't it peaceful, White Blood Cell? response:	I sure hope it is.
context: Kill them! Annihilate them!\All right, then, please take it easy!\Die! You germ!\NEXT EPISODE PREVIEW\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\So cute!\Isn't it peaceful, White Blood Cell?\I sure hope it is. response:	Heave-ho! Heave-ho! Heave-ho! Heave-ho! Heave-ho!
context: All right, then, please take it easy!\Die! You germ!\NEXT EPISODE PREVIEW\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\So cute!\Isn't it peaceful, White Blood Cell?\I sure hope it is.\Heave-ho! Heave-ho! Heave-ho! Heave-ho! Heave-ho! response:	Next episode of Cells at Work!, Scrape Wound.
context: Die! You germ!\NEXT EPISODE PREVIEW\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\So cute!\Isn't it peaceful, White Blood Cell?\I sure hope it is.\Heave-ho! Heave-ho! Heave-ho! Heave-ho! Heave-ho!\Next episode of Cells at Work!, Scrape Wound. response:	EPISODE 2: SCRAPE WOUND
context: NEXT EPISODE PREVIEW\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\So cute!\Isn't it peaceful, White Blood Cell?\I sure hope it is.\Heave-ho! Heave-ho! Heave-ho! Heave-ho! Heave-ho!\Next episode of Cells at Work!, Scrape Wound.\EPISODE 2: SCRAPE WOUND response:	All right! Time to work! Time to work!
