context: So here's where you were. response:	What are you reading?
context: That book... You mean Key of the Starry Heavens?\Asuka hates this book!\The story is weird!\What are you doing, Your Grace?!\It's close... It's so close...\Time is etched, and then chaos descends...\The end is beginning...\The end... response:	There's something else hidden in that book?!
context: Asuka hates this book!\The story is weird!\What are you doing, Your Grace?!\It's close... It's so close...\Time is etched, and then chaos descends...\The end is beginning...\The end...\There's something else hidden in that book?! response:	As a Legionnaire, I shall perform my duty.
context: The story is weird!\What are you doing, Your Grace?!\It's close... It's so close...\Time is etched, and then chaos descends...\The end is beginning...\The end...\There's something else hidden in that book?!\As a Legionnaire, I shall perform my duty. response:	But it's the same with Edolas...
context: What are you doing, Your Grace?!\It's close... It's so close...\Time is etched, and then chaos descends...\The end is beginning...\The end...\There's something else hidden in that book?!\As a Legionnaire, I shall perform my duty.\But it's the same with Edolas... response:	No one knows where this crusade will lead
context: It's close... It's so close...\Time is etched, and then chaos descends...\The end is beginning...\The end...\There's something else hidden in that book?!\As a Legionnaire, I shall perform my duty.\But it's the same with Edolas...\No one knows where this crusade will lead response:	in the human world, Nii-san.
context: Time is etched, and then chaos descends...\The end is beginning...\The end...\There's something else hidden in that book?!\As a Legionnaire, I shall perform my duty.\But it's the same with Edolas...\No one knows where this crusade will lead\in the human world, Nii-san. response:	Hey! Isn't nullifying magic against the rules?
context: The end is beginning...\The end...\There's something else hidden in that book?!\As a Legionnaire, I shall perform my duty.\But it's the same with Edolas...\No one knows where this crusade will lead\in the human world, Nii-san.\Hey! Isn't nullifying magic against the rules? response:	Pfft! I can beat that guy even without magic!
context: The end...\There's something else hidden in that book?!\As a Legionnaire, I shall perform my duty.\But it's the same with Edolas...\No one knows where this crusade will lead\in the human world, Nii-san.\Hey! Isn't nullifying magic against the rules?\Pfft! I can beat that guy even without magic! response:	Even though you were on the receiving end for some time...
context: There's something else hidden in that book?!\As a Legionnaire, I shall perform my duty.\But it's the same with Edolas...\No one knows where this crusade will lead\in the human world, Nii-san.\Hey! Isn't nullifying magic against the rules?\Pfft! I can beat that guy even without magic!\Even though you were on the receiving end for some time... response:	In fact, you couldn't move a muscle...
context: As a Legionnaire, I shall perform my duty.\But it's the same with Edolas...\No one knows where this crusade will lead\in the human world, Nii-san.\Hey! Isn't nullifying magic against the rules?\Pfft! I can beat that guy even without magic!\Even though you were on the receiving end for some time...\In fact, you couldn't move a muscle... response:	I-Idiot! Heroes spring into action right after they're in a pinch.
context: But it's the same with Edolas...\No one knows where this crusade will lead\in the human world, Nii-san.\Hey! Isn't nullifying magic against the rules?\Pfft! I can beat that guy even without magic!\Even though you were on the receiving end for some time...\In fact, you couldn't move a muscle...\I-Idiot! Heroes spring into action right after they're in a pinch. response:	A hero, huh?
context: No one knows where this crusade will lead\in the human world, Nii-san.\Hey! Isn't nullifying magic against the rules?\Pfft! I can beat that guy even without magic!\Even though you were on the receiving end for some time...\In fact, you couldn't move a muscle...\I-Idiot! Heroes spring into action right after they're in a pinch.\A hero, huh? response:	Next time: The Time Has Begun!
context: in the human world, Nii-san.\Hey! Isn't nullifying magic against the rules?\Pfft! I can beat that guy even without magic!\Even though you were on the receiving end for some time...\In fact, you couldn't move a muscle...\I-Idiot! Heroes spring into action right after they're in a pinch.\A hero, huh?\Next time: The Time Has Begun! response:	I think you're closer to an anti-hero...
context: Hey! Isn't nullifying magic against the rules?\Pfft! I can beat that guy even without magic!\Even though you were on the receiving end for some time...\In fact, you couldn't move a muscle...\I-Idiot! Heroes spring into action right after they're in a pinch.\A hero, huh?\Next time: The Time Has Begun!\I think you're closer to an anti-hero... response:	Come on, any way you slice it, I'm a prototypical hero!
context: Pfft! I can beat that guy even without magic!\Even though you were on the receiving end for some time...\In fact, you couldn't move a muscle...\I-Idiot! Heroes spring into action right after they're in a pinch.\A hero, huh?\Next time: The Time Has Begun!\I think you're closer to an anti-hero...\Come on, any way you slice it, I'm a prototypical hero! response:	A prototypical hero isn't rough around the edges like you!
