context: By the decree of the Heavenly Lord response:	I've come to invite High God Zhe Yan to the Nine Heavens to save a person.
context: That is a good idea.\You already know about it all?\You are as you have always been.\You don't like to owe any favors.\I don't like to owe anyone favors.\Are you asleep?\I'm asleep.\Grand Ziming Palace is really an inauspicious place. response:	Someone noble died a few days ago and now even the Ghost Queen is dead...
context: You already know about it all?\You are as you have always been.\You don't like to owe any favors.\I don't like to owe anyone favors.\Are you asleep?\I'm asleep.\Grand Ziming Palace is really an inauspicious place.\Someone noble died a few days ago and now even the Ghost Queen is dead... response:	Why has the water turned red?
context: You are as you have always been.\You don't like to owe any favors.\I don't like to owe anyone favors.\Are you asleep?\I'm asleep.\Grand Ziming Palace is really an inauspicious place.\Someone noble died a few days ago and now even the Ghost Queen is dead...\Why has the water turned red? response:	Old Ghost Lord!
context: You don't like to owe any favors.\I don't like to owe anyone favors.\Are you asleep?\I'm asleep.\Grand Ziming Palace is really an inauspicious place.\Someone noble died a few days ago and now even the Ghost Queen is dead...\Why has the water turned red?\Old Ghost Lord! response:	This is old Ghost Lord's crimson cloud!
context: I don't like to owe anyone favors.\Are you asleep?\I'm asleep.\Grand Ziming Palace is really an inauspicious place.\Someone noble died a few days ago and now even the Ghost Queen is dead...\Why has the water turned red?\Old Ghost Lord!\This is old Ghost Lord's crimson cloud! response:	Crimson hellfire!
context: Are you asleep?\I'm asleep.\Grand Ziming Palace is really an inauspicious place.\Someone noble died a few days ago and now even the Ghost Queen is dead...\Why has the water turned red?\Old Ghost Lord!\This is old Ghost Lord's crimson cloud!\Crimson hellfire! response:	Yan Zhi!
context: I'm asleep.\Grand Ziming Palace is really an inauspicious place.\Someone noble died a few days ago and now even the Ghost Queen is dead...\Why has the water turned red?\Old Ghost Lord!\This is old Ghost Lord's crimson cloud!\Crimson hellfire!\Yan Zhi! response:	What happened to you?
context: Grand Ziming Palace is really an inauspicious place.\Someone noble died a few days ago and now even the Ghost Queen is dead...\Why has the water turned red?\Old Ghost Lord!\This is old Ghost Lord's crimson cloud!\Crimson hellfire!\Yan Zhi!\What happened to you? response:	Why doesn't it work even after I've poured in my cultivation?
context: Someone noble died a few days ago and now even the Ghost Queen is dead...\Why has the water turned red?\Old Ghost Lord!\This is old Ghost Lord's crimson cloud!\Crimson hellfire!\Yan Zhi!\What happened to you?\Why doesn't it work even after I've poured in my cultivation? response:	Don't be silly.
context: Why has the water turned red?\Old Ghost Lord!\This is old Ghost Lord's crimson cloud!\Crimson hellfire!\Yan Zhi!\What happened to you?\Why doesn't it work even after I've poured in my cultivation?\Don't be silly. response:	It's against celestial law to create an elixir in the Ghost Realm.
context: Old Ghost Lord!\This is old Ghost Lord's crimson cloud!\Crimson hellfire!\Yan Zhi!\What happened to you?\Why doesn't it work even after I've poured in my cultivation?\Don't be silly.\It's against celestial law to create an elixir in the Ghost Realm. response:	Fortunately, your cultivation is still quite low
context: This is old Ghost Lord's crimson cloud!\Crimson hellfire!\Yan Zhi!\What happened to you?\Why doesn't it work even after I've poured in my cultivation?\Don't be silly.\It's against celestial law to create an elixir in the Ghost Realm.\Fortunately, your cultivation is still quite low response:	so the impact isn't as severe.
context: Crimson hellfire!\Yan Zhi!\What happened to you?\Why doesn't it work even after I've poured in my cultivation?\Don't be silly.\It's against celestial law to create an elixir in the Ghost Realm.\Fortunately, your cultivation is still quite low\so the impact isn't as severe. response:	This elixir is half finished.
context: Yan Zhi!\What happened to you?\Why doesn't it work even after I've poured in my cultivation?\Don't be silly.\It's against celestial law to create an elixir in the Ghost Realm.\Fortunately, your cultivation is still quite low\so the impact isn't as severe.\This elixir is half finished. response:	Brother Li Jing...
context: What happened to you?\Why doesn't it work even after I've poured in my cultivation?\Don't be silly.\It's against celestial law to create an elixir in the Ghost Realm.\Fortunately, your cultivation is still quite low\so the impact isn't as severe.\This elixir is half finished.\Brother Li Jing... response:	Do we have to go to the Celestial Realm to create the elixir?
context: Why doesn't it work even after I've poured in my cultivation?\Don't be silly.\It's against celestial law to create an elixir in the Ghost Realm.\Fortunately, your cultivation is still quite low\so the impact isn't as severe.\This elixir is half finished.\Brother Li Jing...\Do we have to go to the Celestial Realm to create the elixir? response:	In all realms, only Mo Yuan's elixir cauldron could absorb the evil aura.
context: Don't be silly.\It's against celestial law to create an elixir in the Ghost Realm.\Fortunately, your cultivation is still quite low\so the impact isn't as severe.\This elixir is half finished.\Brother Li Jing...\Do we have to go to the Celestial Realm to create the elixir?\In all realms, only Mo Yuan's elixir cauldron could absorb the evil aura. response:	Do you think his disciples in Kunlun Mountain would allow you to use it?
context: It's against celestial law to create an elixir in the Ghost Realm.\Fortunately, your cultivation is still quite low\so the impact isn't as severe.\This elixir is half finished.\Brother Li Jing...\Do we have to go to the Celestial Realm to create the elixir?\In all realms, only Mo Yuan's elixir cauldron could absorb the evil aura.\Do you think his disciples in Kunlun Mountain would allow you to use it? response:	Even if we have reconciled with the Celestial Realm
context: Fortunately, your cultivation is still quite low\so the impact isn't as severe.\This elixir is half finished.\Brother Li Jing...\Do we have to go to the Celestial Realm to create the elixir?\In all realms, only Mo Yuan's elixir cauldron could absorb the evil aura.\Do you think his disciples in Kunlun Mountain would allow you to use it?\Even if we have reconciled with the Celestial Realm response:	the past grudges between Father and Mo Yuan still exist.
context: so the impact isn't as severe.\This elixir is half finished.\Brother Li Jing...\Do we have to go to the Celestial Realm to create the elixir?\In all realms, only Mo Yuan's elixir cauldron could absorb the evil aura.\Do you think his disciples in Kunlun Mountain would allow you to use it?\Even if we have reconciled with the Celestial Realm\the past grudges between Father and Mo Yuan still exist. response:	Don't get your hopes up.
context: This elixir is half finished.\Brother Li Jing...\Do we have to go to the Celestial Realm to create the elixir?\In all realms, only Mo Yuan's elixir cauldron could absorb the evil aura.\Do you think his disciples in Kunlun Mountain would allow you to use it?\Even if we have reconciled with the Celestial Realm\the past grudges between Father and Mo Yuan still exist.\Don't get your hopes up. response:	No, since it's possible to do it in Kunlun Mountain, I'll go there.
context: Brother Li Jing...\Do we have to go to the Celestial Realm to create the elixir?\In all realms, only Mo Yuan's elixir cauldron could absorb the evil aura.\Do you think his disciples in Kunlun Mountain would allow you to use it?\Even if we have reconciled with the Celestial Realm\the past grudges between Father and Mo Yuan still exist.\Don't get your hopes up.\No, since it's possible to do it in Kunlun Mountain, I'll go there. response:	Quit fooling around!
context: Do we have to go to the Celestial Realm to create the elixir?\In all realms, only Mo Yuan's elixir cauldron could absorb the evil aura.\Do you think his disciples in Kunlun Mountain would allow you to use it?\Even if we have reconciled with the Celestial Realm\the past grudges between Father and Mo Yuan still exist.\Don't get your hopes up.\No, since it's possible to do it in Kunlun Mountain, I'll go there.\Quit fooling around! response:	No! Brother Li Jing!
context: In all realms, only Mo Yuan's elixir cauldron could absorb the evil aura.\Do you think his disciples in Kunlun Mountain would allow you to use it?\Even if we have reconciled with the Celestial Realm\the past grudges between Father and Mo Yuan still exist.\Don't get your hopes up.\No, since it's possible to do it in Kunlun Mountain, I'll go there.\Quit fooling around!\No! Brother Li Jing! response:	I have to go to Kunlun Mountain!
context: Do you think his disciples in Kunlun Mountain would allow you to use it?\Even if we have reconciled with the Celestial Realm\the past grudges between Father and Mo Yuan still exist.\Don't get your hopes up.\No, since it's possible to do it in Kunlun Mountain, I'll go there.\Quit fooling around!\No! Brother Li Jing!\I have to go to Kunlun Mountain! response:	Guards!
context: Even if we have reconciled with the Celestial Realm\the past grudges between Father and Mo Yuan still exist.\Don't get your hopes up.\No, since it's possible to do it in Kunlun Mountain, I'll go there.\Quit fooling around!\No! Brother Li Jing!\I have to go to Kunlun Mountain!\Guards! response:	My Lord.
context: the past grudges between Father and Mo Yuan still exist.\Don't get your hopes up.\No, since it's possible to do it in Kunlun Mountain, I'll go there.\Quit fooling around!\No! Brother Li Jing!\I have to go to Kunlun Mountain!\Guards!\My Lord. response:	The princess needs to get some rest.
context: Don't get your hopes up.\No, since it's possible to do it in Kunlun Mountain, I'll go there.\Quit fooling around!\No! Brother Li Jing!\I have to go to Kunlun Mountain!\Guards!\My Lord.\The princess needs to get some rest. response:	Without my permission
context: No, since it's possible to do it in Kunlun Mountain, I'll go there.\Quit fooling around!\No! Brother Li Jing!\I have to go to Kunlun Mountain!\Guards!\My Lord.\The princess needs to get some rest.\Without my permission response:	no one is allowed to enter, nor is the princess allowed to leave freely.
context: Quit fooling around!\No! Brother Li Jing!\I have to go to Kunlun Mountain!\Guards!\My Lord.\The princess needs to get some rest.\Without my permission\no one is allowed to enter, nor is the princess allowed to leave freely. response:	- Yes! - Yes!
context: No! Brother Li Jing!\I have to go to Kunlun Mountain!\Guards!\My Lord.\The princess needs to get some rest.\Without my permission\no one is allowed to enter, nor is the princess allowed to leave freely.\- Yes! - Yes! response:	My Lord!
context: I have to go to Kunlun Mountain!\Guards!\My Lord.\The princess needs to get some rest.\Without my permission\no one is allowed to enter, nor is the princess allowed to leave freely.\- Yes! - Yes!\My Lord! response:	Ruoshui River suddenly turned red and crimson clouds filled the sky.
context: Guards!\My Lord.\The princess needs to get some rest.\Without my permission\no one is allowed to enter, nor is the princess allowed to leave freely.\- Yes! - Yes!\My Lord!\Ruoshui River suddenly turned red and crimson clouds filled the sky. response:	Crimson hellfire is visible in the distance.
context: My Lord.\The princess needs to get some rest.\Without my permission\no one is allowed to enter, nor is the princess allowed to leave freely.\- Yes! - Yes!\My Lord!\Ruoshui River suddenly turned red and crimson clouds filled the sky.\Crimson hellfire is visible in the distance. response:	It's a sign that the old Ghost Lord is coming back!
context: The princess needs to get some rest.\Without my permission\no one is allowed to enter, nor is the princess allowed to leave freely.\- Yes! - Yes!\My Lord!\Ruoshui River suddenly turned red and crimson clouds filled the sky.\Crimson hellfire is visible in the distance.\It's a sign that the old Ghost Lord is coming back! response:	Have you heard?
context: Without my permission\no one is allowed to enter, nor is the princess allowed to leave freely.\- Yes! - Yes!\My Lord!\Ruoshui River suddenly turned red and crimson clouds filled the sky.\Crimson hellfire is visible in the distance.\It's a sign that the old Ghost Lord is coming back!\Have you heard? response:	The old Ghost Lord is coming back.
context: no one is allowed to enter, nor is the princess allowed to leave freely.\- Yes! - Yes!\My Lord!\Ruoshui River suddenly turned red and crimson clouds filled the sky.\Crimson hellfire is visible in the distance.\It's a sign that the old Ghost Lord is coming back!\Have you heard?\The old Ghost Lord is coming back. response:	The Ghost Realm is going to change soon.
context: - Yes! - Yes!\My Lord!\Ruoshui River suddenly turned red and crimson clouds filled the sky.\Crimson hellfire is visible in the distance.\It's a sign that the old Ghost Lord is coming back!\Have you heard?\The old Ghost Lord is coming back.\The Ghost Realm is going to change soon. response:	I've already heard that.
context: My Lord!\Ruoshui River suddenly turned red and crimson clouds filled the sky.\Crimson hellfire is visible in the distance.\It's a sign that the old Ghost Lord is coming back!\Have you heard?\The old Ghost Lord is coming back.\The Ghost Realm is going to change soon.\I've already heard that. response:	I wonder if it's true this time?
context: Ruoshui River suddenly turned red and crimson clouds filled the sky.\Crimson hellfire is visible in the distance.\It's a sign that the old Ghost Lord is coming back!\Have you heard?\The old Ghost Lord is coming back.\The Ghost Realm is going to change soon.\I've already heard that.\I wonder if it's true this time? response:	If it is, is the Ghost Realm going to make a come back?
context: Crimson hellfire is visible in the distance.\It's a sign that the old Ghost Lord is coming back!\Have you heard?\The old Ghost Lord is coming back.\The Ghost Realm is going to change soon.\I've already heard that.\I wonder if it's true this time?\If it is, is the Ghost Realm going to make a come back? response:	Keep it down.You might get killed.
context: It's a sign that the old Ghost Lord is coming back!\Have you heard?\The old Ghost Lord is coming back.\The Ghost Realm is going to change soon.\I've already heard that.\I wonder if it's true this time?\If it is, is the Ghost Realm going to make a come back?\Keep it down.You might get killed. response:	Let's go.
context: Have you heard?\The old Ghost Lord is coming back.\The Ghost Realm is going to change soon.\I've already heard that.\I wonder if it's true this time?\If it is, is the Ghost Realm going to make a come back?\Keep it down.You might get killed.\Let's go. response:	High God Bai Qian snuck into Zichen Hall?
context: The old Ghost Lord is coming back.\The Ghost Realm is going to change soon.\I've already heard that.\I wonder if it's true this time?\If it is, is the Ghost Realm going to make a come back?\Keep it down.You might get killed.\Let's go.\High God Bai Qian snuck into Zichen Hall? response:	Your Highness, it's true.
context: The Ghost Realm is going to change soon.\I've already heard that.\I wonder if it's true this time?\If it is, is the Ghost Realm going to make a come back?\Keep it down.You might get killed.\Let's go.\High God Bai Qian snuck into Zichen Hall?\Your Highness, it's true. response:	When the Crown Prince went to bed, she wasn't in the hall yet.
context: I've already heard that.\I wonder if it's true this time?\If it is, is the Ghost Realm going to make a come back?\Keep it down.You might get killed.\Let's go.\High God Bai Qian snuck into Zichen Hall?\Your Highness, it's true.\When the Crown Prince went to bed, she wasn't in the hall yet. response:	But when the maids went to light up the lamps
context: I wonder if it's true this time?\If it is, is the Ghost Realm going to make a come back?\Keep it down.You might get killed.\Let's go.\High God Bai Qian snuck into Zichen Hall?\Your Highness, it's true.\When the Crown Prince went to bed, she wasn't in the hall yet.\But when the maids went to light up the lamps response:	we heard that high god whispering to His Highness.
context: If it is, is the Ghost Realm going to make a come back?\Keep it down.You might get killed.\Let's go.\High God Bai Qian snuck into Zichen Hall?\Your Highness, it's true.\When the Crown Prince went to bed, she wasn't in the hall yet.\But when the maids went to light up the lamps\we heard that high god whispering to His Highness. response:	I didn't dare to linger, so I left the room.
context: Keep it down.You might get killed.\Let's go.\High God Bai Qian snuck into Zichen Hall?\Your Highness, it's true.\When the Crown Prince went to bed, she wasn't in the hall yet.\But when the maids went to light up the lamps\we heard that high god whispering to His Highness.\I didn't dare to linger, so I left the room. response:	You must watch her very closely day and night.
context: Let's go.\High God Bai Qian snuck into Zichen Hall?\Your Highness, it's true.\When the Crown Prince went to bed, she wasn't in the hall yet.\But when the maids went to light up the lamps\we heard that high god whispering to His Highness.\I didn't dare to linger, so I left the room.\You must watch her very closely day and night. response:	Report back to me often.
context: High God Bai Qian snuck into Zichen Hall?\Your Highness, it's true.\When the Crown Prince went to bed, she wasn't in the hall yet.\But when the maids went to light up the lamps\we heard that high god whispering to His Highness.\I didn't dare to linger, so I left the room.\You must watch her very closely day and night.\Report back to me often. response:	Yes, Your Highness.
context: Your Highness, it's true.\When the Crown Prince went to bed, she wasn't in the hall yet.\But when the maids went to light up the lamps\we heard that high god whispering to His Highness.\I didn't dare to linger, so I left the room.\You must watch her very closely day and night.\Report back to me often.\Yes, Your Highness. response:	Xin Nu, don't you think
context: When the Crown Prince went to bed, she wasn't in the hall yet.\But when the maids went to light up the lamps\we heard that high god whispering to His Highness.\I didn't dare to linger, so I left the room.\You must watch her very closely day and night.\Report back to me often.\Yes, Your Highness.\Xin Nu, don't you think response:	that this high god has little regard for the Celestial Tribe's rules?
context: But when the maids went to light up the lamps\we heard that high god whispering to His Highness.\I didn't dare to linger, so I left the room.\You must watch her very closely day and night.\Report back to me often.\Yes, Your Highness.\Xin Nu, don't you think\that this high god has little regard for the Celestial Tribe's rules? response:	The last time she was here she only stayed in Xiwu Palace.
context: we heard that high god whispering to His Highness.\I didn't dare to linger, so I left the room.\You must watch her very closely day and night.\Report back to me often.\Yes, Your Highness.\Xin Nu, don't you think\that this high god has little regard for the Celestial Tribe's rules?\The last time she was here she only stayed in Xiwu Palace. response:	Not once did she visit the Heavenly Lord, Eldest Prince, and Consort Le Xu.
context: I didn't dare to linger, so I left the room.\You must watch her very closely day and night.\Report back to me often.\Yes, Your Highness.\Xin Nu, don't you think\that this high god has little regard for the Celestial Tribe's rules?\The last time she was here she only stayed in Xiwu Palace.\Not once did she visit the Heavenly Lord, Eldest Prince, and Consort Le Xu. response:	Then she just left.
context: You must watch her very closely day and night.\Report back to me often.\Yes, Your Highness.\Xin Nu, don't you think\that this high god has little regard for the Celestial Tribe's rules?\The last time she was here she only stayed in Xiwu Palace.\Not once did she visit the Heavenly Lord, Eldest Prince, and Consort Le Xu.\Then she just left. response:	This time, she just showed up.
context: Report back to me often.\Yes, Your Highness.\Xin Nu, don't you think\that this high god has little regard for the Celestial Tribe's rules?\The last time she was here she only stayed in Xiwu Palace.\Not once did she visit the Heavenly Lord, Eldest Prince, and Consort Le Xu.\Then she just left.\This time, she just showed up. response:	Your Highness, I think that she looks down on you.
context: Yes, Your Highness.\Xin Nu, don't you think\that this high god has little regard for the Celestial Tribe's rules?\The last time she was here she only stayed in Xiwu Palace.\Not once did she visit the Heavenly Lord, Eldest Prince, and Consort Le Xu.\Then she just left.\This time, she just showed up.\Your Highness, I think that she looks down on you. response:	Yes, she does belittle me.
context: Xin Nu, don't you think\that this high god has little regard for the Celestial Tribe's rules?\The last time she was here she only stayed in Xiwu Palace.\Not once did she visit the Heavenly Lord, Eldest Prince, and Consort Le Xu.\Then she just left.\This time, she just showed up.\Your Highness, I think that she looks down on you.\Yes, she does belittle me. response:	When she preached to me the other day
context: that this high god has little regard for the Celestial Tribe's rules?\The last time she was here she only stayed in Xiwu Palace.\Not once did she visit the Heavenly Lord, Eldest Prince, and Consort Le Xu.\Then she just left.\This time, she just showed up.\Your Highness, I think that she looks down on you.\Yes, she does belittle me.\When she preached to me the other day response:	didn't she say that as High God Bai Qian of Qing Qiu
context: The last time she was here she only stayed in Xiwu Palace.\Not once did she visit the Heavenly Lord, Eldest Prince, and Consort Le Xu.\Then she just left.\This time, she just showed up.\Your Highness, I think that she looks down on you.\Yes, she does belittle me.\When she preached to me the other day\didn't she say that as High God Bai Qian of Qing Qiu response:	even the Crown Prince should greet her as a superior in seniority?
context: Not once did she visit the Heavenly Lord, Eldest Prince, and Consort Le Xu.\Then she just left.\This time, she just showed up.\Your Highness, I think that she looks down on you.\Yes, she does belittle me.\When she preached to me the other day\didn't she say that as High God Bai Qian of Qing Qiu\even the Crown Prince should greet her as a superior in seniority? response:	How could she say that?
context: Then she just left.\This time, she just showed up.\Your Highness, I think that she looks down on you.\Yes, she does belittle me.\When she preached to me the other day\didn't she say that as High God Bai Qian of Qing Qiu\even the Crown Prince should greet her as a superior in seniority?\How could she say that? response:	If the Crown Prince is beneath her, why would a side consort like me matter?
context: This time, she just showed up.\Your Highness, I think that she looks down on you.\Yes, she does belittle me.\When she preached to me the other day\didn't she say that as High God Bai Qian of Qing Qiu\even the Crown Prince should greet her as a superior in seniority?\How could she say that?\If the Crown Prince is beneath her, why would a side consort like me matter? response:	What should we do?
context: Your Highness, I think that she looks down on you.\Yes, she does belittle me.\When she preached to me the other day\didn't she say that as High God Bai Qian of Qing Qiu\even the Crown Prince should greet her as a superior in seniority?\How could she say that?\If the Crown Prince is beneath her, why would a side consort like me matter?\What should we do? response:	She hasn't even married His Highness yet and she already belittles you so.
context: Yes, she does belittle me.\When she preached to me the other day\didn't she say that as High God Bai Qian of Qing Qiu\even the Crown Prince should greet her as a superior in seniority?\How could she say that?\If the Crown Prince is beneath her, why would a side consort like me matter?\What should we do?\She hasn't even married His Highness yet and she already belittles you so. response:	Won't Your Highness have a hard time after she marries into the palace?
context: When she preached to me the other day\didn't she say that as High God Bai Qian of Qing Qiu\even the Crown Prince should greet her as a superior in seniority?\How could she say that?\If the Crown Prince is beneath her, why would a side consort like me matter?\What should we do?\She hasn't even married His Highness yet and she already belittles you so.\Won't Your Highness have a hard time after she marries into the palace? response:	Ever since she came here I've tackled her openly and underhandedly
context: didn't she say that as High God Bai Qian of Qing Qiu\even the Crown Prince should greet her as a superior in seniority?\How could she say that?\If the Crown Prince is beneath her, why would a side consort like me matter?\What should we do?\She hasn't even married His Highness yet and she already belittles you so.\Won't Your Highness have a hard time after she marries into the palace?\Ever since she came here I've tackled her openly and underhandedly response:	but she's had me at a disadvantage.
context: even the Crown Prince should greet her as a superior in seniority?\How could she say that?\If the Crown Prince is beneath her, why would a side consort like me matter?\What should we do?\She hasn't even married His Highness yet and she already belittles you so.\Won't Your Highness have a hard time after she marries into the palace?\Ever since she came here I've tackled her openly and underhandedly\but she's had me at a disadvantage. response:	Be it sending you to Qing Qiu to question her decency
context: How could she say that?\If the Crown Prince is beneath her, why would a side consort like me matter?\What should we do?\She hasn't even married His Highness yet and she already belittles you so.\Won't Your Highness have a hard time after she marries into the palace?\Ever since she came here I've tackled her openly and underhandedly\but she's had me at a disadvantage.\Be it sending you to Qing Qiu to question her decency response:	or getting Yuan Zhen drunk, or sending Miao Qing to seduce His Highness
context: If the Crown Prince is beneath her, why would a side consort like me matter?\What should we do?\She hasn't even married His Highness yet and she already belittles you so.\Won't Your Highness have a hard time after she marries into the palace?\Ever since she came here I've tackled her openly and underhandedly\but she's had me at a disadvantage.\Be it sending you to Qing Qiu to question her decency\or getting Yuan Zhen drunk, or sending Miao Qing to seduce His Highness response:	none of that put her at a disadvantage.
context: What should we do?\She hasn't even married His Highness yet and she already belittles you so.\Won't Your Highness have a hard time after she marries into the palace?\Ever since she came here I've tackled her openly and underhandedly\but she's had me at a disadvantage.\Be it sending you to Qing Qiu to question her decency\or getting Yuan Zhen drunk, or sending Miao Qing to seduce His Highness\none of that put her at a disadvantage. response:	I didn't even succeed in driving a wedge between her and the Crown Prince.
context: She hasn't even married His Highness yet and she already belittles you so.\Won't Your Highness have a hard time after she marries into the palace?\Ever since she came here I've tackled her openly and underhandedly\but she's had me at a disadvantage.\Be it sending you to Qing Qiu to question her decency\or getting Yuan Zhen drunk, or sending Miao Qing to seduce His Highness\none of that put her at a disadvantage.\I didn't even succeed in driving a wedge between her and the Crown Prince. response:	She's really hard to tackle.
context: Won't Your Highness have a hard time after she marries into the palace?\Ever since she came here I've tackled her openly and underhandedly\but she's had me at a disadvantage.\Be it sending you to Qing Qiu to question her decency\or getting Yuan Zhen drunk, or sending Miao Qing to seduce His Highness\none of that put her at a disadvantage.\I didn't even succeed in driving a wedge between her and the Crown Prince.\She's really hard to tackle. response:	However, I've discovered her ultimate weakness.
context: Ever since she came here I've tackled her openly and underhandedly\but she's had me at a disadvantage.\Be it sending you to Qing Qiu to question her decency\or getting Yuan Zhen drunk, or sending Miao Qing to seduce His Highness\none of that put her at a disadvantage.\I didn't even succeed in driving a wedge between her and the Crown Prince.\She's really hard to tackle.\However, I've discovered her ultimate weakness. response:	What has Your Highness discovered?
context: but she's had me at a disadvantage.\Be it sending you to Qing Qiu to question her decency\or getting Yuan Zhen drunk, or sending Miao Qing to seduce His Highness\none of that put her at a disadvantage.\I didn't even succeed in driving a wedge between her and the Crown Prince.\She's really hard to tackle.\However, I've discovered her ultimate weakness.\What has Your Highness discovered? response:	She and I share the same weakness.
context: Be it sending you to Qing Qiu to question her decency\or getting Yuan Zhen drunk, or sending Miao Qing to seduce His Highness\none of that put her at a disadvantage.\I didn't even succeed in driving a wedge between her and the Crown Prince.\She's really hard to tackle.\However, I've discovered her ultimate weakness.\What has Your Highness discovered?\She and I share the same weakness. response:	We're both truly in love with the Crown Prince.
context: or getting Yuan Zhen drunk, or sending Miao Qing to seduce His Highness\none of that put her at a disadvantage.\I didn't even succeed in driving a wedge between her and the Crown Prince.\She's really hard to tackle.\However, I've discovered her ultimate weakness.\What has Your Highness discovered?\She and I share the same weakness.\We're both truly in love with the Crown Prince. response:	My weakness will be her weakness.
context: none of that put her at a disadvantage.\I didn't even succeed in driving a wedge between her and the Crown Prince.\She's really hard to tackle.\However, I've discovered her ultimate weakness.\What has Your Highness discovered?\She and I share the same weakness.\We're both truly in love with the Crown Prince.\My weakness will be her weakness. response:	When I get the chance I'll talk to her about Su Su.
context: I didn't even succeed in driving a wedge between her and the Crown Prince.\She's really hard to tackle.\However, I've discovered her ultimate weakness.\What has Your Highness discovered?\She and I share the same weakness.\We're both truly in love with the Crown Prince.\My weakness will be her weakness.\When I get the chance I'll talk to her about Su Su. response:	You're awake?
context: She's really hard to tackle.\However, I've discovered her ultimate weakness.\What has Your Highness discovered?\She and I share the same weakness.\We're both truly in love with the Crown Prince.\My weakness will be her weakness.\When I get the chance I'll talk to her about Su Su.\You're awake? response:	Did you sleep well?
context: However, I've discovered her ultimate weakness.\What has Your Highness discovered?\She and I share the same weakness.\We're both truly in love with the Crown Prince.\My weakness will be her weakness.\When I get the chance I'll talk to her about Su Su.\You're awake?\Did you sleep well? response:	I definitely slept well with you by my side.
context: What has Your Highness discovered?\She and I share the same weakness.\We're both truly in love with the Crown Prince.\My weakness will be her weakness.\When I get the chance I'll talk to her about Su Su.\You're awake?\Did you sleep well?\I definitely slept well with you by my side. response:	What about you?
context: She and I share the same weakness.\We're both truly in love with the Crown Prince.\My weakness will be her weakness.\When I get the chance I'll talk to her about Su Su.\You're awake?\Did you sleep well?\I definitely slept well with you by my side.\What about you? response:	I miss Riceball.
context: We're both truly in love with the Crown Prince.\My weakness will be her weakness.\When I get the chance I'll talk to her about Su Su.\You're awake?\Did you sleep well?\I definitely slept well with you by my side.\What about you?\I miss Riceball. response:	There's an assembly at Sacred Mountain.
context: My weakness will be her weakness.\When I get the chance I'll talk to her about Su Su.\You're awake?\Did you sleep well?\I definitely slept well with you by my side.\What about you?\I miss Riceball.\There's an assembly at Sacred Mountain. response:	The Lord of Numinous Treasures is at the assembly as a speaker.
context: When I get the chance I'll talk to her about Su Su.\You're awake?\Did you sleep well?\I definitely slept well with you by my side.\What about you?\I miss Riceball.\There's an assembly at Sacred Mountain.\The Lord of Numinous Treasures is at the assembly as a speaker. response:	Cheng Yu has taken A-Li there for some fun.
context: You're awake?\Did you sleep well?\I definitely slept well with you by my side.\What about you?\I miss Riceball.\There's an assembly at Sacred Mountain.\The Lord of Numinous Treasures is at the assembly as a speaker.\Cheng Yu has taken A-Li there for some fun. response:	I've sent Jia Yun to fetch him.
context: Did you sleep well?\I definitely slept well with you by my side.\What about you?\I miss Riceball.\There's an assembly at Sacred Mountain.\The Lord of Numinous Treasures is at the assembly as a speaker.\Cheng Yu has taken A-Li there for some fun.\I've sent Jia Yun to fetch him. response:	He should be back tomorrow.
context: I definitely slept well with you by my side.\What about you?\I miss Riceball.\There's an assembly at Sacred Mountain.\The Lord of Numinous Treasures is at the assembly as a speaker.\Cheng Yu has taken A-Li there for some fun.\I've sent Jia Yun to fetch him.\He should be back tomorrow. response:	Riceball is still so young.
context: What about you?\I miss Riceball.\There's an assembly at Sacred Mountain.\The Lord of Numinous Treasures is at the assembly as a speaker.\Cheng Yu has taken A-Li there for some fun.\I've sent Jia Yun to fetch him.\He should be back tomorrow.\Riceball is still so young. response:	Aren't you afraid that he'll be bored?
context: I miss Riceball.\There's an assembly at Sacred Mountain.\The Lord of Numinous Treasures is at the assembly as a speaker.\Cheng Yu has taken A-Li there for some fun.\I've sent Jia Yun to fetch him.\He should be back tomorrow.\Riceball is still so young.\Aren't you afraid that he'll be bored? response:	A-Li only went there for the sugar cane.
context: There's an assembly at Sacred Mountain.\The Lord of Numinous Treasures is at the assembly as a speaker.\Cheng Yu has taken A-Li there for some fun.\I've sent Jia Yun to fetch him.\He should be back tomorrow.\Riceball is still so young.\Aren't you afraid that he'll be bored?\A-Li only went there for the sugar cane. response:	Besides, Cheng Yu is there with him.
context: The Lord of Numinous Treasures is at the assembly as a speaker.\Cheng Yu has taken A-Li there for some fun.\I've sent Jia Yun to fetch him.\He should be back tomorrow.\Riceball is still so young.\Aren't you afraid that he'll be bored?\A-Li only went there for the sugar cane.\Besides, Cheng Yu is there with him. response:	Do you think that he'll be bored?
context: Cheng Yu has taken A-Li there for some fun.\I've sent Jia Yun to fetch him.\He should be back tomorrow.\Riceball is still so young.\Aren't you afraid that he'll be bored?\A-Li only went there for the sugar cane.\Besides, Cheng Yu is there with him.\Do you think that he'll be bored? response:	As A-Li's father, you've really impressed me.
context: I've sent Jia Yun to fetch him.\He should be back tomorrow.\Riceball is still so young.\Aren't you afraid that he'll be bored?\A-Li only went there for the sugar cane.\Besides, Cheng Yu is there with him.\Do you think that he'll be bored?\As A-Li's father, you've really impressed me. response:	Why would you say that?
