context: I got a boyfriend recently. response:	Naoya is way too proper, and he can be a bit weird,
context: You mean about me dating two people?\Obviously.\Then what about Minase-san and us?\We'll be strangers.\N-No way!\I can't leave her to be by herself after she missed so much school!\We haven't done anything wrong!\It's bad for our reputation! response:	You understand, right, Nagisa-chan?
context: Obviously.\Then what about Minase-san and us?\We'll be strangers.\N-No way!\I can't leave her to be by herself after she missed so much school!\We haven't done anything wrong!\It's bad for our reputation!\You understand, right, Nagisa-chan? response:	Yes.
context: Then what about Minase-san and us?\We'll be strangers.\N-No way!\I can't leave her to be by herself after she missed so much school!\We haven't done anything wrong!\It's bad for our reputation!\You understand, right, Nagisa-chan?\Yes. response:	Are you sure, Minase-san?
context: We'll be strangers.\N-No way!\I can't leave her to be by herself after she missed so much school!\We haven't done anything wrong!\It's bad for our reputation!\You understand, right, Nagisa-chan?\Yes.\Are you sure, Minase-san? response:	I haven't been to school for a while,
context: N-No way!\I can't leave her to be by herself after she missed so much school!\We haven't done anything wrong!\It's bad for our reputation!\You understand, right, Nagisa-chan?\Yes.\Are you sure, Minase-san?\I haven't been to school for a while, response:	so I don't have any friends to tell, anyway.
context: I can't leave her to be by herself after she missed so much school!\We haven't done anything wrong!\It's bad for our reputation!\You understand, right, Nagisa-chan?\Yes.\Are you sure, Minase-san?\I haven't been to school for a while,\so I don't have any friends to tell, anyway. response:	That's so sad.
context: We haven't done anything wrong!\It's bad for our reputation!\You understand, right, Nagisa-chan?\Yes.\Are you sure, Minase-san?\I haven't been to school for a while,\so I don't have any friends to tell, anyway.\That's so sad. response:	A-Anyway, if you want to keep dating both of us, you have to keep it a secret.
context: It's bad for our reputation!\You understand, right, Nagisa-chan?\Yes.\Are you sure, Minase-san?\I haven't been to school for a while,\so I don't have any friends to tell, anyway.\That's so sad.\A-Anyway, if you want to keep dating both of us, you have to keep it a secret. response:	R-Right.
context: You understand, right, Nagisa-chan?\Yes.\Are you sure, Minase-san?\I haven't been to school for a while,\so I don't have any friends to tell, anyway.\That's so sad.\A-Anyway, if you want to keep dating both of us, you have to keep it a secret.\R-Right. response:	Who's she, again?
context: Yes.\Are you sure, Minase-san?\I haven't been to school for a while,\so I don't have any friends to tell, anyway.\That's so sad.\A-Anyway, if you want to keep dating both of us, you have to keep it a secret.\R-Right.\Who's she, again? response:	She's so cute.
context: Are you sure, Minase-san?\I haven't been to school for a while,\so I don't have any friends to tell, anyway.\That's so sad.\A-Anyway, if you want to keep dating both of us, you have to keep it a secret.\R-Right.\Who's she, again?\She's so cute. response:	Have you seen her before?
context: I haven't been to school for a while,\so I don't have any friends to tell, anyway.\That's so sad.\A-Anyway, if you want to keep dating both of us, you have to keep it a secret.\R-Right.\Who's she, again?\She's so cute.\Have you seen her before? response:	Hey, do you recognize her at all?
context: so I don't have any friends to tell, anyway.\That's so sad.\A-Anyway, if you want to keep dating both of us, you have to keep it a secret.\R-Right.\Who's she, again?\She's so cute.\Have you seen her before?\Hey, do you recognize her at all? response:	She's been out of school all this time, right?
context: That's so sad.\A-Anyway, if you want to keep dating both of us, you have to keep it a secret.\R-Right.\Who's she, again?\She's so cute.\Have you seen her before?\Hey, do you recognize her at all?\She's been out of school all this time, right? response:	I wonder what happened.
context: A-Anyway, if you want to keep dating both of us, you have to keep it a secret.\R-Right.\Who's she, again?\She's so cute.\Have you seen her before?\Hey, do you recognize her at all?\She's been out of school all this time, right?\I wonder what happened. response:	Did the teacher say anything?
context: R-Right.\Who's she, again?\She's so cute.\Have you seen her before?\Hey, do you recognize her at all?\She's been out of school all this time, right?\I wonder what happened.\Did the teacher say anything? response:	I mean, I feel bad for Nagisa-chan.
context: Who's she, again?\She's so cute.\Have you seen her before?\Hey, do you recognize her at all?\She's been out of school all this time, right?\I wonder what happened.\Did the teacher say anything?\I mean, I feel bad for Nagisa-chan. response:	But everyone already knows I'm in a relationship with Naoya.
context: She's so cute.\Have you seen her before?\Hey, do you recognize her at all?\She's been out of school all this time, right?\I wonder what happened.\Did the teacher say anything?\I mean, I feel bad for Nagisa-chan.\But everyone already knows I'm in a relationship with Naoya. response:	I can't tell them he's seeing her, too!
context: Have you seen her before?\Hey, do you recognize her at all?\She's been out of school all this time, right?\I wonder what happened.\Did the teacher say anything?\I mean, I feel bad for Nagisa-chan.\But everyone already knows I'm in a relationship with Naoya.\I can't tell them he's seeing her, too! response:	This is bad.
context: Hey, do you recognize her at all?\She's been out of school all this time, right?\I wonder what happened.\Did the teacher say anything?\I mean, I feel bad for Nagisa-chan.\But everyone already knows I'm in a relationship with Naoya.\I can't tell them he's seeing her, too!\This is bad. response:	No one's talking to Minase-san.
context: She's been out of school all this time, right?\I wonder what happened.\Did the teacher say anything?\I mean, I feel bad for Nagisa-chan.\But everyone already knows I'm in a relationship with Naoya.\I can't tell them he's seeing her, too!\This is bad.\No one's talking to Minase-san. response:	She's going to be a loner forever.
context: I wonder what happened.\Did the teacher say anything?\I mean, I feel bad for Nagisa-chan.\But everyone already knows I'm in a relationship with Naoya.\I can't tell them he's seeing her, too!\This is bad.\No one's talking to Minase-san.\She's going to be a loner forever. response:	All right...
context: Did the teacher say anything?\I mean, I feel bad for Nagisa-chan.\But everyone already knows I'm in a relationship with Naoya.\I can't tell them he's seeing her, too!\This is bad.\No one's talking to Minase-san.\She's going to be a loner forever.\All right... response:	Hey!
context: I mean, I feel bad for Nagisa-chan.\But everyone already knows I'm in a relationship with Naoya.\I can't tell them he's seeing her, too!\This is bad.\No one's talking to Minase-san.\She's going to be a loner forever.\All right...\Hey! response:	I have to take care of this.
context: But everyone already knows I'm in a relationship with Naoya.\I can't tell them he's seeing her, too!\This is bad.\No one's talking to Minase-san.\She's going to be a loner forever.\All right...\Hey!\I have to take care of this. response:	U-Um...
context: I can't tell them he's seeing her, too!\This is bad.\No one's talking to Minase-san.\She's going to be a loner forever.\All right...\Hey!\I have to take care of this.\U-Um... response:	Naoya-kun!
context: This is bad.\No one's talking to Minase-san.\She's going to be a loner forever.\All right...\Hey!\I have to take care of this.\U-Um...\Naoya-kun! response:	N-Nice to meet you.
context: No one's talking to Minase-san.\She's going to be a loner forever.\All right...\Hey!\I have to take care of this.\U-Um...\Naoya-kun!\N-Nice to meet you. response:	I'm Mukai Naoya.
context: She's going to be a loner forever.\All right...\Hey!\I have to take care of this.\U-Um...\Naoya-kun!\N-Nice to meet you.\I'm Mukai Naoya. response:	N-Nice to meet you, right.
context: All right...\Hey!\I have to take care of this.\U-Um...\Naoya-kun!\N-Nice to meet you.\I'm Mukai Naoya.\N-Nice to meet you, right. response:	I'm Minase.
context: Hey!\I have to take care of this.\U-Um...\Naoya-kun!\N-Nice to meet you.\I'm Mukai Naoya.\N-Nice to meet you, right.\I'm Minase. response:	Such a lonesome face...
context: I have to take care of this.\U-Um...\Naoya-kun!\N-Nice to meet you.\I'm Mukai Naoya.\N-Nice to meet you, right.\I'm Minase.\Such a lonesome face... response:	Naoya?
context: U-Um...\Naoya-kun!\N-Nice to meet you.\I'm Mukai Naoya.\N-Nice to meet you, right.\I'm Minase.\Such a lonesome face...\Naoya? response:	I can't.
context: Naoya-kun!\N-Nice to meet you.\I'm Mukai Naoya.\N-Nice to meet you, right.\I'm Minase.\Such a lonesome face...\Naoya?\I can't. response:	I can't keep lying like this!
context: N-Nice to meet you.\I'm Mukai Naoya.\N-Nice to meet you, right.\I'm Minase.\Such a lonesome face...\Naoya?\I can't.\I can't keep lying like this! response:	I'm...
context: I'm Mukai Naoya.\N-Nice to meet you, right.\I'm Minase.\Such a lonesome face...\Naoya?\I can't.\I can't keep lying like this!\I'm... response:	dating Minase-san and Saki
context: N-Nice to meet you, right.\I'm Minase.\Such a lonesome face...\Naoya?\I can't.\I can't keep lying like this!\I'm...\dating Minase-san and Saki response:	Wh-What were you about to say?
context: I'm Minase.\Such a lonesome face...\Naoya?\I can't.\I can't keep lying like this!\I'm...\dating Minase-san and Saki\Wh-What were you about to say? response:	D-Don't stop me.
context: Such a lonesome face...\Naoya?\I can't.\I can't keep lying like this!\I'm...\dating Minase-san and Saki\Wh-What were you about to say?\D-Don't stop me. response:	This lie is only going to hurt Minase-san!
context: Naoya?\I can't.\I can't keep lying like this!\I'm...\dating Minase-san and Saki\Wh-What were you about to say?\D-Don't stop me.\This lie is only going to hurt Minase-san! response:	We and Minase-san are...
context: I can't.\I can't keep lying like this!\I'm...\dating Minase-san and Saki\Wh-What were you about to say?\D-Don't stop me.\This lie is only going to hurt Minase-san!\We and Minase-san are... response:	Who is she?!
context: I can't keep lying like this!\I'm...\dating Minase-san and Saki\Wh-What were you about to say?\D-Don't stop me.\This lie is only going to hurt Minase-san!\We and Minase-san are...\Who is she?! response:	We aren't strangers!
context: I'm...\dating Minase-san and Saki\Wh-What were you about to say?\D-Don't stop me.\This lie is only going to hurt Minase-san!\We and Minase-san are...\Who is she?!\We aren't strangers! response:	We live to
context: dating Minase-san and Saki\Wh-What were you about to say?\D-Don't stop me.\This lie is only going to hurt Minase-san!\We and Minase-san are...\Who is she?!\We aren't strangers!\We live to response:	I told you to keep it a secret!
context: Wh-What were you about to say?\D-Don't stop me.\This lie is only going to hurt Minase-san!\We and Minase-san are...\Who is she?!\We aren't strangers!\We live to\I told you to keep it a secret! response:	B-But...
context: D-Don't stop me.\This lie is only going to hurt Minase-san!\We and Minase-san are...\Who is she?!\We aren't strangers!\We live to\I told you to keep it a secret!\B-But... response:	I don't want her to look so sad.
context: This lie is only going to hurt Minase-san!\We and Minase-san are...\Who is she?!\We aren't strangers!\We live to\I told you to keep it a secret!\B-But...\I don't want her to look so sad. response:	I-I mean, I get it, but...
context: We and Minase-san are...\Who is she?!\We aren't strangers!\We live to\I told you to keep it a secret!\B-But...\I don't want her to look so sad.\I-I mean, I get it, but... response:	I can't have everyone finding out you're dating another girl.
context: Who is she?!\We aren't strangers!\We live to\I told you to keep it a secret!\B-But...\I don't want her to look so sad.\I-I mean, I get it, but...\I can't have everyone finding out you're dating another girl. response:	People are going to think you don't care about me.
context: We aren't strangers!\We live to\I told you to keep it a secret!\B-But...\I don't want her to look so sad.\I-I mean, I get it, but...\I can't have everyone finding out you're dating another girl.\People are going to think you don't care about me. response:	I don't want that!
context: We live to\I told you to keep it a secret!\B-But...\I don't want her to look so sad.\I-I mean, I get it, but...\I can't have everyone finding out you're dating another girl.\People are going to think you don't care about me.\I don't want that! response:	S-Saki-chan...
context: I told you to keep it a secret!\B-But...\I don't want her to look so sad.\I-I mean, I get it, but...\I can't have everyone finding out you're dating another girl.\People are going to think you don't care about me.\I don't want that!\S-Saki-chan... response:	I still love you, Saki-chan.
context: B-But...\I don't want her to look so sad.\I-I mean, I get it, but...\I can't have everyone finding out you're dating another girl.\People are going to think you don't care about me.\I don't want that!\S-Saki-chan...\I still love you, Saki-chan. response:	So...
context: I don't want her to look so sad.\I-I mean, I get it, but...\I can't have everyone finding out you're dating another girl.\People are going to think you don't care about me.\I don't want that!\S-Saki-chan...\I still love you, Saki-chan.\So... response:	People will understand if I explain!
context: I-I mean, I get it, but...\I can't have everyone finding out you're dating another girl.\People are going to think you don't care about me.\I don't want that!\S-Saki-chan...\I still love you, Saki-chan.\So...\People will understand if I explain! response:	Die.
context: I can't have everyone finding out you're dating another girl.\People are going to think you don't care about me.\I don't want that!\S-Saki-chan...\I still love you, Saki-chan.\So...\People will understand if I explain!\Die. response:	I-I'm...
context: People are going to think you don't care about me.\I don't want that!\S-Saki-chan...\I still love you, Saki-chan.\So...\People will understand if I explain!\Die.\I-I'm... response:	I'll be okay.
context: I don't want that!\S-Saki-chan...\I still love you, Saki-chan.\So...\People will understand if I explain!\Die.\I-I'm...\I'll be okay. response:	Minase-san...
context: S-Saki-chan...\I still love you, Saki-chan.\So...\People will understand if I explain!\Die.\I-I'm...\I'll be okay.\Minase-san... response:	I'm more than happy enough just being able to be with you at home.
context: I still love you, Saki-chan.\So...\People will understand if I explain!\Die.\I-I'm...\I'll be okay.\Minase-san...\I'm more than happy enough just being able to be with you at home. response:	So please don't fight.
context: So...\People will understand if I explain!\Die.\I-I'm...\I'll be okay.\Minase-san...\I'm more than happy enough just being able to be with you at home.\So please don't fight. response:	Nagisa-chan...
context: People will understand if I explain!\Die.\I-I'm...\I'll be okay.\Minase-san...\I'm more than happy enough just being able to be with you at home.\So please don't fight.\Nagisa-chan... response:	But actually... I want to apologize for one thing.
context: Die.\I-I'm...\I'll be okay.\Minase-san...\I'm more than happy enough just being able to be with you at home.\So please don't fight.\Nagisa-chan...\But actually... I want to apologize for one thing. response:	I woke up early and made lunch for the three of us.
context: I-I'm...\I'll be okay.\Minase-san...\I'm more than happy enough just being able to be with you at home.\So please don't fight.\Nagisa-chan...\But actually... I want to apologize for one thing.\I woke up early and made lunch for the three of us. response:	Come to think of it, I obviously wouldn't have been able to eat with you.
context: I'll be okay.\Minase-san...\I'm more than happy enough just being able to be with you at home.\So please don't fight.\Nagisa-chan...\But actually... I want to apologize for one thing.\I woke up early and made lunch for the three of us.\Come to think of it, I obviously wouldn't have been able to eat with you. response:	I'm so stupid.
context: Minase-san...\I'm more than happy enough just being able to be with you at home.\So please don't fight.\Nagisa-chan...\But actually... I want to apologize for one thing.\I woke up early and made lunch for the three of us.\Come to think of it, I obviously wouldn't have been able to eat with you.\I'm so stupid. response:	You two have it together later.
context: I'm more than happy enough just being able to be with you at home.\So please don't fight.\Nagisa-chan...\But actually... I want to apologize for one thing.\I woke up early and made lunch for the three of us.\Come to think of it, I obviously wouldn't have been able to eat with you.\I'm so stupid.\You two have it together later. response:	I'd appreciate your feedback once we get home.
context: So please don't fight.\Nagisa-chan...\But actually... I want to apologize for one thing.\I woke up early and made lunch for the three of us.\Come to think of it, I obviously wouldn't have been able to eat with you.\I'm so stupid.\You two have it together later.\I'd appreciate your feedback once we get home. response:	I'll eat alone in the restroom so people don't find out we're having the same lunch.
context: Nagisa-chan...\But actually... I want to apologize for one thing.\I woke up early and made lunch for the three of us.\Come to think of it, I obviously wouldn't have been able to eat with you.\I'm so stupid.\You two have it together later.\I'd appreciate your feedback once we get home.\I'll eat alone in the restroom so people don't find out we're having the same lunch. response:	Nagisa-chan!
context: But actually... I want to apologize for one thing.\I woke up early and made lunch for the three of us.\Come to think of it, I obviously wouldn't have been able to eat with you.\I'm so stupid.\You two have it together later.\I'd appreciate your feedback once we get home.\I'll eat alone in the restroom so people don't find out we're having the same lunch.\Nagisa-chan! response:	Minase-san!
context: I woke up early and made lunch for the three of us.\Come to think of it, I obviously wouldn't have been able to eat with you.\I'm so stupid.\You two have it together later.\I'd appreciate your feedback once we get home.\I'll eat alone in the restroom so people don't find out we're having the same lunch.\Nagisa-chan!\Minase-san! response:	I've been so selfish.
context: Come to think of it, I obviously wouldn't have been able to eat with you.\I'm so stupid.\You two have it together later.\I'd appreciate your feedback once we get home.\I'll eat alone in the restroom so people don't find out we're having the same lunch.\Nagisa-chan!\Minase-san!\I've been so selfish. response:	I'm sorry for pretending we're strangers!
context: I'm so stupid.\You two have it together later.\I'd appreciate your feedback once we get home.\I'll eat alone in the restroom so people don't find out we're having the same lunch.\Nagisa-chan!\Minase-san!\I've been so selfish.\I'm sorry for pretending we're strangers! response:	Saki-san...
context: You two have it together later.\I'd appreciate your feedback once we get home.\I'll eat alone in the restroom so people don't find out we're having the same lunch.\Nagisa-chan!\Minase-san!\I've been so selfish.\I'm sorry for pretending we're strangers!\Saki-san... response:	Can I tell people about us, then?
context: I'd appreciate your feedback once we get home.\I'll eat alone in the restroom so people don't find out we're having the same lunch.\Nagisa-chan!\Minase-san!\I've been so selfish.\I'm sorry for pretending we're strangers!\Saki-san...\Can I tell people about us, then? response:	W-Well...
context: I'll eat alone in the restroom so people don't find out we're having the same lunch.\Nagisa-chan!\Minase-san!\I've been so selfish.\I'm sorry for pretending we're strangers!\Saki-san...\Can I tell people about us, then?\W-Well... response:	Girlfriend, Girlfriend
context: Nagisa-chan!\Minase-san!\I've been so selfish.\I'm sorry for pretending we're strangers!\Saki-san...\Can I tell people about us, then?\W-Well...\Girlfriend, Girlfriend response:	Let's hang out in secret at school.
context: Minase-san!\I've been so selfish.\I'm sorry for pretending we're strangers!\Saki-san...\Can I tell people about us, then?\W-Well...\Girlfriend, Girlfriend\Let's hang out in secret at school. response:	Saki-chan...
context: I've been so selfish.\I'm sorry for pretending we're strangers!\Saki-san...\Can I tell people about us, then?\W-Well...\Girlfriend, Girlfriend\Let's hang out in secret at school.\Saki-chan... response:	Shut up!
context: I'm sorry for pretending we're strangers!\Saki-san...\Can I tell people about us, then?\W-Well...\Girlfriend, Girlfriend\Let's hang out in secret at school.\Saki-chan...\Shut up! response:	I appreciate the sentiment.
context: Saki-san...\Can I tell people about us, then?\W-Well...\Girlfriend, Girlfriend\Let's hang out in secret at school.\Saki-chan...\Shut up!\I appreciate the sentiment. response:	Preview
context: Can I tell people about us, then?\W-Well...\Girlfriend, Girlfriend\Let's hang out in secret at school.\Saki-chan...\Shut up!\I appreciate the sentiment.\Preview response:	Episode 3
context: W-Well...\Girlfriend, Girlfriend\Let's hang out in secret at school.\Saki-chan...\Shut up!\I appreciate the sentiment.\Preview\Episode 3 response:	A Place for Three
context: Girlfriend, Girlfriend\Let's hang out in secret at school.\Saki-chan...\Shut up!\I appreciate the sentiment.\Preview\Episode 3\A Place for Three response:	A Girlfriend's Two Choices!
context: Let's hang out in secret at school.\Saki-chan...\Shut up!\I appreciate the sentiment.\Preview\Episode 3\A Place for Three\A Girlfriend's Two Choices! response:	Are you a dog person or cat person?
context: Saki-chan...\Shut up!\I appreciate the sentiment.\Preview\Episode 3\A Place for Three\A Girlfriend's Two Choices!\Are you a dog person or cat person? response:	Dogs for sure! They're so cute!
context: Shut up!\I appreciate the sentiment.\Preview\Episode 3\A Place for Three\A Girlfriend's Two Choices!\Are you a dog person or cat person?\Dogs for sure! They're so cute! response:	Dogs for me, too.
context: I appreciate the sentiment.\Preview\Episode 3\A Place for Three\A Girlfriend's Two Choices!\Are you a dog person or cat person?\Dogs for sure! They're so cute!\Dogs for me, too. response:	It's probably good for your health if you walk them every day.
context: Preview\Episode 3\A Place for Three\A Girlfriend's Two Choices!\Are you a dog person or cat person?\Dogs for sure! They're so cute!\Dogs for me, too.\It's probably good for your health if you walk them every day. response:	That's your reason?
context: Episode 3\A Place for Three\A Girlfriend's Two Choices!\Are you a dog person or cat person?\Dogs for sure! They're so cute!\Dogs for me, too.\It's probably good for your health if you walk them every day.\That's your reason? response:	Huh? Is that weird?
context: A Place for Three\A Girlfriend's Two Choices!\Are you a dog person or cat person?\Dogs for sure! They're so cute!\Dogs for me, too.\It's probably good for your health if you walk them every day.\That's your reason?\Huh? Is that weird? response:	I like that you're unique, too.
context: A Girlfriend's Two Choices!\Are you a dog person or cat person?\Dogs for sure! They're so cute!\Dogs for me, too.\It's probably good for your health if you walk them every day.\That's your reason?\Huh? Is that weird?\I like that you're unique, too. response:	Damn it! Too cute!
