context: What's that? response:	Is this for some kind of advertising campaign?
context: Again?\Oh! Kana-chan?!\Desktomu-kun!\I won't let you run away, Desktomu-kun!\Why did you loosen your obi?\I'll fix it for you, so stand up straight!\Have you noticed?\Huh? response:	Look at everyone's feet.
context: Oh! Kana-chan?!\Desktomu-kun!\I won't let you run away, Desktomu-kun!\Why did you loosen your obi?\I'll fix it for you, so stand up straight!\Have you noticed?\Huh?\Look at everyone's feet. response:	They all have calluses.
context: Desktomu-kun!\I won't let you run away, Desktomu-kun!\Why did you loosen your obi?\I'll fix it for you, so stand up straight!\Have you noticed?\Huh?\Look at everyone's feet.\They all have calluses. response:	Because they've been kneeling on tatami mats for many years.
context: I won't let you run away, Desktomu-kun!\Why did you loosen your obi?\I'll fix it for you, so stand up straight!\Have you noticed?\Huh?\Look at everyone's feet.\They all have calluses.\Because they've been kneeling on tatami mats for many years. response:	It only makes sense that we can't beat them.
context: Why did you loosen your obi?\I'll fix it for you, so stand up straight!\Have you noticed?\Huh?\Look at everyone's feet.\They all have calluses.\Because they've been kneeling on tatami mats for many years.\It only makes sense that we can't beat them. response:	We'll have to keep practicing until we also have calluses on our feet!
context: I'll fix it for you, so stand up straight!\Have you noticed?\Huh?\Look at everyone's feet.\They all have calluses.\Because they've been kneeling on tatami mats for many years.\It only makes sense that we can't beat them.\We'll have to keep practicing until we also have calluses on our feet! response:	Kana-chan...
context: Have you noticed?\Huh?\Look at everyone's feet.\They all have calluses.\Because they've been kneeling on tatami mats for many years.\It only makes sense that we can't beat them.\We'll have to keep practicing until we also have calluses on our feet!\Kana-chan... response:	Huh?
context: Huh?\Look at everyone's feet.\They all have calluses.\Because they've been kneeling on tatami mats for many years.\It only makes sense that we can't beat them.\We'll have to keep practicing until we also have calluses on our feet!\Kana-chan...\Huh? response:	Congratulations on your first victory!
context: Look at everyone's feet.\They all have calluses.\Because they've been kneeling on tatami mats for many years.\It only makes sense that we can't beat them.\We'll have to keep practicing until we also have calluses on our feet!\Kana-chan...\Huh?\Congratulations on your first victory! response:	Komano!
context: They all have calluses.\Because they've been kneeling on tatami mats for many years.\It only makes sense that we can't beat them.\We'll have to keep practicing until we also have calluses on our feet!\Kana-chan...\Huh?\Congratulations on your first victory!\Komano! response:	I would rather be on a team
context: Because they've been kneeling on tatami mats for many years.\It only makes sense that we can't beat them.\We'll have to keep practicing until we also have calluses on our feet!\Kana-chan...\Huh?\Congratulations on your first victory!\Komano!\I would rather be on a team response:	with someone who puts in effort on the tatami.
context: It only makes sense that we can't beat them.\We'll have to keep practicing until we also have calluses on our feet!\Kana-chan...\Huh?\Congratulations on your first victory!\Komano!\I would rather be on a team\with someone who puts in effort on the tatami. response:	Sorry!
context: We'll have to keep practicing until we also have calluses on our feet!\Kana-chan...\Huh?\Congratulations on your first victory!\Komano!\I would rather be on a team\with someone who puts in effort on the tatami.\Sorry! response:	Sorry, everyone!
context: Kana-chan...\Huh?\Congratulations on your first victory!\Komano!\I would rather be on a team\with someone who puts in effort on the tatami.\Sorry!\Sorry, everyone! response:	Give me another chance!
context: Huh?\Congratulations on your first victory!\Komano!\I would rather be on a team\with someone who puts in effort on the tatami.\Sorry!\Sorry, everyone!\Give me another chance! response:	Stupid.
context: Congratulations on your first victory!\Komano!\I would rather be on a team\with someone who puts in effort on the tatami.\Sorry!\Sorry, everyone!\Give me another chance!\Stupid. response:	The five of us are a team.
context: Komano!\I would rather be on a team\with someone who puts in effort on the tatami.\Sorry!\Sorry, everyone!\Give me another chance!\Stupid.\The five of us are a team. response:	The finals are next.
context: I would rather be on a team\with someone who puts in effort on the tatami.\Sorry!\Sorry, everyone!\Give me another chance!\Stupid.\The five of us are a team.\The finals are next. response:	We need you to stand a chance.
context: with someone who puts in effort on the tatami.\Sorry!\Sorry, everyone!\Give me another chance!\Stupid.\The five of us are a team.\The finals are next.\We need you to stand a chance. response:	Mizusawa fight!
