context: Hosu General Hospital response:	Two days since the Hosu incident,
context: We're locked up in the fishing boat\and our transmission's been blocked.\The captain went ahead.\-Ribbit... -How are things on your end?\Tell me your situation. Please respond!\So it's a radio, huh?\Hey, kid!\We couldn't find the stowaways. response:	Ribbit...!
context: and our transmission's been blocked.\The captain went ahead.\-Ribbit... -How are things on your end?\Tell me your situation. Please respond!\So it's a radio, huh?\Hey, kid!\We couldn't find the stowaways.\Ribbit...! response:	Don't do it, Fro-
context: The captain went ahead.\-Ribbit... -How are things on your end?\Tell me your situation. Please respond!\So it's a radio, huh?\Hey, kid!\We couldn't find the stowaways.\Ribbit...!\Don't do it, Fro- response:	Sirius!
context: -Ribbit... -How are things on your end?\Tell me your situation. Please respond!\So it's a radio, huh?\Hey, kid!\We couldn't find the stowaways.\Ribbit...!\Don't do it, Fro-\Sirius! response:	Hurry up!
context: Tell me your situation. Please respond!\So it's a radio, huh?\Hey, kid!\We couldn't find the stowaways.\Ribbit...!\Don't do it, Fro-\Sirius!\Hurry up! response:	You don't care what'll happen to this woman?
context: So it's a radio, huh?\Hey, kid!\We couldn't find the stowaways.\Ribbit...!\Don't do it, Fro-\Sirius!\Hurry up!\You don't care what'll happen to this woman? response:	Huh? How about it?
context: Hey, kid!\We couldn't find the stowaways.\Ribbit...!\Don't do it, Fro-\Sirius!\Hurry up!\You don't care what'll happen to this woman?\Huh? How about it? response:	Ribbit...
context: We couldn't find the stowaways.\Ribbit...!\Don't do it, Fro-\Sirius!\Hurry up!\You don't care what'll happen to this woman?\Huh? How about it?\Ribbit... response:	Well?
context: Ribbit...!\Don't do it, Fro-\Sirius!\Hurry up!\You don't care what'll happen to this woman?\Huh? How about it?\Ribbit...\Well? response:	We're going to follow the captain's orders.
context: Don't do it, Fro-\Sirius!\Hurry up!\You don't care what'll happen to this woman?\Huh? How about it?\Ribbit...\Well?\We're going to follow the captain's orders. response:	Because we believe what the captain decided is the best course of action!
context: Sirius!\Hurry up!\You don't care what'll happen to this woman?\Huh? How about it?\Ribbit...\Well?\We're going to follow the captain's orders.\Because we believe what the captain decided is the best course of action! response:	Froppy, you believe, too-
context: Hurry up!\You don't care what'll happen to this woman?\Huh? How about it?\Ribbit...\Well?\We're going to follow the captain's orders.\Because we believe what the captain decided is the best course of action!\Froppy, you believe, too- response:	I know.
context: You don't care what'll happen to this woman?\Huh? How about it?\Ribbit...\Well?\We're going to follow the captain's orders.\Because we believe what the captain decided is the best course of action!\Froppy, you believe, too-\I know. response:	The stowaways are at Double Rock!
context: Huh? How about it?\Ribbit...\Well?\We're going to follow the captain's orders.\Because we believe what the captain decided is the best course of action!\Froppy, you believe, too-\I know.\The stowaways are at Double Rock! response:	Tsu...
context: Ribbit...\Well?\We're going to follow the captain's orders.\Because we believe what the captain decided is the best course of action!\Froppy, you believe, too-\I know.\The stowaways are at Double Rock!\Tsu... response:	You little brat...!
context: Well?\We're going to follow the captain's orders.\Because we believe what the captain decided is the best course of action!\Froppy, you believe, too-\I know.\The stowaways are at Double Rock!\Tsu...\You little brat...! response:	I'll kill you!
context: We're going to follow the captain's orders.\Because we believe what the captain decided is the best course of action!\Froppy, you believe, too-\I know.\The stowaways are at Double Rock!\Tsu...\You little brat...!\I'll kill you! response:	Stop moving around so much! It's so annoying!
context: Because we believe what the captain decided is the best course of action!\Froppy, you believe, too-\I know.\The stowaways are at Double Rock!\Tsu...\You little brat...!\I'll kill you!\Stop moving around so much! It's so annoying! response:	Ribbit!
context: Froppy, you believe, too-\I know.\The stowaways are at Double Rock!\Tsu...\You little brat...!\I'll kill you!\Stop moving around so much! It's so annoying!\Ribbit! response:	-Oops! I've got you. -Ribbit...
context: I know.\The stowaways are at Double Rock!\Tsu...\You little brat...!\I'll kill you!\Stop moving around so much! It's so annoying!\Ribbit!\-Oops! I've got you. -Ribbit... response:	Ribbit...
context: The stowaways are at Double Rock!\Tsu...\You little brat...!\I'll kill you!\Stop moving around so much! It's so annoying!\Ribbit!\-Oops! I've got you. -Ribbit...\Ribbit... response:	Ri... Ribbit... Rib...
context: Tsu...\You little brat...!\I'll kill you!\Stop moving around so much! It's so annoying!\Ribbit!\-Oops! I've got you. -Ribbit...\Ribbit...\Ri... Ribbit... Rib... response:	The end!
context: You little brat...!\I'll kill you!\Stop moving around so much! It's so annoying!\Ribbit!\-Oops! I've got you. -Ribbit...\Ribbit...\Ri... Ribbit... Rib...\The end! response:	You're just a brat.
context: I'll kill you!\Stop moving around so much! It's so annoying!\Ribbit!\-Oops! I've got you. -Ribbit...\Ribbit...\Ri... Ribbit... Rib...\The end!\You're just a brat. response:	Since you came here uninvited,
context: Stop moving around so much! It's so annoying!\Ribbit!\-Oops! I've got you. -Ribbit...\Ribbit...\Ri... Ribbit... Rib...\The end!\You're just a brat.\Since you came here uninvited, response:	you'll have to die!
context: Ribbit!\-Oops! I've got you. -Ribbit...\Ribbit...\Ri... Ribbit... Rib...\The end!\You're just a brat.\Since you came here uninvited,\you'll have to die! response:	Boss!
context: -Oops! I've got you. -Ribbit...\Ribbit...\Ri... Ribbit... Rib...\The end!\You're just a brat.\Since you came here uninvited,\you'll have to die!\Boss! response:	My brothers!
context: Ribbit...\Ri... Ribbit... Rib...\The end!\You're just a brat.\Since you came here uninvited,\you'll have to die!\Boss!\My brothers! response:	Ribbit!
context: Ri... Ribbit... Rib...\The end!\You're just a brat.\Since you came here uninvited,\you'll have to die!\Boss!\My brothers!\Ribbit! response:	Captain!
context: The end!\You're just a brat.\Since you came here uninvited,\you'll have to die!\Boss!\My brothers!\Ribbit!\Captain! response:	Sorry to keep you waiting.
context: You're just a brat.\Since you came here uninvited,\you'll have to die!\Boss!\My brothers!\Ribbit!\Captain!\Sorry to keep you waiting. response:	Leave the rest to me!
context: Since you came here uninvited,\you'll have to die!\Boss!\My brothers!\Ribbit!\Captain!\Sorry to keep you waiting.\Leave the rest to me! response:	No way!
context: you'll have to die!\Boss!\My brothers!\Ribbit!\Captain!\Sorry to keep you waiting.\Leave the rest to me!\No way! response:	Even if I can't see...
context: Boss!\My brothers!\Ribbit!\Captain!\Sorry to keep you waiting.\Leave the rest to me!\No way!\Even if I can't see... response:	I know...
context: My brothers!\Ribbit!\Captain!\Sorry to keep you waiting.\Leave the rest to me!\No way!\Even if I can't see...\I know... response:	Damn bastard!
context: Ribbit!\Captain!\Sorry to keep you waiting.\Leave the rest to me!\No way!\Even if I can't see...\I know...\Damn bastard! response:	Captain!
context: Captain!\Sorry to keep you waiting.\Leave the rest to me!\No way!\Even if I can't see...\I know...\Damn bastard!\Captain! response:	All right!
context: Sorry to keep you waiting.\Leave the rest to me!\No way!\Even if I can't see...\I know...\Damn bastard!\Captain!\All right! response:	The captain's amazing...
context: Leave the rest to me!\No way!\Even if I can't see...\I know...\Damn bastard!\Captain!\All right!\The captain's amazing... response:	Froppy!
context: No way!\Even if I can't see...\I know...\Damn bastard!\Captain!\All right!\The captain's amazing...\Froppy! response:	Ribbit...
context: Even if I can't see...\I know...\Damn bastard!\Captain!\All right!\The captain's amazing...\Froppy!\Ribbit... response:	Are you all right? Are you hurt?
context: I know...\Damn bastard!\Captain!\All right!\The captain's amazing...\Froppy!\Ribbit...\Are you all right? Are you hurt? response:	I'm fine. What about you, Sirius?
context: Damn bastard!\Captain!\All right!\The captain's amazing...\Froppy!\Ribbit...\Are you all right? Are you hurt?\I'm fine. What about you, Sirius? response:	My body's the only thing strong about me.
context: Captain!\All right!\The captain's amazing...\Froppy!\Ribbit...\Are you all right? Are you hurt?\I'm fine. What about you, Sirius?\My body's the only thing strong about me. response:	Good job, you two.
context: All right!\The captain's amazing...\Froppy!\Ribbit...\Are you all right? Are you hurt?\I'm fine. What about you, Sirius?\My body's the only thing strong about me.\Good job, you two. response:	Thanks to you, we were able to catch the stowaways.
context: The captain's amazing...\Froppy!\Ribbit...\Are you all right? Are you hurt?\I'm fine. What about you, Sirius?\My body's the only thing strong about me.\Good job, you two.\Thanks to you, we were able to catch the stowaways. response:	Captain...
context: Froppy!\Ribbit...\Are you all right? Are you hurt?\I'm fine. What about you, Sirius?\My body's the only thing strong about me.\Good job, you two.\Thanks to you, we were able to catch the stowaways.\Captain... response:	Thanks!
context: Ribbit...\Are you all right? Are you hurt?\I'm fine. What about you, Sirius?\My body's the only thing strong about me.\Good job, you two.\Thanks to you, we were able to catch the stowaways.\Captain...\Thanks! response:	You're doing that now?
context: Are you all right? Are you hurt?\I'm fine. What about you, Sirius?\My body's the only thing strong about me.\Good job, you two.\Thanks to you, we were able to catch the stowaways.\Captain...\Thanks!\You're doing that now? response:	Sirius, I'm glad I was able to come to this internship.
context: I'm fine. What about you, Sirius?\My body's the only thing strong about me.\Good job, you two.\Thanks to you, we were able to catch the stowaways.\Captain...\Thanks!\You're doing that now?\Sirius, I'm glad I was able to come to this internship. response:	Huh?
context: My body's the only thing strong about me.\Good job, you two.\Thanks to you, we were able to catch the stowaways.\Captain...\Thanks!\You're doing that now?\Sirius, I'm glad I was able to come to this internship.\Huh? response:	What's really important for a hero...
context: Good job, you two.\Thanks to you, we were able to catch the stowaways.\Captain...\Thanks!\You're doing that now?\Sirius, I'm glad I was able to come to this internship.\Huh?\What's really important for a hero... response:	I think I understand a little better now!
context: Thanks to you, we were able to catch the stowaways.\Captain...\Thanks!\You're doing that now?\Sirius, I'm glad I was able to come to this internship.\Huh?\What's really important for a hero...\I think I understand a little better now! response:	I see.
context: Captain...\Thanks!\You're doing that now?\Sirius, I'm glad I was able to come to this internship.\Huh?\What's really important for a hero...\I think I understand a little better now!\I see. response:	Arrest all the stowaways.
context: Thanks!\You're doing that now?\Sirius, I'm glad I was able to come to this internship.\Huh?\What's really important for a hero...\I think I understand a little better now!\I see.\Arrest all the stowaways. response:	We were able to recover all the illegal drugs they were trying to bring in, too.
context: You're doing that now?\Sirius, I'm glad I was able to come to this internship.\Huh?\What's really important for a hero...\I think I understand a little better now!\I see.\Arrest all the stowaways.\We were able to recover all the illegal drugs they were trying to bring in, too. response:	By the way, Selkie, when did you get a new sidekick?
context: Sirius, I'm glad I was able to come to this internship.\Huh?\What's really important for a hero...\I think I understand a little better now!\I see.\Arrest all the stowaways.\We were able to recover all the illegal drugs they were trying to bring in, too.\By the way, Selkie, when did you get a new sidekick? response:	Ribbit?
context: Huh?\What's really important for a hero...\I think I understand a little better now!\I see.\Arrest all the stowaways.\We were able to recover all the illegal drugs they were trying to bring in, too.\By the way, Selkie, when did you get a new sidekick?\Ribbit? response:	She's a U.A. student
context: What's really important for a hero...\I think I understand a little better now!\I see.\Arrest all the stowaways.\We were able to recover all the illegal drugs they were trying to bring in, too.\By the way, Selkie, when did you get a new sidekick?\Ribbit?\She's a U.A. student response:	here for an internship.
context: I think I understand a little better now!\I see.\Arrest all the stowaways.\We were able to recover all the illegal drugs they were trying to bring in, too.\By the way, Selkie, when did you get a new sidekick?\Ribbit?\She's a U.A. student\here for an internship. response:	Is that right? We made you go through something scary, huh?
context: I see.\Arrest all the stowaways.\We were able to recover all the illegal drugs they were trying to bring in, too.\By the way, Selkie, when did you get a new sidekick?\Ribbit?\She's a U.A. student\here for an internship.\Is that right? We made you go through something scary, huh? response:	Sorry.
context: Arrest all the stowaways.\We were able to recover all the illegal drugs they were trying to bring in, too.\By the way, Selkie, when did you get a new sidekick?\Ribbit?\She's a U.A. student\here for an internship.\Is that right? We made you go through something scary, huh?\Sorry. response:	Hey, don't treat her like a kid.
context: We were able to recover all the illegal drugs they were trying to bring in, too.\By the way, Selkie, when did you get a new sidekick?\Ribbit?\She's a U.A. student\here for an internship.\Is that right? We made you go through something scary, huh?\Sorry.\Hey, don't treat her like a kid. response:	Froppy doesn't have her license yet, but she's already an excellent hero.
context: By the way, Selkie, when did you get a new sidekick?\Ribbit?\She's a U.A. student\here for an internship.\Is that right? We made you go through something scary, huh?\Sorry.\Hey, don't treat her like a kid.\Froppy doesn't have her license yet, but she's already an excellent hero. response:	I guarantee it.
context: Ribbit?\She's a U.A. student\here for an internship.\Is that right? We made you go through something scary, huh?\Sorry.\Hey, don't treat her like a kid.\Froppy doesn't have her license yet, but she's already an excellent hero.\I guarantee it. response:	Yup, yup.
context: She's a U.A. student\here for an internship.\Is that right? We made you go through something scary, huh?\Sorry.\Hey, don't treat her like a kid.\Froppy doesn't have her license yet, but she's already an excellent hero.\I guarantee it.\Yup, yup. response:	Then, I'm looking forward to when we can work together,
context: here for an internship.\Is that right? We made you go through something scary, huh?\Sorry.\Hey, don't treat her like a kid.\Froppy doesn't have her license yet, but she's already an excellent hero.\I guarantee it.\Yup, yup.\Then, I'm looking forward to when we can work together, response:	Froppy.
context: Is that right? We made you go through something scary, huh?\Sorry.\Hey, don't treat her like a kid.\Froppy doesn't have her license yet, but she's already an excellent hero.\I guarantee it.\Yup, yup.\Then, I'm looking forward to when we can work together,\Froppy. response:	Ribbit, ribbit.
context: Sorry.\Hey, don't treat her like a kid.\Froppy doesn't have her license yet, but she's already an excellent hero.\I guarantee it.\Yup, yup.\Then, I'm looking forward to when we can work together,\Froppy.\Ribbit, ribbit. response:	Preview
context: Hey, don't treat her like a kid.\Froppy doesn't have her license yet, but she's already an excellent hero.\I guarantee it.\Yup, yup.\Then, I'm looking forward to when we can work together,\Froppy.\Ribbit, ribbit.\Preview response:	All Might! I have returned from my internship!
context: Froppy doesn't have her license yet, but she's already an excellent hero.\I guarantee it.\Yup, yup.\Then, I'm looking forward to when we can work together,\Froppy.\Ribbit, ribbit.\Preview\All Might! I have returned from my internship! response:	You went through a lot with the Hosu incident, huh?
context: I guarantee it.\Yup, yup.\Then, I'm looking forward to when we can work together,\Froppy.\Ribbit, ribbit.\Preview\All Might! I have returned from my internship!\You went through a lot with the Hosu incident, huh? response:	I'm sorry I couldn't be nearby!
context: Yup, yup.\Then, I'm looking forward to when we can work together,\Froppy.\Ribbit, ribbit.\Preview\All Might! I have returned from my internship!\You went through a lot with the Hosu incident, huh?\I'm sorry I couldn't be nearby! response:	Well, what were you trying to tell me?
context: Then, I'm looking forward to when we can work together,\Froppy.\Ribbit, ribbit.\Preview\All Might! I have returned from my internship!\You went through a lot with the Hosu incident, huh?\I'm sorry I couldn't be nearby!\Well, what were you trying to tell me? response:	The time has come when I must tell you
context: Froppy.\Ribbit, ribbit.\Preview\All Might! I have returned from my internship!\You went through a lot with the Hosu incident, huh?\I'm sorry I couldn't be nearby!\Well, what were you trying to tell me?\The time has come when I must tell you response:	about me and One For All, and the mission entrusted to you!
context: Ribbit, ribbit.\Preview\All Might! I have returned from my internship!\You went through a lot with the Hosu incident, huh?\I'm sorry I couldn't be nearby!\Well, what were you trying to tell me?\The time has come when I must tell you\about me and One For All, and the mission entrusted to you! response:	Next time, Listen Up!! A Tale from the Past.
context: Preview\All Might! I have returned from my internship!\You went through a lot with the Hosu incident, huh?\I'm sorry I couldn't be nearby!\Well, what were you trying to tell me?\The time has come when I must tell you\about me and One For All, and the mission entrusted to you!\Next time, Listen Up!! A Tale from the Past. response:	It's an important episode, so you're not allowed to miss it!
context: All Might! I have returned from my internship!\You went through a lot with the Hosu incident, huh?\I'm sorry I couldn't be nearby!\Well, what were you trying to tell me?\The time has come when I must tell you\about me and One For All, and the mission entrusted to you!\Next time, Listen Up!! A Tale from the Past.\It's an important episode, so you're not allowed to miss it! response:	Go beyond!
context: You went through a lot with the Hosu incident, huh?\I'm sorry I couldn't be nearby!\Well, what were you trying to tell me?\The time has come when I must tell you\about me and One For All, and the mission entrusted to you!\Next time, Listen Up!! A Tale from the Past.\It's an important episode, so you're not allowed to miss it!\Go beyond! response:	Next time: Listen Up!! A Tale from the Past
context: I'm sorry I couldn't be nearby!\Well, what were you trying to tell me?\The time has come when I must tell you\about me and One For All, and the mission entrusted to you!\Next time, Listen Up!! A Tale from the Past.\It's an important episode, so you're not allowed to miss it!\Go beyond!\Next time: Listen Up!! A Tale from the Past response:	Plus Ultra!
