context: Scrambled Eggs response:	Let's do this, then.
context: It was you, Miku?\Oh.\My bruise never went away.\Miku...\You were always the most cooperative.\Why are you trying to end your relationship with Uesugi-kun?\I have to apologize to you first.\I was in a panic because Grandpa was there. response:	No, that's an excuse, too.
context: Oh.\My bruise never went away.\Miku...\You were always the most cooperative.\Why are you trying to end your relationship with Uesugi-kun?\I have to apologize to you first.\I was in a panic because Grandpa was there.\No, that's an excuse, too. response:	I couldn't tell him as myself.
context: My bruise never went away.\Miku...\You were always the most cooperative.\Why are you trying to end your relationship with Uesugi-kun?\I have to apologize to you first.\I was in a panic because Grandpa was there.\No, that's an excuse, too.\I couldn't tell him as myself. response:	I love Futaro, and yet...
context: Miku...\You were always the most cooperative.\Why are you trying to end your relationship with Uesugi-kun?\I have to apologize to you first.\I was in a panic because Grandpa was there.\No, that's an excuse, too.\I couldn't tell him as myself.\I love Futaro, and yet... response:	You have a crush on Uesugi-kun?!
context: You were always the most cooperative.\Why are you trying to end your relationship with Uesugi-kun?\I have to apologize to you first.\I was in a panic because Grandpa was there.\No, that's an excuse, too.\I couldn't tell him as myself.\I love Futaro, and yet...\You have a crush on Uesugi-kun?! response:	My goodness!
context: Why are you trying to end your relationship with Uesugi-kun?\I have to apologize to you first.\I was in a panic because Grandpa was there.\No, that's an excuse, too.\I couldn't tell him as myself.\I love Futaro, and yet...\You have a crush on Uesugi-kun?!\My goodness! response:	Everyone's going to be shocked when they hear!
context: I have to apologize to you first.\I was in a panic because Grandpa was there.\No, that's an excuse, too.\I couldn't tell him as myself.\I love Futaro, and yet...\You have a crush on Uesugi-kun?!\My goodness!\Everyone's going to be shocked when they hear! response:	I'm pretty sure everyone knows.
context: I was in a panic because Grandpa was there.\No, that's an excuse, too.\I couldn't tell him as myself.\I love Futaro, and yet...\You have a crush on Uesugi-kun?!\My goodness!\Everyone's going to be shocked when they hear!\I'm pretty sure everyone knows. response:	But are you sure?
context: No, that's an excuse, too.\I couldn't tell him as myself.\I love Futaro, and yet...\You have a crush on Uesugi-kun?!\My goodness!\Everyone's going to be shocked when they hear!\I'm pretty sure everyone knows.\But are you sure? response:	We're technically students and teacher.
context: I couldn't tell him as myself.\I love Futaro, and yet...\You have a crush on Uesugi-kun?!\My goodness!\Everyone's going to be shocked when they hear!\I'm pretty sure everyone knows.\But are you sure?\We're technically students and teacher. response:	That's why.
context: I love Futaro, and yet...\You have a crush on Uesugi-kun?!\My goodness!\Everyone's going to be shocked when they hear!\I'm pretty sure everyone knows.\But are you sure?\We're technically students and teacher.\That's why. response:	He and I are teacher and student.
context: You have a crush on Uesugi-kun?!\My goodness!\Everyone's going to be shocked when they hear!\I'm pretty sure everyone knows.\But are you sure?\We're technically students and teacher.\That's why.\He and I are teacher and student. response:	If this goes on, our relationship will never change.
context: My goodness!\Everyone's going to be shocked when they hear!\I'm pretty sure everyone knows.\But are you sure?\We're technically students and teacher.\That's why.\He and I are teacher and student.\If this goes on, our relationship will never change. response:	I understand how you feel.
context: Everyone's going to be shocked when they hear!\I'm pretty sure everyone knows.\But are you sure?\We're technically students and teacher.\That's why.\He and I are teacher and student.\If this goes on, our relationship will never change.\I understand how you feel. response:	So I have a request...
context: I'm pretty sure everyone knows.\But are you sure?\We're technically students and teacher.\That's why.\He and I are teacher and student.\If this goes on, our relationship will never change.\I understand how you feel.\So I have a request... response:	Please meet Uesugi-kun one last time.
context: But are you sure?\We're technically students and teacher.\That's why.\He and I are teacher and student.\If this goes on, our relationship will never change.\I understand how you feel.\So I have a request...\Please meet Uesugi-kun one last time. response:	Therefore, you aren't Nino, either.
context: We're technically students and teacher.\That's why.\He and I are teacher and student.\If this goes on, our relationship will never change.\I understand how you feel.\So I have a request...\Please meet Uesugi-kun one last time.\Therefore, you aren't Nino, either. response:	Correct.
context: That's why.\He and I are teacher and student.\If this goes on, our relationship will never change.\I understand how you feel.\So I have a request...\Please meet Uesugi-kun one last time.\Therefore, you aren't Nino, either.\Correct. response:	Then what is it that's on Nino's mind?
context: He and I are teacher and student.\If this goes on, our relationship will never change.\I understand how you feel.\So I have a request...\Please meet Uesugi-kun one last time.\Therefore, you aren't Nino, either.\Correct.\Then what is it that's on Nino's mind? response:	That's probably...
context: If this goes on, our relationship will never change.\I understand how you feel.\So I have a request...\Please meet Uesugi-kun one last time.\Therefore, you aren't Nino, either.\Correct.\Then what is it that's on Nino's mind?\That's probably... response:	Well... That's one thing I shouldn't say.
context: I understand how you feel.\So I have a request...\Please meet Uesugi-kun one last time.\Therefore, you aren't Nino, either.\Correct.\Then what is it that's on Nino's mind?\That's probably...\Well... That's one thing I shouldn't say. response:	All right.
context: So I have a request...\Please meet Uesugi-kun one last time.\Therefore, you aren't Nino, either.\Correct.\Then what is it that's on Nino's mind?\That's probably...\Well... That's one thing I shouldn't say.\All right. response:	I'll avoid asking.
context: Please meet Uesugi-kun one last time.\Therefore, you aren't Nino, either.\Correct.\Then what is it that's on Nino's mind?\That's probably...\Well... That's one thing I shouldn't say.\All right.\I'll avoid asking. response:	You're either Ichika or Miku.
context: Therefore, you aren't Nino, either.\Correct.\Then what is it that's on Nino's mind?\That's probably...\Well... That's one thing I shouldn't say.\All right.\I'll avoid asking.\You're either Ichika or Miku. response:	If I think of her as Ichika, she looks like Ichika.
context: Correct.\Then what is it that's on Nino's mind?\That's probably...\Well... That's one thing I shouldn't say.\All right.\I'll avoid asking.\You're either Ichika or Miku.\If I think of her as Ichika, she looks like Ichika. response:	But that goes for Miku, too.
context: Then what is it that's on Nino's mind?\That's probably...\Well... That's one thing I shouldn't say.\All right.\I'll avoid asking.\You're either Ichika or Miku.\If I think of her as Ichika, she looks like Ichika.\But that goes for Miku, too. response:	Nope. I don't know.
context: That's probably...\Well... That's one thing I shouldn't say.\All right.\I'll avoid asking.\You're either Ichika or Miku.\If I think of her as Ichika, she looks like Ichika.\But that goes for Miku, too.\Nope. I don't know. response:	I give up.
context: Well... That's one thing I shouldn't say.\All right.\I'll avoid asking.\You're either Ichika or Miku.\If I think of her as Ichika, she looks like Ichika.\But that goes for Miku, too.\Nope. I don't know.\I give up. response:	Of course.
context: All right.\I'll avoid asking.\You're either Ichika or Miku.\If I think of her as Ichika, she looks like Ichika.\But that goes for Miku, too.\Nope. I don't know.\I give up.\Of course. response:	What was I expecting?
context: I'll avoid asking.\You're either Ichika or Miku.\If I think of her as Ichika, she looks like Ichika.\But that goes for Miku, too.\Nope. I don't know.\I give up.\Of course.\What was I expecting? response:	Could you call her for me?
context: You're either Ichika or Miku.\If I think of her as Ichika, she looks like Ichika.\But that goes for Miku, too.\Nope. I don't know.\I give up.\Of course.\What was I expecting?\Could you call her for me? response:	Her?
context: If I think of her as Ichika, she looks like Ichika.\But that goes for Miku, too.\Nope. I don't know.\I give up.\Of course.\What was I expecting?\Could you call her for me?\Her? response:	Y'know, her.
context: But that goes for Miku, too.\Nope. I don't know.\I give up.\Of course.\What was I expecting?\Could you call her for me?\Her?\Y'know, her. response:	Her name is...
context: Nope. I don't know.\I give up.\Of course.\What was I expecting?\Could you call her for me?\Her?\Y'know, her.\Her name is... response:	Itsu...
context: I give up.\Of course.\What was I expecting?\Could you call her for me?\Her?\Y'know, her.\Her name is...\Itsu... response:	Itsu...
context: Of course.\What was I expecting?\Could you call her for me?\Her?\Y'know, her.\Her name is...\Itsu...\Itsu... response:	Oh, that's what he's doing.
context: What was I expecting?\Could you call her for me?\Her?\Y'know, her.\Her name is...\Itsu...\Itsu...\Oh, that's what he's doing. response:	Itsuki-chan?
context: Could you call her for me?\Her?\Y'know, her.\Her name is...\Itsu...\Itsu...\Oh, that's what he's doing.\Itsuki-chan? response:	You fell for it!
context: Her?\Y'know, her.\Her name is...\Itsu...\Itsu...\Oh, that's what he's doing.\Itsuki-chan?\You fell for it! response:	Ichika's the only one who calls her Itsuki- chan!
context: Y'know, her.\Her name is...\Itsu...\Itsu...\Oh, that's what he's doing.\Itsuki-chan?\You fell for it!\Ichika's the only one who calls her Itsuki- chan! response:	Which means you're Ichika!
context: Her name is...\Itsu...\Itsu...\Oh, that's what he's doing.\Itsuki-chan?\You fell for it!\Ichika's the only one who calls her Itsuki- chan!\Which means you're Ichika! response:	You got me good.
context: Itsu...\Itsu...\Oh, that's what he's doing.\Itsuki-chan?\You fell for it!\Ichika's the only one who calls her Itsuki- chan!\Which means you're Ichika!\You got me good. response:	Sheesh, you made me waste so much time.
context: Itsu...\Oh, that's what he's doing.\Itsuki-chan?\You fell for it!\Ichika's the only one who calls her Itsuki- chan!\Which means you're Ichika!\You got me good.\Sheesh, you made me waste so much time. response:	I figured it'd be you, since I couldn't figure out what was bothering you.
context: Oh, that's what he's doing.\Itsuki-chan?\You fell for it!\Ichika's the only one who calls her Itsuki- chan!\Which means you're Ichika!\You got me good.\Sheesh, you made me waste so much time.\I figured it'd be you, since I couldn't figure out what was bothering you. response:	Wow.
context: Itsuki-chan?\You fell for it!\Ichika's the only one who calls her Itsuki- chan!\Which means you're Ichika!\You got me good.\Sheesh, you made me waste so much time.\I figured it'd be you, since I couldn't figure out what was bothering you.\Wow. response:	Is it about work?
context: You fell for it!\Ichika's the only one who calls her Itsuki- chan!\Which means you're Ichika!\You got me good.\Sheesh, you made me waste so much time.\I figured it'd be you, since I couldn't figure out what was bothering you.\Wow.\Is it about work? response:	I heard it's gotten busy.
context: Ichika's the only one who calls her Itsuki- chan!\Which means you're Ichika!\You got me good.\Sheesh, you made me waste so much time.\I figured it'd be you, since I couldn't figure out what was bothering you.\Wow.\Is it about work?\I heard it's gotten busy. response:	Something like that.
context: Which means you're Ichika!\You got me good.\Sheesh, you made me waste so much time.\I figured it'd be you, since I couldn't figure out what was bothering you.\Wow.\Is it about work?\I heard it's gotten busy.\Something like that. response:	Well, I have to get ready for the trip home.
context: You got me good.\Sheesh, you made me waste so much time.\I figured it'd be you, since I couldn't figure out what was bothering you.\Wow.\Is it about work?\I heard it's gotten busy.\Something like that.\Well, I have to get ready for the trip home. response:	See you.
context: Sheesh, you made me waste so much time.\I figured it'd be you, since I couldn't figure out what was bothering you.\Wow.\Is it about work?\I heard it's gotten busy.\Something like that.\Well, I have to get ready for the trip home.\See you. response:	Over a long time, you learn to identify their mannerisms, voice, subtle habits...
context: I figured it'd be you, since I couldn't figure out what was bothering you.\Wow.\Is it about work?\I heard it's gotten busy.\Something like that.\Well, I have to get ready for the trip home.\See you.\Over a long time, you learn to identify their mannerisms, voice, subtle habits... response:	This is the only way I can tell them apart.
context: Wow.\Is it about work?\I heard it's gotten busy.\Something like that.\Well, I have to get ready for the trip home.\See you.\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\This is the only way I can tell them apart. response:	But that's fine.
context: Is it about work?\I heard it's gotten busy.\Something like that.\Well, I have to get ready for the trip home.\See you.\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\This is the only way I can tell them apart.\But that's fine. response:	That solves everything.
context: I heard it's gotten busy.\Something like that.\Well, I have to get ready for the trip home.\See you.\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\This is the only way I can tell them apart.\But that's fine.\That solves everything. response:	Fake Itsuki, you are...
context: Something like that.\Well, I have to get ready for the trip home.\See you.\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\This is the only way I can tell them apart.\But that's fine.\That solves everything.\Fake Itsuki, you are... response:	That is tantamount to love.
context: Well, I have to get ready for the trip home.\See you.\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\This is the only way I can tell them apart.\But that's fine.\That solves everything.\Fake Itsuki, you are...\That is tantamount to love. response:	Are you Miku?
context: See you.\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\This is the only way I can tell them apart.\But that's fine.\That solves everything.\Fake Itsuki, you are...\That is tantamount to love.\Are you Miku? response:	Why?
context: Over a long time, you learn to identify their mannerisms, voice, subtle habits...\This is the only way I can tell them apart.\But that's fine.\That solves everything.\Fake Itsuki, you are...\That is tantamount to love.\Are you Miku?\Why? response:	I said I was Ichika.
context: This is the only way I can tell them apart.\But that's fine.\That solves everything.\Fake Itsuki, you are...\That is tantamount to love.\Are you Miku?\Why?\I said I was Ichika. response:	Uh, sorry.
context: But that's fine.\That solves everything.\Fake Itsuki, you are...\That is tantamount to love.\Are you Miku?\Why?\I said I was Ichika.\Uh, sorry. response:	I might be imagining it, but for a second,
context: That solves everything.\Fake Itsuki, you are...\That is tantamount to love.\Are you Miku?\Why?\I said I was Ichika.\Uh, sorry.\I might be imagining it, but for a second, response:	you looked like Miku.
context: Fake Itsuki, you are...\That is tantamount to love.\Are you Miku?\Why?\I said I was Ichika.\Uh, sorry.\I might be imagining it, but for a second,\you looked like Miku. response:	Bingo!
context: That is tantamount to love.\Are you Miku?\Why?\I said I was Ichika.\Uh, sorry.\I might be imagining it, but for a second,\you looked like Miku.\Bingo! response:	Seriously?
context: Are you Miku?\Why?\I said I was Ichika.\Uh, sorry.\I might be imagining it, but for a second,\you looked like Miku.\Bingo!\Seriously? response:	Can I ask you something?
context: Why?\I said I was Ichika.\Uh, sorry.\I might be imagining it, but for a second,\you looked like Miku.\Bingo!\Seriously?\Can I ask you something? response:	You seemed to have a hunch about what was bugging me.
context: I said I was Ichika.\Uh, sorry.\I might be imagining it, but for a second,\you looked like Miku.\Bingo!\Seriously?\Can I ask you something?\You seemed to have a hunch about what was bugging me. response:	If I wasn't Fake Itsuki, what would you have thought it was?
context: Uh, sorry.\I might be imagining it, but for a second,\you looked like Miku.\Bingo!\Seriously?\Can I ask you something?\You seemed to have a hunch about what was bugging me.\If I wasn't Fake Itsuki, what would you have thought it was? response:	It's an embarrassing thought, now that I know I was wrong...
context: I might be imagining it, but for a second,\you looked like Miku.\Bingo!\Seriously?\Can I ask you something?\You seemed to have a hunch about what was bugging me.\If I wasn't Fake Itsuki, what would you have thought it was?\It's an embarrassing thought, now that I know I was wrong... response:	I'll tell you, so don't laugh.
context: you looked like Miku.\Bingo!\Seriously?\Can I ask you something?\You seemed to have a hunch about what was bugging me.\If I wasn't Fake Itsuki, what would you have thought it was?\It's an embarrassing thought, now that I know I was wrong...\I'll tell you, so don't laugh. response:	I thought you were mad because I didn't give you anything in return after V-Day.
context: Bingo!\Seriously?\Can I ask you something?\You seemed to have a hunch about what was bugging me.\If I wasn't Fake Itsuki, what would you have thought it was?\It's an embarrassing thought, now that I know I was wrong...\I'll tell you, so don't laugh.\I thought you were mad because I didn't give you anything in return after V-Day. response:	I said not to laugh!
context: Seriously?\Can I ask you something?\You seemed to have a hunch about what was bugging me.\If I wasn't Fake Itsuki, what would you have thought it was?\It's an embarrassing thought, now that I know I was wrong...\I'll tell you, so don't laugh.\I thought you were mad because I didn't give you anything in return after V-Day.\I said not to laugh! response:	Why did you want me to quit, anyway?
context: Can I ask you something?\You seemed to have a hunch about what was bugging me.\If I wasn't Fake Itsuki, what would you have thought it was?\It's an embarrassing thought, now that I know I was wrong...\I'll tell you, so don't laugh.\I thought you were mad because I didn't give you anything in return after V-Day.\I said not to laugh!\Why did you want me to quit, anyway? response:	Actually, forget that.
context: You seemed to have a hunch about what was bugging me.\If I wasn't Fake Itsuki, what would you have thought it was?\It's an embarrassing thought, now that I know I was wrong...\I'll tell you, so don't laugh.\I thought you were mad because I didn't give you anything in return after V-Day.\I said not to laugh!\Why did you want me to quit, anyway?\Actually, forget that. response:	What?
context: If I wasn't Fake Itsuki, what would you have thought it was?\It's an embarrassing thought, now that I know I was wrong...\I'll tell you, so don't laugh.\I thought you were mad because I didn't give you anything in return after V-Day.\I said not to laugh!\Why did you want me to quit, anyway?\Actually, forget that.\What? response:	Futaro's a teacher.
context: It's an embarrassing thought, now that I know I was wrong...\I'll tell you, so don't laugh.\I thought you were mad because I didn't give you anything in return after V-Day.\I said not to laugh!\Why did you want me to quit, anyway?\Actually, forget that.\What?\Futaro's a teacher. response:	I'm his student.
context: I'll tell you, so don't laugh.\I thought you were mad because I didn't give you anything in return after V-Day.\I said not to laugh!\Why did you want me to quit, anyway?\Actually, forget that.\What?\Futaro's a teacher.\I'm his student. response:	That won't change.
context: I thought you were mad because I didn't give you anything in return after V-Day.\I said not to laugh!\Why did you want me to quit, anyway?\Actually, forget that.\What?\Futaro's a teacher.\I'm his student.\That won't change. response:	Thank you for guessing correctly.
context: I said not to laugh!\Why did you want me to quit, anyway?\Actually, forget that.\What?\Futaro's a teacher.\I'm his student.\That won't change.\Thank you for guessing correctly. response:	Bye-bye.
context: Why did you want me to quit, anyway?\Actually, forget that.\What?\Futaro's a teacher.\I'm his student.\That won't change.\Thank you for guessing correctly.\Bye-bye. response:	See you.
context: Actually, forget that.\What?\Futaro's a teacher.\I'm his student.\That won't change.\Thank you for guessing correctly.\Bye-bye.\See you. response:	My grandkids are all I have to live for,
context: What?\Futaro's a teacher.\I'm his student.\That won't change.\Thank you for guessing correctly.\Bye-bye.\See you.\My grandkids are all I have to live for, response:	now that I've lost Rena.
context: Futaro's a teacher.\I'm his student.\That won't change.\Thank you for guessing correctly.\Bye-bye.\See you.\My grandkids are all I have to live for,\now that I've lost Rena. response:	Tell my grandkids to stay true to themselves.
context: I'm his student.\That won't change.\Thank you for guessing correctly.\Bye-bye.\See you.\My grandkids are all I have to live for,\now that I've lost Rena.\Tell my grandkids to stay true to themselves. response:	Over a long time, you learn to identify their mannerisms, voice, subtle habits...
context: That won't change.\Thank you for guessing correctly.\Bye-bye.\See you.\My grandkids are all I have to live for,\now that I've lost Rena.\Tell my grandkids to stay true to themselves.\Over a long time, you learn to identify their mannerisms, voice, subtle habits... response:	That is tantamount to love.
context: Thank you for guessing correctly.\Bye-bye.\See you.\My grandkids are all I have to live for,\now that I've lost Rena.\Tell my grandkids to stay true to themselves.\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\That is tantamount to love. response:	If that's true, then the reason I knew it was Miku...
context: Bye-bye.\See you.\My grandkids are all I have to live for,\now that I've lost Rena.\Tell my grandkids to stay true to themselves.\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\That is tantamount to love.\If that's true, then the reason I knew it was Miku... response:	In any case, it's true that I could tell them apart.
context: See you.\My grandkids are all I have to live for,\now that I've lost Rena.\Tell my grandkids to stay true to themselves.\Over a long time, you learn to identify their mannerisms, voice, subtle habits...\That is tantamount to love.\If that's true, then the reason I knew it was Miku...\In any case, it's true that I could tell them apart. response:	Episode 9
