context: If I were to borrow Tendo's words... response:	I'm starting to get into it.
context: Their stamina and concentration's could run out at any moment.\No matter what it takes, just get the ball up from Shiratorizawa's powerful cannon\any way you can.\Daichi-san, nice serve!\It's short!\There has to be a limit to aiming for the damn net!\Goshiki!\Right! response:	It's connecting! It's connecting!
context: No matter what it takes, just get the ball up from Shiratorizawa's powerful cannon\any way you can.\Daichi-san, nice serve!\It's short!\There has to be a limit to aiming for the damn net!\Goshiki!\Right!\It's connecting! It's connecting! response:	Kageyama, get the last!
context: any way you can.\Daichi-san, nice serve!\It's short!\There has to be a limit to aiming for the damn net!\Goshiki!\Right!\It's connecting! It's connecting!\Kageyama, get the last! response:	This is our chance! Hit it once more!
context: Daichi-san, nice serve!\It's short!\There has to be a limit to aiming for the damn net!\Goshiki!\Right!\It's connecting! It's connecting!\Kageyama, get the last!\This is our chance! Hit it once more! response:	They made our setter get it!
context: It's short!\There has to be a limit to aiming for the damn net!\Goshiki!\Right!\It's connecting! It's connecting!\Kageyama, get the last!\This is our chance! Hit it once more!\They made our setter get it! response:	Ushijima-san!
context: There has to be a limit to aiming for the damn net!\Goshiki!\Right!\It's connecting! It's connecting!\Kageyama, get the last!\This is our chance! Hit it once more!\They made our setter get it!\Ushijima-san! response:	Don't panic! If we get the timing wrong, it's all over.
context: Goshiki!\Right!\It's connecting! It's connecting!\Kageyama, get the last!\This is our chance! Hit it once more!\They made our setter get it!\Ushijima-san!\Don't panic! If we get the timing wrong, it's all over. response:	Ready, and...
context: Right!\It's connecting! It's connecting!\Kageyama, get the last!\This is our chance! Hit it once more!\They made our setter get it!\Ushijima-san!\Don't panic! If we get the timing wrong, it's all over.\Ready, and... response:	Do I want a way to fight, even though I'm small?
context: It's connecting! It's connecting!\Kageyama, get the last!\This is our chance! Hit it once more!\They made our setter get it!\Ushijima-san!\Don't panic! If we get the timing wrong, it's all over.\Ready, and...\Do I want a way to fight, even though I'm small? response:	No, I...
context: Kageyama, get the last!\This is our chance! Hit it once more!\They made our setter get it!\Ushijima-san!\Don't panic! If we get the timing wrong, it's all over.\Ready, and...\Do I want a way to fight, even though I'm small?\No, I... response:	I want a simple strength that can make anything surrender.
context: This is our chance! Hit it once more!\They made our setter get it!\Ushijima-san!\Don't panic! If we get the timing wrong, it's all over.\Ready, and...\Do I want a way to fight, even though I'm small?\No, I...\I want a simple strength that can make anything surrender. response:	They're not giving up!
context: They made our setter get it!\Ushijima-san!\Don't panic! If we get the timing wrong, it's all over.\Ready, and...\Do I want a way to fight, even though I'm small?\No, I...\I want a simple strength that can make anything surrender.\They're not giving up! response:	Damn it. But it's taking everything they have just to return the ball.
context: Ushijima-san!\Don't panic! If we get the timing wrong, it's all over.\Ready, and...\Do I want a way to fight, even though I'm small?\No, I...\I want a simple strength that can make anything surrender.\They're not giving up!\Damn it. But it's taking everything they have just to return the ball. response:	A rally where both sides are low stamina and fighting for control of the game...
context: Don't panic! If we get the timing wrong, it's all over.\Ready, and...\Do I want a way to fight, even though I'm small?\No, I...\I want a simple strength that can make anything surrender.\They're not giving up!\Damn it. But it's taking everything they have just to return the ball.\A rally where both sides are low stamina and fighting for control of the game... response:	Don't let your energy run out, and don't stop hitting the ball.
context: Ready, and...\Do I want a way to fight, even though I'm small?\No, I...\I want a simple strength that can make anything surrender.\They're not giving up!\Damn it. But it's taking everything they have just to return the ball.\A rally where both sides are low stamina and fighting for control of the game...\Don't let your energy run out, and don't stop hitting the ball. response:	It hasn't fallen yet.
context: Do I want a way to fight, even though I'm small?\No, I...\I want a simple strength that can make anything surrender.\They're not giving up!\Damn it. But it's taking everything they have just to return the ball.\A rally where both sides are low stamina and fighting for control of the game...\Don't let your energy run out, and don't stop hitting the ball.\It hasn't fallen yet. response:	It hasn't fallen yet.
context: No, I...\I want a simple strength that can make anything surrender.\They're not giving up!\Damn it. But it's taking everything they have just to return the ball.\A rally where both sides are low stamina and fighting for control of the game...\Don't let your energy run out, and don't stop hitting the ball.\It hasn't fallen yet.\It hasn't fallen yet. response:	Stop it!
context: I want a simple strength that can make anything surrender.\They're not giving up!\Damn it. But it's taking everything they have just to return the ball.\A rally where both sides are low stamina and fighting for control of the game...\Don't let your energy run out, and don't stop hitting the ball.\It hasn't fallen yet.\It hasn't fallen yet.\Stop it! response:	This point!
context: They're not giving up!\Damn it. But it's taking everything they have just to return the ball.\A rally where both sides are low stamina and fighting for control of the game...\Don't let your energy run out, and don't stop hitting the ball.\It hasn't fallen yet.\It hasn't fallen yet.\Stop it!\This point! response:	We have to get it, no matter what!
context: Damn it. But it's taking everything they have just to return the ball.\A rally where both sides are low stamina and fighting for control of the game...\Don't let your energy run out, and don't stop hitting the ball.\It hasn't fallen yet.\It hasn't fallen yet.\Stop it!\This point!\We have to get it, no matter what! response:	Shut up! We're stronger!
context: A rally where both sides are low stamina and fighting for control of the game...\Don't let your energy run out, and don't stop hitting the ball.\It hasn't fallen yet.\It hasn't fallen yet.\Stop it!\This point!\We have to get it, no matter what!\Shut up! We're stronger! response:	All right!
context: Don't let your energy run out, and don't stop hitting the ball.\It hasn't fallen yet.\It hasn't fallen yet.\Stop it!\This point!\We have to get it, no matter what!\Shut up! We're stronger!\All right! response:	Nice kill, Ushijima!
context: It hasn't fallen yet.\It hasn't fallen yet.\Stop it!\This point!\We have to get it, no matter what!\Shut up! We're stronger!\All right!\Nice kill, Ushijima! response:	Ushijima! Ushijima!
context: It hasn't fallen yet.\Stop it!\This point!\We have to get it, no matter what!\Shut up! We're stronger!\All right!\Nice kill, Ushijima!\Ushijima! Ushijima! response:	One more point! One more point!
context: Stop it!\This point!\We have to get it, no matter what!\Shut up! We're stronger!\All right!\Nice kill, Ushijima!\Ushijima! Ushijima!\One more point! One more point! response:	Shiratorizawa Karasuno
context: This point!\We have to get it, no matter what!\Shut up! We're stronger!\All right!\Nice kill, Ushijima!\Ushijima! Ushijima!\One more point! One more point!\Shiratorizawa Karasuno response:	One more point! One more point!
context: We have to get it, no matter what!\Shut up! We're stronger!\All right!\Nice kill, Ushijima!\Ushijima! Ushijima!\One more point! One more point!\Shiratorizawa Karasuno\One more point! One more point! response:	Oh, no... Everyone's mood just plummeted.
context: Shut up! We're stronger!\All right!\Nice kill, Ushijima!\Ushijima! Ushijima!\One more point! One more point!\Shiratorizawa Karasuno\One more point! One more point!\Oh, no... Everyone's mood just plummeted. response:	But we don't have any more timeouts...
context: All right!\Nice kill, Ushijima!\Ushijima! Ushijima!\One more point! One more point!\Shiratorizawa Karasuno\One more point! One more point!\Oh, no... Everyone's mood just plummeted.\But we don't have any more timeouts... response:	Don't you dare look down!
context: Nice kill, Ushijima!\Ushijima! Ushijima!\One more point! One more point!\Shiratorizawa Karasuno\One more point! One more point!\Oh, no... Everyone's mood just plummeted.\But we don't have any more timeouts...\Don't you dare look down! response:	Volleyball...
context: Ushijima! Ushijima!\One more point! One more point!\Shiratorizawa Karasuno\One more point! One more point!\Oh, no... Everyone's mood just plummeted.\But we don't have any more timeouts...\Don't you dare look down!\Volleyball... response:	is a sport where you're always looking up!
context: One more point! One more point!\Shiratorizawa Karasuno\One more point! One more point!\Oh, no... Everyone's mood just plummeted.\But we don't have any more timeouts...\Don't you dare look down!\Volleyball...\is a sport where you're always looking up! response:	Hitoka-chan!
context: Shiratorizawa Karasuno\One more point! One more point!\Oh, no... Everyone's mood just plummeted.\But we don't have any more timeouts...\Don't you dare look down!\Volleyball...\is a sport where you're always looking up!\Hitoka-chan! response:	A-Are you okay?
context: One more point! One more point!\Oh, no... Everyone's mood just plummeted.\But we don't have any more timeouts...\Don't you dare look down!\Volleyball...\is a sport where you're always looking up!\Hitoka-chan!\A-Are you okay? response:	I don't usually climb stairs two at a time, so...
context: Oh, no... Everyone's mood just plummeted.\But we don't have any more timeouts...\Don't you dare look down!\Volleyball...\is a sport where you're always looking up!\Hitoka-chan!\A-Are you okay?\I don't usually climb stairs two at a time, so... response:	All right! Now that Yacchan's back, it's finally time for the counterattack!
context: But we don't have any more timeouts...\Don't you dare look down!\Volleyball...\is a sport where you're always looking up!\Hitoka-chan!\A-Are you okay?\I don't usually climb stairs two at a time, so...\All right! Now that Yacchan's back, it's finally time for the counterattack! response:	Episode 09: The Volleyball Idiots
context: Don't you dare look down!\Volleyball...\is a sport where you're always looking up!\Hitoka-chan!\A-Are you okay?\I don't usually climb stairs two at a time, so...\All right! Now that Yacchan's back, it's finally time for the counterattack!\Episode 09: The Volleyball Idiots response:	Next time on Haikyu!! : The Volleyball Idiots.
