context: Fairy Tail has been completely absorbed by the hyperspace magic Anima, response:	which was used by an alternate world Edolas
context: Okay, then! Thanks a lot.\There they are!\Seal off the entrance to the city!\The Royal Army!\You're wizards from Fairy Tail, yes?\Stay right there!\We've already been discovered?\Okay, then! response:	Let's try this sucker out!
context: There they are!\Seal off the entrance to the city!\The Royal Army!\You're wizards from Fairy Tail, yes?\Stay right there!\We've already been discovered?\Okay, then!\Let's try this sucker out! response:	Don't!
context: Seal off the entrance to the city!\The Royal Army!\You're wizards from Fairy Tail, yes?\Stay right there!\We've already been discovered?\Okay, then!\Let's try this sucker out!\Don't! response:	Let's go!
context: The Royal Army!\You're wizards from Fairy Tail, yes?\Stay right there!\We've already been discovered?\Okay, then!\Let's try this sucker out!\Don't!\Let's go! response:	Fire!
context: You're wizards from Fairy Tail, yes?\Stay right there!\We've already been discovered?\Okay, then!\Let's try this sucker out!\Don't!\Let's go!\Fire! response:	Carla, how do I use this again?!
context: Stay right there!\We've already been discovered?\Okay, then!\Let's try this sucker out!\Don't!\Let's go!\Fire!\Carla, how do I use this again?! response:	How should I know?
context: We've already been discovered?\Okay, then!\Let's try this sucker out!\Don't!\Let's go!\Fire!\Carla, how do I use this again?!\How should I know? response:	Shields?
context: Okay, then!\Let's try this sucker out!\Don't!\Let's go!\Fire!\Carla, how do I use this again?!\How should I know?\Shields? response:	One more!
context: Let's try this sucker out!\Don't!\Let's go!\Fire!\Carla, how do I use this again?!\How should I know?\Shields?\One more! response:	Magic power is limited, remember?
context: Don't!\Let's go!\Fire!\Carla, how do I use this again?!\How should I know?\Shields?\One more!\Magic power is limited, remember? response:	All magic has a certain number of times it can be used!
context: Let's go!\Fire!\Carla, how do I use this again?!\How should I know?\Shields?\One more!\Magic power is limited, remember?\All magic has a certain number of times it can be used! response:	Just once?!
context: Fire!\Carla, how do I use this again?!\How should I know?\Shields?\One more!\Magic power is limited, remember?\All magic has a certain number of times it can be used!\Just once?! response:	If you keep the output in mind, you can use it about 100 times!
context: Carla, how do I use this again?!\How should I know?\Shields?\One more!\Magic power is limited, remember?\All magic has a certain number of times it can be used!\Just once?!\If you keep the output in mind, you can use it about 100 times! response:	Capture them!
context: How should I know?\Shields?\One more!\Magic power is limited, remember?\All magic has a certain number of times it can be used!\Just once?!\If you keep the output in mind, you can use it about 100 times!\Capture them! response:	Um... Um...
context: Shields?\One more!\Magic power is limited, remember?\All magic has a certain number of times it can be used!\Just once?!\If you keep the output in mind, you can use it about 100 times!\Capture them!\Um... Um... response:	This is bad!
context: One more!\Magic power is limited, remember?\All magic has a certain number of times it can be used!\Just once?!\If you keep the output in mind, you can use it about 100 times!\Capture them!\Um... Um...\This is bad! response:	What have you done, Wendy?
context: Magic power is limited, remember?\All magic has a certain number of times it can be used!\Just once?!\If you keep the output in mind, you can use it about 100 times!\Capture them!\Um... Um...\This is bad!\What have you done, Wendy? response:	I'm sorry!
context: All magic has a certain number of times it can be used!\Just once?!\If you keep the output in mind, you can use it about 100 times!\Capture them!\Um... Um...\This is bad!\What have you done, Wendy?\I'm sorry! response:	Over there! Capture them at all costs!
context: Just once?!\If you keep the output in mind, you can use it about 100 times!\Capture them!\Um... Um...\This is bad!\What have you done, Wendy?\I'm sorry!\Over there! Capture them at all costs! response:	Yes, sir!
context: If you keep the output in mind, you can use it about 100 times!\Capture them!\Um... Um...\This is bad!\What have you done, Wendy?\I'm sorry!\Over there! Capture them at all costs!\Yes, sir! response:	We've managed to avoid them, but we won't be able to leave the city at this rate.
context: Capture them!\Um... Um...\This is bad!\What have you done, Wendy?\I'm sorry!\Over there! Capture them at all costs!\Yes, sir!\We've managed to avoid them, but we won't be able to leave the city at this rate. response:	The magic here is hard to use.
context: Um... Um...\This is bad!\What have you done, Wendy?\I'm sorry!\Over there! Capture them at all costs!\Yes, sir!\We've managed to avoid them, but we won't be able to leave the city at this rate.\The magic here is hard to use. response:	Yeah...
context: This is bad!\What have you done, Wendy?\I'm sorry!\Over there! Capture them at all costs!\Yes, sir!\We've managed to avoid them, but we won't be able to leave the city at this rate.\The magic here is hard to use.\Yeah... response:	What'll we do?
context: What have you done, Wendy?\I'm sorry!\Over there! Capture them at all costs!\Yes, sir!\We've managed to avoid them, but we won't be able to leave the city at this rate.\The magic here is hard to use.\Yeah...\What'll we do? response:	Isn't there another entrance?
context: I'm sorry!\Over there! Capture them at all costs!\Yes, sir!\We've managed to avoid them, but we won't be able to leave the city at this rate.\The magic here is hard to use.\Yeah...\What'll we do?\Isn't there another entrance? response:	We're in trouble...
context: Over there! Capture them at all costs!\Yes, sir!\We've managed to avoid them, but we won't be able to leave the city at this rate.\The magic here is hard to use.\Yeah...\What'll we do?\Isn't there another entrance?\We're in trouble... response:	We found you, Fairy Tail!
context: Yes, sir!\We've managed to avoid them, but we won't be able to leave the city at this rate.\The magic here is hard to use.\Yeah...\What'll we do?\Isn't there another entrance?\We're in trouble...\We found you, Fairy Tail! response:	Let me go!
context: We've managed to avoid them, but we won't be able to leave the city at this rate.\The magic here is hard to use.\Yeah...\What'll we do?\Isn't there another entrance?\We're in trouble...\We found you, Fairy Tail!\Let me go! response:	Huh?
context: The magic here is hard to use.\Yeah...\What'll we do?\Isn't there another entrance?\We're in trouble...\We found you, Fairy Tail!\Let me go!\Huh? response:	Come with us!
context: Yeah...\What'll we do?\Isn't there another entrance?\We're in trouble...\We found you, Fairy Tail!\Let me go!\Huh?\Come with us! response:	You're Lucy, right?
context: What'll we do?\Isn't there another entrance?\We're in trouble...\We found you, Fairy Tail!\Let me go!\Huh?\Come with us!\You're Lucy, right? response:	Yes, I'm Lucy, but what's going on here?
context: Isn't there another entrance?\We're in trouble...\We found you, Fairy Tail!\Let me go!\Huh?\Come with us!\You're Lucy, right?\Yes, I'm Lucy, but what's going on here? response:	Lucy!
context: We're in trouble...\We found you, Fairy Tail!\Let me go!\Huh?\Come with us!\You're Lucy, right?\Yes, I'm Lucy, but what's going on here?\Lucy! response:	Me?
context: We found you, Fairy Tail!\Let me go!\Huh?\Come with us!\You're Lucy, right?\Yes, I'm Lucy, but what's going on here?\Lucy!\Me? response:	That hurts, sheesh!
context: Let me go!\Huh?\Come with us!\You're Lucy, right?\Yes, I'm Lucy, but what's going on here?\Lucy!\Me?\That hurts, sheesh! response:	Why is Lucy here?
context: Huh?\Come with us!\You're Lucy, right?\Yes, I'm Lucy, but what's going on here?\Lucy!\Me?\That hurts, sheesh!\Why is Lucy here? response:	W-What's going on?
context: Come with us!\You're Lucy, right?\Yes, I'm Lucy, but what's going on here?\Lucy!\Me?\That hurts, sheesh!\Why is Lucy here?\W-What's going on? response:	Man...
context: You're Lucy, right?\Yes, I'm Lucy, but what's going on here?\Lucy!\Me?\That hurts, sheesh!\Why is Lucy here?\W-What's going on?\Man... response:	I have to save her!
context: Yes, I'm Lucy, but what's going on here?\Lucy!\Me?\That hurts, sheesh!\Why is Lucy here?\W-What's going on?\Man...\I have to save her! response:	Hey!
context: Lucy!\Me?\That hurts, sheesh!\Why is Lucy here?\W-What's going on?\Man...\I have to save her!\Hey! response:	Gate of the Scorpion, I open thee!
context: Me?\That hurts, sheesh!\Why is Lucy here?\W-What's going on?\Man...\I have to save her!\Hey!\Gate of the Scorpion, I open thee! response:	Lucy-san, we can't use magic in this world!
context: That hurts, sheesh!\Why is Lucy here?\W-What's going on?\Man...\I have to save her!\Hey!\Gate of the Scorpion, I open thee!\Lucy-san, we can't use magic in this world! response:	Scorpio!
context: Why is Lucy here?\W-What's going on?\Man...\I have to save her!\Hey!\Gate of the Scorpion, I open thee!\Lucy-san, we can't use magic in this world!\Scorpio! response:	We are!
context: W-What's going on?\Man...\I have to save her!\Hey!\Gate of the Scorpion, I open thee!\Lucy-san, we can't use magic in this world!\Scorpio!\We are! response:	Sandbuster!
context: Man...\I have to save her!\Hey!\Gate of the Scorpion, I open thee!\Lucy-san, we can't use magic in this world!\Scorpio!\We are!\Sandbuster! response:	Magic?
context: I have to save her!\Hey!\Gate of the Scorpion, I open thee!\Lucy-san, we can't use magic in this world!\Scorpio!\We are!\Sandbuster!\Magic? response:	How?
context: Hey!\Gate of the Scorpion, I open thee!\Lucy-san, we can't use magic in this world!\Scorpio!\We are!\Sandbuster!\Magic?\How? response:	T-That's...
context: Gate of the Scorpion, I open thee!\Lucy-san, we can't use magic in this world!\Scorpio!\We are!\Sandbuster!\Magic?\How?\T-That's... response:	I'm going on a date with Aquarius now.
context: Lucy-san, we can't use magic in this world!\Scorpio!\We are!\Sandbuster!\Magic?\How?\T-That's...\I'm going on a date with Aquarius now. response:	Later.
context: Scorpio!\We are!\Sandbuster!\Magic?\How?\T-That's...\I'm going on a date with Aquarius now.\Later. response:	Lucy...
context: We are!\Sandbuster!\Magic?\How?\T-That's...\I'm going on a date with Aquarius now.\Later.\Lucy... response:	You guys!
context: Sandbuster!\Magic?\How?\T-That's...\I'm going on a date with Aquarius now.\Later.\Lucy...\You guys! response:	I missed you!
context: Magic?\How?\T-That's...\I'm going on a date with Aquarius now.\Later.\Lucy...\You guys!\I missed you! response:	Somebody explain what's going on...
context: How?\T-That's...\I'm going on a date with Aquarius now.\Later.\Lucy...\You guys!\I missed you!\Somebody explain what's going on... response:	Aye...
context: T-That's...\I'm going on a date with Aquarius now.\Later.\Lucy...\You guys!\I missed you!\Somebody explain what's going on...\Aye... response:	Me?!
context: I'm going on a date with Aquarius now.\Later.\Lucy...\You guys!\I missed you!\Somebody explain what's going on...\Aye...\Me?! response:	Happy, how much longer until the Edolas me shows up?
context: Later.\Lucy...\You guys!\I missed you!\Somebody explain what's going on...\Aye...\Me?!\Happy, how much longer until the Edolas me shows up? response:	Don't ask me...
context: Lucy...\You guys!\I missed you!\Somebody explain what's going on...\Aye...\Me?!\Happy, how much longer until the Edolas me shows up?\Don't ask me... response:	What are you going to do when he does, anyway?
context: You guys!\I missed you!\Somebody explain what's going on...\Aye...\Me?!\Happy, how much longer until the Edolas me shows up?\Don't ask me...\What are you going to do when he does, anyway? response:	We could have a contest to see whose flames are hotter...
context: I missed you!\Somebody explain what's going on...\Aye...\Me?!\Happy, how much longer until the Edolas me shows up?\Don't ask me...\What are you going to do when he does, anyway?\We could have a contest to see whose flames are hotter... response:	Or to see who's stronger, etc...
context: Somebody explain what's going on...\Aye...\Me?!\Happy, how much longer until the Edolas me shows up?\Don't ask me...\What are you going to do when he does, anyway?\We could have a contest to see whose flames are hotter...\Or to see who's stronger, etc... response:	There's plenty of possibilities!
context: Aye...\Me?!\Happy, how much longer until the Edolas me shows up?\Don't ask me...\What are you going to do when he does, anyway?\We could have a contest to see whose flames are hotter...\Or to see who's stronger, etc...\There's plenty of possibilities! response:	Natsu, we didn't come here to play.
context: Me?!\Happy, how much longer until the Edolas me shows up?\Don't ask me...\What are you going to do when he does, anyway?\We could have a contest to see whose flames are hotter...\Or to see who's stronger, etc...\There's plenty of possibilities!\Natsu, we didn't come here to play. response:	You know that, right?
context: Happy, how much longer until the Edolas me shows up?\Don't ask me...\What are you going to do when he does, anyway?\We could have a contest to see whose flames are hotter...\Or to see who's stronger, etc...\There's plenty of possibilities!\Natsu, we didn't come here to play.\You know that, right? response:	Next time: Fireball!
context: Don't ask me...\What are you going to do when he does, anyway?\We could have a contest to see whose flames are hotter...\Or to see who's stronger, etc...\There's plenty of possibilities!\Natsu, we didn't come here to play.\You know that, right?\Next time: Fireball! response:	I know, I know! I don't plan on losing, after all.
context: What are you going to do when he does, anyway?\We could have a contest to see whose flames are hotter...\Or to see who's stronger, etc...\There's plenty of possibilities!\Natsu, we didn't come here to play.\You know that, right?\Next time: Fireball!\I know, I know! I don't plan on losing, after all. response:	I'll fight him totally seriously!
context: We could have a contest to see whose flames are hotter...\Or to see who's stronger, etc...\There's plenty of possibilities!\Natsu, we didn't come here to play.\You know that, right?\Next time: Fireball!\I know, I know! I don't plan on losing, after all.\I'll fight him totally seriously! response:	That's not what I meant. But whatever!
