context: Chance ball! response:	Left!
context: All right!\Come on... break! Break!\Out!\Nice call!\Aoba Johsai Karasuno\Good! Good!\Ryu, last!\Get one more point! response:	Yeah!
context: Come on... break! Break!\Out!\Nice call!\Aoba Johsai Karasuno\Good! Good!\Ryu, last!\Get one more point!\Yeah! response:	The ball in front of me... Everything!
context: Out!\Nice call!\Aoba Johsai Karasuno\Good! Good!\Ryu, last!\Get one more point!\Yeah!\The ball in front of me... Everything! response:	His foot! He kicked it!
context: Nice call!\Aoba Johsai Karasuno\Good! Good!\Ryu, last!\Get one more point!\Yeah!\The ball in front of me... Everything!\His foot! He kicked it! response:	All right!
context: Aoba Johsai Karasuno\Good! Good!\Ryu, last!\Get one more point!\Yeah!\The ball in front of me... Everything!\His foot! He kicked it!\All right! response:	Looks painful.
context: Good! Good!\Ryu, last!\Get one more point!\Yeah!\The ball in front of me... Everything!\His foot! He kicked it!\All right!\Looks painful. response:	Nice, Hinata!
context: Ryu, last!\Get one more point!\Yeah!\The ball in front of me... Everything!\His foot! He kicked it!\All right!\Looks painful.\Nice, Hinata! response:	Break!
context: Get one more point!\Yeah!\The ball in front of me... Everything!\His foot! He kicked it!\All right!\Looks painful.\Nice, Hinata!\Break! response:	One more point!
context: Yeah!\The ball in front of me... Everything!\His foot! He kicked it!\All right!\Looks painful.\Nice, Hinata!\Break!\One more point! response:	Aoba Johsai Karasuno
context: The ball in front of me... Everything!\His foot! He kicked it!\All right!\Looks painful.\Nice, Hinata!\Break!\One more point!\Aoba Johsai Karasuno response:	Kageyama, nice serve!
context: His foot! He kicked it!\All right!\Looks painful.\Nice, Hinata!\Break!\One more point!\Aoba Johsai Karasuno\Kageyama, nice serve! response:	One more...
context: All right!\Looks painful.\Nice, Hinata!\Break!\One more point!\Aoba Johsai Karasuno\Kageyama, nice serve!\One more... response:	Daichi-san!
context: Looks painful.\Nice, Hinata!\Break!\One more point!\Aoba Johsai Karasuno\Kageyama, nice serve!\One more...\Daichi-san! response:	I'm not going to lose!
context: Nice, Hinata!\Break!\One more point!\Aoba Johsai Karasuno\Kageyama, nice serve!\One more...\Daichi-san!\I'm not going to lose! response:	I'm not going to lose!
context: Break!\One more point!\Aoba Johsai Karasuno\Kageyama, nice serve!\One more...\Daichi-san!\I'm not going to lose!\I'm not going to lose! response:	I'm not going to lose!
context: One more point!\Aoba Johsai Karasuno\Kageyama, nice serve!\One more...\Daichi-san!\I'm not going to lose!\I'm not going to lose!\I'm not going to lose! response:	I'm not going to...
context: Aoba Johsai Karasuno\Kageyama, nice serve!\One more...\Daichi-san!\I'm not going to lose!\I'm not going to lose!\I'm not going to lose!\I'm not going to... response:	All right!
context: Kageyama, nice serve!\One more...\Daichi-san!\I'm not going to lose!\I'm not going to lose!\I'm not going to lose!\I'm not going to...\All right! response:	They all feel the same.
context: One more...\Daichi-san!\I'm not going to lose!\I'm not going to lose!\I'm not going to lose!\I'm not going to...\All right!\They all feel the same. response:	Now Seijoh's at
context: Daichi-san!\I'm not going to lose!\I'm not going to lose!\I'm not going to lose!\I'm not going to...\All right!\They all feel the same.\Now Seijoh's at response:	Aoba Johsai Karasuno
context: I'm not going to lose!\I'm not going to lose!\I'm not going to lose!\I'm not going to...\All right!\They all feel the same.\Now Seijoh's at\Aoba Johsai Karasuno response:	match point.
context: I'm not going to lose!\I'm not going to lose!\I'm not going to...\All right!\They all feel the same.\Now Seijoh's at\Aoba Johsai Karasuno\match point. response:	One more point! One more point!
context: I'm not going to lose!\I'm not going to...\All right!\They all feel the same.\Now Seijoh's at\Aoba Johsai Karasuno\match point.\One more point! One more point! response:	Guys, don't freak out!
context: I'm not going to...\All right!\They all feel the same.\Now Seijoh's at\Aoba Johsai Karasuno\match point.\One more point! One more point!\Guys, don't freak out! response:	If we fall, fall forward!
context: All right!\They all feel the same.\Now Seijoh's at\Aoba Johsai Karasuno\match point.\One more point! One more point!\Guys, don't freak out!\If we fall, fall forward! response:	All right!
context: They all feel the same.\Now Seijoh's at\Aoba Johsai Karasuno\match point.\One more point! One more point!\Guys, don't freak out!\If we fall, fall forward!\All right! response:	Asahi-san, nice shot!
context: Now Seijoh's at\Aoba Johsai Karasuno\match point.\One more point! One more point!\Guys, don't freak out!\If we fall, fall forward!\All right!\Asahi-san, nice shot! response:	One more point!
context: Aoba Johsai Karasuno\match point.\One more point! One more point!\Guys, don't freak out!\If we fall, fall forward!\All right!\Asahi-san, nice shot!\One more point! response:	Tanaka, nice serve!
context: match point.\One more point! One more point!\Guys, don't freak out!\If we fall, fall forward!\All right!\Asahi-san, nice shot!\One more point!\Tanaka, nice serve! response:	One more!
context: One more point! One more point!\Guys, don't freak out!\If we fall, fall forward!\All right!\Asahi-san, nice shot!\One more point!\Tanaka, nice serve!\One more! response:	Nice serve!
context: Guys, don't freak out!\If we fall, fall forward!\All right!\Asahi-san, nice shot!\One more point!\Tanaka, nice serve!\One more!\Nice serve! response:	If I miss this serve, the game will be over.
context: If we fall, fall forward!\All right!\Asahi-san, nice shot!\One more point!\Tanaka, nice serve!\One more!\Nice serve!\If I miss this serve, the game will be over. response:	Even if they are able to receive it, and do a decent attack,
context: All right!\Asahi-san, nice shot!\One more point!\Tanaka, nice serve!\One more!\Nice serve!\If I miss this serve, the game will be over.\Even if they are able to receive it, and do a decent attack, response:	it'll all be over.
context: Asahi-san, nice shot!\One more point!\Tanaka, nice serve!\One more!\Nice serve!\If I miss this serve, the game will be over.\Even if they are able to receive it, and do a decent attack,\it'll all be over. response:	A quick is coming! Make sure you don't drop it!
context: One more point!\Tanaka, nice serve!\One more!\Nice serve!\If I miss this serve, the game will be over.\Even if they are able to receive it, and do a decent attack,\it'll all be over.\A quick is coming! Make sure you don't drop it! response:	At least...
context: Tanaka, nice serve!\One more!\Nice serve!\If I miss this serve, the game will be over.\Even if they are able to receive it, and do a decent attack,\it'll all be over.\A quick is coming! Make sure you don't drop it!\At least... response:	Touch it!
context: One more!\Nice serve!\If I miss this serve, the game will be over.\Even if they are able to receive it, and do a decent attack,\it'll all be over.\A quick is coming! Make sure you don't drop it!\At least...\Touch it! response:	Crap! It's going past the net!
context: Nice serve!\If I miss this serve, the game will be over.\Even if they are able to receive it, and do a decent attack,\it'll all be over.\A quick is coming! Make sure you don't drop it!\At least...\Touch it!\Crap! It's going past the net! response:	They're going to hit it head on!
context: If I miss this serve, the game will be over.\Even if they are able to receive it, and do a decent attack,\it'll all be over.\A quick is coming! Make sure you don't drop it!\At least...\Touch it!\Crap! It's going past the net!\They're going to hit it head on! response:	One-hand toss!
context: Even if they are able to receive it, and do a decent attack,\it'll all be over.\A quick is coming! Make sure you don't drop it!\At least...\Touch it!\Crap! It's going past the net!\They're going to hit it head on!\One-hand toss! response:	All right!
context: it'll all be over.\A quick is coming! Make sure you don't drop it!\At least...\Touch it!\Crap! It's going past the net!\They're going to hit it head on!\One-hand toss!\All right! response:	Next Episode Preview
context: A quick is coming! Make sure you don't drop it!\At least...\Touch it!\Crap! It's going past the net!\They're going to hit it head on!\One-hand toss!\All right!\Next Episode Preview response:	You guys are doing a great job of pushing forward.
context: At least...\Touch it!\Crap! It's going past the net!\They're going to hit it head on!\One-hand toss!\All right!\Next Episode Preview\You guys are doing a great job of pushing forward. response:	Thanks!
context: Touch it!\Crap! It's going past the net!\They're going to hit it head on!\One-hand toss!\All right!\Next Episode Preview\You guys are doing a great job of pushing forward.\Thanks! response:	24 vs 24... A deuce.
context: Crap! It's going past the net!\They're going to hit it head on!\One-hand toss!\All right!\Next Episode Preview\You guys are doing a great job of pushing forward.\Thanks!\24 vs 24... A deuce. response:	The one who gets two points first, wins.
context: They're going to hit it head on!\One-hand toss!\All right!\Next Episode Preview\You guys are doing a great job of pushing forward.\Thanks!\24 vs 24... A deuce.\The one who gets two points first, wins. response:	Of course, we'll be the ones to win.
context: One-hand toss!\All right!\Next Episode Preview\You guys are doing a great job of pushing forward.\Thanks!\24 vs 24... A deuce.\The one who gets two points first, wins.\Of course, we'll be the ones to win. response:	Yeah!
context: All right!\Next Episode Preview\You guys are doing a great job of pushing forward.\Thanks!\24 vs 24... A deuce.\The one who gets two points first, wins.\Of course, we'll be the ones to win.\Yeah! response:	Next time on Haikyu!! : Removing The Solitary King.
context: Next Episode Preview\You guys are doing a great job of pushing forward.\Thanks!\24 vs 24... A deuce.\The one who gets two points first, wins.\Of course, we'll be the ones to win.\Yeah!\Next time on Haikyu!! : Removing The Solitary King. response:	Episode 24: Removing The Solitary King
