context: How to contact Luna Nova? response:	What's this now? Have the seeds of love finally sprouted in your withered heart?
context: I will never be able to forget.\I swear upon the Nine Olde Witches!\One day, I will release the seal on the ultimate magic!\I'll become the world's greatest witch!\I also swear it!\I want to bring fun to all.\I want to make everyone in the world forget their sadness and hatred with a smile!\It can't be... response:	The time has come once more for the staff of seven stars to choose a master.
context: I swear upon the Nine Olde Witches!\One day, I will release the seal on the ultimate magic!\I'll become the world's greatest witch!\I also swear it!\I want to bring fun to all.\I want to make everyone in the world forget their sadness and hatred with a smile!\It can't be...\The time has come once more for the staff of seven stars to choose a master. response:	It chose Chariot?
context: One day, I will release the seal on the ultimate magic!\I'll become the world's greatest witch!\I also swear it!\I want to bring fun to all.\I want to make everyone in the world forget their sadness and hatred with a smile!\It can't be...\The time has come once more for the staff of seven stars to choose a master.\It chose Chariot? response:	Why not me?!
context: I'll become the world's greatest witch!\I also swear it!\I want to bring fun to all.\I want to make everyone in the world forget their sadness and hatred with a smile!\It can't be...\The time has come once more for the staff of seven stars to choose a master.\It chose Chariot?\Why not me?! response:	Chariot, you must revive the seven Words with that staff.
context: I also swear it!\I want to bring fun to all.\I want to make everyone in the world forget their sadness and hatred with a smile!\It can't be...\The time has come once more for the staff of seven stars to choose a master.\It chose Chariot?\Why not me?!\Chariot, you must revive the seven Words with that staff. response:	No...
context: I want to bring fun to all.\I want to make everyone in the world forget their sadness and hatred with a smile!\It can't be...\The time has come once more for the staff of seven stars to choose a master.\It chose Chariot?\Why not me?!\Chariot, you must revive the seven Words with that staff.\No... response:	Croix!
context: I want to make everyone in the world forget their sadness and hatred with a smile!\It can't be...\The time has come once more for the staff of seven stars to choose a master.\It chose Chariot?\Why not me?!\Chariot, you must revive the seven Words with that staff.\No...\Croix! response:	Don't stop me!
context: It can't be...\The time has come once more for the staff of seven stars to choose a master.\It chose Chariot?\Why not me?!\Chariot, you must revive the seven Words with that staff.\No...\Croix!\Don't stop me! response:	You're scared, Croix.
context: The time has come once more for the staff of seven stars to choose a master.\It chose Chariot?\Why not me?!\Chariot, you must revive the seven Words with that staff.\No...\Croix!\Don't stop me!\You're scared, Croix. response:	You're scared of Akko getting her hands on the Grand Triskelion.
context: It chose Chariot?\Why not me?!\Chariot, you must revive the seven Words with that staff.\No...\Croix!\Don't stop me!\You're scared, Croix.\You're scared of Akko getting her hands on the Grand Triskelion. response:	Scared?
context: Why not me?!\Chariot, you must revive the seven Words with that staff.\No...\Croix!\Don't stop me!\You're scared, Croix.\You're scared of Akko getting her hands on the Grand Triskelion.\Scared? response:	You might be able to knock Akko off course, but you can't get the Grand Triskelion.
context: Chariot, you must revive the seven Words with that staff.\No...\Croix!\Don't stop me!\You're scared, Croix.\You're scared of Akko getting her hands on the Grand Triskelion.\Scared?\You might be able to knock Akko off course, but you can't get the Grand Triskelion. response:	You should understand that!
context: No...\Croix!\Don't stop me!\You're scared, Croix.\You're scared of Akko getting her hands on the Grand Triskelion.\Scared?\You might be able to knock Akko off course, but you can't get the Grand Triskelion.\You should understand that! response:	She hasn't got the slightest clue about what it means to obtain the Grand Triskelion.
context: Croix!\Don't stop me!\You're scared, Croix.\You're scared of Akko getting her hands on the Grand Triskelion.\Scared?\You might be able to knock Akko off course, but you can't get the Grand Triskelion.\You should understand that!\She hasn't got the slightest clue about what it means to obtain the Grand Triskelion. response:	The staff erred in choosing its owner, just as it did before.
context: Don't stop me!\You're scared, Croix.\You're scared of Akko getting her hands on the Grand Triskelion.\Scared?\You might be able to knock Akko off course, but you can't get the Grand Triskelion.\You should understand that!\She hasn't got the slightest clue about what it means to obtain the Grand Triskelion.\The staff erred in choosing its owner, just as it did before. response:	Well, not that it matters.
context: You're scared, Croix.\You're scared of Akko getting her hands on the Grand Triskelion.\Scared?\You might be able to knock Akko off course, but you can't get the Grand Triskelion.\You should understand that!\She hasn't got the slightest clue about what it means to obtain the Grand Triskelion.\The staff erred in choosing its owner, just as it did before.\Well, not that it matters. response:	I have no more need for that staff.
context: You're scared of Akko getting her hands on the Grand Triskelion.\Scared?\You might be able to knock Akko off course, but you can't get the Grand Triskelion.\You should understand that!\She hasn't got the slightest clue about what it means to obtain the Grand Triskelion.\The staff erred in choosing its owner, just as it did before.\Well, not that it matters.\I have no more need for that staff. response:	Do you want to know why I don't simply leave her alone?
context: Scared?\You might be able to knock Akko off course, but you can't get the Grand Triskelion.\You should understand that!\She hasn't got the slightest clue about what it means to obtain the Grand Triskelion.\The staff erred in choosing its owner, just as it did before.\Well, not that it matters.\I have no more need for that staff.\Do you want to know why I don't simply leave her alone? response:	It's because she is your last hope of a dream.
context: You might be able to knock Akko off course, but you can't get the Grand Triskelion.\You should understand that!\She hasn't got the slightest clue about what it means to obtain the Grand Triskelion.\The staff erred in choosing its owner, just as it did before.\Well, not that it matters.\I have no more need for that staff.\Do you want to know why I don't simply leave her alone?\It's because she is your last hope of a dream. response:	I won't give up...
context: You should understand that!\She hasn't got the slightest clue about what it means to obtain the Grand Triskelion.\The staff erred in choosing its owner, just as it did before.\Well, not that it matters.\I have no more need for that staff.\Do you want to know why I don't simply leave her alone?\It's because she is your last hope of a dream.\I won't give up... response:	I swear... I'll climb all the way up!
context: She hasn't got the slightest clue about what it means to obtain the Grand Triskelion.\The staff erred in choosing its owner, just as it did before.\Well, not that it matters.\I have no more need for that staff.\Do you want to know why I don't simply leave her alone?\It's because she is your last hope of a dream.\I won't give up...\I swear... I'll climb all the way up! response:	What?!
context: The staff erred in choosing its owner, just as it did before.\Well, not that it matters.\I have no more need for that staff.\Do you want to know why I don't simply leave her alone?\It's because she is your last hope of a dream.\I won't give up...\I swear... I'll climb all the way up!\What?! response:	Professor!
context: Well, not that it matters.\I have no more need for that staff.\Do you want to know why I don't simply leave her alone?\It's because she is your last hope of a dream.\I won't give up...\I swear... I'll climb all the way up!\What?!\Professor! response:	Come back, Akko!
context: I have no more need for that staff.\Do you want to know why I don't simply leave her alone?\It's because she is your last hope of a dream.\I won't give up...\I swear... I'll climb all the way up!\What?!\Professor!\Come back, Akko! response:	Hurry, grab on!
context: Do you want to know why I don't simply leave her alone?\It's because she is your last hope of a dream.\I won't give up...\I swear... I'll climb all the way up!\What?!\Professor!\Come back, Akko!\Hurry, grab on! response:	No!
context: It's because she is your last hope of a dream.\I won't give up...\I swear... I'll climb all the way up!\What?!\Professor!\Come back, Akko!\Hurry, grab on!\No! response:	I made it this far already! You were wrong!
context: I won't give up...\I swear... I'll climb all the way up!\What?!\Professor!\Come back, Akko!\Hurry, grab on!\No!\I made it this far already! You were wrong! response:	Professor Croix told me the pollen is still fine!
context: I swear... I'll climb all the way up!\What?!\Professor!\Come back, Akko!\Hurry, grab on!\No!\I made it this far already! You were wrong!\Professor Croix told me the pollen is still fine! response:	No, I'm telling the truth!
context: What?!\Professor!\Come back, Akko!\Hurry, grab on!\No!\I made it this far already! You were wrong!\Professor Croix told me the pollen is still fine!\No, I'm telling the truth! response:	The flowers above us are already opening! You can't go on!
context: Professor!\Come back, Akko!\Hurry, grab on!\No!\I made it this far already! You were wrong!\Professor Croix told me the pollen is still fine!\No, I'm telling the truth!\The flowers above us are already opening! You can't go on! response:	Are you saying that Professor Croix lied to me?
context: Come back, Akko!\Hurry, grab on!\No!\I made it this far already! You were wrong!\Professor Croix told me the pollen is still fine!\No, I'm telling the truth!\The flowers above us are already opening! You can't go on!\Are you saying that Professor Croix lied to me? response:	You don't know what she's really like. Turn back, Akko!
context: Hurry, grab on!\No!\I made it this far already! You were wrong!\Professor Croix told me the pollen is still fine!\No, I'm telling the truth!\The flowers above us are already opening! You can't go on!\Are you saying that Professor Croix lied to me?\You don't know what she's really like. Turn back, Akko! response:	I saw it myself! The buds are shut tight!
context: No!\I made it this far already! You were wrong!\Professor Croix told me the pollen is still fine!\No, I'm telling the truth!\The flowers above us are already opening! You can't go on!\Are you saying that Professor Croix lied to me?\You don't know what she's really like. Turn back, Akko!\I saw it myself! The buds are shut tight! response:	The pollen isn't going anywhere!
context: I made it this far already! You were wrong!\Professor Croix told me the pollen is still fine!\No, I'm telling the truth!\The flowers above us are already opening! You can't go on!\Are you saying that Professor Croix lied to me?\You don't know what she's really like. Turn back, Akko!\I saw it myself! The buds are shut tight!\The pollen isn't going anywhere! response:	Akko, please!
context: Professor Croix told me the pollen is still fine!\No, I'm telling the truth!\The flowers above us are already opening! You can't go on!\Are you saying that Professor Croix lied to me?\You don't know what she's really like. Turn back, Akko!\I saw it myself! The buds are shut tight!\The pollen isn't going anywhere!\Akko, please! response:	Why won't you let me go?!
context: No, I'm telling the truth!\The flowers above us are already opening! You can't go on!\Are you saying that Professor Croix lied to me?\You don't know what she's really like. Turn back, Akko!\I saw it myself! The buds are shut tight!\The pollen isn't going anywhere!\Akko, please!\Why won't you let me go?! response:	You don't understand how desperately I want to meet Chariot!
context: The flowers above us are already opening! You can't go on!\Are you saying that Professor Croix lied to me?\You don't know what she's really like. Turn back, Akko!\I saw it myself! The buds are shut tight!\The pollen isn't going anywhere!\Akko, please!\Why won't you let me go?!\You don't understand how desperately I want to meet Chariot! response:	I don't care about the Words. I just want to meet Chariot!
context: Are you saying that Professor Croix lied to me?\You don't know what she's really like. Turn back, Akko!\I saw it myself! The buds are shut tight!\The pollen isn't going anywhere!\Akko, please!\Why won't you let me go?!\You don't understand how desperately I want to meet Chariot!\I don't care about the Words. I just want to meet Chariot! response:	That's why I've done what you said and collected all the Words!
context: You don't know what she's really like. Turn back, Akko!\I saw it myself! The buds are shut tight!\The pollen isn't going anywhere!\Akko, please!\Why won't you let me go?!\You don't understand how desperately I want to meet Chariot!\I don't care about the Words. I just want to meet Chariot!\That's why I've done what you said and collected all the Words! response:	So why now?!
context: I saw it myself! The buds are shut tight!\The pollen isn't going anywhere!\Akko, please!\Why won't you let me go?!\You don't understand how desperately I want to meet Chariot!\I don't care about the Words. I just want to meet Chariot!\That's why I've done what you said and collected all the Words!\So why now?! response:	Why are you telling me to stop?!
context: The pollen isn't going anywhere!\Akko, please!\Why won't you let me go?!\You don't understand how desperately I want to meet Chariot!\I don't care about the Words. I just want to meet Chariot!\That's why I've done what you said and collected all the Words!\So why now?!\Why are you telling me to stop?! response:	Akko.
context: Akko, please!\Why won't you let me go?!\You don't understand how desperately I want to meet Chariot!\I don't care about the Words. I just want to meet Chariot!\That's why I've done what you said and collected all the Words!\So why now?!\Why are you telling me to stop?!\Akko. response:	Croix!
context: Why won't you let me go?!\You don't understand how desperately I want to meet Chariot!\I don't care about the Words. I just want to meet Chariot!\That's why I've done what you said and collected all the Words!\So why now?!\Why are you telling me to stop?!\Akko.\Croix! response:	I'll convince Professor Ursula.
context: You don't understand how desperately I want to meet Chariot!\I don't care about the Words. I just want to meet Chariot!\That's why I've done what you said and collected all the Words!\So why now?!\Why are you telling me to stop?!\Akko.\Croix!\I'll convince Professor Ursula. response:	Hurry up and go.
context: I don't care about the Words. I just want to meet Chariot!\That's why I've done what you said and collected all the Words!\So why now?!\Why are you telling me to stop?!\Akko.\Croix!\I'll convince Professor Ursula.\Hurry up and go. response:	Thanks, Professor Croix.
context: That's why I've done what you said and collected all the Words!\So why now?!\Why are you telling me to stop?!\Akko.\Croix!\I'll convince Professor Ursula.\Hurry up and go.\Thanks, Professor Croix. response:	Wait, Akko!
context: So why now?!\Why are you telling me to stop?!\Akko.\Croix!\I'll convince Professor Ursula.\Hurry up and go.\Thanks, Professor Croix.\Wait, Akko! response:	Croix, move!
context: Why are you telling me to stop?!\Akko.\Croix!\I'll convince Professor Ursula.\Hurry up and go.\Thanks, Professor Croix.\Wait, Akko!\Croix, move! response:	I don't think I can do that.
context: Akko.\Croix!\I'll convince Professor Ursula.\Hurry up and go.\Thanks, Professor Croix.\Wait, Akko!\Croix, move!\I don't think I can do that. response:	You're not going anywhere.
context: Croix!\I'll convince Professor Ursula.\Hurry up and go.\Thanks, Professor Croix.\Wait, Akko!\Croix, move!\I don't think I can do that.\You're not going anywhere. response:	Give up already!
context: I'll convince Professor Ursula.\Hurry up and go.\Thanks, Professor Croix.\Wait, Akko!\Croix, move!\I don't think I can do that.\You're not going anywhere.\Give up already! response:	Chariot! Wake up, Chariot!
context: Hurry up and go.\Thanks, Professor Croix.\Wait, Akko!\Croix, move!\I don't think I can do that.\You're not going anywhere.\Give up already!\Chariot! Wake up, Chariot! response:	Croix...
context: Thanks, Professor Croix.\Wait, Akko!\Croix, move!\I don't think I can do that.\You're not going anywhere.\Give up already!\Chariot! Wake up, Chariot!\Croix... response:	Chariot...
context: Wait, Akko!\Croix, move!\I don't think I can do that.\You're not going anywhere.\Give up already!\Chariot! Wake up, Chariot!\Croix...\Chariot... response:	Chariot!
context: Croix, move!\I don't think I can do that.\You're not going anywhere.\Give up already!\Chariot! Wake up, Chariot!\Croix...\Chariot...\Chariot! response:	The pollen will be released in only a moment.
context: I don't think I can do that.\You're not going anywhere.\Give up already!\Chariot! Wake up, Chariot!\Croix...\Chariot...\Chariot!\The pollen will be released in only a moment. response:	You'll never make it in time.
context: You're not going anywhere.\Give up already!\Chariot! Wake up, Chariot!\Croix...\Chariot...\Chariot!\The pollen will be released in only a moment.\You'll never make it in time. response:	Give it up.
context: Give up already!\Chariot! Wake up, Chariot!\Croix...\Chariot...\Chariot!\The pollen will be released in only a moment.\You'll never make it in time.\Give it up. response:	I'll protect Akko.
context: Chariot! Wake up, Chariot!\Croix...\Chariot...\Chariot!\The pollen will be released in only a moment.\You'll never make it in time.\Give it up.\I'll protect Akko. response:	No way...
context: Croix...\Chariot...\Chariot!\The pollen will be released in only a moment.\You'll never make it in time.\Give it up.\I'll protect Akko.\No way... response:	That's enough!
context: Chariot...\Chariot!\The pollen will be released in only a moment.\You'll never make it in time.\Give it up.\I'll protect Akko.\No way...\That's enough! response:	I won't lose.
context: Chariot!\The pollen will be released in only a moment.\You'll never make it in time.\Give it up.\I'll protect Akko.\No way...\That's enough!\I won't lose. response:	I'm going to meet Chariot!
context: The pollen will be released in only a moment.\You'll never make it in time.\Give it up.\I'll protect Akko.\No way...\That's enough!\I won't lose.\I'm going to meet Chariot! response:	I'll become a witch like Chariot!
context: You'll never make it in time.\Give it up.\I'll protect Akko.\No way...\That's enough!\I won't lose.\I'm going to meet Chariot!\I'll become a witch like Chariot! response:	I have to go.
context: Give it up.\I'll protect Akko.\No way...\That's enough!\I won't lose.\I'm going to meet Chariot!\I'll become a witch like Chariot!\I have to go. response:	The pollen!
context: I'll protect Akko.\No way...\That's enough!\I won't lose.\I'm going to meet Chariot!\I'll become a witch like Chariot!\I have to go.\The pollen! response:	No!
context: No way...\That's enough!\I won't lose.\I'm going to meet Chariot!\I'll become a witch like Chariot!\I have to go.\The pollen!\No! response:	It's all over...
context: That's enough!\I won't lose.\I'm going to meet Chariot!\I'll become a witch like Chariot!\I have to go.\The pollen!\No!\It's all over... response:	Akko!
context: I won't lose.\I'm going to meet Chariot!\I'll become a witch like Chariot!\I have to go.\The pollen!\No!\It's all over...\Akko! response:	I'm begging you... please don't steal her future!
context: I'm going to meet Chariot!\I'll become a witch like Chariot!\I have to go.\The pollen!\No!\It's all over...\Akko!\I'm begging you... please don't steal her future! response:	Professor Ursula?!
context: I'll become a witch like Chariot!\I have to go.\The pollen!\No!\It's all over...\Akko!\I'm begging you... please don't steal her future!\Professor Ursula?! response:	Akko...
context: I have to go.\The pollen!\No!\It's all over...\Akko!\I'm begging you... please don't steal her future!\Professor Ursula?!\Akko... response:	Are you hurt?
context: The pollen!\No!\It's all over...\Akko!\I'm begging you... please don't steal her future!\Professor Ursula?!\Akko...\Are you hurt? response:	Professor, I'm so sorry...
context: No!\It's all over...\Akko!\I'm begging you... please don't steal her future!\Professor Ursula?!\Akko...\Are you hurt?\Professor, I'm so sorry... response:	But you still saved me...
context: It's all over...\Akko!\I'm begging you... please don't steal her future!\Professor Ursula?!\Akko...\Are you hurt?\Professor, I'm so sorry...\But you still saved me... response:	I'm sorry...
context: Akko!\I'm begging you... please don't steal her future!\Professor Ursula?!\Akko...\Are you hurt?\Professor, I'm so sorry...\But you still saved me...\I'm sorry... response:	I'm so sorry...
context: I'm begging you... please don't steal her future!\Professor Ursula?!\Akko...\Are you hurt?\Professor, I'm so sorry...\But you still saved me...\I'm sorry...\I'm so sorry... response:	Croix...
context: Professor Ursula?!\Akko...\Are you hurt?\Professor, I'm so sorry...\But you still saved me...\I'm sorry...\I'm so sorry...\Croix... response:	Not me...
context: Akko...\Are you hurt?\Professor, I'm so sorry...\But you still saved me...\I'm sorry...\I'm so sorry...\Croix...\Not me... response:	It was... it was supposed to be you...
context: Are you hurt?\Professor, I'm so sorry...\But you still saved me...\I'm sorry...\I'm so sorry...\Croix...\Not me...\It was... it was supposed to be you... response:	Why did I...
context: Professor, I'm so sorry...\But you still saved me...\I'm sorry...\I'm so sorry...\Croix...\Not me...\It was... it was supposed to be you...\Why did I... response:	Accept it, Chariot.
context: But you still saved me...\I'm sorry...\I'm so sorry...\Croix...\Not me...\It was... it was supposed to be you...\Why did I...\Accept it, Chariot. response:	You were entrusted with it.
context: I'm sorry...\I'm so sorry...\Croix...\Not me...\It was... it was supposed to be you...\Why did I...\Accept it, Chariot.\You were entrusted with it. response:	You'll be the one to get the Grand Triskelion.
context: I'm so sorry...\Croix...\Not me...\It was... it was supposed to be you...\Why did I...\Accept it, Chariot.\You were entrusted with it.\You'll be the one to get the Grand Triskelion. response:	I'm the one who needs to apologize.
context: Croix...\Not me...\It was... it was supposed to be you...\Why did I...\Accept it, Chariot.\You were entrusted with it.\You'll be the one to get the Grand Triskelion.\I'm the one who needs to apologize. response:	I might've just been pushing my wish onto you.
context: Not me...\It was... it was supposed to be you...\Why did I...\Accept it, Chariot.\You were entrusted with it.\You'll be the one to get the Grand Triskelion.\I'm the one who needs to apologize.\I might've just been pushing my wish onto you. response:	I wasn't thinking about your true feelings at all.
context: It was... it was supposed to be you...\Why did I...\Accept it, Chariot.\You were entrusted with it.\You'll be the one to get the Grand Triskelion.\I'm the one who needs to apologize.\I might've just been pushing my wish onto you.\I wasn't thinking about your true feelings at all. response:	That's not true! You didn't force me to do anything!
context: Why did I...\Accept it, Chariot.\You were entrusted with it.\You'll be the one to get the Grand Triskelion.\I'm the one who needs to apologize.\I might've just been pushing my wish onto you.\I wasn't thinking about your true feelings at all.\That's not true! You didn't force me to do anything! response:	It was my own decision to gather the Words.
context: Accept it, Chariot.\You were entrusted with it.\You'll be the one to get the Grand Triskelion.\I'm the one who needs to apologize.\I might've just been pushing my wish onto you.\I wasn't thinking about your true feelings at all.\That's not true! You didn't force me to do anything!\It was my own decision to gather the Words. response:	I've gone through so much, and experienced so many things, but I haven't grown one bit!
context: You were entrusted with it.\You'll be the one to get the Grand Triskelion.\I'm the one who needs to apologize.\I might've just been pushing my wish onto you.\I wasn't thinking about your true feelings at all.\That's not true! You didn't force me to do anything!\It was my own decision to gather the Words.\I've gone through so much, and experienced so many things, but I haven't grown one bit! response:	I never meant to say that to you!
context: You'll be the one to get the Grand Triskelion.\I'm the one who needs to apologize.\I might've just been pushing my wish onto you.\I wasn't thinking about your true feelings at all.\That's not true! You didn't force me to do anything!\It was my own decision to gather the Words.\I've gone through so much, and experienced so many things, but I haven't grown one bit!\I never meant to say that to you! response:	You've always come to my rescue, always been there for me, so I...
context: I'm the one who needs to apologize.\I might've just been pushing my wish onto you.\I wasn't thinking about your true feelings at all.\That's not true! You didn't force me to do anything!\It was my own decision to gather the Words.\I've gone through so much, and experienced so many things, but I haven't grown one bit!\I never meant to say that to you!\You've always come to my rescue, always been there for me, so I... response:	What I really wanted to say was...
context: I might've just been pushing my wish onto you.\I wasn't thinking about your true feelings at all.\That's not true! You didn't force me to do anything!\It was my own decision to gather the Words.\I've gone through so much, and experienced so many things, but I haven't grown one bit!\I never meant to say that to you!\You've always come to my rescue, always been there for me, so I...\What I really wanted to say was... response:	Thank you.
context: I wasn't thinking about your true feelings at all.\That's not true! You didn't force me to do anything!\It was my own decision to gather the Words.\I've gone through so much, and experienced so many things, but I haven't grown one bit!\I never meant to say that to you!\You've always come to my rescue, always been there for me, so I...\What I really wanted to say was...\Thank you. response:	Lyonne.
context: That's not true! You didn't force me to do anything!\It was my own decision to gather the Words.\I've gone through so much, and experienced so many things, but I haven't grown one bit!\I never meant to say that to you!\You've always come to my rescue, always been there for me, so I...\What I really wanted to say was...\Thank you.\Lyonne. response:	That's it... that's what Lyonne means.
context: It was my own decision to gather the Words.\I've gone through so much, and experienced so many things, but I haven't grown one bit!\I never meant to say that to you!\You've always come to my rescue, always been there for me, so I...\What I really wanted to say was...\Thank you.\Lyonne.\That's it... that's what Lyonne means. response:	Accept it, Chariot.
context: I've gone through so much, and experienced so many things, but I haven't grown one bit!\I never meant to say that to you!\You've always come to my rescue, always been there for me, so I...\What I really wanted to say was...\Thank you.\Lyonne.\That's it... that's what Lyonne means.\Accept it, Chariot. response:	You were entrusted with it.
context: I never meant to say that to you!\You've always come to my rescue, always been there for me, so I...\What I really wanted to say was...\Thank you.\Lyonne.\That's it... that's what Lyonne means.\Accept it, Chariot.\You were entrusted with it. response:	Lyonne.
context: You've always come to my rescue, always been there for me, so I...\What I really wanted to say was...\Thank you.\Lyonne.\That's it... that's what Lyonne means.\Accept it, Chariot.\You were entrusted with it.\Lyonne. response:	Lyonne.
context: What I really wanted to say was...\Thank you.\Lyonne.\That's it... that's what Lyonne means.\Accept it, Chariot.\You were entrusted with it.\Lyonne.\Lyonne. response:	Not a single person has ever seen the top of Wagandea.
context: Thank you.\Lyonne.\That's it... that's what Lyonne means.\Accept it, Chariot.\You were entrusted with it.\Lyonne.\Lyonne.\Not a single person has ever seen the top of Wagandea. response:	Wagandea has no end.
context: Lyonne.\That's it... that's what Lyonne means.\Accept it, Chariot.\You were entrusted with it.\Lyonne.\Lyonne.\Not a single person has ever seen the top of Wagandea.\Wagandea has no end. response:	Akko.
context: That's it... that's what Lyonne means.\Accept it, Chariot.\You were entrusted with it.\Lyonne.\Lyonne.\Not a single person has ever seen the top of Wagandea.\Wagandea has no end.\Akko. response:	You've grown so much.
context: Accept it, Chariot.\You were entrusted with it.\Lyonne.\Lyonne.\Not a single person has ever seen the top of Wagandea.\Wagandea has no end.\Akko.\You've grown so much. response:	I have no need for the Shiny Rod or the seven Words.
context: You were entrusted with it.\Lyonne.\Lyonne.\Not a single person has ever seen the top of Wagandea.\Wagandea has no end.\Akko.\You've grown so much.\I have no need for the Shiny Rod or the seven Words. response:	I will use the most forceful method I can think of, take the seal on the Grand Triskelion...
context: Lyonne.\Lyonne.\Not a single person has ever seen the top of Wagandea.\Wagandea has no end.\Akko.\You've grown so much.\I have no need for the Shiny Rod or the seven Words.\I will use the most forceful method I can think of, take the seal on the Grand Triskelion... response:	And break it.
context: Lyonne.\Not a single person has ever seen the top of Wagandea.\Wagandea has no end.\Akko.\You've grown so much.\I have no need for the Shiny Rod or the seven Words.\I will use the most forceful method I can think of, take the seal on the Grand Triskelion...\And break it. response:	Even though I just learned another spell
context: Not a single person has ever seen the top of Wagandea.\Wagandea has no end.\Akko.\You've grown so much.\I have no need for the Shiny Rod or the seven Words.\I will use the most forceful method I can think of, take the seal on the Grand Triskelion...\And break it.\Even though I just learned another spell response:	oboetate no jumon ja
context: Wagandea has no end.\Akko.\You've grown so much.\I have no need for the Shiny Rod or the seven Words.\I will use the most forceful method I can think of, take the seal on the Grand Triskelion...\And break it.\Even though I just learned another spell\oboetate no jumon ja response:	Even though I just learned another spell
context: Akko.\You've grown so much.\I have no need for the Shiny Rod or the seven Words.\I will use the most forceful method I can think of, take the seal on the Grand Triskelion...\And break it.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell response:	oboetate no jumon ja
context: You've grown so much.\I have no need for the Shiny Rod or the seven Words.\I will use the most forceful method I can think of, take the seal on the Grand Triskelion...\And break it.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja response:	The things I want to do are still out of reach
context: I have no need for the Shiny Rod or the seven Words.\I will use the most forceful method I can think of, take the seal on the Grand Triskelion...\And break it.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach response:	kanawanai koto bakari dakedo
context: I will use the most forceful method I can think of, take the seal on the Grand Triskelion...\And break it.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo response:	The things I want to do are still out of reach
context: And break it.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach response:	kanawanai koto bakari dakedo
context: Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo response:	My skills are no match for my fantasies
context: oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies response:	imeeji suru no wa ima yori takaku
context: Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku response:	My skills are no match for my fantasies
context: oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies response:	imeeji suru no wa ima yori takaku
context: The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku response:	Yet my heart leaps out to meet them
context: kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them response:	tobitachi odoridasu kokoro
context: The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro response:	Yet my heart leaps out to meet them
context: kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them response:	tobitachi odoridasu kokoro
context: My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro response:	Breaking my tiny shell one layer at a time
context: imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time response:	chiisana kara nandomo nugisutete
context: My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete response:	Breaking my tiny shell one layer at a time
