context: Hear me, humans! response:	I'll leave Ente Isla in your hands for now.
context: Yeah, she sure was pretty, right?!\Right, Maou?\Right?!\I heard you the first time.\What's with you, Chiho?\What does it matter if she and I\I think I'd like...\Go ahead. response:	See ya later, Maou.
context: Right, Maou?\Right?!\I heard you the first time.\What's with you, Chiho?\What does it matter if she and I\I think I'd like...\Go ahead.\See ya later, Maou. response:	All right. Good work, Chiho.
context: Right?!\I heard you the first time.\What's with you, Chiho?\What does it matter if she and I\I think I'd like...\Go ahead.\See ya later, Maou.\All right. Good work, Chiho. response:	Good work
context: I heard you the first time.\What's with you, Chiho?\What does it matter if she and I\I think I'd like...\Go ahead.\See ya later, Maou.\All right. Good work, Chiho.\Good work response:	Maou!
context: What's with you, Chiho?\What does it matter if she and I\I think I'd like...\Go ahead.\See ya later, Maou.\All right. Good work, Chiho.\Good work\Maou! response:	Yeah?
context: What does it matter if she and I\I think I'd like...\Go ahead.\See ya later, Maou.\All right. Good work, Chiho.\Good work\Maou!\Yeah? response:	Were you all right during yesterday's earthquake?
context: I think I'd like...\Go ahead.\See ya later, Maou.\All right. Good work, Chiho.\Good work\Maou!\Yeah?\Were you all right during yesterday's earthquake? response:	Earthquake?
context: Go ahead.\See ya later, Maou.\All right. Good work, Chiho.\Good work\Maou!\Yeah?\Were you all right during yesterday's earthquake?\Earthquake? response:	Oh yeah, there was one...
context: See ya later, Maou.\All right. Good work, Chiho.\Good work\Maou!\Yeah?\Were you all right during yesterday's earthquake?\Earthquake?\Oh yeah, there was one... response:	Looked like my roommate didn't notice it, though.
context: All right. Good work, Chiho.\Good work\Maou!\Yeah?\Were you all right during yesterday's earthquake?\Earthquake?\Oh yeah, there was one...\Looked like my roommate didn't notice it, though. response:	You have a roommate?!
context: Good work\Maou!\Yeah?\Were you all right during yesterday's earthquake?\Earthquake?\Oh yeah, there was one...\Looked like my roommate didn't notice it, though.\You have a roommate?! response:	Why do you ask?
context: Maou!\Yeah?\Were you all right during yesterday's earthquake?\Earthquake?\Oh yeah, there was one...\Looked like my roommate didn't notice it, though.\You have a roommate?!\Why do you ask? response:	I didn't know you had a roommate.
context: Yeah?\Were you all right during yesterday's earthquake?\Earthquake?\Oh yeah, there was one...\Looked like my roommate didn't notice it, though.\You have a roommate?!\Why do you ask?\I didn't know you had a roommate. response:	No, why'd you ask about the earthquake?
context: Were you all right during yesterday's earthquake?\Earthquake?\Oh yeah, there was one...\Looked like my roommate didn't notice it, though.\You have a roommate?!\Why do you ask?\I didn't know you had a roommate.\No, why'd you ask about the earthquake? response:	Huh? Y-Yeah...
context: Earthquake?\Oh yeah, there was one...\Looked like my roommate didn't notice it, though.\You have a roommate?!\Why do you ask?\I didn't know you had a roommate.\No, why'd you ask about the earthquake?\Huh? Y-Yeah... response:	My house was hit pretty hard.
context: Oh yeah, there was one...\Looked like my roommate didn't notice it, though.\You have a roommate?!\Why do you ask?\I didn't know you had a roommate.\No, why'd you ask about the earthquake?\Huh? Y-Yeah...\My house was hit pretty hard. response:	When I got home from school,
context: Looked like my roommate didn't notice it, though.\You have a roommate?!\Why do you ask?\I didn't know you had a roommate.\No, why'd you ask about the earthquake?\Huh? Y-Yeah...\My house was hit pretty hard.\When I got home from school, response:	I saw that my books and CDs were all over the floor.
context: You have a roommate?!\Why do you ask?\I didn't know you had a roommate.\No, why'd you ask about the earthquake?\Huh? Y-Yeah...\My house was hit pretty hard.\When I got home from school,\I saw that my books and CDs were all over the floor. response:	What?
context: Why do you ask?\I didn't know you had a roommate.\No, why'd you ask about the earthquake?\Huh? Y-Yeah...\My house was hit pretty hard.\When I got home from school,\I saw that my books and CDs were all over the floor.\What? response:	It wasn't that big an earthquake, though.
context: I didn't know you had a roommate.\No, why'd you ask about the earthquake?\Huh? Y-Yeah...\My house was hit pretty hard.\When I got home from school,\I saw that my books and CDs were all over the floor.\What?\It wasn't that big an earthquake, though. response:	That's the thing.
context: No, why'd you ask about the earthquake?\Huh? Y-Yeah...\My house was hit pretty hard.\When I got home from school,\I saw that my books and CDs were all over the floor.\What?\It wasn't that big an earthquake, though.\That's the thing. response:	I asked my friends at school about it,
context: Huh? Y-Yeah...\My house was hit pretty hard.\When I got home from school,\I saw that my books and CDs were all over the floor.\What?\It wasn't that big an earthquake, though.\That's the thing.\I asked my friends at school about it, response:	but for some reason, only my place was affected that badly.
context: My house was hit pretty hard.\When I got home from school,\I saw that my books and CDs were all over the floor.\What?\It wasn't that big an earthquake, though.\That's the thing.\I asked my friends at school about it,\but for some reason, only my place was affected that badly. response:	By the way, Maou!
context: When I got home from school,\I saw that my books and CDs were all over the floor.\What?\It wasn't that big an earthquake, though.\That's the thing.\I asked my friends at school about it,\but for some reason, only my place was affected that badly.\By the way, Maou! response:	Y-Yeah?
context: I saw that my books and CDs were all over the floor.\What?\It wasn't that big an earthquake, though.\That's the thing.\I asked my friends at school about it,\but for some reason, only my place was affected that badly.\By the way, Maou!\Y-Yeah? response:	You said something about a roommate earlier.
context: What?\It wasn't that big an earthquake, though.\That's the thing.\I asked my friends at school about it,\but for some reason, only my place was affected that badly.\By the way, Maou!\Y-Yeah?\You said something about a roommate earlier. response:	Y-Yeah...
context: It wasn't that big an earthquake, though.\That's the thing.\I asked my friends at school about it,\but for some reason, only my place was affected that badly.\By the way, Maou!\Y-Yeah?\You said something about a roommate earlier.\Y-Yeah... response:	Do you mean you're l-l-living together with your girlfriend?
context: That's the thing.\I asked my friends at school about it,\but for some reason, only my place was affected that badly.\By the way, Maou!\Y-Yeah?\You said something about a roommate earlier.\Y-Yeah...\Do you mean you're l-l-living together with your girlfriend? response:	Nah, I'm living a broke-ass life with my trusted subordina
context: I asked my friends at school about it,\but for some reason, only my place was affected that badly.\By the way, Maou!\Y-Yeah?\You said something about a roommate earlier.\Y-Yeah...\Do you mean you're l-l-living together with your girlfriend?\Nah, I'm living a broke-ass life with my trusted subordina response:	With an old friend of mine.
context: but for some reason, only my place was affected that badly.\By the way, Maou!\Y-Yeah?\You said something about a roommate earlier.\Y-Yeah...\Do you mean you're l-l-living together with your girlfriend?\Nah, I'm living a broke-ass life with my trusted subordina\With an old friend of mine. response:	Oh, is that so?
context: By the way, Maou!\Y-Yeah?\You said something about a roommate earlier.\Y-Yeah...\Do you mean you're l-l-living together with your girlfriend?\Nah, I'm living a broke-ass life with my trusted subordina\With an old friend of mine.\Oh, is that so? response:	That's a relief.
context: Y-Yeah?\You said something about a roommate earlier.\Y-Yeah...\Do you mean you're l-l-living together with your girlfriend?\Nah, I'm living a broke-ass life with my trusted subordina\With an old friend of mine.\Oh, is that so?\That's a relief. response:	What is?
context: You said something about a roommate earlier.\Y-Yeah...\Do you mean you're l-l-living together with your girlfriend?\Nah, I'm living a broke-ass life with my trusted subordina\With an old friend of mine.\Oh, is that so?\That's a relief.\What is? response:	So, what did you want to talk about?
context: Y-Yeah...\Do you mean you're l-l-living together with your girlfriend?\Nah, I'm living a broke-ass life with my trusted subordina\With an old friend of mine.\Oh, is that so?\That's a relief.\What is?\So, what did you want to talk about? response:	I thought I'd ask you a question.
context: Do you mean you're l-l-living together with your girlfriend?\Nah, I'm living a broke-ass life with my trusted subordina\With an old friend of mine.\Oh, is that so?\That's a relief.\What is?\So, what did you want to talk about?\I thought I'd ask you a question. response:	Do you want to keep living in this world forever?
context: Nah, I'm living a broke-ass life with my trusted subordina\With an old friend of mine.\Oh, is that so?\That's a relief.\What is?\So, what did you want to talk about?\I thought I'd ask you a question.\Do you want to keep living in this world forever? response:	Huh?
context: With an old friend of mine.\Oh, is that so?\That's a relief.\What is?\So, what did you want to talk about?\I thought I'd ask you a question.\Do you want to keep living in this world forever?\Huh? response:	Of course not.
context: Oh, is that so?\That's a relief.\What is?\So, what did you want to talk about?\I thought I'd ask you a question.\Do you want to keep living in this world forever?\Huh?\Of course not. response:	What the hell are you talking about?
context: That's a relief.\What is?\So, what did you want to talk about?\I thought I'd ask you a question.\Do you want to keep living in this world forever?\Huh?\Of course not.\What the hell are you talking about? response:	I've watched how you live your life these past few days.
context: What is?\So, what did you want to talk about?\I thought I'd ask you a question.\Do you want to keep living in this world forever?\Huh?\Of course not.\What the hell are you talking about?\I've watched how you live your life these past few days. response:	What are you, a stalker?
context: So, what did you want to talk about?\I thought I'd ask you a question.\Do you want to keep living in this world forever?\Huh?\Of course not.\What the hell are you talking about?\I've watched how you live your life these past few days.\What are you, a stalker? response:	You committed no sins.
context: I thought I'd ask you a question.\Do you want to keep living in this world forever?\Huh?\Of course not.\What the hell are you talking about?\I've watched how you live your life these past few days.\What are you, a stalker?\You committed no sins. response:	You just passed your days living a simple and honest life.
context: Do you want to keep living in this world forever?\Huh?\Of course not.\What the hell are you talking about?\I've watched how you live your life these past few days.\What are you, a stalker?\You committed no sins.\You just passed your days living a simple and honest life. response:	Your boss and coworkers trust you,
context: Huh?\Of course not.\What the hell are you talking about?\I've watched how you live your life these past few days.\What are you, a stalker?\You committed no sins.\You just passed your days living a simple and honest life.\Your boss and coworkers trust you, response:	and you can deal with the customers confidently and flexibly.
context: Of course not.\What the hell are you talking about?\I've watched how you live your life these past few days.\What are you, a stalker?\You committed no sins.\You just passed your days living a simple and honest life.\Your boss and coworkers trust you,\and you can deal with the customers confidently and flexibly. response:	You're pretty much the ideal MagD employee.
context: What the hell are you talking about?\I've watched how you live your life these past few days.\What are you, a stalker?\You committed no sins.\You just passed your days living a simple and honest life.\Your boss and coworkers trust you,\and you can deal with the customers confidently and flexibly.\You're pretty much the ideal MagD employee. response:	It's not MagD.
context: I've watched how you live your life these past few days.\What are you, a stalker?\You committed no sins.\You just passed your days living a simple and honest life.\Your boss and coworkers trust you,\and you can deal with the customers confidently and flexibly.\You're pretty much the ideal MagD employee.\It's not MagD. response:	I almost dismissed your rant the other day as nonsense,
context: What are you, a stalker?\You committed no sins.\You just passed your days living a simple and honest life.\Your boss and coworkers trust you,\and you can deal with the customers confidently and flexibly.\You're pretty much the ideal MagD employee.\It's not MagD.\I almost dismissed your rant the other day as nonsense, response:	but I'm starting to think you were actually serious back then.
context: You committed no sins.\You just passed your days living a simple and honest life.\Your boss and coworkers trust you,\and you can deal with the customers confidently and flexibly.\You're pretty much the ideal MagD employee.\It's not MagD.\I almost dismissed your rant the other day as nonsense,\but I'm starting to think you were actually serious back then. response:	If you'll live out your life in this world,
context: You just passed your days living a simple and honest life.\Your boss and coworkers trust you,\and you can deal with the customers confidently and flexibly.\You're pretty much the ideal MagD employee.\It's not MagD.\I almost dismissed your rant the other day as nonsense,\but I'm starting to think you were actually serious back then.\If you'll live out your life in this world, response:	I won't have to kill you.
context: Your boss and coworkers trust you,\and you can deal with the customers confidently and flexibly.\You're pretty much the ideal MagD employee.\It's not MagD.\I almost dismissed your rant the other day as nonsense,\but I'm starting to think you were actually serious back then.\If you'll live out your life in this world,\I won't have to kill you. response:	Stay here in Sasazuka for the rest of your life.
context: and you can deal with the customers confidently and flexibly.\You're pretty much the ideal MagD employee.\It's not MagD.\I almost dismissed your rant the other day as nonsense,\but I'm starting to think you were actually serious back then.\If you'll live out your life in this world,\I won't have to kill you.\Stay here in Sasazuka for the rest of your life. response:	Do you enjoy telling two guys to live together for the rest of their lives?
context: You're pretty much the ideal MagD employee.\It's not MagD.\I almost dismissed your rant the other day as nonsense,\but I'm starting to think you were actually serious back then.\If you'll live out your life in this world,\I won't have to kill you.\Stay here in Sasazuka for the rest of your life.\Do you enjoy telling two guys to live together for the rest of their lives? response:	Give up on Ente Isla
context: It's not MagD.\I almost dismissed your rant the other day as nonsense,\but I'm starting to think you were actually serious back then.\If you'll live out your life in this world,\I won't have to kill you.\Stay here in Sasazuka for the rest of your life.\Do you enjoy telling two guys to live together for the rest of their lives?\Give up on Ente Isla response:	and find yourself a new life here.
context: I almost dismissed your rant the other day as nonsense,\but I'm starting to think you were actually serious back then.\If you'll live out your life in this world,\I won't have to kill you.\Stay here in Sasazuka for the rest of your life.\Do you enjoy telling two guys to live together for the rest of their lives?\Give up on Ente Isla\and find yourself a new life here. response:	Not happening.
context: but I'm starting to think you were actually serious back then.\If you'll live out your life in this world,\I won't have to kill you.\Stay here in Sasazuka for the rest of your life.\Do you enjoy telling two guys to live together for the rest of their lives?\Give up on Ente Isla\and find yourself a new life here.\Not happening. response:	I will definitely return to conquer Ente Isla.
context: If you'll live out your life in this world,\I won't have to kill you.\Stay here in Sasazuka for the rest of your life.\Do you enjoy telling two guys to live together for the rest of their lives?\Give up on Ente Isla\and find yourself a new life here.\Not happening.\I will definitely return to conquer Ente Isla. response:	Whoa!
context: I won't have to kill you.\Stay here in Sasazuka for the rest of your life.\Do you enjoy telling two guys to live together for the rest of their lives?\Give up on Ente Isla\and find yourself a new life here.\Not happening.\I will definitely return to conquer Ente Isla.\Whoa! response:	Pathetic.
context: Stay here in Sasazuka for the rest of your life.\Do you enjoy telling two guys to live together for the rest of their lives?\Give up on Ente Isla\and find yourself a new life here.\Not happening.\I will definitely return to conquer Ente Isla.\Whoa!\Pathetic. response:	Oh no! A flat tire!
context: Do you enjoy telling two guys to live together for the rest of their lives?\Give up on Ente Isla\and find yourself a new life here.\Not happening.\I will definitely return to conquer Ente Isla.\Whoa!\Pathetic.\Oh no! A flat tire! response:	Is this guy really the Overlord?
context: Give up on Ente Isla\and find yourself a new life here.\Not happening.\I will definitely return to conquer Ente Isla.\Whoa!\Pathetic.\Oh no! A flat tire!\Is this guy really the Overlord? response:	Get ahold of yourself, Dullahan!
context: and find yourself a new life here.\Not happening.\I will definitely return to conquer Ente Isla.\Whoa!\Pathetic.\Oh no! A flat tire!\Is this guy really the Overlord?\Get ahold of yourself, Dullahan! response:	Don't die right after I bought you!
context: Not happening.\I will definitely return to conquer Ente Isla.\Whoa!\Pathetic.\Oh no! A flat tire!\Is this guy really the Overlord?\Get ahold of yourself, Dullahan!\Don't die right after I bought you! response:	You're making a mountain out of a molehill.
context: I will definitely return to conquer Ente Isla.\Whoa!\Pathetic.\Oh no! A flat tire!\Is this guy really the Overlord?\Get ahold of yourself, Dullahan!\Don't die right after I bought you!\You're making a mountain out of a molehill. response:	You can get it fixed for just a thousand yen.
context: Whoa!\Pathetic.\Oh no! A flat tire!\Is this guy really the Overlord?\Get ahold of yourself, Dullahan!\Don't die right after I bought you!\You're making a mountain out of a molehill.\You can get it fixed for just a thousand yen. response:	Really?!
context: Pathetic.\Oh no! A flat tire!\Is this guy really the Overlord?\Get ahold of yourself, Dullahan!\Don't die right after I bought you!\You're making a mountain out of a molehill.\You can get it fixed for just a thousand yen.\Really?! response:	Then I'll get it done first thing in the morning
context: Oh no! A flat tire!\Is this guy really the Overlord?\Get ahold of yourself, Dullahan!\Don't die right after I bought you!\You're making a mountain out of a molehill.\You can get it fixed for just a thousand yen.\Really?!\Then I'll get it done first thing in the morning response:	Is someone...
context: Is this guy really the Overlord?\Get ahold of yourself, Dullahan!\Don't die right after I bought you!\You're making a mountain out of a molehill.\You can get it fixed for just a thousand yen.\Really?!\Then I'll get it done first thing in the morning\Is someone... response:	It opened up holes on that signboard!
context: Get ahold of yourself, Dullahan!\Don't die right after I bought you!\You're making a mountain out of a molehill.\You can get it fixed for just a thousand yen.\Really?!\Then I'll get it done first thing in the morning\Is someone...\It opened up holes on that signboard! response:	Hey, get your hands off me!
context: Don't die right after I bought you!\You're making a mountain out of a molehill.\You can get it fixed for just a thousand yen.\Really?!\Then I'll get it done first thing in the morning\Is someone...\It opened up holes on that signboard!\Hey, get your hands off me! response:	This is no time to be fighting amongst ourselves!
context: You're making a mountain out of a molehill.\You can get it fixed for just a thousand yen.\Really?!\Then I'll get it done first thing in the morning\Is someone...\It opened up holes on that signboard!\Hey, get your hands off me!\This is no time to be fighting amongst ourselves! response:	You're pretty good.
context: You can get it fixed for just a thousand yen.\Really?!\Then I'll get it done first thing in the morning\Is someone...\It opened up holes on that signboard!\Hey, get your hands off me!\This is no time to be fighting amongst ourselves!\You're pretty good. response:	Who do you think I am?
context: Really?!\Then I'll get it done first thing in the morning\Is someone...\It opened up holes on that signboard!\Hey, get your hands off me!\This is no time to be fighting amongst ourselves!\You're pretty good.\Who do you think I am? response:	I'm a Hero.
context: Then I'll get it done first thing in the morning\Is someone...\It opened up holes on that signboard!\Hey, get your hands off me!\This is no time to be fighting amongst ourselves!\You're pretty good.\Who do you think I am?\I'm a Hero. response:	Could you get off me, then?
context: Is someone...\It opened up holes on that signboard!\Hey, get your hands off me!\This is no time to be fighting amongst ourselves!\You're pretty good.\Who do you think I am?\I'm a Hero.\Could you get off me, then? response:	You're the one who got underneath me!
context: It opened up holes on that signboard!\Hey, get your hands off me!\This is no time to be fighting amongst ourselves!\You're pretty good.\Who do you think I am?\I'm a Hero.\Could you get off me, then?\You're the one who got underneath me! response:	There should still be quite a lot of people near Sasazuka Station.
context: Hey, get your hands off me!\This is no time to be fighting amongst ourselves!\You're pretty good.\Who do you think I am?\I'm a Hero.\Could you get off me, then?\You're the one who got underneath me!\There should still be quite a lot of people near Sasazuka Station. response:	Can you run?
context: This is no time to be fighting amongst ourselves!\You're pretty good.\Who do you think I am?\I'm a Hero.\Could you get off me, then?\You're the one who got underneath me!\There should still be quite a lot of people near Sasazuka Station.\Can you run? response:	I'm sure I can run faster than someone who rides a bike every day.
context: You're pretty good.\Who do you think I am?\I'm a Hero.\Could you get off me, then?\You're the one who got underneath me!\There should still be quite a lot of people near Sasazuka Station.\Can you run?\I'm sure I can run faster than someone who rides a bike every day. response:	Those're fightin' words.
context: Who do you think I am?\I'm a Hero.\Could you get off me, then?\You're the one who got underneath me!\There should still be quite a lot of people near Sasazuka Station.\Can you run?\I'm sure I can run faster than someone who rides a bike every day.\Those're fightin' words. response:	Let's go!
context: I'm a Hero.\Could you get off me, then?\You're the one who got underneath me!\There should still be quite a lot of people near Sasazuka Station.\Can you run?\I'm sure I can run faster than someone who rides a bike every day.\Those're fightin' words.\Let's go! response:	I think they stopped chasing us.
context: Could you get off me, then?\You're the one who got underneath me!\There should still be quite a lot of people near Sasazuka Station.\Can you run?\I'm sure I can run faster than someone who rides a bike every day.\Those're fightin' words.\Let's go!\I think they stopped chasing us. response:	What on Ente Isla was that?
context: You're the one who got underneath me!\There should still be quite a lot of people near Sasazuka Station.\Can you run?\I'm sure I can run faster than someone who rides a bike every day.\Those're fightin' words.\Let's go!\I think they stopped chasing us.\What on Ente Isla was that? response:	No clue,
context: There should still be quite a lot of people near Sasazuka Station.\Can you run?\I'm sure I can run faster than someone who rides a bike every day.\Those're fightin' words.\Let's go!\I think they stopped chasing us.\What on Ente Isla was that?\No clue, response:	but that was no ordinary sniper.
context: Can you run?\I'm sure I can run faster than someone who rides a bike every day.\Those're fightin' words.\Let's go!\I think they stopped chasing us.\What on Ente Isla was that?\No clue,\but that was no ordinary sniper. response:	Those were magic energy bullets.
context: I'm sure I can run faster than someone who rides a bike every day.\Those're fightin' words.\Let's go!\I think they stopped chasing us.\What on Ente Isla was that?\No clue,\but that was no ordinary sniper.\Those were magic energy bullets. response:	Magic?! That means...
context: Those're fightin' words.\Let's go!\I think they stopped chasing us.\What on Ente Isla was that?\No clue,\but that was no ordinary sniper.\Those were magic energy bullets.\Magic?! That means... response:	It was someone considerably powerful
context: Let's go!\I think they stopped chasing us.\What on Ente Isla was that?\No clue,\but that was no ordinary sniper.\Those were magic energy bullets.\Magic?! That means...\It was someone considerably powerful response:	and who knew our true identities.
context: I think they stopped chasing us.\What on Ente Isla was that?\No clue,\but that was no ordinary sniper.\Those were magic energy bullets.\Magic?! That means...\It was someone considerably powerful\and who knew our true identities. response:	Does someone like that even exist?
context: What on Ente Isla was that?\No clue,\but that was no ordinary sniper.\Those were magic energy bullets.\Magic?! That means...\It was someone considerably powerful\and who knew our true identities.\Does someone like that even exist? response:	What are the chances of there being a mysterious sniper right where the Overlord and the Hero were meeting?
context: No clue,\but that was no ordinary sniper.\Those were magic energy bullets.\Magic?! That means...\It was someone considerably powerful\and who knew our true identities.\Does someone like that even exist?\What are the chances of there being a mysterious sniper right where the Overlord and the Hero were meeting? response:	It obviously had something to do with Ente Isla.
context: but that was no ordinary sniper.\Those were magic energy bullets.\Magic?! That means...\It was someone considerably powerful\and who knew our true identities.\Does someone like that even exist?\What are the chances of there being a mysterious sniper right where the Overlord and the Hero were meeting?\It obviously had something to do with Ente Isla. response:	This is all your fault.
context: Those were magic energy bullets.\Magic?! That means...\It was someone considerably powerful\and who knew our true identities.\Does someone like that even exist?\What are the chances of there being a mysterious sniper right where the Overlord and the Hero were meeting?\It obviously had something to do with Ente Isla.\This is all your fault. response:	My fault?!
context: Magic?! That means...\It was someone considerably powerful\and who knew our true identities.\Does someone like that even exist?\What are the chances of there being a mysterious sniper right where the Overlord and the Hero were meeting?\It obviously had something to do with Ente Isla.\This is all your fault.\My fault?! response:	This wouldn't've happened if you'd picked a better time and place.
context: It was someone considerably powerful\and who knew our true identities.\Does someone like that even exist?\What are the chances of there being a mysterious sniper right where the Overlord and the Hero were meeting?\It obviously had something to do with Ente Isla.\This is all your fault.\My fault?!\This wouldn't've happened if you'd picked a better time and place. response:	It's not my fault you work all night!
context: and who knew our true identities.\Does someone like that even exist?\What are the chances of there being a mysterious sniper right where the Overlord and the Hero were meeting?\It obviously had something to do with Ente Isla.\This is all your fault.\My fault?!\This wouldn't've happened if you'd picked a better time and place.\It's not my fault you work all night! response:	Couldn't we have just met during the day?
context: Does someone like that even exist?\What are the chances of there being a mysterious sniper right where the Overlord and the Hero were meeting?\It obviously had something to do with Ente Isla.\This is all your fault.\My fault?!\This wouldn't've happened if you'd picked a better time and place.\It's not my fault you work all night!\Couldn't we have just met during the day? response:	I have work during the day!
context: What are the chances of there being a mysterious sniper right where the Overlord and the Hero were meeting?\It obviously had something to do with Ente Isla.\This is all your fault.\My fault?!\This wouldn't've happened if you'd picked a better time and place.\It's not my fault you work all night!\Couldn't we have just met during the day?\I have work during the day! response:	And that's my problem how?
context: It obviously had something to do with Ente Isla.\This is all your fault.\My fault?!\This wouldn't've happened if you'd picked a better time and place.\It's not my fault you work all night!\Couldn't we have just met during the day?\I have work during the day!\And that's my problem how? response:	Wait,
context: This is all your fault.\My fault?!\This wouldn't've happened if you'd picked a better time and place.\It's not my fault you work all night!\Couldn't we have just met during the day?\I have work during the day!\And that's my problem how?\Wait, response:	where are you going?
context: My fault?!\This wouldn't've happened if you'd picked a better time and place.\It's not my fault you work all night!\Couldn't we have just met during the day?\I have work during the day!\And that's my problem how?\Wait,\where are you going? response:	Home.
context: This wouldn't've happened if you'd picked a better time and place.\It's not my fault you work all night!\Couldn't we have just met during the day?\I have work during the day!\And that's my problem how?\Wait,\where are you going?\Home. response:	I've got work early tomorrow.
context: It's not my fault you work all night!\Couldn't we have just met during the day?\I have work during the day!\And that's my problem how?\Wait,\where are you going?\Home.\I've got work early tomorrow. response:	So you're going to run away all by yourself?
context: Couldn't we have just met during the day?\I have work during the day!\And that's my problem how?\Wait,\where are you going?\Home.\I've got work early tomorrow.\So you're going to run away all by yourself? response:	Obviously.
context: I have work during the day!\And that's my problem how?\Wait,\where are you going?\Home.\I've got work early tomorrow.\So you're going to run away all by yourself?\Obviously. response:	You be careful on your way home, too.
context: And that's my problem how?\Wait,\where are you going?\Home.\I've got work early tomorrow.\So you're going to run away all by yourself?\Obviously.\You be careful on your way home, too. response:	Later.
context: Wait,\where are you going?\Home.\I've got work early tomorrow.\So you're going to run away all by yourself?\Obviously.\You be careful on your way home, too.\Later. response:	Are you
context: where are you going?\Home.\I've got work early tomorrow.\So you're going to run away all by yourself?\Obviously.\You be careful on your way home, too.\Later.\Are you response:	planning on taking me down in the dead of night or something?
context: Home.\I've got work early tomorrow.\So you're going to run away all by yourself?\Obviously.\You be careful on your way home, too.\Later.\Are you\planning on taking me down in the dead of night or something? response:	Th-That's not it.
context: I've got work early tomorrow.\So you're going to run away all by yourself?\Obviously.\You be careful on your way home, too.\Later.\Are you\planning on taking me down in the dead of night or something?\Th-That's not it. response:	What is, then?
context: So you're going to run away all by yourself?\Obviously.\You be careful on your way home, too.\Later.\Are you\planning on taking me down in the dead of night or something?\Th-That's not it.\What is, then? response:	My landlord lives right next door.
context: Obviously.\You be careful on your way home, too.\Later.\Are you\planning on taking me down in the dead of night or something?\Th-That's not it.\What is, then?\My landlord lives right next door. response:	I'd like to avoid meeting her if possible,
context: You be careful on your way home, too.\Later.\Are you\planning on taking me down in the dead of night or something?\Th-That's not it.\What is, then?\My landlord lives right next door.\I'd like to avoid meeting her if possible, response:	so please don't make a ruckus.
context: Later.\Are you\planning on taking me down in the dead of night or something?\Th-That's not it.\What is, then?\My landlord lives right next door.\I'd like to avoid meeting her if possible,\so please don't make a ruckus. response:	Wh-What's wrong?
context: Are you\planning on taking me down in the dead of night or something?\Th-That's not it.\What is, then?\My landlord lives right next door.\I'd like to avoid meeting her if possible,\so please don't make a ruckus.\Wh-What's wrong? response:	I resent having to ask this of you.
context: planning on taking me down in the dead of night or something?\Th-That's not it.\What is, then?\My landlord lives right next door.\I'd like to avoid meeting her if possible,\so please don't make a ruckus.\Wh-What's wrong?\I resent having to ask this of you. response:	I'm betraying the world by doing this.
context: Th-That's not it.\What is, then?\My landlord lives right next door.\I'd like to avoid meeting her if possible,\so please don't make a ruckus.\Wh-What's wrong?\I resent having to ask this of you.\I'm betraying the world by doing this. response:	Did you come here just to provoke me?
context: What is, then?\My landlord lives right next door.\I'd like to avoid meeting her if possible,\so please don't make a ruckus.\Wh-What's wrong?\I resent having to ask this of you.\I'm betraying the world by doing this.\Did you come here just to provoke me? response:	Could you let me st
context: My landlord lives right next door.\I'd like to avoid meeting her if possible,\so please don't make a ruckus.\Wh-What's wrong?\I resent having to ask this of you.\I'm betraying the world by doing this.\Did you come here just to provoke me?\Could you let me st response:	Huh?
context: I'd like to avoid meeting her if possible,\so please don't make a ruckus.\Wh-What's wrong?\I resent having to ask this of you.\I'm betraying the world by doing this.\Did you come here just to provoke me?\Could you let me st\Huh? response:	St- Stay over tonight?
context: so please don't make a ruckus.\Wh-What's wrong?\I resent having to ask this of you.\I'm betraying the world by doing this.\Did you come here just to provoke me?\Could you let me st\Huh?\St- Stay over tonight? response:	St-Stay over tonight?
context: Wh-What's wrong?\I resent having to ask this of you.\I'm betraying the world by doing this.\Did you come here just to provoke me?\Could you let me st\Huh?\St- Stay over tonight?\St-Stay over tonight? response:	St-Stay over tonight?
context: I resent having to ask this of you.\I'm betraying the world by doing this.\Did you come here just to provoke me?\Could you let me st\Huh?\St- Stay over tonight?\St-Stay over tonight?\St-Stay over tonight? response:	I dropped my purse.
context: I'm betraying the world by doing this.\Did you come here just to provoke me?\Could you let me st\Huh?\St- Stay over tonight?\St-Stay over tonight?\St-Stay over tonight?\I dropped my purse. response:	Hero Emilia?!
context: Did you come here just to provoke me?\Could you let me st\Huh?\St- Stay over tonight?\St-Stay over tonight?\St-Stay over tonight?\I dropped my purse.\Hero Emilia?! response:	Relax.
context: Could you let me st\Huh?\St- Stay over tonight?\St-Stay over tonight?\St-Stay over tonight?\I dropped my purse.\Hero Emilia?!\Relax. response:	She doesn't have the will to fight us right now.
context: Huh?\St- Stay over tonight?\St-Stay over tonight?\St-Stay over tonight?\I dropped my purse.\Hero Emilia?!\Relax.\She doesn't have the will to fight us right now. response:	What are you saying?
context: St- Stay over tonight?\St-Stay over tonight?\St-Stay over tonight?\I dropped my purse.\Hero Emilia?!\Relax.\She doesn't have the will to fight us right now.\What are you saying? response:	I've never heard of an Overlord bringing a Hero over late at night!
context: St-Stay over tonight?\St-Stay over tonight?\I dropped my purse.\Hero Emilia?!\Relax.\She doesn't have the will to fight us right now.\What are you saying?\I've never heard of an Overlord bringing a Hero over late at night! response:	The two of us were attacked earlier.
