context: I'm Katsuki Yuri, a figure skater representing Japan response:	who's in the middle of the Grand Prix Series' Cup of China!
context: Oops, he touched down!\I might have messed up on controlling the jump's speed.\It went pretty well, despite not doing it during warm-up.\Next up is a triple flip.\Oh, I wonder how Victor would react\if I made the last quad a flip instead of a toe loop.\Coming next is a triple axel, single loop, triple Salchow combination.\He over-rotated that one. response:	I over-rotated, but I'm not as tired as I should be, given I haven't slept.
context: I might have messed up on controlling the jump's speed.\It went pretty well, despite not doing it during warm-up.\Next up is a triple flip.\Oh, I wonder how Victor would react\if I made the last quad a flip instead of a toe loop.\Coming next is a triple axel, single loop, triple Salchow combination.\He over-rotated that one.\I over-rotated, but I'm not as tired as I should be, given I haven't slept. response:	A triple Lutz, triple toe loop combination.
context: It went pretty well, despite not doing it during warm-up.\Next up is a triple flip.\Oh, I wonder how Victor would react\if I made the last quad a flip instead of a toe loop.\Coming next is a triple axel, single loop, triple Salchow combination.\He over-rotated that one.\I over-rotated, but I'm not as tired as I should be, given I haven't slept.\A triple Lutz, triple toe loop combination. response:	Even in the second half, he's not showing any sign of fatigue.
context: Next up is a triple flip.\Oh, I wonder how Victor would react\if I made the last quad a flip instead of a toe loop.\Coming next is a triple axel, single loop, triple Salchow combination.\He over-rotated that one.\I over-rotated, but I'm not as tired as I should be, given I haven't slept.\A triple Lutz, triple toe loop combination.\Even in the second half, he's not showing any sign of fatigue. response:	Moving on to the step sequence.
context: Oh, I wonder how Victor would react\if I made the last quad a flip instead of a toe loop.\Coming next is a triple axel, single loop, triple Salchow combination.\He over-rotated that one.\I over-rotated, but I'm not as tired as I should be, given I haven't slept.\A triple Lutz, triple toe loop combination.\Even in the second half, he's not showing any sign of fatigue.\Moving on to the step sequence. response:	I want to become stronger...
context: if I made the last quad a flip instead of a toe loop.\Coming next is a triple axel, single loop, triple Salchow combination.\He over-rotated that one.\I over-rotated, but I'm not as tired as I should be, given I haven't slept.\A triple Lutz, triple toe loop combination.\Even in the second half, he's not showing any sign of fatigue.\Moving on to the step sequence.\I want to become stronger... response:	I can become stronger.
context: Coming next is a triple axel, single loop, triple Salchow combination.\He over-rotated that one.\I over-rotated, but I'm not as tired as I should be, given I haven't slept.\A triple Lutz, triple toe loop combination.\Even in the second half, he's not showing any sign of fatigue.\Moving on to the step sequence.\I want to become stronger...\I can become stronger. response:	I can surpass Victor's wildest imagination!
context: He over-rotated that one.\I over-rotated, but I'm not as tired as I should be, given I haven't slept.\A triple Lutz, triple toe loop combination.\Even in the second half, he's not showing any sign of fatigue.\Moving on to the step sequence.\I want to become stronger...\I can become stronger.\I can surpass Victor's wildest imagination! response:	He's planned a quadruple toe loop for his final jump.
context: I over-rotated, but I'm not as tired as I should be, given I haven't slept.\A triple Lutz, triple toe loop combination.\Even in the second half, he's not showing any sign of fatigue.\Moving on to the step sequence.\I want to become stronger...\I can become stronger.\I can surpass Victor's wildest imagination!\He's planned a quadruple toe loop for his final jump. response:	I-It's a quadruple flip!
context: A triple Lutz, triple toe loop combination.\Even in the second half, he's not showing any sign of fatigue.\Moving on to the step sequence.\I want to become stronger...\I can become stronger.\I can surpass Victor's wildest imagination!\He's planned a quadruple toe loop for his final jump.\I-It's a quadruple flip! response:	He fell, but there appeared to be enough rotations!
context: Even in the second half, he's not showing any sign of fatigue.\Moving on to the step sequence.\I want to become stronger...\I can become stronger.\I can surpass Victor's wildest imagination!\He's planned a quadruple toe loop for his final jump.\I-It's a quadruple flip!\He fell, but there appeared to be enough rotations! response:	The quadruple flip was a signature move of Victor Nikiforov, his coach.
context: Moving on to the step sequence.\I want to become stronger...\I can become stronger.\I can surpass Victor's wildest imagination!\He's planned a quadruple toe loop for his final jump.\I-It's a quadruple flip!\He fell, but there appeared to be enough rotations!\The quadruple flip was a signature move of Victor Nikiforov, his coach. response:	Not even Nikiforov ever did a jump this difficult
context: I want to become stronger...\I can become stronger.\I can surpass Victor's wildest imagination!\He's planned a quadruple toe loop for his final jump.\I-It's a quadruple flip!\He fell, but there appeared to be enough rotations!\The quadruple flip was a signature move of Victor Nikiforov, his coach.\Not even Nikiforov ever did a jump this difficult response:	at the end of a program, when fatigue would be at its peak!
context: I can become stronger.\I can surpass Victor's wildest imagination!\He's planned a quadruple toe loop for his final jump.\I-It's a quadruple flip!\He fell, but there appeared to be enough rotations!\The quadruple flip was a signature move of Victor Nikiforov, his coach.\Not even Nikiforov ever did a jump this difficult\at the end of a program, when fatigue would be at its peak! response:	Here's a man who'll go above and beyond our expectations,
context: I can surpass Victor's wildest imagination!\He's planned a quadruple toe loop for his final jump.\I-It's a quadruple flip!\He fell, but there appeared to be enough rotations!\The quadruple flip was a signature move of Victor Nikiforov, his coach.\Not even Nikiforov ever did a jump this difficult\at the end of a program, when fatigue would be at its peak!\Here's a man who'll go above and beyond our expectations, response:	Katsuki Yuri!
context: He's planned a quadruple toe loop for his final jump.\I-It's a quadruple flip!\He fell, but there appeared to be enough rotations!\The quadruple flip was a signature move of Victor Nikiforov, his coach.\Not even Nikiforov ever did a jump this difficult\at the end of a program, when fatigue would be at its peak!\Here's a man who'll go above and beyond our expectations,\Katsuki Yuri! response:	Huh? Huh?
context: I-It's a quadruple flip!\He fell, but there appeared to be enough rotations!\The quadruple flip was a signature move of Victor Nikiforov, his coach.\Not even Nikiforov ever did a jump this difficult\at the end of a program, when fatigue would be at its peak!\Here's a man who'll go above and beyond our expectations,\Katsuki Yuri!\Huh? Huh? response:	Was that a flip?
context: He fell, but there appeared to be enough rotations!\The quadruple flip was a signature move of Victor Nikiforov, his coach.\Not even Nikiforov ever did a jump this difficult\at the end of a program, when fatigue would be at its peak!\Here's a man who'll go above and beyond our expectations,\Katsuki Yuri!\Huh? Huh?\Was that a flip? response:	Is he crying?
context: The quadruple flip was a signature move of Victor Nikiforov, his coach.\Not even Nikiforov ever did a jump this difficult\at the end of a program, when fatigue would be at its peak!\Here's a man who'll go above and beyond our expectations,\Katsuki Yuri!\Huh? Huh?\Was that a flip?\Is he crying? response:	Is he mad?
context: Not even Nikiforov ever did a jump this difficult\at the end of a program, when fatigue would be at its peak!\Here's a man who'll go above and beyond our expectations,\Katsuki Yuri!\Huh? Huh?\Was that a flip?\Is he crying?\Is he mad? response:	Which is it?
context: at the end of a program, when fatigue would be at its peak!\Here's a man who'll go above and beyond our expectations,\Katsuki Yuri!\Huh? Huh?\Was that a flip?\Is he crying?\Is he mad?\Which is it? response:	Victor!
context: Here's a man who'll go above and beyond our expectations,\Katsuki Yuri!\Huh? Huh?\Was that a flip?\Is he crying?\Is he mad?\Which is it?\Victor! response:	I did great, right?
context: Katsuki Yuri!\Huh? Huh?\Was that a flip?\Is he crying?\Is he mad?\Which is it?\Victor!\I did great, right? response:	This was the only thing I could think of
context: Huh? Huh?\Was that a flip?\Is he crying?\Is he mad?\Which is it?\Victor!\I did great, right?\This was the only thing I could think of response:	to surprise you more than you've surprised me.
context: Was that a flip?\Is he crying?\Is he mad?\Which is it?\Victor!\I did great, right?\This was the only thing I could think of\to surprise you more than you've surprised me. response:	Really?
context: Is he crying?\Is he mad?\Which is it?\Victor!\I did great, right?\This was the only thing I could think of\to surprise you more than you've surprised me.\Really? response:	In the Cup of China, Phichit-kun won his first gold,
context: Is he mad?\Which is it?\Victor!\I did great, right?\This was the only thing I could think of\to surprise you more than you've surprised me.\Really?\In the Cup of China, Phichit-kun won his first gold, response:	and I kept Chris in check to win silver.
context: Which is it?\Victor!\I did great, right?\This was the only thing I could think of\to surprise you more than you've surprised me.\Really?\In the Cup of China, Phichit-kun won his first gold,\and I kept Chris in check to win silver. response:	Now that Yuri can do a quadruple flip,
context: Victor!\I did great, right?\This was the only thing I could think of\to surprise you more than you've surprised me.\Really?\In the Cup of China, Phichit-kun won his first gold,\and I kept Chris in check to win silver.\Now that Yuri can do a quadruple flip, response:	he'll definitely win at the Rostelecom Cup
context: I did great, right?\This was the only thing I could think of\to surprise you more than you've surprised me.\Really?\In the Cup of China, Phichit-kun won his first gold,\and I kept Chris in check to win silver.\Now that Yuri can do a quadruple flip,\he'll definitely win at the Rostelecom Cup response:	and advance to the Grand Prix Final.
context: This was the only thing I could think of\to surprise you more than you've surprised me.\Really?\In the Cup of China, Phichit-kun won his first gold,\and I kept Chris in check to win silver.\Now that Yuri can do a quadruple flip,\he'll definitely win at the Rostelecom Cup\and advance to the Grand Prix Final. response:	I'm looking forward to going to Russia as his coach.
context: to surprise you more than you've surprised me.\Really?\In the Cup of China, Phichit-kun won his first gold,\and I kept Chris in check to win silver.\Now that Yuri can do a quadruple flip,\he'll definitely win at the Rostelecom Cup\and advance to the Grand Prix Final.\I'm looking forward to going to Russia as his coach. response:	Did you hear that?
context: Really?\In the Cup of China, Phichit-kun won his first gold,\and I kept Chris in check to win silver.\Now that Yuri can do a quadruple flip,\he'll definitely win at the Rostelecom Cup\and advance to the Grand Prix Final.\I'm looking forward to going to Russia as his coach.\Did you hear that? response:	I'll make you into borscht in Moscow,
context: In the Cup of China, Phichit-kun won his first gold,\and I kept Chris in check to win silver.\Now that Yuri can do a quadruple flip,\he'll definitely win at the Rostelecom Cup\and advance to the Grand Prix Final.\I'm looking forward to going to Russia as his coach.\Did you hear that?\I'll make you into borscht in Moscow, response:	you pig bastard!
context: and I kept Chris in check to win silver.\Now that Yuri can do a quadruple flip,\he'll definitely win at the Rostelecom Cup\and advance to the Grand Prix Final.\I'm looking forward to going to Russia as his coach.\Did you hear that?\I'll make you into borscht in Moscow,\you pig bastard! response:	To Be Continued!!!
context: Now that Yuri can do a quadruple flip,\he'll definitely win at the Rostelecom Cup\and advance to the Grand Prix Final.\I'm looking forward to going to Russia as his coach.\Did you hear that?\I'll make you into borscht in Moscow,\you pig bastard!\To Be Continued!!! response:	Say the name of the Moscow airport we're heading to ten times, Yuri.
context: he'll definitely win at the Rostelecom Cup\and advance to the Grand Prix Final.\I'm looking forward to going to Russia as his coach.\Did you hear that?\I'll make you into borscht in Moscow,\you pig bastard!\To Be Continued!!!\Say the name of the Moscow airport we're heading to ten times, Yuri. response:	Sheremetyevo, Sheremetyevo, Sheremetyevo, Sheremetyevo, Shere...
context: and advance to the Grand Prix Final.\I'm looking forward to going to Russia as his coach.\Did you hear that?\I'll make you into borscht in Moscow,\you pig bastard!\To Be Continued!!!\Say the name of the Moscow airport we're heading to ten times, Yuri.\Sheremetyevo, Sheremetyevo, Sheremetyevo, Sheremetyevo, Shere... response:	Next time, Eighth Skate: Yuri vs. Yuri.
context: I'm looking forward to going to Russia as his coach.\Did you hear that?\I'll make you into borscht in Moscow,\you pig bastard!\To Be Continued!!!\Say the name of the Moscow airport we're heading to ten times, Yuri.\Sheremetyevo, Sheremetyevo, Sheremetyevo, Sheremetyevo, Shere...\Next time, Eighth Skate: Yuri vs. Yuri. response:	The Horror!! Rostelecom Cup, Short Program.
context: Did you hear that?\I'll make you into borscht in Moscow,\you pig bastard!\To Be Continued!!!\Say the name of the Moscow airport we're heading to ten times, Yuri.\Sheremetyevo, Sheremetyevo, Sheremetyevo, Sheremetyevo, Shere...\Next time, Eighth Skate: Yuri vs. Yuri.\The Horror!! Rostelecom Cup, Short Program. response:	Eighth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Short Program
context: I'll make you into borscht in Moscow,\you pig bastard!\To Be Continued!!!\Say the name of the Moscow airport we're heading to ten times, Yuri.\Sheremetyevo, Sheremetyevo, Sheremetyevo, Sheremetyevo, Shere...\Next time, Eighth Skate: Yuri vs. Yuri.\The Horror!! Rostelecom Cup, Short Program.\Eighth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Short Program response:	One step from the Grand Prix Final!
context: you pig bastard!\To Be Continued!!!\Say the name of the Moscow airport we're heading to ten times, Yuri.\Sheremetyevo, Sheremetyevo, Sheremetyevo, Sheremetyevo, Shere...\Next time, Eighth Skate: Yuri vs. Yuri.\The Horror!! Rostelecom Cup, Short Program.\Eighth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Short Program\One step from the Grand Prix Final! response:	From Russia with love.
