context: Once upon a time, there was a young woman. response:	The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved.
context: Raetsel! Raetsel...\Fakir, I'm sorry. I...\I thought only of myself.\I forgot everything but my desire to escape my pain...\And I did something to hurt you...\I'm sorry.\It's okay. It's not your fault, Raetsel.\Raetsel-san was suffering so much, but she told me... response:	She told me to give you space.
context: Fakir, I'm sorry. I...\I thought only of myself.\I forgot everything but my desire to escape my pain...\And I did something to hurt you...\I'm sorry.\It's okay. It's not your fault, Raetsel.\Raetsel-san was suffering so much, but she told me...\She told me to give you space. response:	Raetsel-san didn't want to hurt you.
context: I thought only of myself.\I forgot everything but my desire to escape my pain...\And I did something to hurt you...\I'm sorry.\It's okay. It's not your fault, Raetsel.\Raetsel-san was suffering so much, but she told me...\She told me to give you space.\Raetsel-san didn't want to hurt you. response:	Fakir?
context: I forgot everything but my desire to escape my pain...\And I did something to hurt you...\I'm sorry.\It's okay. It's not your fault, Raetsel.\Raetsel-san was suffering so much, but she told me...\She told me to give you space.\Raetsel-san didn't want to hurt you.\Fakir? response:	Take care of Raetsel.
context: And I did something to hurt you...\I'm sorry.\It's okay. It's not your fault, Raetsel.\Raetsel-san was suffering so much, but she told me...\She told me to give you space.\Raetsel-san didn't want to hurt you.\Fakir?\Take care of Raetsel. response:	Fakir...
context: I'm sorry.\It's okay. It's not your fault, Raetsel.\Raetsel-san was suffering so much, but she told me...\She told me to give you space.\Raetsel-san didn't want to hurt you.\Fakir?\Take care of Raetsel.\Fakir... response:	Didn't want to hurt you...
context: It's okay. It's not your fault, Raetsel.\Raetsel-san was suffering so much, but she told me...\She told me to give you space.\Raetsel-san didn't want to hurt you.\Fakir?\Take care of Raetsel.\Fakir...\Didn't want to hurt you... response:	Don't hurt Fakir, you raven!
context: Raetsel-san was suffering so much, but she told me...\She told me to give you space.\Raetsel-san didn't want to hurt you.\Fakir?\Take care of Raetsel.\Fakir...\Didn't want to hurt you...\Don't hurt Fakir, you raven! response:	If I could help Mytho by myself, I wouldn't ask you to do this!
context: She told me to give you space.\Raetsel-san didn't want to hurt you.\Fakir?\Take care of Raetsel.\Fakir...\Didn't want to hurt you...\Don't hurt Fakir, you raven!\If I could help Mytho by myself, I wouldn't ask you to do this! response:	But right now, I can't do anything, so...
context: Raetsel-san didn't want to hurt you.\Fakir?\Take care of Raetsel.\Fakir...\Didn't want to hurt you...\Don't hurt Fakir, you raven!\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so... response:	What I can do...
context: Fakir?\Take care of Raetsel.\Fakir...\Didn't want to hurt you...\Don't hurt Fakir, you raven!\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\What I can do... response:	That's right.
context: Take care of Raetsel.\Fakir...\Didn't want to hurt you...\Don't hurt Fakir, you raven!\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\What I can do...\That's right. response:	Fakir?
context: Fakir...\Didn't want to hurt you...\Don't hurt Fakir, you raven!\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\What I can do...\That's right.\Fakir? response:	You're...
context: Didn't want to hurt you...\Don't hurt Fakir, you raven!\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\What I can do...\That's right.\Fakir?\You're... response:	Raetsel!
context: Don't hurt Fakir, you raven!\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\What I can do...\That's right.\Fakir?\You're...\Raetsel! response:	Raetsel!
context: If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\What I can do...\That's right.\Fakir?\You're...\Raetsel!\Raetsel! response:	Oh, did you write a story for me?
context: But right now, I can't do anything, so...\What I can do...\That's right.\Fakir?\You're...\Raetsel!\Raetsel!\Oh, did you write a story for me? response:	Karon, I'm going to marry Hans.
context: What I can do...\That's right.\Fakir?\You're...\Raetsel!\Raetsel!\Oh, did you write a story for me?\Karon, I'm going to marry Hans. response:	What?
context: That's right.\Fakir?\You're...\Raetsel!\Raetsel!\Oh, did you write a story for me?\Karon, I'm going to marry Hans.\What? response:	I see. Congratulations.
context: Fakir?\You're...\Raetsel!\Raetsel!\Oh, did you write a story for me?\Karon, I'm going to marry Hans.\What?\I see. Congratulations. response:	Raetsel...
context: You're...\Raetsel!\Raetsel!\Oh, did you write a story for me?\Karon, I'm going to marry Hans.\What?\I see. Congratulations.\Raetsel... response:	You see, I think I wanted to say a proper goodbye to Karon.
context: Raetsel!\Raetsel!\Oh, did you write a story for me?\Karon, I'm going to marry Hans.\What?\I see. Congratulations.\Raetsel...\You see, I think I wanted to say a proper goodbye to Karon. response:	But I'll take this. Thank you.
context: Raetsel!\Oh, did you write a story for me?\Karon, I'm going to marry Hans.\What?\I see. Congratulations.\Raetsel...\You see, I think I wanted to say a proper goodbye to Karon.\But I'll take this. Thank you. response:	Your story didn't come true, huh?
context: Oh, did you write a story for me?\Karon, I'm going to marry Hans.\What?\I see. Congratulations.\Raetsel...\You see, I think I wanted to say a proper goodbye to Karon.\But I'll take this. Thank you.\Your story didn't come true, huh? response:	I suppose.
context: Karon, I'm going to marry Hans.\What?\I see. Congratulations.\Raetsel...\You see, I think I wanted to say a proper goodbye to Karon.\But I'll take this. Thank you.\Your story didn't come true, huh?\I suppose. response:	Huh?
context: What?\I see. Congratulations.\Raetsel...\You see, I think I wanted to say a proper goodbye to Karon.\But I'll take this. Thank you.\Your story didn't come true, huh?\I suppose.\Huh? response:	I think I'll try writing one.
context: I see. Congratulations.\Raetsel...\You see, I think I wanted to say a proper goodbye to Karon.\But I'll take this. Thank you.\Your story didn't come true, huh?\I suppose.\Huh?\I think I'll try writing one. response:	What?
context: Raetsel...\You see, I think I wanted to say a proper goodbye to Karon.\But I'll take this. Thank you.\Your story didn't come true, huh?\I suppose.\Huh?\I think I'll try writing one.\What? response:	A story about Mytho.
context: You see, I think I wanted to say a proper goodbye to Karon.\But I'll take this. Thank you.\Your story didn't come true, huh?\I suppose.\Huh?\I think I'll try writing one.\What?\A story about Mytho. response:	That's dangerous. That power is truly dangerous, you know.
context: But I'll take this. Thank you.\Your story didn't come true, huh?\I suppose.\Huh?\I think I'll try writing one.\What?\A story about Mytho.\That's dangerous. That power is truly dangerous, you know. response:	You couldn't even completely become a knight.
context: Your story didn't come true, huh?\I suppose.\Huh?\I think I'll try writing one.\What?\A story about Mytho.\That's dangerous. That power is truly dangerous, you know.\You couldn't even completely become a knight. response:	Will you really be able to master it?
context: I suppose.\Huh?\I think I'll try writing one.\What?\A story about Mytho.\That's dangerous. That power is truly dangerous, you know.\You couldn't even completely become a knight.\Will you really be able to master it? response:	Well?
context: Huh?\I think I'll try writing one.\What?\A story about Mytho.\That's dangerous. That power is truly dangerous, you know.\You couldn't even completely become a knight.\Will you really be able to master it?\Well? response:	They took out the endings to stop the stories from becoming real?
context: I think I'll try writing one.\What?\A story about Mytho.\That's dangerous. That power is truly dangerous, you know.\You couldn't even completely become a knight.\Will you really be able to master it?\Well?\They took out the endings to stop the stories from becoming real? response:	He's awakened.
context: What?\A story about Mytho.\That's dangerous. That power is truly dangerous, you know.\You couldn't even completely become a knight.\Will you really be able to master it?\Well?\They took out the endings to stop the stories from becoming real?\He's awakened. response:	This is dangerous.
context: A story about Mytho.\That's dangerous. That power is truly dangerous, you know.\You couldn't even completely become a knight.\Will you really be able to master it?\Well?\They took out the endings to stop the stories from becoming real?\He's awakened.\This is dangerous. response:	It seems he's gained the knowledge, but that's all.
context: That's dangerous. That power is truly dangerous, you know.\You couldn't even completely become a knight.\Will you really be able to master it?\Well?\They took out the endings to stop the stories from becoming real?\He's awakened.\This is dangerous.\It seems he's gained the knowledge, but that's all. response:	You're a direct descendant of Drosselmeyer's, and this is your level?
context: You couldn't even completely become a knight.\Will you really be able to master it?\Well?\They took out the endings to stop the stories from becoming real?\He's awakened.\This is dangerous.\It seems he's gained the knowledge, but that's all.\You're a direct descendant of Drosselmeyer's, and this is your level? response:	That hurts.
context: Will you really be able to master it?\Well?\They took out the endings to stop the stories from becoming real?\He's awakened.\This is dangerous.\It seems he's gained the knowledge, but that's all.\You're a direct descendant of Drosselmeyer's, and this is your level?\That hurts. response:	You hesitated to take my hand!
context: Well?\They took out the endings to stop the stories from becoming real?\He's awakened.\This is dangerous.\It seems he's gained the knowledge, but that's all.\You're a direct descendant of Drosselmeyer's, and this is your level?\That hurts.\You hesitated to take my hand! response:	Mytho was always kind to Rue-chan, but...
context: They took out the endings to stop the stories from becoming real?\He's awakened.\This is dangerous.\It seems he's gained the knowledge, but that's all.\You're a direct descendant of Drosselmeyer's, and this is your level?\That hurts.\You hesitated to take my hand!\Mytho was always kind to Rue-chan, but... response:	To those who accept everything, happiness.
context: He's awakened.\This is dangerous.\It seems he's gained the knowledge, but that's all.\You're a direct descendant of Drosselmeyer's, and this is your level?\That hurts.\You hesitated to take my hand!\Mytho was always kind to Rue-chan, but...\To those who accept everything, happiness. response:	To those who resist everything, glory.
context: This is dangerous.\It seems he's gained the knowledge, but that's all.\You're a direct descendant of Drosselmeyer's, and this is your level?\That hurts.\You hesitated to take my hand!\Mytho was always kind to Rue-chan, but...\To those who accept everything, happiness.\To those who resist everything, glory. response:	Fakir, please wake up.
context: It seems he's gained the knowledge, but that's all.\You're a direct descendant of Drosselmeyer's, and this is your level?\That hurts.\You hesitated to take my hand!\Mytho was always kind to Rue-chan, but...\To those who accept everything, happiness.\To those who resist everything, glory.\Fakir, please wake up. response:	The Spinners
context: You're a direct descendant of Drosselmeyer's, and this is your level?\That hurts.\You hesitated to take my hand!\Mytho was always kind to Rue-chan, but...\To those who accept everything, happiness.\To those who resist everything, glory.\Fakir, please wake up.\The Spinners response:	All you children who love stories, come gather around.
context: That hurts.\You hesitated to take my hand!\Mytho was always kind to Rue-chan, but...\To those who accept everything, happiness.\To those who resist everything, glory.\Fakir, please wake up.\The Spinners\All you children who love stories, come gather around. response:	The voice calling, come now, wake up
context: You hesitated to take my hand!\Mytho was always kind to Rue-chan, but...\To those who accept everything, happiness.\To those who resist everything, glory.\Fakir, please wake up.\The Spinners\All you children who love stories, come gather around.\The voice calling, come now, wake up response:	Wiping a tearstained face
context: Mytho was always kind to Rue-chan, but...\To those who accept everything, happiness.\To those who resist everything, glory.\Fakir, please wake up.\The Spinners\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
context: To those who accept everything, happiness.\To those who resist everything, glory.\Fakir, please wake up.\The Spinners\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: To those who resist everything, glory.\Fakir, please wake up.\The Spinners\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: Fakir, please wake up.\The Spinners\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: The Spinners\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
context: The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight response:	I loved like I was dreaming
context: By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming response:	It swells... My heart swells
context: Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
