context: Shinjurou... response:	I can't hold on any longer...
context: You tried to destroy the nationalization of solar power generation!\Because you wanted to break into that field!\The field I'm going to get into is solar thermal energy.\That's splitting hairs!\Your inability to make the distinction between the two is your limitation.\The age may be coming when we can provide the technology\to countries with vast deserts or strong sunlight,\to build solar thermal power plants there, and convey the power that's generated response:	via HVDC transmission,
context: Because you wanted to break into that field!\The field I'm going to get into is solar thermal energy.\That's splitting hairs!\Your inability to make the distinction between the two is your limitation.\The age may be coming when we can provide the technology\to countries with vast deserts or strong sunlight,\to build solar thermal power plants there, and convey the power that's generated\via HVDC transmission, response:	so all countries can send microwave transmissions from space.
context: The field I'm going to get into is solar thermal energy.\That's splitting hairs!\Your inability to make the distinction between the two is your limitation.\The age may be coming when we can provide the technology\to countries with vast deserts or strong sunlight,\to build solar thermal power plants there, and convey the power that's generated\via HVDC transmission,\so all countries can send microwave transmissions from space. response:	What?! Rely on other countries for electricity?!
context: That's splitting hairs!\Your inability to make the distinction between the two is your limitation.\The age may be coming when we can provide the technology\to countries with vast deserts or strong sunlight,\to build solar thermal power plants there, and convey the power that's generated\via HVDC transmission,\so all countries can send microwave transmissions from space.\What?! Rely on other countries for electricity?! response:	Of course, it's a dream.
context: Your inability to make the distinction between the two is your limitation.\The age may be coming when we can provide the technology\to countries with vast deserts or strong sunlight,\to build solar thermal power plants there, and convey the power that's generated\via HVDC transmission,\so all countries can send microwave transmissions from space.\What?! Rely on other countries for electricity?!\Of course, it's a dream. response:	But one day, the borders between countries will disappear.
context: The age may be coming when we can provide the technology\to countries with vast deserts or strong sunlight,\to build solar thermal power plants there, and convey the power that's generated\via HVDC transmission,\so all countries can send microwave transmissions from space.\What?! Rely on other countries for electricity?!\Of course, it's a dream.\But one day, the borders between countries will disappear. response:	That's the kind of dream I have.
context: to countries with vast deserts or strong sunlight,\to build solar thermal power plants there, and convey the power that's generated\via HVDC transmission,\so all countries can send microwave transmissions from space.\What?! Rely on other countries for electricity?!\Of course, it's a dream.\But one day, the borders between countries will disappear.\That's the kind of dream I have. response:	You really whetted my appetite, giving me dribs and drabs like that!
context: to build solar thermal power plants there, and convey the power that's generated\via HVDC transmission,\so all countries can send microwave transmissions from space.\What?! Rely on other countries for electricity?!\Of course, it's a dream.\But one day, the borders between countries will disappear.\That's the kind of dream I have.\You really whetted my appetite, giving me dribs and drabs like that! response:	I guess I can understand Kuramitsu, who wanted to clip Kaishou's wings
context: via HVDC transmission,\so all countries can send microwave transmissions from space.\What?! Rely on other countries for electricity?!\Of course, it's a dream.\But one day, the borders between countries will disappear.\That's the kind of dream I have.\You really whetted my appetite, giving me dribs and drabs like that!\I guess I can understand Kuramitsu, who wanted to clip Kaishou's wings response:	because she took a conspiracy theory seriously...
context: so all countries can send microwave transmissions from space.\What?! Rely on other countries for electricity?!\Of course, it's a dream.\But one day, the borders between countries will disappear.\That's the kind of dream I have.\You really whetted my appetite, giving me dribs and drabs like that!\I guess I can understand Kuramitsu, who wanted to clip Kaishou's wings\because she took a conspiracy theory seriously... response:	But Hayami, what were you after?
context: What?! Rely on other countries for electricity?!\Of course, it's a dream.\But one day, the borders between countries will disappear.\That's the kind of dream I have.\You really whetted my appetite, giving me dribs and drabs like that!\I guess I can understand Kuramitsu, who wanted to clip Kaishou's wings\because she took a conspiracy theory seriously...\But Hayami, what were you after? response:	Don't make this monster ask me a question!
context: Of course, it's a dream.\But one day, the borders between countries will disappear.\That's the kind of dream I have.\You really whetted my appetite, giving me dribs and drabs like that!\I guess I can understand Kuramitsu, who wanted to clip Kaishou's wings\because she took a conspiracy theory seriously...\But Hayami, what were you after?\Don't make this monster ask me a question! response:	That's not nice...
context: But one day, the borders between countries will disappear.\That's the kind of dream I have.\You really whetted my appetite, giving me dribs and drabs like that!\I guess I can understand Kuramitsu, who wanted to clip Kaishou's wings\because she took a conspiracy theory seriously...\But Hayami, what were you after?\Don't make this monster ask me a question!\That's not nice... response:	It was you, Prosecutor Koyama.
context: That's the kind of dream I have.\You really whetted my appetite, giving me dribs and drabs like that!\I guess I can understand Kuramitsu, who wanted to clip Kaishou's wings\because she took a conspiracy theory seriously...\But Hayami, what were you after?\Don't make this monster ask me a question!\That's not nice...\It was you, Prosecutor Koyama. response:	Me? What do you mean?
context: You really whetted my appetite, giving me dribs and drabs like that!\I guess I can understand Kuramitsu, who wanted to clip Kaishou's wings\because she took a conspiracy theory seriously...\But Hayami, what were you after?\Don't make this monster ask me a question!\That's not nice...\It was you, Prosecutor Koyama.\Me? What do you mean? response:	Exactly. You could never see anyone but Kaishou Rinroku.
context: I guess I can understand Kuramitsu, who wanted to clip Kaishou's wings\because she took a conspiracy theory seriously...\But Hayami, what were you after?\Don't make this monster ask me a question!\That's not nice...\It was you, Prosecutor Koyama.\Me? What do you mean?\Exactly. You could never see anyone but Kaishou Rinroku. response:	To you, Kaishou is just like... a god.
context: because she took a conspiracy theory seriously...\But Hayami, what were you after?\Don't make this monster ask me a question!\That's not nice...\It was you, Prosecutor Koyama.\Me? What do you mean?\Exactly. You could never see anyone but Kaishou Rinroku.\To you, Kaishou is just like... a god. response:	I wanted you to look up to me like that.
context: But Hayami, what were you after?\Don't make this monster ask me a question!\That's not nice...\It was you, Prosecutor Koyama.\Me? What do you mean?\Exactly. You could never see anyone but Kaishou Rinroku.\To you, Kaishou is just like... a god.\I wanted you to look up to me like that. response:	Mr. Hayami...
context: Don't make this monster ask me a question!\That's not nice...\It was you, Prosecutor Koyama.\Me? What do you mean?\Exactly. You could never see anyone but Kaishou Rinroku.\To you, Kaishou is just like... a god.\I wanted you to look up to me like that.\Mr. Hayami... response:	But it was stupid of me to try to become a god.
context: That's not nice...\It was you, Prosecutor Koyama.\Me? What do you mean?\Exactly. You could never see anyone but Kaishou Rinroku.\To you, Kaishou is just like... a god.\I wanted you to look up to me like that.\Mr. Hayami...\But it was stupid of me to try to become a god. response:	You!
context: It was you, Prosecutor Koyama.\Me? What do you mean?\Exactly. You could never see anyone but Kaishou Rinroku.\To you, Kaishou is just like... a god.\I wanted you to look up to me like that.\Mr. Hayami...\But it was stupid of me to try to become a god.\You! response:	It wasn't me.
context: Me? What do you mean?\Exactly. You could never see anyone but Kaishou Rinroku.\To you, Kaishou is just like... a god.\I wanted you to look up to me like that.\Mr. Hayami...\But it was stupid of me to try to become a god.\You!\It wasn't me. response:	Bettenou said this.
context: Exactly. You could never see anyone but Kaishou Rinroku.\To you, Kaishou is just like... a god.\I wanted you to look up to me like that.\Mr. Hayami...\But it was stupid of me to try to become a god.\You!\It wasn't me.\Bettenou said this. response:	Live. Fall.
context: To you, Kaishou is just like... a god.\I wanted you to look up to me like that.\Mr. Hayami...\But it was stupid of me to try to become a god.\You!\It wasn't me.\Bettenou said this.\Live. Fall. response:	Go.
context: I wanted you to look up to me like that.\Mr. Hayami...\But it was stupid of me to try to become a god.\You!\It wasn't me.\Bettenou said this.\Live. Fall.\Go. response:	I didn't know what I was going to do if you didn't notice the song.
context: Mr. Hayami...\But it was stupid of me to try to become a god.\You!\It wasn't me.\Bettenou said this.\Live. Fall.\Go.\I didn't know what I was going to do if you didn't notice the song. response:	That was the song from Yonagahime 3+1.
context: But it was stupid of me to try to become a god.\You!\It wasn't me.\Bettenou said this.\Live. Fall.\Go.\I didn't know what I was going to do if you didn't notice the song.\That was the song from Yonagahime 3+1. response:	That member's death was a fiction.
context: You!\It wasn't me.\Bettenou said this.\Live. Fall.\Go.\I didn't know what I was going to do if you didn't notice the song.\That was the song from Yonagahime 3+1.\That member's death was a fiction. response:	In other words, you weren't dead either.
context: It wasn't me.\Bettenou said this.\Live. Fall.\Go.\I didn't know what I was going to do if you didn't notice the song.\That was the song from Yonagahime 3+1.\That member's death was a fiction.\In other words, you weren't dead either. response:	I'd hardly even call that a deduction.
context: Bettenou said this.\Live. Fall.\Go.\I didn't know what I was going to do if you didn't notice the song.\That was the song from Yonagahime 3+1.\That member's death was a fiction.\In other words, you weren't dead either.\I'd hardly even call that a deduction. response:	And how you knew I was disguised as an AD as well?
context: Live. Fall.\Go.\I didn't know what I was going to do if you didn't notice the song.\That was the song from Yonagahime 3+1.\That member's death was a fiction.\In other words, you weren't dead either.\I'd hardly even call that a deduction.\And how you knew I was disguised as an AD as well? response:	I confirmed the location of the real AD before I entered the studio.
context: Go.\I didn't know what I was going to do if you didn't notice the song.\That was the song from Yonagahime 3+1.\That member's death was a fiction.\In other words, you weren't dead either.\I'd hardly even call that a deduction.\And how you knew I was disguised as an AD as well?\I confirmed the location of the real AD before I entered the studio. response:	You are a great detective!
context: I didn't know what I was going to do if you didn't notice the song.\That was the song from Yonagahime 3+1.\That member's death was a fiction.\In other words, you weren't dead either.\I'd hardly even call that a deduction.\And how you knew I was disguised as an AD as well?\I confirmed the location of the real AD before I entered the studio.\You are a great detective! response:	Father! The Detective can ride with us too, can't he?
context: That was the song from Yonagahime 3+1.\That member's death was a fiction.\In other words, you weren't dead either.\I'd hardly even call that a deduction.\And how you knew I was disguised as an AD as well?\I confirmed the location of the real AD before I entered the studio.\You are a great detective!\Father! The Detective can ride with us too, can't he? response:	Well? If you'd like, you can join us for dinner, perhaps...
context: That member's death was a fiction.\In other words, you weren't dead either.\I'd hardly even call that a deduction.\And how you knew I was disguised as an AD as well?\I confirmed the location of the real AD before I entered the studio.\You are a great detective!\Father! The Detective can ride with us too, can't he?\Well? If you'd like, you can join us for dinner, perhaps... response:	Come on, Father, hurry up!
context: In other words, you weren't dead either.\I'd hardly even call that a deduction.\And how you knew I was disguised as an AD as well?\I confirmed the location of the real AD before I entered the studio.\You are a great detective!\Father! The Detective can ride with us too, can't he?\Well? If you'd like, you can join us for dinner, perhaps...\Come on, Father, hurry up! response:	There's one thing I forgot to say.
context: I'd hardly even call that a deduction.\And how you knew I was disguised as an AD as well?\I confirmed the location of the real AD before I entered the studio.\You are a great detective!\Father! The Detective can ride with us too, can't he?\Well? If you'd like, you can join us for dinner, perhaps...\Come on, Father, hurry up!\There's one thing I forgot to say. response:	About Mizuno, who died in your sham suicide...
context: And how you knew I was disguised as an AD as well?\I confirmed the location of the real AD before I entered the studio.\You are a great detective!\Father! The Detective can ride with us too, can't he?\Well? If you'd like, you can join us for dinner, perhaps...\Come on, Father, hurry up!\There's one thing I forgot to say.\About Mizuno, who died in your sham suicide... response:	There's no way Mizuno would have cooperated with your trick.
context: I confirmed the location of the real AD before I entered the studio.\You are a great detective!\Father! The Detective can ride with us too, can't he?\Well? If you'd like, you can join us for dinner, perhaps...\Come on, Father, hurry up!\There's one thing I forgot to say.\About Mizuno, who died in your sham suicide...\There's no way Mizuno would have cooperated with your trick. response:	So Mizuno must have been dead before the explosion.
context: You are a great detective!\Father! The Detective can ride with us too, can't he?\Well? If you'd like, you can join us for dinner, perhaps...\Come on, Father, hurry up!\There's one thing I forgot to say.\About Mizuno, who died in your sham suicide...\There's no way Mizuno would have cooperated with your trick.\So Mizuno must have been dead before the explosion. response:	Another reason to stage such a flamboyant suicide as a car bombing
context: Father! The Detective can ride with us too, can't he?\Well? If you'd like, you can join us for dinner, perhaps...\Come on, Father, hurry up!\There's one thing I forgot to say.\About Mizuno, who died in your sham suicide...\There's no way Mizuno would have cooperated with your trick.\So Mizuno must have been dead before the explosion.\Another reason to stage such a flamboyant suicide as a car bombing response:	was to camouflage the cause of Mizuno's death.
context: Well? If you'd like, you can join us for dinner, perhaps...\Come on, Father, hurry up!\There's one thing I forgot to say.\About Mizuno, who died in your sham suicide...\There's no way Mizuno would have cooperated with your trick.\So Mizuno must have been dead before the explosion.\Another reason to stage such a flamboyant suicide as a car bombing\was to camouflage the cause of Mizuno's death. response:	I did it!
context: Come on, Father, hurry up!\There's one thing I forgot to say.\About Mizuno, who died in your sham suicide...\There's no way Mizuno would have cooperated with your trick.\So Mizuno must have been dead before the explosion.\Another reason to stage such a flamboyant suicide as a car bombing\was to camouflage the cause of Mizuno's death.\I did it! response:	I'm the one who did it.
context: There's one thing I forgot to say.\About Mizuno, who died in your sham suicide...\There's no way Mizuno would have cooperated with your trick.\So Mizuno must have been dead before the explosion.\Another reason to stage such a flamboyant suicide as a car bombing\was to camouflage the cause of Mizuno's death.\I did it!\I'm the one who did it. response:	Is that right?
context: About Mizuno, who died in your sham suicide...\There's no way Mizuno would have cooperated with your trick.\So Mizuno must have been dead before the explosion.\Another reason to stage such a flamboyant suicide as a car bombing\was to camouflage the cause of Mizuno's death.\I did it!\I'm the one who did it.\Is that right? response:	Even if that is true, Kaishou, you admitted that you got rid of Mizuno
context: There's no way Mizuno would have cooperated with your trick.\So Mizuno must have been dead before the explosion.\Another reason to stage such a flamboyant suicide as a car bombing\was to camouflage the cause of Mizuno's death.\I did it!\I'm the one who did it.\Is that right?\Even if that is true, Kaishou, you admitted that you got rid of Mizuno response:	before he went public with any accusations.
context: So Mizuno must have been dead before the explosion.\Another reason to stage such a flamboyant suicide as a car bombing\was to camouflage the cause of Mizuno's death.\I did it!\I'm the one who did it.\Is that right?\Even if that is true, Kaishou, you admitted that you got rid of Mizuno\before he went public with any accusations. response:	Why?
context: Another reason to stage such a flamboyant suicide as a car bombing\was to camouflage the cause of Mizuno's death.\I did it!\I'm the one who did it.\Is that right?\Even if that is true, Kaishou, you admitted that you got rid of Mizuno\before he went public with any accusations.\Why? response:	Wasn't it because Mizuno, who was with Full Circle,
context: was to camouflage the cause of Mizuno's death.\I did it!\I'm the one who did it.\Is that right?\Even if that is true, Kaishou, you admitted that you got rid of Mizuno\before he went public with any accusations.\Why?\Wasn't it because Mizuno, who was with Full Circle, response:	had gotten other dirt on you?
context: I did it!\I'm the one who did it.\Is that right?\Even if that is true, Kaishou, you admitted that you got rid of Mizuno\before he went public with any accusations.\Why?\Wasn't it because Mizuno, who was with Full Circle,\had gotten other dirt on you? response:	Before, you talked about solar thermal power plants.
context: I'm the one who did it.\Is that right?\Even if that is true, Kaishou, you admitted that you got rid of Mizuno\before he went public with any accusations.\Why?\Wasn't it because Mizuno, who was with Full Circle,\had gotten other dirt on you?\Before, you talked about solar thermal power plants. response:	As compensation for the last war, the government has made a proposal
context: Is that right?\Even if that is true, Kaishou, you admitted that you got rid of Mizuno\before he went public with any accusations.\Why?\Wasn't it because Mizuno, who was with Full Circle,\had gotten other dirt on you?\Before, you talked about solar thermal power plants.\As compensation for the last war, the government has made a proposal response:	to supply technology to other countries.
context: Even if that is true, Kaishou, you admitted that you got rid of Mizuno\before he went public with any accusations.\Why?\Wasn't it because Mizuno, who was with Full Circle,\had gotten other dirt on you?\Before, you talked about solar thermal power plants.\As compensation for the last war, the government has made a proposal\to supply technology to other countries. response:	You anticipated this far ahead, cooperated during the war, and...
context: before he went public with any accusations.\Why?\Wasn't it because Mizuno, who was with Full Circle,\had gotten other dirt on you?\Before, you talked about solar thermal power plants.\As compensation for the last war, the government has made a proposal\to supply technology to other countries.\You anticipated this far ahead, cooperated during the war, and... response:	Enough, Shinjurou.
context: Why?\Wasn't it because Mizuno, who was with Full Circle,\had gotten other dirt on you?\Before, you talked about solar thermal power plants.\As compensation for the last war, the government has made a proposal\to supply technology to other countries.\You anticipated this far ahead, cooperated during the war, and...\Enough, Shinjurou. response:	Please.
context: Wasn't it because Mizuno, who was with Full Circle,\had gotten other dirt on you?\Before, you talked about solar thermal power plants.\As compensation for the last war, the government has made a proposal\to supply technology to other countries.\You anticipated this far ahead, cooperated during the war, and...\Enough, Shinjurou.\Please. response:	If all humans were saints and sages, all truths would be exposed.
context: had gotten other dirt on you?\Before, you talked about solar thermal power plants.\As compensation for the last war, the government has made a proposal\to supply technology to other countries.\You anticipated this far ahead, cooperated during the war, and...\Enough, Shinjurou.\Please.\If all humans were saints and sages, all truths would be exposed. response:	And every just cause, expedient, ideal,
context: Before, you talked about solar thermal power plants.\As compensation for the last war, the government has made a proposal\to supply technology to other countries.\You anticipated this far ahead, cooperated during the war, and...\Enough, Shinjurou.\Please.\If all humans were saints and sages, all truths would be exposed.\And every just cause, expedient, ideal, response:	and lie would no longer be necessary, yes?
context: As compensation for the last war, the government has made a proposal\to supply technology to other countries.\You anticipated this far ahead, cooperated during the war, and...\Enough, Shinjurou.\Please.\If all humans were saints and sages, all truths would be exposed.\And every just cause, expedient, ideal,\and lie would no longer be necessary, yes? response:	But will that day ever come?
context: to supply technology to other countries.\You anticipated this far ahead, cooperated during the war, and...\Enough, Shinjurou.\Please.\If all humans were saints and sages, all truths would be exposed.\And every just cause, expedient, ideal,\and lie would no longer be necessary, yes?\But will that day ever come? response:	All we can do is better ourselves, little by little.
context: You anticipated this far ahead, cooperated during the war, and...\Enough, Shinjurou.\Please.\If all humans were saints and sages, all truths would be exposed.\And every just cause, expedient, ideal,\and lie would no longer be necessary, yes?\But will that day ever come?\All we can do is better ourselves, little by little. response:	Wrong.
context: Enough, Shinjurou.\Please.\If all humans were saints and sages, all truths would be exposed.\And every just cause, expedient, ideal,\and lie would no longer be necessary, yes?\But will that day ever come?\All we can do is better ourselves, little by little.\Wrong. response:	People fall.
context: Please.\If all humans were saints and sages, all truths would be exposed.\And every just cause, expedient, ideal,\and lie would no longer be necessary, yes?\But will that day ever come?\All we can do is better ourselves, little by little.\Wrong.\People fall. response:	They unmask their essence, their truth, their souls from within them...
context: If all humans were saints and sages, all truths would be exposed.\And every just cause, expedient, ideal,\and lie would no longer be necessary, yes?\But will that day ever come?\All we can do is better ourselves, little by little.\Wrong.\People fall.\They unmask their essence, their truth, their souls from within them... response:	People want for beauty; they favor luxury and lust for pleasure,
context: And every just cause, expedient, ideal,\and lie would no longer be necessary, yes?\But will that day ever come?\All we can do is better ourselves, little by little.\Wrong.\People fall.\They unmask their essence, their truth, their souls from within them...\People want for beauty; they favor luxury and lust for pleasure, response:	yet all the while, and just as strongly, they know and love what is right.
context: and lie would no longer be necessary, yes?\But will that day ever come?\All we can do is better ourselves, little by little.\Wrong.\People fall.\They unmask their essence, their truth, their souls from within them...\People want for beauty; they favor luxury and lust for pleasure,\yet all the while, and just as strongly, they know and love what is right. response:	For each and every evil there is, at the same time, justice.
context: But will that day ever come?\All we can do is better ourselves, little by little.\Wrong.\People fall.\They unmask their essence, their truth, their souls from within them...\People want for beauty; they favor luxury and lust for pleasure,\yet all the while, and just as strongly, they know and love what is right.\For each and every evil there is, at the same time, justice. response:	I want to love people.
context: All we can do is better ourselves, little by little.\Wrong.\People fall.\They unmask their essence, their truth, their souls from within them...\People want for beauty; they favor luxury and lust for pleasure,\yet all the while, and just as strongly, they know and love what is right.\For each and every evil there is, at the same time, justice.\I want to love people. response:	I want to know their beauty.
context: Wrong.\People fall.\They unmask their essence, their truth, their souls from within them...\People want for beauty; they favor luxury and lust for pleasure,\yet all the while, and just as strongly, they know and love what is right.\For each and every evil there is, at the same time, justice.\I want to love people.\I want to know their beauty. response:	And because of that...
context: People fall.\They unmask their essence, their truth, their souls from within them...\People want for beauty; they favor luxury and lust for pleasure,\yet all the while, and just as strongly, they know and love what is right.\For each and every evil there is, at the same time, justice.\I want to love people.\I want to know their beauty.\And because of that... response:	It's a shame.
context: They unmask their essence, their truth, their souls from within them...\People want for beauty; they favor luxury and lust for pleasure,\yet all the while, and just as strongly, they know and love what is right.\For each and every evil there is, at the same time, justice.\I want to love people.\I want to know their beauty.\And because of that...\It's a shame. response:	I'm looking forward to what comes next.
context: People want for beauty; they favor luxury and lust for pleasure,\yet all the while, and just as strongly, they know and love what is right.\For each and every evil there is, at the same time, justice.\I want to love people.\I want to know their beauty.\And because of that...\It's a shame.\I'm looking forward to what comes next. response:	In the pale morning mist, a whispered prayer
context: yet all the while, and just as strongly, they know and love what is right.\For each and every evil there is, at the same time, justice.\I want to love people.\I want to know their beauty.\And because of that...\It's a shame.\I'm looking forward to what comes next.\In the pale morning mist, a whispered prayer response:	What did you call me all the way out here for?
context: For each and every evil there is, at the same time, justice.\I want to love people.\I want to know their beauty.\And because of that...\It's a shame.\I'm looking forward to what comes next.\In the pale morning mist, a whispered prayer\What did you call me all the way out here for? response:	There's something I forgot to say.
context: I want to love people.\I want to know their beauty.\And because of that...\It's a shame.\I'm looking forward to what comes next.\In the pale morning mist, a whispered prayer\What did you call me all the way out here for?\There's something I forgot to say. response:	More bad-mouthing my father?
context: I want to know their beauty.\And because of that...\It's a shame.\I'm looking forward to what comes next.\In the pale morning mist, a whispered prayer\What did you call me all the way out here for?\There's something I forgot to say.\More bad-mouthing my father? response:	I'm gonna follow this twisted landscape with you
context: And because of that...\It's a shame.\I'm looking forward to what comes next.\In the pale morning mist, a whispered prayer\What did you call me all the way out here for?\There's something I forgot to say.\More bad-mouthing my father?\I'm gonna follow this twisted landscape with you response:	You were right.
context: It's a shame.\I'm looking forward to what comes next.\In the pale morning mist, a whispered prayer\What did you call me all the way out here for?\There's something I forgot to say.\More bad-mouthing my father?\I'm gonna follow this twisted landscape with you\You were right. response:	There's something I haven't shown you.
context: I'm looking forward to what comes next.\In the pale morning mist, a whispered prayer\What did you call me all the way out here for?\There's something I forgot to say.\More bad-mouthing my father?\I'm gonna follow this twisted landscape with you\You were right.\There's something I haven't shown you. response:	Looking for the truth, a'lie' will do is it?
context: In the pale morning mist, a whispered prayer\What did you call me all the way out here for?\There's something I forgot to say.\More bad-mouthing my father?\I'm gonna follow this twisted landscape with you\You were right.\There's something I haven't shown you.\Looking for the truth, a'lie' will do is it? response:	Will you listen?
context: What did you call me all the way out here for?\There's something I forgot to say.\More bad-mouthing my father?\I'm gonna follow this twisted landscape with you\You were right.\There's something I haven't shown you.\Looking for the truth, a'lie' will do is it?\Will you listen? response:	Yes.
context: There's something I forgot to say.\More bad-mouthing my father?\I'm gonna follow this twisted landscape with you\You were right.\There's something I haven't shown you.\Looking for the truth, a'lie' will do is it?\Will you listen?\Yes. response:	A woman saved my life once.
context: More bad-mouthing my father?\I'm gonna follow this twisted landscape with you\You were right.\There's something I haven't shown you.\Looking for the truth, a'lie' will do is it?\Will you listen?\Yes.\A woman saved my life once. response:	Tracing it as if we can see through
context: I'm gonna follow this twisted landscape with you\You were right.\There's something I haven't shown you.\Looking for the truth, a'lie' will do is it?\Will you listen?\Yes.\A woman saved my life once.\Tracing it as if we can see through response:	We'd only just met and there was nothing in it for her, but she helped me...
context: You were right.\There's something I haven't shown you.\Looking for the truth, a'lie' will do is it?\Will you listen?\Yes.\A woman saved my life once.\Tracing it as if we can see through\We'd only just met and there was nothing in it for her, but she helped me... response:	Looking for, beyond words
context: There's something I haven't shown you.\Looking for the truth, a'lie' will do is it?\Will you listen?\Yes.\A woman saved my life once.\Tracing it as if we can see through\We'd only just met and there was nothing in it for her, but she helped me...\Looking for, beyond words response:	Inga's body... is hers.
context: Looking for the truth, a'lie' will do is it?\Will you listen?\Yes.\A woman saved my life once.\Tracing it as if we can see through\We'd only just met and there was nothing in it for her, but she helped me...\Looking for, beyond words\Inga's body... is hers. response:	Like a falling feather
context: Will you listen?\Yes.\A woman saved my life once.\Tracing it as if we can see through\We'd only just met and there was nothing in it for her, but she helped me...\Looking for, beyond words\Inga's body... is hers.\Like a falling feather response:	That's why I decided to be together with him...
context: Yes.\A woman saved my life once.\Tracing it as if we can see through\We'd only just met and there was nothing in it for her, but she helped me...\Looking for, beyond words\Inga's body... is hers.\Like a falling feather\That's why I decided to be together with him... response:	Looking for, find it
context: A woman saved my life once.\Tracing it as if we can see through\We'd only just met and there was nothing in it for her, but she helped me...\Looking for, beyond words\Inga's body... is hers.\Like a falling feather\That's why I decided to be together with him...\Looking for, find it response:	So we can cuddle close together here
context: Tracing it as if we can see through\We'd only just met and there was nothing in it for her, but she helped me...\Looking for, beyond words\Inga's body... is hers.\Like a falling feather\That's why I decided to be together with him...\Looking for, find it\So we can cuddle close together here response:	Looking for, unravel it
context: We'd only just met and there was nothing in it for her, but she helped me...\Looking for, beyond words\Inga's body... is hers.\Like a falling feather\That's why I decided to be together with him...\Looking for, find it\So we can cuddle close together here\Looking for, unravel it response:	Like a tattered cloud
context: Looking for, beyond words\Inga's body... is hers.\Like a falling feather\That's why I decided to be together with him...\Looking for, find it\So we can cuddle close together here\Looking for, unravel it\Like a tattered cloud response:	Sasa Kazamori
context: Inga's body... is hers.\Like a falling feather\That's why I decided to be together with him...\Looking for, find it\So we can cuddle close together here\Looking for, unravel it\Like a tattered cloud\Sasa Kazamori response:	Artificial Intelligence (R.A.I.)
context: Like a falling feather\That's why I decided to be together with him...\Looking for, find it\So we can cuddle close together here\Looking for, unravel it\Like a tattered cloud\Sasa Kazamori\Artificial Intelligence (R.A.I.) response:	Looking for, find it
context: That's why I decided to be together with him...\Looking for, find it\So we can cuddle close together here\Looking for, unravel it\Like a tattered cloud\Sasa Kazamori\Artificial Intelligence (R.A.I.)\Looking for, find it response:	So we can cuddle close together here
