context: These are the results for the real deal. response:	The readers sure showed him, eh?
context: If the talks got all the way to that stage...\Yeah, you're probably right.\We're only submitting up to chapter 3 for the meeting,\but there are names for 10 chapters.\The others were done as a test for when they got serialized.\I had them draw one name every two weeks, and they did five manuscripts.\Also, this was going on while they were developing their entry for the Golden Future Cup.\Amazing... They did all this? response:	I'm not in a position where I can be in the serialization meeting,
context: Yeah, you're probably right.\We're only submitting up to chapter 3 for the meeting,\but there are names for 10 chapters.\The others were done as a test for when they got serialized.\I had them draw one name every two weeks, and they did five manuscripts.\Also, this was going on while they were developing their entry for the Golden Future Cup.\Amazing... They did all this?\I'm not in a position where I can be in the serialization meeting, response:	so I need you to tell them that they can draw while going to high school.
context: We're only submitting up to chapter 3 for the meeting,\but there are names for 10 chapters.\The others were done as a test for when they got serialized.\I had them draw one name every two weeks, and they did five manuscripts.\Also, this was going on while they were developing their entry for the Golden Future Cup.\Amazing... They did all this?\I'm not in a position where I can be in the serialization meeting,\so I need you to tell them that they can draw while going to high school. response:	Please!
context: but there are names for 10 chapters.\The others were done as a test for when they got serialized.\I had them draw one name every two weeks, and they did five manuscripts.\Also, this was going on while they were developing their entry for the Golden Future Cup.\Amazing... They did all this?\I'm not in a position where I can be in the serialization meeting,\so I need you to tell them that they can draw while going to high school.\Please! response:	Got it.
context: The others were done as a test for when they got serialized.\I had them draw one name every two weeks, and they did five manuscripts.\Also, this was going on while they were developing their entry for the Golden Future Cup.\Amazing... They did all this?\I'm not in a position where I can be in the serialization meeting,\so I need you to tell them that they can draw while going to high school.\Please!\Got it. response:	I'll tell them the fact that they did this much proves they can handle it.
context: I had them draw one name every two weeks, and they did five manuscripts.\Also, this was going on while they were developing their entry for the Golden Future Cup.\Amazing... They did all this?\I'm not in a position where I can be in the serialization meeting,\so I need you to tell them that they can draw while going to high school.\Please!\Got it.\I'll tell them the fact that they did this much proves they can handle it. response:	Thank you very much!
context: Also, this was going on while they were developing their entry for the Golden Future Cup.\Amazing... They did all this?\I'm not in a position where I can be in the serialization meeting,\so I need you to tell them that they can draw while going to high school.\Please!\Got it.\I'll tell them the fact that they did this much proves they can handle it.\Thank you very much! response:	Finally, huh?
context: Amazing... They did all this?\I'm not in a position where I can be in the serialization meeting,\so I need you to tell them that they can draw while going to high school.\Please!\Got it.\I'll tell them the fact that they did this much proves they can handle it.\Thank you very much!\Finally, huh? response:	Yeah, finally.
context: I'm not in a position where I can be in the serialization meeting,\so I need you to tell them that they can draw while going to high school.\Please!\Got it.\I'll tell them the fact that they did this much proves they can handle it.\Thank you very much!\Finally, huh?\Yeah, finally. response:	I see, so this is what screen tone is?
context: so I need you to tell them that they can draw while going to high school.\Please!\Got it.\I'll tell them the fact that they did this much proves they can handle it.\Thank you very much!\Finally, huh?\Yeah, finally.\I see, so this is what screen tone is? response:	Keeping it going really late, huh?
context: Please!\Got it.\I'll tell them the fact that they did this much proves they can handle it.\Thank you very much!\Finally, huh?\Yeah, finally.\I see, so this is what screen tone is?\Keeping it going really late, huh? response:	No, it's not work.
context: Got it.\I'll tell them the fact that they did this much proves they can handle it.\Thank you very much!\Finally, huh?\Yeah, finally.\I see, so this is what screen tone is?\Keeping it going really late, huh?\No, it's not work. response:	What about you, Yuujirou-san?
context: I'll tell them the fact that they did this much proves they can handle it.\Thank you very much!\Finally, huh?\Yeah, finally.\I see, so this is what screen tone is?\Keeping it going really late, huh?\No, it's not work.\What about you, Yuujirou-san? response:	This time, I'm really serious about getting Fukuda-san serialized.
context: Thank you very much!\Finally, huh?\Yeah, finally.\I see, so this is what screen tone is?\Keeping it going really late, huh?\No, it's not work.\What about you, Yuujirou-san?\This time, I'm really serious about getting Fukuda-san serialized. response:	And Nakai has a chance too.
context: Finally, huh?\Yeah, finally.\I see, so this is what screen tone is?\Keeping it going really late, huh?\No, it's not work.\What about you, Yuujirou-san?\This time, I'm really serious about getting Fukuda-san serialized.\And Nakai has a chance too. response:	I'm looking for new assistants for Niizuma-kun for when that happens.
context: Yeah, finally.\I see, so this is what screen tone is?\Keeping it going really late, huh?\No, it's not work.\What about you, Yuujirou-san?\This time, I'm really serious about getting Fukuda-san serialized.\And Nakai has a chance too.\I'm looking for new assistants for Niizuma-kun for when that happens. response:	There are good people all over,
context: I see, so this is what screen tone is?\Keeping it going really late, huh?\No, it's not work.\What about you, Yuujirou-san?\This time, I'm really serious about getting Fukuda-san serialized.\And Nakai has a chance too.\I'm looking for new assistants for Niizuma-kun for when that happens.\There are good people all over, response:	so I've got some reference material for people I might be able to use.
context: Keeping it going really late, huh?\No, it's not work.\What about you, Yuujirou-san?\This time, I'm really serious about getting Fukuda-san serialized.\And Nakai has a chance too.\I'm looking for new assistants for Niizuma-kun for when that happens.\There are good people all over,\so I've got some reference material for people I might be able to use. response:	Really, I thought that as long as they can draw well, then anyone's fine.
context: No, it's not work.\What about you, Yuujirou-san?\This time, I'm really serious about getting Fukuda-san serialized.\And Nakai has a chance too.\I'm looking for new assistants for Niizuma-kun for when that happens.\There are good people all over,\so I've got some reference material for people I might be able to use.\Really, I thought that as long as they can draw well, then anyone's fine. response:	Oh, those are copies of the names being submitted to the serialization meeting, right?
context: What about you, Yuujirou-san?\This time, I'm really serious about getting Fukuda-san serialized.\And Nakai has a chance too.\I'm looking for new assistants for Niizuma-kun for when that happens.\There are good people all over,\so I've got some reference material for people I might be able to use.\Really, I thought that as long as they can draw well, then anyone's fine.\Oh, those are copies of the names being submitted to the serialization meeting, right? response:	Yes, there are 13 this time too. I've got them all here.
context: This time, I'm really serious about getting Fukuda-san serialized.\And Nakai has a chance too.\I'm looking for new assistants for Niizuma-kun for when that happens.\There are good people all over,\so I've got some reference material for people I might be able to use.\Really, I thought that as long as they can draw well, then anyone's fine.\Oh, those are copies of the names being submitted to the serialization meeting, right?\Yes, there are 13 this time too. I've got them all here. response:	Ashirogi-kun sure is getting good assessments.
context: And Nakai has a chance too.\I'm looking for new assistants for Niizuma-kun for when that happens.\There are good people all over,\so I've got some reference material for people I might be able to use.\Really, I thought that as long as they can draw well, then anyone's fine.\Oh, those are copies of the names being submitted to the serialization meeting, right?\Yes, there are 13 this time too. I've got them all here.\Ashirogi-kun sure is getting good assessments. response:	Yeah, but they kind of feel like assessments of their future promise.
context: I'm looking for new assistants for Niizuma-kun for when that happens.\There are good people all over,\so I've got some reference material for people I might be able to use.\Really, I thought that as long as they can draw well, then anyone's fine.\Oh, those are copies of the names being submitted to the serialization meeting, right?\Yes, there are 13 this time too. I've got them all here.\Ashirogi-kun sure is getting good assessments.\Yeah, but they kind of feel like assessments of their future promise. response:	Hey, want to go for a drink?
context: There are good people all over,\so I've got some reference material for people I might be able to use.\Really, I thought that as long as they can draw well, then anyone's fine.\Oh, those are copies of the names being submitted to the serialization meeting, right?\Yes, there are 13 this time too. I've got them all here.\Ashirogi-kun sure is getting good assessments.\Yeah, but they kind of feel like assessments of their future promise.\Hey, want to go for a drink? response:	Right now?
context: so I've got some reference material for people I might be able to use.\Really, I thought that as long as they can draw well, then anyone's fine.\Oh, those are copies of the names being submitted to the serialization meeting, right?\Yes, there are 13 this time too. I've got them all here.\Ashirogi-kun sure is getting good assessments.\Yeah, but they kind of feel like assessments of their future promise.\Hey, want to go for a drink?\Right now? response:	It's better than sitting here and worrying by yourself.
context: Really, I thought that as long as they can draw well, then anyone's fine.\Oh, those are copies of the names being submitted to the serialization meeting, right?\Yes, there are 13 this time too. I've got them all here.\Ashirogi-kun sure is getting good assessments.\Yeah, but they kind of feel like assessments of their future promise.\Hey, want to go for a drink?\Right now?\It's better than sitting here and worrying by yourself. response:	There are two veteran works getting sent around this time.
context: Oh, those are copies of the names being submitted to the serialization meeting, right?\Yes, there are 13 this time too. I've got them all here.\Ashirogi-kun sure is getting good assessments.\Yeah, but they kind of feel like assessments of their future promise.\Hey, want to go for a drink?\Right now?\It's better than sitting here and worrying by yourself.\There are two veteran works getting sent around this time. response:	The limit for newcomers is probably one.
context: Yes, there are 13 this time too. I've got them all here.\Ashirogi-kun sure is getting good assessments.\Yeah, but they kind of feel like assessments of their future promise.\Hey, want to go for a drink?\Right now?\It's better than sitting here and worrying by yourself.\There are two veteran works getting sent around this time.\The limit for newcomers is probably one. response:	No, two for newcomers.
context: Ashirogi-kun sure is getting good assessments.\Yeah, but they kind of feel like assessments of their future promise.\Hey, want to go for a drink?\Right now?\It's better than sitting here and worrying by yourself.\There are two veteran works getting sent around this time.\The limit for newcomers is probably one.\No, two for newcomers. response:	Rather, after a brief review of the names,
context: Yeah, but they kind of feel like assessments of their future promise.\Hey, want to go for a drink?\Right now?\It's better than sitting here and worrying by yourself.\There are two veteran works getting sent around this time.\The limit for newcomers is probably one.\No, two for newcomers.\Rather, after a brief review of the names, response:	I have a feeling they'll be okay with starting about five series.
context: Hey, want to go for a drink?\Right now?\It's better than sitting here and worrying by yourself.\There are two veteran works getting sent around this time.\The limit for newcomers is probably one.\No, two for newcomers.\Rather, after a brief review of the names,\I have a feeling they'll be okay with starting about five series. response:	There aren't gonna be five.
context: Right now?\It's better than sitting here and worrying by yourself.\There are two veteran works getting sent around this time.\The limit for newcomers is probably one.\No, two for newcomers.\Rather, after a brief review of the names,\I have a feeling they'll be okay with starting about five series.\There aren't gonna be five. response:	In the past, there was that group of five from ROOKIES to HUNTERXHUNTER.
context: It's better than sitting here and worrying by yourself.\There are two veteran works getting sent around this time.\The limit for newcomers is probably one.\No, two for newcomers.\Rather, after a brief review of the names,\I have a feeling they'll be okay with starting about five series.\There aren't gonna be five.\In the past, there was that group of five from ROOKIES to HUNTERXHUNTER. response:	It had both newcomers and veterans.
context: There are two veteran works getting sent around this time.\The limit for newcomers is probably one.\No, two for newcomers.\Rather, after a brief review of the names,\I have a feeling they'll be okay with starting about five series.\There aren't gonna be five.\In the past, there was that group of five from ROOKIES to HUNTERXHUNTER.\It had both newcomers and veterans. response:	That was already a legend before we even entered the company.
context: The limit for newcomers is probably one.\No, two for newcomers.\Rather, after a brief review of the names,\I have a feeling they'll be okay with starting about five series.\There aren't gonna be five.\In the past, there was that group of five from ROOKIES to HUNTERXHUNTER.\It had both newcomers and veterans.\That was already a legend before we even entered the company. response:	But more realistically, there's gonna be two serialized at most.
context: No, two for newcomers.\Rather, after a brief review of the names,\I have a feeling they'll be okay with starting about five series.\There aren't gonna be five.\In the past, there was that group of five from ROOKIES to HUNTERXHUNTER.\It had both newcomers and veterans.\That was already a legend before we even entered the company.\But more realistically, there's gonna be two serialized at most. response:	Yeah, you're probably right.
context: Rather, after a brief review of the names,\I have a feeling they'll be okay with starting about five series.\There aren't gonna be five.\In the past, there was that group of five from ROOKIES to HUNTERXHUNTER.\It had both newcomers and veterans.\That was already a legend before we even entered the company.\But more realistically, there's gonna be two serialized at most.\Yeah, you're probably right. response:	I really want Ashirogi Muto to get serialized.
context: I have a feeling they'll be okay with starting about five series.\There aren't gonna be five.\In the past, there was that group of five from ROOKIES to HUNTERXHUNTER.\It had both newcomers and veterans.\That was already a legend before we even entered the company.\But more realistically, there's gonna be two serialized at most.\Yeah, you're probably right.\I really want Ashirogi Muto to get serialized. response:	Regardless of my own credit for it happening.
context: There aren't gonna be five.\In the past, there was that group of five from ROOKIES to HUNTERXHUNTER.\It had both newcomers and veterans.\That was already a legend before we even entered the company.\But more realistically, there's gonna be two serialized at most.\Yeah, you're probably right.\I really want Ashirogi Muto to get serialized.\Regardless of my own credit for it happening. response:	It's the same for me.
context: In the past, there was that group of five from ROOKIES to HUNTERXHUNTER.\It had both newcomers and veterans.\That was already a legend before we even entered the company.\But more realistically, there's gonna be two serialized at most.\Yeah, you're probably right.\I really want Ashirogi Muto to get serialized.\Regardless of my own credit for it happening.\It's the same for me. response:	I wanna be able to go to one of those meetings soon.
context: It had both newcomers and veterans.\That was already a legend before we even entered the company.\But more realistically, there's gonna be two serialized at most.\Yeah, you're probably right.\I really want Ashirogi Muto to get serialized.\Regardless of my own credit for it happening.\It's the same for me.\I wanna be able to go to one of those meetings soon. response:	They sound like fun.
context: That was already a legend before we even entered the company.\But more realistically, there's gonna be two serialized at most.\Yeah, you're probably right.\I really want Ashirogi Muto to get serialized.\Regardless of my own credit for it happening.\It's the same for me.\I wanna be able to go to one of those meetings soon.\They sound like fun. response:	Well, I guess so.
context: But more realistically, there's gonna be two serialized at most.\Yeah, you're probably right.\I really want Ashirogi Muto to get serialized.\Regardless of my own credit for it happening.\It's the same for me.\I wanna be able to go to one of those meetings soon.\They sound like fun.\Well, I guess so. response:	Isn't this the first time you've ever asked me to go drinking?
context: Yeah, you're probably right.\I really want Ashirogi Muto to get serialized.\Regardless of my own credit for it happening.\It's the same for me.\I wanna be able to go to one of those meetings soon.\They sound like fun.\Well, I guess so.\Isn't this the first time you've ever asked me to go drinking? response:	Eh? Is it?
context: I really want Ashirogi Muto to get serialized.\Regardless of my own credit for it happening.\It's the same for me.\I wanna be able to go to one of those meetings soon.\They sound like fun.\Well, I guess so.\Isn't this the first time you've ever asked me to go drinking?\Eh? Is it? response:	Well, good work today.
context: Regardless of my own credit for it happening.\It's the same for me.\I wanna be able to go to one of those meetings soon.\They sound like fun.\Well, I guess so.\Isn't this the first time you've ever asked me to go drinking?\Eh? Is it?\Well, good work today. response:	You too.
context: It's the same for me.\I wanna be able to go to one of those meetings soon.\They sound like fun.\Well, I guess so.\Isn't this the first time you've ever asked me to go drinking?\Eh? Is it?\Well, good work today.\You too. response:	Tomorrow, huh?
context: I wanna be able to go to one of those meetings soon.\They sound like fun.\Well, I guess so.\Isn't this the first time you've ever asked me to go drinking?\Eh? Is it?\Well, good work today.\You too.\Tomorrow, huh? response:	This time...
context: They sound like fun.\Well, I guess so.\Isn't this the first time you've ever asked me to go drinking?\Eh? Is it?\Well, good work today.\You too.\Tomorrow, huh?\This time... response:	With this work, serialization...
context: Well, I guess so.\Isn't this the first time you've ever asked me to go drinking?\Eh? Is it?\Well, good work today.\You too.\Tomorrow, huh?\This time...\With this work, serialization... response:	Tomorrow. No, today?
context: Isn't this the first time you've ever asked me to go drinking?\Eh? Is it?\Well, good work today.\You too.\Tomorrow, huh?\This time...\With this work, serialization...\Tomorrow. No, today? response:	It'll finally be decided.
context: Eh? Is it?\Well, good work today.\You too.\Tomorrow, huh?\This time...\With this work, serialization...\Tomorrow. No, today?\It'll finally be decided. response:	Our future...
context: Well, good work today.\You too.\Tomorrow, huh?\This time...\With this work, serialization...\Tomorrow. No, today?\It'll finally be decided.\Our future... response:	With Shuujin... and...
context: You too.\Tomorrow, huh?\This time...\With this work, serialization...\Tomorrow. No, today?\It'll finally be decided.\Our future...\With Shuujin... and... response:	The serialization meeting has finally started.
context: Tomorrow, huh?\This time...\With this work, serialization...\Tomorrow. No, today?\It'll finally be decided.\Our future...\With Shuujin... and...\The serialization meeting has finally started. response:	We're finally here, huh?
context: This time...\With this work, serialization...\Tomorrow. No, today?\It'll finally be decided.\Our future...\With Shuujin... and...\The serialization meeting has finally started.\We're finally here, huh? response:	We've worked really hard following our dream, but...
context: With this work, serialization...\Tomorrow. No, today?\It'll finally be decided.\Our future...\With Shuujin... and...\The serialization meeting has finally started.\We're finally here, huh?\We've worked really hard following our dream, but... response:	Next time everything will be decided.
context: Tomorrow. No, today?\It'll finally be decided.\Our future...\With Shuujin... and...\The serialization meeting has finally started.\We're finally here, huh?\We've worked really hard following our dream, but...\Next time everything will be decided. response:	Next time, Yes and No.
context: It'll finally be decided.\Our future...\With Shuujin... and...\The serialization meeting has finally started.\We're finally here, huh?\We've worked really hard following our dream, but...\Next time everything will be decided.\Next time, Yes and No. response:	The fate of our dream is...
