context: Hey, the float's coming along pretty nicely. response:	How's the cafe going?
context: You think so?\Ah, come to think of it, Yano confessed to you on this day last year, didn't he?\Now that I think about it, it didn't even last a year.\Is it time to rotate yet?\Not yet. Wait until the next intersection.\Yano!\Who's that?\My old friends from middle school. They must've been bored tonight. response:	Stop! Stop!
context: Ah, come to think of it, Yano confessed to you on this day last year, didn't he?\Now that I think about it, it didn't even last a year.\Is it time to rotate yet?\Not yet. Wait until the next intersection.\Yano!\Who's that?\My old friends from middle school. They must've been bored tonight.\Stop! Stop! response:	Wait for the traffic light!
context: Now that I think about it, it didn't even last a year.\Is it time to rotate yet?\Not yet. Wait until the next intersection.\Yano!\Who's that?\My old friends from middle school. They must've been bored tonight.\Stop! Stop!\Wait for the traffic light! response:	Something interesting's bound to happen this year...
context: Is it time to rotate yet?\Not yet. Wait until the next intersection.\Yano!\Who's that?\My old friends from middle school. They must've been bored tonight.\Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year... response:	Who will end up crying, and who will be left laughing?
context: Not yet. Wait until the next intersection.\Yano!\Who's that?\My old friends from middle school. They must've been bored tonight.\Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing? response:	If that new love is true...
context: Yano!\Who's that?\My old friends from middle school. They must've been bored tonight.\Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\If that new love is true... response:	Wait for the traffic light!
context: Who's that?\My old friends from middle school. They must've been bored tonight.\Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\If that new love is true...\Wait for the traffic light! response:	Right now...
context: My old friends from middle school. They must've been bored tonight.\Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\If that new love is true...\Wait for the traffic light!\Right now... response:	Please.
context: Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\If that new love is true...\Wait for the traffic light!\Right now...\Please. response:	Tsudzukanai ame ga furu
context: Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\If that new love is true...\Wait for the traffic light!\Right now...\Please.\Tsudzukanai ame ga furu response:	Suzushi tsumetai ame
context: Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\If that new love is true...\Wait for the traffic light!\Right now...\Please.\Tsudzukanai ame ga furu\Suzushi tsumetai ame response:	Akanai tsudzuketeru
context: Who will end up crying, and who will be left laughing?\If that new love is true...\Wait for the traffic light!\Right now...\Please.\Tsudzukanai ame ga furu\Suzushi tsumetai ame\Akanai tsudzuketeru response:	Kono kokoro wo tamotsu you ni
context: If that new love is true...\Wait for the traffic light!\Right now...\Please.\Tsudzukanai ame ga furu\Suzushi tsumetai ame\Akanai tsudzuketeru\Kono kokoro wo tamotsu you ni response:	Itsu no hi ni mo mitsuketeita
context: Wait for the traffic light!\Right now...\Please.\Tsudzukanai ame ga furu\Suzushi tsumetai ame\Akanai tsudzuketeru\Kono kokoro wo tamotsu you ni\Itsu no hi ni mo mitsuketeita response:	Yasashi ushirosugata mawarikudoi omoi
context: Right now...\Please.\Tsudzukanai ame ga furu\Suzushi tsumetai ame\Akanai tsudzuketeru\Kono kokoro wo tamotsu you ni\Itsu no hi ni mo mitsuketeita\Yasashi ushirosugata mawarikudoi omoi response:	Doko he mukau no
context: Please.\Tsudzukanai ame ga furu\Suzushi tsumetai ame\Akanai tsudzuketeru\Kono kokoro wo tamotsu you ni\Itsu no hi ni mo mitsuketeita\Yasashi ushirosugata mawarikudoi omoi\Doko he mukau no response:	Kimi ga mitsumeru saki ni wa
context: Tsudzukanai ame ga furu\Suzushi tsumetai ame\Akanai tsudzuketeru\Kono kokoro wo tamotsu you ni\Itsu no hi ni mo mitsuketeita\Yasashi ushirosugata mawarikudoi omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa response:	Nani ga aru darou
context: Suzushi tsumetai ame\Akanai tsudzuketeru\Kono kokoro wo tamotsu you ni\Itsu no hi ni mo mitsuketeita\Yasashi ushirosugata mawarikudoi omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou response:	Bokura wa hitahashiru
context: Akanai tsudzuketeru\Kono kokoro wo tamotsu you ni\Itsu no hi ni mo mitsuketeita\Yasashi ushirosugata mawarikudoi omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru response:	Todokisou de todokanai
context: Kono kokoro wo tamotsu you ni\Itsu no hi ni mo mitsuketeita\Yasashi ushirosugata mawarikudoi omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokanai response:	Sono toori de
context: Itsu no hi ni mo mitsuketeita\Yasashi ushirosugata mawarikudoi omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de response:	Shizuka ni ame ga furu
context: Yasashi ushirosugata mawarikudoi omoi\Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de\Shizuka ni ame ga furu response:	Sukoshi sabishii ame
context: Doko he mukau no\Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de\Shizuka ni ame ga furu\Sukoshi sabishii ame response:	Hirogaritsudzuketeru
context: Kimi ga mitsumeru saki ni wa\Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de\Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru response:	Kono kokoro wo nadameru you ni
context: Nani ga aru darou\Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de\Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni response:	Itsumo kimi wo mitsumeteiru
context: Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de\Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru response:	Kawaii ushirosugata mawarikudoi omoi
context: Todokisou de todokanai\Sono toori de\Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi response:	Mukou ni mukau no
context: Sono toori de\Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Mukou ni mukau no response:	Boku ga motomeru saki ni wa
context: Shizuka ni ame ga furu\Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Mukou ni mukau no\Boku ga motomeru saki ni wa response:	Nani ga matsu darou
context: Sukoshi sabishii ame\Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Mukou ni mukau no\Boku ga motomeru saki ni wa\Nani ga matsu darou response:	Bokura wa hitahashiru
context: Hirogaritsudzuketeru\Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Mukou ni mukau no\Boku ga motomeru saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru response:	Oitsukesou de oitsaukunai
context: Kono kokoro wo nadameru you ni\Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Mukou ni mukau no\Boku ga motomeru saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru\Oitsukesou de oitsaukunai response:	Sono toori de
context: Itsumo kimi wo mitsumeteiru\Kawaii ushirosugata mawarikudoi omoi\Mukou ni mukau no\Boku ga motomeru saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru\Oitsukesou de oitsaukunai\Sono toori de response:	Bokura wa hitahashiru
context: Kawaii ushirosugata mawarikudoi omoi\Mukou ni mukau no\Boku ga motomeru saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru\Oitsukesou de oitsaukunai\Sono toori de\Bokura wa hitahashiru response:	Todokisou de todokanai
context: Mukou ni mukau no\Boku ga motomeru saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru\Oitsukesou de oitsaukunai\Sono toori de\Bokura wa hitahashiru\Todokisou de todokanai response:	Sono toori de
context: Boku ga motomeru saki ni wa\Nani ga matsu darou\Bokura wa hitahashiru\Oitsukesou de oitsaukunai\Sono toori de\Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de response:	Sono toori de
context: Nani ga matsu darou\Bokura wa hitahashiru\Oitsukesou de oitsaukunai\Sono toori de\Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de\Sono toori de response:	Sono toori de
context: Bokura wa hitahashiru\Oitsukesou de oitsaukunai\Sono toori de\Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de\Sono toori de\Sono toori de response:	Sono toori de
context: Oitsukesou de oitsaukunai\Sono toori de\Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de\Sono toori de\Sono toori de\Sono toori de response:	Endless rain keeps falling.
context: Sono toori de\Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de\Sono toori de\Sono toori de\Sono toori de\Endless rain keeps falling. response:	The cool, chilly rain.
context: Bokura wa hitahashiru\Todokisou de todokanai\Sono toori de\Sono toori de\Sono toori de\Sono toori de\Endless rain keeps falling.\The cool, chilly rain. response:	It continues to fall, refusing to let up,
context: Todokisou de todokanai\Sono toori de\Sono toori de\Sono toori de\Sono toori de\Endless rain keeps falling.\The cool, chilly rain.\It continues to fall, refusing to let up, response:	almost as if it's sustaining my feelings.
context: Sono toori de\Sono toori de\Sono toori de\Sono toori de\Endless rain keeps falling.\The cool, chilly rain.\It continues to fall, refusing to let up,\almost as if it's sustaining my feelings. response:	I've always found your gentle back
context: Sono toori de\Sono toori de\Sono toori de\Endless rain keeps falling.\The cool, chilly rain.\It continues to fall, refusing to let up,\almost as if it's sustaining my feelings.\I've always found your gentle back response:	on that day, but where do
context: Sono toori de\Sono toori de\Endless rain keeps falling.\The cool, chilly rain.\It continues to fall, refusing to let up,\almost as if it's sustaining my feelings.\I've always found your gentle back\on that day, but where do response:	my winding feelings point?
context: Sono toori de\Endless rain keeps falling.\The cool, chilly rain.\It continues to fall, refusing to let up,\almost as if it's sustaining my feelings.\I've always found your gentle back\on that day, but where do\my winding feelings point? response:	I wonder what you see
context: Endless rain keeps falling.\The cool, chilly rain.\It continues to fall, refusing to let up,\almost as if it's sustaining my feelings.\I've always found your gentle back\on that day, but where do\my winding feelings point?\I wonder what you see response:	before you?
context: The cool, chilly rain.\It continues to fall, refusing to let up,\almost as if it's sustaining my feelings.\I've always found your gentle back\on that day, but where do\my winding feelings point?\I wonder what you see\before you? response:	We keep running
context: It continues to fall, refusing to let up,\almost as if it's sustaining my feelings.\I've always found your gentle back\on that day, but where do\my winding feelings point?\I wonder what you see\before you?\We keep running response:	and it seems like we'll make it, but we don't.
context: almost as if it's sustaining my feelings.\I've always found your gentle back\on that day, but where do\my winding feelings point?\I wonder what you see\before you?\We keep running\and it seems like we'll make it, but we don't. response:	Just like that.
context: I've always found your gentle back\on that day, but where do\my winding feelings point?\I wonder what you see\before you?\We keep running\and it seems like we'll make it, but we don't.\Just like that. response:	The rain continues to fall softly.
context: on that day, but where do\my winding feelings point?\I wonder what you see\before you?\We keep running\and it seems like we'll make it, but we don't.\Just like that.\The rain continues to fall softly. response:	A slightly lonely rain
context: my winding feelings point?\I wonder what you see\before you?\We keep running\and it seems like we'll make it, but we don't.\Just like that.\The rain continues to fall softly.\A slightly lonely rain response:	will pour all around.
context: I wonder what you see\before you?\We keep running\and it seems like we'll make it, but we don't.\Just like that.\The rain continues to fall softly.\A slightly lonely rain\will pour all around. response:	It's as if it's meant to soothe my heart,
context: before you?\We keep running\and it seems like we'll make it, but we don't.\Just like that.\The rain continues to fall softly.\A slightly lonely rain\will pour all around.\It's as if it's meant to soothe my heart, response:	I'm always looking at your
context: We keep running\and it seems like we'll make it, but we don't.\Just like that.\The rain continues to fall softly.\A slightly lonely rain\will pour all around.\It's as if it's meant to soothe my heart,\I'm always looking at your response:	cute back, but these winding feelings
context: and it seems like we'll make it, but we don't.\Just like that.\The rain continues to fall softly.\A slightly lonely rain\will pour all around.\It's as if it's meant to soothe my heart,\I'm always looking at your\cute back, but these winding feelings response:	point me in the other direction.
context: Just like that.\The rain continues to fall softly.\A slightly lonely rain\will pour all around.\It's as if it's meant to soothe my heart,\I'm always looking at your\cute back, but these winding feelings\point me in the other direction. response:	What's waiting for me
context: The rain continues to fall softly.\A slightly lonely rain\will pour all around.\It's as if it's meant to soothe my heart,\I'm always looking at your\cute back, but these winding feelings\point me in the other direction.\What's waiting for me response:	at the end of my search?
context: A slightly lonely rain\will pour all around.\It's as if it's meant to soothe my heart,\I'm always looking at your\cute back, but these winding feelings\point me in the other direction.\What's waiting for me\at the end of my search? response:	We keep on running
context: will pour all around.\It's as if it's meant to soothe my heart,\I'm always looking at your\cute back, but these winding feelings\point me in the other direction.\What's waiting for me\at the end of my search?\We keep on running response:	and it seems like we'll make it, but we don't.
context: It's as if it's meant to soothe my heart,\I'm always looking at your\cute back, but these winding feelings\point me in the other direction.\What's waiting for me\at the end of my search?\We keep on running\and it seems like we'll make it, but we don't. response:	Just like that.
context: I'm always looking at your\cute back, but these winding feelings\point me in the other direction.\What's waiting for me\at the end of my search?\We keep on running\and it seems like we'll make it, but we don't.\Just like that. response:	We keep on running
context: cute back, but these winding feelings\point me in the other direction.\What's waiting for me\at the end of my search?\We keep on running\and it seems like we'll make it, but we don't.\Just like that.\We keep on running response:	and it seems like we'll make it, but we don't.
context: point me in the other direction.\What's waiting for me\at the end of my search?\We keep on running\and it seems like we'll make it, but we don't.\Just like that.\We keep on running\and it seems like we'll make it, but we don't. response:	Just like that.
context: What's waiting for me\at the end of my search?\We keep on running\and it seems like we'll make it, but we don't.\Just like that.\We keep on running\and it seems like we'll make it, but we don't.\Just like that. response:	Just like that.
context: at the end of my search?\We keep on running\and it seems like we'll make it, but we don't.\Just like that.\We keep on running\and it seems like we'll make it, but we don't.\Just like that.\Just like that. response:	Just like that.
context: We keep on running\and it seems like we'll make it, but we don't.\Just like that.\We keep on running\and it seems like we'll make it, but we don't.\Just like that.\Just like that.\Just like that. response:	Just like that.
context: and it seems like we'll make it, but we don't.\Just like that.\We keep on running\and it seems like we'll make it, but we don't.\Just like that.\Just like that.\Just like that.\Just like that. response:	Episode 16 Preview...
context: Just like that.\We keep on running\and it seems like we'll make it, but we don't.\Just like that.\Just like that.\Just like that.\Just like that.\Episode 16 Preview... response:	I'm glad you were my friend.
context: We keep on running\and it seems like we'll make it, but we don't.\Just like that.\Just like that.\Just like that.\Just like that.\Episode 16 Preview...\I'm glad you were my friend. response:	You better make sure you don't forget those words.
context: and it seems like we'll make it, but we don't.\Just like that.\Just like that.\Just like that.\Just like that.\Episode 16 Preview...\I'm glad you were my friend.\You better make sure you don't forget those words. response:	That's dirty!
context: Just like that.\Just like that.\Just like that.\Just like that.\Episode 16 Preview...\I'm glad you were my friend.\You better make sure you don't forget those words.\That's dirty! response:	You're too naive.
context: Just like that.\Just like that.\Just like that.\Episode 16 Preview...\I'm glad you were my friend.\You better make sure you don't forget those words.\That's dirty!\You're too naive. response:	Yano's headed your way right now.
context: Just like that.\Just like that.\Episode 16 Preview...\I'm glad you were my friend.\You better make sure you don't forget those words.\That's dirty!\You're too naive.\Yano's headed your way right now. response:	And one more thing...
context: Just like that.\Episode 16 Preview...\I'm glad you were my friend.\You better make sure you don't forget those words.\That's dirty!\You're too naive.\Yano's headed your way right now.\And one more thing... response:	If my intuition's correct, Takeuchi-kun's coming, too.
context: Episode 16 Preview...\I'm glad you were my friend.\You better make sure you don't forget those words.\That's dirty!\You're too naive.\Yano's headed your way right now.\And one more thing...\If my intuition's correct, Takeuchi-kun's coming, too. response:	No way...
context: I'm glad you were my friend.\You better make sure you don't forget those words.\That's dirty!\You're too naive.\Yano's headed your way right now.\And one more thing...\If my intuition's correct, Takeuchi-kun's coming, too.\No way... response:	Both of them are coming...
context: You better make sure you don't forget those words.\That's dirty!\You're too naive.\Yano's headed your way right now.\And one more thing...\If my intuition's correct, Takeuchi-kun's coming, too.\No way...\Both of them are coming... response:	What'll I do...?
context: That's dirty!\You're too naive.\Yano's headed your way right now.\And one more thing...\If my intuition's correct, Takeuchi-kun's coming, too.\No way...\Both of them are coming...\What'll I do...? response:	I'm still undecided about my feelings...
