context: Hold it! response:	I didn't know who to expect, but I'm surprised to see Saber's Master.
context: that little lady is pretty dazzling.\You're so softhearted, Lancer.\Do you know the saying The grass is always greener on the other side?\What are you talking about?\Like I'd know anything about that!\Tohsaka?\While I have the chance, let me say this.\There's really only one of these pendants. response:	What do you mean?
context: You're so softhearted, Lancer.\Do you know the saying The grass is always greener on the other side?\What are you talking about?\Like I'd know anything about that!\Tohsaka?\While I have the chance, let me say this.\There's really only one of these pendants.\What do you mean? response:	This is the one that Archer returned to me...
context: Do you know the saying The grass is always greener on the other side?\What are you talking about?\Like I'd know anything about that!\Tohsaka?\While I have the chance, let me say this.\There's really only one of these pendants.\What do you mean?\This is the one that Archer returned to me... response:	On that day you were stabbed.
context: What are you talking about?\Like I'd know anything about that!\Tohsaka?\While I have the chance, let me say this.\There's really only one of these pendants.\What do you mean?\This is the one that Archer returned to me...\On that day you were stabbed. response:	I always assumed that he'd just retrieved it for me.
context: Like I'd know anything about that!\Tohsaka?\While I have the chance, let me say this.\There's really only one of these pendants.\What do you mean?\This is the one that Archer returned to me...\On that day you were stabbed.\I always assumed that he'd just retrieved it for me. response:	That was all I needed to tell you.
context: Tohsaka?\While I have the chance, let me say this.\There's really only one of these pendants.\What do you mean?\This is the one that Archer returned to me...\On that day you were stabbed.\I always assumed that he'd just retrieved it for me.\That was all I needed to tell you. response:	Tohsaka...
context: While I have the chance, let me say this.\There's really only one of these pendants.\What do you mean?\This is the one that Archer returned to me...\On that day you were stabbed.\I always assumed that he'd just retrieved it for me.\That was all I needed to tell you.\Tohsaka... response:	Let's go.
context: There's really only one of these pendants.\What do you mean?\This is the one that Archer returned to me...\On that day you were stabbed.\I always assumed that he'd just retrieved it for me.\That was all I needed to tell you.\Tohsaka...\Let's go. response:	Yeah.
context: What do you mean?\This is the one that Archer returned to me...\On that day you were stabbed.\I always assumed that he'd just retrieved it for me.\That was all I needed to tell you.\Tohsaka...\Let's go.\Yeah. response:	I didn't come here to abandon something, but to retake something.
context: This is the one that Archer returned to me...\On that day you were stabbed.\I always assumed that he'd just retrieved it for me.\That was all I needed to tell you.\Tohsaka...\Let's go.\Yeah.\I didn't come here to abandon something, but to retake something. response:	No matter what you try, you are no match for me.
context: On that day you were stabbed.\I always assumed that he'd just retrieved it for me.\That was all I needed to tell you.\Tohsaka...\Let's go.\Yeah.\I didn't come here to abandon something, but to retake something.\No matter what you try, you are no match for me. response:	You have a fatal lack of pride in your sword skills.
context: I always assumed that he'd just retrieved it for me.\That was all I needed to tell you.\Tohsaka...\Let's go.\Yeah.\I didn't come here to abandon something, but to retake something.\No matter what you try, you are no match for me.\You have a fatal lack of pride in your sword skills. response:	I told you, didn't I?
context: That was all I needed to tell you.\Tohsaka...\Let's go.\Yeah.\I didn't come here to abandon something, but to retake something.\No matter what you try, you are no match for me.\You have a fatal lack of pride in your sword skills.\I told you, didn't I? response:	Next Time The Dark Sword Bares Its Fangs
context: Tohsaka...\Let's go.\Yeah.\I didn't come here to abandon something, but to retake something.\No matter what you try, you are no match for me.\You have a fatal lack of pride in your sword skills.\I told you, didn't I?\Next Time The Dark Sword Bares Its Fangs response:	I only choose the option with the highest chance of success.
