context: I could just die right now. response:	A Place Further Than the Universe
context: Okay!\P-Penguins!\Aren't they nice and fluffy looking?\Yeah...\Hey!\Wow, it's long!\Hey, we can go inside this!\Really? response:	It's pretty cramped in here, huh?
context: P-Penguins!\Aren't they nice and fluffy looking?\Yeah...\Hey!\Wow, it's long!\Hey, we can go inside this!\Really?\It's pretty cramped in here, huh? response:	I believe they use newer models of snowcats nowadays, of course...
context: Aren't they nice and fluffy looking?\Yeah...\Hey!\Wow, it's long!\Hey, we can go inside this!\Really?\It's pretty cramped in here, huh?\I believe they use newer models of snowcats nowadays, of course... response:	Full speed ahead, and keep'er steady!
context: Yeah...\Hey!\Wow, it's long!\Hey, we can go inside this!\Really?\It's pretty cramped in here, huh?\I believe they use newer models of snowcats nowadays, of course...\Full speed ahead, and keep'er steady! response:	I don't think it's a boat.
context: Hey!\Wow, it's long!\Hey, we can go inside this!\Really?\It's pretty cramped in here, huh?\I believe they use newer models of snowcats nowadays, of course...\Full speed ahead, and keep'er steady!\I don't think it's a boat. response:	This bunk bed only has a top bunk!
context: Wow, it's long!\Hey, we can go inside this!\Really?\It's pretty cramped in here, huh?\I believe they use newer models of snowcats nowadays, of course...\Full speed ahead, and keep'er steady!\I don't think it's a boat.\This bunk bed only has a top bunk! response:	It says they keep the rooms over twenty degrees Celsius!
context: Hey, we can go inside this!\Really?\It's pretty cramped in here, huh?\I believe they use newer models of snowcats nowadays, of course...\Full speed ahead, and keep'er steady!\I don't think it's a boat.\This bunk bed only has a top bunk!\It says they keep the rooms over twenty degrees Celsius! response:	Nice to hear it!
context: Really?\It's pretty cramped in here, huh?\I believe they use newer models of snowcats nowadays, of course...\Full speed ahead, and keep'er steady!\I don't think it's a boat.\This bunk bed only has a top bunk!\It says they keep the rooms over twenty degrees Celsius!\Nice to hear it! response:	Because it'll be negative ten degrees outside!
context: It's pretty cramped in here, huh?\I believe they use newer models of snowcats nowadays, of course...\Full speed ahead, and keep'er steady!\I don't think it's a boat.\This bunk bed only has a top bunk!\It says they keep the rooms over twenty degrees Celsius!\Nice to hear it!\Because it'll be negative ten degrees outside! response:	I bet my nose would be running...
context: I believe they use newer models of snowcats nowadays, of course...\Full speed ahead, and keep'er steady!\I don't think it's a boat.\This bunk bed only has a top bunk!\It says they keep the rooms over twenty degrees Celsius!\Nice to hear it!\Because it'll be negative ten degrees outside!\I bet my nose would be running... response:	Come a little closer!
context: Full speed ahead, and keep'er steady!\I don't think it's a boat.\This bunk bed only has a top bunk!\It says they keep the rooms over twenty degrees Celsius!\Nice to hear it!\Because it'll be negative ten degrees outside!\I bet my nose would be running...\Come a little closer! response:	I bet the real one is a lot more beautiful!
context: I don't think it's a boat.\This bunk bed only has a top bunk!\It says they keep the rooms over twenty degrees Celsius!\Nice to hear it!\Because it'll be negative ten degrees outside!\I bet my nose would be running...\Come a little closer!\I bet the real one is a lot more beautiful! response:	Yes, I've heard it's very beautiful.
context: This bunk bed only has a top bunk!\It says they keep the rooms over twenty degrees Celsius!\Nice to hear it!\Because it'll be negative ten degrees outside!\I bet my nose would be running...\Come a little closer!\I bet the real one is a lot more beautiful!\Yes, I've heard it's very beautiful. response:	My mother said it brought her to tears.
context: It says they keep the rooms over twenty degrees Celsius!\Nice to hear it!\Because it'll be negative ten degrees outside!\I bet my nose would be running...\Come a little closer!\I bet the real one is a lot more beautiful!\Yes, I've heard it's very beautiful.\My mother said it brought her to tears. response:	Most people don't get to see the aurora, though, do they?
context: Nice to hear it!\Because it'll be negative ten degrees outside!\I bet my nose would be running...\Come a little closer!\I bet the real one is a lot more beautiful!\Yes, I've heard it's very beautiful.\My mother said it brought her to tears.\Most people don't get to see the aurora, though, do they? response:	I've heard that.
context: Because it'll be negative ten degrees outside!\I bet my nose would be running...\Come a little closer!\I bet the real one is a lot more beautiful!\Yes, I've heard it's very beautiful.\My mother said it brought her to tears.\Most people don't get to see the aurora, though, do they?\I've heard that. response:	Then if we really do get to see it,
context: I bet my nose would be running...\Come a little closer!\I bet the real one is a lot more beautiful!\Yes, I've heard it's very beautiful.\My mother said it brought her to tears.\Most people don't get to see the aurora, though, do they?\I've heard that.\Then if we really do get to see it, response:	we might be the only high school students in the world to see the aurora from Antarctica.
context: Come a little closer!\I bet the real one is a lot more beautiful!\Yes, I've heard it's very beautiful.\My mother said it brought her to tears.\Most people don't get to see the aurora, though, do they?\I've heard that.\Then if we really do get to see it,\we might be the only high school students in the world to see the aurora from Antarctica. response:	Really?
context: I bet the real one is a lot more beautiful!\Yes, I've heard it's very beautiful.\My mother said it brought her to tears.\Most people don't get to see the aurora, though, do they?\I've heard that.\Then if we really do get to see it,\we might be the only high school students in the world to see the aurora from Antarctica.\Really? response:	In that case...
context: Yes, I've heard it's very beautiful.\My mother said it brought her to tears.\Most people don't get to see the aurora, though, do they?\I've heard that.\Then if we really do get to see it,\we might be the only high school students in the world to see the aurora from Antarctica.\Really?\In that case... response:	I could just die right now!
