context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya. response:	TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.
context: Are you serious? I don't have a DVD player in my house!\The best quality drawings have to be recorded with the best video quality.\But don't panic, Mikuriya.\I expected this, so I've also prepared a video!\Then you should've brought it out first.\Nagi, it's the video.\I'll leave it here,\so take a look. response:	Jin. What's this?
context: The best quality drawings have to be recorded with the best video quality.\But don't panic, Mikuriya.\I expected this, so I've also prepared a video!\Then you should've brought it out first.\Nagi, it's the video.\I'll leave it here,\so take a look.\Jin. What's this? response:	This is... a video, right?
context: But don't panic, Mikuriya.\I expected this, so I've also prepared a video!\Then you should've brought it out first.\Nagi, it's the video.\I'll leave it here,\so take a look.\Jin. What's this?\This is... a video, right? response:	It's a video. A Beta one.
context: I expected this, so I've also prepared a video!\Then you should've brought it out first.\Nagi, it's the video.\I'll leave it here,\so take a look.\Jin. What's this?\This is... a video, right?\It's a video. A Beta one. response:	Beta?
context: Then you should've brought it out first.\Nagi, it's the video.\I'll leave it here,\so take a look.\Jin. What's this?\This is... a video, right?\It's a video. A Beta one.\Beta? response:	What's that?
context: Nagi, it's the video.\I'll leave it here,\so take a look.\Jin. What's this?\This is... a video, right?\It's a video. A Beta one.\Beta?\What's that? response:	It's a Sony.
context: I'll leave it here,\so take a look.\Jin. What's this?\This is... a video, right?\It's a video. A Beta one.\Beta?\What's that?\It's a Sony. response:	Everyone went home.
context: so take a look.\Jin. What's this?\This is... a video, right?\It's a video. A Beta one.\Beta?\What's that?\It's a Sony.\Everyone went home. response:	I remembered something.
context: Jin. What's this?\This is... a video, right?\It's a video. A Beta one.\Beta?\What's that?\It's a Sony.\Everyone went home.\I remembered something. response:	In the past, there were many times I couldn't watch,
context: This is... a video, right?\It's a video. A Beta one.\Beta?\What's that?\It's a Sony.\Everyone went home.\I remembered something.\In the past, there were many times I couldn't watch, response:	because my old man was watching baseball.
context: It's a video. A Beta one.\Beta?\What's that?\It's a Sony.\Everyone went home.\I remembered something.\In the past, there were many times I couldn't watch,\because my old man was watching baseball. response:	It might not have meant anything important to him,
context: Beta?\What's that?\It's a Sony.\Everyone went home.\I remembered something.\In the past, there were many times I couldn't watch,\because my old man was watching baseball.\It might not have meant anything important to him, response:	but to me, it felt really unfair.
context: What's that?\It's a Sony.\Everyone went home.\I remembered something.\In the past, there were many times I couldn't watch,\because my old man was watching baseball.\It might not have meant anything important to him,\but to me, it felt really unfair. response:	I wonder if I've done the same thing to you.
context: It's a Sony.\Everyone went home.\I remembered something.\In the past, there were many times I couldn't watch,\because my old man was watching baseball.\It might not have meant anything important to him,\but to me, it felt really unfair.\I wonder if I've done the same thing to you. response:	But I really thought you'd be happy.
context: Everyone went home.\I remembered something.\In the past, there were many times I couldn't watch,\because my old man was watching baseball.\It might not have meant anything important to him,\but to me, it felt really unfair.\I wonder if I've done the same thing to you.\But I really thought you'd be happy. response:	If someone did that for me, I thought I would have been very happy.
context: I remembered something.\In the past, there were many times I couldn't watch,\because my old man was watching baseball.\It might not have meant anything important to him,\but to me, it felt really unfair.\I wonder if I've done the same thing to you.\But I really thought you'd be happy.\If someone did that for me, I thought I would have been very happy. response:	Even though it was a failure...
context: In the past, there were many times I couldn't watch,\because my old man was watching baseball.\It might not have meant anything important to him,\but to me, it felt really unfair.\I wonder if I've done the same thing to you.\But I really thought you'd be happy.\If someone did that for me, I thought I would have been very happy.\Even though it was a failure... response:	It was my fault. Come out.
context: because my old man was watching baseball.\It might not have meant anything important to him,\but to me, it felt really unfair.\I wonder if I've done the same thing to you.\But I really thought you'd be happy.\If someone did that for me, I thought I would have been very happy.\Even though it was a failure...\It was my fault. Come out. response:	You're hungry, aren't you? Let's eat together.
context: It might not have meant anything important to him,\but to me, it felt really unfair.\I wonder if I've done the same thing to you.\But I really thought you'd be happy.\If someone did that for me, I thought I would have been very happy.\Even though it was a failure...\It was my fault. Come out.\You're hungry, aren't you? Let's eat together. response:	Just like always.
context: but to me, it felt really unfair.\I wonder if I've done the same thing to you.\But I really thought you'd be happy.\If someone did that for me, I thought I would have been very happy.\Even though it was a failure...\It was my fault. Come out.\You're hungry, aren't you? Let's eat together.\Just like always. response:	I'm sorry!
context: I wonder if I've done the same thing to you.\But I really thought you'd be happy.\If someone did that for me, I thought I would have been very happy.\Even though it was a failure...\It was my fault. Come out.\You're hungry, aren't you? Let's eat together.\Just like always.\I'm sorry! response:	Huh?
context: But I really thought you'd be happy.\If someone did that for me, I thought I would have been very happy.\Even though it was a failure...\It was my fault. Come out.\You're hungry, aren't you? Let's eat together.\Just like always.\I'm sorry!\Huh? response:	All right.
context: If someone did that for me, I thought I would have been very happy.\Even though it was a failure...\It was my fault. Come out.\You're hungry, aren't you? Let's eat together.\Just like always.\I'm sorry!\Huh?\All right. response:	I understand!
context: Even though it was a failure...\It was my fault. Come out.\You're hungry, aren't you? Let's eat together.\Just like always.\I'm sorry!\Huh?\All right.\I understand! response:	I shall let bygones be bygones this time!
context: It was my fault. Come out.\You're hungry, aren't you? Let's eat together.\Just like always.\I'm sorry!\Huh?\All right.\I understand!\I shall let bygones be bygones this time! response:	You... Don't ever come out of the closet!
context: You're hungry, aren't you? Let's eat together.\Just like always.\I'm sorry!\Huh?\All right.\I understand!\I shall let bygones be bygones this time!\You... Don't ever come out of the closet! response:	Mr. President!
context: Just like always.\I'm sorry!\Huh?\All right.\I understand!\I shall let bygones be bygones this time!\You... Don't ever come out of the closet!\Mr. President! response:	Someone, call the doctor, quickly!
context: I'm sorry!\Huh?\All right.\I understand!\I shall let bygones be bygones this time!\You... Don't ever come out of the closet!\Mr. President!\Someone, call the doctor, quickly! response:	You don't deserve to be called a member of the Lolikko!
context: Huh?\All right.\I understand!\I shall let bygones be bygones this time!\You... Don't ever come out of the closet!\Mr. President!\Someone, call the doctor, quickly!\You don't deserve to be called a member of the Lolikko! response:	I like boobs though.
context: All right.\I understand!\I shall let bygones be bygones this time!\You... Don't ever come out of the closet!\Mr. President!\Someone, call the doctor, quickly!\You don't deserve to be called a member of the Lolikko!\I like boobs though. response:	You too! How long are you going to keep staying with a visual figure like that?
context: I understand!\I shall let bygones be bygones this time!\You... Don't ever come out of the closet!\Mr. President!\Someone, call the doctor, quickly!\You don't deserve to be called a member of the Lolikko!\I like boobs though.\You too! How long are you going to keep staying with a visual figure like that? response:	The eel fillets are disappearing from the world!
context: I shall let bygones be bygones this time!\You... Don't ever come out of the closet!\Mr. President!\Someone, call the doctor, quickly!\You don't deserve to be called a member of the Lolikko!\I like boobs though.\You too! How long are you going to keep staying with a visual figure like that?\The eel fillets are disappearing from the world! response:	I'm late, I'm late!
context: You... Don't ever come out of the closet!\Mr. President!\Someone, call the doctor, quickly!\You don't deserve to be called a member of the Lolikko!\I like boobs though.\You too! How long are you going to keep staying with a visual figure like that?\The eel fillets are disappearing from the world!\I'm late, I'm late! response:	I have two lives.
context: Mr. President!\Someone, call the doctor, quickly!\You don't deserve to be called a member of the Lolikko!\I like boobs though.\You too! How long are you going to keep staying with a visual figure like that?\The eel fillets are disappearing from the world!\I'm late, I'm late!\I have two lives. response:	That means all!
context: Someone, call the doctor, quickly!\You don't deserve to be called a member of the Lolikko!\I like boobs though.\You too! How long are you going to keep staying with a visual figure like that?\The eel fillets are disappearing from the world!\I'm late, I'm late!\I have two lives.\That means all! response:	All of a sudden!
context: You don't deserve to be called a member of the Lolikko!\I like boobs though.\You too! How long are you going to keep staying with a visual figure like that?\The eel fillets are disappearing from the world!\I'm late, I'm late!\I have two lives.\That means all!\All of a sudden! response:	Sorry, sorry for everyday!
context: I like boobs though.\You too! How long are you going to keep staying with a visual figure like that?\The eel fillets are disappearing from the world!\I'm late, I'm late!\I have two lives.\That means all!\All of a sudden!\Sorry, sorry for everyday! response:	Guuun
context: You too! How long are you going to keep staying with a visual figure like that?\The eel fillets are disappearing from the world!\I'm late, I'm late!\I have two lives.\That means all!\All of a sudden!\Sorry, sorry for everyday!\Guuun response:	I've always been sorry.
context: The eel fillets are disappearing from the world!\I'm late, I'm late!\I have two lives.\That means all!\All of a sudden!\Sorry, sorry for everyday!\Guuun\I've always been sorry. response:	Actually, I have three lives.
context: I'm late, I'm late!\I have two lives.\That means all!\All of a sudden!\Sorry, sorry for everyday!\Guuun\I've always been sorry.\Actually, I have three lives. response:	What's happening?
context: I have two lives.\That means all!\All of a sudden!\Sorry, sorry for everyday!\Guuun\I've always been sorry.\Actually, I have three lives.\What's happening? response:	Didn't the curse wear off?
context: That means all!\All of a sudden!\Sorry, sorry for everyday!\Guuun\I've always been sorry.\Actually, I have three lives.\What's happening?\Didn't the curse wear off? response:	Please watch over me, Senpai!
context: All of a sudden!\Sorry, sorry for everyday!\Guuun\I've always been sorry.\Actually, I have three lives.\What's happening?\Didn't the curse wear off?\Please watch over me, Senpai! response:	Same here!
context: Sorry, sorry for everyday!\Guuun\I've always been sorry.\Actually, I have three lives.\What's happening?\Didn't the curse wear off?\Please watch over me, Senpai!\Same here! response:	A godly episode was it?
context: Guuun\I've always been sorry.\Actually, I have three lives.\What's happening?\Didn't the curse wear off?\Please watch over me, Senpai!\Same here!\A godly episode was it? response:	The next episode of Kannagi is...!
context: I've always been sorry.\Actually, I have three lives.\What's happening?\Didn't the curse wear off?\Please watch over me, Senpai!\Same here!\A godly episode was it?\The next episode of Kannagi is...! response:	Hey don't record over it!
