context: This woman, Kurami Zell, has won all her games in the tournament. response:	Is there no one left to challenge her?
context: Is that king worthy of your service?\That king who brainwashes his soldiers, uses them as weapons and tools,\and even forces you to bear the brunt of the assault?\Is he worthy of your sword?\Please reconsider!\Who are your people?\Where are those you must protect?\Romance simulation games are response:	one of the few genres where I'm better than my sister.
context: That king who brainwashes his soldiers, uses them as weapons and tools,\and even forces you to bear the brunt of the assault?\Is he worthy of your sword?\Please reconsider!\Who are your people?\Where are those you must protect?\Romance simulation games are\one of the few genres where I'm better than my sister. response:	He got us the enemy queen!
context: and even forces you to bear the brunt of the assault?\Is he worthy of your sword?\Please reconsider!\Who are your people?\Where are those you must protect?\Romance simulation games are\one of the few genres where I'm better than my sister.\He got us the enemy queen! response:	He's turned it around!
context: Is he worthy of your sword?\Please reconsider!\Who are your people?\Where are those you must protect?\Romance simulation games are\one of the few genres where I'm better than my sister.\He got us the enemy queen!\He's turned it around! response:	No.
context: Please reconsider!\Who are your people?\Where are those you must protect?\Romance simulation games are\one of the few genres where I'm better than my sister.\He got us the enemy queen!\He's turned it around!\No. response:	They're using magic that lets them brainwash others just by touching them.
context: Who are your people?\Where are those you must protect?\Romance simulation games are\one of the few genres where I'm better than my sister.\He got us the enemy queen!\He's turned it around!\No.\They're using magic that lets them brainwash others just by touching them. response:	Adding one piece to our ranks changes nothing.
context: Where are those you must protect?\Romance simulation games are\one of the few genres where I'm better than my sister.\He got us the enemy queen!\He's turned it around!\No.\They're using magic that lets them brainwash others just by touching them.\Adding one piece to our ranks changes nothing. response:	No...
context: Romance simulation games are\one of the few genres where I'm better than my sister.\He got us the enemy queen!\He's turned it around!\No.\They're using magic that lets them brainwash others just by touching them.\Adding one piece to our ranks changes nothing.\No... response:	What do I do? What are you gonna do, 18-year-old virgin?
context: one of the few genres where I'm better than my sister.\He got us the enemy queen!\He's turned it around!\No.\They're using magic that lets them brainwash others just by touching them.\Adding one piece to our ranks changes nothing.\No...\What do I do? What are you gonna do, 18-year-old virgin? response:	There is a way, but...
context: He got us the enemy queen!\He's turned it around!\No.\They're using magic that lets them brainwash others just by touching them.\Adding one piece to our ranks changes nothing.\No...\What do I do? What are you gonna do, 18-year-old virgin?\There is a way, but... response:	If she doesn't try to break out of this, we're done!
context: He's turned it around!\No.\They're using magic that lets them brainwash others just by touching them.\Adding one piece to our ranks changes nothing.\No...\What do I do? What are you gonna do, 18-year-old virgin?\There is a way, but...\If she doesn't try to break out of this, we're done! response:	No, is it dangerous to wait?
context: No.\They're using magic that lets them brainwash others just by touching them.\Adding one piece to our ranks changes nothing.\No...\What do I do? What are you gonna do, 18-year-old virgin?\There is a way, but...\If she doesn't try to break out of this, we're done!\No, is it dangerous to wait? response:	Maybe I should make the next move...
context: They're using magic that lets them brainwash others just by touching them.\Adding one piece to our ranks changes nothing.\No...\What do I do? What are you gonna do, 18-year-old virgin?\There is a way, but...\If she doesn't try to break out of this, we're done!\No, is it dangerous to wait?\Maybe I should make the next move... response:	No! What do I do?
context: Adding one piece to our ranks changes nothing.\No...\What do I do? What are you gonna do, 18-year-old virgin?\There is a way, but...\If she doesn't try to break out of this, we're done!\No, is it dangerous to wait?\Maybe I should make the next move...\No! What do I do? response:	There's no time to correct my mistake and come up with something el
context: No...\What do I do? What are you gonna do, 18-year-old virgin?\There is a way, but...\If she doesn't try to break out of this, we're done!\No, is it dangerous to wait?\Maybe I should make the next move...\No! What do I do?\There's no time to correct my mistake and come up with something el response:	Brother...
context: What do I do? What are you gonna do, 18-year-old virgin?\There is a way, but...\If she doesn't try to break out of this, we're done!\No, is it dangerous to wait?\Maybe I should make the next move...\No! What do I do?\There's no time to correct my mistake and come up with something el\Brother... response:	Shiro?
context: There is a way, but...\If she doesn't try to break out of this, we're done!\No, is it dangerous to wait?\Maybe I should make the next move...\No! What do I do?\There's no time to correct my mistake and come up with something el\Brother...\Shiro? response:	The two of us are Blank together.
context: If she doesn't try to break out of this, we're done!\No, is it dangerous to wait?\Maybe I should make the next move...\No! What do I do?\There's no time to correct my mistake and come up with something el\Brother...\Shiro?\The two of us are Blank together. response:	It's okay!
context: No, is it dangerous to wait?\Maybe I should make the next move...\No! What do I do?\There's no time to correct my mistake and come up with something el\Brother...\Shiro?\The two of us are Blank together.\It's okay! response:	No. I mustn't be intimidated.
context: Maybe I should make the next move...\No! What do I do?\There's no time to correct my mistake and come up with something el\Brother...\Shiro?\The two of us are Blank together.\It's okay!\No. I mustn't be intimidated. response:	Knight! Slay the traitor queen!
context: No! What do I do?\There's no time to correct my mistake and come up with something el\Brother...\Shiro?\The two of us are Blank together.\It's okay!\No. I mustn't be intimidated.\Knight! Slay the traitor queen! response:	She took the bait!
context: There's no time to correct my mistake and come up with something el\Brother...\Shiro?\The two of us are Blank together.\It's okay!\No. I mustn't be intimidated.\Knight! Slay the traitor queen!\She took the bait! response:	Knight, what's wrong?
context: Brother...\Shiro?\The two of us are Blank together.\It's okay!\No. I mustn't be intimidated.\Knight! Slay the traitor queen!\She took the bait!\Knight, what's wrong? response:	This is it!
context: Shiro?\The two of us are Blank together.\It's okay!\No. I mustn't be intimidated.\Knight! Slay the traitor queen!\She took the bait!\Knight, what's wrong?\This is it! response:	This is the one way to win!
context: The two of us are Blank together.\It's okay!\No. I mustn't be intimidated.\Knight! Slay the traitor queen!\She took the bait!\Knight, what's wrong?\This is it!\This is the one way to win! response:	Shiro, you command the army!
context: It's okay!\No. I mustn't be intimidated.\Knight! Slay the traitor queen!\She took the bait!\Knight, what's wrong?\This is it!\This is the one way to win!\Shiro, you command the army! response:	Keep their forces from brainwashing us!
context: No. I mustn't be intimidated.\Knight! Slay the traitor queen!\She took the bait!\Knight, what's wrong?\This is it!\This is the one way to win!\Shiro, you command the army!\Keep their forces from brainwashing us! response:	Piece of cake!
context: Knight! Slay the traitor queen!\She took the bait!\Knight, what's wrong?\This is it!\This is the one way to win!\Shiro, you command the army!\Keep their forces from brainwashing us!\Piece of cake! response:	What are you going to do?
context: She took the bait!\Knight, what's wrong?\This is it!\This is the one way to win!\Shiro, you command the army!\Keep their forces from brainwashing us!\Piece of cake!\What are you going to do? response:	You know what, Steph?
context: Knight, what's wrong?\This is it!\This is the one way to win!\Shiro, you command the army!\Keep their forces from brainwashing us!\Piece of cake!\What are you going to do?\You know what, Steph? response:	There's more than one way to win a game.
context: This is it!\This is the one way to win!\Shiro, you command the army!\Keep their forces from brainwashing us!\Piece of cake!\What are you going to do?\You know what, Steph?\There's more than one way to win a game. response:	You can win without
context: This is the one way to win!\Shiro, you command the army!\Keep their forces from brainwashing us!\Piece of cake!\What are you going to do?\You know what, Steph?\There's more than one way to win a game.\You can win without response:	fighting!
context: Shiro, you command the army!\Keep their forces from brainwashing us!\Piece of cake!\What are you going to do?\You know what, Steph?\There's more than one way to win a game.\You can win without\fighting! response:	Grandmaster
context: Keep their forces from brainwashing us!\Piece of cake!\What are you going to do?\You know what, Steph?\There's more than one way to win a game.\You can win without\fighting!\Grandmaster response:	How can you not take this game seriously?
