context: We need to become the MVPs. response:	We're stopping the Quest Dorm from getting shut down,
context: Thank you, everyone.\I'm really glad I got to work so hard towards something with all of you.\I'm at fault here.\If I hadn't been hurt...\Souta-kun...\Huh?\We were moved!\These are the people on the board that were complaining about you. response:	You had an accident, and you still carried your friend to the finish line.
context: I'm really glad I got to work so hard towards something with all of you.\I'm at fault here.\If I hadn't been hurt...\Souta-kun...\Huh?\We were moved!\These are the people on the board that were complaining about you.\You had an accident, and you still carried your friend to the finish line. response:	You believed in your friends to the last minute,
context: I'm at fault here.\If I hadn't been hurt...\Souta-kun...\Huh?\We were moved!\These are the people on the board that were complaining about you.\You had an accident, and you still carried your friend to the finish line.\You believed in your friends to the last minute, response:	and called out to them, cheering them on.
context: If I hadn't been hurt...\Souta-kun...\Huh?\We were moved!\These are the people on the board that were complaining about you.\You had an accident, and you still carried your friend to the finish line.\You believed in your friends to the last minute,\and called out to them, cheering them on. response:	This is true friendship, true teamwork.
context: Souta-kun...\Huh?\We were moved!\These are the people on the board that were complaining about you.\You had an accident, and you still carried your friend to the finish line.\You believed in your friends to the last minute,\and called out to them, cheering them on.\This is true friendship, true teamwork. response:	But it doesn't change the fact that Souta will be kicked out of the dorm!
context: Huh?\We were moved!\These are the people on the board that were complaining about you.\You had an accident, and you still carried your friend to the finish line.\You believed in your friends to the last minute,\and called out to them, cheering them on.\This is true friendship, true teamwork.\But it doesn't change the fact that Souta will be kicked out of the dorm! response:	Second place and better are pretty much guaranteed to get MVP.
context: We were moved!\These are the people on the board that were complaining about you.\You had an accident, and you still carried your friend to the finish line.\You believed in your friends to the last minute,\and called out to them, cheering them on.\This is true friendship, true teamwork.\But it doesn't change the fact that Souta will be kicked out of the dorm!\Second place and better are pretty much guaranteed to get MVP. response:	Huh?
context: These are the people on the board that were complaining about you.\You had an accident, and you still carried your friend to the finish line.\You believed in your friends to the last minute,\and called out to them, cheering them on.\This is true friendship, true teamwork.\But it doesn't change the fact that Souta will be kicked out of the dorm!\Second place and better are pretty much guaranteed to get MVP.\Huh? response:	So that means...
context: You had an accident, and you still carried your friend to the finish line.\You believed in your friends to the last minute,\and called out to them, cheering them on.\This is true friendship, true teamwork.\But it doesn't change the fact that Souta will be kicked out of the dorm!\Second place and better are pretty much guaranteed to get MVP.\Huh?\So that means... response:	Quest Dorm gets to stay?
context: You believed in your friends to the last minute,\and called out to them, cheering them on.\This is true friendship, true teamwork.\But it doesn't change the fact that Souta will be kicked out of the dorm!\Second place and better are pretty much guaranteed to get MVP.\Huh?\So that means...\Quest Dorm gets to stay? response:	Yay!
context: and called out to them, cheering them on.\This is true friendship, true teamwork.\But it doesn't change the fact that Souta will be kicked out of the dorm!\Second place and better are pretty much guaranteed to get MVP.\Huh?\So that means...\Quest Dorm gets to stay?\Yay! response:	I guess I was wrong.
context: This is true friendship, true teamwork.\But it doesn't change the fact that Souta will be kicked out of the dorm!\Second place and better are pretty much guaranteed to get MVP.\Huh?\So that means...\Quest Dorm gets to stay?\Yay!\I guess I was wrong. response:	You again?!
context: But it doesn't change the fact that Souta will be kicked out of the dorm!\Second place and better are pretty much guaranteed to get MVP.\Huh?\So that means...\Quest Dorm gets to stay?\Yay!\I guess I was wrong.\You again?! response:	Hatate Souta...
context: Second place and better are pretty much guaranteed to get MVP.\Huh?\So that means...\Quest Dorm gets to stay?\Yay!\I guess I was wrong.\You again?!\Hatate Souta... response:	I see. So he's the one...
context: Huh?\So that means...\Quest Dorm gets to stay?\Yay!\I guess I was wrong.\You again?!\Hatate Souta...\I see. So he's the one... response:	Roar! Gawo!
context: So that means...\Quest Dorm gets to stay?\Yay!\I guess I was wrong.\You again?!\Hatate Souta...\I see. So he's the one...\Roar! Gawo! response:	The athletic festival's finally over.
context: Quest Dorm gets to stay?\Yay!\I guess I was wrong.\You again?!\Hatate Souta...\I see. So he's the one...\Roar! Gawo!\The athletic festival's finally over. response:	At least, that's what everyone thought...
context: Yay!\I guess I was wrong.\You again?!\Hatate Souta...\I see. So he's the one...\Roar! Gawo!\The athletic festival's finally over.\At least, that's what everyone thought... response:	Don't set up a continuation flag!
context: I guess I was wrong.\You again?!\Hatate Souta...\I see. So he's the one...\Roar! Gawo!\The athletic festival's finally over.\At least, that's what everyone thought...\Don't set up a continuation flag! response:	Ignoring Mimori's nonsense,
context: You again?!\Hatate Souta...\I see. So he's the one...\Roar! Gawo!\The athletic festival's finally over.\At least, that's what everyone thought...\Don't set up a continuation flag!\Ignoring Mimori's nonsense, response:	what are you planning to do for break now that the festival's over, Nanami?
context: Hatate Souta...\I see. So he's the one...\Roar! Gawo!\The athletic festival's finally over.\At least, that's what everyone thought...\Don't set up a continuation flag!\Ignoring Mimori's nonsense,\what are you planning to do for break now that the festival's over, Nanami? response:	Well, I've been busy lately,
context: I see. So he's the one...\Roar! Gawo!\The athletic festival's finally over.\At least, that's what everyone thought...\Don't set up a continuation flag!\Ignoring Mimori's nonsense,\what are you planning to do for break now that the festival's over, Nanami?\Well, I've been busy lately, response:	so I've been thinking of relaxing at the dorm.
context: Roar! Gawo!\The athletic festival's finally over.\At least, that's what everyone thought...\Don't set up a continuation flag!\Ignoring Mimori's nonsense,\what are you planning to do for break now that the festival's over, Nanami?\Well, I've been busy lately,\so I've been thinking of relaxing at the dorm. response:	At least, that's what everyone thought...
context: The athletic festival's finally over.\At least, that's what everyone thought...\Don't set up a continuation flag!\Ignoring Mimori's nonsense,\what are you planning to do for break now that the festival's over, Nanami?\Well, I've been busy lately,\so I've been thinking of relaxing at the dorm.\At least, that's what everyone thought... response:	Don't keep setting up these flags!
context: At least, that's what everyone thought...\Don't set up a continuation flag!\Ignoring Mimori's nonsense,\what are you planning to do for break now that the festival's over, Nanami?\Well, I've been busy lately,\so I've been thinking of relaxing at the dorm.\At least, that's what everyone thought...\Don't keep setting up these flags! response:	Flag 5
context: Don't set up a continuation flag!\Ignoring Mimori's nonsense,\what are you planning to do for break now that the festival's over, Nanami?\Well, I've been busy lately,\so I've been thinking of relaxing at the dorm.\At least, that's what everyone thought...\Don't keep setting up these flags!\Flag 5 response:	Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.
context: Ignoring Mimori's nonsense,\what are you planning to do for break now that the festival's over, Nanami?\Well, I've been busy lately,\so I've been thinking of relaxing at the dorm.\At least, that's what everyone thought...\Don't keep setting up these flags!\Flag 5\Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone. response:	Roar! Gawo!
context: what are you planning to do for break now that the festival's over, Nanami?\Well, I've been busy lately,\so I've been thinking of relaxing at the dorm.\At least, that's what everyone thought...\Don't keep setting up these flags!\Flag 5\Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.\Roar! Gawo! response:	If Her Flag Breaks
context: Well, I've been busy lately,\so I've been thinking of relaxing at the dorm.\At least, that's what everyone thought...\Don't keep setting up these flags!\Flag 5\Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.\Roar! Gawo!\If Her Flag Breaks response:	I hope you watch us next time!
context: so I've been thinking of relaxing at the dorm.\At least, that's what everyone thought...\Don't keep setting up these flags!\Flag 5\Believe and Wait for Me. I'm not Going to be Late for My Date With Everyone.\Roar! Gawo!\If Her Flag Breaks\I hope you watch us next time! response:	Illustration: Hikawa Hekiru
