context: This is... Lord Wales'... response:	The letter has been taken,
context: But when is a solar eclipse coming?\All of Albion, nobles and peasants alike,\are bowing down in servitude to you, Your Excellency.\What should be feared is the magical power hidden in this ring.\It was worth the efforts taken in taking it from the Water Spirit.\But this is only a foothold,\in order to take the entire continent as mine.\Next, we will take the country response:	in the center of the continent, Tristein.
context: All of Albion, nobles and peasants alike,\are bowing down in servitude to you, Your Excellency.\What should be feared is the magical power hidden in this ring.\It was worth the efforts taken in taking it from the Water Spirit.\But this is only a foothold,\in order to take the entire continent as mine.\Next, we will take the country\in the center of the continent, Tristein. response:	We have already set up for that.
context: are bowing down in servitude to you, Your Excellency.\What should be feared is the magical power hidden in this ring.\It was worth the efforts taken in taking it from the Water Spirit.\But this is only a foothold,\in order to take the entire continent as mine.\Next, we will take the country\in the center of the continent, Tristein.\We have already set up for that. response:	Tristein no longer has anywhere to escape to.
context: What should be feared is the magical power hidden in this ring.\It was worth the efforts taken in taking it from the Water Spirit.\But this is only a foothold,\in order to take the entire continent as mine.\Next, we will take the country\in the center of the continent, Tristein.\We have already set up for that.\Tristein no longer has anywhere to escape to. response:	They're no match for the esteemed Dragoons of Albion,
context: It was worth the efforts taken in taking it from the Water Spirit.\But this is only a foothold,\in order to take the entire continent as mine.\Next, we will take the country\in the center of the continent, Tristein.\We have already set up for that.\Tristein no longer has anywhere to escape to.\They're no match for the esteemed Dragoons of Albion, response:	as soon as we send them in.
context: But this is only a foothold,\in order to take the entire continent as mine.\Next, we will take the country\in the center of the continent, Tristein.\We have already set up for that.\Tristein no longer has anywhere to escape to.\They're no match for the esteemed Dragoons of Albion,\as soon as we send them in. response:	Now, when will this land of Albion be closest to the continent?
context: in order to take the entire continent as mine.\Next, we will take the country\in the center of the continent, Tristein.\We have already set up for that.\Tristein no longer has anywhere to escape to.\They're no match for the esteemed Dragoons of Albion,\as soon as we send them in.\Now, when will this land of Albion be closest to the continent? response:	In three days...
context: Next, we will take the country\in the center of the continent, Tristein.\We have already set up for that.\Tristein no longer has anywhere to escape to.\They're no match for the esteemed Dragoons of Albion,\as soon as we send them in.\Now, when will this land of Albion be closest to the continent?\In three days... response:	On the day of the solar eclipse.
context: in the center of the continent, Tristein.\We have already set up for that.\Tristein no longer has anywhere to escape to.\They're no match for the esteemed Dragoons of Albion,\as soon as we send them in.\Now, when will this land of Albion be closest to the continent?\In three days...\On the day of the solar eclipse. response:	As if I were under a real magic spell
context: We have already set up for that.\Tristein no longer has anywhere to escape to.\They're no match for the esteemed Dragoons of Albion,\as soon as we send them in.\Now, when will this land of Albion be closest to the continent?\In three days...\On the day of the solar eclipse.\As if I were under a real magic spell response:	A bright smile is burnt onto my heart
context: Tristein no longer has anywhere to escape to.\They're no match for the esteemed Dragoons of Albion,\as soon as we send them in.\Now, when will this land of Albion be closest to the continent?\In three days...\On the day of the solar eclipse.\As if I were under a real magic spell\A bright smile is burnt onto my heart response:	But each time I see you, I give you a pointy, cold shoulder
context: They're no match for the esteemed Dragoons of Albion,\as soon as we send them in.\Now, when will this land of Albion be closest to the continent?\In three days...\On the day of the solar eclipse.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder response:	Why do I act mean towards the one that I think about the most?
context: as soon as we send them in.\Now, when will this land of Albion be closest to the continent?\In three days...\On the day of the solar eclipse.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most? response:	My true feelings, the shards of loneliness
context: Now, when will this land of Albion be closest to the continent?\In three days...\On the day of the solar eclipse.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness response:	In the deepest part of my heart, I'm calling for you
context: In three days...\On the day of the solar eclipse.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you response:	For the day to start from zero
context: On the day of the solar eclipse.\As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero response:	Since when has there been pain in my heart when we have an argument?
context: As if I were under a real magic spell\A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero\Since when has there been pain in my heart when we have an argument? response:	Since when is it that I can't help
context: A bright smile is burnt onto my heart\But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero\Since when has there been pain in my heart when we have an argument?\Since when is it that I can't help response:	but think of the girl that's standing next to you?
context: But each time I see you, I give you a pointy, cold shoulder\Why do I act mean towards the one that I think about the most?\My true feelings, the shards of loneliness\In the deepest part of my heart, I'm calling for you\For the day to start from zero\Since when has there been pain in my heart when we have an argument?\Since when is it that I can't help\but think of the girl that's standing next to you? response:	Farewell, Saito.
