context: Redraw? response:	After what Eiji said about the name, we can't make it into a manuscript.
context: Did you see the early report?\Yeah.\This Golden Future Cup's turning out to be a pretty interesting one.\How's the one you're editor for, Aida-san?\I'm sure mine's amazing too.\I'm psyched for the third week.\Hello, Takagi-kun?\It's Hattori. response:	I understand.
context: Yeah.\This Golden Future Cup's turning out to be a pretty interesting one.\How's the one you're editor for, Aida-san?\I'm sure mine's amazing too.\I'm psyched for the third week.\Hello, Takagi-kun?\It's Hattori.\I understand. response:	Yes.
context: This Golden Future Cup's turning out to be a pretty interesting one.\How's the one you're editor for, Aida-san?\I'm sure mine's amazing too.\I'm psyched for the third week.\Hello, Takagi-kun?\It's Hattori.\I understand.\Yes. response:	Thank you very much.
context: How's the one you're editor for, Aida-san?\I'm sure mine's amazing too.\I'm psyched for the third week.\Hello, Takagi-kun?\It's Hattori.\I understand.\Yes.\Thank you very much. response:	It's still just the early report,
context: I'm sure mine's amazing too.\I'm psyched for the third week.\Hello, Takagi-kun?\It's Hattori.\I understand.\Yes.\Thank you very much.\It's still just the early report, response:	but he said to go ahead and make the complete serialization names for TRAP!
context: I'm psyched for the third week.\Hello, Takagi-kun?\It's Hattori.\I understand.\Yes.\Thank you very much.\It's still just the early report,\but he said to go ahead and make the complete serialization names for TRAP! response:	All right!
context: Hello, Takagi-kun?\It's Hattori.\I understand.\Yes.\Thank you very much.\It's still just the early report,\but he said to go ahead and make the complete serialization names for TRAP!\All right! response:	Thank you very much.
context: It's Hattori.\I understand.\Yes.\Thank you very much.\It's still just the early report,\but he said to go ahead and make the complete serialization names for TRAP!\All right!\Thank you very much. response:	I'll take the manuscript and go.
context: I understand.\Yes.\Thank you very much.\It's still just the early report,\but he said to go ahead and make the complete serialization names for TRAP!\All right!\Thank you very much.\I'll take the manuscript and go. response:	Yeah, thanks.
context: Yes.\Thank you very much.\It's still just the early report,\but he said to go ahead and make the complete serialization names for TRAP!\All right!\Thank you very much.\I'll take the manuscript and go.\Yeah, thanks. response:	KOOGY-san, did you read KIYOSHI Knight or Gitantei TRAP?
context: Thank you very much.\It's still just the early report,\but he said to go ahead and make the complete serialization names for TRAP!\All right!\Thank you very much.\I'll take the manuscript and go.\Yeah, thanks.\KOOGY-san, did you read KIYOSHI Knight or Gitantei TRAP? response:	I already know I'll win by a mile, so there's no need to read them.
context: It's still just the early report,\but he said to go ahead and make the complete serialization names for TRAP!\All right!\Thank you very much.\I'll take the manuscript and go.\Yeah, thanks.\KOOGY-san, did you read KIYOSHI Knight or Gitantei TRAP?\I already know I'll win by a mile, so there's no need to read them. response:	Well then, excuse me.
context: but he said to go ahead and make the complete serialization names for TRAP!\All right!\Thank you very much.\I'll take the manuscript and go.\Yeah, thanks.\KOOGY-san, did you read KIYOSHI Knight or Gitantei TRAP?\I already know I'll win by a mile, so there's no need to read them.\Well then, excuse me. response:	I'll be looking forward to hearing about the questionnaire results.
context: All right!\Thank you very much.\I'll take the manuscript and go.\Yeah, thanks.\KOOGY-san, did you read KIYOSHI Knight or Gitantei TRAP?\I already know I'll win by a mile, so there's no need to read them.\Well then, excuse me.\I'll be looking forward to hearing about the questionnaire results. response:	The real deal for TRAP...
context: Thank you very much.\I'll take the manuscript and go.\Yeah, thanks.\KOOGY-san, did you read KIYOSHI Knight or Gitantei TRAP?\I already know I'll win by a mile, so there's no need to read them.\Well then, excuse me.\I'll be looking forward to hearing about the questionnaire results.\The real deal for TRAP... response:	Please!
context: I'll take the manuscript and go.\Yeah, thanks.\KOOGY-san, did you read KIYOSHI Knight or Gitantei TRAP?\I already know I'll win by a mile, so there's no need to read them.\Well then, excuse me.\I'll be looking forward to hearing about the questionnaire results.\The real deal for TRAP...\Please! response:	No... but... this means...
context: Yeah, thanks.\KOOGY-san, did you read KIYOSHI Knight or Gitantei TRAP?\I already know I'll win by a mile, so there's no need to read them.\Well then, excuse me.\I'll be looking forward to hearing about the questionnaire results.\The real deal for TRAP...\Please!\No... but... this means... response:	Let me see the results from last issue...
context: KOOGY-san, did you read KIYOSHI Knight or Gitantei TRAP?\I already know I'll win by a mile, so there's no need to read them.\Well then, excuse me.\I'll be looking forward to hearing about the questionnaire results.\The real deal for TRAP...\Please!\No... but... this means...\Let me see the results from last issue... response:	Quick cigarette break!
context: I already know I'll win by a mile, so there's no need to read them.\Well then, excuse me.\I'll be looking forward to hearing about the questionnaire results.\The real deal for TRAP...\Please!\No... but... this means...\Let me see the results from last issue...\Quick cigarette break! response:	Really? Thank you so much!
context: Well then, excuse me.\I'll be looking forward to hearing about the questionnaire results.\The real deal for TRAP...\Please!\No... but... this means...\Let me see the results from last issue...\Quick cigarette break!\Really? Thank you so much! response:	It didn't change for the real deal!
context: I'll be looking forward to hearing about the questionnaire results.\The real deal for TRAP...\Please!\No... but... this means...\Let me see the results from last issue...\Quick cigarette break!\Really? Thank you so much!\It didn't change for the real deal! response:	Yay!
context: The real deal for TRAP...\Please!\No... but... this means...\Let me see the results from last issue...\Quick cigarette break!\Really? Thank you so much!\It didn't change for the real deal!\Yay! response:	So did he say who was higher between us and KIYOSHI Knight?
context: Please!\No... but... this means...\Let me see the results from last issue...\Quick cigarette break!\Really? Thank you so much!\It didn't change for the real deal!\Yay!\So did he say who was higher between us and KIYOSHI Knight? response:	Uh, he didn't say that specifically.
context: No... but... this means...\Let me see the results from last issue...\Quick cigarette break!\Really? Thank you so much!\It didn't change for the real deal!\Yay!\So did he say who was higher between us and KIYOSHI Knight?\Uh, he didn't say that specifically. response:	But he said to write the serialization names, so...
context: Let me see the results from last issue...\Quick cigarette break!\Really? Thank you so much!\It didn't change for the real deal!\Yay!\So did he say who was higher between us and KIYOSHI Knight?\Uh, he didn't say that specifically.\But he said to write the serialization names, so... response:	About the same?
context: Quick cigarette break!\Really? Thank you so much!\It didn't change for the real deal!\Yay!\So did he say who was higher between us and KIYOSHI Knight?\Uh, he didn't say that specifically.\But he said to write the serialization names, so...\About the same? response:	How much is about?
context: Really? Thank you so much!\It didn't change for the real deal!\Yay!\So did he say who was higher between us and KIYOSHI Knight?\Uh, he didn't say that specifically.\But he said to write the serialization names, so...\About the same?\How much is about? response:	Gimme a straight answer!
context: It didn't change for the real deal!\Yay!\So did he say who was higher between us and KIYOSHI Knight?\Uh, he didn't say that specifically.\But he said to write the serialization names, so...\About the same?\How much is about?\Gimme a straight answer! response:	About the same... That means Ashirogi-kun's results were good too?
context: Yay!\So did he say who was higher between us and KIYOSHI Knight?\Uh, he didn't say that specifically.\But he said to write the serialization names, so...\About the same?\How much is about?\Gimme a straight answer!\About the same... That means Ashirogi-kun's results were good too? response:	AA fairy?
context: So did he say who was higher between us and KIYOSHI Knight?\Uh, he didn't say that specifically.\But he said to write the serialization names, so...\About the same?\How much is about?\Gimme a straight answer!\About the same... That means Ashirogi-kun's results were good too?\AA fairy? response:	II can't believe in something like that.
context: Uh, he didn't say that specifically.\But he said to write the serialization names, so...\About the same?\How much is about?\Gimme a straight answer!\About the same... That means Ashirogi-kun's results were good too?\AA fairy?\II can't believe in something like that. response:	You opened that door and came in yourself, and still you can't believe?
context: But he said to write the serialization names, so...\About the same?\How much is about?\Gimme a straight answer!\About the same... That means Ashirogi-kun's results were good too?\AA fairy?\II can't believe in something like that.\You opened that door and came in yourself, and still you can't believe? response:	You have one of two choices. Gain a fairy's soul and become our comrade, or be left out as food.
context: About the same?\How much is about?\Gimme a straight answer!\About the same... That means Ashirogi-kun's results were good too?\AA fairy?\II can't believe in something like that.\You opened that door and came in yourself, and still you can't believe?\You have one of two choices. Gain a fairy's soul and become our comrade, or be left out as food. response:	Eh?!
context: How much is about?\Gimme a straight answer!\About the same... That means Ashirogi-kun's results were good too?\AA fairy?\II can't believe in something like that.\You opened that door and came in yourself, and still you can't believe?\You have one of two choices. Gain a fairy's soul and become our comrade, or be left out as food.\Eh?! response:	WhWhat is this? It's amazing...
context: Gimme a straight answer!\About the same... That means Ashirogi-kun's results were good too?\AA fairy?\II can't believe in something like that.\You opened that door and came in yourself, and still you can't believe?\You have one of two choices. Gain a fairy's soul and become our comrade, or be left out as food.\Eh?!\WhWhat is this? It's amazing... response:	He drew the background and stuff with stippling.
context: About the same... That means Ashirogi-kun's results were good too?\AA fairy?\II can't believe in something like that.\You opened that door and came in yourself, and still you can't believe?\You have one of two choices. Gain a fairy's soul and become our comrade, or be left out as food.\Eh?!\WhWhat is this? It's amazing...\He drew the background and stuff with stippling. response:	Those are really pretty drawings.
context: AA fairy?\II can't believe in something like that.\You opened that door and came in yourself, and still you can't believe?\You have one of two choices. Gain a fairy's soul and become our comrade, or be left out as food.\Eh?!\WhWhat is this? It's amazing...\He drew the background and stuff with stippling.\Those are really pretty drawings. response:	Nakai-san... He said he was betting his life as a mangaka on this,
context: II can't believe in something like that.\You opened that door and came in yourself, and still you can't believe?\You have one of two choices. Gain a fairy's soul and become our comrade, or be left out as food.\Eh?!\WhWhat is this? It's amazing...\He drew the background and stuff with stippling.\Those are really pretty drawings.\Nakai-san... He said he was betting his life as a mangaka on this, response:	but to go this far...
context: You opened that door and came in yourself, and still you can't believe?\You have one of two choices. Gain a fairy's soul and become our comrade, or be left out as food.\Eh?!\WhWhat is this? It's amazing...\He drew the background and stuff with stippling.\Those are really pretty drawings.\Nakai-san... He said he was betting his life as a mangaka on this,\but to go this far... response:	This'll get votes just based on the drawings.
context: You have one of two choices. Gain a fairy's soul and become our comrade, or be left out as food.\Eh?!\WhWhat is this? It's amazing...\He drew the background and stuff with stippling.\Those are really pretty drawings.\Nakai-san... He said he was betting his life as a mangaka on this,\but to go this far...\This'll get votes just based on the drawings. response:	Mm. I like this too.
context: Eh?!\WhWhat is this? It's amazing...\He drew the background and stuff with stippling.\Those are really pretty drawings.\Nakai-san... He said he was betting his life as a mangaka on this,\but to go this far...\This'll get votes just based on the drawings.\Mm. I like this too. response:	This could be bad for us.
context: WhWhat is this? It's amazing...\He drew the background and stuff with stippling.\Those are really pretty drawings.\Nakai-san... He said he was betting his life as a mangaka on this,\but to go this far...\This'll get votes just based on the drawings.\Mm. I like this too.\This could be bad for us. response:	But even if it is Nakai-san, there's no way he can keep this up on a weekly basis, right?
context: He drew the background and stuff with stippling.\Those are really pretty drawings.\Nakai-san... He said he was betting his life as a mangaka on this,\but to go this far...\This'll get votes just based on the drawings.\Mm. I like this too.\This could be bad for us.\But even if it is Nakai-san, there's no way he can keep this up on a weekly basis, right? response:	You're right!
context: Those are really pretty drawings.\Nakai-san... He said he was betting his life as a mangaka on this,\but to go this far...\This'll get votes just based on the drawings.\Mm. I like this too.\This could be bad for us.\But even if it is Nakai-san, there's no way he can keep this up on a weekly basis, right?\You're right! response:	It's a weekly magazine, isn't it?
context: Nakai-san... He said he was betting his life as a mangaka on this,\but to go this far...\This'll get votes just based on the drawings.\Mm. I like this too.\This could be bad for us.\But even if it is Nakai-san, there's no way he can keep this up on a weekly basis, right?\You're right!\It's a weekly magazine, isn't it? response:	No, Nakai-san's speed and technique are nothing to make light of.
context: but to go this far...\This'll get votes just based on the drawings.\Mm. I like this too.\This could be bad for us.\But even if it is Nakai-san, there's no way he can keep this up on a weekly basis, right?\You're right!\It's a weekly magazine, isn't it?\No, Nakai-san's speed and technique are nothing to make light of. response:	And if he gets assistants to help him, I think it'd be possible.
context: This'll get votes just based on the drawings.\Mm. I like this too.\This could be bad for us.\But even if it is Nakai-san, there's no way he can keep this up on a weekly basis, right?\You're right!\It's a weekly magazine, isn't it?\No, Nakai-san's speed and technique are nothing to make light of.\And if he gets assistants to help him, I think it'd be possible. response:	Beautiful!
context: Mm. I like this too.\This could be bad for us.\But even if it is Nakai-san, there's no way he can keep this up on a weekly basis, right?\You're right!\It's a weekly magazine, isn't it?\No, Nakai-san's speed and technique are nothing to make light of.\And if he gets assistants to help him, I think it'd be possible.\Beautiful! response:	Nakai-san, it's amazing! It's fantastic!
context: This could be bad for us.\But even if it is Nakai-san, there's no way he can keep this up on a weekly basis, right?\You're right!\It's a weekly magazine, isn't it?\No, Nakai-san's speed and technique are nothing to make light of.\And if he gets assistants to help him, I think it'd be possible.\Beautiful!\Nakai-san, it's amazing! It's fantastic! response:	Oh, no, I...
context: But even if it is Nakai-san, there's no way he can keep this up on a weekly basis, right?\You're right!\It's a weekly magazine, isn't it?\No, Nakai-san's speed and technique are nothing to make light of.\And if he gets assistants to help him, I think it'd be possible.\Beautiful!\Nakai-san, it's amazing! It's fantastic!\Oh, no, I... response:	What's with this drawing quality?
context: You're right!\It's a weekly magazine, isn't it?\No, Nakai-san's speed and technique are nothing to make light of.\And if he gets assistants to help him, I think it'd be possible.\Beautiful!\Nakai-san, it's amazing! It's fantastic!\Oh, no, I...\What's with this drawing quality? response:	I was underestimating Nakai-san too much!
context: It's a weekly magazine, isn't it?\No, Nakai-san's speed and technique are nothing to make light of.\And if he gets assistants to help him, I think it'd be possible.\Beautiful!\Nakai-san, it's amazing! It's fantastic!\Oh, no, I...\What's with this drawing quality?\I was underestimating Nakai-san too much! response:	And that woman...
context: No, Nakai-san's speed and technique are nothing to make light of.\And if he gets assistants to help him, I think it'd be possible.\Beautiful!\Nakai-san, it's amazing! It's fantastic!\Oh, no, I...\What's with this drawing quality?\I was underestimating Nakai-san too much!\And that woman... response:	Her story's as candy-house-errific as ever,
context: And if he gets assistants to help him, I think it'd be possible.\Beautiful!\Nakai-san, it's amazing! It's fantastic!\Oh, no, I...\What's with this drawing quality?\I was underestimating Nakai-san too much!\And that woman...\Her story's as candy-house-errific as ever, response:	but in a few places she made it more like a shounen manga.
context: Beautiful!\Nakai-san, it's amazing! It's fantastic!\Oh, no, I...\What's with this drawing quality?\I was underestimating Nakai-san too much!\And that woman...\Her story's as candy-house-errific as ever,\but in a few places she made it more like a shounen manga. response:	No, mine's definitely more of a shounen manga.
context: Nakai-san, it's amazing! It's fantastic!\Oh, no, I...\What's with this drawing quality?\I was underestimating Nakai-san too much!\And that woman...\Her story's as candy-house-errific as ever,\but in a few places she made it more like a shounen manga.\No, mine's definitely more of a shounen manga. response:	This too.
context: Oh, no, I...\What's with this drawing quality?\I was underestimating Nakai-san too much!\And that woman...\Her story's as candy-house-errific as ever,\but in a few places she made it more like a shounen manga.\No, mine's definitely more of a shounen manga.\This too. response:	I can't believe even this one is...
context: What's with this drawing quality?\I was underestimating Nakai-san too much!\And that woman...\Her story's as candy-house-errific as ever,\but in a few places she made it more like a shounen manga.\No, mine's definitely more of a shounen manga.\This too.\I can't believe even this one is... response:	Okay, why don't I go give Nakai a call?
context: I was underestimating Nakai-san too much!\And that woman...\Her story's as candy-house-errific as ever,\but in a few places she made it more like a shounen manga.\No, mine's definitely more of a shounen manga.\This too.\I can't believe even this one is...\Okay, why don't I go give Nakai a call? response:	RReally?!
context: And that woman...\Her story's as candy-house-errific as ever,\but in a few places she made it more like a shounen manga.\No, mine's definitely more of a shounen manga.\This too.\I can't believe even this one is...\Okay, why don't I go give Nakai a call?\RReally?! response:	Yeah, with these early report results, you're all right.
context: Her story's as candy-house-errific as ever,\but in a few places she made it more like a shounen manga.\No, mine's definitely more of a shounen manga.\This too.\I can't believe even this one is...\Okay, why don't I go give Nakai a call?\RReally?!\Yeah, with these early report results, you're all right. response:	I did it...
context: but in a few places she made it more like a shounen manga.\No, mine's definitely more of a shounen manga.\This too.\I can't believe even this one is...\Okay, why don't I go give Nakai a call?\RReally?!\Yeah, with these early report results, you're all right.\I did it... response:	Now I can work together with Aoki-san...
context: No, mine's definitely more of a shounen manga.\This too.\I can't believe even this one is...\Okay, why don't I go give Nakai a call?\RReally?!\Yeah, with these early report results, you're all right.\I did it...\Now I can work together with Aoki-san... response:	Are you listening, Nakai-kun?
context: This too.\I can't believe even this one is...\Okay, why don't I go give Nakai a call?\RReally?!\Yeah, with these early report results, you're all right.\I did it...\Now I can work together with Aoki-san...\Are you listening, Nakai-kun? response:	YYYes!
context: I can't believe even this one is...\Okay, why don't I go give Nakai a call?\RReally?!\Yeah, with these early report results, you're all right.\I did it...\Now I can work together with Aoki-san...\Are you listening, Nakai-kun?\YYYes! response:	Thank you very much!
context: Okay, why don't I go give Nakai a call?\RReally?!\Yeah, with these early report results, you're all right.\I did it...\Now I can work together with Aoki-san...\Are you listening, Nakai-kun?\YYYes!\Thank you very much! response:	Congratulations, Nakai-san!
context: RReally?!\Yeah, with these early report results, you're all right.\I did it...\Now I can work together with Aoki-san...\Are you listening, Nakai-kun?\YYYes!\Thank you very much!\Congratulations, Nakai-san! response:	Congratulations.
context: Yeah, with these early report results, you're all right.\I did it...\Now I can work together with Aoki-san...\Are you listening, Nakai-kun?\YYYes!\Thank you very much!\Congratulations, Nakai-san!\Congratulations. response:	Good job.
context: I did it...\Now I can work together with Aoki-san...\Are you listening, Nakai-kun?\YYYes!\Thank you very much!\Congratulations, Nakai-san!\Congratulations.\Good job. response:	The way he's celebrating...
context: Now I can work together with Aoki-san...\Are you listening, Nakai-kun?\YYYes!\Thank you very much!\Congratulations, Nakai-san!\Congratulations.\Good job.\The way he's celebrating... response:	No way... Could I have lost?
context: Are you listening, Nakai-kun?\YYYes!\Thank you very much!\Congratulations, Nakai-san!\Congratulations.\Good job.\The way he's celebrating...\No way... Could I have lost? response:	I see.
context: YYYes!\Thank you very much!\Congratulations, Nakai-san!\Congratulations.\Good job.\The way he's celebrating...\No way... Could I have lost?\I see. response:	So in terms of ranking, it went down.
context: Thank you very much!\Congratulations, Nakai-san!\Congratulations.\Good job.\The way he's celebrating...\No way... Could I have lost?\I see.\So in terms of ranking, it went down. response:	Don't worry. The approval rating's basically the same.
context: Congratulations, Nakai-san!\Congratulations.\Good job.\The way he's celebrating...\No way... Could I have lost?\I see.\So in terms of ranking, it went down.\Don't worry. The approval rating's basically the same. response:	As it is, you should go on ahead.
context: Congratulations.\Good job.\The way he's celebrating...\No way... Could I have lost?\I see.\So in terms of ranking, it went down.\Don't worry. The approval rating's basically the same.\As it is, you should go on ahead. response:	I understand.
context: Good job.\The way he's celebrating...\No way... Could I have lost?\I see.\So in terms of ranking, it went down.\Don't worry. The approval rating's basically the same.\As it is, you should go on ahead.\I understand. response:	Excuse me.
context: The way he's celebrating...\No way... Could I have lost?\I see.\So in terms of ranking, it went down.\Don't worry. The approval rating's basically the same.\As it is, you should go on ahead.\I understand.\Excuse me. response:	Okay.
context: No way... Could I have lost?\I see.\So in terms of ranking, it went down.\Don't worry. The approval rating's basically the same.\As it is, you should go on ahead.\I understand.\Excuse me.\Okay. response:	Don't get so down.
context: I see.\So in terms of ranking, it went down.\Don't worry. The approval rating's basically the same.\As it is, you should go on ahead.\I understand.\Excuse me.\Okay.\Don't get so down. response:	I went down in ranking with the real deal as well.
context: So in terms of ranking, it went down.\Don't worry. The approval rating's basically the same.\As it is, you should go on ahead.\I understand.\Excuse me.\Okay.\Don't get so down.\I went down in ranking with the real deal as well. response:	Even your editor said you can go ahead and move towards getting serialized.
context: Don't worry. The approval rating's basically the same.\As it is, you should go on ahead.\I understand.\Excuse me.\Okay.\Don't get so down.\I went down in ranking with the real deal as well.\Even your editor said you can go ahead and move towards getting serialized. response:	So you're the same as me there too.
context: As it is, you should go on ahead.\I understand.\Excuse me.\Okay.\Don't get so down.\I went down in ranking with the real deal as well.\Even your editor said you can go ahead and move towards getting serialized.\So you're the same as me there too. response:	The next battle will be at the serialization meeting.
context: I understand.\Excuse me.\Okay.\Don't get so down.\I went down in ranking with the real deal as well.\Even your editor said you can go ahead and move towards getting serialized.\So you're the same as me there too.\The next battle will be at the serialization meeting. response:	I'm not down...
context: Excuse me.\Okay.\Don't get so down.\I went down in ranking with the real deal as well.\Even your editor said you can go ahead and move towards getting serialized.\So you're the same as me there too.\The next battle will be at the serialization meeting.\I'm not down... response:	I'm kind of relieved and happy.
context: Okay.\Don't get so down.\I went down in ranking with the real deal as well.\Even your editor said you can go ahead and move towards getting serialized.\So you're the same as me there too.\The next battle will be at the serialization meeting.\I'm not down...\I'm kind of relieved and happy. response:	I'm happy because I was able to fight on par with you and Ashirogi-kun.
context: Don't get so down.\I went down in ranking with the real deal as well.\Even your editor said you can go ahead and move towards getting serialized.\So you're the same as me there too.\The next battle will be at the serialization meeting.\I'm not down...\I'm kind of relieved and happy.\I'm happy because I was able to fight on par with you and Ashirogi-kun. response:	Thank you, Niizuma-sensei, Fukuda-kun...
context: I went down in ranking with the real deal as well.\Even your editor said you can go ahead and move towards getting serialized.\So you're the same as me there too.\The next battle will be at the serialization meeting.\I'm not down...\I'm kind of relieved and happy.\I'm happy because I was able to fight on par with you and Ashirogi-kun.\Thank you, Niizuma-sensei, Fukuda-kun... response:	This is thanks to you guys.
context: Even your editor said you can go ahead and move towards getting serialized.\So you're the same as me there too.\The next battle will be at the serialization meeting.\I'm not down...\I'm kind of relieved and happy.\I'm happy because I was able to fight on par with you and Ashirogi-kun.\Thank you, Niizuma-sensei, Fukuda-kun...\This is thanks to you guys. response:	Cut it out, Nakai-san.
context: So you're the same as me there too.\The next battle will be at the serialization meeting.\I'm not down...\I'm kind of relieved and happy.\I'm happy because I was able to fight on par with you and Ashirogi-kun.\Thank you, Niizuma-sensei, Fukuda-kun...\This is thanks to you guys.\Cut it out, Nakai-san. response:	Cry after you've gotten serialized.
context: The next battle will be at the serialization meeting.\I'm not down...\I'm kind of relieved and happy.\I'm happy because I was able to fight on par with you and Ashirogi-kun.\Thank you, Niizuma-sensei, Fukuda-kun...\This is thanks to you guys.\Cut it out, Nakai-san.\Cry after you've gotten serialized. response:	And don't forget, we've still got KOOGY's work to contend with.
context: I'm not down...\I'm kind of relieved and happy.\I'm happy because I was able to fight on par with you and Ashirogi-kun.\Thank you, Niizuma-sensei, Fukuda-kun...\This is thanks to you guys.\Cut it out, Nakai-san.\Cry after you've gotten serialized.\And don't forget, we've still got KOOGY's work to contend with. response:	YYou're right.
context: I'm kind of relieved and happy.\I'm happy because I was able to fight on par with you and Ashirogi-kun.\Thank you, Niizuma-sensei, Fukuda-kun...\This is thanks to you guys.\Cut it out, Nakai-san.\Cry after you've gotten serialized.\And don't forget, we've still got KOOGY's work to contend with.\YYou're right. response:	We can definitely win against this.
context: I'm happy because I was able to fight on par with you and Ashirogi-kun.\Thank you, Niizuma-sensei, Fukuda-kun...\This is thanks to you guys.\Cut it out, Nakai-san.\Cry after you've gotten serialized.\And don't forget, we've still got KOOGY's work to contend with.\YYou're right.\We can definitely win against this. response:	I totally can't tell what's going on.
context: Thank you, Niizuma-sensei, Fukuda-kun...\This is thanks to you guys.\Cut it out, Nakai-san.\Cry after you've gotten serialized.\And don't forget, we've still got KOOGY's work to contend with.\YYou're right.\We can definitely win against this.\I totally can't tell what's going on. response:	It's kind of like he's so infatuated with himself that he can't communicate it to us.
context: This is thanks to you guys.\Cut it out, Nakai-san.\Cry after you've gotten serialized.\And don't forget, we've still got KOOGY's work to contend with.\YYou're right.\We can definitely win against this.\I totally can't tell what's going on.\It's kind of like he's so infatuated with himself that he can't communicate it to us. response:	Oh, you understand it pretty well then, Miyoshi.
context: Cut it out, Nakai-san.\Cry after you've gotten serialized.\And don't forget, we've still got KOOGY's work to contend with.\YYou're right.\We can definitely win against this.\I totally can't tell what's going on.\It's kind of like he's so infatuated with himself that he can't communicate it to us.\Oh, you understand it pretty well then, Miyoshi. response:	But I wonder how much he got his fans to move.
context: Cry after you've gotten serialized.\And don't forget, we've still got KOOGY's work to contend with.\YYou're right.\We can definitely win against this.\I totally can't tell what's going on.\It's kind of like he's so infatuated with himself that he can't communicate it to us.\Oh, you understand it pretty well then, Miyoshi.\But I wonder how much he got his fans to move. response:	That KOOGY is making fun of manga!
context: And don't forget, we've still got KOOGY's work to contend with.\YYou're right.\We can definitely win against this.\I totally can't tell what's going on.\It's kind of like he's so infatuated with himself that he can't communicate it to us.\Oh, you understand it pretty well then, Miyoshi.\But I wonder how much he got his fans to move.\That KOOGY is making fun of manga! response:	Even if his fans do vote for it, if the editorial department serializes something like this, I'll withdraw from Jack!
context: YYou're right.\We can definitely win against this.\I totally can't tell what's going on.\It's kind of like he's so infatuated with himself that he can't communicate it to us.\Oh, you understand it pretty well then, Miyoshi.\But I wonder how much he got his fans to move.\That KOOGY is making fun of manga!\Even if his fans do vote for it, if the editorial department serializes something like this, I'll withdraw from Jack! response:	Fukuda-sensei, you're so cool!
context: We can definitely win against this.\I totally can't tell what's going on.\It's kind of like he's so infatuated with himself that he can't communicate it to us.\Oh, you understand it pretty well then, Miyoshi.\But I wonder how much he got his fans to move.\That KOOGY is making fun of manga!\Even if his fans do vote for it, if the editorial department serializes something like this, I'll withdraw from Jack!\Fukuda-sensei, you're so cool! response:	If that happens, I'll quit my series too!
context: I totally can't tell what's going on.\It's kind of like he's so infatuated with himself that he can't communicate it to us.\Oh, you understand it pretty well then, Miyoshi.\But I wonder how much he got his fans to move.\That KOOGY is making fun of manga!\Even if his fans do vote for it, if the editorial department serializes something like this, I'll withdraw from Jack!\Fukuda-sensei, you're so cool!\If that happens, I'll quit my series too! response:	No, sensei, you don't need to go that far.
context: It's kind of like he's so infatuated with himself that he can't communicate it to us.\Oh, you understand it pretty well then, Miyoshi.\But I wonder how much he got his fans to move.\That KOOGY is making fun of manga!\Even if his fans do vote for it, if the editorial department serializes something like this, I'll withdraw from Jack!\Fukuda-sensei, you're so cool!\If that happens, I'll quit my series too!\No, sensei, you don't need to go that far. response:	Really? Is that so?
context: Oh, you understand it pretty well then, Miyoshi.\But I wonder how much he got his fans to move.\That KOOGY is making fun of manga!\Even if his fans do vote for it, if the editorial department serializes something like this, I'll withdraw from Jack!\Fukuda-sensei, you're so cool!\If that happens, I'll quit my series too!\No, sensei, you don't need to go that far.\Really? Is that so? response:	These are the results for the real deal.
context: But I wonder how much he got his fans to move.\That KOOGY is making fun of manga!\Even if his fans do vote for it, if the editorial department serializes something like this, I'll withdraw from Jack!\Fukuda-sensei, you're so cool!\If that happens, I'll quit my series too!\No, sensei, you don't need to go that far.\Really? Is that so?\These are the results for the real deal. response:	Every work in the Golden Future Cup was amazing!
context: That KOOGY is making fun of manga!\Even if his fans do vote for it, if the editorial department serializes something like this, I'll withdraw from Jack!\Fukuda-sensei, you're so cool!\If that happens, I'll quit my series too!\No, sensei, you don't need to go that far.\Really? Is that so?\These are the results for the real deal.\Every work in the Golden Future Cup was amazing! response:	It's okay.
context: Even if his fans do vote for it, if the editorial department serializes something like this, I'll withdraw from Jack!\Fukuda-sensei, you're so cool!\If that happens, I'll quit my series too!\No, sensei, you don't need to go that far.\Really? Is that so?\These are the results for the real deal.\Every work in the Golden Future Cup was amazing!\It's okay. response:	Azuki-san?
context: Fukuda-sensei, you're so cool!\If that happens, I'll quit my series too!\No, sensei, you don't need to go that far.\Really? Is that so?\These are the results for the real deal.\Every work in the Golden Future Cup was amazing!\It's okay.\Azuki-san? response:	I believe that your work was the best, Mashiro-kun.
context: If that happens, I'll quit my series too!\No, sensei, you don't need to go that far.\Really? Is that so?\These are the results for the real deal.\Every work in the Golden Future Cup was amazing!\It's okay.\Azuki-san?\I believe that your work was the best, Mashiro-kun. response:	Next time, Phone and Last Night.
context: No, sensei, you don't need to go that far.\Really? Is that so?\These are the results for the real deal.\Every work in the Golden Future Cup was amazing!\It's okay.\Azuki-san?\I believe that your work was the best, Mashiro-kun.\Next time, Phone and Last Night. response:	We'll seize our dream. We have to believe in ourselves!
