context: There was a bit of a commotion in town and we got separated. response:	Calm down. If you would, please tell me what happened in more detail.
context: Countless nights, I could only dream of seeing Chariot's show.\But one day, my mother arranged for me to see one overseas, where nobody would notice.\Huh? You went that far to see her?\Yes, to your country.\Then you were at that show too?\It was fantastic.\I can remember that night as clearly as if it were yesterday.\There was a time when Diana became completely unable to use magic. response:	Does that mean that when you became unable to use magic...
context: But one day, my mother arranged for me to see one overseas, where nobody would notice.\Huh? You went that far to see her?\Yes, to your country.\Then you were at that show too?\It was fantastic.\I can remember that night as clearly as if it were yesterday.\There was a time when Diana became completely unable to use magic.\Does that mean that when you became unable to use magic... response:	You knew about that?
context: Huh? You went that far to see her?\Yes, to your country.\Then you were at that show too?\It was fantastic.\I can remember that night as clearly as if it were yesterday.\There was a time when Diana became completely unable to use magic.\Does that mean that when you became unable to use magic...\You knew about that? response:	Yeah, Andrew told me.
context: Yes, to your country.\Then you were at that show too?\It was fantastic.\I can remember that night as clearly as if it were yesterday.\There was a time when Diana became completely unable to use magic.\Does that mean that when you became unable to use magic...\You knew about that?\Yeah, Andrew told me. response:	He also said you never gave up and worked hard until you got your magic back.
context: Then you were at that show too?\It was fantastic.\I can remember that night as clearly as if it were yesterday.\There was a time when Diana became completely unable to use magic.\Does that mean that when you became unable to use magic...\You knew about that?\Yeah, Andrew told me.\He also said you never gave up and worked hard until you got your magic back. response:	I see.
context: It was fantastic.\I can remember that night as clearly as if it were yesterday.\There was a time when Diana became completely unable to use magic.\Does that mean that when you became unable to use magic...\You knew about that?\Yeah, Andrew told me.\He also said you never gave up and worked hard until you got your magic back.\I see. response:	What happened to us was an unfortunate accident.
context: I can remember that night as clearly as if it were yesterday.\There was a time when Diana became completely unable to use magic.\Does that mean that when you became unable to use magic...\You knew about that?\Yeah, Andrew told me.\He also said you never gave up and worked hard until you got your magic back.\I see.\What happened to us was an unfortunate accident. response:	But I will not give you my sympathy.
context: There was a time when Diana became completely unable to use magic.\Does that mean that when you became unable to use magic...\You knew about that?\Yeah, Andrew told me.\He also said you never gave up and worked hard until you got your magic back.\I see.\What happened to us was an unfortunate accident.\But I will not give you my sympathy. response:	I am the greatest proof that it is possible to regain that lost power.
context: Does that mean that when you became unable to use magic...\You knew about that?\Yeah, Andrew told me.\He also said you never gave up and worked hard until you got your magic back.\I see.\What happened to us was an unfortunate accident.\But I will not give you my sympathy.\I am the greatest proof that it is possible to regain that lost power. response:	Of course you are, Diana.
context: You knew about that?\Yeah, Andrew told me.\He also said you never gave up and worked hard until you got your magic back.\I see.\What happened to us was an unfortunate accident.\But I will not give you my sympathy.\I am the greatest proof that it is possible to regain that lost power.\Of course you are, Diana. response:	Even though your ability was sucked up too, you worked hard and became an amazing witch.
context: Yeah, Andrew told me.\He also said you never gave up and worked hard until you got your magic back.\I see.\What happened to us was an unfortunate accident.\But I will not give you my sympathy.\I am the greatest proof that it is possible to regain that lost power.\Of course you are, Diana.\Even though your ability was sucked up too, you worked hard and became an amazing witch. response:	But here I am, still unable to even fly.
context: He also said you never gave up and worked hard until you got your magic back.\I see.\What happened to us was an unfortunate accident.\But I will not give you my sympathy.\I am the greatest proof that it is possible to regain that lost power.\Of course you are, Diana.\Even though your ability was sucked up too, you worked hard and became an amazing witch.\But here I am, still unable to even fly. response:	Do you know why I didn't give up?
context: I see.\What happened to us was an unfortunate accident.\But I will not give you my sympathy.\I am the greatest proof that it is possible to regain that lost power.\Of course you are, Diana.\Even though your ability was sucked up too, you worked hard and became an amazing witch.\But here I am, still unable to even fly.\Do you know why I didn't give up? response:	Because you had to become the Cavendish family head?
context: What happened to us was an unfortunate accident.\But I will not give you my sympathy.\I am the greatest proof that it is possible to regain that lost power.\Of course you are, Diana.\Even though your ability was sucked up too, you worked hard and became an amazing witch.\But here I am, still unable to even fly.\Do you know why I didn't give up?\Because you had to become the Cavendish family head? response:	That is one part of it, of course.
context: But I will not give you my sympathy.\I am the greatest proof that it is possible to regain that lost power.\Of course you are, Diana.\Even though your ability was sucked up too, you worked hard and became an amazing witch.\But here I am, still unable to even fly.\Do you know why I didn't give up?\Because you had to become the Cavendish family head?\That is one part of it, of course. response:	But as a young girl, that reason alone could not have compelled me to keep going.
context: I am the greatest proof that it is possible to regain that lost power.\Of course you are, Diana.\Even though your ability was sucked up too, you worked hard and became an amazing witch.\But here I am, still unable to even fly.\Do you know why I didn't give up?\Because you had to become the Cavendish family head?\That is one part of it, of course.\But as a young girl, that reason alone could not have compelled me to keep going. response:	I am the same as you.
context: Of course you are, Diana.\Even though your ability was sucked up too, you worked hard and became an amazing witch.\But here I am, still unable to even fly.\Do you know why I didn't give up?\Because you had to become the Cavendish family head?\That is one part of it, of course.\But as a young girl, that reason alone could not have compelled me to keep going.\I am the same as you. response:	Huh?
context: Even though your ability was sucked up too, you worked hard and became an amazing witch.\But here I am, still unable to even fly.\Do you know why I didn't give up?\Because you had to become the Cavendish family head?\That is one part of it, of course.\But as a young girl, that reason alone could not have compelled me to keep going.\I am the same as you.\Huh? response:	I, too, was charmed by Shiny Chariot's magic.
context: But here I am, still unable to even fly.\Do you know why I didn't give up?\Because you had to become the Cavendish family head?\That is one part of it, of course.\But as a young girl, that reason alone could not have compelled me to keep going.\I am the same as you.\Huh?\I, too, was charmed by Shiny Chariot's magic. response:	It was the first time I saw Chariot's magic.
context: Do you know why I didn't give up?\Because you had to become the Cavendish family head?\That is one part of it, of course.\But as a young girl, that reason alone could not have compelled me to keep going.\I am the same as you.\Huh?\I, too, was charmed by Shiny Chariot's magic.\It was the first time I saw Chariot's magic. response:	My heart was racing with pure happiness.
context: Because you had to become the Cavendish family head?\That is one part of it, of course.\But as a young girl, that reason alone could not have compelled me to keep going.\I am the same as you.\Huh?\I, too, was charmed by Shiny Chariot's magic.\It was the first time I saw Chariot's magic.\My heart was racing with pure happiness. response:	I felt the preciousness of magic deep inside me.
context: That is one part of it, of course.\But as a young girl, that reason alone could not have compelled me to keep going.\I am the same as you.\Huh?\I, too, was charmed by Shiny Chariot's magic.\It was the first time I saw Chariot's magic.\My heart was racing with pure happiness.\I felt the preciousness of magic deep inside me. response:	Chariot filled me with emotion.
context: But as a young girl, that reason alone could not have compelled me to keep going.\I am the same as you.\Huh?\I, too, was charmed by Shiny Chariot's magic.\It was the first time I saw Chariot's magic.\My heart was racing with pure happiness.\I felt the preciousness of magic deep inside me.\Chariot filled me with emotion. response:	That in itself was my greatest support back then.
context: I am the same as you.\Huh?\I, too, was charmed by Shiny Chariot's magic.\It was the first time I saw Chariot's magic.\My heart was racing with pure happiness.\I felt the preciousness of magic deep inside me.\Chariot filled me with emotion.\That in itself was my greatest support back then. response:	Unfortunately, the more I learned of magic and the more aware I became of the expectations placed on me,
context: Huh?\I, too, was charmed by Shiny Chariot's magic.\It was the first time I saw Chariot's magic.\My heart was racing with pure happiness.\I felt the preciousness of magic deep inside me.\Chariot filled me with emotion.\That in itself was my greatest support back then.\Unfortunately, the more I learned of magic and the more aware I became of the expectations placed on me, response:	the further my heart grew away from Chariot.
context: I, too, was charmed by Shiny Chariot's magic.\It was the first time I saw Chariot's magic.\My heart was racing with pure happiness.\I felt the preciousness of magic deep inside me.\Chariot filled me with emotion.\That in itself was my greatest support back then.\Unfortunately, the more I learned of magic and the more aware I became of the expectations placed on me,\the further my heart grew away from Chariot. response:	I can't continue with these childish dreams.
context: It was the first time I saw Chariot's magic.\My heart was racing with pure happiness.\I felt the preciousness of magic deep inside me.\Chariot filled me with emotion.\That in itself was my greatest support back then.\Unfortunately, the more I learned of magic and the more aware I became of the expectations placed on me,\the further my heart grew away from Chariot.\I can't continue with these childish dreams. response:	Telling myself I had to become an adult, I closed the lid.
context: My heart was racing with pure happiness.\I felt the preciousness of magic deep inside me.\Chariot filled me with emotion.\That in itself was my greatest support back then.\Unfortunately, the more I learned of magic and the more aware I became of the expectations placed on me,\the further my heart grew away from Chariot.\I can't continue with these childish dreams.\Telling myself I had to become an adult, I closed the lid. response:	Even so, the true reason I entered Luna Nova
context: I felt the preciousness of magic deep inside me.\Chariot filled me with emotion.\That in itself was my greatest support back then.\Unfortunately, the more I learned of magic and the more aware I became of the expectations placed on me,\the further my heart grew away from Chariot.\I can't continue with these childish dreams.\Telling myself I had to become an adult, I closed the lid.\Even so, the true reason I entered Luna Nova response:	was because it was the school Chariot went to.
context: Chariot filled me with emotion.\That in itself was my greatest support back then.\Unfortunately, the more I learned of magic and the more aware I became of the expectations placed on me,\the further my heart grew away from Chariot.\I can't continue with these childish dreams.\Telling myself I had to become an adult, I closed the lid.\Even so, the true reason I entered Luna Nova\was because it was the school Chariot went to. response:	When we first met, I couldn't stand you at all.
context: That in itself was my greatest support back then.\Unfortunately, the more I learned of magic and the more aware I became of the expectations placed on me,\the further my heart grew away from Chariot.\I can't continue with these childish dreams.\Telling myself I had to become an adult, I closed the lid.\Even so, the true reason I entered Luna Nova\was because it was the school Chariot went to.\When we first met, I couldn't stand you at all. response:	Huh?
context: Unfortunately, the more I learned of magic and the more aware I became of the expectations placed on me,\the further my heart grew away from Chariot.\I can't continue with these childish dreams.\Telling myself I had to become an adult, I closed the lid.\Even so, the true reason I entered Luna Nova\was because it was the school Chariot went to.\When we first met, I couldn't stand you at all.\Huh? response:	You went around telling everyone you loved Chariot, and your grades and magic couldn't have been worse.
context: the further my heart grew away from Chariot.\I can't continue with these childish dreams.\Telling myself I had to become an adult, I closed the lid.\Even so, the true reason I entered Luna Nova\was because it was the school Chariot went to.\When we first met, I couldn't stand you at all.\Huh?\You went around telling everyone you loved Chariot, and your grades and magic couldn't have been worse. response:	You always acted without thinking and caused trouble for everyone.
context: I can't continue with these childish dreams.\Telling myself I had to become an adult, I closed the lid.\Even so, the true reason I entered Luna Nova\was because it was the school Chariot went to.\When we first met, I couldn't stand you at all.\Huh?\You went around telling everyone you loved Chariot, and your grades and magic couldn't have been worse.\You always acted without thinking and caused trouble for everyone. response:	But at the same time, you were able to do things I couldn't.
context: Telling myself I had to become an adult, I closed the lid.\Even so, the true reason I entered Luna Nova\was because it was the school Chariot went to.\When we first met, I couldn't stand you at all.\Huh?\You went around telling everyone you loved Chariot, and your grades and magic couldn't have been worse.\You always acted without thinking and caused trouble for everyone.\But at the same time, you were able to do things I couldn't. response:	Your magic had a mysterious charm to it.
context: Even so, the true reason I entered Luna Nova\was because it was the school Chariot went to.\When we first met, I couldn't stand you at all.\Huh?\You went around telling everyone you loved Chariot, and your grades and magic couldn't have been worse.\You always acted without thinking and caused trouble for everyone.\But at the same time, you were able to do things I couldn't.\Your magic had a mysterious charm to it. response:	I was envious of you.
context: was because it was the school Chariot went to.\When we first met, I couldn't stand you at all.\Huh?\You went around telling everyone you loved Chariot, and your grades and magic couldn't have been worse.\You always acted without thinking and caused trouble for everyone.\But at the same time, you were able to do things I couldn't.\Your magic had a mysterious charm to it.\I was envious of you. response:	You were?
context: When we first met, I couldn't stand you at all.\Huh?\You went around telling everyone you loved Chariot, and your grades and magic couldn't have been worse.\You always acted without thinking and caused trouble for everyone.\But at the same time, you were able to do things I couldn't.\Your magic had a mysterious charm to it.\I was envious of you.\You were? response:	Thinking back, the reason I tried to leave Luna Nova might have been to run away from you.
context: Huh?\You went around telling everyone you loved Chariot, and your grades and magic couldn't have been worse.\You always acted without thinking and caused trouble for everyone.\But at the same time, you were able to do things I couldn't.\Your magic had a mysterious charm to it.\I was envious of you.\You were?\Thinking back, the reason I tried to leave Luna Nova might have been to run away from you. response:	I wanted to avoid facing the reality of you being far closer to Chariot than I was.
context: You went around telling everyone you loved Chariot, and your grades and magic couldn't have been worse.\You always acted without thinking and caused trouble for everyone.\But at the same time, you were able to do things I couldn't.\Your magic had a mysterious charm to it.\I was envious of you.\You were?\Thinking back, the reason I tried to leave Luna Nova might have been to run away from you.\I wanted to avoid facing the reality of you being far closer to Chariot than I was. response:	Diana...
context: You always acted without thinking and caused trouble for everyone.\But at the same time, you were able to do things I couldn't.\Your magic had a mysterious charm to it.\I was envious of you.\You were?\Thinking back, the reason I tried to leave Luna Nova might have been to run away from you.\I wanted to avoid facing the reality of you being far closer to Chariot than I was.\Diana... response:	I will give this to you.
context: But at the same time, you were able to do things I couldn't.\Your magic had a mysterious charm to it.\I was envious of you.\You were?\Thinking back, the reason I tried to leave Luna Nova might have been to run away from you.\I wanted to avoid facing the reality of you being far closer to Chariot than I was.\Diana...\I will give this to you. response:	Accept it with the meaning of the card.
context: Your magic had a mysterious charm to it.\I was envious of you.\You were?\Thinking back, the reason I tried to leave Luna Nova might have been to run away from you.\I wanted to avoid facing the reality of you being far closer to Chariot than I was.\Diana...\I will give this to you.\Accept it with the meaning of the card. response:	A believing heart is your magic.
context: I was envious of you.\You were?\Thinking back, the reason I tried to leave Luna Nova might have been to run away from you.\I wanted to avoid facing the reality of you being far closer to Chariot than I was.\Diana...\I will give this to you.\Accept it with the meaning of the card.\A believing heart is your magic. response:	I believe as well.
context: You were?\Thinking back, the reason I tried to leave Luna Nova might have been to run away from you.\I wanted to avoid facing the reality of you being far closer to Chariot than I was.\Diana...\I will give this to you.\Accept it with the meaning of the card.\A believing heart is your magic.\I believe as well. response:	I believe in your believing heart.
context: Thinking back, the reason I tried to leave Luna Nova might have been to run away from you.\I wanted to avoid facing the reality of you being far closer to Chariot than I was.\Diana...\I will give this to you.\Accept it with the meaning of the card.\A believing heart is your magic.\I believe as well.\I believe in your believing heart. response:	Your magic is stronger than anyone else's.
context: I wanted to avoid facing the reality of you being far closer to Chariot than I was.\Diana...\I will give this to you.\Accept it with the meaning of the card.\A believing heart is your magic.\I believe as well.\I believe in your believing heart.\Your magic is stronger than anyone else's. response:	Lotte?
context: Diana...\I will give this to you.\Accept it with the meaning of the card.\A believing heart is your magic.\I believe as well.\I believe in your believing heart.\Your magic is stronger than anyone else's.\Lotte? response:	I found you, Akko!
context: I will give this to you.\Accept it with the meaning of the card.\A believing heart is your magic.\I believe as well.\I believe in your believing heart.\Your magic is stronger than anyone else's.\Lotte?\I found you, Akko! response:	WaiLotte?
context: Accept it with the meaning of the card.\A believing heart is your magic.\I believe as well.\I believe in your believing heart.\Your magic is stronger than anyone else's.\Lotte?\I found you, Akko!\WaiLotte? response:	You won't go anywhere, right?
context: A believing heart is your magic.\I believe as well.\I believe in your believing heart.\Your magic is stronger than anyone else's.\Lotte?\I found you, Akko!\WaiLotte?\You won't go anywhere, right? response:	Huh?
context: I believe as well.\I believe in your believing heart.\Your magic is stronger than anyone else's.\Lotte?\I found you, Akko!\WaiLotte?\You won't go anywhere, right?\Huh? response:	You won't quit school, right?
context: I believe in your believing heart.\Your magic is stronger than anyone else's.\Lotte?\I found you, Akko!\WaiLotte?\You won't go anywhere, right?\Huh?\You won't quit school, right? response:	Lotte...
context: Your magic is stronger than anyone else's.\Lotte?\I found you, Akko!\WaiLotte?\You won't go anywhere, right?\Huh?\You won't quit school, right?\Lotte... response:	Of course! I'll never quit, not until I become a splendid witch!
context: Lotte?\I found you, Akko!\WaiLotte?\You won't go anywhere, right?\Huh?\You won't quit school, right?\Lotte...\Of course! I'll never quit, not until I become a splendid witch! response:	Really?
context: I found you, Akko!\WaiLotte?\You won't go anywhere, right?\Huh?\You won't quit school, right?\Lotte...\Of course! I'll never quit, not until I become a splendid witch!\Really? response:	Really! I'm sorry I made you worry.
context: WaiLotte?\You won't go anywhere, right?\Huh?\You won't quit school, right?\Lotte...\Of course! I'll never quit, not until I become a splendid witch!\Really?\Really! I'm sorry I made you worry. response:	Thank you...
context: You won't go anywhere, right?\Huh?\You won't quit school, right?\Lotte...\Of course! I'll never quit, not until I become a splendid witch!\Really?\Really! I'm sorry I made you worry.\Thank you... response:	You here, Akko?!
context: Huh?\You won't quit school, right?\Lotte...\Of course! I'll never quit, not until I become a splendid witch!\Really?\Really! I'm sorry I made you worry.\Thank you...\You here, Akko?! response:	Amanda! Constanze and Jasminka too.
context: You won't quit school, right?\Lotte...\Of course! I'll never quit, not until I become a splendid witch!\Really?\Really! I'm sorry I made you worry.\Thank you...\You here, Akko?!\Amanda! Constanze and Jasminka too. response:	Akko says she isn't going anywhere!
context: Lotte...\Of course! I'll never quit, not until I become a splendid witch!\Really?\Really! I'm sorry I made you worry.\Thank you...\You here, Akko?!\Amanda! Constanze and Jasminka too.\Akko says she isn't going anywhere! response:	See? That's exactly what I told you.
context: Of course! I'll never quit, not until I become a splendid witch!\Really?\Really! I'm sorry I made you worry.\Thank you...\You here, Akko?!\Amanda! Constanze and Jasminka too.\Akko says she isn't going anywhere!\See? That's exactly what I told you. response:	Come in, you kids must be freezing.
context: Really?\Really! I'm sorry I made you worry.\Thank you...\You here, Akko?!\Amanda! Constanze and Jasminka too.\Akko says she isn't going anywhere!\See? That's exactly what I told you.\Come in, you kids must be freezing. response:	Drink up! It's on the house.
context: Really! I'm sorry I made you worry.\Thank you...\You here, Akko?!\Amanda! Constanze and Jasminka too.\Akko says she isn't going anywhere!\See? That's exactly what I told you.\Come in, you kids must be freezing.\Drink up! It's on the house. response:	Thanks!
context: Thank you...\You here, Akko?!\Amanda! Constanze and Jasminka too.\Akko says she isn't going anywhere!\See? That's exactly what I told you.\Come in, you kids must be freezing.\Drink up! It's on the house.\Thanks! response:	Hey, Akko, don't tell me you were crying.
context: You here, Akko?!\Amanda! Constanze and Jasminka too.\Akko says she isn't going anywhere!\See? That's exactly what I told you.\Come in, you kids must be freezing.\Drink up! It's on the house.\Thanks!\Hey, Akko, don't tell me you were crying. response:	I wasn't crying! The cold just made my eyes
context: Amanda! Constanze and Jasminka too.\Akko says she isn't going anywhere!\See? That's exactly what I told you.\Come in, you kids must be freezing.\Drink up! It's on the house.\Thanks!\Hey, Akko, don't tell me you were crying.\I wasn't crying! The cold just made my eyes response:	You're full of it. I can still see the tears.
context: Akko says she isn't going anywhere!\See? That's exactly what I told you.\Come in, you kids must be freezing.\Drink up! It's on the house.\Thanks!\Hey, Akko, don't tell me you were crying.\I wasn't crying! The cold just made my eyes\You're full of it. I can still see the tears. response:	That's not it!
context: See? That's exactly what I told you.\Come in, you kids must be freezing.\Drink up! It's on the house.\Thanks!\Hey, Akko, don't tell me you were crying.\I wasn't crying! The cold just made my eyes\You're full of it. I can still see the tears.\That's not it! response:	No, you certainly were crying.
context: Come in, you kids must be freezing.\Drink up! It's on the house.\Thanks!\Hey, Akko, don't tell me you were crying.\I wasn't crying! The cold just made my eyes\You're full of it. I can still see the tears.\That's not it!\No, you certainly were crying. response:	Perfect timing.
context: Drink up! It's on the house.\Thanks!\Hey, Akko, don't tell me you were crying.\I wasn't crying! The cold just made my eyes\You're full of it. I can still see the tears.\That's not it!\No, you certainly were crying.\Perfect timing. response:	I was just thinking about how I wanted you to see this.
context: Thanks!\Hey, Akko, don't tell me you were crying.\I wasn't crying! The cold just made my eyes\You're full of it. I can still see the tears.\That's not it!\No, you certainly were crying.\Perfect timing.\I was just thinking about how I wanted you to see this. response:	What is that?
context: Hey, Akko, don't tell me you were crying.\I wasn't crying! The cold just made my eyes\You're full of it. I can still see the tears.\That's not it!\No, you certainly were crying.\Perfect timing.\I was just thinking about how I wanted you to see this.\What is that? response:	Noir Fuel Spirit.
context: I wasn't crying! The cold just made my eyes\You're full of it. I can still see the tears.\That's not it!\No, you certainly were crying.\Perfect timing.\I was just thinking about how I wanted you to see this.\What is that?\Noir Fuel Spirit. response:	I harvested it from all around the country.
context: You're full of it. I can still see the tears.\That's not it!\No, you certainly were crying.\Perfect timing.\I was just thinking about how I wanted you to see this.\What is that?\Noir Fuel Spirit.\I harvested it from all around the country. response:	But I couldn't have done this without you.
context: That's not it!\No, you certainly were crying.\Perfect timing.\I was just thinking about how I wanted you to see this.\What is that?\Noir Fuel Spirit.\I harvested it from all around the country.\But I couldn't have done this without you. response:	It was your Dream Fuel Spirit experiments that helped me complete this.
context: No, you certainly were crying.\Perfect timing.\I was just thinking about how I wanted you to see this.\What is that?\Noir Fuel Spirit.\I harvested it from all around the country.\But I couldn't have done this without you.\It was your Dream Fuel Spirit experiments that helped me complete this. response:	I figured you deserve some gratitude.
context: Perfect timing.\I was just thinking about how I wanted you to see this.\What is that?\Noir Fuel Spirit.\I harvested it from all around the country.\But I couldn't have done this without you.\It was your Dream Fuel Spirit experiments that helped me complete this.\I figured you deserve some gratitude. response:	It's time. My plan has entered its final stage.
context: I was just thinking about how I wanted you to see this.\What is that?\Noir Fuel Spirit.\I harvested it from all around the country.\But I couldn't have done this without you.\It was your Dream Fuel Spirit experiments that helped me complete this.\I figured you deserve some gratitude.\It's time. My plan has entered its final stage. response:	I won't let you.
context: What is that?\Noir Fuel Spirit.\I harvested it from all around the country.\But I couldn't have done this without you.\It was your Dream Fuel Spirit experiments that helped me complete this.\I figured you deserve some gratitude.\It's time. My plan has entered its final stage.\I won't let you. response:	I swear I will stop you.
context: Noir Fuel Spirit.\I harvested it from all around the country.\But I couldn't have done this without you.\It was your Dream Fuel Spirit experiments that helped me complete this.\I figured you deserve some gratitude.\It's time. My plan has entered its final stage.\I won't let you.\I swear I will stop you. response:	Even though I just learned another spell
context: I harvested it from all around the country.\But I couldn't have done this without you.\It was your Dream Fuel Spirit experiments that helped me complete this.\I figured you deserve some gratitude.\It's time. My plan has entered its final stage.\I won't let you.\I swear I will stop you.\Even though I just learned another spell response:	oboetate no jumon ja
context: But I couldn't have done this without you.\It was your Dream Fuel Spirit experiments that helped me complete this.\I figured you deserve some gratitude.\It's time. My plan has entered its final stage.\I won't let you.\I swear I will stop you.\Even though I just learned another spell\oboetate no jumon ja response:	Even though I just learned another spell
context: It was your Dream Fuel Spirit experiments that helped me complete this.\I figured you deserve some gratitude.\It's time. My plan has entered its final stage.\I won't let you.\I swear I will stop you.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell response:	oboetate no jumon ja
context: I figured you deserve some gratitude.\It's time. My plan has entered its final stage.\I won't let you.\I swear I will stop you.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja response:	The things I want to do are still out of reach
context: It's time. My plan has entered its final stage.\I won't let you.\I swear I will stop you.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach response:	kanawanai koto bakari dakedo
context: I won't let you.\I swear I will stop you.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo response:	The things I want to do are still out of reach
context: I swear I will stop you.\Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach response:	kanawanai koto bakari dakedo
context: Even though I just learned another spell\oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo response:	My skills are no match for my fantasies
context: oboetate no jumon ja\Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies response:	imeeji suru no wa ima yori takaku
context: Even though I just learned another spell\oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku response:	My skills are no match for my fantasies
context: oboetate no jumon ja\The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies response:	imeeji suru no wa ima yori takaku
context: The things I want to do are still out of reach\kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku response:	Yet my heart leaps out to meet them
context: kanawanai koto bakari dakedo\The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them response:	tobitachi odoridasu kokoro
context: The things I want to do are still out of reach\kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro response:	Yet my heart leaps out to meet them
context: kanawanai koto bakari dakedo\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them response:	tobitachi odoridasu kokoro
context: My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro response:	Breaking my tiny shell one layer at a time
context: imeeji suru no wa ima yori takaku\My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time response:	chiisana kara nandomo nugisutete
context: My skills are no match for my fantasies\imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete response:	Breaking my tiny shell one layer at a time
context: imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time response:	chiisana kara nandomo nugisutete
context: Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete response:	I won't let my reckless abandon go to waste
context: tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste response:	gamushara dake de owarasenai
context: Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai response:	I won't let my reckless abandon go to waste
context: tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste response:	gamushara dake de owarasenai
context: Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai response:	I'll leave who I was yesterday behind
context: chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind response:	kinou no watashi wo koeru you ni
