context: That far off future was suddenly upon us... response:	And soon, it too will become a passing memory.
context: I close my eyes, and then I can see... Me o tojite mietekuru I heard Al was promoted recently, so he's no longer an apprentice.\I close my eyes, and then I can see... Me o tojite mietekuru Why yes, thank you.\I close my eyes, and then I can see... Me o tojite mietekuru\I close my eyes, and then I can see... Me o tojite mietekuru I haven't seen him for a while, but Aika keeps me updated constantly.\Come, let's paddle away Saa, kogidasou Akatsuki was also promoted.\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e He often appears out of nowhere and surprises me at the office. response:	To the shining waves Hikaru nami e Oh!
context: I close my eyes, and then I can see... Me o tojite mietekuru Why yes, thank you.\I close my eyes, and then I can see... Me o tojite mietekuru\I close my eyes, and then I can see... Me o tojite mietekuru I haven't seen him for a while, but Aika keeps me updated constantly.\Come, let's paddle away Saa, kogidasou Akatsuki was also promoted.\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e Oh! response:	To the shining waves Hikaru nami e
context: I close my eyes, and then I can see... Me o tojite mietekuru\I close my eyes, and then I can see... Me o tojite mietekuru I haven't seen him for a while, but Aika keeps me updated constantly.\Come, let's paddle away Saa, kogidasou Akatsuki was also promoted.\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e Oh!\To the shining waves Hikaru nami e response:	To the shining waves Hikaru nami e I'm sure it's his way of showing he cares.
context: I close my eyes, and then I can see... Me o tojite mietekuru I haven't seen him for a while, but Aika keeps me updated constantly.\Come, let's paddle away Saa, kogidasou Akatsuki was also promoted.\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e Oh!\To the shining waves Hikaru nami e\To the shining waves Hikaru nami e I'm sure it's his way of showing he cares. response:	Soon we'll be overflowing with smiles Egao ga sugu koboreru I'm sure it's his way of showing he cares.
context: Come, let's paddle away Saa, kogidasou Akatsuki was also promoted.\Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e Oh!\To the shining waves Hikaru nami e\To the shining waves Hikaru nami e I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru I'm sure it's his way of showing he cares. response:	Soon we'll be overflowing with smiles Egao ga sugu koboreru
context: Come, let's paddle away Saa, kogidasou\Come, let's paddle away Saa, kogidasou He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e Oh!\To the shining waves Hikaru nami e\To the shining waves Hikaru nami e I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru response:	Soon we'll be overflowing with smiles Egao ga sugu koboreru You look bored.
context: Come, let's paddle away Saa, kogidasou He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e Oh!\To the shining waves Hikaru nami e\To the shining waves Hikaru nami e I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Soon we'll be overflowing with smiles Egao ga sugu koboreru You look bored. response:	Soon we'll be overflowing with smiles Egao ga sugu koboreru Oh.
context: To the shining waves Hikaru nami e He often appears out of nowhere and surprises me at the office.\To the shining waves Hikaru nami e Oh!\To the shining waves Hikaru nami e\To the shining waves Hikaru nami e I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Soon we'll be overflowing with smiles Egao ga sugu koboreru You look bored.\Soon we'll be overflowing with smiles Egao ga sugu koboreru Oh. response:	Soon we'll be overflowing with smiles Egao ga sugu koboreru You could come visit Ukijima, if you want.
context: To the shining waves Hikaru nami e Oh!\To the shining waves Hikaru nami e\To the shining waves Hikaru nami e I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Soon we'll be overflowing with smiles Egao ga sugu koboreru You look bored.\Soon we'll be overflowing with smiles Egao ga sugu koboreru Oh.\Soon we'll be overflowing with smiles Egao ga sugu koboreru You could come visit Ukijima, if you want. response:	Soon we'll be overflowing with smiles Egao ga sugu koboreru
context: To the shining waves Hikaru nami e\To the shining waves Hikaru nami e I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Soon we'll be overflowing with smiles Egao ga sugu koboreru You look bored.\Soon we'll be overflowing with smiles Egao ga sugu koboreru Oh.\Soon we'll be overflowing with smiles Egao ga sugu koboreru You could come visit Ukijima, if you want.\Soon we'll be overflowing with smiles Egao ga sugu koboreru response:	Come, let's let others feel... Nee, tsutaeyou
context: To the shining waves Hikaru nami e I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Soon we'll be overflowing with smiles Egao ga sugu koboreru You look bored.\Soon we'll be overflowing with smiles Egao ga sugu koboreru Oh.\Soon we'll be overflowing with smiles Egao ga sugu koboreru You could come visit Ukijima, if you want.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Come, let's let others feel... Nee, tsutaeyou response:	Come, let's let others feel... Nee, tsutaeyou Thank you.
context: Soon we'll be overflowing with smiles Egao ga sugu koboreru I'm sure it's his way of showing he cares.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Soon we'll be overflowing with smiles Egao ga sugu koboreru You look bored.\Soon we'll be overflowing with smiles Egao ga sugu koboreru Oh.\Soon we'll be overflowing with smiles Egao ga sugu koboreru You could come visit Ukijima, if you want.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Thank you. response:	Come, let's let others feel... Nee, tsutaeyou
context: Soon we'll be overflowing with smiles Egao ga sugu koboreru\Soon we'll be overflowing with smiles Egao ga sugu koboreru You look bored.\Soon we'll be overflowing with smiles Egao ga sugu koboreru Oh.\Soon we'll be overflowing with smiles Egao ga sugu koboreru You could come visit Ukijima, if you want.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Thank you.\Come, let's let others feel... Nee, tsutaeyou response:	Come, let's let others feel... Nee, tsutaeyou Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.
context: Soon we'll be overflowing with smiles Egao ga sugu koboreru You look bored.\Soon we'll be overflowing with smiles Egao ga sugu koboreru Oh.\Soon we'll be overflowing with smiles Egao ga sugu koboreru You could come visit Ukijima, if you want.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Thank you.\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention. response:	This excitement in our hearts Kono tokimeki Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.
context: Soon we'll be overflowing with smiles Egao ga sugu koboreru Oh.\Soon we'll be overflowing with smiles Egao ga sugu koboreru You could come visit Ukijima, if you want.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Thank you.\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention. response:	This excitement in our hearts Kono tokimeki The self-imposed rule she's most passionate about lately is...
context: Soon we'll be overflowing with smiles Egao ga sugu koboreru You could come visit Ukijima, if you want.\Soon we'll be overflowing with smiles Egao ga sugu koboreru\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Thank you.\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki The self-imposed rule she's most passionate about lately is... response:	I'll ride the wind to where you are Kaze ni notte anata no moto e The self-imposed rule she's most passionate about lately is...
context: Soon we'll be overflowing with smiles Egao ga sugu koboreru\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Thank you.\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e The self-imposed rule she's most passionate about lately is... response:	I'll ride the wind to where you are Kaze ni notte anata no moto e ...that the three of us must spend time together.
context: Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Thank you.\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e ...that the three of us must spend time together. response:	I'll ride the wind to where you are Kaze ni notte anata no moto e
context: Come, let's let others feel... Nee, tsutaeyou Thank you.\Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e ...that the three of us must spend time together.\I'll ride the wind to where you are Kaze ni notte anata no moto e response:	I'll ride the wind to where you are Kaze ni notte anata no moto e If the three of us don't hang out together, the world will come to an end.
context: Come, let's let others feel... Nee, tsutaeyou\Come, let's let others feel... Nee, tsutaeyou Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e ...that the three of us must spend time together.\I'll ride the wind to where you are Kaze ni notte anata no moto e\I'll ride the wind to where you are Kaze ni notte anata no moto e If the three of us don't hang out together, the world will come to an end. response:	I'm on my way, Undine Yuku wa, Undine If the three of us don't hang out together, the world will come to an end.
context: Come, let's let others feel... Nee, tsutaeyou Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e ...that the three of us must spend time together.\I'll ride the wind to where you are Kaze ni notte anata no moto e\I'll ride the wind to where you are Kaze ni notte anata no moto e If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine If the three of us don't hang out together, the world will come to an end. response:	I'm on my way, Undine Yuku wa, Undine Huh?
context: This excitement in our hearts Kono tokimeki Alice, the legendary rank-skipping Prima, is always the focus of everyone's attention.\This excitement in our hearts Kono tokimeki The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e ...that the three of us must spend time together.\I'll ride the wind to where you are Kaze ni notte anata no moto e\I'll ride the wind to where you are Kaze ni notte anata no moto e If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine Huh? response:	I'm on my way, Undine Yuku wa, Undine You're such a little kid.
context: This excitement in our hearts Kono tokimeki The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e ...that the three of us must spend time together.\I'll ride the wind to where you are Kaze ni notte anata no moto e\I'll ride the wind to where you are Kaze ni notte anata no moto e If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine Huh?\I'm on my way, Undine Yuku wa, Undine You're such a little kid. response:	I'm on my way, Undine Yuku wa, Undine
context: I'll ride the wind to where you are Kaze ni notte anata no moto e The self-imposed rule she's most passionate about lately is...\I'll ride the wind to where you are Kaze ni notte anata no moto e ...that the three of us must spend time together.\I'll ride the wind to where you are Kaze ni notte anata no moto e\I'll ride the wind to where you are Kaze ni notte anata no moto e If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine Huh?\I'm on my way, Undine Yuku wa, Undine You're such a little kid.\I'm on my way, Undine Yuku wa, Undine response:	Athena, encouraged by those around her,
context: I'll ride the wind to where you are Kaze ni notte anata no moto e ...that the three of us must spend time together.\I'll ride the wind to where you are Kaze ni notte anata no moto e\I'll ride the wind to where you are Kaze ni notte anata no moto e If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine Huh?\I'm on my way, Undine Yuku wa, Undine You're such a little kid.\I'm on my way, Undine Yuku wa, Undine\Athena, encouraged by those around her, response:	made her debut as an actress at the opera the other day.
context: I'll ride the wind to where you are Kaze ni notte anata no moto e\I'll ride the wind to where you are Kaze ni notte anata no moto e If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine Huh?\I'm on my way, Undine Yuku wa, Undine You're such a little kid.\I'm on my way, Undine Yuku wa, Undine\Athena, encouraged by those around her,\made her debut as an actress at the opera the other day. response:	Alice was angry, saying that it would affect Athena's work as an Undine, but...
context: I'll ride the wind to where you are Kaze ni notte anata no moto e If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine Huh?\I'm on my way, Undine Yuku wa, Undine You're such a little kid.\I'm on my way, Undine Yuku wa, Undine\Athena, encouraged by those around her,\made her debut as an actress at the opera the other day.\Alice was angry, saying that it would affect Athena's work as an Undine, but... response:	She was crying... but that's a secret.
context: I'm on my way, Undine Yuku wa, Undine If the three of us don't hang out together, the world will come to an end.\I'm on my way, Undine Yuku wa, Undine Huh?\I'm on my way, Undine Yuku wa, Undine You're such a little kid.\I'm on my way, Undine Yuku wa, Undine\Athena, encouraged by those around her,\made her debut as an actress at the opera the other day.\Alice was angry, saying that it would affect Athena's work as an Undine, but...\She was crying... but that's a secret. response:	The wind falls into a lull, and if you look back Kaze ga nai de furikaereba Himeya's Akira is shining brightly as the reigning number one Prima.
context: I'm on my way, Undine Yuku wa, Undine Huh?\I'm on my way, Undine Yuku wa, Undine You're such a little kid.\I'm on my way, Undine Yuku wa, Undine\Athena, encouraged by those around her,\made her debut as an actress at the opera the other day.\Alice was angry, saying that it would affect Athena's work as an Undine, but...\She was crying... but that's a secret.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba Himeya's Akira is shining brightly as the reigning number one Prima. response:	The wind falls into a lull, and if you look back Kaze ga nai de furikaereba She truly evokes the feeling of a Crimson Rose in full bloom.
context: I'm on my way, Undine Yuku wa, Undine You're such a little kid.\I'm on my way, Undine Yuku wa, Undine\Athena, encouraged by those around her,\made her debut as an actress at the opera the other day.\Alice was angry, saying that it would affect Athena's work as an Undine, but...\She was crying... but that's a secret.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba Himeya's Akira is shining brightly as the reigning number one Prima.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba She truly evokes the feeling of a Crimson Rose in full bloom. response:	You can see the world shine in the sunset's glow Yuubae ni terasare She truly evokes the feeling of a Crimson Rose in full bloom.
context: I'm on my way, Undine Yuku wa, Undine\Athena, encouraged by those around her,\made her debut as an actress at the opera the other day.\Alice was angry, saying that it would affect Athena's work as an Undine, but...\She was crying... but that's a secret.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba Himeya's Akira is shining brightly as the reigning number one Prima.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare She truly evokes the feeling of a Crimson Rose in full bloom. response:	You can see the world shine in the sunset's glow Yuubae ni terasare Geez, she's such a thorn in my side.
context: Athena, encouraged by those around her,\made her debut as an actress at the opera the other day.\Alice was angry, saying that it would affect Athena's work as an Undine, but...\She was crying... but that's a secret.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba Himeya's Akira is shining brightly as the reigning number one Prima.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare Geez, she's such a thorn in my side. response:	You can see the world shine in the sunset's glow Yuubae ni terasare I'm going to dethrone her and make this era mine as soon as possible!
context: made her debut as an actress at the opera the other day.\Alice was angry, saying that it would affect Athena's work as an Undine, but...\She was crying... but that's a secret.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba Himeya's Akira is shining brightly as the reigning number one Prima.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare Geez, she's such a thorn in my side.\You can see the world shine in the sunset's glow Yuubae ni terasare I'm going to dethrone her and make this era mine as soon as possible! response:	You can see the world shine in the sunset's glow Yuubae ni terasare She says that, but...
context: Alice was angry, saying that it would affect Athena's work as an Undine, but...\She was crying... but that's a secret.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba Himeya's Akira is shining brightly as the reigning number one Prima.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare Geez, she's such a thorn in my side.\You can see the world shine in the sunset's glow Yuubae ni terasare I'm going to dethrone her and make this era mine as soon as possible!\You can see the world shine in the sunset's glow Yuubae ni terasare She says that, but... response:	And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo She says that, but...
context: She was crying... but that's a secret.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba Himeya's Akira is shining brightly as the reigning number one Prima.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare Geez, she's such a thorn in my side.\You can see the world shine in the sunset's glow Yuubae ni terasare I'm going to dethrone her and make this era mine as soon as possible!\You can see the world shine in the sunset's glow Yuubae ni terasare She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo She says that, but... response:	And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo ...it's easy to tell that she's happy, and proud of Akira's achievements.
context: The wind falls into a lull, and if you look back Kaze ga nai de furikaereba Himeya's Akira is shining brightly as the reigning number one Prima.\The wind falls into a lull, and if you look back Kaze ga nai de furikaereba She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare Geez, she's such a thorn in my side.\You can see the world shine in the sunset's glow Yuubae ni terasare I'm going to dethrone her and make this era mine as soon as possible!\You can see the world shine in the sunset's glow Yuubae ni terasare She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo ...it's easy to tell that she's happy, and proud of Akira's achievements. response:	And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo
context: The wind falls into a lull, and if you look back Kaze ga nai de furikaereba She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare Geez, she's such a thorn in my side.\You can see the world shine in the sunset's glow Yuubae ni terasare I'm going to dethrone her and make this era mine as soon as possible!\You can see the world shine in the sunset's glow Yuubae ni terasare She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo ...it's easy to tell that she's happy, and proud of Akira's achievements.\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo response:	And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo And as for our eternal Snow White, Alicia,
context: You can see the world shine in the sunset's glow Yuubae ni terasare She truly evokes the feeling of a Crimson Rose in full bloom.\You can see the world shine in the sunset's glow Yuubae ni terasare Geez, she's such a thorn in my side.\You can see the world shine in the sunset's glow Yuubae ni terasare I'm going to dethrone her and make this era mine as soon as possible!\You can see the world shine in the sunset's glow Yuubae ni terasare She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo ...it's easy to tell that she's happy, and proud of Akira's achievements.\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo And as for our eternal Snow White, Alicia, response:	And as for our eternal Snow White, Alicia,
context: You can see the world shine in the sunset's glow Yuubae ni terasare Geez, she's such a thorn in my side.\You can see the world shine in the sunset's glow Yuubae ni terasare I'm going to dethrone her and make this era mine as soon as possible!\You can see the world shine in the sunset's glow Yuubae ni terasare She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo ...it's easy to tell that she's happy, and proud of Akira's achievements.\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo And as for our eternal Snow White, Alicia,\And as for our eternal Snow White, Alicia, response:	If you look up, you'll hear it resound Miagereba hibikidasu And as for our eternal Snow White, Alicia,
context: You can see the world shine in the sunset's glow Yuubae ni terasare I'm going to dethrone her and make this era mine as soon as possible!\You can see the world shine in the sunset's glow Yuubae ni terasare She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo ...it's easy to tell that she's happy, and proud of Akira's achievements.\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo And as for our eternal Snow White, Alicia,\And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu And as for our eternal Snow White, Alicia, response:	If you look up, you'll hear it resound Miagereba hibikidasu
context: You can see the world shine in the sunset's glow Yuubae ni terasare She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo ...it's easy to tell that she's happy, and proud of Akira's achievements.\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo And as for our eternal Snow White, Alicia,\And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu response:	If you look up, you'll hear it resound Miagereba hibikidasu she attends various lectures, ceremonies, meetings, functions, all sorts of things.
context: And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo She says that, but...\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo ...it's easy to tell that she's happy, and proud of Akira's achievements.\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo And as for our eternal Snow White, Alicia,\And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu\If you look up, you'll hear it resound Miagereba hibikidasu she attends various lectures, ceremonies, meetings, functions, all sorts of things. response:	The song of the stars Hoshitachi no uta ga she attends various lectures, ceremonies, meetings, functions, all sorts of things.
context: And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo ...it's easy to tell that she's happy, and proud of Akira's achievements.\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo And as for our eternal Snow White, Alicia,\And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu\If you look up, you'll hear it resound Miagereba hibikidasu she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga she attends various lectures, ceremonies, meetings, functions, all sorts of things. response:	The song of the stars Hoshitachi no uta ga She's very busy every day.
context: And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo\And the sight is dyed deep into your heart Kokoro made mo somatte yuku yo And as for our eternal Snow White, Alicia,\And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu And as for our eternal Snow White, Alicia,\If you look up, you'll hear it resound Miagereba hibikidasu\If you look up, you'll hear it resound Miagereba hibikidasu she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga she attends various lectures, ceremonies, meetings, functions, all sorts of things.\The song of the stars Hoshitachi no uta ga She's very busy every day. response:	The song of the stars Hoshitachi no uta ga
