context: hontou wa totemo totemo ureshikatta yo response:	but the truth is, I was really, really happy.
context: You used to demand me of so much more\You used to demand me of so much more\mada futari wa sugu soko ni irunoni\mada futari wa sugu soko ni irunoni\You're both still standing right by my side\You're both still standing right by my side\douka mata aemasuyouni nante\douka mata aemasuyouni nante response:	Yet why do I pray to see you both again?
context: You used to demand me of so much more\mada futari wa sugu soko ni irunoni\mada futari wa sugu soko ni irunoni\You're both still standing right by my side\You're both still standing right by my side\douka mata aemasuyouni nante\douka mata aemasuyouni nante\Yet why do I pray to see you both again? response:	Yet why do I pray to see you both again?
context: mada futari wa sugu soko ni irunoni\mada futari wa sugu soko ni irunoni\You're both still standing right by my side\You're both still standing right by my side\douka mata aemasuyouni nante\douka mata aemasuyouni nante\Yet why do I pray to see you both again?\Yet why do I pray to see you both again? response:	douka shiteru mitai
context: mada futari wa sugu soko ni irunoni\You're both still standing right by my side\You're both still standing right by my side\douka mata aemasuyouni nante\douka mata aemasuyouni nante\Yet why do I pray to see you both again?\Yet why do I pray to see you both again?\douka shiteru mitai response:	douka shiteru mitai
context: You're both still standing right by my side\You're both still standing right by my side\douka mata aemasuyouni nante\douka mata aemasuyouni nante\Yet why do I pray to see you both again?\Yet why do I pray to see you both again?\douka shiteru mitai\douka shiteru mitai response:	There must be something off with me
context: You're both still standing right by my side\douka mata aemasuyouni nante\douka mata aemasuyouni nante\Yet why do I pray to see you both again?\Yet why do I pray to see you both again?\douka shiteru mitai\douka shiteru mitai\There must be something off with me response:	There must be something off with me
context: douka mata aemasuyouni nante\douka mata aemasuyouni nante\Yet why do I pray to see you both again?\Yet why do I pray to see you both again?\douka shiteru mitai\douka shiteru mitai\There must be something off with me\There must be something off with me response:	Thank you for doing this for me today.
context: douka mata aemasuyouni nante\Yet why do I pray to see you both again?\Yet why do I pray to see you both again?\douka shiteru mitai\douka shiteru mitai\There must be something off with me\There must be something off with me\Thank you for doing this for me today. response:	I'm going to heaven tomorrow.
context: Yet why do I pray to see you both again?\Yet why do I pray to see you both again?\douka shiteru mitai\douka shiteru mitai\There must be something off with me\There must be something off with me\Thank you for doing this for me today.\I'm going to heaven tomorrow. response:	I'm going to heaven tomorrow.
context: Yet why do I pray to see you both again?\douka shiteru mitai\douka shiteru mitai\There must be something off with me\There must be something off with me\Thank you for doing this for me today.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow. response:	I'm going to heaven tomorrow.
context: douka shiteru mitai\douka shiteru mitai\There must be something off with me\There must be something off with me\Thank you for doing this for me today.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow. response:	I'm going to heaven tomorrow.
context: douka shiteru mitai\There must be something off with me\There must be something off with me\Thank you for doing this for me today.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow. response:	I'm going to heaven tomorrow.
context: There must be something off with me\There must be something off with me\Thank you for doing this for me today.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow. response:	I'm going to heaven tomorrow.
context: There must be something off with me\Thank you for doing this for me today.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow. response:	I'm going to heaven tomorrow.
context: Thank you for doing this for me today.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow. response:	I'm going to heaven tomorrow.
context: I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow. response:	I'm going to heaven tomorrow.
context: I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow. response:	I want to be friends with everyone
context: I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I want to be friends with everyone response:	until the very end. Thank you all.
context: I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I want to be friends with everyone\until the very end. Thank you all. response:	Super Peace Busters
context: I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I want to be friends with everyone\until the very end. Thank you all.\Super Peace Busters response:	Episode 10 Fireworks
context: I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I want to be friends with everyone\until the very end. Thank you all.\Super Peace Busters\Episode 10 Fireworks response:	aa hanabi ga yozora kirei ni saite chotto setsunaku
context: I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I want to be friends with everyone\until the very end. Thank you all.\Super Peace Busters\Episode 10 Fireworks\aa hanabi ga yozora kirei ni saite chotto setsunaku response:	The fireworks blossomed heartrendingly beautiful across the night sky,
context: I'm going to heaven tomorrow.\I'm going to heaven tomorrow.\I want to be friends with everyone\until the very end. Thank you all.\Super Peace Busters\Episode 10 Fireworks\aa hanabi ga yozora kirei ni saite chotto setsunaku\The fireworks blossomed heartrendingly beautiful across the night sky, response:	aa kaze ga jikan to tomo ni nagareru
context: I'm going to heaven tomorrow.\I want to be friends with everyone\until the very end. Thank you all.\Super Peace Busters\Episode 10 Fireworks\aa hanabi ga yozora kirei ni saite chotto setsunaku\The fireworks blossomed heartrendingly beautiful across the night sky,\aa kaze ga jikan to tomo ni nagareru response:	and time passed as swiftly as the wind.
context: I want to be friends with everyone\until the very end. Thank you all.\Super Peace Busters\Episode 10 Fireworks\aa hanabi ga yozora kirei ni saite chotto setsunaku\The fireworks blossomed heartrendingly beautiful across the night sky,\aa kaze ga jikan to tomo ni nagareru\and time passed as swiftly as the wind. response:	ureshikute tanoshikute bouken mo iro iro shita ne
context: until the very end. Thank you all.\Super Peace Busters\Episode 10 Fireworks\aa hanabi ga yozora kirei ni saite chotto setsunaku\The fireworks blossomed heartrendingly beautiful across the night sky,\aa kaze ga jikan to tomo ni nagareru\and time passed as swiftly as the wind.\ureshikute tanoshikute bouken mo iro iro shita ne response:	We shared so many happy times and trilling adventures
context: Super Peace Busters\Episode 10 Fireworks\aa hanabi ga yozora kirei ni saite chotto setsunaku\The fireworks blossomed heartrendingly beautiful across the night sky,\aa kaze ga jikan to tomo ni nagareru\and time passed as swiftly as the wind.\ureshikute tanoshikute bouken mo iro iro shita ne\We shared so many happy times and trilling adventures response:	futari no himitsu no kichi no naka
context: Episode 10 Fireworks\aa hanabi ga yozora kirei ni saite chotto setsunaku\The fireworks blossomed heartrendingly beautiful across the night sky,\aa kaze ga jikan to tomo ni nagareru\and time passed as swiftly as the wind.\ureshikute tanoshikute bouken mo iro iro shita ne\We shared so many happy times and trilling adventures\futari no himitsu no kichi no naka response:	together in our secret base.
context: aa hanabi ga yozora kirei ni saite chotto setsunaku\The fireworks blossomed heartrendingly beautiful across the night sky,\aa kaze ga jikan to tomo ni nagareru\and time passed as swiftly as the wind.\ureshikute tanoshikute bouken mo iro iro shita ne\We shared so many happy times and trilling adventures\futari no himitsu no kichi no naka\together in our secret base. response:	I will never forget the hopes and dreams we shared during that one summer's end.
context: The fireworks blossomed heartrendingly beautiful across the night sky,\aa kaze ga jikan to tomo ni nagareru\and time passed as swiftly as the wind.\ureshikute tanoshikute bouken mo iro iro shita ne\We shared so many happy times and trilling adventures\futari no himitsu no kichi no naka\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end. response:	kimi to natsu no owari shourai no yume ookina kibou wasurenai
context: aa kaze ga jikan to tomo ni nagareru\and time passed as swiftly as the wind.\ureshikute tanoshikute bouken mo iro iro shita ne\We shared so many happy times and trilling adventures\futari no himitsu no kichi no naka\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\kimi to natsu no owari shourai no yume ookina kibou wasurenai response:	jyuunen no ato hachigatsu mata deaeru no wo shinjite
context: and time passed as swiftly as the wind.\ureshikute tanoshikute bouken mo iro iro shita ne\We shared so many happy times and trilling adventures\futari no himitsu no kichi no naka\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite response:	I'm sure we will meet again in another August, in maybe ten years time.
context: ureshikute tanoshikute bouken mo iro iro shita ne\We shared so many happy times and trilling adventures\futari no himitsu no kichi no naka\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\I'm sure we will meet again in another August, in maybe ten years time. response:	kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo
context: We shared so many happy times and trilling adventures\futari no himitsu no kichi no naka\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\I'm sure we will meet again in another August, in maybe ten years time.\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo response:	I could feel your heartfelt thanks all the way until the end.
context: futari no himitsu no kichi no naka\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\I'm sure we will meet again in another August, in maybe ten years time.\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\I could feel your heartfelt thanks all the way until the end. response:	namida wo koraete egao de sayounara setsunai yo ne
context: together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\I'm sure we will meet again in another August, in maybe ten years time.\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\I could feel your heartfelt thanks all the way until the end.\namida wo koraete egao de sayounara setsunai yo ne response:	And I know it must've been painful to hold back your tears and say goodbye with a smile.
context: I will never forget the hopes and dreams we shared during that one summer's end.\kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\I'm sure we will meet again in another August, in maybe ten years time.\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\I could feel your heartfelt thanks all the way until the end.\namida wo koraete egao de sayounara setsunai yo ne\And I know it must've been painful to hold back your tears and say goodbye with a smile. response:	saikou no omoide wo
context: kimi to natsu no owari shourai no yume ookina kibou wasurenai\jyuunen no ato hachigatsu mata deaeru no wo shinjite\I'm sure we will meet again in another August, in maybe ten years time.\kimi ga saigo made kokoro kara arigatou sakendeita koto shitetayo\I could feel your heartfelt thanks all the way until the end.\namida wo koraete egao de sayounara setsunai yo ne\And I know it must've been painful to hold back your tears and say goodbye with a smile.\saikou no omoide wo response:	But those are my best memories.
