context: When we started living in the same dorm together, response:	I figured trouble would come of it.
context: How long are we...\How long have you been watching?\If you knew, it'd make you want to die.\Don't tell me, then!\Let's Make a Game! Screening Committee Member\Here.\It's important, isn't it?\You dropped it. response:	Aoyama.
context: How long have you been watching?\If you knew, it'd make you want to die.\Don't tell me, then!\Let's Make a Game! Screening Committee Member\Here.\It's important, isn't it?\You dropped it.\Aoyama. response:	What?
context: If you knew, it'd make you want to die.\Don't tell me, then!\Let's Make a Game! Screening Committee Member\Here.\It's important, isn't it?\You dropped it.\Aoyama.\What? response:	Will you help me prepare for my presentation again?
context: Don't tell me, then!\Let's Make a Game! Screening Committee Member\Here.\It's important, isn't it?\You dropped it.\Aoyama.\What?\Will you help me prepare for my presentation again? response:	Of course!
context: Let's Make a Game! Screening Committee Member\Here.\It's important, isn't it?\You dropped it.\Aoyama.\What?\Will you help me prepare for my presentation again?\Of course! response:	I'll help, too.
context: Here.\It's important, isn't it?\You dropped it.\Aoyama.\What?\Will you help me prepare for my presentation again?\Of course!\I'll help, too. response:	You're heavy...
context: It's important, isn't it?\You dropped it.\Aoyama.\What?\Will you help me prepare for my presentation again?\Of course!\I'll help, too.\You're heavy... response:	That's not nice.
context: You dropped it.\Aoyama.\What?\Will you help me prepare for my presentation again?\Of course!\I'll help, too.\You're heavy...\That's not nice. response:	What are we going to do? It's pitch black.
context: Aoyama.\What?\Will you help me prepare for my presentation again?\Of course!\I'll help, too.\You're heavy...\That's not nice.\What are we going to do? It's pitch black. response:	Maybe they're getting it on.
context: What?\Will you help me prepare for my presentation again?\Of course!\I'll help, too.\You're heavy...\That's not nice.\What are we going to do? It's pitch black.\Maybe they're getting it on. response:	D-Don't say it like that!
context: Will you help me prepare for my presentation again?\Of course!\I'll help, too.\You're heavy...\That's not nice.\What are we going to do? It's pitch black.\Maybe they're getting it on.\D-Don't say it like that! response:	Anyway, I'm going in...
context: Of course!\I'll help, too.\You're heavy...\That's not nice.\What are we going to do? It's pitch black.\Maybe they're getting it on.\D-Don't say it like that!\Anyway, I'm going in... response:	What?!
context: I'll help, too.\You're heavy...\That's not nice.\What are we going to do? It's pitch black.\Maybe they're getting it on.\D-Don't say it like that!\Anyway, I'm going in...\What?! response:	I can't take it anymore...
context: You're heavy...\That's not nice.\What are we going to do? It's pitch black.\Maybe they're getting it on.\D-Don't say it like that!\Anyway, I'm going in...\What?!\I can't take it anymore... response:	Huh? It's not locked...
context: That's not nice.\What are we going to do? It's pitch black.\Maybe they're getting it on.\D-Don't say it like that!\Anyway, I'm going in...\What?!\I can't take it anymore...\Huh? It's not locked... response:	Misaki-senpai?
context: What are we going to do? It's pitch black.\Maybe they're getting it on.\D-Don't say it like that!\Anyway, I'm going in...\What?!\I can't take it anymore...\Huh? It's not locked...\Misaki-senpai? response:	I tried really hard so we could be lovers,
context: Maybe they're getting it on.\D-Don't say it like that!\Anyway, I'm going in...\What?!\I can't take it anymore...\Huh? It's not locked...\Misaki-senpai?\I tried really hard so we could be lovers, response:	but...
context: D-Don't say it like that!\Anyway, I'm going in...\What?!\I can't take it anymore...\Huh? It's not locked...\Misaki-senpai?\I tried really hard so we could be lovers,\but... response:	I can't treat you right the way I am now.
context: Anyway, I'm going in...\What?!\I can't take it anymore...\Huh? It's not locked...\Misaki-senpai?\I tried really hard so we could be lovers,\but...\I can't treat you right the way I am now. response:	That's fine.
context: What?!\I can't take it anymore...\Huh? It's not locked...\Misaki-senpai?\I tried really hard so we could be lovers,\but...\I can't treat you right the way I am now.\That's fine. response:	That's not fine at all.
context: I can't take it anymore...\Huh? It's not locked...\Misaki-senpai?\I tried really hard so we could be lovers,\but...\I can't treat you right the way I am now.\That's fine.\That's not fine at all. response:	What am I supposed to do, then?
context: Huh? It's not locked...\Misaki-senpai?\I tried really hard so we could be lovers,\but...\I can't treat you right the way I am now.\That's fine.\That's not fine at all.\What am I supposed to do, then? response:	You don't have to do anything.
context: Misaki-senpai?\I tried really hard so we could be lovers,\but...\I can't treat you right the way I am now.\That's fine.\That's not fine at all.\What am I supposed to do, then?\You don't have to do anything. response:	You're fine the way you are.
context: I tried really hard so we could be lovers,\but...\I can't treat you right the way I am now.\That's fine.\That's not fine at all.\What am I supposed to do, then?\You don't have to do anything.\You're fine the way you are. response:	I don't understand.
context: but...\I can't treat you right the way I am now.\That's fine.\That's not fine at all.\What am I supposed to do, then?\You don't have to do anything.\You're fine the way you are.\I don't understand. response:	I don't understand what you're saying.
context: I can't treat you right the way I am now.\That's fine.\That's not fine at all.\What am I supposed to do, then?\You don't have to do anything.\You're fine the way you are.\I don't understand.\I don't understand what you're saying. response:	Stay the way you are.
context: That's fine.\That's not fine at all.\What am I supposed to do, then?\You don't have to do anything.\You're fine the way you are.\I don't understand.\I don't understand what you're saying.\Stay the way you are. response:	Be the girl I love.
context: That's not fine at all.\What am I supposed to do, then?\You don't have to do anything.\You're fine the way you are.\I don't understand.\I don't understand what you're saying.\Stay the way you are.\Be the girl I love. response:	It doesn't make sense.
context: What am I supposed to do, then?\You don't have to do anything.\You're fine the way you are.\I don't understand.\I don't understand what you're saying.\Stay the way you are.\Be the girl I love.\It doesn't make sense. response:	Jin was so nice, but...
context: You don't have to do anything.\You're fine the way you are.\I don't understand.\I don't understand what you're saying.\Stay the way you are.\Be the girl I love.\It doesn't make sense.\Jin was so nice, but... response:	This isn't right.
context: You're fine the way you are.\I don't understand.\I don't understand what you're saying.\Stay the way you are.\Be the girl I love.\It doesn't make sense.\Jin was so nice, but...\This isn't right. response:	I wanted Jin to hurt me today!
context: I don't understand.\I don't understand what you're saying.\Stay the way you are.\Be the girl I love.\It doesn't make sense.\Jin was so nice, but...\This isn't right.\I wanted Jin to hurt me today! response:	He's bringing three girls home with him.
context: I don't understand what you're saying.\Stay the way you are.\Be the girl I love.\It doesn't make sense.\Jin was so nice, but...\This isn't right.\I wanted Jin to hurt me today!\He's bringing three girls home with him. response:	15 Where is My Usual Self?
context: Stay the way you are.\Be the girl I love.\It doesn't make sense.\Jin was so nice, but...\This isn't right.\I wanted Jin to hurt me today!\He's bringing three girls home with him.\15 Where is My Usual Self? response:	It takes only the slightest stimulus for sons to grow up quickly.
context: Be the girl I love.\It doesn't make sense.\Jin was so nice, but...\This isn't right.\I wanted Jin to hurt me today!\He's bringing three girls home with him.\15 Where is My Usual Self?\It takes only the slightest stimulus for sons to grow up quickly. response:	So very true...
