context: I'm Gouda Takeo, a first-year in high school. response:	He's Sunakawa Makoto, a friend of mine.
context: Takeo, Yamato-san's already about to pass out.\What does it mean to be strong?\I don't know.\But, Yamato, I want to become a great man.\The stars are beautiful tonight.\Yeah!\Oh, that reminds me!\We found the Takeo constellation. response:	When you draw a line between that star and the other,
context: What does it mean to be strong?\I don't know.\But, Yamato, I want to become a great man.\The stars are beautiful tonight.\Yeah!\Oh, that reminds me!\We found the Takeo constellation.\When you draw a line between that star and the other, response:	it's the one with you laughing.
context: I don't know.\But, Yamato, I want to become a great man.\The stars are beautiful tonight.\Yeah!\Oh, that reminds me!\We found the Takeo constellation.\When you draw a line between that star and the other,\it's the one with you laughing. response:	And that's the one where you're doing a shoulder throw.
context: But, Yamato, I want to become a great man.\The stars are beautiful tonight.\Yeah!\Oh, that reminds me!\We found the Takeo constellation.\When you draw a line between that star and the other,\it's the one with you laughing.\And that's the one where you're doing a shoulder throw. response:	I'm surprised you remember all of them.
context: The stars are beautiful tonight.\Yeah!\Oh, that reminds me!\We found the Takeo constellation.\When you draw a line between that star and the other,\it's the one with you laughing.\And that's the one where you're doing a shoulder throw.\I'm surprised you remember all of them. response:	To me, they look like Yamato.
context: Yeah!\Oh, that reminds me!\We found the Takeo constellation.\When you draw a line between that star and the other,\it's the one with you laughing.\And that's the one where you're doing a shoulder throw.\I'm surprised you remember all of them.\To me, they look like Yamato. response:	Eh?
context: Oh, that reminds me!\We found the Takeo constellation.\When you draw a line between that star and the other,\it's the one with you laughing.\And that's the one where you're doing a shoulder throw.\I'm surprised you remember all of them.\To me, they look like Yamato.\Eh? response:	If you connect that star and the other one...
context: We found the Takeo constellation.\When you draw a line between that star and the other,\it's the one with you laughing.\And that's the one where you're doing a shoulder throw.\I'm surprised you remember all of them.\To me, they look like Yamato.\Eh?\If you connect that star and the other one... response:	See?
context: When you draw a line between that star and the other,\it's the one with you laughing.\And that's the one where you're doing a shoulder throw.\I'm surprised you remember all of them.\To me, they look like Yamato.\Eh?\If you connect that star and the other one...\See? response:	It's Yamato's smiling face.
context: it's the one with you laughing.\And that's the one where you're doing a shoulder throw.\I'm surprised you remember all of them.\To me, they look like Yamato.\Eh?\If you connect that star and the other one...\See?\It's Yamato's smiling face. response:	It's right next to your constellation!
context: And that's the one where you're doing a shoulder throw.\I'm surprised you remember all of them.\To me, they look like Yamato.\Eh?\If you connect that star and the other one...\See?\It's Yamato's smiling face.\It's right next to your constellation! response:	Which one?
context: I'm surprised you remember all of them.\To me, they look like Yamato.\Eh?\If you connect that star and the other one...\See?\It's Yamato's smiling face.\It's right next to your constellation!\Which one? response:	Wow!
context: To me, they look like Yamato.\Eh?\If you connect that star and the other one...\See?\It's Yamato's smiling face.\It's right next to your constellation!\Which one?\Wow! response:	I'm so happy!
context: Eh?\If you connect that star and the other one...\See?\It's Yamato's smiling face.\It's right next to your constellation!\Which one?\Wow!\I'm so happy! response:	That one's the constellation for the macarons you made.
context: If you connect that star and the other one...\See?\It's Yamato's smiling face.\It's right next to your constellation!\Which one?\Wow!\I'm so happy!\That one's the constellation for the macarons you made. response:	That one's for you when we first met.
context: See?\It's Yamato's smiling face.\It's right next to your constellation!\Which one?\Wow!\I'm so happy!\That one's the constellation for the macarons you made.\That one's for you when we first met. response:	Oh, it's next to yours again!
context: It's Yamato's smiling face.\It's right next to your constellation!\Which one?\Wow!\I'm so happy!\That one's the constellation for the macarons you made.\That one's for you when we first met.\Oh, it's next to yours again! response:	Yamato, let's see each other again tomorrow,
context: It's right next to your constellation!\Which one?\Wow!\I'm so happy!\That one's the constellation for the macarons you made.\That one's for you when we first met.\Oh, it's next to yours again!\Yamato, let's see each other again tomorrow, response:	That one's for you when you pushed the beam with me.
context: Which one?\Wow!\I'm so happy!\That one's the constellation for the macarons you made.\That one's for you when we first met.\Oh, it's next to yours again!\Yamato, let's see each other again tomorrow,\That one's for you when you pushed the beam with me. response:	and talk about all the little things, until the sun goes down.
context: Wow!\I'm so happy!\That one's the constellation for the macarons you made.\That one's for you when we first met.\Oh, it's next to yours again!\Yamato, let's see each other again tomorrow,\That one's for you when you pushed the beam with me.\and talk about all the little things, until the sun goes down. response:	There's Suna, too.
context: I'm so happy!\That one's the constellation for the macarons you made.\That one's for you when we first met.\Oh, it's next to yours again!\Yamato, let's see each other again tomorrow,\That one's for you when you pushed the beam with me.\and talk about all the little things, until the sun goes down.\There's Suna, too. response:	My Friend
context: That one's the constellation for the macarons you made.\That one's for you when we first met.\Oh, it's next to yours again!\Yamato, let's see each other again tomorrow,\That one's for you when you pushed the beam with me.\and talk about all the little things, until the sun goes down.\There's Suna, too.\My Friend response:	Next time: My Friend.
