context: Whether or not anyone asked for you, response:	you will all be participating in internships with pros.
context: Switch faster-\Faster! Faster!\What's that?\Let's go! We shouldn't get involved.\Faster!\Morning. What's wrong?\I was training on my own yesterday and got a little too caught up in it.\I tried to digest what you said to me and put it into practice, response:	but I have a long way to go.
context: Faster! Faster!\What's that?\Let's go! We shouldn't get involved.\Faster!\Morning. What's wrong?\I was training on my own yesterday and got a little too caught up in it.\I tried to digest what you said to me and put it into practice,\but I have a long way to go. response:	It's your first time trying it, so that's only to be expected.
context: What's that?\Let's go! We shouldn't get involved.\Faster!\Morning. What's wrong?\I was training on my own yesterday and got a little too caught up in it.\I tried to digest what you said to me and put it into practice,\but I have a long way to go.\It's your first time trying it, so that's only to be expected. response:	It can't be helped.
context: Let's go! We shouldn't get involved.\Faster!\Morning. What's wrong?\I was training on my own yesterday and got a little too caught up in it.\I tried to digest what you said to me and put it into practice,\but I have a long way to go.\It's your first time trying it, so that's only to be expected.\It can't be helped. response:	It's hard to get that kind of thinking from All Might.
context: Faster!\Morning. What's wrong?\I was training on my own yesterday and got a little too caught up in it.\I tried to digest what you said to me and put it into practice,\but I have a long way to go.\It's your first time trying it, so that's only to be expected.\It can't be helped.\It's hard to get that kind of thinking from All Might. response:	Since he was able to use it normally from the start,
context: Morning. What's wrong?\I was training on my own yesterday and got a little too caught up in it.\I tried to digest what you said to me and put it into practice,\but I have a long way to go.\It's your first time trying it, so that's only to be expected.\It can't be helped.\It's hard to get that kind of thinking from All Might.\Since he was able to use it normally from the start, response:	I taught him in a different way.
context: I was training on my own yesterday and got a little too caught up in it.\I tried to digest what you said to me and put it into practice,\but I have a long way to go.\It's your first time trying it, so that's only to be expected.\It can't be helped.\It's hard to get that kind of thinking from All Might.\Since he was able to use it normally from the start,\I taught him in a different way. response:	His only redeeming feature was his body.
context: I tried to digest what you said to me and put it into practice,\but I have a long way to go.\It's your first time trying it, so that's only to be expected.\It can't be helped.\It's hard to get that kind of thinking from All Might.\Since he was able to use it normally from the start,\I taught him in a different way.\His only redeeming feature was his body. response:	All Might as a student?
context: but I have a long way to go.\It's your first time trying it, so that's only to be expected.\It can't be helped.\It's hard to get that kind of thinking from All Might.\Since he was able to use it normally from the start,\I taught him in a different way.\His only redeeming feature was his body.\All Might as a student? response:	What was he like?!
context: It's your first time trying it, so that's only to be expected.\It can't be helped.\It's hard to get that kind of thinking from All Might.\Since he was able to use it normally from the start,\I taught him in a different way.\His only redeeming feature was his body.\All Might as a student?\What was he like?! response:	Hm? Oh...
context: It can't be helped.\It's hard to get that kind of thinking from All Might.\Since he was able to use it normally from the start,\I taught him in a different way.\His only redeeming feature was his body.\All Might as a student?\What was he like?!\Hm? Oh... response:	It was nothing but practical training for him.
context: It's hard to get that kind of thinking from All Might.\Since he was able to use it normally from the start,\I taught him in a different way.\His only redeeming feature was his body.\All Might as a student?\What was he like?!\Hm? Oh...\It was nothing but practical training for him. response:	That's why he was so scared of you...!
context: Since he was able to use it normally from the start,\I taught him in a different way.\His only redeeming feature was his body.\All Might as a student?\What was he like?!\Hm? Oh...\It was nothing but practical training for him.\That's why he was so scared of you...! response:	I couldn't teach him half-heartedly
context: I taught him in a different way.\His only redeeming feature was his body.\All Might as a student?\What was he like?!\Hm? Oh...\It was nothing but practical training for him.\That's why he was so scared of you...!\I couldn't teach him half-heartedly response:	because he was the man entrusted to me by my sworn friend, who had passed away.
context: His only redeeming feature was his body.\All Might as a student?\What was he like?!\Hm? Oh...\It was nothing but practical training for him.\That's why he was so scared of you...!\I couldn't teach him half-heartedly\because he was the man entrusted to me by my sworn friend, who had passed away. response:	What? All Might's predecessor passed away?
context: All Might as a student?\What was he like?!\Hm? Oh...\It was nothing but practical training for him.\That's why he was so scared of you...!\I couldn't teach him half-heartedly\because he was the man entrusted to me by my sworn friend, who had passed away.\What? All Might's predecessor passed away? response:	Huh?
context: What was he like?!\Hm? Oh...\It was nothing but practical training for him.\That's why he was so scared of you...!\I couldn't teach him half-heartedly\because he was the man entrusted to me by my sworn friend, who had passed away.\What? All Might's predecessor passed away?\Huh? response:	Delivery!
context: Hm? Oh...\It was nothing but practical training for him.\That's why he was so scared of you...!\I couldn't teach him half-heartedly\because he was the man entrusted to me by my sworn friend, who had passed away.\What? All Might's predecessor passed away?\Huh?\Delivery! response:	Oh, I'll get it.
context: It was nothing but practical training for him.\That's why he was so scared of you...!\I couldn't teach him half-heartedly\because he was the man entrusted to me by my sworn friend, who had passed away.\What? All Might's predecessor passed away?\Huh?\Delivery!\Oh, I'll get it. response:	You haven't told him about the seventh holder, Toshinori?
context: That's why he was so scared of you...!\I couldn't teach him half-heartedly\because he was the man entrusted to me by my sworn friend, who had passed away.\What? All Might's predecessor passed away?\Huh?\Delivery!\Oh, I'll get it.\You haven't told him about the seventh holder, Toshinori? response:	Thanks for your hard work!
context: I couldn't teach him half-heartedly\because he was the man entrusted to me by my sworn friend, who had passed away.\What? All Might's predecessor passed away?\Huh?\Delivery!\Oh, I'll get it.\You haven't told him about the seventh holder, Toshinori?\Thanks for your hard work! response:	A microwave?!
context: because he was the man entrusted to me by my sworn friend, who had passed away.\What? All Might's predecessor passed away?\Huh?\Delivery!\Oh, I'll get it.\You haven't told him about the seventh holder, Toshinori?\Thanks for your hard work!\A microwave?! response:	For some reason, it broke yesterday!
context: What? All Might's predecessor passed away?\Huh?\Delivery!\Oh, I'll get it.\You haven't told him about the seventh holder, Toshinori?\Thanks for your hard work!\A microwave?!\For some reason, it broke yesterday! response:	So I used expedited delivery.
context: Huh?\Delivery!\Oh, I'll get it.\You haven't told him about the seventh holder, Toshinori?\Thanks for your hard work!\A microwave?!\For some reason, it broke yesterday!\So I used expedited delivery. response:	I can't tell if he's serious or faking it...
context: Delivery!\Oh, I'll get it.\You haven't told him about the seventh holder, Toshinori?\Thanks for your hard work!\A microwave?!\For some reason, it broke yesterday!\So I used expedited delivery.\I can't tell if he's serious or faking it... response:	All right, kid! We're gonna eat those frozen taiyaki I bought yesterday.
context: Oh, I'll get it.\You haven't told him about the seventh holder, Toshinori?\Thanks for your hard work!\A microwave?!\For some reason, it broke yesterday!\So I used expedited delivery.\I can't tell if he's serious or faking it...\All right, kid! We're gonna eat those frozen taiyaki I bought yesterday. response:	Get ready!
context: You haven't told him about the seventh holder, Toshinori?\Thanks for your hard work!\A microwave?!\For some reason, it broke yesterday!\So I used expedited delivery.\I can't tell if he's serious or faking it...\All right, kid! We're gonna eat those frozen taiyaki I bought yesterday.\Get ready! response:	We're having taiyaki for breakfast?
context: Thanks for your hard work!\A microwave?!\For some reason, it broke yesterday!\So I used expedited delivery.\I can't tell if he's serious or faking it...\All right, kid! We're gonna eat those frozen taiyaki I bought yesterday.\Get ready!\We're having taiyaki for breakfast? response:	I like sweets!
context: A microwave?!\For some reason, it broke yesterday!\So I used expedited delivery.\I can't tell if he's serious or faking it...\All right, kid! We're gonna eat those frozen taiyaki I bought yesterday.\Get ready!\We're having taiyaki for breakfast?\I like sweets! response:	To use One For All like I'm breathing...
context: For some reason, it broke yesterday!\So I used expedited delivery.\I can't tell if he's serious or faking it...\All right, kid! We're gonna eat those frozen taiyaki I bought yesterday.\Get ready!\We're having taiyaki for breakfast?\I like sweets!\To use One For All like I'm breathing... response:	Thinking about it objectively,
context: So I used expedited delivery.\I can't tell if he's serious or faking it...\All right, kid! We're gonna eat those frozen taiyaki I bought yesterday.\Get ready!\We're having taiyaki for breakfast?\I like sweets!\To use One For All like I'm breathing...\Thinking about it objectively, response:	I have to catch up to the feeling everyone else had fifteen years to cultivate.
context: I can't tell if he's serious or faking it...\All right, kid! We're gonna eat those frozen taiyaki I bought yesterday.\Get ready!\We're having taiyaki for breakfast?\I like sweets!\To use One For All like I'm breathing...\Thinking about it objectively,\I have to catch up to the feeling everyone else had fifteen years to cultivate. response:	Time waits for no one.
context: All right, kid! We're gonna eat those frozen taiyaki I bought yesterday.\Get ready!\We're having taiyaki for breakfast?\I like sweets!\To use One For All like I'm breathing...\Thinking about it objectively,\I have to catch up to the feeling everyone else had fifteen years to cultivate.\Time waits for no one. response:	At this rate, in order to draw out more than 5 of my power,
context: Get ready!\We're having taiyaki for breakfast?\I like sweets!\To use One For All like I'm breathing...\Thinking about it objectively,\I have to catch up to the feeling everyone else had fifteen years to cultivate.\Time waits for no one.\At this rate, in order to draw out more than 5 of my power, response:	I'll need as long as it'd take to build up my body.
context: We're having taiyaki for breakfast?\I like sweets!\To use One For All like I'm breathing...\Thinking about it objectively,\I have to catch up to the feeling everyone else had fifteen years to cultivate.\Time waits for no one.\At this rate, in order to draw out more than 5 of my power,\I'll need as long as it'd take to build up my body. response:	Yeah, this is it! Get it while it's hot!
context: I like sweets!\To use One For All like I'm breathing...\Thinking about it objectively,\I have to catch up to the feeling everyone else had fifteen years to cultivate.\Time waits for no one.\At this rate, in order to draw out more than 5 of my power,\I'll need as long as it'd take to build up my body.\Yeah, this is it! Get it while it's hot! response:	My time is limited...
context: To use One For All like I'm breathing...\Thinking about it objectively,\I have to catch up to the feeling everyone else had fifteen years to cultivate.\Time waits for no one.\At this rate, in order to draw out more than 5 of my power,\I'll need as long as it'd take to build up my body.\Yeah, this is it! Get it while it's hot!\My time is limited... response:	What should I do...?
context: Thinking about it objectively,\I have to catch up to the feeling everyone else had fifteen years to cultivate.\Time waits for no one.\At this rate, in order to draw out more than 5 of my power,\I'll need as long as it'd take to build up my body.\Yeah, this is it! Get it while it's hot!\My time is limited...\What should I do...? response:	Why the long face?
context: I have to catch up to the feeling everyone else had fifteen years to cultivate.\Time waits for no one.\At this rate, in order to draw out more than 5 of my power,\I'll need as long as it'd take to build up my body.\Yeah, this is it! Get it while it's hot!\My time is limited...\What should I do...?\Why the long face? response:	For now, just eat a piping hot taiyaki and-
context: Time waits for no one.\At this rate, in order to draw out more than 5 of my power,\I'll need as long as it'd take to build up my body.\Yeah, this is it! Get it while it's hot!\My time is limited...\What should I do...?\Why the long face?\For now, just eat a piping hot taiyaki and- response:	It's cold!
context: At this rate, in order to draw out more than 5 of my power,\I'll need as long as it'd take to build up my body.\Yeah, this is it! Get it while it's hot!\My time is limited...\What should I do...?\Why the long face?\For now, just eat a piping hot taiyaki and-\It's cold! response:	What? No way!
context: I'll need as long as it'd take to build up my body.\Yeah, this is it! Get it while it's hot!\My time is limited...\What should I do...?\Why the long face?\For now, just eat a piping hot taiyaki and-\It's cold!\What? No way! response:	I microwaved it on defrost, though...
context: Yeah, this is it! Get it while it's hot!\My time is limited...\What should I do...?\Why the long face?\For now, just eat a piping hot taiyaki and-\It's cold!\What? No way!\I microwaved it on defrost, though... response:	Are you an idiot? You stuck a huge plate in, didn't you?
context: My time is limited...\What should I do...?\Why the long face?\For now, just eat a piping hot taiyaki and-\It's cold!\What? No way!\I microwaved it on defrost, though...\Are you an idiot? You stuck a huge plate in, didn't you? response:	If you force a plate in like that, it won't turn,
context: What should I do...?\Why the long face?\For now, just eat a piping hot taiyaki and-\It's cold!\What? No way!\I microwaved it on defrost, though...\Are you an idiot? You stuck a huge plate in, didn't you?\If you force a plate in like that, it won't turn, response:	so only part of it will get hot.
context: Why the long face?\For now, just eat a piping hot taiyaki and-\It's cold!\What? No way!\I microwaved it on defrost, though...\Are you an idiot? You stuck a huge plate in, didn't you?\If you force a plate in like that, it won't turn,\so only part of it will get hot. response:	Is this your first time using a microwave?!
context: For now, just eat a piping hot taiyaki and-\It's cold!\What? No way!\I microwaved it on defrost, though...\Are you an idiot? You stuck a huge plate in, didn't you?\If you force a plate in like that, it won't turn,\so only part of it will get hot.\Is this your first time using a microwave?! response:	Growl
context: It's cold!\What? No way!\I microwaved it on defrost, though...\Are you an idiot? You stuck a huge plate in, didn't you?\If you force a plate in like that, it won't turn,\so only part of it will get hot.\Is this your first time using a microwave?!\Growl response:	Oh, ours wasn't the turning type...
context: What? No way!\I microwaved it on defrost, though...\Are you an idiot? You stuck a huge plate in, didn't you?\If you force a plate in like that, it won't turn,\so only part of it will get hot.\Is this your first time using a microwave?!\Growl\Oh, ours wasn't the turning type... response:	I'm sorr-
context: I microwaved it on defrost, though...\Are you an idiot? You stuck a huge plate in, didn't you?\If you force a plate in like that, it won't turn,\so only part of it will get hot.\Is this your first time using a microwave?!\Growl\Oh, ours wasn't the turning type...\I'm sorr- response:	I've got it!
context: Are you an idiot? You stuck a huge plate in, didn't you?\If you force a plate in like that, it won't turn,\so only part of it will get hot.\Is this your first time using a microwave?!\Growl\Oh, ours wasn't the turning type...\I'm sorr-\I've got it! response:	G-Gran Torino!
context: If you force a plate in like that, it won't turn,\so only part of it will get hot.\Is this your first time using a microwave?!\Growl\Oh, ours wasn't the turning type...\I'm sorr-\I've got it!\G-Gran Torino! response:	This-
context: so only part of it will get hot.\Is this your first time using a microwave?!\Growl\Oh, ours wasn't the turning type...\I'm sorr-\I've got it!\G-Gran Torino!\This- response:	This taiyaki is... me!
context: Is this your first time using a microwave?!\Growl\Oh, ours wasn't the turning type...\I'm sorr-\I've got it!\G-Gran Torino!\This-\This taiyaki is... me! response:	No, it's not. Are you okay?
context: Growl\Oh, ours wasn't the turning type...\I'm sorr-\I've got it!\G-Gran Torino!\This-\This taiyaki is... me!\No, it's not. Are you okay? response:	Oh, no, that's not what I meant.
context: Oh, ours wasn't the turning type...\I'm sorr-\I've got it!\G-Gran Torino!\This-\This taiyaki is... me!\No, it's not. Are you okay?\Oh, no, that's not what I meant. response:	It's just, I get it now.
context: I'm sorr-\I've got it!\G-Gran Torino!\This-\This taiyaki is... me!\No, it's not. Are you okay?\Oh, no, that's not what I meant.\It's just, I get it now. response:	Up until now, I've insisted on using One For All.
context: I've got it!\G-Gran Torino!\This-\This taiyaki is... me!\No, it's not. Are you okay?\Oh, no, that's not what I meant.\It's just, I get it now.\Up until now, I've insisted on using One For All. response:	Using it when I need it, in the places that need it.
context: G-Gran Torino!\This-\This taiyaki is... me!\No, it's not. Are you okay?\Oh, no, that's not what I meant.\It's just, I get it now.\Up until now, I've insisted on using One For All.\Using it when I need it, in the places that need it. response:	Like flipping on a switch.
context: This-\This taiyaki is... me!\No, it's not. Are you okay?\Oh, no, that's not what I meant.\It's just, I get it now.\Up until now, I've insisted on using One For All.\Using it when I need it, in the places that need it.\Like flipping on a switch. response:	But with that, my reaction time got slower and slower with the second and third moves.
context: This taiyaki is... me!\No, it's not. Are you okay?\Oh, no, that's not what I meant.\It's just, I get it now.\Up until now, I've insisted on using One For All.\Using it when I need it, in the places that need it.\Like flipping on a switch.\But with that, my reaction time got slower and slower with the second and third moves. response:	If that's the case, then I should've turned the switch on throughout from the beginning!
context: No, it's not. Are you okay?\Oh, no, that's not what I meant.\It's just, I get it now.\Up until now, I've insisted on using One For All.\Using it when I need it, in the places that need it.\Like flipping on a switch.\But with that, my reaction time got slower and slower with the second and third moves.\If that's the case, then I should've turned the switch on throughout from the beginning! response:	Imagining the heat that used to only be in one place...
context: Oh, no, that's not what I meant.\It's just, I get it now.\Up until now, I've insisted on using One For All.\Using it when I need it, in the places that need it.\Like flipping on a switch.\But with that, my reaction time got slower and slower with the second and third moves.\If that's the case, then I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place... response:	It didn't take him long to figure that out.
context: It's just, I get it now.\Up until now, I've insisted on using One For All.\Using it when I need it, in the places that need it.\Like flipping on a switch.\But with that, my reaction time got slower and slower with the second and third moves.\If that's the case, then I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\It didn't take him long to figure that out. response:	In my whole body, continuously!
context: Up until now, I've insisted on using One For All.\Using it when I need it, in the places that need it.\Like flipping on a switch.\But with that, my reaction time got slower and slower with the second and third moves.\If that's the case, then I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\It didn't take him long to figure that out.\In my whole body, continuously! response:	To the upper limit of what my body will allow-5!
context: Using it when I need it, in the places that need it.\Like flipping on a switch.\But with that, my reaction time got slower and slower with the second and third moves.\If that's the case, then I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\It didn't take him long to figure that out.\In my whole body, continuously!\To the upper limit of what my body will allow-5! response:	To visualize a taiyaki in a microwave is really boring. You okay with that?
context: Like flipping on a switch.\But with that, my reaction time got slower and slower with the second and third moves.\If that's the case, then I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\It didn't take him long to figure that out.\In my whole body, continuously!\To the upper limit of what my body will allow-5!\To visualize a taiyaki in a microwave is really boring. You okay with that? response:	All Might's already said... that's fine...!
context: But with that, my reaction time got slower and slower with the second and third moves.\If that's the case, then I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\It didn't take him long to figure that out.\In my whole body, continuously!\To the upper limit of what my body will allow-5!\To visualize a taiyaki in a microwave is really boring. You okay with that?\All Might's already said... that's fine...! response:	Can you move in that state?
context: If that's the case, then I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\It didn't take him long to figure that out.\In my whole body, continuously!\To the upper limit of what my body will allow-5!\To visualize a taiyaki in a microwave is really boring. You okay with that?\All Might's already said... that's fine...!\Can you move in that state? response:	I don't... know...
context: Imagining the heat that used to only be in one place...\It didn't take him long to figure that out.\In my whole body, continuously!\To the upper limit of what my body will allow-5!\To visualize a taiyaki in a microwave is really boring. You okay with that?\All Might's already said... that's fine...!\Can you move in that state?\I don't... know... response:	Wanna give it a try?
context: It didn't take him long to figure that out.\In my whole body, continuously!\To the upper limit of what my body will allow-5!\To visualize a taiyaki in a microwave is really boring. You okay with that?\All Might's already said... that's fine...!\Can you move in that state?\I don't... know...\Wanna give it a try? response:	Yes.
context: In my whole body, continuously!\To the upper limit of what my body will allow-5!\To visualize a taiyaki in a microwave is really boring. You okay with that?\All Might's already said... that's fine...!\Can you move in that state?\I don't... know...\Wanna give it a try?\Yes. response:	Please!
context: To the upper limit of what my body will allow-5!\To visualize a taiyaki in a microwave is really boring. You okay with that?\All Might's already said... that's fine...!\Can you move in that state?\I don't... know...\Wanna give it a try?\Yes.\Please! response:	Preview
context: To visualize a taiyaki in a microwave is really boring. You okay with that?\All Might's already said... that's fine...!\Can you move in that state?\I don't... know...\Wanna give it a try?\Yes.\Please!\Preview response:	You finally called me for the preview, huh?
context: All Might's already said... that's fine...!\Can you move in that state?\I don't... know...\Wanna give it a try?\Yes.\Please!\Preview\You finally called me for the preview, huh? response:	T-Tomura Shigaraki!
context: Can you move in that state?\I don't... know...\Wanna give it a try?\Yes.\Please!\Preview\You finally called me for the preview, huh?\T-Tomura Shigaraki! response:	It took a long time, don't you think, Midoriya?
context: I don't... know...\Wanna give it a try?\Yes.\Please!\Preview\You finally called me for the preview, huh?\T-Tomura Shigaraki!\It took a long time, don't you think, Midoriya? response:	I don't have anything to do with-
context: Wanna give it a try?\Yes.\Please!\Preview\You finally called me for the preview, huh?\T-Tomura Shigaraki!\It took a long time, don't you think, Midoriya?\I don't have anything to do with- response:	Then, starting this week, I'll be in charge of all the previews.
context: Yes.\Please!\Preview\You finally called me for the preview, huh?\T-Tomura Shigaraki!\It took a long time, don't you think, Midoriya?\I don't have anything to do with-\Then, starting this week, I'll be in charge of all the previews. response:	Help! All Might!
context: Please!\Preview\You finally called me for the preview, huh?\T-Tomura Shigaraki!\It took a long time, don't you think, Midoriya?\I don't have anything to do with-\Then, starting this week, I'll be in charge of all the previews.\Help! All Might! response:	Next time, Midoriya and Shigaraki.
context: Preview\You finally called me for the preview, huh?\T-Tomura Shigaraki!\It took a long time, don't you think, Midoriya?\I don't have anything to do with-\Then, starting this week, I'll be in charge of all the previews.\Help! All Might!\Next time, Midoriya and Shigaraki. response:	The League of Villains goes wild.
context: You finally called me for the preview, huh?\T-Tomura Shigaraki!\It took a long time, don't you think, Midoriya?\I don't have anything to do with-\Then, starting this week, I'll be in charge of all the previews.\Help! All Might!\Next time, Midoriya and Shigaraki.\The League of Villains goes wild. response:	I'll crush all of you, whether you're a hero, or a hero killer!
context: T-Tomura Shigaraki!\It took a long time, don't you think, Midoriya?\I don't have anything to do with-\Then, starting this week, I'll be in charge of all the previews.\Help! All Might!\Next time, Midoriya and Shigaraki.\The League of Villains goes wild.\I'll crush all of you, whether you're a hero, or a hero killer! response:	Go beyond!
context: It took a long time, don't you think, Midoriya?\I don't have anything to do with-\Then, starting this week, I'll be in charge of all the previews.\Help! All Might!\Next time, Midoriya and Shigaraki.\The League of Villains goes wild.\I'll crush all of you, whether you're a hero, or a hero killer!\Go beyond! response:	Midoriya and Shigaraki
context: I don't have anything to do with-\Then, starting this week, I'll be in charge of all the previews.\Help! All Might!\Next time, Midoriya and Shigaraki.\The League of Villains goes wild.\I'll crush all of you, whether you're a hero, or a hero killer!\Go beyond!\Midoriya and Shigaraki response:	I won't go.
context: Then, starting this week, I'll be in charge of all the previews.\Help! All Might!\Next time, Midoriya and Shigaraki.\The League of Villains goes wild.\I'll crush all of you, whether you're a hero, or a hero killer!\Go beyond!\Midoriya and Shigaraki\I won't go. response:	Go beyond!
context: Help! All Might!\Next time, Midoriya and Shigaraki.\The League of Villains goes wild.\I'll crush all of you, whether you're a hero, or a hero killer!\Go beyond!\Midoriya and Shigaraki\I won't go.\Go beyond! response:	I won't go.
