context: How's it going, Lucy-neesan? Have you found the ancient letters? response:	Nope. I'm not having any luck at all...
context: It's the hand of a clock!\Does it still hurt?\This is nothin'!\Ow...\Where did that bastard Gajeel hide?!\Macao and the others are searching, but they may not be able to find him.\Has Gajeel come back?!\Hey! Gajeel! response:	Who are you people?
context: Does it still hurt?\This is nothin'!\Ow...\Where did that bastard Gajeel hide?!\Macao and the others are searching, but they may not be able to find him.\Has Gajeel come back?!\Hey! Gajeel!\Who are you people? response:	Who the hell's come to pick a fight with Fairy Tail?!
context: This is nothin'!\Ow...\Where did that bastard Gajeel hide?!\Macao and the others are searching, but they may not be able to find him.\Has Gajeel come back?!\Hey! Gajeel!\Who are you people?\Who the hell's come to pick a fight with Fairy Tail?! response:	Huh? Feels like I've seen them somewhere before...
context: Ow...\Where did that bastard Gajeel hide?!\Macao and the others are searching, but they may not be able to find him.\Has Gajeel come back?!\Hey! Gajeel!\Who are you people?\Who the hell's come to pick a fight with Fairy Tail?!\Huh? Feels like I've seen them somewhere before... response:	Jeez, Natsu, you've got bad eyes!
context: Where did that bastard Gajeel hide?!\Macao and the others are searching, but they may not be able to find him.\Has Gajeel come back?!\Hey! Gajeel!\Who are you people?\Who the hell's come to pick a fight with Fairy Tail?!\Huh? Feels like I've seen them somewhere before...\Jeez, Natsu, you've got bad eyes! response:	These guys were in Edolas!
context: Macao and the others are searching, but they may not be able to find him.\Has Gajeel come back?!\Hey! Gajeel!\Who are you people?\Who the hell's come to pick a fight with Fairy Tail?!\Huh? Feels like I've seen them somewhere before...\Jeez, Natsu, you've got bad eyes!\These guys were in Edolas! response:	Really? They looked like this?
context: Has Gajeel come back?!\Hey! Gajeel!\Who are you people?\Who the hell's come to pick a fight with Fairy Tail?!\Huh? Feels like I've seen them somewhere before...\Jeez, Natsu, you've got bad eyes!\These guys were in Edolas!\Really? They looked like this? response:	Huh? Now that you mention it, they do seem kind of different...
context: Hey! Gajeel!\Who are you people?\Who the hell's come to pick a fight with Fairy Tail?!\Huh? Feels like I've seen them somewhere before...\Jeez, Natsu, you've got bad eyes!\These guys were in Edolas!\Really? They looked like this?\Huh? Now that you mention it, they do seem kind of different... response:	Your eyes are bad too, Happy!
context: Who are you people?\Who the hell's come to pick a fight with Fairy Tail?!\Huh? Feels like I've seen them somewhere before...\Jeez, Natsu, you've got bad eyes!\These guys were in Edolas!\Really? They looked like this?\Huh? Now that you mention it, they do seem kind of different...\Your eyes are bad too, Happy! response:	Next time: Targeted Lucy!
context: Who the hell's come to pick a fight with Fairy Tail?!\Huh? Feels like I've seen them somewhere before...\Jeez, Natsu, you've got bad eyes!\These guys were in Edolas!\Really? They looked like this?\Huh? Now that you mention it, they do seem kind of different...\Your eyes are bad too, Happy!\Next time: Targeted Lucy! response:	It looks like they're after Lucy!
context: Huh? Feels like I've seen them somewhere before...\Jeez, Natsu, you've got bad eyes!\These guys were in Edolas!\Really? They looked like this?\Huh? Now that you mention it, they do seem kind of different...\Your eyes are bad too, Happy!\Next time: Targeted Lucy!\It looks like they're after Lucy! response:	She gets targeted a lot. Why is that?
context: Jeez, Natsu, you've got bad eyes!\These guys were in Edolas!\Really? They looked like this?\Huh? Now that you mention it, they do seem kind of different...\Your eyes are bad too, Happy!\Next time: Targeted Lucy!\It looks like they're after Lucy!\She gets targeted a lot. Why is that? response:	She's probably behind on her rent or something!
