context: Once upon a time, a witch's curse put a princess into an eternal sleep, response:	and one young man appeared, intending to awake her.
context: Why?\I returned a shard of his heart...\What's going to happen to Mytho?\Why was Mytho suffering?\Why was Mytho crying?\I just wanted Mytho to smile.\That was all...\Was it bad? response:	Am I wrong?
context: I returned a shard of his heart...\What's going to happen to Mytho?\Why was Mytho suffering?\Why was Mytho crying?\I just wanted Mytho to smile.\That was all...\Was it bad?\Am I wrong? response:	Have I been... doing something terrible... to Mytho?
context: What's going to happen to Mytho?\Why was Mytho suffering?\Why was Mytho crying?\I just wanted Mytho to smile.\That was all...\Was it bad?\Am I wrong?\Have I been... doing something terrible... to Mytho? response:	That's right, this is how the story moves along.
context: Why was Mytho suffering?\Why was Mytho crying?\I just wanted Mytho to smile.\That was all...\Was it bad?\Am I wrong?\Have I been... doing something terrible... to Mytho?\That's right, this is how the story moves along. response:	In the direction most undesirable for all concerned.
context: Why was Mytho crying?\I just wanted Mytho to smile.\That was all...\Was it bad?\Am I wrong?\Have I been... doing something terrible... to Mytho?\That's right, this is how the story moves along.\In the direction most undesirable for all concerned. response:	Being Princess Tutu is meaningless. I could quit and...
context: I just wanted Mytho to smile.\That was all...\Was it bad?\Am I wrong?\Have I been... doing something terrible... to Mytho?\That's right, this is how the story moves along.\In the direction most undesirable for all concerned.\Being Princess Tutu is meaningless. I could quit and... response:	I've always only had eyes for Mytho.
context: That was all...\Was it bad?\Am I wrong?\Have I been... doing something terrible... to Mytho?\That's right, this is how the story moves along.\In the direction most undesirable for all concerned.\Being Princess Tutu is meaningless. I could quit and...\I've always only had eyes for Mytho. response:	I'm still far from having loved him enough.
context: Was it bad?\Am I wrong?\Have I been... doing something terrible... to Mytho?\That's right, this is how the story moves along.\In the direction most undesirable for all concerned.\Being Princess Tutu is meaningless. I could quit and...\I've always only had eyes for Mytho.\I'm still far from having loved him enough. response:	I'll never appear before you again, so rest easy.
context: Am I wrong?\Have I been... doing something terrible... to Mytho?\That's right, this is how the story moves along.\In the direction most undesirable for all concerned.\Being Princess Tutu is meaningless. I could quit and...\I've always only had eyes for Mytho.\I'm still far from having loved him enough.\I'll never appear before you again, so rest easy. response:	This is the feeling of loneliness and the feeling of sorrow.
context: Have I been... doing something terrible... to Mytho?\That's right, this is how the story moves along.\In the direction most undesirable for all concerned.\Being Princess Tutu is meaningless. I could quit and...\I've always only had eyes for Mytho.\I'm still far from having loved him enough.\I'll never appear before you again, so rest easy.\This is the feeling of loneliness and the feeling of sorrow. response:	Who are you?
context: That's right, this is how the story moves along.\In the direction most undesirable for all concerned.\Being Princess Tutu is meaningless. I could quit and...\I've always only had eyes for Mytho.\I'm still far from having loved him enough.\I'll never appear before you again, so rest easy.\This is the feeling of loneliness and the feeling of sorrow.\Who are you? response:	Princess Kraehe.
context: In the direction most undesirable for all concerned.\Being Princess Tutu is meaningless. I could quit and...\I've always only had eyes for Mytho.\I'm still far from having loved him enough.\I'll never appear before you again, so rest easy.\This is the feeling of loneliness and the feeling of sorrow.\Who are you?\Princess Kraehe. response:	I see, so... you've finally appeared.
context: Being Princess Tutu is meaningless. I could quit and...\I've always only had eyes for Mytho.\I'm still far from having loved him enough.\I'll never appear before you again, so rest easy.\This is the feeling of loneliness and the feeling of sorrow.\Who are you?\Princess Kraehe.\I see, so... you've finally appeared. response:	I will not give you anything. I will not allow you to do anything.
context: I've always only had eyes for Mytho.\I'm still far from having loved him enough.\I'll never appear before you again, so rest easy.\This is the feeling of loneliness and the feeling of sorrow.\Who are you?\Princess Kraehe.\I see, so... you've finally appeared.\I will not give you anything. I will not allow you to do anything. response:	All you children who love stories, come gather around.
context: I'm still far from having loved him enough.\I'll never appear before you again, so rest easy.\This is the feeling of loneliness and the feeling of sorrow.\Who are you?\Princess Kraehe.\I see, so... you've finally appeared.\I will not give you anything. I will not allow you to do anything.\All you children who love stories, come gather around. response:	The Crow Princess
context: I'll never appear before you again, so rest easy.\This is the feeling of loneliness and the feeling of sorrow.\Who are you?\Princess Kraehe.\I see, so... you've finally appeared.\I will not give you anything. I will not allow you to do anything.\All you children who love stories, come gather around.\The Crow Princess response:	The voice calling, come now, wake up
context: This is the feeling of loneliness and the feeling of sorrow.\Who are you?\Princess Kraehe.\I see, so... you've finally appeared.\I will not give you anything. I will not allow you to do anything.\All you children who love stories, come gather around.\The Crow Princess\The voice calling, come now, wake up response:	Wiping a tearstained face
context: Who are you?\Princess Kraehe.\I see, so... you've finally appeared.\I will not give you anything. I will not allow you to do anything.\All you children who love stories, come gather around.\The Crow Princess\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
context: Princess Kraehe.\I see, so... you've finally appeared.\I will not give you anything. I will not allow you to do anything.\All you children who love stories, come gather around.\The Crow Princess\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: I see, so... you've finally appeared.\I will not give you anything. I will not allow you to do anything.\All you children who love stories, come gather around.\The Crow Princess\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: I will not give you anything. I will not allow you to do anything.\All you children who love stories, come gather around.\The Crow Princess\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: All you children who love stories, come gather around.\The Crow Princess\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: The Crow Princess\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
context: The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight response:	I loved like I was dreaming
context: By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming response:	It swells... My heart swells
context: Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
