context: From the news chopper to the studio- response:	I'm reporting live from the skies of Hosu City!
context: But he had already been tied up, so what was it...?\The pressure I felt from him was probably his strong ideology...\I'm not saying this to praise him,\but it's the same quality as that Symbol of Peace thing you have.\The same quality...\To put it simply, it's charisma.\Hero Killer: Stain's Ideology\As the investigation continues, his ideology and opinion will be all over the media- response:	online news, TV, magazines...
context: The pressure I felt from him was probably his strong ideology...\I'm not saying this to praise him,\but it's the same quality as that Symbol of Peace thing you have.\The same quality...\To put it simply, it's charisma.\Hero Killer: Stain's Ideology\As the investigation continues, his ideology and opinion will be all over the media-\online news, TV, magazines... response:	The current age, for better or worse, is one of suppression.
context: I'm not saying this to praise him,\but it's the same quality as that Symbol of Peace thing you have.\The same quality...\To put it simply, it's charisma.\Hero Killer: Stain's Ideology\As the investigation continues, his ideology and opinion will be all over the media-\online news, TV, magazines...\The current age, for better or worse, is one of suppression. response:	People influenced by his ideas will definitely appear.
context: but it's the same quality as that Symbol of Peace thing you have.\The same quality...\To put it simply, it's charisma.\Hero Killer: Stain's Ideology\As the investigation continues, his ideology and opinion will be all over the media-\online news, TV, magazines...\The current age, for better or worse, is one of suppression.\People influenced by his ideas will definitely appear. response:	It's true that there will be those influenced by him,
context: The same quality...\To put it simply, it's charisma.\Hero Killer: Stain's Ideology\As the investigation continues, his ideology and opinion will be all over the media-\online news, TV, magazines...\The current age, for better or worse, is one of suppression.\People influenced by his ideas will definitely appear.\It's true that there will be those influenced by him, response:	but they will probably appear sporadically.
context: To put it simply, it's charisma.\Hero Killer: Stain's Ideology\As the investigation continues, his ideology and opinion will be all over the media-\online news, TV, magazines...\The current age, for better or worse, is one of suppression.\People influenced by his ideas will definitely appear.\It's true that there will be those influenced by him,\but they will probably appear sporadically. response:	When they appear one by one, heroes will take care of them like they did this time.
context: Hero Killer: Stain's Ideology\As the investigation continues, his ideology and opinion will be all over the media-\online news, TV, magazines...\The current age, for better or worse, is one of suppression.\People influenced by his ideas will definitely appear.\It's true that there will be those influenced by him,\but they will probably appear sporadically.\When they appear one by one, heroes will take care of them like they did this time. response:	That's where the League of Villains comes in.
context: As the investigation continues, his ideology and opinion will be all over the media-\online news, TV, magazines...\The current age, for better or worse, is one of suppression.\People influenced by his ideas will definitely appear.\It's true that there will be those influenced by him,\but they will probably appear sporadically.\When they appear one by one, heroes will take care of them like they did this time.\That's where the League of Villains comes in. response:	The Hosu incident suggests that Stain and the League are connected somehow.
context: online news, TV, magazines...\The current age, for better or worse, is one of suppression.\People influenced by his ideas will definitely appear.\It's true that there will be those influenced by him,\but they will probably appear sporadically.\When they appear one by one, heroes will take care of them like they did this time.\That's where the League of Villains comes in.\The Hosu incident suggests that Stain and the League are connected somehow. response:	With this,
context: The current age, for better or worse, is one of suppression.\People influenced by his ideas will definitely appear.\It's true that there will be those influenced by him,\but they will probably appear sporadically.\When they appear one by one, heroes will take care of them like they did this time.\That's where the League of Villains comes in.\The Hosu incident suggests that Stain and the League are connected somehow.\With this, response:	the League will go from being thought of as a bunch of juvenile delinquents that attacked U.A.
context: People influenced by his ideas will definitely appear.\It's true that there will be those influenced by him,\but they will probably appear sporadically.\When they appear one by one, heroes will take care of them like they did this time.\That's where the League of Villains comes in.\The Hosu incident suggests that Stain and the League are connected somehow.\With this,\the League will go from being thought of as a bunch of juvenile delinquents that attacked U.A. response:	to being recognized as the group with that ideology.
context: It's true that there will be those influenced by him,\but they will probably appear sporadically.\When they appear one by one, heroes will take care of them like they did this time.\That's where the League of Villains comes in.\The Hosu incident suggests that Stain and the League are connected somehow.\With this,\the League will go from being thought of as a bunch of juvenile delinquents that attacked U.A.\to being recognized as the group with that ideology. response:	In other words, there's a receptacle ready to receive them.
context: but they will probably appear sporadically.\When they appear one by one, heroes will take care of them like they did this time.\That's where the League of Villains comes in.\The Hosu incident suggests that Stain and the League are connected somehow.\With this,\the League will go from being thought of as a bunch of juvenile delinquents that attacked U.A.\to being recognized as the group with that ideology.\In other words, there's a receptacle ready to receive them. response:	Even if the malice of each individual is small, if all that evil gathers under one will,
context: When they appear one by one, heroes will take care of them like they did this time.\That's where the League of Villains comes in.\The Hosu incident suggests that Stain and the League are connected somehow.\With this,\the League will go from being thought of as a bunch of juvenile delinquents that attacked U.A.\to being recognized as the group with that ideology.\In other words, there's a receptacle ready to receive them.\Even if the malice of each individual is small, if all that evil gathers under one will, response:	it will swell up to hundreds of times that.
context: That's where the League of Villains comes in.\The Hosu incident suggests that Stain and the League are connected somehow.\With this,\the League will go from being thought of as a bunch of juvenile delinquents that attacked U.A.\to being recognized as the group with that ideology.\In other words, there's a receptacle ready to receive them.\Even if the malice of each individual is small, if all that evil gathers under one will,\it will swell up to hundreds of times that. response:	If the enemy general knew this would happen from the beginning...
context: The Hosu incident suggests that Stain and the League are connected somehow.\With this,\the League will go from being thought of as a bunch of juvenile delinquents that attacked U.A.\to being recognized as the group with that ideology.\In other words, there's a receptacle ready to receive them.\Even if the malice of each individual is small, if all that evil gathers under one will,\it will swell up to hundreds of times that.\If the enemy general knew this would happen from the beginning... response:	He's steadily getting rid of obstacles,
context: With this,\the League will go from being thought of as a bunch of juvenile delinquents that attacked U.A.\to being recognized as the group with that ideology.\In other words, there's a receptacle ready to receive them.\Even if the malice of each individual is small, if all that evil gathers under one will,\it will swell up to hundreds of times that.\If the enemy general knew this would happen from the beginning...\He's steadily getting rid of obstacles, response:	trying to create conditions to further his own purpose.
context: the League will go from being thought of as a bunch of juvenile delinquents that attacked U.A.\to being recognized as the group with that ideology.\In other words, there's a receptacle ready to receive them.\Even if the malice of each individual is small, if all that evil gathers under one will,\it will swell up to hundreds of times that.\If the enemy general knew this would happen from the beginning...\He's steadily getting rid of obstacles,\trying to create conditions to further his own purpose. response:	When I heard from Tsukauchi that Nomu had multiple Quirks,
context: to being recognized as the group with that ideology.\In other words, there's a receptacle ready to receive them.\Even if the malice of each individual is small, if all that evil gathers under one will,\it will swell up to hundreds of times that.\If the enemy general knew this would happen from the beginning...\He's steadily getting rid of obstacles,\trying to create conditions to further his own purpose.\When I heard from Tsukauchi that Nomu had multiple Quirks, response:	I had a bad feeling...
context: In other words, there's a receptacle ready to receive them.\Even if the malice of each individual is small, if all that evil gathers under one will,\it will swell up to hundreds of times that.\If the enemy general knew this would happen from the beginning...\He's steadily getting rid of obstacles,\trying to create conditions to further his own purpose.\When I heard from Tsukauchi that Nomu had multiple Quirks,\I had a bad feeling... response:	The man who killed my sworn friend and your master,
context: Even if the malice of each individual is small, if all that evil gathers under one will,\it will swell up to hundreds of times that.\If the enemy general knew this would happen from the beginning...\He's steadily getting rid of obstacles,\trying to create conditions to further his own purpose.\When I heard from Tsukauchi that Nomu had multiple Quirks,\I had a bad feeling...\The man who killed my sworn friend and your master, response:	the previous One For All holder, Shimura, and opened that hole in your stomach...
context: it will swell up to hundreds of times that.\If the enemy general knew this would happen from the beginning...\He's steadily getting rid of obstacles,\trying to create conditions to further his own purpose.\When I heard from Tsukauchi that Nomu had multiple Quirks,\I had a bad feeling...\The man who killed my sworn friend and your master,\the previous One For All holder, Shimura, and opened that hole in your stomach... response:	All For One must be starting to move again.
context: If the enemy general knew this would happen from the beginning...\He's steadily getting rid of obstacles,\trying to create conditions to further his own purpose.\When I heard from Tsukauchi that Nomu had multiple Quirks,\I had a bad feeling...\The man who killed my sworn friend and your master,\the previous One For All holder, Shimura, and opened that hole in your stomach...\All For One must be starting to move again. response:	For him to have survived after that injury
context: He's steadily getting rid of obstacles,\trying to create conditions to further his own purpose.\When I heard from Tsukauchi that Nomu had multiple Quirks,\I had a bad feeling...\The man who killed my sworn friend and your master,\the previous One For All holder, Shimura, and opened that hole in your stomach...\All For One must be starting to move again.\For him to have survived after that injury response:	is a reality I don't want to believe.
context: trying to create conditions to further his own purpose.\When I heard from Tsukauchi that Nomu had multiple Quirks,\I had a bad feeling...\The man who killed my sworn friend and your master,\the previous One For All holder, Shimura, and opened that hole in your stomach...\All For One must be starting to move again.\For him to have survived after that injury\is a reality I don't want to believe. response:	Toshinori, that child admires you so bravely...
context: When I heard from Tsukauchi that Nomu had multiple Quirks,\I had a bad feeling...\The man who killed my sworn friend and your master,\the previous One For All holder, Shimura, and opened that hole in your stomach...\All For One must be starting to move again.\For him to have survived after that injury\is a reality I don't want to believe.\Toshinori, that child admires you so bravely... response:	You should find time to tell him properly
context: I had a bad feeling...\The man who killed my sworn friend and your master,\the previous One For All holder, Shimura, and opened that hole in your stomach...\All For One must be starting to move again.\For him to have survived after that injury\is a reality I don't want to believe.\Toshinori, that child admires you so bravely...\You should find time to tell him properly response:	about everything concerning you and One For All.
context: The man who killed my sworn friend and your master,\the previous One For All holder, Shimura, and opened that hole in your stomach...\All For One must be starting to move again.\For him to have survived after that injury\is a reality I don't want to believe.\Toshinori, that child admires you so bravely...\You should find time to tell him properly\about everything concerning you and One For All. response:	Two days after the Hosu incident,
context: the previous One For All holder, Shimura, and opened that hole in your stomach...\All For One must be starting to move again.\For him to have survived after that injury\is a reality I don't want to believe.\Toshinori, that child admires you so bravely...\You should find time to tell him properly\about everything concerning you and One For All.\Two days after the Hosu incident, response:	the hero killer's identity started being exposed from various angles.
context: All For One must be starting to move again.\For him to have survived after that injury\is a reality I don't want to believe.\Toshinori, that child admires you so bravely...\You should find time to tell him properly\about everything concerning you and One For All.\Two days after the Hosu incident,\the hero killer's identity started being exposed from various angles. response:	Recently, there've been less people willing to break the law.
context: For him to have survived after that injury\is a reality I don't want to believe.\Toshinori, that child admires you so bravely...\You should find time to tell him properly\about everything concerning you and One For All.\Two days after the Hosu incident,\the hero killer's identity started being exposed from various angles.\Recently, there've been less people willing to break the law. response:	My buddies are all complaining about not being able to sell anything.
context: is a reality I don't want to believe.\Toshinori, that child admires you so bravely...\You should find time to tell him properly\about everything concerning you and One For All.\Two days after the Hosu incident,\the hero killer's identity started being exposed from various angles.\Recently, there've been less people willing to break the law.\My buddies are all complaining about not being able to sell anything. response:	It's a pain.
context: Toshinori, that child admires you so bravely...\You should find time to tell him properly\about everything concerning you and One For All.\Two days after the Hosu incident,\the hero killer's identity started being exposed from various angles.\Recently, there've been less people willing to break the law.\My buddies are all complaining about not being able to sell anything.\It's a pain. response:	'Cause it's a serious crime to develop or sell support items and costumes without a license...
context: You should find time to tell him properly\about everything concerning you and One For All.\Two days after the Hosu incident,\the hero killer's identity started being exposed from various angles.\Recently, there've been less people willing to break the law.\My buddies are all complaining about not being able to sell anything.\It's a pain.\'Cause it's a serious crime to develop or sell support items and costumes without a license... response:	On top of that, there have been rumors recently that legit support companies
context: about everything concerning you and One For All.\Two days after the Hosu incident,\the hero killer's identity started being exposed from various angles.\Recently, there've been less people willing to break the law.\My buddies are all complaining about not being able to sell anything.\It's a pain.\'Cause it's a serious crime to develop or sell support items and costumes without a license...\On top of that, there have been rumors recently that legit support companies response:	have been selling on the black market to people without hero licenses.
context: Two days after the Hosu incident,\the hero killer's identity started being exposed from various angles.\Recently, there've been less people willing to break the law.\My buddies are all complaining about not being able to sell anything.\It's a pain.\'Cause it's a serious crime to develop or sell support items and costumes without a license...\On top of that, there have been rumors recently that legit support companies\have been selling on the black market to people without hero licenses. response:	I miss the days back before All Might...
context: the hero killer's identity started being exposed from various angles.\Recently, there've been less people willing to break the law.\My buddies are all complaining about not being able to sell anything.\It's a pain.\'Cause it's a serious crime to develop or sell support items and costumes without a license...\On top of that, there have been rumors recently that legit support companies\have been selling on the black market to people without hero licenses.\I miss the days back before All Might... response:	I was still young back then, too.
context: Recently, there've been less people willing to break the law.\My buddies are all complaining about not being able to sell anything.\It's a pain.\'Cause it's a serious crime to develop or sell support items and costumes without a license...\On top of that, there have been rumors recently that legit support companies\have been selling on the black market to people without hero licenses.\I miss the days back before All Might...\I was still young back then, too. response:	The villains were wild and impulsive, and that turned into enthusiasm
context: My buddies are all complaining about not being able to sell anything.\It's a pain.\'Cause it's a serious crime to develop or sell support items and costumes without a license...\On top of that, there have been rumors recently that legit support companies\have been selling on the black market to people without hero licenses.\I miss the days back before All Might...\I was still young back then, too.\The villains were wild and impulsive, and that turned into enthusiasm response:	the whole country was teeming with.
context: It's a pain.\'Cause it's a serious crime to develop or sell support items and costumes without a license...\On top of that, there have been rumors recently that legit support companies\have been selling on the black market to people without hero licenses.\I miss the days back before All Might...\I was still young back then, too.\The villains were wild and impulsive, and that turned into enthusiasm\the whole country was teeming with. response:	It was a good time.
context: 'Cause it's a serious crime to develop or sell support items and costumes without a license...\On top of that, there have been rumors recently that legit support companies\have been selling on the black market to people without hero licenses.\I miss the days back before All Might...\I was still young back then, too.\The villains were wild and impulsive, and that turned into enthusiasm\the whole country was teeming with.\It was a good time. response:	But when All Might appeared, everything changed.
context: On top of that, there have been rumors recently that legit support companies\have been selling on the black market to people without hero licenses.\I miss the days back before All Might...\I was still young back then, too.\The villains were wild and impulsive, and that turned into enthusiasm\the whole country was teeming with.\It was a good time.\But when All Might appeared, everything changed. response:	It's all thanks to that Symbol of Justice.
context: have been selling on the black market to people without hero licenses.\I miss the days back before All Might...\I was still young back then, too.\The villains were wild and impulsive, and that turned into enthusiasm\the whole country was teeming with.\It was a good time.\But when All Might appeared, everything changed.\It's all thanks to that Symbol of Justice. response:	Maybe it's time for me to retire.
context: I miss the days back before All Might...\I was still young back then, too.\The villains were wild and impulsive, and that turned into enthusiasm\the whole country was teeming with.\It was a good time.\But when All Might appeared, everything changed.\It's all thanks to that Symbol of Justice.\Maybe it's time for me to retire. response:	About that.
context: I was still young back then, too.\The villains were wild and impulsive, and that turned into enthusiasm\the whole country was teeming with.\It was a good time.\But when All Might appeared, everything changed.\It's all thanks to that Symbol of Justice.\Maybe it's time for me to retire.\About that. response:	Listen to this.
context: The villains were wild and impulsive, and that turned into enthusiasm\the whole country was teeming with.\It was a good time.\But when All Might appeared, everything changed.\It's all thanks to that Symbol of Justice.\Maybe it's time for me to retire.\About that.\Listen to this. response:	Just between you and me, I know of a way to make some cash.
context: the whole country was teeming with.\It was a good time.\But when All Might appeared, everything changed.\It's all thanks to that Symbol of Justice.\Maybe it's time for me to retire.\About that.\Listen to this.\Just between you and me, I know of a way to make some cash. response:	I'm only telling you because I know you guys have quality goods.
context: It was a good time.\But when All Might appeared, everything changed.\It's all thanks to that Symbol of Justice.\Maybe it's time for me to retire.\About that.\Listen to this.\Just between you and me, I know of a way to make some cash.\I'm only telling you because I know you guys have quality goods. response:	Have you seen this video?
context: But when All Might appeared, everything changed.\It's all thanks to that Symbol of Justice.\Maybe it's time for me to retire.\About that.\Listen to this.\Just between you and me, I know of a way to make some cash.\I'm only telling you because I know you guys have quality goods.\Have you seen this video? response:	Huh? Who's this?
context: It's all thanks to that Symbol of Justice.\Maybe it's time for me to retire.\About that.\Listen to this.\Just between you and me, I know of a way to make some cash.\I'm only telling you because I know you guys have quality goods.\Have you seen this video?\Huh? Who's this? response:	It's a video of the hero killer. He's hot right now.
context: Maybe it's time for me to retire.\About that.\Listen to this.\Just between you and me, I know of a way to make some cash.\I'm only telling you because I know you guys have quality goods.\Have you seen this video?\Huh? Who's this?\It's a video of the hero killer. He's hot right now. response:	Hero Killer: Stain. Real name: Chizome Akaguro.
context: About that.\Listen to this.\Just between you and me, I know of a way to make some cash.\I'm only telling you because I know you guys have quality goods.\Have you seen this video?\Huh? Who's this?\It's a video of the hero killer. He's hot right now.\Hero Killer: Stain. Real name: Chizome Akaguro. response:	All Might's debut left a deep impression on him, and he set his sights on becoming a hero.
context: Listen to this.\Just between you and me, I know of a way to make some cash.\I'm only telling you because I know you guys have quality goods.\Have you seen this video?\Huh? Who's this?\It's a video of the hero killer. He's hot right now.\Hero Killer: Stain. Real name: Chizome Akaguro.\All Might's debut left a deep impression on him, and he set his sights on becoming a hero. response:	He enrolled in a private hero high school
context: Just between you and me, I know of a way to make some cash.\I'm only telling you because I know you guys have quality goods.\Have you seen this video?\Huh? Who's this?\It's a video of the hero killer. He's hot right now.\Hero Killer: Stain. Real name: Chizome Akaguro.\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school response:	but was disappointed in the fundamentally
context: I'm only telling you because I know you guys have quality goods.\Have you seen this video?\Huh? Who's this?\It's a video of the hero killer. He's hot right now.\Hero Killer: Stain. Real name: Chizome Akaguro.\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\but was disappointed in the fundamentally response:	depraved view of heroes taught by the educational system.
context: Have you seen this video?\Huh? Who's this?\It's a video of the hero killer. He's hot right now.\Hero Killer: Stain. Real name: Chizome Akaguro.\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\but was disappointed in the fundamentally\depraved view of heroes taught by the educational system. response:	He dropped out in the summer of his first year.
context: Huh? Who's this?\It's a video of the hero killer. He's hot right now.\Hero Killer: Stain. Real name: Chizome Akaguro.\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\but was disappointed in the fundamentally\depraved view of heroes taught by the educational system.\He dropped out in the summer of his first year. response:	Until the end of his teenage years, he called for a return to the old idea of heroes
context: It's a video of the hero killer. He's hot right now.\Hero Killer: Stain. Real name: Chizome Akaguro.\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\but was disappointed in the fundamentally\depraved view of heroes taught by the educational system.\He dropped out in the summer of his first year.\Until the end of his teenage years, he called for a return to the old idea of heroes response:	making speeches on the street until he realized resignedly that words had no power.
context: Hero Killer: Stain. Real name: Chizome Akaguro.\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\but was disappointed in the fundamentally\depraved view of heroes taught by the educational system.\He dropped out in the summer of his first year.\Until the end of his teenage years, he called for a return to the old idea of heroes\making speeches on the street until he realized resignedly that words had no power. response:	For the next ten years, in order to fulfill his duty,
context: All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\but was disappointed in the fundamentally\depraved view of heroes taught by the educational system.\He dropped out in the summer of his first year.\Until the end of his teenage years, he called for a return to the old idea of heroes\making speeches on the street until he realized resignedly that words had no power.\For the next ten years, in order to fulfill his duty, response:	he studied and trained in killing techniques on his own.
context: He enrolled in a private hero high school\but was disappointed in the fundamentally\depraved view of heroes taught by the educational system.\He dropped out in the summer of his first year.\Until the end of his teenage years, he called for a return to the old idea of heroes\making speeches on the street until he realized resignedly that words had no power.\For the next ten years, in order to fulfill his duty,\he studied and trained in killing techniques on his own. response:	During this time, his parents passed away,
context: but was disappointed in the fundamentally\depraved view of heroes taught by the educational system.\He dropped out in the summer of his first year.\Until the end of his teenage years, he called for a return to the old idea of heroes\making speeches on the street until he realized resignedly that words had no power.\For the next ten years, in order to fulfill his duty,\he studied and trained in killing techniques on his own.\During this time, his parents passed away, response:	and that affair was considered non-criminal.
context: depraved view of heroes taught by the educational system.\He dropped out in the summer of his first year.\Until the end of his teenage years, he called for a return to the old idea of heroes\making speeches on the street until he realized resignedly that words had no power.\For the next ten years, in order to fulfill his duty,\he studied and trained in killing techniques on his own.\During this time, his parents passed away,\and that affair was considered non-criminal. response:	He emphasized a return to the old idea of heroes.
context: He dropped out in the summer of his first year.\Until the end of his teenage years, he called for a return to the old idea of heroes\making speeches on the street until he realized resignedly that words had no power.\For the next ten years, in order to fulfill his duty,\he studied and trained in killing techniques on his own.\During this time, his parents passed away,\and that affair was considered non-criminal.\He emphasized a return to the old idea of heroes. response:	Heroes should not seek compensation.
context: Until the end of his teenage years, he called for a return to the old idea of heroes\making speeches on the street until he realized resignedly that words had no power.\For the next ten years, in order to fulfill his duty,\he studied and trained in killing techniques on his own.\During this time, his parents passed away,\and that affair was considered non-criminal.\He emphasized a return to the old idea of heroes.\Heroes should not seek compensation. response:	The title of hero must only be granted to those who epitomize self-sacrifice.
context: making speeches on the street until he realized resignedly that words had no power.\For the next ten years, in order to fulfill his duty,\he studied and trained in killing techniques on his own.\During this time, his parents passed away,\and that affair was considered non-criminal.\He emphasized a return to the old idea of heroes.\Heroes should not seek compensation.\The title of hero must only be granted to those who epitomize self-sacrifice. response:	The present-day heroes are fakes who are all talk.
context: For the next ten years, in order to fulfill his duty,\he studied and trained in killing techniques on his own.\During this time, his parents passed away,\and that affair was considered non-criminal.\He emphasized a return to the old idea of heroes.\Heroes should not seek compensation.\The title of hero must only be granted to those who epitomize self-sacrifice.\The present-day heroes are fakes who are all talk. response:	He wanted society to realize this through his purges one after another.
context: he studied and trained in killing techniques on his own.\During this time, his parents passed away,\and that affair was considered non-criminal.\He emphasized a return to the old idea of heroes.\Heroes should not seek compensation.\The title of hero must only be granted to those who epitomize self-sacrifice.\The present-day heroes are fakes who are all talk.\He wanted society to realize this through his purges one after another. response:	Someone must be dyed in blood...
context: During this time, his parents passed away,\and that affair was considered non-criminal.\He emphasized a return to the old idea of heroes.\Heroes should not seek compensation.\The title of hero must only be granted to those who epitomize self-sacrifice.\The present-day heroes are fakes who are all talk.\He wanted society to realize this through his purges one after another.\Someone must be dyed in blood... response:	I must take back what it means to be a hero!
context: and that affair was considered non-criminal.\He emphasized a return to the old idea of heroes.\Heroes should not seek compensation.\The title of hero must only be granted to those who epitomize self-sacrifice.\The present-day heroes are fakes who are all talk.\He wanted society to realize this through his purges one after another.\Someone must be dyed in blood...\I must take back what it means to be a hero! response:	Come! Try and get me, you fakes!
context: He emphasized a return to the old idea of heroes.\Heroes should not seek compensation.\The title of hero must only be granted to those who epitomize self-sacrifice.\The present-day heroes are fakes who are all talk.\He wanted society to realize this through his purges one after another.\Someone must be dyed in blood...\I must take back what it means to be a hero!\Come! Try and get me, you fakes! response:	The only one I'll let kill me is the true hero...
context: Heroes should not seek compensation.\The title of hero must only be granted to those who epitomize self-sacrifice.\The present-day heroes are fakes who are all talk.\He wanted society to realize this through his purges one after another.\Someone must be dyed in blood...\I must take back what it means to be a hero!\Come! Try and get me, you fakes!\The only one I'll let kill me is the true hero... response:	This keeps getting uploaded and taken down online, like a game of cat and mouse.
context: The title of hero must only be granted to those who epitomize self-sacrifice.\The present-day heroes are fakes who are all talk.\He wanted society to realize this through his purges one after another.\Someone must be dyed in blood...\I must take back what it means to be a hero!\Come! Try and get me, you fakes!\The only one I'll let kill me is the true hero...\This keeps getting uploaded and taken down online, like a game of cat and mouse. response:	Both sides have realized...
context: The present-day heroes are fakes who are all talk.\He wanted society to realize this through his purges one after another.\Someone must be dyed in blood...\I must take back what it means to be a hero!\Come! Try and get me, you fakes!\The only one I'll let kill me is the true hero...\This keeps getting uploaded and taken down online, like a game of cat and mouse.\Both sides have realized... response:	Especially the last part...
context: He wanted society to realize this through his purges one after another.\Someone must be dyed in blood...\I must take back what it means to be a hero!\Come! Try and get me, you fakes!\The only one I'll let kill me is the true hero...\This keeps getting uploaded and taken down online, like a game of cat and mouse.\Both sides have realized...\Especially the last part... response:	This guy's way of life is infectious.
context: Someone must be dyed in blood...\I must take back what it means to be a hero!\Come! Try and get me, you fakes!\The only one I'll let kill me is the true hero...\This keeps getting uploaded and taken down online, like a game of cat and mouse.\Both sides have realized...\Especially the last part...\This guy's way of life is infectious. response:	From scoundrels with countless previous convictions to felons on the run,
context: I must take back what it means to be a hero!\Come! Try and get me, you fakes!\The only one I'll let kill me is the true hero...\This keeps getting uploaded and taken down online, like a game of cat and mouse.\Both sides have realized...\Especially the last part...\This guy's way of life is infectious.\From scoundrels with countless previous convictions to felons on the run, response:	all the major players...
context: Come! Try and get me, you fakes!\The only one I'll let kill me is the true hero...\This keeps getting uploaded and taken down online, like a game of cat and mouse.\Both sides have realized...\Especially the last part...\This guy's way of life is infectious.\From scoundrels with countless previous convictions to felons on the run,\all the major players... response:	Including me, of course...
context: The only one I'll let kill me is the true hero...\This keeps getting uploaded and taken down online, like a game of cat and mouse.\Both sides have realized...\Especially the last part...\This guy's way of life is infectious.\From scoundrels with countless previous convictions to felons on the run,\all the major players...\Including me, of course... response:	Not that many people have noticed yet,
context: This keeps getting uploaded and taken down online, like a game of cat and mouse.\Both sides have realized...\Especially the last part...\This guy's way of life is infectious.\From scoundrels with countless previous convictions to felons on the run,\all the major players...\Including me, of course...\Not that many people have noticed yet, response:	but the evil that was scattered, hiding deep and quiet in places
context: Both sides have realized...\Especially the last part...\This guy's way of life is infectious.\From scoundrels with countless previous convictions to felons on the run,\all the major players...\Including me, of course...\Not that many people have noticed yet,\but the evil that was scattered, hiding deep and quiet in places response:	where no one could see them,
context: Especially the last part...\This guy's way of life is infectious.\From scoundrels with countless previous convictions to felons on the run,\all the major players...\Including me, of course...\Not that many people have noticed yet,\but the evil that was scattered, hiding deep and quiet in places\where no one could see them, response:	has now been hit by a single fever...
context: This guy's way of life is infectious.\From scoundrels with countless previous convictions to felons on the run,\all the major players...\Including me, of course...\Not that many people have noticed yet,\but the evil that was scattered, hiding deep and quiet in places\where no one could see them,\has now been hit by a single fever... response:	To go to the organization Hero Killer: Stain is part of...
context: From scoundrels with countless previous convictions to felons on the run,\all the major players...\Including me, of course...\Not that many people have noticed yet,\but the evil that was scattered, hiding deep and quiet in places\where no one could see them,\has now been hit by a single fever...\To go to the organization Hero Killer: Stain is part of... response:	They have started heading to the League of Villains.
context: all the major players...\Including me, of course...\Not that many people have noticed yet,\but the evil that was scattered, hiding deep and quiet in places\where no one could see them,\has now been hit by a single fever...\To go to the organization Hero Killer: Stain is part of...\They have started heading to the League of Villains. response:	Preview
context: Including me, of course...\Not that many people have noticed yet,\but the evil that was scattered, hiding deep and quiet in places\where no one could see them,\has now been hit by a single fever...\To go to the organization Hero Killer: Stain is part of...\They have started heading to the League of Villains.\Preview response:	Here's the preview!
context: Not that many people have noticed yet,\but the evil that was scattered, hiding deep and quiet in places\where no one could see them,\has now been hit by a single fever...\To go to the organization Hero Killer: Stain is part of...\They have started heading to the League of Villains.\Preview\Here's the preview! response:	I wonder how everyone's internships went while I was in the hospital...
context: but the evil that was scattered, hiding deep and quiet in places\where no one could see them,\has now been hit by a single fever...\To go to the organization Hero Killer: Stain is part of...\They have started heading to the League of Villains.\Preview\Here's the preview!\I wonder how everyone's internships went while I was in the hospital... response:	You curious, Midoriya?
context: where no one could see them,\has now been hit by a single fever...\To go to the organization Hero Killer: Stain is part of...\They have started heading to the League of Villains.\Preview\Here's the preview!\I wonder how everyone's internships went while I was in the hospital...\You curious, Midoriya? response:	Asu... I mean, Tsu!
context: has now been hit by a single fever...\To go to the organization Hero Killer: Stain is part of...\They have started heading to the League of Villains.\Preview\Here's the preview!\I wonder how everyone's internships went while I was in the hospital...\You curious, Midoriya?\Asu... I mean, Tsu! response:	Then we'll respond to your request by showing Class A at their internships.
context: To go to the organization Hero Killer: Stain is part of...\They have started heading to the League of Villains.\Preview\Here's the preview!\I wonder how everyone's internships went while I was in the hospital...\You curious, Midoriya?\Asu... I mean, Tsu!\Then we'll respond to your request by showing Class A at their internships. response:	I'm looking forward to that.
context: They have started heading to the League of Villains.\Preview\Here's the preview!\I wonder how everyone's internships went while I was in the hospital...\You curious, Midoriya?\Asu... I mean, Tsu!\Then we'll respond to your request by showing Class A at their internships.\I'm looking forward to that. response:	But then, your part in the episode will be smaller.
context: Preview\Here's the preview!\I wonder how everyone's internships went while I was in the hospital...\You curious, Midoriya?\Asu... I mean, Tsu!\Then we'll respond to your request by showing Class A at their internships.\I'm looking forward to that.\But then, your part in the episode will be smaller. response:	Ribbit, ribbit.
context: Here's the preview!\I wonder how everyone's internships went while I was in the hospital...\You curious, Midoriya?\Asu... I mean, Tsu!\Then we'll respond to your request by showing Class A at their internships.\I'm looking forward to that.\But then, your part in the episode will be smaller.\Ribbit, ribbit. response:	Next time, Everyone's Internships.
