context: What the hell's going on? response:	Is this the Witch Cult's doing?
context: You madman!\Get out of that body right now!\Madman?\That's right. I am driven mad with love.\Generous love, respectful love, pure love,\tender love, familial love, erotic love, friendly love!\Love, love, love... Love! Love! Love! Love!\Love! response:	Subaru! Wake up!
context: Get out of that body right now!\Madman?\That's right. I am driven mad with love.\Generous love, respectful love, pure love,\tender love, familial love, erotic love, friendly love!\Love, love, love... Love! Love! Love! Love!\Love!\Subaru! Wake up! response:	It's no use.
context: Madman?\That's right. I am driven mad with love.\Generous love, respectful love, pure love,\tender love, familial love, erotic love, friendly love!\Love, love, love... Love! Love! Love! Love!\Love!\Subaru! Wake up!\It's no use. response:	This body is already under my subconscious control.
context: That's right. I am driven mad with love.\Generous love, respectful love, pure love,\tender love, familial love, erotic love, friendly love!\Love, love, love... Love! Love! Love! Love!\Love!\Subaru! Wake up!\It's no use.\This body is already under my subconscious control. response:	Realize what you're about to do, Subaru...
context: Generous love, respectful love, pure love,\tender love, familial love, erotic love, friendly love!\Love, love, love... Love! Love! Love! Love!\Love!\Subaru! Wake up!\It's no use.\This body is already under my subconscious control.\Realize what you're about to do, Subaru... response:	Remember what you returned here to do!
context: tender love, familial love, erotic love, friendly love!\Love, love, love... Love! Love! Love! Love!\Love!\Subaru! Wake up!\It's no use.\This body is already under my subconscious control.\Realize what you're about to do, Subaru...\Remember what you returned here to do! response:	What?
context: Love, love, love... Love! Love! Love! Love!\Love!\Subaru! Wake up!\It's no use.\This body is already under my subconscious control.\Realize what you're about to do, Subaru...\Remember what you returned here to do!\What? response:	Don't what me... You moron!
context: Love!\Subaru! Wake up!\It's no use.\This body is already under my subconscious control.\Realize what you're about to do, Subaru...\Remember what you returned here to do!\What?\Don't what me... You moron! response:	I am Betelgeuse Romanee-Conti...
context: Subaru! Wake up!\It's no use.\This body is already under my subconscious control.\Realize what you're about to do, Subaru...\Remember what you returned here to do!\What?\Don't what me... You moron!\I am Betelgeuse Romanee-Conti... response:	This body has already become my finger.
context: It's no use.\This body is already under my subconscious control.\Realize what you're about to do, Subaru...\Remember what you returned here to do!\What?\Don't what me... You moron!\I am Betelgeuse Romanee-Conti...\This body has already become my finger. response:	Shut up! I'm Natsuki Subaru!
context: This body is already under my subconscious control.\Realize what you're about to do, Subaru...\Remember what you returned here to do!\What?\Don't what me... You moron!\I am Betelgeuse Romanee-Conti...\This body has already become my finger.\Shut up! I'm Natsuki Subaru! response:	Kill me, Julius.
context: Realize what you're about to do, Subaru...\Remember what you returned here to do!\What?\Don't what me... You moron!\I am Betelgeuse Romanee-Conti...\This body has already become my finger.\Shut up! I'm Natsuki Subaru!\Kill me, Julius. response:	Use your sword...
context: Remember what you returned here to do!\What?\Don't what me... You moron!\I am Betelgeuse Romanee-Conti...\This body has already become my finger.\Shut up! I'm Natsuki Subaru!\Kill me, Julius.\Use your sword... response:	What are you saying, Subaru?
context: What?\Don't what me... You moron!\I am Betelgeuse Romanee-Conti...\This body has already become my finger.\Shut up! I'm Natsuki Subaru!\Kill me, Julius.\Use your sword...\What are you saying, Subaru? response:	If you don't stop me now, we can't win.
context: Don't what me... You moron!\I am Betelgeuse Romanee-Conti...\This body has already become my finger.\Shut up! I'm Natsuki Subaru!\Kill me, Julius.\Use your sword...\What are you saying, Subaru?\If you don't stop me now, we can't win. response:	Before that happens...
context: I am Betelgeuse Romanee-Conti...\This body has already become my finger.\Shut up! I'm Natsuki Subaru!\Kill me, Julius.\Use your sword...\What are you saying, Subaru?\If you don't stop me now, we can't win.\Before that happens... response:	No, Subaru! I cannot do that!
context: This body has already become my finger.\Shut up! I'm Natsuki Subaru!\Kill me, Julius.\Use your sword...\What are you saying, Subaru?\If you don't stop me now, we can't win.\Before that happens...\No, Subaru! I cannot do that! response:	You told me, It can wait.
context: Shut up! I'm Natsuki Subaru!\Kill me, Julius.\Use your sword...\What are you saying, Subaru?\If you don't stop me now, we can't win.\Before that happens...\No, Subaru! I cannot do that!\You told me, It can wait. response:	Wasn't there something you meant to tell me?
context: Kill me, Julius.\Use your sword...\What are you saying, Subaru?\If you don't stop me now, we can't win.\Before that happens...\No, Subaru! I cannot do that!\You told me, It can wait.\Wasn't there something you meant to tell me? response:	Sorry... It looks like I won't get the chance.
context: Use your sword...\What are you saying, Subaru?\If you don't stop me now, we can't win.\Before that happens...\No, Subaru! I cannot do that!\You told me, It can wait.\Wasn't there something you meant to tell me?\Sorry... It looks like I won't get the chance. response:	Felis!
context: What are you saying, Subaru?\If you don't stop me now, we can't win.\Before that happens...\No, Subaru! I cannot do that!\You told me, It can wait.\Wasn't there something you meant to tell me?\Sorry... It looks like I won't get the chance.\Felis! response:	Please.
context: If you don't stop me now, we can't win.\Before that happens...\No, Subaru! I cannot do that!\You told me, It can wait.\Wasn't there something you meant to tell me?\Sorry... It looks like I won't get the chance.\Felis!\Please. response:	You can resent me for this, Subaru-kun.
context: Before that happens...\No, Subaru! I cannot do that!\You told me, It can wait.\Wasn't there something you meant to tell me?\Sorry... It looks like I won't get the chance.\Felis!\Please.\You can resent me for this, Subaru-kun. response:	I will, too.
context: No, Subaru! I cannot do that!\You told me, It can wait.\Wasn't there something you meant to tell me?\Sorry... It looks like I won't get the chance.\Felis!\Please.\You can resent me for this, Subaru-kun.\I will, too. response:	Felis!
context: You told me, It can wait.\Wasn't there something you meant to tell me?\Sorry... It looks like I won't get the chance.\Felis!\Please.\You can resent me for this, Subaru-kun.\I will, too.\Felis! response:	No one else can do it, can they?
context: Wasn't there something you meant to tell me?\Sorry... It looks like I won't get the chance.\Felis!\Please.\You can resent me for this, Subaru-kun.\I will, too.\Felis!\No one else can do it, can they? response:	This is what Subaru- kyun wants!
context: Sorry... It looks like I won't get the chance.\Felis!\Please.\You can resent me for this, Subaru-kun.\I will, too.\Felis!\No one else can do it, can they?\This is what Subaru- kyun wants! response:	But still...
context: Felis!\Please.\You can resent me for this, Subaru-kun.\I will, too.\Felis!\No one else can do it, can they?\This is what Subaru- kyun wants!\But still... response:	You think I did that because I wanted to?
context: Please.\You can resent me for this, Subaru-kun.\I will, too.\Felis!\No one else can do it, can they?\This is what Subaru- kyun wants!\But still...\You think I did that because I wanted to? response:	To use my power for Crusch-sama,
context: You can resent me for this, Subaru-kun.\I will, too.\Felis!\No one else can do it, can they?\This is what Subaru- kyun wants!\But still...\You think I did that because I wanted to?\To use my power for Crusch-sama, response:	the power I swore to our leader, for this?!
context: I will, too.\Felis!\No one else can do it, can they?\This is what Subaru- kyun wants!\But still...\You think I did that because I wanted to?\To use my power for Crusch-sama,\the power I swore to our leader, for this?! response:	Ah, it can't be, it can't be...
context: Felis!\No one else can do it, can they?\This is what Subaru- kyun wants!\But still...\You think I did that because I wanted to?\To use my power for Crusch-sama,\the power I swore to our leader, for this?!\Ah, it can't be, it can't be... response:	Just when I'd found such a perfect vessel...
context: No one else can do it, can they?\This is what Subaru- kyun wants!\But still...\You think I did that because I wanted to?\To use my power for Crusch-sama,\the power I swore to our leader, for this?!\Ah, it can't be, it can't be...\Just when I'd found such a perfect vessel... response:	My lack of virtue was what forced this undesirable decision on you and Felis.
context: This is what Subaru- kyun wants!\But still...\You think I did that because I wanted to?\To use my power for Crusch-sama,\the power I swore to our leader, for this?!\Ah, it can't be, it can't be...\Just when I'd found such a perfect vessel...\My lack of virtue was what forced this undesirable decision on you and Felis. response:	Just when the Ordeal's completion was at hand...
context: But still...\You think I did that because I wanted to?\To use my power for Crusch-sama,\the power I swore to our leader, for this?!\Ah, it can't be, it can't be...\Just when I'd found such a perfect vessel...\My lack of virtue was what forced this undesirable decision on you and Felis.\Just when the Ordeal's completion was at hand... response:	One day, I'm sure I will be punished.
context: You think I did that because I wanted to?\To use my power for Crusch-sama,\the power I swore to our leader, for this?!\Ah, it can't be, it can't be...\Just when I'd found such a perfect vessel...\My lack of virtue was what forced this undesirable decision on you and Felis.\Just when the Ordeal's completion was at hand...\One day, I'm sure I will be punished. response:	I will never die...
context: To use my power for Crusch-sama,\the power I swore to our leader, for this?!\Ah, it can't be, it can't be...\Just when I'd found such a perfect vessel...\My lack of virtue was what forced this undesirable decision on you and Felis.\Just when the Ordeal's completion was at hand...\One day, I'm sure I will be punished.\I will never die... response:	Nefarious Sloth
