context: So, Taihei... can I come by your place for dinner tonight? response:	Sure. Not a problem.
context: Still, I'm glad we were all able to become friends.\A-are you okay, Kirie?\I-I'm fine! I'm just a little scared of the dark. But I'll be all right. Please, enjoy the movie!\Sorry, but I will...\An incident this week! An incident next week!\He goes to the movies and a bomb goes off!\Today, too, his deductive powers will leap into action!\He is Master Detective Nacon! And catastrophe awaits him at the restaurant! response:	Wow... so this is the restaurant run by that friend of Zonoko's uncle, huh?
context: A-are you okay, Kirie?\I-I'm fine! I'm just a little scared of the dark. But I'll be all right. Please, enjoy the movie!\Sorry, but I will...\An incident this week! An incident next week!\He goes to the movies and a bomb goes off!\Today, too, his deductive powers will leap into action!\He is Master Detective Nacon! And catastrophe awaits him at the restaurant!\Wow... so this is the restaurant run by that friend of Zonoko's uncle, huh? response:	I hear a scream!
context: I-I'm fine! I'm just a little scared of the dark. But I'll be all right. Please, enjoy the movie!\Sorry, but I will...\An incident this week! An incident next week!\He goes to the movies and a bomb goes off!\Today, too, his deductive powers will leap into action!\He is Master Detective Nacon! And catastrophe awaits him at the restaurant!\Wow... so this is the restaurant run by that friend of Zonoko's uncle, huh?\I hear a scream! response:	Well, well. This is an interesting start.
context: Sorry, but I will...\An incident this week! An incident next week!\He goes to the movies and a bomb goes off!\Today, too, his deductive powers will leap into action!\He is Master Detective Nacon! And catastrophe awaits him at the restaurant!\Wow... so this is the restaurant run by that friend of Zonoko's uncle, huh?\I hear a scream!\Well, well. This is an interesting start. response:	However! I'll be looking at all the clues that they drop and I will figure out the culprit!
context: An incident this week! An incident next week!\He goes to the movies and a bomb goes off!\Today, too, his deductive powers will leap into action!\He is Master Detective Nacon! And catastrophe awaits him at the restaurant!\Wow... so this is the restaurant run by that friend of Zonoko's uncle, huh?\I hear a scream!\Well, well. This is an interesting start.\However! I'll be looking at all the clues that they drop and I will figure out the culprit! response:	I wonder what the others think...
context: He goes to the movies and a bomb goes off!\Today, too, his deductive powers will leap into action!\He is Master Detective Nacon! And catastrophe awaits him at the restaurant!\Wow... so this is the restaurant run by that friend of Zonoko's uncle, huh?\I hear a scream!\Well, well. This is an interesting start.\However! I'll be looking at all the clues that they drop and I will figure out the culprit!\I wonder what the others think... response:	Hey, Sylphyn's asleep!
context: Today, too, his deductive powers will leap into action!\He is Master Detective Nacon! And catastrophe awaits him at the restaurant!\Wow... so this is the restaurant run by that friend of Zonoko's uncle, huh?\I hear a scream!\Well, well. This is an interesting start.\However! I'll be looking at all the clues that they drop and I will figure out the culprit!\I wonder what the others think...\Hey, Sylphyn's asleep! response:	But I spent last night watching the old shows and practicing for this.
context: He is Master Detective Nacon! And catastrophe awaits him at the restaurant!\Wow... so this is the restaurant run by that friend of Zonoko's uncle, huh?\I hear a scream!\Well, well. This is an interesting start.\However! I'll be looking at all the clues that they drop and I will figure out the culprit!\I wonder what the others think...\Hey, Sylphyn's asleep!\But I spent last night watching the old shows and practicing for this. response:	Don't tell me she stayed up till morning watching all those seasons of Precuare!
context: Wow... so this is the restaurant run by that friend of Zonoko's uncle, huh?\I hear a scream!\Well, well. This is an interesting start.\However! I'll be looking at all the clues that they drop and I will figure out the culprit!\I wonder what the others think...\Hey, Sylphyn's asleep!\But I spent last night watching the old shows and practicing for this.\Don't tell me she stayed up till morning watching all those seasons of Precuare! response:	I have solved the crime.
context: I hear a scream!\Well, well. This is an interesting start.\However! I'll be looking at all the clues that they drop and I will figure out the culprit!\I wonder what the others think...\Hey, Sylphyn's asleep!\But I spent last night watching the old shows and practicing for this.\Don't tell me she stayed up till morning watching all those seasons of Precuare!\I have solved the crime. response:	Wait, already?!
context: Well, well. This is an interesting start.\However! I'll be looking at all the clues that they drop and I will figure out the culprit!\I wonder what the others think...\Hey, Sylphyn's asleep!\But I spent last night watching the old shows and practicing for this.\Don't tell me she stayed up till morning watching all those seasons of Precuare!\I have solved the crime.\Wait, already?! response:	The culprit added poison to...
context: However! I'll be looking at all the clues that they drop and I will figure out the culprit!\I wonder what the others think...\Hey, Sylphyn's asleep!\But I spent last night watching the old shows and practicing for this.\Don't tell me she stayed up till morning watching all those seasons of Precuare!\I have solved the crime.\Wait, already?!\The culprit added poison to... response:	the Mediterranean Breeze Course Menu!
context: I wonder what the others think...\Hey, Sylphyn's asleep!\But I spent last night watching the old shows and practicing for this.\Don't tell me she stayed up till morning watching all those seasons of Precuare!\I have solved the crime.\Wait, already?!\The culprit added poison to...\the Mediterranean Breeze Course Menu! response:	Wh...
context: Hey, Sylphyn's asleep!\But I spent last night watching the old shows and practicing for this.\Don't tell me she stayed up till morning watching all those seasons of Precuare!\I have solved the crime.\Wait, already?!\The culprit added poison to...\the Mediterranean Breeze Course Menu!\Wh... response:	What was that?!
context: But I spent last night watching the old shows and practicing for this.\Don't tell me she stayed up till morning watching all those seasons of Precuare!\I have solved the crime.\Wait, already?!\The culprit added poison to...\the Mediterranean Breeze Course Menu!\Wh...\What was that?! response:	Wh-what should I do? My stomach is about to growl!
context: Don't tell me she stayed up till morning watching all those seasons of Precuare!\I have solved the crime.\Wait, already?!\The culprit added poison to...\the Mediterranean Breeze Course Menu!\Wh...\What was that?!\Wh-what should I do? My stomach is about to growl! response:	I can't let that happen here - it's too embarrassing!
context: I have solved the crime.\Wait, already?!\The culprit added poison to...\the Mediterranean Breeze Course Menu!\Wh...\What was that?!\Wh-what should I do? My stomach is about to growl!\I can't let that happen here - it's too embarrassing! response:	I'm gonna blow this restaurant up!
context: Wait, already?!\The culprit added poison to...\the Mediterranean Breeze Course Menu!\Wh...\What was that?!\Wh-what should I do? My stomach is about to growl!\I can't let that happen here - it's too embarrassing!\I'm gonna blow this restaurant up! response:	No, stop!
context: The culprit added poison to...\the Mediterranean Breeze Course Menu!\Wh...\What was that?!\Wh-what should I do? My stomach is about to growl!\I can't let that happen here - it's too embarrassing!\I'm gonna blow this restaurant up!\No, stop! response:	Light!
context: the Mediterranean Breeze Course Menu!\Wh...\What was that?!\Wh-what should I do? My stomach is about to growl!\I can't let that happen here - it's too embarrassing!\I'm gonna blow this restaurant up!\No, stop!\Light! response:	I-I fell asleep...
context: Wh...\What was that?!\Wh-what should I do? My stomach is about to growl!\I can't let that happen here - it's too embarrassing!\I'm gonna blow this restaurant up!\No, stop!\Light!\I-I fell asleep... response:	Thank goodness. It looks like everyone was focused on the movie.
context: What was that?!\Wh-what should I do? My stomach is about to growl!\I can't let that happen here - it's too embarrassing!\I'm gonna blow this restaurant up!\No, stop!\Light!\I-I fell asleep...\Thank goodness. It looks like everyone was focused on the movie. response:	So bright...
context: Wh-what should I do? My stomach is about to growl!\I can't let that happen here - it's too embarrassing!\I'm gonna blow this restaurant up!\No, stop!\Light!\I-I fell asleep...\Thank goodness. It looks like everyone was focused on the movie.\So bright... response:	Nacon did a better job than me at figuring out the culprit, but...
context: I can't let that happen here - it's too embarrassing!\I'm gonna blow this restaurant up!\No, stop!\Light!\I-I fell asleep...\Thank goodness. It looks like everyone was focused on the movie.\So bright...\Nacon did a better job than me at figuring out the culprit, but... response:	That was a lot of fun!
context: I'm gonna blow this restaurant up!\No, stop!\Light!\I-I fell asleep...\Thank goodness. It looks like everyone was focused on the movie.\So bright...\Nacon did a better job than me at figuring out the culprit, but...\That was a lot of fun! response:	My ears are itching again!
context: No, stop!\Light!\I-I fell asleep...\Thank goodness. It looks like everyone was focused on the movie.\So bright...\Nacon did a better job than me at figuring out the culprit, but...\That was a lot of fun!\My ears are itching again! response:	We earwax shall destroy you! Your ears will itch and itch again!
context: Light!\I-I fell asleep...\Thank goodness. It looks like everyone was focused on the movie.\So bright...\Nacon did a better job than me at figuring out the culprit, but...\That was a lot of fun!\My ears are itching again!\We earwax shall destroy you! Your ears will itch and itch again! response:	You know, not even I have seen an anime that has earwax in the next episode preview!
context: I-I fell asleep...\Thank goodness. It looks like everyone was focused on the movie.\So bright...\Nacon did a better job than me at figuring out the culprit, but...\That was a lot of fun!\My ears are itching again!\We earwax shall destroy you! Your ears will itch and itch again!\You know, not even I have seen an anime that has earwax in the next episode preview! response:	Those of you watching, you will be reduced to a piteous state and made to itch as well!
