context: Feelings (Continued) response:	A-Anti-bullying measures?!
context: But when push came to shove, this is what happens.\I thought, I don't care about justice. I just wanted her to run away.\Even though Hina was hanging in there for the sake of her friend,\Akari...\You... You've got it wrong.\What you felt was normal.\No one wants a family member to go through a painful experience.\After all, the one who's been watching over Hina the most... response:	is you, Akari.
context: I thought, I don't care about justice. I just wanted her to run away.\Even though Hina was hanging in there for the sake of her friend,\Akari...\You... You've got it wrong.\What you felt was normal.\No one wants a family member to go through a painful experience.\After all, the one who's been watching over Hina the most...\is you, Akari. response:	I've been alone ever since I was a little kid.
context: Even though Hina was hanging in there for the sake of her friend,\Akari...\You... You've got it wrong.\What you felt was normal.\No one wants a family member to go through a painful experience.\After all, the one who's been watching over Hina the most...\is you, Akari.\I've been alone ever since I was a little kid. response:	But the thought of someone extending a helping hand was so terrifying.
context: Akari...\You... You've got it wrong.\What you felt was normal.\No one wants a family member to go through a painful experience.\After all, the one who's been watching over Hina the most...\is you, Akari.\I've been alone ever since I was a little kid.\But the thought of someone extending a helping hand was so terrifying. response:	I couldn't ask for anyone's help.
context: You... You've got it wrong.\What you felt was normal.\No one wants a family member to go through a painful experience.\After all, the one who's been watching over Hina the most...\is you, Akari.\I've been alone ever since I was a little kid.\But the thought of someone extending a helping hand was so terrifying.\I couldn't ask for anyone's help. response:	But that day, even though Hina said she was scared,
context: What you felt was normal.\No one wants a family member to go through a painful experience.\After all, the one who's been watching over Hina the most...\is you, Akari.\I've been alone ever since I was a little kid.\But the thought of someone extending a helping hand was so terrifying.\I couldn't ask for anyone's help.\But that day, even though Hina said she was scared, response:	she was just as certain that she had no regrets and didn't do anything wrong.
context: No one wants a family member to go through a painful experience.\After all, the one who's been watching over Hina the most...\is you, Akari.\I've been alone ever since I was a little kid.\But the thought of someone extending a helping hand was so terrifying.\I couldn't ask for anyone's help.\But that day, even though Hina said she was scared,\she was just as certain that she had no regrets and didn't do anything wrong. response:	It's like she was trying to convince herself.
context: After all, the one who's been watching over Hina the most...\is you, Akari.\I've been alone ever since I was a little kid.\But the thought of someone extending a helping hand was so terrifying.\I couldn't ask for anyone's help.\But that day, even though Hina said she was scared,\she was just as certain that she had no regrets and didn't do anything wrong.\It's like she was trying to convince herself. response:	At the time, I realized that she had saved me.
context: is you, Akari.\I've been alone ever since I was a little kid.\But the thought of someone extending a helping hand was so terrifying.\I couldn't ask for anyone's help.\But that day, even though Hina said she was scared,\she was just as certain that she had no regrets and didn't do anything wrong.\It's like she was trying to convince herself.\At the time, I realized that she had saved me. response:	That Hina was my savior...
context: I've been alone ever since I was a little kid.\But the thought of someone extending a helping hand was so terrifying.\I couldn't ask for anyone's help.\But that day, even though Hina said she was scared,\she was just as certain that she had no regrets and didn't do anything wrong.\It's like she was trying to convince herself.\At the time, I realized that she had saved me.\That Hina was my savior... response:	So you, who raised Hina to be a girl with so much courage,
context: But the thought of someone extending a helping hand was so terrifying.\I couldn't ask for anyone's help.\But that day, even though Hina said she was scared,\she was just as certain that she had no regrets and didn't do anything wrong.\It's like she was trying to convince herself.\At the time, I realized that she had saved me.\That Hina was my savior...\So you, who raised Hina to be a girl with so much courage, response:	you're my savior too, Akari.
context: I couldn't ask for anyone's help.\But that day, even though Hina said she was scared,\she was just as certain that she had no regrets and didn't do anything wrong.\It's like she was trying to convince herself.\At the time, I realized that she had saved me.\That Hina was my savior...\So you, who raised Hina to be a girl with so much courage,\you're my savior too, Akari. response:	Is curry all right for dinner?
context: But that day, even though Hina said she was scared,\she was just as certain that she had no regrets and didn't do anything wrong.\It's like she was trying to convince herself.\At the time, I realized that she had saved me.\That Hina was my savior...\So you, who raised Hina to be a girl with so much courage,\you're my savior too, Akari.\Is curry all right for dinner? response:	Yes.
context: she was just as certain that she had no regrets and didn't do anything wrong.\It's like she was trying to convince herself.\At the time, I realized that she had saved me.\That Hina was my savior...\So you, who raised Hina to be a girl with so much courage,\you're my savior too, Akari.\Is curry all right for dinner?\Yes. response:	I should make a lot.
context: It's like she was trying to convince herself.\At the time, I realized that she had saved me.\That Hina was my savior...\So you, who raised Hina to be a girl with so much courage,\you're my savior too, Akari.\Is curry all right for dinner?\Yes.\I should make a lot. response:	I'm sure they'll come home hungry.
context: At the time, I realized that she had saved me.\That Hina was my savior...\So you, who raised Hina to be a girl with so much courage,\you're my savior too, Akari.\Is curry all right for dinner?\Yes.\I should make a lot.\I'm sure they'll come home hungry. response:	We're home!
context: That Hina was my savior...\So you, who raised Hina to be a girl with so much courage,\you're my savior too, Akari.\Is curry all right for dinner?\Yes.\I should make a lot.\I'm sure they'll come home hungry.\We're home! response:	Guess what?! Pikatoo was there!
context: So you, who raised Hina to be a girl with so much courage,\you're my savior too, Akari.\Is curry all right for dinner?\Yes.\I should make a lot.\I'm sure they'll come home hungry.\We're home!\Guess what?! Pikatoo was there! response:	RAWRR
context: you're my savior too, Akari.\Is curry all right for dinner?\Yes.\I should make a lot.\I'm sure they'll come home hungry.\We're home!\Guess what?! Pikatoo was there!\RAWRR response:	And I rode on a panda!
context: Is curry all right for dinner?\Yes.\I should make a lot.\I'm sure they'll come home hungry.\We're home!\Guess what?! Pikatoo was there!\RAWRR\And I rode on a panda! response:	Hey, wait, Momo! You need to take your shoes off!
context: Yes.\I should make a lot.\I'm sure they'll come home hungry.\We're home!\Guess what?! Pikatoo was there!\RAWRR\And I rode on a panda!\Hey, wait, Momo! You need to take your shoes off! response:	- Hold still now! - Oh, it's Rei.
context: I should make a lot.\I'm sure they'll come home hungry.\We're home!\Guess what?! Pikatoo was there!\RAWRR\And I rode on a panda!\Hey, wait, Momo! You need to take your shoes off!\- Hold still now! - Oh, it's Rei. response:	What the heck, kid? You're here today, too?
context: I'm sure they'll come home hungry.\We're home!\Guess what?! Pikatoo was there!\RAWRR\And I rode on a panda!\Hey, wait, Momo! You need to take your shoes off!\- Hold still now! - Oh, it's Rei.\What the heck, kid? You're here today, too? response:	Don't you visit too much?
context: We're home!\Guess what?! Pikatoo was there!\RAWRR\And I rode on a panda!\Hey, wait, Momo! You need to take your shoes off!\- Hold still now! - Oh, it's Rei.\What the heck, kid? You're here today, too?\Don't you visit too much? response:	I know!
context: Guess what?! Pikatoo was there!\RAWRR\And I rode on a panda!\Hey, wait, Momo! You need to take your shoes off!\- Hold still now! - Oh, it's Rei.\What the heck, kid? You're here today, too?\Don't you visit too much?\I know! response:	I'll go home!
context: RAWRR\And I rode on a panda!\Hey, wait, Momo! You need to take your shoes off!\- Hold still now! - Oh, it's Rei.\What the heck, kid? You're here today, too?\Don't you visit too much?\I know!\I'll go home! response:	Hey, Grandpa!
context: And I rode on a panda!\Hey, wait, Momo! You need to take your shoes off!\- Hold still now! - Oh, it's Rei.\What the heck, kid? You're here today, too?\Don't you visit too much?\I know!\I'll go home!\Hey, Grandpa! response:	Don't take me seriously, idiot!
context: Hey, wait, Momo! You need to take your shoes off!\- Hold still now! - Oh, it's Rei.\What the heck, kid? You're here today, too?\Don't you visit too much?\I know!\I'll go home!\Hey, Grandpa!\Don't take me seriously, idiot! response:	Pain in the neck. Eat, eat!
context: - Hold still now! - Oh, it's Rei.\What the heck, kid? You're here today, too?\Don't you visit too much?\I know!\I'll go home!\Hey, Grandpa!\Don't take me seriously, idiot!\Pain in the neck. Eat, eat! response:	That's right, Kiriyama.
context: What the heck, kid? You're here today, too?\Don't you visit too much?\I know!\I'll go home!\Hey, Grandpa!\Don't take me seriously, idiot!\Pain in the neck. Eat, eat!\That's right, Kiriyama. response:	Sorry.
context: Don't you visit too much?\I know!\I'll go home!\Hey, Grandpa!\Don't take me seriously, idiot!\Pain in the neck. Eat, eat!\That's right, Kiriyama.\Sorry. response:	Don't apologize!
context: I know!\I'll go home!\Hey, Grandpa!\Don't take me seriously, idiot!\Pain in the neck. Eat, eat!\That's right, Kiriyama.\Sorry.\Don't apologize! response:	You're making me look like a bad guy here!
context: I'll go home!\Hey, Grandpa!\Don't take me seriously, idiot!\Pain in the neck. Eat, eat!\That's right, Kiriyama.\Sorry.\Don't apologize!\You're making me look like a bad guy here! response:	Here.
context: Hey, Grandpa!\Don't take me seriously, idiot!\Pain in the neck. Eat, eat!\That's right, Kiriyama.\Sorry.\Don't apologize!\You're making me look like a bad guy here!\Here. response:	I won it at a ball toss game.
context: Don't take me seriously, idiot!\Pain in the neck. Eat, eat!\That's right, Kiriyama.\Sorry.\Don't apologize!\You're making me look like a bad guy here!\Here.\I won it at a ball toss game. response:	I thought it looked like you.
context: Pain in the neck. Eat, eat!\That's right, Kiriyama.\Sorry.\Don't apologize!\You're making me look like a bad guy here!\Here.\I won it at a ball toss game.\I thought it looked like you. response:	I thought it might be childish, but...
context: That's right, Kiriyama.\Sorry.\Don't apologize!\You're making me look like a bad guy here!\Here.\I won it at a ball toss game.\I thought it looked like you.\I thought it might be childish, but... response:	No, I'm touched.
context: Sorry.\Don't apologize!\You're making me look like a bad guy here!\Here.\I won it at a ball toss game.\I thought it looked like you.\I thought it might be childish, but...\No, I'm touched. response:	I love it!
context: Don't apologize!\You're making me look like a bad guy here!\Here.\I won it at a ball toss game.\I thought it looked like you.\I thought it might be childish, but...\No, I'm touched.\I love it! response:	Okay, wash your hands.
context: You're making me look like a bad guy here!\Here.\I won it at a ball toss game.\I thought it looked like you.\I thought it might be childish, but...\No, I'm touched.\I love it!\Okay, wash your hands. response:	Dinner's ready!
context: Here.\I won it at a ball toss game.\I thought it looked like you.\I thought it might be childish, but...\No, I'm touched.\I love it!\Okay, wash your hands.\Dinner's ready! response:	Okay!
context: I won it at a ball toss game.\I thought it looked like you.\I thought it might be childish, but...\No, I'm touched.\I love it!\Okay, wash your hands.\Dinner's ready!\Okay! response:	Confession
context: I thought it looked like you.\I thought it might be childish, but...\No, I'm touched.\I love it!\Okay, wash your hands.\Dinner's ready!\Okay!\Confession response:	Next Episode Preview
context: I thought it might be childish, but...\No, I'm touched.\I love it!\Okay, wash your hands.\Dinner's ready!\Okay!\Confession\Next Episode Preview response:	Episode 28
context: No, I'm touched.\I love it!\Okay, wash your hands.\Dinner's ready!\Okay!\Confession\Next Episode Preview\Episode 28 response:	Cherries!
context: I love it!\Okay, wash your hands.\Dinner's ready!\Okay!\Confession\Next Episode Preview\Episode 28\Cherries! response:	Kiriyama came to have instructional matches with us.
context: Okay, wash your hands.\Dinner's ready!\Okay!\Confession\Next Episode Preview\Episode 28\Cherries!\Kiriyama came to have instructional matches with us. response:	It's called communicating, Kiriyama.
context: Dinner's ready!\Okay!\Confession\Next Episode Preview\Episode 28\Cherries!\Kiriyama came to have instructional matches with us.\It's called communicating, Kiriyama. response:	Kiriyama, are you sure that's all you want?
context: Okay!\Confession\Next Episode Preview\Episode 28\Cherries!\Kiriyama came to have instructional matches with us.\It's called communicating, Kiriyama.\Kiriyama, are you sure that's all you want? response:	Can you tell me about your school? It can be about anything.
context: Confession\Next Episode Preview\Episode 28\Cherries!\Kiriyama came to have instructional matches with us.\It's called communicating, Kiriyama.\Kiriyama, are you sure that's all you want?\Can you tell me about your school? It can be about anything. response:	ILLUSTRATION: BUKUBU OHKAWA
context: Next Episode Preview\Episode 28\Cherries!\Kiriyama came to have instructional matches with us.\It's called communicating, Kiriyama.\Kiriyama, are you sure that's all you want?\Can you tell me about your school? It can be about anything.\ILLUSTRATION: BUKUBU OHKAWA response:	Kiriyama! I've been waiting for you to become passionate!
context: Episode 28\Cherries!\Kiriyama came to have instructional matches with us.\It's called communicating, Kiriyama.\Kiriyama, are you sure that's all you want?\Can you tell me about your school? It can be about anything.\ILLUSTRATION: BUKUBU OHKAWA\Kiriyama! I've been waiting for you to become passionate! response:	I'll accompany you until the very end!
