context: Oh, so this is the beach in this world! response:	With all these people here,
context: Well, to be honest, it's pretty rough.\But I can hang in there.\Um, it seems like everyone here is being drawn to this place by something powerful.\Do you have any idea what that is?\Well...\I think it's something that only exists in this place in this moment right now.\And I think everyone loves that.\I see. response:	I understand that very well.
context: But I can hang in there.\Um, it seems like everyone here is being drawn to this place by something powerful.\Do you have any idea what that is?\Well...\I think it's something that only exists in this place in this moment right now.\And I think everyone loves that.\I see.\I understand that very well. response:	Excuse me.
context: Um, it seems like everyone here is being drawn to this place by something powerful.\Do you have any idea what that is?\Well...\I think it's something that only exists in this place in this moment right now.\And I think everyone loves that.\I see.\I understand that very well.\Excuse me. response:	Could you take your picture soon?
context: Do you have any idea what that is?\Well...\I think it's something that only exists in this place in this moment right now.\And I think everyone loves that.\I see.\I understand that very well.\Excuse me.\Could you take your picture soon? response:	Oh, right.
context: Well...\I think it's something that only exists in this place in this moment right now.\And I think everyone loves that.\I see.\I understand that very well.\Excuse me.\Could you take your picture soon?\Oh, right. response:	Geh, there's another line forming?
context: I think it's something that only exists in this place in this moment right now.\And I think everyone loves that.\I see.\I understand that very well.\Excuse me.\Could you take your picture soon?\Oh, right.\Geh, there's another line forming? response:	As of now, Comic Market 90 is over.
context: And I think everyone loves that.\I see.\I understand that very well.\Excuse me.\Could you take your picture soon?\Oh, right.\Geh, there's another line forming?\As of now, Comic Market 90 is over. response:	Thank you for participating, everyone.
context: I see.\I understand that very well.\Excuse me.\Could you take your picture soon?\Oh, right.\Geh, there's another line forming?\As of now, Comic Market 90 is over.\Thank you for participating, everyone. response:	We'll see you again in winter!
context: I understand that very well.\Excuse me.\Could you take your picture soon?\Oh, right.\Geh, there's another line forming?\As of now, Comic Market 90 is over.\Thank you for participating, everyone.\We'll see you again in winter! response:	I'm back.
context: Excuse me.\Could you take your picture soon?\Oh, right.\Geh, there's another line forming?\As of now, Comic Market 90 is over.\Thank you for participating, everyone.\We'll see you again in winter!\I'm back. response:	Good to see you. We managed fine without you during the second half.
context: Could you take your picture soon?\Oh, right.\Geh, there's another line forming?\As of now, Comic Market 90 is over.\Thank you for participating, everyone.\We'll see you again in winter!\I'm back.\Good to see you. We managed fine without you during the second half. response:	I see. I'm sorry for ditching you.
context: Oh, right.\Geh, there's another line forming?\As of now, Comic Market 90 is over.\Thank you for participating, everyone.\We'll see you again in winter!\I'm back.\Good to see you. We managed fine without you during the second half.\I see. I'm sorry for ditching you. response:	It's fine.
context: Geh, there's another line forming?\As of now, Comic Market 90 is over.\Thank you for participating, everyone.\We'll see you again in winter!\I'm back.\Good to see you. We managed fine without you during the second half.\I see. I'm sorry for ditching you.\It's fine. response:	We've Sold Out
context: As of now, Comic Market 90 is over.\Thank you for participating, everyone.\We'll see you again in winter!\I'm back.\Good to see you. We managed fine without you during the second half.\I see. I'm sorry for ditching you.\It's fine.\We've Sold Out response:	Oh, Mr. Fafnir, how'd it go?
context: Thank you for participating, everyone.\We'll see you again in winter!\I'm back.\Good to see you. We managed fine without you during the second half.\I see. I'm sorry for ditching you.\It's fine.\We've Sold Out\Oh, Mr. Fafnir, how'd it go? response:	Poorly, it looks like.
context: We'll see you again in winter!\I'm back.\Good to see you. We managed fine without you during the second half.\I see. I'm sorry for ditching you.\It's fine.\We've Sold Out\Oh, Mr. Fafnir, how'd it go?\Poorly, it looks like. response:	So how was it? What'd you think of your first Comiket?
context: I'm back.\Good to see you. We managed fine without you during the second half.\I see. I'm sorry for ditching you.\It's fine.\We've Sold Out\Oh, Mr. Fafnir, how'd it go?\Poorly, it looks like.\So how was it? What'd you think of your first Comiket? response:	Well...
context: Good to see you. We managed fine without you during the second half.\I see. I'm sorry for ditching you.\It's fine.\We've Sold Out\Oh, Mr. Fafnir, how'd it go?\Poorly, it looks like.\So how was it? What'd you think of your first Comiket?\Well... response:	I reconfirmed my love for you, Miss Kobayashi.
context: I see. I'm sorry for ditching you.\It's fine.\We've Sold Out\Oh, Mr. Fafnir, how'd it go?\Poorly, it looks like.\So how was it? What'd you think of your first Comiket?\Well...\I reconfirmed my love for you, Miss Kobayashi. response:	Huh?
context: It's fine.\We've Sold Out\Oh, Mr. Fafnir, how'd it go?\Poorly, it looks like.\So how was it? What'd you think of your first Comiket?\Well...\I reconfirmed my love for you, Miss Kobayashi.\Huh? response:	Kobayashi-dono! Tohru-dono!
context: We've Sold Out\Oh, Mr. Fafnir, how'd it go?\Poorly, it looks like.\So how was it? What'd you think of your first Comiket?\Well...\I reconfirmed my love for you, Miss Kobayashi.\Huh?\Kobayashi-dono! Tohru-dono! response:	You were a huge help today!
context: Oh, Mr. Fafnir, how'd it go?\Poorly, it looks like.\So how was it? What'd you think of your first Comiket?\Well...\I reconfirmed my love for you, Miss Kobayashi.\Huh?\Kobayashi-dono! Tohru-dono!\You were a huge help today! response:	I'm truly grateful!
context: Poorly, it looks like.\So how was it? What'd you think of your first Comiket?\Well...\I reconfirmed my love for you, Miss Kobayashi.\Huh?\Kobayashi-dono! Tohru-dono!\You were a huge help today!\I'm truly grateful! response:	And I'd like to ask for your help as staff again this winter!
context: So how was it? What'd you think of your first Comiket?\Well...\I reconfirmed my love for you, Miss Kobayashi.\Huh?\Kobayashi-dono! Tohru-dono!\You were a huge help today!\I'm truly grateful!\And I'd like to ask for your help as staff again this winter! response:	I'm done with this!
context: Well...\I reconfirmed my love for you, Miss Kobayashi.\Huh?\Kobayashi-dono! Tohru-dono!\You were a huge help today!\I'm truly grateful!\And I'd like to ask for your help as staff again this winter!\I'm done with this! response:	What will we print for our next thin book?
context: I reconfirmed my love for you, Miss Kobayashi.\Huh?\Kobayashi-dono! Tohru-dono!\You were a huge help today!\I'm truly grateful!\And I'd like to ask for your help as staff again this winter!\I'm done with this!\What will we print for our next thin book? response:	How about a dragon maid girl?
context: Huh?\Kobayashi-dono! Tohru-dono!\You were a huge help today!\I'm truly grateful!\And I'd like to ask for your help as staff again this winter!\I'm done with this!\What will we print for our next thin book?\How about a dragon maid girl? response:	Nice!
context: Kobayashi-dono! Tohru-dono!\You were a huge help today!\I'm truly grateful!\And I'd like to ask for your help as staff again this winter!\I'm done with this!\What will we print for our next thin book?\How about a dragon maid girl?\Nice! response:	Free studies?
context: You were a huge help today!\I'm truly grateful!\And I'd like to ask for your help as staff again this winter!\I'm done with this!\What will we print for our next thin book?\How about a dragon maid girl?\Nice!\Free studies? response:	My summer homework.
context: I'm truly grateful!\And I'd like to ask for your help as staff again this winter!\I'm done with this!\What will we print for our next thin book?\How about a dragon maid girl?\Nice!\Free studies?\My summer homework. response:	What should I do for it?
context: And I'd like to ask for your help as staff again this winter!\I'm done with this!\What will we print for our next thin book?\How about a dragon maid girl?\Nice!\Free studies?\My summer homework.\What should I do for it? response:	Well, I think you should study something that you find
context: I'm done with this!\What will we print for our next thin book?\How about a dragon maid girl?\Nice!\Free studies?\My summer homework.\What should I do for it?\Well, I think you should study something that you find response:	mysterious or would like to know more about.
context: What will we print for our next thin book?\How about a dragon maid girl?\Nice!\Free studies?\My summer homework.\What should I do for it?\Well, I think you should study something that you find\mysterious or would like to know more about. response:	I see. Got it.
context: How about a dragon maid girl?\Nice!\Free studies?\My summer homework.\What should I do for it?\Well, I think you should study something that you find\mysterious or would like to know more about.\I see. Got it. response:	What are you doing?
context: Nice!\Free studies?\My summer homework.\What should I do for it?\Well, I think you should study something that you find\mysterious or would like to know more about.\I see. Got it.\What are you doing? response:	Studying you.
context: Free studies?\My summer homework.\What should I do for it?\Well, I think you should study something that you find\mysterious or would like to know more about.\I see. Got it.\What are you doing?\Studying you. response:	Huh?
context: My summer homework.\What should I do for it?\Well, I think you should study something that you find\mysterious or would like to know more about.\I see. Got it.\What are you doing?\Studying you.\Huh? response:	Next Episode
context: What should I do for it?\Well, I think you should study something that you find\mysterious or would like to know more about.\I see. Got it.\What are you doing?\Studying you.\Huh?\Next Episode response:	Kobayashi-san, there's a lot of talk about Tohru-chan on the internet.
context: Well, I think you should study something that you find\mysterious or would like to know more about.\I see. Got it.\What are you doing?\Studying you.\Huh?\Next Episode\Kobayashi-san, there's a lot of talk about Tohru-chan on the internet. response:	I bet.
context: mysterious or would like to know more about.\I see. Got it.\What are you doing?\Studying you.\Huh?\Next Episode\Kobayashi-san, there's a lot of talk about Tohru-chan on the internet.\I bet. response:	They mentioned you, too.
context: I see. Got it.\What are you doing?\Studying you.\Huh?\Next Episode\Kobayashi-san, there's a lot of talk about Tohru-chan on the internet.\I bet.\They mentioned you, too. response:	They said there was a sales lady with dead-fish eyes.
context: What are you doing?\Studying you.\Huh?\Next Episode\Kobayashi-san, there's a lot of talk about Tohru-chan on the internet.\I bet.\They mentioned you, too.\They said there was a sales lady with dead-fish eyes. response:	Sorry about that!
context: Studying you.\Huh?\Next Episode\Kobayashi-san, there's a lot of talk about Tohru-chan on the internet.\I bet.\They mentioned you, too.\They said there was a sales lady with dead-fish eyes.\Sorry about that! response:	And they got turned on by those eyes.
context: Huh?\Next Episode\Kobayashi-san, there's a lot of talk about Tohru-chan on the internet.\I bet.\They mentioned you, too.\They said there was a sales lady with dead-fish eyes.\Sorry about that!\And they got turned on by those eyes. response:	Episode 8
context: Next Episode\Kobayashi-san, there's a lot of talk about Tohru-chan on the internet.\I bet.\They mentioned you, too.\They said there was a sales lady with dead-fish eyes.\Sorry about that!\And they got turned on by those eyes.\Episode 8 response:	New Dragon, Elma! (She's Finally Appearing, Huh?)
context: Kobayashi-san, there's a lot of talk about Tohru-chan on the internet.\I bet.\They mentioned you, too.\They said there was a sales lady with dead-fish eyes.\Sorry about that!\And they got turned on by those eyes.\Episode 8\New Dragon, Elma! (She's Finally Appearing, Huh?) response:	I just felt a chill.
